[00:00:05.856 --> 00:00:06.296]  Sign up.
[00:23:12.636 --> 00:23:20.859]  And a caller calls and he goes, yeah, I heard David Rockefeller wants to reduce world population and the government dug up a dead whaler to get the old 1918 Spanish flu that killed 40 million people.
[00:23:22.340 --> 00:23:25.721]  He said it's conspiracy theory, isn't real, you couldn't hide something like that.
[00:23:26.061 --> 00:23:27.422]  That's been in the Journal of Science.
[00:23:28.021 --> 00:23:35.044]  London Guardian, ABC News reported two weeks ago, world's rich meet in secret meeting to call for population reduction.
[00:23:35.544 --> 00:23:48.610]  I mean, in fact, Paul Hartman, right now, just Google rich, the exact headline from the Guardian, that was a really in-depth one, was world's richest meet to discuss population reduction.
[00:23:50.131 --> 00:23:54.573]  Oh, I'm sorry, Dr. Dean, I happen to have the actual articles with them saying it themselves.
[00:23:54.973 --> 00:23:56.154]  Oh, but it's a conspiracy theory.
[00:23:57.230 --> 00:23:59.371]  Okay, well, proposed law allows A.G.
[00:23:59.431 --> 00:24:01.852]  Holder to block gun sales to over a million Americans.
[00:24:04.272 --> 00:24:06.333]  And I've been giving this bill number out for months and months.
[00:24:07.494 --> 00:24:12.815]  In fact, the Chief of Staff of the White House introduced this last year when he was still in the Congress, Rahm Emanuel.
[00:24:13.836 --> 00:24:15.456]  And I've given all those bill numbers on air.
[00:24:17.757 --> 00:24:19.658]  And the media is pushing it, saying it's a good thing.
[00:24:19.918 --> 00:24:22.079]  This is guilty until proven innocent.
[00:24:22.359 --> 00:24:26.120]  You have absolutely no rights, no liberties, no freedom.
[00:24:26.846 --> 00:24:28.267]  There's no way to get off the list.
[00:24:28.388 --> 00:24:44.103]  This is like wearing a yellow star in Nazi Germany, where you can't have businesses, can't buy, can't sell, and Homeland Security says, you're on that list, and the criminal list is over four million, under Patriot Act compliance for every car dealership, banks, car rentals, hotels, jobs, everything.
[00:24:45.284 --> 00:24:47.667]  When you have bad credit, you're going to be on the no-fly list.
[00:24:49.019 --> 00:24:49.479]  Anything.
[00:24:49.519 --> 00:24:51.180]  Somebody doesn't like you, you're gonna be on it.
[00:24:51.540 --> 00:24:52.581]  It's a chilling effect.
[00:24:53.121 --> 00:24:57.183]  And the bill is called the No Fly No Buy.
[00:24:57.943 --> 00:25:00.304]  And they had 25,000 people a month to it.
[00:25:00.844 --> 00:25:02.125]  Three or four months ago, it was 1,100,000.
[00:25:02.165 --> 00:25:03.345]  That means it's over.
[00:25:03.385 --> 00:25:03.345]  1,200,000.
[00:25:03.445 --> 00:25:07.627]  Now that's mainstream news, New York Times, but they're saying it's a good idea.
[00:25:12.895 --> 00:25:16.278]  We're gonna have a new class of American where no judge, no jury, just on a list.
[00:25:16.658 --> 00:25:19.640]  And the feds come in and take your farm or ranch and say you can't use it.
[00:25:20.721 --> 00:25:22.862]  If rainwater hits it, that's what the bill says.
[00:25:23.523 --> 00:25:24.023]  Rainwater.
[00:25:24.404 --> 00:25:25.304]  And that's not even me!
[00:25:25.604 --> 00:25:31.869]  I'm listening to the local news people doing, covering that on record during the breaks.
[00:25:34.231 --> 00:25:39.655]  This is really all happening, ladies and gentlemen, and if that isn't enough for you, here's the newest one.
[00:25:42.503 --> 00:25:43.743]  This is the newest report.
[00:25:44.003 --> 00:25:46.604]  This is up on InfoWars.com and PrisonHunter.com.
[00:25:46.624 --> 00:25:47.564]  We are breaking this.
[00:25:48.064 --> 00:25:53.085]  Just like we broke the Homeland Security report and the MIAC report saying all veterans, all gun owners are the number one threat.
[00:25:53.326 --> 00:25:55.646]  Homeland Security North Com is designed for you.
[00:25:56.286 --> 00:25:59.927]  So that the criminal foreign banks can secure their takeover.
[00:25:59.967 --> 00:26:03.488]  They're here to babysit you with a baton and a machine gun upside the head.
[00:26:04.168 --> 00:26:06.749]  And to make sure this heist takes place properly.
[00:26:06.769 --> 00:26:07.929]  Of course the cops don't know that.
[00:26:10.427 --> 00:26:31.842]  Virginia State Police say anti-New World Order and gun rights activists are terrorists, and I've read this report, this was federally written, just like I told you the state police report in Missouri, the MIAC report was federally written, and that came out later, it was, because I've read the federal reports, but this says gun rights activists are terrorists, and tells the state police, go read it, to go ahead and take in for questioning.
[00:26:32.863 --> 00:26:36.706]  You see somebody with a get us out of the UN sticker, take them to jail.
[00:26:38.391 --> 00:26:41.894]  That's right, because the UN is the receivership body to take this country over.
[00:26:43.395 --> 00:26:47.739]  And cops, when you lose your pension fund and everything you got, just remember you helped the New World Order.
[00:26:47.979 --> 00:26:53.524]  And you pimp judges, and the sellout congressmen we've got, and the state senators, all of you.
[00:26:53.844 --> 00:26:57.127]  We are being absolutely usurped right now.
[00:26:59.849 --> 00:27:01.470]  Dr. Paul Craig Roberts is coming up.
[00:27:01.751 --> 00:27:05.574]  But again, DOD training manual describes all protest as terrorism.
[00:27:06.252 --> 00:27:12.075]  The actual training manual is up on InfoWars.com and PrisonPlanet.com right now.
[00:27:12.475 --> 00:27:14.977]  And mainstream news is reporting it like it's normal.
[00:27:15.017 --> 00:27:16.637]  Oh no, yes, protesting is now terrorism.
[00:27:16.978 --> 00:27:19.419]  Ladies and gentlemen, this government is completely rogue.
[00:27:20.019 --> 00:27:21.980]  Let's go ahead and start playing Napolitano.
[00:27:22.240 --> 00:27:24.442]  We'll play it when we come back.
[00:27:25.082 --> 00:27:29.024]  Because I want you to understand something.
[00:27:32.361 --> 00:27:36.423]  Monday, Tuesday, Wednesday on the show, I got on the air, and this isn't about me getting credit.
[00:27:36.743 --> 00:27:37.964]  It's about you getting credit.
[00:27:38.684 --> 00:27:41.905]  And it's about showing people there's a chance to fight these monsters off.
[00:27:44.747 --> 00:27:46.087]  Listen to me very, very carefully.
[00:27:49.549 --> 00:27:58.973]  I went on air, and I said, you gotta break this story nationally, that they're secretly hired 20-plus thousand preachers to tell their flocks to turn their guns in to go to FEMA camps and render them to Caesar.
[00:27:59.313 --> 00:27:59.693]  Secretly!
[00:27:59.714 --> 00:28:00.714]  They're not supposed to tell the
[00:28:01.283 --> 00:28:04.784]  The practitioners, or the, uh, uh, the, the, the, is that the right word?
[00:28:04.844 --> 00:28:06.824]  The, the, uh, the parishioners.
[00:28:06.884 --> 00:28:07.604]  Not practitioners.
[00:28:07.644 --> 00:28:08.304]  The parishioners.
[00:28:08.685 --> 00:28:09.965]  You're not supposed to tell them.
[00:28:10.185 --> 00:28:12.005]  They're on secret government payroll.
[00:28:12.085 --> 00:28:17.446]  This is, the, the, Reuters is reporting the CIA is recruiting your local bankers to spy on you.
[00:28:17.666 --> 00:28:18.827]  That's completely illegal.
[00:28:19.427 --> 00:28:22.247]  They're running CIA ads on radio and TV everywhere.
[00:28:23.428 --> 00:28:25.588]  This is a total takeover of America.
[00:28:26.405 --> 00:28:29.047]  The Pentagon, the CIA, all work for offshore banks.
[00:28:29.087 --> 00:28:29.848]  It's a big joke.
[00:28:29.888 --> 00:28:30.889]  We're being hijacked.
[00:28:31.109 --> 00:28:32.430]  This is a corporate takeover.
[00:28:33.671 --> 00:28:34.852]  But this is what's positive.
[00:28:36.153 --> 00:28:47.502]  I got on the air and ranted and raved and beat my brains out and now finally a few mainstream outlets are reporting that it is a total Federal Reserve dictatorship and now we've got a chance to beat it.
[00:28:48.663 --> 00:28:55.969]  Because you spread the word and you took the articles that Paul Watson and Steve Watson wrote like Obama regulatory reform plan officially establishes
[00:28:56.400 --> 00:28:58.102]  Banking Dictatorship of the United States.
[00:28:59.283 --> 00:29:02.365]  Steve wrote this other article, Financial Dictatorship Spreads to Europe.
[00:29:02.606 --> 00:29:03.506]  The very same system.
[00:29:03.526 --> 00:29:04.607]  It's the same shareholders.
[00:29:04.948 --> 00:29:06.249]  Same system being set up there.
[00:29:06.269 --> 00:29:12.434]  They're now... You know, Napolitano's told me he listens to the show and so does his producer.
[00:29:12.535 --> 00:29:19.441]  And I'm honored that he basically, word for word, took what I said, did the research himself as a former federal judge, and did a report on Fox News.
[00:29:20.302 --> 00:29:21.743]  But that's coming up when we get back.
[00:29:23.416 --> 00:29:25.822]  But there's a wrinkle to it that will break down as well.
[00:29:25.882 --> 00:29:27.185]  But we've got to beat them.
[00:29:27.445 --> 00:29:31.715]  If we tell the public foreign banks are hijacking, we've got a chance to beat them.
[00:29:31.775 --> 00:29:32.256]  Stay with us.
[00:29:33.647 --> 00:29:39.149]  Did you know many vitamin and mineral supplements on the market are made from rocks and ground up shells?
[00:29:39.630 --> 00:29:40.330]  Think about that.
[00:29:40.390 --> 00:29:43.031]  Would you swallow a handful of shells you found at the beach?
[00:29:43.511 --> 00:29:46.453]  Our body wasn't designed to digest rocks and shells.
[00:29:46.733 --> 00:29:56.517]  Hello, my name is Dr. David Friedman, formulator of Chews for Health, a delicious tasting, chewable dietary supplement derived from 16 fruits, vegetables, and antioxidants.
[00:29:56.957 --> 00:30:02.542]  Unlike hard-to-digest pills, Choose for Health is a convenient chewable which allows for better digestion.
[00:30:02.802 --> 00:30:03.823]  The choice is yours.
[00:30:03.963 --> 00:30:09.248]  Swallow rocks and shells to supplement your diet or a natural chewable product you can better digest.
[00:30:09.588 --> 00:30:10.329]  Choose for Health.
[00:30:10.609 --> 00:30:14.392]  The world's first superfruit, sea vegetable, antioxidant chewable.
[00:30:14.653 --> 00:30:17.115]  Whole food nutrition, not rocks and shells.
[00:30:17.415 --> 00:30:18.175]  1-800-210-1922.
[00:30:21.237 --> 00:30:25.620]  Call now and receive a free copy of my best-selling CD, America's Unbalanced Diet.
[00:30:25.640 --> 00:30:25.700]  1-800-210-1922.
[00:30:25.940 --> 00:30:26.841]  Or go to orderchoose.com.
[00:30:34.605 --> 00:30:40.068]  Millions of Americans are beginning to realize the enormity of the economic and political problems facing the U.S.
[00:30:40.108 --> 00:30:40.628]  and the world.
[00:30:40.888 --> 00:30:44.350]  And for the first time in their lives, they are feeling the need for preparedness.
[00:30:44.750 --> 00:30:50.994]  Ready Reserve Foods has been in continuous operation, manufacturing the finest and dehydrated foods for almost 40 years.
[00:30:51.254 --> 00:30:53.035]  Ready Reserve is the manufacturer.
[00:30:53.295 --> 00:31:01.219]  Unlike other companies that just broker canned foods, Ready Reserve controls the quality from start to finish with double enameled cans and nitrogen packaging.
[00:31:01.499 --> 00:31:05.941]  When purchasing from Ready Reserve Foods, you are buying factory direct at wholesale prices.
[00:31:06.201 --> 00:31:11.744]  Other companies are quoting delivery times of one to two months, while Ready Reserve ships within five business days.
[00:31:12.005 --> 00:31:14.026]  Many companies do not even offer a catalog.
[00:31:14.186 --> 00:31:16.427]  We will be more than happy to send a catalog to you.
[00:31:16.787 --> 00:31:17.567]  Free of charge.
[00:31:17.867 --> 00:31:18.187]  Dial 1-800-453-2202.
[00:31:18.207 --> 00:31:18.267]  1-800-453-2202.
[00:31:18.288 --> 00:31:19.808]  Or visit our website at ReadyReserveFoods.com.
[00:31:19.828 --> 00:31:21.949]  Factory direct, wholesale pricing from Ready Reserve Foods.
[00:31:21.969 --> 00:31:22.329]  Call us at 1-800-453-2202.
[00:31:33.248 --> 00:31:34.328]  Economy have you down?
[00:31:34.508 --> 00:31:36.069]  Scared you might lose your job?
[00:31:36.189 --> 00:31:38.109]  Worried how you will provide for your family?
[00:31:38.289 --> 00:31:40.190]  Do you worry where your money will come from?
[00:31:40.410 --> 00:31:43.411]  You know that the economy is getting worse, but there is hope!
[00:31:43.711 --> 00:31:47.972]  Robert Beatles' new book, Here's What You Do, tells you what to do and how to do it.
[00:31:48.232 --> 00:31:51.573]  Even a 10-year-old can figure it out after reading this 72-page book.
[00:31:51.793 --> 00:31:52.513]  And the best part?
[00:31:52.693 --> 00:31:54.454]  This book is priced under $10!
[00:31:54.734 --> 00:31:56.374]  Don't be the victim, be a victor!
[00:31:56.634 --> 00:31:58.555]  Go to here'swhatyoudo.net.
[00:31:58.755 --> 00:32:00.375]  That's here'swhatyoudo.net.
[00:32:00.615 --> 00:32:01.896]  Again, here'swhatyoudo.net.
[00:32:02.796 --> 00:32:04.297]  Wondering about your retirement portfolio?
[00:32:04.417 --> 00:32:08.700]  Is your financial advisor experienced enough to combat rising interest rates, taxes, inflation?
[00:32:08.940 --> 00:32:13.023]  Stop guessing and go to the expert, Robert Chapman of The International Forecaster.
[00:32:13.063 --> 00:32:17.266]  With 45 years of experience and concise investment recommendations, who needs sugar-coated excuses?
[00:32:17.426 --> 00:32:19.907]  Get the cold, hard facts and a proven investment strategy.
[00:32:20.028 --> 00:32:24.050]  For a free introductory copy to The International Forecaster, call 877-479-8178 or go to theinternationalforecaster.com.
[00:32:24.070 --> 00:32:24.370]  That's 877-479-8178.
[00:32:24.390 --> 00:32:24.430]  877-479-8178.
[00:32:33.116 --> 00:32:33.997]  Ah, springtime.
[00:32:34.418 --> 00:32:39.622]  Now that you've planted your organic garden, how will you keep the bugs away without using toxic chemicals and poisons?
[00:32:39.942 --> 00:32:44.407]  Well, the answer is all natural insecticides from FreshwaterOrganics.com.
[00:32:44.567 --> 00:32:50.292]  These revolutionary insecticides start with the same organic product that we use in FPP to kill parasites.
[00:32:50.532 --> 00:32:58.839]  We then add a small amount of pyrethrin from chrysanthemum flowers and a mild attractant to offer you the most effective insecticide available anywhere.
[00:32:59.159 --> 00:33:01.821]  It can even be applied up to the day of harvest.
[00:33:02.121 --> 00:33:08.326]  Our natural insecticides work in the home, on plants and in your garden, killing pests mechanically, not with poisons.
[00:33:08.607 --> 00:33:12.570]  So pests can't develop an immunity and they won't harm your children or pets.
[00:33:12.990 --> 00:33:22.494]  It's effective against white flies, moths, bedbugs, fleas, roaches, crickets, and more, and safe enough to use on your pets, ridding them of fleas and other pests.
[00:33:22.794 --> 00:33:25.135]  Order now from FreshwaterOrganics.com or call 888-949-3570.
[00:33:25.155 --> 00:33:25.575]  888-949-3570 today.
[00:33:25.615 --> 00:33:26.796]  You're listening to GCN.
[00:33:26.816 --> 00:33:28.457]  Genesis Communication Radio Network.
[00:33:45.469 --> 00:33:47.774]  Let's go!
[00:33:58.167 --> 00:34:00.248]  All right, ladies and gentlemen, thank you for joining us.
[00:34:00.308 --> 00:34:02.248]  Next hour, we'll have open phones.
[00:34:02.308 --> 00:34:10.431]  We've got Sarah Hudeberg, NewsRadio 590, Kelby Jay Reporter, coming in with some of the clips of state officials and the head of the Cattlemen's Association here in Texas.
[00:34:10.791 --> 00:34:19.373]  But it's all over the country talking about the feds to control all rainwater, all puddles, all ponds, come on your property, no warrants, regulations control.
[00:34:20.234 --> 00:34:22.574]  That all ties into just the total federal takeover.
[00:34:23.415 --> 00:34:26.336]  But first, before we go to Dr. Paul Craig Roberts, introduce him.
[00:34:26.376 --> 00:34:27.616]  I wanted to have him hear this.
[00:34:28.137 --> 00:34:35.900]  Now again, we started covering this Monday, Tuesday, Wednesday, then Ron Paul came in and said, yes, the bill does set up a financial dictatorship for the private Federal Reserve.
[00:34:36.961 --> 00:34:47.185]  Now Napolitano, I think in two minutes, really sums it up for people out there that aren't aware of this, because there's hardly any news coverage of the so-called Federal Reserve reform.
[00:34:47.225 --> 00:34:48.545]  I mean, there's lots of coverage of it.
[00:34:48.925 --> 00:34:52.387]  People are talking about it, but they're saying, we have to have it, or we're all dead.
[00:34:52.487 --> 00:34:54.708]  Give the bankers that caused the crisis more power.
[00:34:55.648 --> 00:34:57.889]  And then meanwhile, when you actually look at the bill,
[00:34:58.755 --> 00:35:01.196]  Well, I think Napolitano breaks it down, so here it is.
[00:35:02.997 --> 00:35:11.882]  I'm Judge Andrew Napolitano and the verdict is coming on President Barack Obama's historic plan to overhaul and regulate our financial institutions.
[00:35:12.322 --> 00:35:13.143]  Here's the question.
[00:35:13.583 --> 00:35:19.646]  What is left out of this proposal is, and what we deserve to know is, who will regulate the Federal Reserve?
[00:35:20.127 --> 00:35:26.250]  What will become of clauses in the Constitution that prohibit the very type of regulation the President wants?
[00:35:26.840 --> 00:35:30.962]  And what is now the meaning of the word free in free market?
[00:35:31.163 --> 00:35:33.084]  Here are the facts.
[00:35:33.144 --> 00:35:37.466]  The bias of the drafters of this proposal is that the government knows best.
[00:35:38.006 --> 00:35:47.552]  The Constitution should not be an obstacle to the egalitarian goals of the government and no private behavior is beyond the government's reach of its huge hand.
[00:35:48.132 --> 00:35:56.157]  The essence of the proposal is to give the Federal Reserve the authority to regulate any aspect of any firms that in its discretion
[00:35:56.696 --> 00:36:00.938]  Its sole discretion could adversely affect the economy if they fail.
[00:36:01.518 --> 00:36:07.220]  The Fed would thus be the only unregulated private entity on the planet.
[00:36:07.860 --> 00:36:16.263]  This private, super-secret bank, half of whose board is appointed by the President, is the most secret aspect in all of the government.
[00:36:16.603 --> 00:36:17.184]  Think about it.
[00:36:17.544 --> 00:36:21.765]  The job of the CIA is to steal and to keep secrets.
[00:36:22.246 --> 00:36:25.807]  But we know more about the CIA than we do the Federal Reserve.
[00:36:26.474 --> 00:36:45.122]  The Federal Reserve is a private, completely unregulated bank, into which the Obama administration proposes to repose all regulatory authority, from the compensation of executives, to the investments companies make, to the location of their franchises, are you ready for this?
[00:36:45.522 --> 00:36:53.446]  To the amount of fat in McDonald's cheeseburgers, without appeal, and without stating reasons for the regulations.
[00:36:54.306 --> 00:36:55.727]  All grouped investments,
[00:36:56.408 --> 00:37:04.750]  Even if the investors own the group, like hedge funds, like you and your neighbors getting together to buy a house, will be subject to the Fed's new rules.
[00:37:05.350 --> 00:37:08.311]  All state-chartered banks will now be subject to the Fed.
[00:37:08.831 --> 00:37:17.013]  All businesses, whether financial in nature or not, that are owned by any financial institutions, shall be subject to the Fed.
[00:37:17.773 --> 00:37:23.734]  Even mom and pop shops and stores, if in the Fed's opinion could fail.
[00:37:24.352 --> 00:37:30.933]  And thus produce systemic harm to the economy shall be subject to the rule of the Fed.
[00:37:31.054 --> 00:37:32.234]  Alright, and it goes on from there.
[00:37:32.274 --> 00:37:34.654]  It's up on InfoWars.com and PrisonPlanet.com.
[00:37:34.694 --> 00:37:39.575]  Now I would add, I go on this show with Napolitano a few times and he comes on mine.
[00:37:40.196 --> 00:37:41.256]  It's an internet show.
[00:37:41.276 --> 00:37:42.656]  People keep thinking I'm on Fox.
[00:37:42.716 --> 00:37:44.196]  No, they're not putting me on Fox.
[00:37:44.757 --> 00:37:46.557]  They know everybody already knows on the internet.
[00:37:46.597 --> 00:37:50.958]  So they'll have this on the internet program that people think watching it
[00:37:51.844 --> 00:37:53.225]  Is on Fox TV, it's not.
[00:37:53.565 --> 00:37:57.226]  Why isn't this on Fox Television when Napolitano's on there?
[00:37:57.267 --> 00:38:00.968]  See, that's why we're pushing to make sure people at least know what's happening.
[00:38:00.988 --> 00:38:02.969]  Dr. Paul Craig Roberts is a best-selling author.
[00:38:03.629 --> 00:38:10.332]  His latest book in its newest edition is The Tyranny of Good Intentions, getting into the whole police state control grid and the courts.
[00:38:10.853 --> 00:38:18.356]  And he, of course, is a former Wall Street Journal editor, the head of policy, number two, the father of Reaganomics under Ronald Reagan.
[00:38:18.683 --> 00:38:21.904]  And so he can speak briefly to what's happening with the economy.
[00:38:21.944 --> 00:38:23.404]  Then I want to get into why he's really here.
[00:38:23.864 --> 00:38:29.166]  Iran, he's written some of the most in-depth, insightful articles we've seen about what's really happening there.
[00:38:29.486 --> 00:38:31.626]  Dr. Paul Craig Roberts, always great to have you with us.
[00:38:32.087 --> 00:38:32.647]  Thank you, Alex.
[00:38:33.387 --> 00:38:34.707]  Okay, you just heard Napolitano.
[00:38:34.727 --> 00:38:36.188]  I'm sure you're aware of this overhaul.
[00:38:36.228 --> 00:38:37.148]  What's your take on that?
[00:38:38.008 --> 00:38:43.210]  Well, the Federal Reserve has been such a total failure with less powers.
[00:38:43.250 --> 00:38:44.450]  Why would they want to give it more?
[00:38:45.205 --> 00:38:51.926]  You know, it was supposed to be the lend of last resort and prevent a contraction of the banking system.
[00:38:52.626 --> 00:38:53.146]  It failed.
[00:38:53.186 --> 00:38:54.307]  We had the Great Depression.
[00:38:55.647 --> 00:39:00.588]  It's supposed to have a stable, maintain a stable currency.
[00:39:00.608 --> 00:39:01.088]  It's failed.
[00:39:01.108 --> 00:39:05.669]  We've had amazing inflation in the post-World War II period.
[00:39:06.329 --> 00:39:11.030]  And it had completely failed in its regulatory obligations.
[00:39:12.634 --> 00:39:23.163]  So why give it more regulatory power, especially the kinds of powers that we just heard the judge describe, which have nothing to do with the original Fed charter?
[00:39:23.243 --> 00:39:29.969]  So I simply have to assume that something's afoot again.
[00:39:29.989 --> 00:39:35.133]  They're pulling another fast one on us, and they have some other agenda.
[00:39:36.744 --> 00:39:49.169]  Well, I agree with you, and imagine if the FBI, or the courts, or the Congress, or the President said, and I've read the bill, it's actually worse than Napolitano said, it said anything that affects a financial structure we can take over, it's even worse!
[00:39:49.229 --> 00:39:50.609]  It's everything!
[00:39:51.049 --> 00:39:54.591]  And then we've got this water bill that's about to pass the Senate, S-787,
[00:39:57.014 --> 00:40:05.496]  And this thing allows the feds to own quote all water supplies including wells, rainwater, ponds, aquifers.
[00:40:05.536 --> 00:40:09.056]  I mean my god this is getting, I can't even believe this Dr. Roberts.
[00:40:10.017 --> 00:40:18.018]  Yeah well it is an amazing grab of power and why they're doing that is not clear either.
[00:40:18.518 --> 00:40:21.959]  I do know some years back when they were persecuting
[00:40:23.177 --> 00:40:29.499]  People for building on lots for which they had state permits and the feds would come in and say, no, there's a wetland.
[00:40:29.519 --> 00:40:37.801]  And they were using this bill that had the term in it, the navigable waters of the United States.
[00:40:38.381 --> 00:40:41.102]  Well, of course, puddles aren't navigable waters.
[00:40:41.162 --> 00:40:42.623]  Neither are little streams.
[00:40:42.703 --> 00:40:47.104]  Neither are ranchers and farmers clearing out their drainage ditches.
[00:40:47.584 --> 00:40:49.965]  But they use that to regulate all of this.
[00:40:50.025 --> 00:40:50.545]  And finally,
[00:40:51.425 --> 00:41:05.177]  The point was made, this was a huge overreach, and the Clinton administration said, well, we won't punish the government for abusing its power, we'll just amend the law to reflect what they're doing.
[00:41:07.118 --> 00:41:17.527]  And so, it could be that that was the origin of this notion to give the federal government a claim over mud puddles and rainwater, so that
[00:41:19.409 --> 00:41:27.276]  They were to just sort of make legal what they were already doing under the navigable water interpretation.
[00:41:27.836 --> 00:41:42.189]  But why they would want all this power, or what they would do with it, I just, I mean, we're starting to get into the realm of, you know, police state science fiction.
[00:41:43.923 --> 00:41:44.544]  Absolutely.
[00:41:44.584 --> 00:41:50.288]  Well, when Mr. Police State Science Fiction Alex Jones is starting to think I'm in the Twilight Zone, we must be in trouble.
[00:41:50.308 --> 00:41:53.150]  Because, I mean, I can't believe how fast this is moving.
[00:41:53.850 --> 00:41:56.112]  Shifting gears into the main reason we have you here.
[00:41:56.132 --> 00:42:01.096]  Again, you're a real conservative, you know, who Ronald Reagan credited as being the father of Reaganomics.
[00:42:01.176 --> 00:42:04.438]  Biggest boom we've had in, you know, really the last 50, 60 years.
[00:42:04.958 --> 00:42:07.340]  Versus the fake conservatism of George Bush.
[00:42:07.360 --> 00:42:08.241]  You criticized him.
[00:42:09.068 --> 00:42:17.778]  When Obama came in, and you were hopeful, but you've since, for those that haven't read your writings, said it looks like he may be even worse if that's possible.
[00:42:18.539 --> 00:42:23.380]  And then, everything Obama says, he says, no lobbyist, all he hires is lobbyists.
[00:42:23.420 --> 00:42:26.060]  He says, I'm going to end the wars, he expands the wars.
[00:42:26.120 --> 00:42:30.601]  He says, I'm going to end the indefinite detention and torture, he expands it.
[00:42:31.061 --> 00:42:35.702]  And so when I saw him say he wants to be friends with Iran, I said, look out, covert operations.
[00:42:36.122 --> 00:42:42.784]  Bush's White House, I'm just filling folks in, admits they had covert operations going on to destabilize Iran.
[00:42:42.884 --> 00:42:44.144]  Obama has admitted that.
[00:42:45.335 --> 00:42:48.256]  Clearly, they're in there trying to foment things.
[00:42:48.396 --> 00:43:06.240]  I don't know who won the election either way, but certainly I agree with the articles you've been writing for your syndicated column, that regardless, our media is using this as a way to get the American people behind attacking Iran.
[00:43:06.580 --> 00:43:08.461]  So, can you break down the facts?
[00:43:08.681 --> 00:43:11.461]  Plus, what you predicted days ago has now come out and we come back.
[00:43:12.261 --> 00:43:14.502]  We've got to break, Doctor.
[00:43:15.040 --> 00:43:15.320]  Okay.
[00:43:33.908 --> 00:43:38.910]  You've probably heard about the incredible, powerful, and natural antioxidants found in red wine.
[00:43:39.231 --> 00:43:43.313]  Unfortunately, not everyone is able to drink a glass of wine each day.
[00:43:43.713 --> 00:43:47.855]  Now, you don't have to drink even a single drop, thanks to NuRev.
[00:43:48.135 --> 00:43:54.058]  NuRev is America's number one anti-aging supplement, thanks to its active ingredient resveratrol.
[00:43:54.338 --> 00:44:05.954]  Resveratrol is the main nutrient found in red wine and has been proven to help slow down the aging process, help you lose weight, override an unhealthy lifestyle, boost your energy level, and so much more.
[00:44:06.355 --> 00:44:11.222]  New Rev has been the subject of some of the most exciting anti-aging research in decades.
[00:44:11.462 --> 00:44:11.702]  Thank you.
[00:44:33.263 --> 00:44:33.503]  I'm good.
[00:44:48.200 --> 00:44:48.761]  We're good to go!
[00:45:06.724 --> 00:45:09.965]  And is a must for emergency preparedness and even everyday use.
[00:45:10.366 --> 00:45:14.087]  Visit survivaloven.com to get your very own survival oven.
[00:45:14.367 --> 00:45:20.130]  Order the Survival Oven now and we'll get you started with two cooking pots and a recipe booklet absolutely free.
[00:45:20.430 --> 00:45:24.692]  At less than 10 pounds, you can take Survival Solar Oven with you anywhere.
[00:45:24.872 --> 00:45:25.972]  Call 877-642-1553 or go to survivaloven.com.
[00:45:26.172 --> 00:45:27.333]  That's survivaloven.com.
[00:45:33.905 --> 00:45:36.286]  Are you concerned for the safety of your loved ones?
[00:45:36.586 --> 00:45:39.767]  Listen closely to this message from Pepperspray.com.
[00:45:40.207 --> 00:45:43.048]  Every 22 seconds a violent crime is committed.
[00:45:43.348 --> 00:45:47.489]  America has changed and your personal safety is your first priority.
[00:45:47.789 --> 00:45:48.389]  Be smart.
[00:45:48.589 --> 00:45:49.229]  Be safe.
[00:45:49.549 --> 00:45:51.910]  Trust Pepperspray instead of your luck.
[00:45:52.170 --> 00:45:58.392]  Pepperspray.com is the only website you'll ever need for all of your non-lethal self-defense supplies.
[00:45:58.732 --> 00:46:04.497]  Pepperspray.com carries one of the largest assortments of pepper spray and personal safety products on the web.
[00:46:04.717 --> 00:46:07.159]  From big to small, we have it all.
[00:46:07.420 --> 00:46:11.203]  Pepper spray, mace, animal repellents, stun guns, and tasers.
[00:46:11.443 --> 00:46:17.809]  Pepperspray.com also carries a large assortment of products for personal, home, child, and pet safety.
[00:46:18.169 --> 00:46:22.755]  Enter SAFE in the coupon box and you'll receive a special discount off of your order.
[00:46:23.056 --> 00:46:24.458]  So what are you waiting for?
[00:46:24.718 --> 00:46:26.481]  Go to Pepperspray.com.
[00:46:26.681 --> 00:46:28.644]  That's Pepperspray.com.
[00:46:28.804 --> 00:46:29.705]  Or call 1-800-908-9988 today!
[00:46:33.490 --> 00:46:41.895]  Of the three million plus edible food plants that grow on earth, no other single plant can compare with the nutritional value of the powder, seeds, and oil of the hemp plant.
[00:46:42.195 --> 00:46:47.879]  At HempUSA.org, we ship worldwide these nutritional products with free shipping to the US and Canada.
[00:46:48.179 --> 00:46:54.783]  At HempUSA.org, we want to educate our listeners that edible hemp is not marijuana and is certified THC-free.
[00:46:55.283 --> 00:46:58.565]  Our powder is 50% protein and does not contain gluten.
[00:46:58.686 --> 00:47:00.927]  Gluten impairs the cells from absorbing nutrients.
[00:47:01.127 --> 00:47:07.470]  This nutrient-dense food can be stored up to five years when vacuum-packed and is priced affordably to be used as a storable food.
[00:47:07.710 --> 00:47:11.032]  HempUSA.org is a bulk shipper starting with five pounds and up.
[00:47:11.232 --> 00:47:17.895]  To allow this food to work for you, call 908-691-2608 or go to HempUSA.org and order today.
