[00:00:14.116 --> 00:00:15.816]  There is a war.
[00:53:51.611 --> 00:53:57.975]  We will be protected by the great men and women of our military and law enforcement.
[00:53:57.975 --> 00:54:04.720]  And most importantly, we will be protected by God.
[00:54:12.130 --> 00:54:17.253]  Finally, we must think big and dream even bigger.
[00:54:17.253 --> 00:54:25.238]  In America, we understand that a nation is only living as long as it is striving.
[00:54:25.238 --> 00:54:34.544]  We will no longer accept politicians who are all talk and no action, constantly complaining, but never doing anything about it.
[00:54:43.436 --> 00:54:46.997]  The time for empty talk is over.
[00:54:46.997 --> 00:54:55.660]  Now arrives the hour of action.
[00:54:55.660 --> 00:55:01.262]  Do not allow anyone to tell you that it cannot be done.
[00:55:01.262 --> 00:55:06.843]  No challenge can match the heart and fight and spirit of America.
[00:55:06.843 --> 00:55:08.824]  We will not fail.
[00:55:08.824 --> 00:55:11.665]  Our country will thrive and prosper again.
[00:55:13.743 --> 00:55:30.048]  We stand at the birth of a new millennium, ready to unlock the mysteries of space, to free the Earth from the miseries of disease, and to harness the energies, industries, and technologies of tomorrow.
[00:55:30.948 --> 00:55:38.590]  A new national pride will stir our souls, lift our sights, and heal our divisions.
[00:55:38.590 --> 00:55:43.251]  It's time to remember that old wisdom our soldiers will never forget.
[00:55:43.251 --> 00:55:52.973]  That whether we are black or brown or white, we all bleed the same red blood of patriots.
[00:55:59.511 --> 00:56:07.397]  We all enjoy the same glorious freedoms, and we all salute the same great American flag.
[00:56:12.734 --> 00:56:33.243]  And whether a child is born in the urban sprawl of Detroit or the windswept plains of Nebraska, they look up at the same night sky, they fill their heart with the same dreams, and they are infused with the breath of life by the same Almighty Creator.
[00:56:40.051 --> 00:56:50.785]  So to all Americans, in every city near and far, small and large, from mountain to mountain, from ocean to ocean, hear these words.
[00:56:50.785 --> 00:56:53.949]  You will never be ignored again.
[00:56:59.284 --> 00:57:07.656]  Your voice, your hopes, and your dreams will define our American destiny.
[00:57:07.656 --> 00:57:12.564]  And your courage and goodness and love will forever guide us along the way.
[00:57:13.854 --> 00:57:18.315]  Together, we will make America strong again.
[00:57:18.315 --> 00:57:21.475]  We will make America wealthy again.
[00:57:21.475 --> 00:57:24.656]  We will make America proud again.
[00:57:24.656 --> 00:57:27.716]  We will make America safe again.
[00:57:27.716 --> 00:57:33.897]  And yes, together, we will make America great again.
[00:57:33.897 --> 00:57:39.938]  Thank you, God bless you, and God bless America.
[00:57:39.938 --> 00:57:42.119]  Thank you.
[00:57:42.119 --> 00:57:43.119]  God bless America.
[00:57:49.250 --> 00:57:50.711]  Vitamin Mineral Fusion.
[00:57:50.711 --> 00:57:53.432]  Visit Infowarslife.com to secure your canister.
[00:57:53.432 --> 00:58:00.935]  We have worked for years with our chemists and scientists to create the most powerful and affordable, great-tasting multivitamin formula available.
[00:58:00.935 --> 00:58:11.100]  Vitamin Mineral Fusion Drink Mix at Infowarslife.com is loaded with a full month's supply of essential vitamins, minerals, and amino acids that your body absolutely needs.
[00:58:11.580 --> 00:58:19.422]  In the history of InfoWars Life, we've brought out a lot of amazing products like Survival Shield X2, Super Mel Vitality, and so many others.
[00:58:19.422 --> 00:58:29.623]  With its unique delivery system and proprietary manufacturing process designed for maximized effects, this formula is the platinum standard of multivitamin mineral products.
[00:58:29.623 --> 00:58:31.664]  And this part is most important.
[00:58:31.664 --> 00:58:38.105]  The ingredients in Vitamin Mineral Fusion are either plant-derived or of the highest quality lab standard.
[00:58:38.465 --> 00:58:39.907]  That means it's clean.
[00:58:39.907 --> 00:58:41.049]  That means it's pure.
[00:58:41.049 --> 00:58:43.953]  And rest secured, you're fighting the tip of the spear in the InfoWars.
[00:58:43.953 --> 00:58:46.737]  That's InfoWarsRives.com and Vitamin Mineral Fusion.
[00:58:46.737 --> 00:58:48.379]  Take action now before we sell out.
[00:58:50.237 --> 00:58:56.019]  2017 has been a earth-shaking year.
[00:58:56.019 --> 00:58:59.280]  And 2018, guaranteed, is even gonna be wilder.
[00:58:59.280 --> 00:59:04.061]  In fact, my good friend, Stefan Molyneux, said it's gonna be like the Battle of the Gods, Ragnarok.
[00:59:04.061 --> 00:59:06.101]  So get ready, ladies and gentlemen.
[00:59:06.101 --> 00:59:18.405]  And that's why, thanking you for all your support, we are extending free shipping store-wide at infowarestore.com into early January, and the massive 50 to 67% off all our best-selling items.
[00:59:19.245 --> 00:59:25.351]  So ladies and gentlemen, whether it's Colloidal Silver, or Brain Force, or MycoZX, or Floralife, they're now back in stock.
[00:59:25.351 --> 00:59:30.476]  They're all massively discounted with free shipping at InfoWareStore.com.
[00:59:30.476 --> 00:59:39.484]  Take advantage of it, right through the new year, in a salute to the InfoWarriors, and into a thanks to all of you that have made this operation possible.
[00:59:39.804 --> 00:59:53.253]  From myself, the entire InfoWars crew, thank you for your support, thank you for bringing America back from the edge of death, and thank you for standing against the globalists and their bullying garbage.
[00:59:53.253 --> 00:59:55.874]  You're listening to the Alex Jones Show.
[00:59:58.882 --> 01:00:05.026]  When you open your heart to patriotism, there is no room for prejudice.
[01:00:05.026 --> 01:00:10.510]  When America is united, America is totally unstoppable.
[01:00:10.510 --> 01:00:13.012]  Donald J. Trump is now President of the United States.
[01:00:14.987 --> 01:00:19.889]  And most importantly, we will be protected by God!
[01:00:19.889 --> 01:00:25.151]  From the front lines of the Infowars, it's Alex Jones.
[01:00:25.151 --> 01:00:35.356]  It was 11 months and 10 days ago that President Trump was inaugurated, the 45th President of the United States, against all the odds and against the globalists.
[01:00:35.356 --> 01:00:40.098]  And we knew they were going to try to block his agenda and block Making America Great Again.
[01:00:41.378 --> 01:00:42.959]  Trump has really come through.
[01:00:42.959 --> 01:00:44.941]  You have really come through.
[01:00:44.941 --> 01:00:47.843]  And none of us are perfect, but we're not out to get America.
[01:00:47.843 --> 01:00:49.265]  We're not out to get capitalism.
[01:00:49.265 --> 01:00:50.906]  We're not out to get Christians.
[01:00:50.906 --> 01:01:00.394]  We're not out to get anybody who wants to live and let live in Western free society and culture that again isn't perfect, but has been the Renaissance the last 400 to 500 years.
[01:01:00.394 --> 01:01:00.674]  That said,
[01:01:03.556 --> 01:01:14.898]  This hour coming up, we get into the real meat and potatoes of the live events and speeches and breakdown that took place 11 months and 10 days ago in DC.
[01:01:14.898 --> 01:01:25.861]  Then in the third hour, we get into the Sunday show after I came back a few days later and really went through Trump's speech and more and made my predictions that have come true.
[01:01:26.781 --> 01:01:29.002]  So very, very powerful transmission.
[01:01:29.002 --> 01:01:37.223]  And it's key that we celebrate the victories we've had and be thankful to God, our families, to everybody that made it possible, including ourselves.
[01:01:37.223 --> 01:01:39.664]  So great job, everybody.
[01:01:39.664 --> 01:01:49.506]  And Bravo, no matter what color you are, where you came from, if you support free market capitalism and open, free society and really care about making America great again, we are all brothers and sisters together.
[01:01:49.506 --> 01:01:52.147]  So I salute you all.
[01:01:52.147 --> 01:01:52.647]  That said,
[01:01:53.621 --> 01:01:57.483]  I don't plug quite enough to fund our operation the way we need to.
[01:01:57.483 --> 01:02:05.887]  We really worked a lot harder in 2017 to bring in the same amount of capital we brought in just barely in 2016.
[01:02:05.887 --> 01:02:11.510]  It was a giant election year and record ratings, obviously, for InfoWars.
[01:02:11.510 --> 01:02:14.712]  We grew, grew, grew to 2016.
[01:02:14.712 --> 01:02:16.192]  Doubled our audience that year.
[01:02:16.192 --> 01:02:20.595]  It dropped down some from that peak, but still, that was a new peak.
[01:02:20.595 --> 01:02:23.136]  Our new plateau was way above what it had been previously.
[01:02:24.414 --> 01:02:32.276]  But the audience under censorship and under attack, again, has been about 70% of what it was in 2016.
[01:02:32.276 --> 01:02:40.819]  And I want to continue the trend of the plateau to get back to where we were growing, because the global is really trying to shut us down.
[01:02:40.819 --> 01:02:47.201]  So please spread the word, the articles, the videos, the live links, the podcasts, the free apps to everybody you know.
[01:02:47.201 --> 01:02:48.982]  It's that word of mouth that's unstoppable.
[01:02:48.982 --> 01:02:52.483]  And get great game-changing products at infowarestore.com.
[01:02:53.263 --> 01:02:53.543]  That's right.
[01:03:19.256 --> 01:03:25.403]  50% off when you get it with our amazing Floral Life Advanced Restoration 50 Billion Live Probiotic.
[01:03:25.403 --> 01:03:30.970]  This is the top of the line, highest quality probiotic out there.
[01:03:30.970 --> 01:03:39.399]  There are many other probiotics that are double, triple its regular retail price that are basically the same thing because they mark up high-end stuff way, way high.
[01:03:40.200 --> 01:03:40.761]  We don't do it.
[01:03:59.375 --> 01:04:01.136]  Well then it's a lost leader.
[01:04:01.136 --> 01:04:04.497]  So I want you to experience how great flora life is.
[01:04:04.497 --> 01:04:09.799]  That's something you regularly take just for good gut bacteria because the pesticides kill the good ones as you know.
[01:04:09.799 --> 01:04:12.441]  I mean just 20 years ago people laughed at probiotics.
[01:04:12.441 --> 01:04:16.682]  Now it's admittedly one of the top sciences out there and just absolute game changer.
[01:04:16.682 --> 01:04:19.764]  But what people aren't aware of is all the fungus mold and yeast that gets in the gut.
[01:04:20.598 --> 01:04:22.679]  And that's where MycoZx comes in.
[01:04:22.679 --> 01:04:26.480]  And I first took MycoZx when it was being developed a few years ago before it was even released.
[01:04:26.480 --> 01:04:31.502]  And it was so amazing what it did and the way it flushed me out and the way I lost weight and how healthy I was.
[01:04:31.502 --> 01:04:40.785]  I kicked myself just realizing the last time it sold out that I hadn't done another regimen myself because I'm just not somebody that was ever brought up with supplements and things.
[01:04:40.785 --> 01:04:42.706]  It's something I've learned to do to be healthier.
[01:04:42.706 --> 01:04:44.086]  It's made my life so much better.
[01:04:44.086 --> 01:04:45.787]  So get free shipping at InfoWarsLife.com.
[01:04:46.747 --> 01:04:48.250]  We're called 888-253-3139.
[01:04:48.250 --> 01:04:51.555]  They get 50% off on these products when you get them together.
[01:04:51.555 --> 01:04:52.958]  They go really well together.
[01:04:52.958 --> 01:04:53.619]  It's critical.
[01:04:53.619 --> 01:04:57.646]  You can't lose because you get great products to help your body and your family and you fund the InfoWars.
[01:04:57.646 --> 01:04:58.207]  So thank you all.
[01:04:59.574 --> 01:05:02.177]  Matt in Ohio, you're on the air, another Matt, go ahead.
[01:05:02.177 --> 01:05:16.770]  Yeah, hey, listen, I just wanted to say real quick, I'm a long-time listener of InfoWars, and I just wanted to say that the t-shirts that you guys are offering are absolutely fantastic, and that really is a great way to deal with this battle in the InfoWars.
[01:05:16.770 --> 01:05:24.338]  It might seem like a simple thing, but particularly these slogan t-shirts that you guys got up right now are absolutely amazing.
[01:05:24.878 --> 01:05:36.031]  My favorite new one is the Don't Tread On Me, but instead it says Won't Tread On Me, and it's a big Dayglo snake, Gadsden snake, and then it's got the American flag, Infowars.com on the right arm.
[01:05:36.031 --> 01:05:42.278]  I mean, that's a great way just to meet like-minded people and spread the word and also exercise free speech.
[01:05:42.278 --> 01:05:44.942]  And the newest one is Trigger Warning T-shirt.
[01:05:45.442 --> 01:05:52.287]  Trigger warning t-shirt, which is the symbol of a trigger, with a yield sign and then InfoWars.com on the back.
[01:05:52.287 --> 01:06:02.354]  That is the new shirt of the month, available exclusively at InfoWarsStore.com.
[01:06:02.354 --> 01:06:03.415]  Alex Jones.
[01:06:03.415 --> 01:06:04.575]  He was a nice guy, actually.
[01:06:04.575 --> 01:06:04.996]  You like him?
[01:06:06.348 --> 01:06:07.028]  Oh, that's good.
[01:06:07.028 --> 01:06:08.409]  Alex Jones.
[01:06:08.409 --> 01:06:09.249]  Nice guy.
[01:06:09.249 --> 01:06:16.992]  I know now from top people that you actually are for real and you understand you're in danger and you understand what you're doing is epic.
[01:06:16.992 --> 01:06:18.473]  Your reputation is amazing.
[01:06:18.473 --> 01:06:20.434]  I will not let you down.
[01:06:20.434 --> 01:06:23.315]  You will be very, very impressed, I hope.
[01:06:23.875 --> 01:06:28.696]  And I think we'll be speaking a lot, but you'll be looking at me in a year and a year or two years.
[01:06:28.696 --> 01:06:31.397]  Let's give me a little bit of a time to run things.
[01:06:31.397 --> 01:06:35.818]  But a year into office, you'll be saying, wow, I remember that interview.
[01:06:35.818 --> 01:06:37.859]  He said he was going to do it, and he did a great job.
[01:06:37.859 --> 01:06:39.279]  You'll be very proud of our country.
[01:06:39.279 --> 01:06:40.960]  So while we're there, you probably read it.
[01:06:40.960 --> 01:06:43.040]  It was in Drudge, who's great, by the way.
[01:06:43.040 --> 01:06:44.281]  Drudge is amazing.
[01:06:44.961 --> 01:06:49.263]  But the story in Drudge and Big Story, it's all over the place now.
[01:06:49.263 --> 01:06:52.564]  Guys swimming across and big bags of stuff.
[01:06:52.564 --> 01:06:53.785]  It's drugs.
[01:06:53.785 --> 01:06:57.707]  Swimming across the river, right?
[01:06:57.707 --> 01:06:59.047]  Swimming right across.
[01:06:59.047 --> 01:07:01.408]  We just caught these guys coming across the border.
[01:07:01.408 --> 01:07:02.229]  They're jumping in.
[01:07:02.229 --> 01:07:03.389]  They just jumped in the rafts.
[01:07:03.389 --> 01:07:06.350]  They're coming in one, two, three, four.
[01:07:06.350 --> 01:07:07.451]  They have big satchels.
[01:07:08.442 --> 01:07:14.828]  And actually the camera crew, or the reporters, were petrified because they thought they were going to be killed.
[01:07:14.828 --> 01:07:17.951]  Because they're showing this on camera, the guys carrying bags of stuff.
[01:07:17.951 --> 01:07:18.352]  It was drugs.
[01:07:18.352 --> 01:07:25.459]  Thank you.
[01:07:25.459 --> 01:07:27.921]  Donald Trump, I hope you can help uncripple America.
[01:07:27.921 --> 01:07:29.242]  Thank you so much, sir.
[01:07:29.242 --> 01:07:31.084]  You will be attacked for coming on and we know you know that.
[01:07:31.084 --> 01:07:32.045]  Thank you.
[01:07:32.045 --> 01:07:32.706]  Thank you very much.
[01:07:33.787 --> 01:07:38.796]  Rallying patriots worldwide in defense of human liberty.
[01:07:38.796 --> 01:07:40.799]  It's Alex Jones.
[01:07:40.799 --> 01:07:44.004]  Joining us now is Alex Jones from Washington DC.
[01:07:44.004 --> 01:07:44.165]  Alex?
[01:07:46.035 --> 01:07:46.735]  Well, thank you, David.
[01:07:46.735 --> 01:07:48.176]  Yes, it's an amazing print.
[01:07:48.176 --> 01:07:51.218]  I'm shocked that the guy's a listener, a big fan, and very famous.
[01:07:51.218 --> 01:07:54.100]  He's the official, you know, guy that does it for the Republican Party.
[01:07:54.100 --> 01:07:56.681]  And, of course, the famous drawing of Ronald Reagan with a cowboy hat.
[01:07:56.681 --> 01:07:58.262]  That's him, but that's a side issue.
[01:07:58.262 --> 01:08:05.527]  I'm just going to take over here for about 10 minutes and hand the baton back to you guys, and I'm going to come in later in the 14-hour marathon broadcast with you guys.
[01:08:05.527 --> 01:08:11.811]  First off, let me just take a deep breath here and break down what just happened here today.
[01:08:11.811 --> 01:08:12.451]  Undoubtedly,
[01:08:13.433 --> 01:08:14.733]  This was Providence.
[01:08:14.733 --> 01:08:18.115]  This was American destiny being invoked.
[01:08:18.115 --> 01:08:25.517]  This was Trump declaring the birthright of this republic that George Washington talked about and that Providence that started back in 1776.
[01:08:25.517 --> 01:08:28.678]  He invoked it.
[01:08:28.678 --> 01:08:31.820]  It was so historical and I knew they were going to invoke it.
[01:08:31.820 --> 01:08:33.040]  It just came into my mind.
[01:08:33.852 --> 01:08:39.987]  And I knew, even though he hasn't given a speech, and I haven't talked to Trump about this, I knew what was about to happen.
[01:08:39.987 --> 01:08:43.876]  And I said, I've got a tweet that they're going to re-invoke
[01:08:44.697 --> 01:08:45.638]  Uh, the birthright.
[01:08:45.638 --> 01:08:47.019]  I just feel it.
[01:08:47.019 --> 01:08:49.061]  Because that's really what this is.
[01:08:49.061 --> 01:08:51.523]  And then the media was asking me, even the New York Times had seen the tweet.
[01:08:51.523 --> 01:08:52.744]  They said, did you talk to Trump?
[01:08:52.744 --> 01:08:54.285]  And how did you know it wasn't a speech nobody else did?
[01:08:54.285 --> 01:08:55.786]  And I said, no!
[01:08:55.786 --> 01:08:56.687]  This is Americana.
[01:08:56.687 --> 01:08:57.107]  Do you understand?
[01:08:57.107 --> 01:08:58.068]  We're reading the same book.
[01:08:58.068 --> 01:08:59.429]  It's the same spirit.
[01:08:59.429 --> 01:09:01.250]  So I will tell them when I talk about Trump.
[01:09:01.250 --> 01:09:02.651]  The spirit of America.
[01:09:02.651 --> 01:09:04.413]  Can you feel it rising?
[01:09:04.413 --> 01:09:05.434]  Trump feels it.
[01:09:05.434 --> 01:09:06.394]  He knows it.
[01:09:06.394 --> 01:09:07.475]  He loves it.
[01:09:07.475 --> 01:09:13.480]  He wants to serve the people and empower the people and have America be incredibly wealthy again and empower the globe.
[01:09:14.269 --> 01:09:20.373]  Back when we had 50% of the world's wealth just 30 years ago, we were sending more money to countries than we are now, and more industry.
[01:09:20.373 --> 01:09:26.656]  Now all we send is corporate, liberalist, or monopoly men that do not want us to be prosperous.
[01:09:26.656 --> 01:09:32.300]  So, the message we heard in this speech has been my message for over a decade.
[01:09:33.433 --> 01:09:34.573]  I mean, longer than that.
[01:09:34.573 --> 01:09:37.074]  But this is Americanism versus Globalism.
[01:09:37.074 --> 01:09:39.895]  So Trump isn't reading from my sheet of music.
[01:09:39.895 --> 01:09:42.195]  It's the sheet of music that's reality.
[01:09:42.195 --> 01:09:44.436]  And that's why it's so similar to what I say on the show.
[01:09:44.436 --> 01:09:45.996]  Don't you hear Trump say later?
[01:09:45.996 --> 01:09:47.836]  Okay, and yes, Trump obviously doesn't listen to the show.
[01:09:47.836 --> 01:09:48.557]  He told me.
[01:09:48.557 --> 01:09:50.497]  But let's just move past all that.
[01:09:50.497 --> 01:09:54.418]  What really matters here is that the people are so awake.
[01:09:54.418 --> 01:09:55.458]  I mean, I'm not kidding.
[01:09:55.458 --> 01:09:58.079]  Every second person I walk by is a listener.
[01:09:58.599 --> 01:09:59.900]  I mean, it is blowing my mind.
[01:09:59.900 --> 01:10:01.361]  You've seen the live feeds.
[01:10:01.361 --> 01:10:10.205]  The amount of young people, the amount of teenagers that are listeners, this is indicative of the huge, incredible awakening that is happening on a planetary scale, not just here.
[01:10:10.205 --> 01:10:19.250]  So make no mistake, this revolution against globalism, this revolution against globalism is something that belongs to the people.
[01:10:19.250 --> 01:10:20.230]  And Trump said that.
[01:10:20.230 --> 01:10:22.071]  This revolution is about you.
[01:10:22.071 --> 01:10:23.292]  You are what empowers it.
[01:10:23.292 --> 01:10:24.833]  You are the future.
[01:10:24.833 --> 01:10:27.414]  And we're going to get out of your way and let you
[01:10:28.041 --> 01:10:29.323]  Have your destiny.
[01:10:29.323 --> 01:10:30.365]  Have your dreams.
[01:10:30.365 --> 01:10:35.814]  And we understand America's special in that destiny, and that as America goes, the rest of the world goes.
[01:10:35.814 --> 01:10:38.999]  Washington envisioned all of this in his farewell address.
[01:10:38.999 --> 01:10:41.423]  He saw this in Providence.
[01:10:42.941 --> 01:10:44.461]  And now it's all come true.
[01:10:44.461 --> 01:10:45.462]  The enemy knew that.
[01:10:45.462 --> 01:10:47.342]  That's why they always evoke the occult.
[01:10:47.342 --> 01:10:47.682]  Evoke.
[01:10:47.682 --> 01:10:49.082]  Don't talk about God or Christ.
[01:10:49.082 --> 01:10:50.403]  Don't talk about providence.
[01:10:50.403 --> 01:10:55.884]  Don't say, you know, America is great and all this stuff to demoralize us not to have this birthright.
[01:10:55.884 --> 01:11:03.205]  It's why they teach you in school how horrible, you know, the idea of American providence and manifest destiny and all of this is.
[01:11:03.205 --> 01:11:05.446]  And talk about the problems and crimes associated.
[01:11:05.686 --> 01:11:08.668]  There's problems and crimes associated with any humans or any movement.
[01:11:08.668 --> 01:11:14.291]  But overall, the greater destiny to defeat tyranny worldwide and to stop a great evil in the future.
[01:11:14.291 --> 01:11:23.416]  And I believe it's going to be this republic in the future that defeats the entire world government anti-human eugenics-based technocracy system.
[01:11:23.416 --> 01:11:24.897]  So, we're here.
[01:11:24.897 --> 01:11:27.278]  This is a giant victory for humanity.
[01:11:27.278 --> 01:11:28.239]  It is massive.
[01:11:28.239 --> 01:11:33.602]  And looking at Michelle and looking at Obama up on the Jumbotron,
[01:11:34.881 --> 01:11:41.944]  When they were singing the Star-Spangled Banner, Obama, with that arrogant, smug feeling that he's better than everybody, looked like he was dying.
[01:11:41.944 --> 01:11:51.768]  And a fake smile on his shoulder was frowning the entire time, because these are cult members who were put in power by the globalists so that they could help destroy the country and divide the nation.
[01:11:51.768 --> 01:11:55.650]  They are absolutely evil and want poor people not to have a future.
[01:11:55.650 --> 01:11:58.691]  That's why he goes to Africa and says, you can't have cars or air conditioning.
[01:11:59.648 --> 01:12:06.711]  Because he is literally there to hurt poor people across the board and they needed that face though as their cover to carry it out.
[01:12:06.711 --> 01:12:18.356]  Donald Trump right now is making hundreds of phone calls a day trying to get jobs into Detroit, trying to get jobs into Atlanta, trying to get jobs into all these places in the Midwest as well.
[01:12:18.356 --> 01:12:21.937]  Very, very, very exciting stuff is happening.
[01:12:21.937 --> 01:12:28.420]  This is just an incredible time to be alive and I cannot stress to everybody how historical this is because
[01:12:29.216 --> 01:12:43.564]  Everything the New World Order's done has been designed to bring this country down because they can't have a big, free, open, wealthy nation-state with a big, fat, middle class, upwardly mobile people inside this impoverished, anti-human world government system they're establishing.
[01:12:43.564 --> 01:12:46.125]  The American system is too much competition for them.
[01:12:46.125 --> 01:12:47.686]  They admit that in the white papers.
[01:12:47.686 --> 01:12:52.049]  The British government 200 years ago wrote they couldn't compete with the American system.
[01:12:52.049 --> 01:12:54.550]  And again, the British now are throwing off globalism.
[01:12:54.550 --> 01:12:56.211]  They're throwing off these monopoly systems.
[01:12:57.159 --> 01:12:59.340]  So this is an incredible time to be alive.
[01:12:59.340 --> 01:13:00.821]  It is an amazing time to be alive.
[01:13:00.821 --> 01:13:04.384]  And it is, quite frankly, so humbling and stunning.
[01:13:04.384 --> 01:13:10.928]  The fact that we go through these crowds of people, a people of every race, color, and creed are all just humans with red blood.
[01:13:10.928 --> 01:13:20.334]  This is breaking the will of the media that's trying to create racial division and trying to say that if you're not a white person, you can't, you know, have guns or private property or a future.
[01:13:20.334 --> 01:13:22.555]  You don't have the American birthright.
[01:13:22.555 --> 01:13:24.877]  You don't have a future of wealth.
[01:13:25.217 --> 01:13:26.458]  That's your enemy, that's racist.
[01:13:26.458 --> 01:13:34.841]  This is a cult programming to make people poor and make them the slaves of the globalists who all over the world will play different groups off against each other.
[01:13:34.841 --> 01:13:37.802]  If it's Ukraine, they'll play Catholic off against Orthodox.
[01:13:37.802 --> 01:13:43.705]  Or if it's a country in Africa, they'll play the Christians off against the, you know, the animists or the Muslims or vice versa.
[01:13:43.705 --> 01:13:49.527]  It's all divide and conquer because the elite are destroying nations trying to make us poor.
[01:13:49.527 --> 01:13:51.148]  So, America,
[01:13:52.097 --> 01:13:52.918]  We're good to go.
[01:14:09.767 --> 01:14:15.691]  began to come back from the dead in the last few months and now has come back to life.
[01:14:15.691 --> 01:14:22.775]  The phoenix is coming up right now and how powerful that phoenix is, how incredible that destiny is.
[01:14:23.593 --> 01:14:25.015]  It's up to us.
[01:14:25.015 --> 01:14:28.158]  We are what breathes life into the spirit, it into us.
[01:14:28.158 --> 01:14:30.300]  And the enemy knows everything's energy.
[01:14:30.300 --> 01:14:36.766]  You see, forget all the religious books and all the stuff you get to hear from the preachers who are there to control the paradigm.
[01:14:36.766 --> 01:14:41.171]  The enemy wants to destroy our spirit, make us feel weak, so we don't take our birthright and destiny.
[01:14:41.611 --> 01:14:44.872]  We're taking the destiny in our hands.
[01:14:44.872 --> 01:14:46.493]  We're breathing life into it.
[01:14:46.493 --> 01:14:48.713]  And those devil worshippers out there, the enemy.
[01:14:48.713 --> 01:14:51.034]  Chuckie Schumer, devil worshipper.
[01:14:51.034 --> 01:14:52.335]  Obama, devil worshipper.
[01:14:52.335 --> 01:14:53.135]  It's well known.
[01:14:53.135 --> 01:14:54.795]  These are devil worshippers.
[01:14:54.795 --> 01:14:56.216]  What's a devil worshipper?
[01:14:56.216 --> 01:14:57.376]  They want to hurt other people.
[01:14:57.376 --> 01:14:58.436]  They want to be number one.
[01:14:58.436 --> 01:14:59.777]  They don't like seeing somebody succeed.
[01:15:00.297 --> 01:15:00.938]  Okay?
[01:15:00.938 --> 01:15:02.919]  What's somebody that wants prosperity and renaissance?
[01:15:02.919 --> 01:15:04.620]  They want wealth, a cornucopia.
[01:15:04.620 --> 01:15:08.062]  They're not jealous of somebody that's got a big house or a good-looking wife, or vice versa.
[01:15:08.062 --> 01:15:11.485]  As long as you don't take something from me, I think your success is great.
[01:15:11.485 --> 01:15:22.912]  These people are devil worshippers, and what happened today was the chief executive invited God back in and said, the door's open, and then said to the people, the door's open now to you.
[01:15:22.912 --> 01:15:28.116]  If you want this birthright, if you want goodness, we've all got to be good, we've got to come together,
[01:15:28.832 --> 01:15:33.356]  And we've gotta, whether you're black hired, white people, if you're, you know, white hired, black people, whatever!
[01:15:33.356 --> 01:15:39.100]  We gotta come together about issues that we stand for, what we believe in, and transcend all the control.
[01:15:39.100 --> 01:15:47.607]  The media pushed way too hard with all the race garbage, now they're saying he's a Russian spy, now they're saying they've got communiques with him and the Russians, and literally now, he tells
[01:15:48.397 --> 01:15:53.662]  See, it's not just Maxi Waters, it's the New York Times now says that Putin actually told him Hillary was crooked!
[01:16:07.634 --> 01:16:10.696]  No refrigeration needed with a 10-year shelf life.
[01:16:10.696 --> 01:16:12.277]  NASA PAC Technology.
[01:16:12.277 --> 01:16:12.898]  Bacon.
[01:16:12.898 --> 01:16:17.061]  Fully cooked, fully hydrated, ready to eat right from the pack bacon.
[01:16:17.061 --> 01:16:18.482]  Or warm and served.
[01:16:18.482 --> 01:16:20.543]  Life-saving, ready to eat bacon.
[01:16:20.543 --> 01:16:22.485]  10-year shelf life bacon.
[01:16:22.485 --> 01:16:25.267]  Ships free at FullyCookedBacon.com.
[01:16:25.267 --> 01:16:26.548]  FullyCookedBacon.com.
[01:16:27.288 --> 01:16:30.730]  Water is the single most important thing your body needs.
[01:16:30.730 --> 01:16:34.052]  So you want to be sure it's the best for you and your family.
[01:16:34.052 --> 01:16:38.335]  Since 2005, thousands have depended on Berkey Purified Water.
[01:16:38.335 --> 01:16:42.958]  The Berkey guy provides the lowest price filtration systems in every size.
[01:16:42.958 --> 01:16:46.820]  Pour incredibly delicious water now and in an emergency.
[01:16:46.820 --> 01:16:48.521]  Get to GoBerkey.com or call 877-886-3653.
[01:16:48.521 --> 01:16:48.641]  877-886-3653.
[01:16:48.641 --> 01:16:49.001]  GoBerkey.com
[01:16:57.026 --> 01:16:58.067]  Hey, Daniel Brinkman.
[01:16:58.067 --> 01:17:00.408]  Why NuMana storable foods?
[01:17:00.408 --> 01:17:01.748]  We believe in freedom.
[01:17:01.748 --> 01:17:05.150]  America needs strong, independent families to endure what's ahead.
[01:17:05.150 --> 01:17:06.691]  And we take this charge seriously.
[01:17:06.691 --> 01:17:07.731]  We got options.
[01:17:07.731 --> 01:17:08.372]  Organic.
[01:17:08.372 --> 01:17:09.172]  No gluten.
[01:17:09.172 --> 01:17:10.473]  Without the chemicals.
[01:17:10.473 --> 01:17:11.994]  Great taste and value.
[01:17:11.994 --> 01:17:16.516]  NuMana is a no-lose investment for your family's food independence.
[01:17:16.516 --> 01:17:17.636]  Get your NuMana today.
[01:17:17.636 --> 01:17:17.917]  Call 888-597-0775.
[01:17:17.917 --> 01:17:18.017]  888-597-0775.
[01:17:18.017 --> 01:17:20.018]  Online discounts available at PowerPrepper.com.
[01:17:20.018 --> 01:17:20.578]  PowerPrepper.com.
[01:17:26.901 --> 01:17:29.542]  Most people think life insurance pays after you're dead.
[01:17:29.542 --> 01:17:30.542]  That's true.
[01:17:30.542 --> 01:17:35.604]  But did you know you can have tax-free access to your life insurance while you're still alive?
[01:17:35.604 --> 01:17:40.805]  You can use the life benefits of your life insurance to grow your money with certainty and guarantees.
[01:17:40.805 --> 01:17:45.007]  No stock market risk, no tax risk, and no penalties.
