[00:00:00.029 --> 00:00:00.789]  This is everything.
[00:36:59.471 --> 00:37:04.331]   it and with producers fact-checking everything before it goes out, it would be absolutely
[00:37:04.331 --> 00:37:08.731]  explosive and it's the thing to do.
[00:37:06.776 --> 00:37:09.201]  And so I predict that's what Tucker's gonna do.
[00:37:11.843 --> 00:37:16.726]  From your mouth to God's ears, I think his next act is going to be his greatest act of all.
[00:37:17.887 --> 00:37:18.427]  He's young.
[00:37:18.707 --> 00:37:19.568]  He's vital.
[00:37:20.488 --> 00:37:21.589]  He's determined.
[00:37:22.290 --> 00:37:24.111]  He's a man of enormous courage.
[00:37:24.851 --> 00:37:26.493]  I don't think he saw this coming.
[00:37:27.213 --> 00:37:38.100]  And I think reflecting back on our dinner, I don't think he had a contingency plan because he had a multi-year contract, reportedly a $20 million a year contract.
[00:37:38.521 --> 00:37:41.038]   So whatever years he has Laughs.
[00:37:44.453 --> 00:37:50.896]  Sure, but let's hope it's not golden handcuffs like Ventura.
[00:37:51.336 --> 00:37:55.097]  They signed him for five years or whatever and then fired him in a year and then he couldn't work for four.
[00:37:56.198 --> 00:37:59.279]  If I know Tucker, he'll just, if that's in there, he'll just give the money back.
[00:37:59.319 --> 00:38:03.980]  But without getting into it, and I had some other conversations with him, he knew he could be fired anytime.
[00:38:04.241 --> 00:38:05.461]  And he was fighting with these producers.
[00:38:05.941 --> 00:38:06.802]  And he said he didn't care.
[00:38:07.542 --> 00:38:09.162]  And so he said, he said, I don't care.
[00:38:09.222 --> 00:38:10.343]  I'm not stopping no matter what.
[00:38:10.723 --> 00:38:12.364]  And that's what, you know, he told me at Thanksgiving.
[00:38:12.384 --> 00:38:13.244]  So I think we've seen that.
[00:38:14.864 --> 00:38:19.048]  Well, people weren't tuning in just because they liked his delivery style.
[00:38:19.509 --> 00:38:39.248]  They were tuning in because of the news that he constantly broke, because of his willingness to challenge the conventional wisdom narrative, because of his willingness to stand up, whether it was Big Pharma, whether it was January 6th, or whether it was the war, or whether it was Hunter Biden's laptop.
[00:38:39.648 --> 00:38:49.536]  Or whether, in my case, it was the outrageousness of the Mueller witch hunt, where they basically were pressuring me to lie against Donald Trump.
[00:38:49.576 --> 00:38:50.557]  I have to be very honest.
[00:38:51.037 --> 00:38:55.100]  If it were not for Tucker Carlson, would I even be alive today?
[00:38:55.460 --> 00:38:57.122]  Would I be here on this show today?
[00:38:57.142 --> 00:38:57.702]  No, absolutely.
[00:38:58.042 --> 00:39:03.627]  He championed you and championed... He's the only national show that played the clips of me trying to stop people going to the Capitol.
[00:39:04.087 --> 00:39:04.968]  They were trying to indict me.
[00:39:04.988 --> 00:39:07.150]  The Justice Department literally was trying to indict me.
[00:39:07.950 --> 00:39:08.810]  It came very close.
[00:39:09.090 --> 00:39:09.850]  They basically admitted.
[00:39:10.571 --> 00:39:14.612]  But because of those clips and the fact that Tucker put it out, wow.
[00:39:14.632 --> 00:39:15.832]  So it is a big loss.
[00:39:16.072 --> 00:39:16.732]  He'll be okay.
[00:39:16.752 --> 00:39:17.272]  He'll be back.
[00:39:17.732 --> 00:39:18.573]  I know he likes to hunt.
[00:39:18.633 --> 00:39:19.613]  I know he misses his wife.
[00:39:20.073 --> 00:39:22.754]  I know he's really happy, you know, overall right now.
[00:39:22.774 --> 00:39:24.174]  But I hope he doesn't wait too long.
[00:39:24.634 --> 00:39:28.995]  I hope he, you know, gets going quickly because we need him on the field.
[00:39:30.493 --> 00:39:36.338]  He's a very savvy guy, so I think that he's probably working on a plan right now.
[00:39:36.699 --> 00:39:44.165]  The only question in my mind is whether it is net-based, whether it is cable-based.
[00:39:44.566 --> 00:39:51.512]  By the way, I think it's very important to recognize that there's a major effort to do away with AM radio.
[00:39:52.433 --> 00:40:01.864]  Ford has announced, and Tesla has also announced, that there will not be AM radio receivers in their next generation of vehicles.
[00:40:02.024 --> 00:40:07.070]  And by the way, that AM receiver, for those people that don't know, cost them like $3 to put in the computer.
[00:40:07.511 --> 00:40:08.112]  I looked it up.
[00:40:08.512 --> 00:40:09.594]  It's literally nothing.
[00:40:10.014 --> 00:40:11.336]  It's a tiny little chip part.
[00:40:12.628 --> 00:40:19.592]  But AM radio is a vital, important asset in terms of alternative and conservative messaging.
[00:40:19.652 --> 00:40:25.416]  Talk, conservative talk radio is still very, very powerful in this country.
[00:40:25.776 --> 00:40:30.539]  The emergency broadcast system is based in our AM radio networks.
[00:40:31.099 --> 00:40:34.761]  Uh, yet there's a concerted effort to do away from it.
[00:40:34.801 --> 00:40:36.101]  Just like they want to get rid of cash.
[00:40:36.141 --> 00:40:40.183]  And this is key because old media didn't watch and listen to you.
[00:40:40.663 --> 00:40:42.184]  All the new media tracks what you do.
[00:40:42.564 --> 00:40:43.144]  It's two way.
[00:40:43.444 --> 00:40:48.526]  So we need to keep broadcast TV and radio because you know next is going to be FM radio.
[00:40:48.606 --> 00:40:49.026]  Absolutely.
[00:40:49.046 --> 00:40:50.127]  We've got that.
[00:40:50.187 --> 00:40:58.290]  I think congressional law, uh, you know, ought to basically say, uh, that it's baked into the cake that, that, that, that communications need to stay there.
[00:40:59.727 --> 00:41:02.749]  Well, and the emergency broadcast system justifies it.
[00:41:02.869 --> 00:41:08.113]  It's the most important way to get to all Americans.
[00:41:08.153 --> 00:41:11.355]  I mean, those who listen to AM radio see just a fact.
[00:41:11.735 --> 00:41:16.618]  They tend to be more middle and lower socioeconomic Americans.
[00:41:17.019 --> 00:41:19.760]  They're usually doing something else while they're listening to the radio.
[00:41:20.081 --> 00:41:22.462]  Mostly driving, but not completely.
[00:41:23.423 --> 00:41:25.124]  And they don't want to have to have a phone.
[00:41:25.224 --> 00:41:26.705]  And a phone can break or cut out.
[00:41:27.225 --> 00:41:27.866]  Absolutely.
[00:41:27.946 --> 00:41:29.087]  And there's a major move to do that.
[00:41:29.667 --> 00:41:57.052]   Well I think Kevin McCarthy, while I laud the fact that he gave all of the January 6th videos, or he made them available to Tucker, I still believe he needs to fulfill his campaign pledge, put them all up on a public access website, so that the attorneys for those who are charged regarding January 6th can see them, so that journalists, all journalists can see them, so that all American citizens can see them, and make Their own judgments.
[00:41:57.392 --> 00:42:08.398]  That's what he committed to do, with no disrespect to Tucker Carlson at all, who I think produced some great programming and some bombshell reports on that material.
[00:42:08.818 --> 00:42:11.700]  I suspect that there's more there that we need to see.
[00:42:11.720 --> 00:42:16.022]  As far as Joe Biden is concerned, Alex, I'm sorry, I'm still not convinced.
[00:42:16.242 --> 00:42:21.586]   I think that this announcement of this week Uh, means that he's a placeholder.
[00:42:21.906 --> 00:42:23.427]  So he announced his candidacy.
[00:42:23.908 --> 00:42:26.550]  I presume that he's filing with the Federal Election Commission.
[00:42:26.930 --> 00:42:34.636]  It does not mean that in January of next year that he's going to file the petitions to get on the ballot in South Carolina.
[00:42:35.297 --> 00:42:41.041]  And they've now streamlined the democratic process to try to kneecap Robert Kennedy.
[00:42:41.101 --> 00:42:43.283]  So there is no Iowa caucuses.
[00:42:44.383 --> 00:42:46.985]  There is no first in the nation New Hampshire primary.
[00:42:47.445 --> 00:42:57.689]  Or if those state committees, Democrat state committees, insist on going forward, they'll be after the South Carolina contest and they'll be stripped of their delegates.
[00:42:57.709 --> 00:43:01.011]  So the big question is, and I totally agree, he can't even barely talk.
[00:43:01.191 --> 00:43:02.111]  He's way worse than ever.
[00:43:02.492 --> 00:43:03.412]  He's degenerating.
[00:43:03.432 --> 00:43:07.434]  His, you know, sell-by date was years ago.
[00:43:09.915 --> 00:43:11.098]  The expiration date is gone.
[00:43:11.479 --> 00:43:12.983]  Who are they planning to bring in?
[00:43:13.264 --> 00:43:14.106]  Is it Newsom?
[00:43:15.008 --> 00:43:17.776]  Is Hillary crazy enough to try it again?
[00:43:18.117 --> 00:43:18.818]  Is it Big Mike?
[00:43:20.437 --> 00:43:22.539]  I think that it is Michelle Obama.
[00:43:22.779 --> 00:43:27.262]  I think Michelle Obama could raise $100 billion in two weeks.
[00:43:28.023 --> 00:43:30.745]  The convention is in Chicago, her hometown.
[00:43:31.345 --> 00:43:38.230]  South Carolina is a state where demographically African-American Democrats dominate the primary.
[00:43:38.910 --> 00:43:40.932]  It is the home state of her grandparents.
[00:43:43.333 --> 00:43:48.156]  I still think, in the end, she is your most likely Democratic nominee.
[00:43:48.216 --> 00:43:57.901]  Now, the more she says, I'm not interested, I'm not running, the more I become convinced that that is absolutely the plan.
[00:43:58.881 --> 00:44:00.122]  Let me ask you a question, Roger.
[00:44:00.182 --> 00:44:06.985]  Here is Big Mike coming out of a building, a university, and what do you think is happening there?
[00:44:07.005 --> 00:44:09.847]  What is Big Mike adjusting, and what is bouncing around?
[00:44:11.449 --> 00:44:13.570]  I'm not going to speculate on that.
[00:44:13.990 --> 00:44:25.433]  I've had my good friend Joel Gilbert has an extraordinarily effective and very well done both book and documentary called Michelle Obama 2024.
[00:44:27.033 --> 00:44:37.836]  And I think he makes a very compelling case about how she's in the midst of reinventing herself and how she changes up her diction and her hairstyle at campaign time.
[00:44:39.177 --> 00:44:44.343]  I think she'd be a very formidable candidate if she elects to run.
[00:44:45.004 --> 00:44:48.068]  She would not be carrying the baggage of Joe Biden.
[00:44:48.468 --> 00:44:51.773]  She's not responsible for record gasoline prices.
[00:44:52.093 --> 00:44:56.899]  She's not responsible for the- So you really think they're going to run Big Mike?
[00:44:58.581 --> 00:45:02.263]  I believe Michelle Obama will be the nominee of the Democratic Party.
[00:45:02.583 --> 00:45:05.144]  I've written it and spoken about it for some time.
[00:45:05.704 --> 00:45:13.347]  And anybody who thinks that that will be simple, or that she will be a non-formidable candidate, I think is kidding themselves.
[00:45:13.407 --> 00:45:18.990]  Now, they obviously have an issue in Vice President Kamala Harris.
[00:45:19.410 --> 00:45:20.510]  She would have to step aside.
[00:45:22.551 --> 00:45:25.874]  But her poll numbers are even worse than Joe Biden's.
[00:45:25.934 --> 00:45:27.015]  And it's hard to say.
[00:45:27.075 --> 00:45:28.937]  She's even less articulate than Biden.
[00:45:28.997 --> 00:45:30.699]  I mean, what a group of morons.
[00:45:30.859 --> 00:45:31.159]  All right.
[00:45:31.680 --> 00:45:34.042]  Roger Stone, thank you so much for the time.
[00:45:34.102 --> 00:45:37.445]  StoneZone.com, you host your Frank Speech Show, 5 p.m.
[00:45:37.465 --> 00:45:38.206]  What is it, Eastern?
[00:45:38.606 --> 00:45:39.647]  And we really appreciate you.
[00:45:40.928 --> 00:45:41.749]  5 o'clock Eastern.
[00:45:41.769 --> 00:45:43.711]  Go to StoneZone.live.
[00:45:43.771 --> 00:45:45.973]  StoneZone.live, 5 o'clock today.
[00:45:46.173 --> 00:45:46.994]  Many thanks, Alex.
[00:45:47.254 --> 00:45:47.815]  Thank you, brother.
[00:45:48.447 --> 00:45:49.328]  All right, there goes Roger.
[00:45:49.348 --> 00:45:50.348]  I agree with basically everything he said.
[00:45:50.368 --> 00:45:51.089]  What a smart guy.
[00:45:51.109 --> 00:45:53.190]  All right, we're gonna start the next hour.
[00:45:53.210 --> 00:45:56.992]  And shift out of the Tucker Carlson stuff, it's very important.
[00:45:59.013 --> 00:46:00.894]  Into the government running child kidnapping rings.
[00:46:00.954 --> 00:46:01.915]  It's mainstream news!
[00:46:03.255 --> 00:46:04.076]  Incredible!
[00:46:04.096 --> 00:46:09.659]  And... Feeding babies insects to save them.
[00:46:10.620 --> 00:46:13.441]  Food writer cuts her grocery bill in half by feeding her baby crickets.
[00:46:13.701 --> 00:46:14.542]  How abusive is that?
[00:46:14.962 --> 00:46:16.403]  Not as if they're gross.
[00:46:17.833 --> 00:46:26.999]  The chitin shells of bugs are highly carcinogenic, and we're not supposed to eat hard-shelled insects, which is most insects.
[00:46:27.079 --> 00:46:28.260]  It's a toxic fact.
[00:46:29.420 --> 00:46:29.821]  Look it up.
[00:46:29.981 --> 00:46:37.546]  Chitin, not just linked to cancer, extremely carcinogenic causes all sorts of joint pain and all sorts of arthritis.
[00:46:37.666 --> 00:46:39.147]  I mean, it is crazy.
[00:46:40.000 --> 00:46:42.921]  But leftists don't just chop their kids' wee-wees off and their breasts off.
[00:46:43.301 --> 00:46:45.022]  Now they feed them toxic bugs.
[00:46:45.382 --> 00:46:46.923]  What a nice mommy.
[00:46:47.343 --> 00:46:49.504]  What a sweet mommy.
[00:46:50.324 --> 00:46:51.205]  And it gets worse.
[00:46:51.765 --> 00:46:52.985]  Specter of Silent Green.
[00:46:53.005 --> 00:46:53.866]  That's Yahoo News.
[00:46:54.086 --> 00:46:55.166]  Feeding us dead people.
[00:46:55.446 --> 00:46:56.107]  It's liberal.
[00:46:56.127 --> 00:46:58.007]  20 states have passed laws to do it.
[00:46:58.027 --> 00:46:59.088]  You think I'm joking?
[00:47:00.393 --> 00:47:00.793]  I'm not.
[00:47:01.213 --> 00:47:02.694]  Hour number two, straight ahead.
[00:47:03.094 --> 00:47:04.714]  Infowars.com, tomorrow's news today.
[00:47:04.734 --> 00:47:06.455]  And don't forget, we have amazing products.
[00:47:06.495 --> 00:47:09.316]  TurboForce, 10 hours of amazing, incredible energy.
[00:47:09.356 --> 00:47:11.457]  Back in stock, sold out for 8 months, 25% off.
[00:47:11.917 --> 00:47:16.078]  And 1776 Testosterone Boost, discounted despite the fact it's selling out.
[00:47:16.098 --> 00:47:16.999]  We have limited shipment in.
[00:47:17.439 --> 00:47:24.041]  It helps your body naturally keep the free testosterone in your blood to get into your cells with a bunch of other compounds that help boost it.
[00:47:24.521 --> 00:47:26.162]  It really will blow you away.
[00:47:26.722 --> 00:47:32.424]  If you want to boost your libido to levels that are just Tyrannosaurus Rex out of control, why not?
[00:47:33.604 --> 00:47:39.866]   Take our nitric boost with 1776 testosterone boost, and I'm telling you, everybody gets Great results.
[00:47:40.107 --> 00:47:40.687]  It's crazy.
[00:47:40.707 --> 00:47:44.491]  1776 at StocksFarmBoost, InfowarsStore.com or 888-253-3139.
[00:47:44.511 --> 00:48:01.246]  And for joint pain and to help with neurological issues and just calm yourself but still stay really focused, it actually helps you stay more focused, we have the very highest quality CBD oil at InfowarsStore.com at over, on average, half of what leading competitors sell high quality CBD for.
[00:48:01.586 --> 00:48:02.907]  All at InfowarsStore.com.
[00:48:03.028 --> 00:48:24.308]  We'll be right back with hour number two.
[00:48:24.298 --> 00:48:30.163]  It is a private label of the number one best-selling natural testosterone booster on the market.
[00:48:30.483 --> 00:48:33.826]  It does incredible things for men, but women also love it.
[00:48:34.286 --> 00:48:37.889]  Ladies and gentlemen, you need to experience this product for yourself.
[00:48:38.329 --> 00:48:45.048]   I never have any issues in the libido department, but it's always good to supercharge it and
[00:48:45.048 --> 00:48:46.369]  take it to the next level.
[00:48:46.369 --> 00:48:51.329]   And I'm just going to tell you a bottom line, my wife is blown away.
[00:48:51.329 --> 00:48:54.769]  I am a Tyrannosaurus Rex in the sheets.
[00:48:54.769 --> 00:49:02.130]   I'm telling you, at 49, I've got more energy in that department than I had when I was 18.
[00:49:02.130 --> 00:49:04.889]  And I owe it all to 1776.
[00:49:04.678 --> 00:49:10.437]   testosterone boost now back in stock at info war store.com it's also great for
[00:49:10.437 --> 00:49:15.838]   your muscles your body your energy your workouts get 1776 testosterone boost at
[00:49:15.838 --> 00:49:24.397]   info war store.com boy we got a big hour two three and four I'm hosting the rest
[00:49:24.397 --> 00:49:30.478]   of the broadcast all four hours today coming up in one hour Robert Chapman one
[00:49:30.478 --> 00:49:33.238]   of the original Patriots battling the new world order everything he said came
[00:49:34.136 --> 00:49:36.597]  He'll be joining us for at least an hour and a half or so.
[00:49:37.237 --> 00:49:39.158]  That is coming up today.
[00:49:39.938 --> 00:49:42.479]  Let's play a few clips of Mr. Chapman.
[00:49:42.719 --> 00:49:45.780]  There's so many we'll be getting to when he's on with us from congressional hearings.
[00:49:46.961 --> 00:49:47.601]  Robert Fletcher.
[00:49:48.341 --> 00:49:50.262]  I'm all over the map here, ladies and gentlemen.
[00:49:50.542 --> 00:49:51.682]  Thinking about all these other people.
[00:49:51.943 --> 00:49:52.423]  Here's a clip.
[00:49:53.503 --> 00:50:14.065]   Fletcher, perhaps your time might be Uh, Hughes, to, uh, specify some of the comments which you made this morning on, uh, Good Morning America, ABC, if you would, about, uh, a second bomb being planted at Oklahoma City, or evidence of a second, uh, uh, assailant, a second, uh, conspiracy.
[00:50:14.085 --> 00:50:26.511]   Well, yes, uh, typically, uh, what I might do, again, as a matter of, so we can cover enough things that, uh, will also be important, This is a report that's been put together by a couple of people.
[00:50:26.591 --> 00:50:33.813]  One of them is a former FBI agent, formerly with a $22 million budget and 700 people working under him.
[00:50:34.193 --> 00:50:38.054]  He had been with the FBI for some, probably 25 years.
[00:50:39.154 --> 00:50:47.657]  His determination, along with many experts, is that there was a minimum of at least one, if not two, more explosions simultaneously within the building.
[00:50:48.177 --> 00:50:51.058]  Additionally, we have information that John Doe No.
[00:50:51.078 --> 00:50:51.978]  2 has been located.
[00:50:52.658 --> 00:51:02.180]  He has a name, we know who he is, where he is, and that he is also of a foreign descent, and for some reason the FBI is steering away from this gentleman.
[00:51:02.881 --> 00:51:09.522]  That needs to be looked into more definitively, and I would offer this report which I will leave with you folks.
[00:51:09.722 --> 00:51:15.802]   This also covers the type of bomb that most likely was utilized inside the building.
[00:51:15.802 --> 00:51:21.762]   The idea that it was a huge fertilizer bomb, there was no residue to speak of, no caustic
[00:51:21.762 --> 00:51:25.761]   fumes which automatically would come from that bomb if it was singularly placed.
[00:51:26.145 --> 00:51:35.552]  Additionally, the idea, according to experts, is the idea of that bomb directly destroying the building as it did is absolute baloney.
[00:51:35.812 --> 00:51:46.580]   So I'll just leave this and then we can get into, again, the answers and questions relative to Other events of government corruption and being out of control.
[00:51:46.640 --> 00:52:02.290]  I do want to leave as much time as we can on that, which includes the militarization of local police offices all over the United States, including the supplying of armored personnel vehicles all over America to smaller police stations, which is ridiculous.
[00:52:03.011 --> 00:52:04.171]  I'd like to pass my time.
[00:52:04.191 --> 00:52:06.133]  Thank you, Mr. Fletcher.
[00:52:06.153 --> 00:52:11.656]  Another question on the interview with the Los Angeles Times on April 21st.
[00:52:11.696 --> 00:52:27.155]   You said that the You told the Associated Press that the American government has created weather tampering techniques so that the New World Order will be able to starve millions of Americans and to control the rest.
[00:52:28.680 --> 00:52:30.642]  Would you explain what you were trying to say?
[00:52:30.982 --> 00:52:34.204]  Well, what I was trying to say is exactly what I said.
[00:52:34.605 --> 00:52:36.546]  There is weather control techniques.
[00:52:36.886 --> 00:52:43.271]  We have a complete package on that, which I did not bring, but I certainly will see to it that it is brought in for the record.
[00:52:43.611 --> 00:52:46.313]  Number one, the entire patents on the equipment.
[00:52:46.733 --> 00:52:52.253]   Number two, Senator Claiborne Pell's complete statement and story of his own that not only
[00:52:52.253 --> 00:52:56.853]   does it exist, but that we even utilized it as far back as the Vietnam War.
[00:52:56.853 --> 00:52:58.413]  You might want to touch base with Senator Pell.
[00:52:58.413 --> 00:53:01.572]  I just want to repeat before I turn to questions.
[00:53:01.572 --> 00:53:03.213]  We do have all that information.
[00:53:03.213 --> 00:53:08.932]   You're saying the government has created weather tampering techniques so that the "New World
[00:53:08.932 --> 00:53:12.733]  Order" will be able to starve millions of Americans.
[00:53:12.889 --> 00:53:13.450]  Worldwide.
[00:53:14.330 --> 00:53:17.171]  Millions of Americans and to control the rest.
[00:53:17.552 --> 00:53:18.032]  Yes, sir.
[00:53:18.192 --> 00:53:19.573]  And that's my belief.
[00:53:19.593 --> 00:53:27.056]  As bizarre as that sounds, when if somebody had told me that that equipment even existed 10 years ago, I would have thought they were nuts, sir.
[00:53:27.376 --> 00:53:30.278]  And at this point in time, we have all the documents to prove it.
[00:53:30.718 --> 00:53:39.065]  And if you think that 85 tornadoes takes place in the middle of our growing area by simultaneous accident, I'm sorry.
[00:53:39.305 --> 00:53:45.991]  With the equipment that's already set up internationally, and as bizarre as that is, it is proven and documented.
[00:53:46.031 --> 00:53:47.612]  We will supply you with those documents.
[00:53:48.073 --> 00:54:00.935]   As bizarre as that is, I would say that weather wars, and this is quoting actually Senator Claiborne Pell himself, That they are the greatest weapon ever created in the world, and that's the Senator's own statement.
[00:54:00.955 --> 00:54:02.397]  So yes, I do stand on that.
[00:54:02.637 --> 00:54:03.358]  Thank you, Mr. Fletcher.
[00:54:03.378 --> 00:54:03.978]  Thank you, Mr. Chairman.
[00:54:04.719 --> 00:54:08.523]  The propaganda, the lies, the deception is everywhere.
[00:54:10.104 --> 00:54:17.432]  I'm going to blitz through massively important news on dozens of subjects until the bottom of the hour.
[00:54:18.188 --> 00:54:20.509]  Then I'm only going to take seven calls or so.
[00:54:20.529 --> 00:54:27.810]  We'll open the phones up for that 30 minutes on Tucker Carlson's firing and where you think this is going and what it signifies for censorship.
[00:54:28.271 --> 00:54:30.631]  Then Bob Fletcher will be on with us for two hours.
[00:54:31.091 --> 00:54:34.632]  He'll be on with us for one hour, talking about the history of the New World Order and where it's going.
[00:54:35.052 --> 00:54:37.473]  A true trailblazer, completely vindicated, on target.
[00:54:38.700 --> 00:54:40.922]  Then, in the fourth hour, I'm going to host with him.
[00:54:41.002 --> 00:54:43.443]  We will take your calls at that point.
[00:54:43.503 --> 00:54:46.185]  But we'll open the phones up, get about seven calls to the board.
[00:54:46.686 --> 00:54:51.189]  We'll get all seven of those calls or so in two segments at the bottom of the hour.
[00:54:51.549 --> 00:54:54.191]  And then, Bob Fletcher is coming on.
[00:54:54.591 --> 00:54:56.212]  Absolutely incredible information.
[00:54:56.472 --> 00:54:56.972]  Okay.
[00:54:56.972 --> 00:55:06.632]   The left is being told it's a liberal sacrament to feed bugs to children, to babies.
[00:55:06.846 --> 00:55:14.608]  Instead of giving them their own milk, or protein from a cow or a goat, or a donkey is the best, they say the only rival is a human, for our own babies.
[00:55:14.968 --> 00:55:19.028]  No, give them bug protein, which is chitin, and is extremely toxic.
[00:55:20.529 --> 00:55:22.389]  We're going to go over all that coming up.
[00:55:22.489 --> 00:55:27.570]  Also, Spectre of Soylent Green, Yahoo News, 20 plus states have passed laws to feed you dead people.
[00:55:27.710 --> 00:55:28.490]  Can't make that up.
[00:55:28.610 --> 00:55:31.011]  This is, this is all going down.
[00:55:32.605 --> 00:55:39.669]  But, I asked the crew about 20 minutes ago, I said, hey, they had closing arguments yesterday in the Proud Boys show trial in D.C.
[00:55:41.210 --> 00:55:46.613]  They set the precedent with these guys like they've done with the Oath Keepers, they're coming after everybody.
[00:55:47.834 --> 00:55:50.895]  And I said, please, let me know how jury deliberations are going.
[00:55:51.916 --> 00:55:56.439]  So, about 10 minutes ago, they walk in and they hand me this CBS News article.
[00:55:57.079 --> 00:55:58.580]  I start to read it during the last break.
[00:56:01.531 --> 00:56:06.654]  And I only had time to read the first page, because it's a lot of paragraphs here.
[00:56:06.674 --> 00:56:08.475]  It's two and a half pages long.
[00:56:09.416 --> 00:56:13.118]  In the first page, I found three gigantic lies.
[00:56:14.839 --> 00:56:27.868]  And what's incredible is, it's like the New York Times last week got caught saying that Edward Snowden gave his material to Wikileaks.
[00:56:27.948 --> 00:56:29.629]  Everybody knows he didn't do that.
[00:56:30.933 --> 00:56:31.834]  WikiLeaks had nothing to do with it.
[00:56:32.074 --> 00:56:33.315]  They said, we don't care, we're just gonna lie.
[00:56:33.955 --> 00:56:40.155]   So, they're flooding the zone, not by accident, by design, not with just big official lies,
[00:56:40.155 --> 00:56:44.554]  but just weird disinfo everywhere.
[00:56:44.554 --> 00:56:49.035]  So, here's what they put in here.
[00:56:49.486 --> 00:56:50.447]  Here's just one of the lies.
[00:56:51.068 --> 00:56:55.551]  Jury in Proud Boys Sedition Conspiracy January 6th Case to Begin Deliberations Wednesday.
[00:56:58.093 --> 00:56:59.774]  And it just, here's just one of the lies.
[00:57:00.998 --> 00:57:04.140]  Well, they're not just lying about what's going on on January 6th or what happened at the trial.
[00:57:04.380 --> 00:57:11.204]  They just put out something that sounds true but isn't to make it sound like InfoWars is on trial.
[00:57:12.365 --> 00:57:19.969]  And in a somewhat rambling closing argument of his own, InfoWars' defense attorney and legal representative for Joseph Biggs alleged.
[00:57:20.990 --> 00:57:24.332]  So they put it out there like InfoWars is on trial.
[00:57:25.272 --> 00:57:31.834]   Yes, it's true Norm Pettis has done some work for us, but the idea that he's now It'd be like if somebody had represented O.J.
[00:57:31.874 --> 00:57:32.935]  Simpson, they went, O.J.
[00:57:32.975 --> 00:57:38.058]  Simpson, defense attorney, it's again, to demonize him for worse.
[00:57:38.338 --> 00:57:39.018]  It's just everywhere.
[00:57:41.140 --> 00:57:50.365]  And Norm goes on, the facts of this case are that Donald Trump was compelling into using the Proud Boys as a prop, prompting objections from the Justice Department and the court.
[00:57:51.206 --> 00:57:52.367]  WUSA reported.
[00:57:52.867 --> 00:57:54.948]  Yeah, now the closing arguments are over.
[00:57:55.308 --> 00:57:56.169]  I should probably get Norm on.
[00:57:56.829 --> 00:57:57.550]  I don't agree with Norm.
[00:57:58.294 --> 00:58:00.136]  People say, well, if you have a lawyer, you must believe.
[00:58:00.196 --> 00:58:08.402]  No, I don't agree with Norm that Trump used the Proud Boys as a prop.
[00:58:08.643 --> 00:58:11.825]  The Proud Boys existed before Trump got elected.
[00:58:12.506 --> 00:58:13.527]  Gavin McGinnis created it.
[00:58:14.307 --> 00:58:18.411]  So, and the Proud Boys, most of them didn't even go on the Capitol.
[00:58:21.893 --> 00:58:30.684]   So again, In my view, and I haven't talked to Norm yet, that is an attempt by a defense attorney to say, oh, it's all Donald Trump's fault.
[00:58:32.625 --> 00:58:38.809]  But your clients didn't do anything.
[00:58:40.871 --> 00:58:42.472]  So again, why go with that debate?
[00:58:42.532 --> 00:58:43.732]  And I'm not attacking Norm.
[00:58:43.972 --> 00:58:45.493]  It's just, I don't agree with it.
[00:58:47.134 --> 00:58:48.115]  I don't agree with that strategy.
[00:58:51.437 --> 00:58:52.438]  But that's just where we are.
[00:58:52.898 --> 00:58:54.039]  So pray for the proud boys.
[00:58:55.089 --> 00:58:59.210]  And pray for justice, but 93% of people in DC vote Democrat.
[00:58:59.890 --> 00:59:01.671]  They've all, most of them got government jobs.
[00:59:02.551 --> 00:59:08.812]  And the little secret is you convict Republicans, you get pay raises, you get bonuses, you get pats on the back.
[00:59:10.293 --> 00:59:12.733]  In New York, it's something like 80% vote Democrat.
[00:59:13.753 --> 00:59:20.155]  So how is Trump supposed to get a fair trial in New York City?
[00:59:22.369 --> 00:59:23.230]  And the answer is no.
[00:59:24.030 --> 00:59:26.032]  But that's how they win by lawfare.
[00:59:26.092 --> 00:59:27.493]  They control these jurisdictions.
[00:59:28.493 --> 00:59:34.257]  They have populations that would send an innocent man to the electric chair if they were told to.
[00:59:34.878 --> 00:59:35.798]  And it's a real problem.
[00:59:36.839 --> 00:59:41.322]  And you got Soros prosecutors, not just in those jurisdictions, but basically everywhere now.
[00:59:42.143 --> 00:59:44.625]  And this is how they're conquering America and taking our country over.
[00:59:45.125 --> 00:59:46.426]  Now let's shift gears into this.
[00:59:50.100 --> 00:59:52.001]  The FDA has released a press release.
[00:59:52.602 --> 00:59:53.462]  I guess they're God.
[00:59:54.223 --> 00:59:55.303]  Congress doesn't pass laws.
[00:59:55.363 --> 00:59:56.584]  The FDA just does whatever they want.
[00:59:56.604 --> 00:59:59.706]  It's like when the CDC said, all rents are forgiven.
[00:59:59.726 --> 01:00:01.928]  And the Supreme Court had to say, you can't do that.
[01:00:01.948 --> 01:00:02.668]  That's not a law.
[01:00:02.768 --> 01:00:03.469]  You don't make law.
[01:00:05.492 --> 01:00:14.419]  We need the Supreme Court to reign this in fast, because the FDA is a revolving panel of big pharma executives, mainly, quote, vaccine execs.
[01:00:14.999 --> 01:00:17.541]  But we pointed out the mRNA shot is not a vaccine.
[01:00:17.981 --> 01:00:19.302]  We pointed out it doesn't protect you.
