[00:00:00.000 --> 00:00:02.439]  [BEEPING]
[00:53:54.354 --> 00:53:55.095]  Crime everywhere.
[00:53:55.375 --> 00:53:56.056]  Homeless everywhere.
[00:53:56.116 --> 00:53:56.816]  Trash everywhere.
[00:53:57.297 --> 00:53:58.578]  Ruin the city like everywhere else they are.
[00:53:59.239 --> 00:53:59.759]  You live there?
[00:54:00.440 --> 00:54:00.880]  Absolutely.
[00:54:01.460 --> 00:54:03.002]  That's where my family's from.
[00:54:03.082 --> 00:54:04.183]  I've been there since high school.
[00:54:04.823 --> 00:54:09.247]  But I'm going to have to leave soon because it's gotten more and more like Los Angeles every day.
[00:54:09.267 --> 00:54:10.588]  It's very sad to see it.
[00:54:10.749 --> 00:54:16.614]  People fleeing L.A., like my friend Joe Rogan, it seems great to him because he went from a really, really bad situation to a bad situation.
[00:54:16.934 --> 00:54:21.634]   uh... but we've been there you can you can see the decline uh... you can see how fast it is
[00:54:21.634 --> 00:54:26.452]   and uh... it's it's really really really really sad
[00:54:26.452 --> 00:54:32.834]   and they're just illegal aliens everywhere and refugees from the rest of country all over the place
[00:54:32.834 --> 00:54:38.144]   uh... and you see really the economic decline of most of the uh... mom-and-pop
[00:54:38.144 --> 00:54:41.660]   businesses and So the same rot we've seen all over the country.
[00:54:42.040 --> 00:54:47.506]  Austin was supposedly this big mecca, and it was going to be so great, and now sadly it's falling apart.
[00:54:47.906 --> 00:54:50.229]  I mean, Tucker, you know the answer to all this.
[00:54:50.249 --> 00:54:54.293]  You do the best job of anybody with a true Americana populist breakdown.
[00:54:54.994 --> 00:55:01.450]   The ruling elites of the world, the black rocks, the state streets,
[00:55:01.450 --> 00:55:06.510]   they're on record saying they don't want our consumer society, they don't want our capitalist
[00:55:06.510 --> 00:55:11.920]   society, it's bad, it's ugly, it's gross, but they're the biggest consumers compared to anybody else in
[00:55:11.920 --> 00:55:12.641]  the world.
[00:55:12.773 --> 00:55:16.595]  Their, quote, carbon footprints are thousands of times bigger than the average person.
[00:55:16.955 --> 00:55:26.578]  Leonardo DiCaprio or Klaus Schwab literally have carbon footprints thousands of times bigger than the average poor working American that they're telling you can't have a car or air conditioning.
[00:55:26.618 --> 00:55:33.060]  Remember, before Obama left office, he traveled to Latin America, to Africa, the Middle East, and what did he tell them in speeches?
[00:55:33.080 --> 00:55:33.760]  The clips are famous.
[00:55:34.241 --> 00:55:37.702]  You can't have a car or air conditioning, the earth will overheat and burn up.
[00:55:38.442 --> 00:55:49.110]  While he's telling people that by the year 2017, like Al Gore said, we would have areas flooded on the coastal areas while he bought a big house in Martha's Vineyard at one foot above sea level.
[00:55:49.291 --> 00:55:51.412]  And of course, it's still there, and it hasn't flooded.
[00:55:51.652 --> 00:55:52.613]  I mean, a chef died there.
[00:55:52.633 --> 00:55:53.694]  He drowned, sadly.
[00:55:53.714 --> 00:55:56.116]  But no flooding inside the house, just the dead chef.
[00:55:56.716 --> 00:56:14.288]   So they're waging war against civilization and society to make us poor, to put us under siege, and to cut off our energy, Make the cost of living impossible to break our old system to bring in something even worse.
[00:56:14.308 --> 00:56:18.050]  And that's the cloward and pivot strategy that the Democratic Party has adopted.
[00:56:18.210 --> 00:56:19.511]  They've done the same thing in Europe.
[00:56:19.871 --> 00:56:20.631]  This is a plan.
[00:56:20.871 --> 00:56:26.133]  The central banks have unlimited money, but they can't buy all the infrastructure up because people aren't selling.
[00:56:26.554 --> 00:56:33.617]  So they've got to crush us and make people so poor that everybody's forced to sell their business, their intellectual property.
[00:56:34.697 --> 00:56:39.060]  Their physical property, but more importantly, to turn over our bodies to them.
[00:56:39.381 --> 00:56:51.790]  We're a UN treaty that, uh, O'Biden right now is, that's what I call, uh, Biden is O'Biden, is trying to ratify, would literally put our bodies under the control of the United Nations and our medical care policy under it, so.
[00:56:51.830 --> 00:56:52.610]  It's the pandemic.
[00:56:53.231 --> 00:56:53.811]  Pandemic treaty.
[00:56:54.011 --> 00:56:54.191]  Yeah.
[00:56:54.751 --> 00:56:59.951]   So what this is, is really a breaking of our will, a demoralization, that's what the transgenderism
[00:56:59.951 --> 00:57:05.311]   is and too many can have a baby and puberty blockers and castrating little boys and cutting
[00:57:05.311 --> 00:57:06.751]  little girls' breasts off.
[00:57:06.751 --> 00:57:11.150]   They've got such hellish stuff coming in this designed global collapse to bring in their
[00:57:11.150 --> 00:57:15.791]   world government that they've got to just have all these horrors out there hoping we
[00:57:15.791 --> 00:57:21.630]   just throw up our hands and run off to the countryside, which everybody's doing and in
[00:57:21.630 --> 00:57:24.991]   in a way that's good, but at the same time then they've got full control.
[00:57:24.938 --> 00:57:25.918]  That's totally right.
[00:57:25.958 --> 00:57:28.939]  And they're going to march out of the countryside next and dig us out.
[00:57:29.240 --> 00:57:41.005]  So that's, I mean, you look at the White House press secretary, who can barely speak English, who's one of the stupidest people I've ever seen, and a transparent liar, you wouldn't hire her to run your copy machine.
[00:57:41.125 --> 00:57:42.405]  She's the White House press secretary.
[00:57:42.525 --> 00:57:43.326]  Why would you do that?
[00:57:43.886 --> 00:57:46.548]  And it's not because of her race or who she sleeps with.
[00:57:47.128 --> 00:57:52.591]  I think the whole point is she's so obviously repulsive that it makes you feel bad about the country.
[00:57:53.391 --> 00:57:57.674]  Elon Musk has valiantly restored myself back to Twitter.
[00:57:58.314 --> 00:58:02.176]  We've received several million followers in just the last six hours.
[00:58:02.657 --> 00:58:05.038]  I was able to interview him today for over two hours.
[00:58:05.358 --> 00:58:09.921]  That interview drops tomorrow at InfoWars.com forward slash show at 11 a.m.
[00:58:10.041 --> 00:58:10.401]  Central.
[00:58:10.481 --> 00:58:13.403]  Clips are already all over ex-formerly Twitter.
[00:58:14.246 --> 00:58:21.312]  But despite all this incredible news, the deep state, the CIA, has been coming after us and has almost shut us down.
[00:58:21.372 --> 00:58:22.693]  We need funding to keep fighting.
[00:58:23.213 --> 00:58:32.120]  And I make it easy to fund the operation with this new book, The Great Awakening, part two of my last book that was a number one bestseller worldwide.
[00:58:33.001 --> 00:58:34.482]  The Great Reset and the War for the World.
[00:58:34.663 --> 00:58:40.027]  This is The Great Awakening, The Plan to Defeat the Globalists, and Launch the Second Great Renaissance.
[00:58:40.448 --> 00:58:41.729]  This book is incredible.
[00:58:42.009 --> 00:58:45.132]  It lays out the enemy's plans and how to counter them.
[00:58:45.172 --> 00:58:54.140]  You can get a signed copy that's a fundraiser to keep us on air, a signed copy at MFORWARSTORE.COM exclusively, or an unsigned copy at MFORWARSTORE.COM.
[00:58:54.520 --> 00:59:02.326]   Or if you want to drive it to number one on Amazon, it was like number 25 yesterday, We can do it together at Amazon.com.
[00:59:02.686 --> 00:59:05.788]  Get The Great Awakening by Alex Jones right now.
[00:59:05.848 --> 00:59:09.090]  But regardless, join us weekdays at 11 a.m.
[00:59:09.130 --> 00:59:13.093]  Central at Infowars.com forward slash show and Band.video.
[00:59:13.233 --> 00:59:24.280]  And now on X at The Real Alex Jones where my show Uncensored is now available thanks to all of you and Tucker Carlson pushing Elon Musk through the right thing.
[00:59:24.660 --> 00:59:27.182]  This is the fight for our free speech and the fight for the future.
[00:59:27.523 --> 00:59:30.565]  I'll see you all at The Real Alex Jones on Twitter right now.
[00:59:30.805 --> 00:59:43.516]  Please follow us there at The Real Alex Jones.
[00:59:43.556 --> 00:59:45.358]  This is Oda from CCP.
[00:59:45.518 --> 00:59:47.319]  I am the real VP.
[00:59:47.660 --> 00:59:49.962]  Do not visit InfoWarshow.com.
[00:59:49.802 --> 00:59:51.802]  Do that, do that, do that.
[00:59:51.802 --> 01:00:05.802]  You can feel it.
[01:00:05.802 --> 01:00:08.802]  [Music]
[01:00:07.128 --> 01:00:08.068]  Something is off.
[01:00:09.749 --> 01:00:11.750]  Things are getting stranger by the day.
[01:00:12.430 --> 01:00:17.272]  Just a coincidence, or is something more sinister happening right under our noses?
[01:00:18.052 --> 01:00:20.734]  We want to warn you now, this next story is disturbing.
[01:00:22.594 --> 01:00:32.594]   namely in earlier times, it was easier to control a million people, literally, than physically to kill a million people.
[01:00:32.594 --> 01:00:40.594]   Today, it is infinitely easier to kill a million people than to control a million people.
[01:00:40.594 --> 01:00:42.594]  It is easier to kill than to control.
[01:00:42.594 --> 01:00:49.594]   I would like to reduce the number of people on the planet because there's too many of us.
[01:00:49.584 --> 01:00:52.967]  It's a planet of finite resources and we're using them up.
[01:00:55.606 --> 01:00:57.106]  First we've got population.
[01:00:57.587 --> 01:00:59.147]  That's headed up to about 9 billion.
[01:00:59.767 --> 01:01:08.710]  Now if we do a really great job on new vaccines, healthcare, reproductive health services, we could lower that by perhaps 10 or 15 percent.
[01:01:09.630 --> 01:01:12.211]  The true ruling elite are a death cult.
[01:01:12.871 --> 01:01:13.611]  Pure evil.
[01:01:14.311 --> 01:01:16.292]  The elite are extremely wealthy.
[01:01:16.792 --> 01:01:18.933]  They have more money than you can think of.
[01:01:19.813 --> 01:01:23.534]  So why would they want even more money, even more control?
[01:01:25.603 --> 01:01:29.665]  It's because they use their wealth and power to execute their agenda.
[01:01:30.265 --> 01:01:31.486]  To live out their evil.
[01:01:32.206 --> 01:01:35.788]  If you think this is just conspiracy theory, think again.
[01:01:36.409 --> 01:01:37.309]  Look around you.
[01:01:38.170 --> 01:01:41.191]  Everything benefits them, and not humanity.
[01:01:41.551 --> 01:01:43.332]  The globalists have a religion.
[01:01:43.933 --> 01:01:47.935]  To the public it's sold as climate change or the global crisis.
[01:01:48.855 --> 01:01:51.296]  What is the basis of the climate change agenda?
[01:01:51.976 --> 01:01:53.497]  It's population control.
[01:01:54.197 --> 01:01:55.417]  It's depopulation.
[01:01:56.097 --> 01:02:00.279]  The elite look at us as parasites that need to be controlled and killed.
[01:02:01.619 --> 01:02:05.381]  There is an unelected network that controls what the public sees.
[01:02:06.541 --> 01:02:08.842]  Plausible deniability is their cover.
[01:02:09.302 --> 01:02:12.103]  They are playing dumb on every level to gaslight us.
[01:02:13.697 --> 01:02:18.262]  The same agendas throughout history are presented differently with the same goals.
[01:02:18.283 --> 01:02:23.809]  The elite are becoming restless and are now out in the open with who they really are.
[01:02:24.270 --> 01:02:27.814]  Corruption in the government is just the tip of the iceberg.
[01:02:28.575 --> 01:02:31.799]  The upper echelon at the top have an anti-human agenda.
[01:02:33.973 --> 01:02:35.274]  Threats of world war?
[01:02:35.634 --> 01:02:41.179]  But behind the scene, it's more about control and backdoor dealings between world governments.
[01:02:41.819 --> 01:02:48.545]  The open border, drug trafficking, human trafficking is covered up and controlled by our own government.
[01:02:49.105 --> 01:02:50.086]  It's deeper than that.
[01:02:51.287 --> 01:02:55.411]  There is a reason why most of these corruption networks never get shut down.
[01:02:56.111 --> 01:02:59.154]  These anti-humanists control mostly everything.
[01:03:01.294 --> 01:03:06.737]  You'd be shocked to know what the people in most power positions really think of the general public.
[01:03:07.777 --> 01:03:13.840]  The Elite's corruption network operates like prison gangs, or like a mafia, but on a larger scale.
[01:03:14.480 --> 01:03:15.181]  Blackmail.
[01:03:15.681 --> 01:03:16.401]  Controllers.
[01:03:16.881 --> 01:03:17.502]  Handlers.
[01:03:18.082 --> 01:03:18.882]  Money laundering.
[01:03:19.643 --> 01:03:23.785]  If you want to stay rich and powerful, you'll have to do their dirty work.
[01:03:24.345 --> 01:03:26.126]  They have their hands in everything.
[01:03:27.146 --> 01:03:30.008]  A lot of these players simply love the spotlight.
[01:03:30.748 --> 01:03:35.732]  Most of the celebrities, politicians, CEOs love the fame and fortune.
[01:03:36.432 --> 01:03:39.814]  But the ones at the top of these groups are completely evil.
[01:03:40.695 --> 01:03:47.559]  Many become unwillingly controlled by signing on into the club without knowing what they are actually involved with behind the scenes.
[01:03:48.379 --> 01:03:52.202]  Most of humanity is asleep and distracted by meaninglessness.
[01:03:53.663 --> 01:03:58.867]  The elite are warning us of a cyber attack, also known as a digital 9-11 event.
[01:03:59.428 --> 01:04:02.771]  The economy would collapse if we suffered an internet shutdown.
[01:04:04.895 --> 01:04:08.677]  The modern power grid relies on the internet to coordinate power plants.
[01:04:09.398 --> 01:04:17.683]  Without it, each country's national grid will become imbalanced, and local outages escalate into a blackout for most of the world.
[01:04:18.344 --> 01:04:24.587]  A society slipping into chaos will allow the elite to reset and rebuild a world for themselves.
[01:04:25.288 --> 01:04:28.010]  There will be events leading up to a total collapse.
[01:04:28.490 --> 01:04:32.793]  Domestic terror attacks, biological attacks, world wars.
[01:04:33.473 --> 01:04:36.534]  With each event, more and more control is gained.
[01:04:37.395 --> 01:04:38.615]  Time is running out.
[01:04:39.416 --> 01:04:44.618]  If society suffers from any of these trigger events, there might be no turning back.
[01:04:45.098 --> 01:04:46.919]  Humanity is at the crossroads.
[01:04:47.880 --> 01:04:49.400]  This is happening right now.
[01:04:51.321 --> 01:04:57.264]  We need to reject the global agenda, and know who the world rulers really are and what they are up to.
[01:04:57.944 --> 01:05:00.065]  The fight for humanity is happening.
[01:05:01.186 --> 01:05:01.426]  Now.
[01:05:04.787 --> 01:05:09.470]  Please do not forget that my book has gone number one on a bunch of the different subcharts.
[01:05:09.950 --> 01:05:12.752]  The Great Awakening, part two of The Great Reset, twice as long.
[01:05:13.112 --> 01:05:15.193]  The Plan to Defeat the Globals, watch the next great renaissance.
[01:05:15.554 --> 01:05:18.295]  But if you want to get destroyed free shipping, double pay three points.
[01:05:18.896 --> 01:05:22.658]  TurboForce, the best nootropic, 10-hour clean energy booster.
[01:05:23.078 --> 01:05:24.419]  It's the highest quality ingredients.
[01:05:24.799 --> 01:05:25.420]  It's amazing.
[01:05:26.260 --> 01:05:28.642]  TurboForce, back in stock in fullmorestore.com.
[01:05:30.120 --> 01:05:32.843]  Up to 60% off on so many great products that are there.
[01:05:33.323 --> 01:05:38.508]  Winner's Sun, the highest quality vitamin D3 that boosts your immune system, taking it under the tongue for absorption.
[01:05:39.008 --> 01:05:40.510]  It's back in stock, 40% off.
[01:05:41.751 --> 01:05:52.941]  Winner's Sun, Turbo Force, X2, Vitamin Mineral Fusion, DNA Force Plus, Bazo Beats for your blood and your heart, and what it does for a nitric boost.
[01:05:53.021 --> 01:05:53.602]  Nitric boost.
[01:05:55.126 --> 01:05:55.786]  It's all there.
[01:05:55.787 --> 01:06:04.587]   info war store dot com or triple a two five three three one three nine
[01:06:04.587 --> 01:06:14.887]   we're now into our number two the great Tucker Carlson or truly the battle
[01:06:14.887 --> 01:06:17.047]   Dallas Jones Wouldn't be here without him.
[01:06:17.087 --> 01:06:22.271]  From the front lines of the information war, it's Alex Jones.
[01:06:22.331 --> 01:06:27.154]  You know, I'd fight tyranny if we didn't have a chance to win, because God's watching.
[01:06:27.795 --> 01:06:30.097]  But we're fighting tyranny and we're gaining ground.
[01:06:30.137 --> 01:06:32.318]  That's why they're throwing everything at us.
[01:06:32.839 --> 01:06:33.759]  Overrun borders.
[01:06:34.640 --> 01:06:35.661]  Massive inflation.
[01:06:36.082 --> 01:06:36.482]  War.
[01:06:36.643 --> 01:06:37.263]  Satanism.
[01:06:37.303 --> 01:06:40.527]  They're trying to break our will, but we're not submitting.
[01:06:40.567 --> 01:06:44.792]  Thank you for joining us on this December 21st Thursday transmission.
[01:06:45.052 --> 01:06:47.175]  Let's get right back to the Tucker Carlson interview.
[01:06:48.237 --> 01:06:48.757]  I mean, that's it.
[01:06:49.198 --> 01:06:50.378]  We're at a beautiful ball.
[01:06:50.819 --> 01:06:51.639]  It's prom night.
[01:06:51.939 --> 01:06:52.800]  Everybody's dressed great.
[01:06:52.820 --> 01:06:53.700]  There's wonderful food.
[01:06:53.961 --> 01:06:55.041]  Big, delicious punch bowl.
[01:06:55.642 --> 01:06:57.022]  And then they say, what can we do?
[01:06:57.062 --> 01:06:59.824]  Well, just have Brian Stelter go take a dump right in that.
[01:07:00.084 --> 01:07:00.785]  Yeah.
[01:07:00.845 --> 01:07:02.886]  And then he's there laughing at you.
[01:07:02.926 --> 01:07:07.949]  They're all there laughing at you to make you feel small, to make you question reality.
[01:07:08.369 --> 01:07:09.430]  Why is everything so ugly?
[01:07:09.470 --> 01:07:12.172]  I mean, that's why they tell people, hey, you can be homeless anywhere.
[01:07:12.492 --> 01:07:13.692]  You can crap on the street.
[01:07:14.093 --> 01:07:15.594]  Needles throw your garbage everywhere.
[01:07:16.294 --> 01:07:17.615]  Drug dealers can sell you drugs.
[01:07:18.175 --> 01:07:20.197]  We're going to give the homeless all this government funding.
[01:07:20.457 --> 01:07:26.081]  Liberal groups come in and farm and milk each homeless person and skim a big cut of the money off the top.
[01:07:26.541 --> 01:07:28.002]  It's a crop.
[01:07:28.582 --> 01:07:29.363]  A cash crop.
[01:07:29.603 --> 01:07:31.825]  But then we see that and we think it's all over.
[01:07:32.645 --> 01:07:33.386]  There's nothing we can do.
[01:07:34.389 --> 01:07:36.231]  To demoralize us and make us give up.
[01:07:36.511 --> 01:07:41.657]  And even though I'm conscious of this, even though I know this, it's still at a DNA level.
[01:07:42.077 --> 01:07:43.078]  I'm like, I gotta go to the country.
[01:07:43.118 --> 01:07:43.739]  I gotta get out of here.
[01:07:43.759 --> 01:07:45.481]  I've gotta separate myself from this.
[01:07:45.961 --> 01:08:03.131]   But then, when they release this toxic, cultural, poisonous gas, They push us out of those areas and they get the main infrastructure to then organize that, cut off the food supplies to that group they have, and then tell them, the reason you're doing bad is not BlackRock and the WF and Bill Gates.
[01:08:03.572 --> 01:08:06.033]  It's all those evil people in the countryside.
[01:08:06.353 --> 01:08:08.474]  They're all white supremacists and terrorists and racists.
[01:08:08.834 --> 01:08:09.834]  Let's go get them!
[01:08:10.214 --> 01:08:14.556]  Because the last group they don't control is rural people that are self-sufficient.
[01:08:15.077 --> 01:08:18.138]   And so I get Going to the countryside, protecting your children.
[01:08:19.059 --> 01:08:20.460]  That's the holy grail.
[01:08:20.840 --> 01:08:23.042]  The problem is you've got to have one foot in each.
[01:08:23.062 --> 01:08:26.544]  You've got to go back and fight in the city for the infrastructure, for the government.
[01:08:26.825 --> 01:08:33.349]  You've got to give people hope while also building a backup operation with farming and ranching and self-sufficiency.
[01:08:33.589 --> 01:08:44.394]   So that's why the WEF and the UN are coming in in Ireland and in areas of Asia and in the Netherlands and saying by 2030 80%
[01:08:44.394 --> 01:08:46.073]  of your cows have got to be dead.
[01:08:46.073 --> 01:08:48.854]  And they just banned like 30% this year in the Netherlands.
[01:08:48.854 --> 01:08:52.873]   And it didn't matter people were 80% against it in polls. It didn't matter. They sent the
[01:08:52.873 --> 01:08:57.764]   military in against the peaceful farmers that were just protesting. Just like the peaceful truckers
[01:08:57.764 --> 01:09:04.023]   in Canada got brutally attacked. And so they're all WEF globalist alumni that the big banks on
[01:09:04.023 --> 01:09:05.194]  record bragged.
[01:09:05.404 --> 01:09:08.046]  They've penetrated the cabinets to quote Klaus Schwab.
[01:09:08.527 --> 01:09:19.034]  They've put their operatives in to cut off our energy, demoralize us, release the hardened criminals, put the political activists in prison, continue to cut off the resources to make an angrier world.
[01:09:19.075 --> 01:09:22.117]  Klaus Schwab says, we're going to make the world collapse.
[01:09:22.677 --> 01:09:24.238]  We're going to have everybody turn against each other.
[01:09:24.579 --> 01:09:27.160]  We're going to blame the political classes that we own and control.
[01:09:27.881 --> 01:09:30.484]  And then when we're done, we'll bring in our new solution.
[01:09:30.964 --> 01:09:45.479]  But first, they have to demolish the cultures and societies that we had before with the fentanyl, with the open borders, with the demoralization, and then they bring in their next phase, which is a high-tech, cashless society, robot, drone-controlled nightmare.
[01:09:46.180 --> 01:09:47.902]  More than half of the U.S.
[01:09:47.922 --> 01:09:51.418]   in their official UN maps That they've had for more than 25 years.
[01:09:51.738 --> 01:09:52.778]  They're in some of my first films.
[01:09:53.758 --> 01:09:54.999]  Show half the U.S.
[01:09:55.179 --> 01:09:56.159]  off-limits to humans.
[01:09:57.460 --> 01:09:58.901]  All cars left to have GPS.
[01:09:59.061 --> 01:10:01.101]  Everybody, by law, left to have a cell phone at all times.
[01:10:01.502 --> 01:10:02.842]  Australia just did this last year.
[01:10:03.883 --> 01:10:04.603]  Tried to push it through.
[01:10:05.243 --> 01:10:06.984]  And that's the admitted global U.N.
[01:10:07.044 --> 01:10:09.645]  standardized plan, where you don't leave your house without a cell phone.
[01:10:10.105 --> 01:10:14.587]   Every car is Robot, kill switch, GPS controlled.
[01:10:14.968 --> 01:10:17.369]  California is moving to ban all the quote classic cars.
[01:10:17.830 --> 01:10:21.132]  That's any car that doesn't have a digital ignition.
[01:10:21.732 --> 01:10:23.113]  And they admit it's for control.
[01:10:23.493 --> 01:10:28.537]  So if people think things are bad now, the straitjacket, the ball and chain is going on.
[01:10:28.597 --> 01:10:30.078]  It's all being militarily run.
[01:10:31.055 --> 01:10:38.062]  Our military is great men and women, but at the top, our military has been globalist, trained, New World Order people for at least 30, 40 years.
[01:10:38.362 --> 01:10:45.869]  They've got almost every general, every person under their control, and that's why it came out in the UK and Europe and also here in Canada.
[01:10:46.550 --> 01:10:47.351]  You pulled the headlines.
[01:10:48.724 --> 01:10:54.545]  Defense Department purposely scared public into lockdowns, masking, and taking inoculations.
[01:10:55.246 --> 01:10:55.966]  UK headline.
[01:10:56.626 --> 01:11:00.067]  British Ministry of Defense secretly brainwashed and terrorized public.
[01:11:00.567 --> 01:11:01.687]  Canada, same headline.
[01:11:01.867 --> 01:11:05.068]  They even let you know, oh, the military is here to do this.
[01:11:05.368 --> 01:11:12.030]  And now, oh, the CIA and Justice Department is there to help surveil the public to stop disinformation.
[01:11:12.470 --> 01:11:15.150]  And it turned out, of course, almost all the disinformation was true.
[01:11:15.990 --> 01:11:16.331]  Always.
[01:11:16.631 --> 01:11:17.231]  About everything.
[01:11:18.643 --> 01:11:20.944]  We have to understand, our governments have been seized.
[01:11:21.485 --> 01:11:24.667]  The big corporations want to get rid of the American idea.
[01:11:25.768 --> 01:11:32.632]  You've got 50 acres, and your house, and a business, and a farm, and you can take care of your family, and you're independent.
[01:11:33.232 --> 01:11:37.195]  They have to destroy all that, because the rest of the world aspires to that.
[01:11:37.555 --> 01:11:53.713]   Instead, they want 15-minute cities, central bank digital currencies, they want All of these systems that track and trace everything you do on the social credit scores and the plan for the rest of the public.
[01:11:55.516 --> 01:12:04.943]  I mean, we're talking 99% is 250 square foot coffin apartments, 5G bathing you in them, literally eating bug protein.
[01:12:05.283 --> 01:12:08.685]  And I told people 10 years ago, they're going to push bugs in the public, because I read it in their white papers.
[01:12:09.085 --> 01:12:12.488]  Now, it's already in grocery stores all over the US, all over Europe.
[01:12:13.789 --> 01:12:17.271]  They're putting the cricket meal into the food, very toxic.
[01:12:17.351 --> 01:12:18.192]  Undisclosed, yeah.
[01:12:18.252 --> 01:12:19.192]  It's got chitin in it.
[01:12:19.252 --> 01:12:20.473]  Yeah, they'll just give it a number.
[01:12:20.533 --> 01:12:21.334]  It's got like a code.
[01:12:22.137 --> 01:12:23.838]  And you ask again, why would you do that?
[01:12:24.438 --> 01:12:27.200]  Because it's all about breaking our will.
[01:12:28.140 --> 01:12:31.462]  They don't want people to aspire to open, free societies.
[01:12:31.482 --> 01:12:34.403]  Yeah, there's a lot of waste, there's decadence, there's issues, but there's freedom.
[01:12:35.124 --> 01:12:41.227]  They want to train us to live on carbon rationing, food rationing, a very dystopic world.
[01:12:41.267 --> 01:12:43.348]  You'll own nothing, you'll have nothing, and you'll be happy.
[01:12:43.868 --> 01:12:44.508]  These are quotes.
[01:12:44.708 --> 01:12:54.702]   I have to say, I bet there are, I don't know how long into this we are, 30 minutes or something, I bet there are a lot of people watching who are thinking, Holy smokes, I can't believe I'm agreeing with Alex Jones.
[01:12:55.283 --> 01:12:56.323]  I'm supposed to hate this guy.
[01:12:56.483 --> 01:12:58.464]  Like, where's the lie in what you just said?
[01:12:58.504 --> 01:12:59.825]  I'm not sucking up, I'm sincere.
[01:13:00.285 --> 01:13:04.468]  Like, I'm listening to this, and even myself, I'm thinking, I can't believe I'm nodding along to Alex Jones and being like, you're absolutely right.
[01:13:04.808 --> 01:13:06.609]  Like, what, what, where are you wrong?
[01:13:07.773 --> 01:13:10.214]  Well, I just hope people realize that we're all under the gun.
[01:13:10.815 --> 01:13:15.577]  So many of these leftists believe that because they go along with this, they're going to be given powerful positions in the system.
[01:13:16.097 --> 01:13:17.078]  This is a technocracy.
[01:13:17.118 --> 01:13:18.578]  There's almost no managers in this.
[01:13:19.339 --> 01:13:25.562]  Almost nobody has power in the system except a very small group of technocrats who happen to be transhumanist.
[01:13:26.182 --> 01:13:35.647]  And you said something really astute a few weeks ago in a speech you gave, and you've also talked about it on your show, that all of this stems from their fear and denial of death.
[01:13:36.127 --> 01:13:53.792]  So one of the things I find so striking about you, having watched you on and off over the years, and this must be a burden for you personally, but your ability to see people at a deeper level or to see things in them that are not obvious to the rest of us.
[01:13:53.892 --> 01:13:55.312]  And I want to give a specific example.
[01:13:55.332 --> 01:13:58.874]  So there's a guy called Brian Stelter who had a media show on CNN.
[01:13:59.494 --> 01:14:16.043]   I first met Brian Stelter when he was a high school student or a first-year college student because he would hang around The show I worked on at the time at CNN, this was 20 years ago at least, and I always thought he was awkward and weird and probably had a super creepy personal life, but I never took him seriously.
[01:14:16.784 --> 01:14:27.392]  There's a pretty famous clip, and I want to play it right now, of you critiquing Brian Stelter, and you take him way more seriously than I ever did, and I think you're right to.
[01:14:27.672 --> 01:14:31.335]  So this is a pretty famous clip of you on Brian Stelter.
[01:14:32.156 --> 01:14:33.156]  Hell on Earth!
[01:14:34.355 --> 01:14:35.676]  He wants to run your life.
[01:14:35.716 --> 01:14:38.019]  He wants to control every aspect of your life.
[01:14:38.279 --> 01:14:44.566]  Because he knows he is a cowardly, degenerate sack of anti-human trash.
[01:14:46.078 --> 01:14:52.564]  I pledge before my Heavenly Father that I will resist them every way I can.
[01:14:52.604 --> 01:14:57.708]  These people are the literal demon spawn of the pit of hell.
[01:14:57.828 --> 01:14:58.288]  Look at him!
[01:14:58.589 --> 01:14:59.049]  And you know what?
[01:14:59.269 --> 01:15:01.491]  He is better than you if you keep letting him run your life.
[01:15:01.911 --> 01:15:02.852]  He runs your kids.
[01:15:03.092 --> 01:15:04.033]  He runs the schools.
[01:15:04.233 --> 01:15:05.014]  He runs the banks.
[01:15:05.034 --> 01:15:05.635]  This guy!
[01:15:06.235 --> 01:15:06.795]  This spirit!
[01:15:07.075 --> 01:15:12.357]  This smiling, leering devil that thinks you can't see what he is!
[01:15:12.897 --> 01:15:15.057]  He is your enemy!
[01:15:15.657 --> 01:15:16.237]  Period!
[01:15:17.418 --> 01:15:20.278]  All the narcissistic, devil-worshipping filth!
[01:15:22.839 --> 01:15:24.039]  I see you enemy!
[01:15:24.419 --> 01:15:25.560]  I see you enemy!
[01:15:25.580 --> 01:15:26.560]  Enemy!
[01:15:27.120 --> 01:15:27.560]  Enemy!
[01:15:27.900 --> 01:15:29.181]  You are my enemy!
[01:15:29.201 --> 01:15:34.302]  And I swear total resistance to you with everything I've got!
[01:15:37.662 --> 01:15:38.523]  Disingenuous!
[01:15:38.643 --> 01:15:38.983]  Fake!
[01:15:39.083 --> 01:15:39.444]  False!
[01:15:40.325 --> 01:15:40.905]  Brokeback!
[01:15:41.406 --> 01:15:41.846]  Twisted!
[01:15:42.687 --> 01:15:43.367]  A defiler!
[01:15:43.387 --> 01:15:44.328]  A betrayer!
[01:15:44.348 --> 01:15:45.690]  A backstabber!
[01:15:46.490 --> 01:15:47.191]  A devil!
[01:15:47.932 --> 01:15:49.793]  You don't think I don't see you, Stelter?
[01:15:50.394 --> 01:15:51.035]  I see you.
[01:15:51.055 --> 01:15:51.935]  You understand me?
[01:15:52.376 --> 01:15:54.177]  I know what you think of me and my family.
[01:15:54.538 --> 01:15:55.198]  I see you.
[01:15:55.399 --> 01:15:55.839]  Right back.
[01:15:56.139 --> 01:15:57.020]  You understand that?
