[00:00:29.713 --> 00:00:31.053]  A digital frontier.
[00:41:33.835 --> 00:41:37.398]  You're walking around Roosevelt Avenue, a place that's totally third world, by the way.
[00:41:37.639 --> 00:41:45.225]  Roosevelt Avenue is worse than any street that I ever walked down when I did the entire Illegal Alien Trail from Ecuador to the United States.
[00:41:45.405 --> 00:41:46.126]  Absolutely horrible.
[00:41:46.286 --> 00:41:49.729]  I mean, gangsters in every corner, prostitutes everywhere, people selling stolen goods.
[00:41:50.150 --> 00:41:53.132]  But anyway, you walk around there, and there are signs put up.
[00:41:53.372 --> 00:41:56.375]  And they say, hey, call this number and get a social security card.
[00:41:56.435 --> 00:41:57.816]  Call this number and get an ID.
[00:41:58.117 --> 00:41:58.897]  This, that, and the other thing.
[00:41:59.458 --> 00:42:00.519]  And totally illegal.
[00:42:00.859 --> 00:42:07.464]  I mean, if this was happening anywhere else, if it was American citizens doing this, you'd have the FBI or local police, somebody busting down the door.
[00:42:07.484 --> 00:42:13.909]  But these signs are plastered everywhere throughout Roosevelt Avenue, selling fraudulent identification, social security, you name it.
[00:42:14.229 --> 00:42:14.950]  Nothing's done.
[00:42:15.090 --> 00:42:16.211]  These signs just stay up.
[00:42:16.251 --> 00:42:17.132]  Nobody takes them down.
[00:42:17.472 --> 00:42:19.814]  And you have people that also just call out your name.
[00:42:19.854 --> 00:42:22.536]  As you're walking down the street, they call out to you and they say, hey, you need an ID.
[00:42:22.956 --> 00:42:24.898]  And so the bottom line is, the reason why I'm bringing this up,
[00:42:25.638 --> 00:42:26.820]  This is totally out in the open.
[00:42:26.840 --> 00:42:34.971]  These people are being mobilized and they are being allowed to operate and sell fraudulent identification which will then be used to get residency and eventually to get registered to vote.
[00:42:35.331 --> 00:42:41.940]  And by the way, this is video, just an interruption to back you up, this is video from two years ago and we have video all over the state of New York.
[00:42:42.461 --> 00:42:46.943]  With the illegals being given driver's license with basically no ID, and they're allowed to fly.
[00:42:46.963 --> 00:42:47.883]  I've seen it personally.
[00:42:47.903 --> 00:42:56.547]  There's thousands of videos where the illegals, sometimes with unaccompanied children, are just babies, are just handed off to people with no IDs and just flown to God knows where.
[00:42:56.787 --> 00:43:03.750]  So this is people getting driver's license, and then they get signed up with the Democrats and paid to vote from their addresses.
[00:43:03.790 --> 00:43:09.413]  Sometimes they get called all the time, one person voting five, six, seven, eight times under different names they're given.
[00:43:09.433 --> 00:43:11.574]  So they're not just voting under their illegal name.
[00:43:11.834 --> 00:43:12.955]  They're illegal alien, real name.
[00:43:13.295 --> 00:43:21.283]  They're also being given the data mine Zuckerberg, 450 million bucks he spent to get databases of dead people and folks that have moved out of district.
[00:43:21.544 --> 00:43:25.528]  So you move out of district to another state, but you're still voting, or you're in the ground dead.
[00:43:25.968 --> 00:43:27.610]  Used to be a Republican, now you vote Democrat.
[00:43:28.851 --> 00:43:29.311]  That's right.
[00:43:29.571 --> 00:43:38.197]  And listen, here's how we know that this is being aided and abetted by the Democratic-controlled Deep State, by the leftist Marxist-controlled Deep State, right?
[00:43:38.817 --> 00:43:46.302]  We have exposed, I mentioned this in your show a few months ago, we exposed this charity, La Jornada, that was operating in
[00:43:46.462 --> 00:43:46.762]  I don't know.
[00:44:02.845 --> 00:44:07.289]  This organization received $250,000 federal taxpayer dollars.
[00:44:07.809 --> 00:44:11.572]  That was something that Congresswoman Grace Meng of that district helped to broker.
[00:44:12.173 --> 00:44:14.214]  And this organization is still operating.
[00:44:14.254 --> 00:44:20.059]  I mean, they've been exposed for handing out fraudulent residency cards, and they are still allowed to operate.
[00:44:20.119 --> 00:44:22.721]  As far as I know, no charges have been brought against them.
[00:44:23.061 --> 00:44:24.222]  They're still operating to this day.
[00:44:24.282 --> 00:44:24.843]  Why is that?
[00:44:25.103 --> 00:44:26.383]  How is that allowed to take place?
[00:44:26.403 --> 00:44:29.945]  I mean, if this was anybody else, this is any other group, they'd be shut down the next day.
[00:44:29.985 --> 00:44:35.387]  I mean, if you sell, if you're a farmer and you sell raw milk, then the FBI is going to come bust down your door.
[00:44:35.667 --> 00:44:40.108]  But if you're selling fraudulent residency cards, possibly to terrorists, I mean, who the hell knows?
[00:44:40.408 --> 00:44:42.169]  Chinese saboteurs, that's okay.
[00:44:42.389 --> 00:44:43.789]  Your organization can still operate.
[00:44:44.170 --> 00:44:50.592]  So if that doesn't show that corruption is operating on the deepest level and that the goal here is not to subvert our Republic, I don't know what will.
[00:44:51.482 --> 00:44:52.805]  Well, you're doing great work.
[00:44:53.707 --> 00:44:56.172]  What do you think we should do about this, and then what else are you working on?
[00:44:58.601 --> 00:45:01.643]  Well, to answer the first question, what do I think that we should do?
[00:45:01.683 --> 00:45:05.145]  The election's right around the corner and people need to get involved.
[00:45:05.265 --> 00:45:10.288]  I mean, when they are tabulating these votes and counting them up, people need to be on the ground, right?
[00:45:10.888 --> 00:45:15.471]  Don't let these people next time, in a couple of months, I mean, how many days is it until the election?
[00:45:15.491 --> 00:45:16.211]  A hundred something days?
[00:45:16.551 --> 00:45:19.093]  Don't let them put up the black tarps and not let us see what's going on.
[00:45:19.153 --> 00:45:19.933]  Do not stand for that.
[00:45:19.953 --> 00:45:22.395]  And to the extent it is happening, you need to put cameras in their faces.
[00:45:23.235 --> 00:45:24.916]  Mark down who these people are, right?
[00:45:25.216 --> 00:45:35.819]  I mean, I don't believe in doxing people, but find out who these people are that are putting up, you know, black wallpaper, not letting you see through the windows, not letting you see how the votes are being counted, and expose these people and put it all out there.
[00:45:36.019 --> 00:45:41.621]  And unless we have enough active people doing that, I mean, this election could very well be stolen from us.
[00:45:42.461 --> 00:45:47.223]  The more investigations we do in this matter, the less and less sure I am that we are going to have a fair election.
[00:45:48.623 --> 00:45:52.927]  It's going to take all of us to get out there and expose this, and that's really all I can say.
[00:45:52.947 --> 00:46:03.717]  I am unfortunately not elected representative, so I can't really affect change in that regard, but Elon Musk has pinned the tweet, and I know that there are some very high-level people talking about this report, so hopefully that'll help.
[00:46:04.378 --> 00:46:06.159]  As far as what I'm working on right now,
[00:46:07.100 --> 00:46:16.123]  We are working on a massive story regarding the trafficking of the unaccompanied children once they come into the United States.
[00:46:16.363 --> 00:46:18.404]  I think it's going to be the biggest report of its kind.
[00:46:19.264 --> 00:46:21.985]  We've obtained a list of about 8,500 names from a HHS insider
[00:46:25.106 --> 00:46:25.547]  Yeah.
[00:46:44.185 --> 00:46:54.852]  We're told stories of children in these compounds who are crying because they are just told randomly one day, hey, you're going to this sponsor and here's the state you're going to.
[00:46:55.232 --> 00:46:57.734]  And they're crying and they're saying, I have no idea who this person is.
[00:46:57.774 --> 00:46:59.375]  I don't know where I'm going and I don't want to go.
[00:46:59.936 --> 00:47:06.540]  And then one day they're just woken up in the middle of the night when they can't really create much of a fuss.
[00:47:06.800 --> 00:47:10.303]  They're woken up in the middle of the night and they're just hauled off to a random place.
[00:47:10.443 --> 00:47:12.444]  That's what child traffickers do.
[00:47:12.504 --> 00:47:13.725]  This is industrialized
[00:47:15.006 --> 00:47:17.928]  Human trafficking at a scale never before seen, run by Mayorkas.
[00:47:17.988 --> 00:47:20.150]  Mayorkas is literally beyond Lex Luthor.
[00:47:20.370 --> 00:47:24.234]  And we are, God help us, and it shows the Democrats are going for broke.
[00:47:24.574 --> 00:47:25.755]  Here's the bad news and the good news.
[00:47:26.916 --> 00:47:30.359]  They know Trump's really 20 points ahead nationwide, more than 10 in battlegrounds.
[00:47:31.080 --> 00:47:33.742]  They think with the illegal aliens, the dead people voting, it's still not enough.
[00:47:33.762 --> 00:47:34.763]  That's why they tried to kill Trump.
[00:47:35.624 --> 00:47:37.385]  But it's so close because of the fraud.
[00:47:37.405 --> 00:47:38.886]  They've got at least 10 percent banked in.
[00:47:39.835 --> 00:47:43.377]  Okay, so we've got to have maximum landslide to override this.
[00:47:43.858 --> 00:47:46.880]  We've got to have deportations of all the military age men immediately.
[00:47:47.660 --> 00:47:50.462]  The country's entire future is hanging in the balance right now.
[00:47:52.863 --> 00:47:53.404]  Absolutely.
[00:47:53.604 --> 00:47:58.787]  You know, Donald Trump has talked about mass deportations when he's put in office, if he wins.
[00:47:59.107 --> 00:48:02.429]  I didn't like that he dodged that question during the first presidential debate.
[00:48:02.470 --> 00:48:04.511]  That was not encouraging, but that's exactly what we need.
[00:48:04.531 --> 00:48:06.092]  We need mass deportations.
[00:48:06.152 --> 00:48:07.513]  I mean, it has to be scorched earth.
[00:48:07.553 --> 00:48:09.194]  You cannot allow this to stand at all.
[00:48:10.114 --> 00:48:12.976]  I'm walking down Roosevelt Avenue yesterday, okay?
[00:48:13.337 --> 00:48:16.399]  Just to give people an idea, and I already said this, there's gangsters in every corner.
[00:48:16.419 --> 00:48:20.021]  But I'm walking down the street, and I see a guy wearing a CDG hat.
[00:48:20.061 --> 00:48:22.063]  That stands for Cartel del Golfo.
[00:48:22.103 --> 00:48:30.449]  That's the same cartel organization that kidnapped my brother and I. And listen, this guy would not be wearing that hat unless he was part of that organization, okay?
[00:48:30.469 --> 00:48:32.510]  These people aren't playing games wearing these hats for fun.
[00:48:32.530 --> 00:48:34.332]  It's not like a Yankees hat.
[00:48:34.832 --> 00:48:38.995]  And so, I mean, this guy wearing this hat, a golf cartel member, I glance at him.
[00:48:39.295 --> 00:48:39.475]  Right?
[00:48:39.515 --> 00:48:43.839]  I'm just moving my head, but just looking around, just doing a, you know, a pan of the area.
[00:48:44.099 --> 00:48:46.261]  And this guy starts screaming at me, threatening me.
[00:48:46.441 --> 00:48:47.722]  And these are the people that are in this country.
[00:48:47.762 --> 00:48:49.704]  That's one of hundreds of thousands.
[00:48:49.744 --> 00:48:51.945]  And so, like you said, we need mass deportations.
[00:48:51.985 --> 00:48:58.210]  And on the voter side, every single legitimate American voter needs to get out and vote this election.
[00:48:58.231 --> 00:48:59.712]  I mean, do not think that your vote doesn't matter.
[00:49:00.332 --> 00:49:01.934]  Like I said in the expose you just played,
[00:49:02.634 --> 00:49:07.916]  The margin of error in Georgia was less than 12,000 votes in the 2020 election, okay?
[00:49:08.556 --> 00:49:17.939]  We just exposed 14% of the people, and that is in line with the Rasmussen Report, of about 14%, I believe you said, registered illegal aliens, right?
[00:49:18.259 --> 00:49:19.480]  So now you extrapolate that out.
[00:49:20.740 --> 00:49:27.104]  The estimates are, in Georgia, around 339,000 illegal aliens, non-citizens, in Georgia.
[00:49:27.124 --> 00:49:28.845]  So now, extrapolate this out.
[00:49:28.865 --> 00:49:30.606]  14% of that number is around 47,000.
[00:49:31.187 --> 00:49:35.929]  That's four times the margin of error that Joe Biden took the election in Georgia in 2020.
[00:49:36.530 --> 00:49:42.954]  This election, it could come down to the wire, based on all the fraud, and especially if we don't get enough voters coming out on our side.
[00:49:43.674 --> 00:49:45.135]  So we need to mobilize everybody.
[00:49:46.328 --> 00:50:04.871]  Well, again, a few more minutes on this and then promise me that you'll come on as soon as you break this huge child, human trafficking, child kidnapping information that the Congress, in a hearing a year ago, said it was 89,000 missing kids, 400,000 they brought in, even New York Times admitted many were found in slave labor and factories sleeping on floors.
[00:50:04.931 --> 00:50:08.052]  I mean, the crimes of the Democrats are just insane.
[00:50:08.092 --> 00:50:08.892]  That's what we know of.
[00:50:08.932 --> 00:50:10.512]  Imagine what we don't know about.
[00:50:10.532 --> 00:50:13.153]  Any other intel on your big report?
[00:50:13.253 --> 00:50:15.633]  And can you give us a first look on when it's coming out?
[00:50:17.228 --> 00:50:21.131]  So we are just trying to, it's got to be as impactful as possible.
[00:50:21.191 --> 00:50:24.034]  So we're just trying to gather as many more reports as we can.
[00:50:24.054 --> 00:50:27.256]  We're going to make a trip somewhere along the southern border in around a week.
[00:50:27.296 --> 00:50:31.199]  And then after that, we should have everything and we'll put it out and you guys will be the first people to know.
[00:50:31.260 --> 00:50:33.041]  I'm honored to break these stories with InfoWars.
[00:50:33.101 --> 00:50:33.942]  I mean, truly.
[00:50:34.022 --> 00:50:35.603]  So you guys will be the first people to know.
[00:50:35.643 --> 00:50:37.384]  Hopefully I'll come on in person and break that with you.
[00:50:38.746 --> 00:50:40.447]  Maybe sometime this summer, I hope.
[00:50:40.727 --> 00:50:46.051]  But you know, other testimonies that we've gathered from these children is to give people a little sneak preview.
[00:50:46.832 --> 00:50:55.458]  Like I said, we've knocked on probably hundreds of doors across over 10 states, primarily west or east of the Mississippi.
[00:50:56.118 --> 00:51:03.163]  And some of these reports, I mean, countless stories, I mean, more stories than I can even recall of you knock on the door and they say, oh,
[00:51:03.783 --> 00:51:04.283]  I don't know.
[00:51:25.569 --> 00:51:30.213]  Twenty times that the kid has been given away to somebody and now the kid's gone with no idea where they went.
[00:51:30.433 --> 00:51:39.520]  Oh, we got video in Texas years ago, three years ago, where the same woman all day every hour drives and hands over babies to random people and they just disappear onto an airplane.
[00:51:40.021 --> 00:51:42.383]  Brother, as soon as this breaks, come on the show.
[00:51:43.023 --> 00:51:43.464]  Let us know.
[00:51:43.504 --> 00:51:44.684]  We want to break this with you.
[00:51:45.045 --> 00:51:45.625]  God bless you.
[00:51:45.665 --> 00:51:48.007]  Everybody should support you and pray for you and your team.
[00:51:48.287 --> 00:51:49.408]  Muckraker.com.
[00:51:49.548 --> 00:51:51.110]  Anthony, Ruben, thank you and Godspeed.
[00:51:52.110 --> 00:51:53.093]  Thank you so much, Alex.
[00:51:53.113 --> 00:51:53.755]  It's always an honor.
[00:51:53.996 --> 00:51:54.758]  It's an honor to have you, sir.
[00:51:55.734 --> 00:51:58.915]  Folks, this work is so important, I can't even begin to describe it.
[00:51:59.175 --> 00:52:04.157]  That's why they want this broadcast off the air, because we magnify the great work of people like Mr. Rubin.
[00:52:04.597 --> 00:52:06.217]  Please support InfoWars now.
[00:52:06.717 --> 00:52:08.478]  We are almost back in the red.
[00:52:08.578 --> 00:52:09.538]  We need your support.
[00:52:10.038 --> 00:52:14.460]  Go get our fundraiser shirt with Trump iconic fight, fight, fight, bulletproof.
[00:52:14.820 --> 00:52:17.821]  It's shipping now, made right here, printed in Texas.
[00:52:18.221 --> 00:52:21.882]  Go to InfoWarsStore.com and get the fundraiser shirt.
[00:52:21.902 --> 00:52:23.503]  It's why it's $29, so we make 20 bucks on it.
[00:52:25.714 --> 00:52:26.755]  It's a high-quality shirt.
[00:52:27.535 --> 00:52:29.296]  On the back, it says InfoWars.com.
[00:52:30.117 --> 00:52:31.538]  I need you to support us.
[00:52:31.598 --> 00:52:35.720]  I want to thank you for your past support, but I want to ask people, get off the fence who haven't supported, please.
[00:52:36.321 --> 00:52:37.561]  We expose the poison shots.
[00:52:37.581 --> 00:52:38.682]  We're exposing the human trafficking.
[00:52:38.702 --> 00:52:39.683]  We're exposing the fentanyl.
[00:52:39.703 --> 00:52:40.903]  We're exposing the pentamol rings.
[00:52:41.184 --> 00:52:42.725]  We're fighting with everything we've got.
[00:52:42.765 --> 00:52:43.745]  We can't do it without you.
[00:52:44.205 --> 00:52:45.646]  InfoWarsStore.com.
[00:52:45.806 --> 00:52:46.687]  Get the shirt.
[00:52:47.007 --> 00:52:47.928]  Make the decision.
[00:52:48.068 --> 00:52:48.808]  Get it now.
[00:52:49.309 --> 00:52:50.749]  InfoWarsStore.com or 888-253-3139.
[00:52:54.992 --> 00:52:57.233]  Infowars MD is an amazing line of supplements.
[00:52:57.493 --> 00:52:58.453]  We're sold out of bodies.
[00:52:58.993 --> 00:53:00.333]  It's the same product.
[00:53:00.633 --> 00:53:01.654]  95% curcuminoid.
[00:53:02.214 --> 00:53:03.174]  We just private label it.
[00:53:03.194 --> 00:53:04.014]  They drop ship it.
[00:53:05.194 --> 00:53:06.875]  There's the Pain MD.
[00:53:07.755 --> 00:53:12.156]  There's all the great products at infowarsstore.com.
[00:53:12.616 --> 00:53:15.497]  Go there and get the Infowars MD line.
[00:53:15.817 --> 00:53:17.018]  We're selling out of the X2.
[00:53:17.078 --> 00:53:18.119]  Selling out of the X3.
[00:53:18.480 --> 00:53:20.542]  We are literally fighting as hard as we can.
[00:53:20.942 --> 00:53:21.843]  We cannot do without you.
[00:53:21.863 --> 00:53:22.564]  These are amazing.
[00:53:22.624 --> 00:53:23.625]  Joint Relief Max.
[00:53:23.665 --> 00:53:25.186]  Incredible natural pain reliever.
[00:53:25.266 --> 00:53:26.107]  Prostate support.
[00:53:27.108 --> 00:53:30.491]  Ashwagandha gummies make you totally relaxed and calm, but you're not sedated.
[00:53:31.405 --> 00:53:32.066]  Nerve Renew.
[00:53:32.586 --> 00:53:33.186]  Good Sleep.
[00:53:33.587 --> 00:53:34.407]  It's all there.
[00:53:34.707 --> 00:53:39.050]  InfoWarsMD at InfoWarsStore.com.
[00:53:39.571 --> 00:53:42.773]  And support our amazing sponsor, DrJonesNaturals.com.
[00:53:43.113 --> 00:53:44.634]  DrJonesNaturals.com.
[00:53:45.014 --> 00:53:46.075]  Next Level Financial Energy.
[00:53:46.115 --> 00:53:47.016]  It's not a normal stimulant.
[00:53:47.276 --> 00:53:48.076]  Has no letdown.
[00:53:48.196 --> 00:53:49.037]  It does the opposite.
[00:53:49.057 --> 00:53:49.998]  It cleans out your cells.
[00:53:50.318 --> 00:53:51.259]  Instant amazing energy.
[00:53:51.499 --> 00:53:52.679]  DrJonesNaturals.com.
[00:53:52.900 --> 00:53:55.521]  Hour number two, straight ahead.
[00:53:55.561 --> 00:54:00.685]  This is a make it or break it moment, so I need people to connect those synapses in their brain for you to make a decision.
[00:54:01.852 --> 00:54:04.935]  If you don't support InfoWars, we will be shut down.
[00:54:04.955 --> 00:54:07.797]  And people say, well, they're constantly trying to shut you down.
[00:54:07.837 --> 00:54:08.577]  How are you still in the air?
[00:54:08.738 --> 00:54:09.018]  God.
[00:54:10.039 --> 00:54:11.119]  But God works through people.
[00:54:12.641 --> 00:54:17.945]  So, we're in a paradox here, where the judge says we're open for three more months.
[00:54:19.646 --> 00:54:24.110]  If we're able to get a buyer out of the law, they won't be able to shut us down.
[00:54:24.130 --> 00:54:25.050]  I'll just work with somebody else.
[00:54:25.971 --> 00:54:27.192]  And that's coming, that's got to be set up.
[00:54:28.373 --> 00:54:29.234]  But in the meantime,
[00:54:30.496 --> 00:54:37.541]  People believe the news that we're being shut down everywhere, which they tried to do and failed, by that foregone conclusion we're shut down.
[00:54:37.661 --> 00:54:49.009]  And under the last federal bankruptcy manager who would not reorder product and killed all our advertising, who was positioning us to be shut down and tried to shut us down, we caught him.
[00:54:49.249 --> 00:54:50.310]  The judge caught him and fired him.
[00:54:51.811 --> 00:54:53.252]  We're almost sold out of all the products.
[00:54:54.076 --> 00:54:54.336]  All right?
[00:54:55.137 --> 00:54:57.879]  But we have a lot of great products that are still in stock.
[00:54:58.359 --> 00:54:59.120]  Limited supplies.
[00:54:59.160 --> 00:55:02.423]  So I need you to go to InfoWarsTore.com.
[00:55:02.643 --> 00:55:03.704]  And we just had a donation button.
[00:55:03.724 --> 00:55:04.504]  Maybe we should just do that.
[00:55:05.225 --> 00:55:07.987]  You're fighting for freedom in a key election, battling the globalists.
[00:55:08.007 --> 00:55:08.648]  We need support.
[00:55:09.388 --> 00:55:10.969]  But we want a long-term relationship with you.
[00:55:10.989 --> 00:55:12.931]  We want to be symbiotic.
[00:55:12.951 --> 00:55:20.457]  We want you to get great products you like, get them delivered to you quickly, and enjoy them, and have them empower you, and make your life better so you love them and you keep getting them.
[00:55:20.477 --> 00:55:21.418]  We want a relationship.
[00:55:22.347 --> 00:55:28.110]  So, there's the InfoWars MD line that I don't talk about enough that is all the highest quality.
[00:55:28.850 --> 00:55:36.214]  Whether it's turmeric, or whether it's natural sleep aid, or whether it's saw palmetto and other compounds that are great for your prostate, also great for women's breasts.
[00:55:36.654 --> 00:55:40.556]  It affects the same type of tissues that have those hormonal fluctuations.
[00:55:40.616 --> 00:55:41.877]  I'm not a doctor, but I read the literature.
[00:55:42.597 --> 00:55:50.999]  You need to go to InfoWarsStore.com and go to the sections that have the whole line over a dozen products.
[00:55:51.600 --> 00:55:53.300]  InfoWarsMD.
[00:55:53.660 --> 00:55:55.201]  We've got Ashwagandha Gummi.
[00:55:55.801 --> 00:55:59.122]  Relaxes you, makes you feel really relaxed with no downer feeling.
[00:55:59.962 --> 00:56:00.382]  Amazing.
[00:56:01.202 --> 00:56:02.043]  An incredible product.
[00:56:03.123 --> 00:56:03.963]  Goodnight Sleep.
[00:56:04.363 --> 00:56:05.463]  We have a lot of great sleep aids.
[00:56:05.483 --> 00:56:06.164]  This one's excellent.
[00:56:06.184 --> 00:56:07.324]  They're all different formulas.
[00:56:07.544 --> 00:56:08.084]  People love it.
[00:56:08.244 --> 00:56:09.024]  Goodnight Sleep.
[00:56:09.685 --> 00:56:10.425]  InfoWarsMD.
[00:56:12.603 --> 00:56:17.407]  Ashwagandha with black pepper, which relaxes you and makes you lose weight.
[00:56:18.168 --> 00:56:19.129]  These are all concentrates.
[00:56:19.549 --> 00:56:20.470]  Joint Relief Max.
[00:56:20.630 --> 00:56:21.471]  Works really well.
[00:56:21.931 --> 00:56:22.792]  Great pain relief.
[00:56:22.972 --> 00:56:23.833]  Huge bottle of it.
[00:56:23.933 --> 00:56:24.754]  You know, jam-packed.
[00:56:25.234 --> 00:56:25.755]  It's there.
[00:56:26.275 --> 00:56:27.216]  Joint Relief Max.
[00:56:27.637 --> 00:56:28.657]  Infowars MD.
[00:56:29.038 --> 00:56:29.819]  Prostate support.
[00:56:29.859 --> 00:56:30.539]  Already mentioned that.
[00:56:31.180 --> 00:56:32.461]  This is just a top formula.
[00:56:32.481 --> 00:56:33.302]  Super high quality.
[00:56:33.662 --> 00:56:34.062]  Organic.
[00:56:34.663 --> 00:56:35.524]  Nerve Renew.
[00:56:36.184 --> 00:56:36.605]  Amazing.
[00:56:36.905 --> 00:56:39.407]  To get your nerves not to kill pain, but to get your nerves healthy.
[00:56:39.587 --> 00:56:40.288]  Nitric Boost.
[00:56:40.488 --> 00:56:41.889]  Vitamin Refusion about to sell out.
[00:56:42.089 --> 00:56:42.730]  About to sell out.
[00:56:42.790 --> 00:56:43.670]  Real Red Pill Plus.
[00:56:43.850 --> 00:56:46.032]  And something I never talk about and should talk about more.
[00:56:46.112 --> 00:56:47.353]  Probiotic Fiber.
[00:56:47.514 --> 00:56:51.517]  A super high-end product at a low price at InfoWarsTore.com.
[00:56:51.557 --> 00:56:52.558]  Thank you all for your support.
[00:56:54.399 --> 00:56:57.562]  Trump did a great job yesterday at the NABJ.
[00:56:59.103 --> 00:57:00.684]  Big Black Journalist event.
[00:57:01.405 --> 00:57:02.806]  They came after everything they had.
[00:57:03.707 --> 00:57:04.828]  They're trying to spin it right now.
[00:57:07.045 --> 00:57:08.026]  But Trump did a great job.
[00:57:12.569 --> 00:57:13.869]  And the crowd just loved him.
[00:57:16.651 --> 00:57:21.875]  Kamala Harris, literally, her specialty was arresting black people for marijuana charges and throwing them in prison.
[00:57:23.376 --> 00:57:25.237]  And she never said she was black until now.
[00:57:25.997 --> 00:57:27.298]  And Trump is right to call that out.
[00:57:27.738 --> 00:57:28.819]  It's all just lies.
[00:57:28.859 --> 00:57:29.560]  It's all fraud.
[00:57:30.380 --> 00:57:31.101]  Here was the opening.
[00:57:31.461 --> 00:57:34.423]  Shalvo, when they attacked him,
[00:57:35.883 --> 00:57:37.984]  This is a really, really, really important clip.
[00:57:38.404 --> 00:57:39.084]  It's clip one.
[00:57:40.205 --> 00:57:44.686]  President Trump spends three minutes putting on a masterclass and not taking Rachel Scott's bait.
[00:57:44.706 --> 00:57:46.307]  Here it is.
[00:57:46.667 --> 00:57:47.547]  Another had a stroke.
[00:57:48.567 --> 00:57:54.830]  Were the people who assaulted those 140 officers, including those I just mentioned, patriots who deserve pardons?
[00:57:55.690 --> 00:57:57.851]  Well, let me bring it back to modern day.
[00:57:58.031 --> 00:57:58.811]  Let's stop here.
[00:57:59.191 --> 00:58:02.452]  I got confused because that's not the clip I want to play.
[00:58:02.472 --> 00:58:03.973]  I want to get to another one in a moment.
[00:58:05.796 --> 00:58:05.996]  Clip 4.
[00:58:06.176 --> 00:58:07.037]  I want a clip.
[00:58:07.257 --> 00:58:07.958]  Clip 4.
[00:58:08.978 --> 00:58:09.399]  Here it is.
[00:58:10.600 --> 00:58:13.302]  Let's just stop.
[00:58:13.482 --> 00:58:15.983]  Let's just stop now.
[00:58:16.264 --> 00:58:17.625]  I'm gonna go to rebroadcast for a while.
[00:58:17.645 --> 00:58:19.446]  Because I'm loaded for bear.
[00:58:19.546 --> 00:58:20.247]  I'm ready to go.
[00:58:20.387 --> 00:58:21.528]  I thought these were other clips.
[00:58:22.148 --> 00:58:23.629]  I want the opening thing.
[00:58:24.170 --> 00:58:25.250]  It says opening clip.
[00:58:25.771 --> 00:58:26.771]  It's not the opening clip.
[00:58:26.892 --> 00:58:27.372]  I'm okay.
[00:58:28.893 --> 00:58:30.014]  But I'm so prepared here.
[00:58:30.854 --> 00:58:31.715]  And I sent the clips.
[00:58:33.536 --> 00:58:33.877]  It's clip 4.
[00:58:38.075 --> 00:58:39.096]  And I'm totally confused.
[00:58:39.296 --> 00:58:40.557]  So I gotta go to rebroadcast.
[00:58:41.077 --> 00:58:42.378]  I gotta find the clips and send them to you.
[00:58:53.525 --> 00:58:54.526]  I just can't do this anymore.
[00:58:55.266 --> 00:58:56.107]  I just can't do it anymore.
[00:58:57.268 --> 00:58:58.449]  There's just too much information.
[00:58:58.669 --> 00:58:59.249]  God Almighty.
[00:59:00.250 --> 00:59:01.410]  This whole thing's just gonna blow up.
[00:59:04.192 --> 00:59:04.993]  I'll send the clip again.
[00:59:06.687 --> 00:59:07.888]  It's how they open the conference up.
[00:59:09.390 --> 00:59:10.812]  I don't know how we play two clubs.
[00:59:10.832 --> 00:59:11.693]  It's not the club I wanted.
[00:59:15.397 --> 00:59:16.318]  Just just air something.
[00:59:16.338 --> 00:59:17.079]  We'll see what's going to happen.
[00:59:17.099 --> 00:59:19.842]  Just I'll give you guys some time to figure out what you're going to hear.
[00:59:21.403 --> 00:59:22.184]  Just just play something.
[00:59:22.204 --> 00:59:22.865]  Okay, we're done.
[00:59:23.406 --> 00:59:23.646]  Thank you.
[00:59:28.777 --> 00:59:32.698]  In Venezuela, many are calling the recent elections fraud.
[00:59:33.038 --> 00:59:40.041]  The country's electoral authority, or CNE, said Maduro had won a third six-year term with 51% of the vote.
[00:59:40.581 --> 00:59:43.402]  The election authority said González won 44%.
[00:59:45.122 --> 00:59:55.306]  But opposition leader Maria Corina Machado said González had secured 70% of the vote and that multiple independent exit polls and quick counts decisively showed his victory.
[00:59:55.746 --> 01:00:01.669]  Multiple research firms had exit polls showing Gonzalez getting over 60% of the vote.
[01:00:01.949 --> 01:00:10.813]  As for poll data, Gonzalez has a staggering support of almost 60% of the voters, while Maduro has just under 13% voters in his favor.
[01:00:11.634 --> 01:00:15.516]  The current leadership is not popular and the people took to the streets.
[01:00:49.500 --> 01:00:52.161]  There is video of people getting shot by government troops.
[01:00:52.181 --> 01:01:05.408]  There are videos that show the police taking off uniforms and standing with the people.
[01:01:29.386 --> 01:01:36.008]  All right, the full report that he did on this is on Bandai Video.
[01:01:36.048 --> 01:01:37.229]  I'm back, I'm focused.
[01:01:38.169 --> 01:01:43.811]  I'm just overwhelmed with information just like everybody else is and I'm pissed because stuff's about to get a lot worse before it gets better.
[01:01:43.831 --> 01:01:45.311]  All right, get ready.
[01:01:45.331 --> 01:01:47.352]  We got a ton of information, a huge guest coming up.
[01:01:47.872 --> 01:01:48.252]  Stay with us.
[01:01:48.976 --> 01:01:54.597]  We are now into our number two, and I wanted to show the video you see on screen from the start.
[01:01:56.078 --> 01:02:01.539]  Because Trump walks out at the National Association of Black Broadcasters in Chicago.
[01:02:03.160 --> 01:02:05.420]  They lied to him and said Biden or Kamala would be there.
