# Transcription model: nvidia/parakeet-tdt-0.6b-v2, custom faster_whisper
[00:00:30.080 --> 00:00:32.719]  InfoWars, tomorrow's news, today.
[00:42:43.280 --> 00:42:54.079]  And it's because they all wanted power and they want to be around real, not megalomania, but when someone actually is in power and control, it's not megalomania.
[00:42:54.320 --> 00:42:57.760]  It is the megamaniac.
[00:42:59.360 --> 00:43:14.480]  And they're all there just basking in the dark aura that is not a satanic aura, but it's the bridge to it.
[00:43:16.000 --> 00:43:20.079]  And not the low-level gremlin, low-key demon stuff.
[00:43:20.239 --> 00:43:26.000]  I mean the Lucifer energy of global domination.
[00:43:27.840 --> 00:43:29.679]  And I'm not saying Trump's the Antichrist.
[00:43:29.840 --> 00:43:30.400]  Far from it.
[00:43:30.559 --> 00:43:35.840]  I'm just saying this is a very dangerous situation.
[00:43:36.159 --> 00:43:40.639]  And I already wanted to come out and say that Trump has gone to another level.
[00:43:41.280 --> 00:43:43.280]  And I'm not saying a lower level or a higher level.
[00:43:43.440 --> 00:43:46.079]  I'm saying he shifted into overdrive gear.
[00:43:47.390 --> 00:43:55.900]  And I'm telling you, if I've been under the stress he's been under, I'd either crack up or I would turn into that because I can't give up.
[00:44:02.720 --> 00:44:07.840]  And God help the globalists is all I can say.
[00:44:09.039 --> 00:44:10.880]  Because the globalists are out of power now.
[00:44:11.199 --> 00:44:13.920]  Now it's this new thing and a new global system forming.
[00:44:14.159 --> 00:44:17.920]  Everybody bowing down to Trump and NATO and the rest of it, groveling.
[00:44:18.559 --> 00:44:23.199]  And Israel right in there moving in into the power vacuum.
[00:44:23.519 --> 00:44:38.480]  And then again, Israel, then the whole world gets even more jealous and it feeds all the anti-Israel stuff to this huge confrontational climax we're going into.
[00:44:39.119 --> 00:44:40.320]  And this is birth pains.
[00:44:40.400 --> 00:44:47.360]  I don't think this is leading into Armageddon right now, but it's, you know, it goes in patterns.
[00:44:50.159 --> 00:44:53.440]  So let's go ahead and play this short clip of Trump.
[00:44:54.079 --> 00:45:01.519]  This is Trump with the Bahrainian.
[00:45:06.159 --> 00:45:07.269]  Yeah, Prime Minister, here it is.
[00:45:07.280 --> 00:45:15.619]  Mr. President, I know you want to move past all this intrigue over the Epstein files, but I do want to ask you to clarify something you said this morning.
[00:45:15.619 --> 00:45:17.159]  You said this was all a hoax.
[00:45:17.159 --> 00:45:19.599]  Has your attorney general told you this was a hoax?
[00:45:19.599 --> 00:45:20.679]  What evidence have you seen of that?
[00:45:20.679 --> 00:45:21.989]  No, it's not the attorney general, no.
[00:45:22.000 --> 00:45:22.720]  I know it's a hoax.
[00:45:22.800 --> 00:45:24.320]  It's started by Democrats.
[00:45:24.880 --> 00:45:27.039]  It's been run by the Democrats for four years.
[00:45:27.280 --> 00:45:30.720]  You had Christopher Brett these characters and completely fucked.
[00:45:34.880 --> 00:45:37.679]  Look at the steel doubts of the total hoax.
[00:45:38.159 --> 00:45:42.577]  The 51 agents, the intelligence, so-called intelligence agents, it was a hoax.
[00:45:42.577 --> 00:45:44.617]  It's all been a big hoax.
[00:45:44.617 --> 00:45:46.278]  It's perpetrated by the Democrats.
[00:45:46.278 --> 00:45:50.898]  And some stupid Republicans and foolish Republicans fall into the net.
[00:45:50.898 --> 00:45:54.119]  And so they try and do the Democrats'work.
[00:45:54.880 --> 00:45:57.679]  The Democrats are good for nothing other than these hoaxes.
[00:45:57.760 --> 00:45:59.280]  They're bad for policy.
[00:45:59.599 --> 00:46:03.360]  They're bad for picking candidates that can get elected.
[00:46:03.679 --> 00:46:06.480]  Like in New York, we have the Communist Republic.
[00:46:06.960 --> 00:46:10.480]  He may get elected, too, actually, but he's going to destroy the city.
[00:46:11.119 --> 00:46:13.599]  No, no, I call it the Epstein hoax.
[00:46:13.760 --> 00:46:15.119]  It takes a lot of time and effort.
[00:46:15.280 --> 00:46:28.320]  Instead of talking about the great achievements we've had, the great gentleman, yesterday, as you know, went on CNBC, and he made the statement that Trump may go down as the greatest president of all the United States.
[00:46:28.480 --> 00:46:33.360]  And instead of talking about the things we've achieved, we've had tremendous achievement.
[00:46:33.679 --> 00:46:42.719]  They're wasting their time with a guy who obviously had some very serious problems, who died three, four years ago.
[00:46:43.280 --> 00:46:50.960]  I'd rather talk about the success we've had with the economy, the best we've ever had, of all of the things we've done, including the Middle East.
[00:46:51.280 --> 00:46:52.159]  I mean, you see it.
[00:46:52.480 --> 00:46:55.119]  Instead, they want to talk about the Epstein hooks.
[00:46:55.199 --> 00:47:01.440]  And the sad part is it's people that are really doing the Democrats' work.
[00:47:01.760 --> 00:47:02.719]  They're stupid people.
[00:47:03.039 --> 00:47:03.440]  Yeah, go ahead.
[00:47:05.920 --> 00:47:06.960]  Mr. President Waltham.
[00:47:08.719 --> 00:47:20.639]  So Trump thinks he's got enough pull with a constituency to slap us around a little bit and then we'll be good little boys and girls and shut up.
[00:47:21.360 --> 00:47:23.440]  And to me, it's not even the Epstein story now.
[00:47:23.599 --> 00:47:27.920]  It's this behavior that I just spent the last 30 minutes talking about.
[00:47:28.880 --> 00:47:32.960]  And the Democrats will take what I said out of context and say, I'm attacking Trump.
[00:47:33.119 --> 00:47:35.599]  No, you just heard what I said, and you know it's true.
[00:47:35.920 --> 00:47:37.679]  And so I really mean this.
[00:47:38.000 --> 00:47:50.960]  Everyone should pray for Trump and pray for the Holy Spirit to be even stronger with him and to lead God and direct him and give him greater discernment and purify him and cleanse him.
[00:47:51.199 --> 00:47:59.360]  Because I have to say this prayer sometimes twice a day when I start, you know, turning into Lex Luther, folks.
[00:47:59.519 --> 00:48:01.840]  I mean, I don't do anything corrupt or bad.
[00:48:02.000 --> 00:48:02.880]  I don't do dirty tricks.
[00:48:03.039 --> 00:48:04.159]  I don't lie.
[00:48:04.480 --> 00:48:05.679]  But man, could I?
[00:48:05.920 --> 00:48:08.000]  I mean, I could just really wreck stuff.
[00:48:08.320 --> 00:48:10.880]  And that's why they want me off the air because they think, God, that guy's got a lot of pull.
[00:48:10.960 --> 00:48:11.599]  He could do a lot of damage.
[00:48:11.760 --> 00:48:12.800]  No, you guys are doing the damage.
[00:48:12.880 --> 00:48:13.599]  I'm trying to stop you.
[00:48:13.920 --> 00:48:14.239]  Okay.
[00:48:14.880 --> 00:48:15.760]  I don't want power.
[00:48:15.920 --> 00:48:18.000]  I don't want to be in tuxedos at Mar-Lago.
[00:48:18.079 --> 00:48:19.039]  I don't want to be at the White House.
[00:48:19.119 --> 00:48:20.079]  I've already been invited.
[00:48:20.400 --> 00:48:22.079]  I had the White House calling me this morning.
[00:48:22.159 --> 00:48:23.920]  That's a whole nother thing.
[00:48:25.679 --> 00:48:28.480]  Bunch of big heavy hitters calling.
[00:48:29.119 --> 00:48:32.239]  And, you know, it's like, what do you want, Alex?
[00:48:32.320 --> 00:48:33.280]  How can we make you happy?
[00:48:33.440 --> 00:48:37.519]  And I'm like, can Trump please stop destroying himself and us with him?
[00:48:38.159 --> 00:48:41.039]  Well, yeah, he, you know, he does what he thinks is best.
[00:48:42.239 --> 00:48:44.480]  Streisan effect, yeah, we know.
[00:48:44.800 --> 00:48:46.320]  Yeah, you know, don't you?
[00:48:46.639 --> 00:48:48.000]  You know, I'm right.
[00:48:48.960 --> 00:48:55.760]  So Laura Trump and, you know, them need to get in there with the Don and say, listen, these people are your friends.
[00:48:56.719 --> 00:48:58.239]  And he's absolutely right, though.
[00:48:58.320 --> 00:49:02.800]  He just needs to elaborate, you know, not a two-minute comment.
[00:49:03.360 --> 00:49:06.719]  When he says it's a hoax, not that Epstein was bad and did bad stuff.
[00:49:07.039 --> 00:49:08.159]  He said that.
[00:49:09.119 --> 00:49:13.519]  But the way they're presenting it, and obviously they had the file, that makes perfect sense.
[00:49:13.679 --> 00:49:16.559]  I don't know why I didn't, I mentioned that some, but didn't make it a cornerstone.
[00:49:16.639 --> 00:49:17.440]  That's absolutely central.
[00:49:17.519 --> 00:49:18.800]  I believe Trump.
[00:49:19.760 --> 00:49:27.920]  And he knows how they use these twisted stories that are 90% lies to take control of agendas and suck the oxygen out of the room and kill the recovery and the peace plan he's got.
[00:49:28.480 --> 00:49:29.039]  I understand that.
[00:49:29.199 --> 00:49:30.400]  Trump is right.
[00:49:31.039 --> 00:49:32.559]  Trump is correct about that.
[00:49:35.440 --> 00:49:43.920]  But the way he's going about it is only energizing his opposition.
[00:49:44.960 --> 00:49:49.119]  You think us in horror over what's going on, all the flip-flopping in 180s every few days?
[00:49:49.360 --> 00:49:51.840]  Or 180s yesterday.
[00:49:53.199 --> 00:49:58.320]  You understand, like we understand politics and we understand the population and populism.
[00:49:58.720 --> 00:49:59.679]  You understand that, right?
[00:50:00.239 --> 00:50:02.720]  You understand we built the platform that launched you.
[00:50:03.599 --> 00:50:07.119]  And yes, you're great and smart and you're the great catalyst.
[00:50:07.199 --> 00:50:08.880]  You get the lion's share of the credit from.
[00:50:10.159 --> 00:50:16.320]  But we're the rocket scientists and the technicians that built the damn launch pad and the gantry.
[00:50:17.760 --> 00:50:31.599]  And we're like, it's like with the BP Big Horizon rig.
[00:50:32.239 --> 00:50:44.400]  And the engineers all told the British owners and the bosses in Houston, they said, they're pumping $25 million of concrete into the hole doing the deepest drill ever.
[00:50:45.039 --> 00:50:49.519]  And the executives say, we'll save hundreds of millions of dollars this week if we just don't keep putting concrete in.
[00:50:49.760 --> 00:50:52.720]  They said, listen, we know the pressure of the wells we've been hitting here.
[00:50:52.880 --> 00:50:54.720]  If you don't do that, it'll blow up.
[00:50:55.199 --> 00:50:57.360]  They said, we're ordering you to do it.
[00:50:58.559 --> 00:50:59.199]  They said, no.
[00:50:59.519 --> 00:51:01.039]  They came back a day later and said, you're going to be fired.
[00:51:01.119 --> 00:51:02.960]  This whole came out in court if you don't do it.
[00:51:03.599 --> 00:51:05.280]  And they said, okay, do a pressure test.
[00:51:05.440 --> 00:51:08.800]  And then if you give the order and send it in writing, we'll do it.
[00:51:12.159 --> 00:51:21.760]  And they gave the order, stopped up in concrete, did the test it held, stopped up in concrete, and half a day later, it blew up.
[00:51:22.400 --> 00:51:27.840]  And I'm here as a political, cultural engineer with a long track record on what I'm doing.
[00:51:28.159 --> 00:51:29.920]  And I'm like, you keep doing that.
[00:51:30.079 --> 00:51:32.000]  It's going to blow up, Mr. President.
[00:51:33.679 --> 00:51:35.039]  He says, shut up.
[00:51:36.480 --> 00:51:38.800]  Stop pumping mud into the hole.
[00:51:39.760 --> 00:51:40.800]  And it's going to blow.
[00:51:43.920 --> 00:51:45.360]  Deepwater Horizon.
[00:51:46.639 --> 00:51:49.280]  So, excellent movie.
[00:51:50.000 --> 00:51:51.519]  One of my favorite actors, Kurt Russell.
[00:51:51.679 --> 00:51:52.800]  It's off the court transcripts.
[00:51:52.880 --> 00:51:54.000]  It's deadly accurate.
[00:51:57.679 --> 00:52:00.000]  And so that's where we're at, boys and girls.
[00:52:00.320 --> 00:52:08.400]  All right, I'm going to come back, get into all the other news and incredible developments that have been unfolding geopolitically, the economy, the great stuff President Trump and his team are doing.
[00:52:08.719 --> 00:52:11.039]  And then again, the receiver has been appointed.
[00:52:11.599 --> 00:52:13.360]  They've sent us notices.
[00:52:15.440 --> 00:52:19.360]  They could be in here technically today, we think a week or two.
[00:52:19.599 --> 00:52:21.039]  We've survived this so many times.
[00:52:21.199 --> 00:52:25.440]  We're back in federal court battling it because it's totally not done properly.
[00:52:25.760 --> 00:52:26.639]  Just outrageous.
[00:52:26.960 --> 00:52:29.119]  I mean, look how thick this filing is right here.
[00:52:30.400 --> 00:52:37.440]  And so I want to tell you right now, they don't own the Alex Jones store, the AlexJonesStore.com.
[00:52:38.239 --> 00:52:38.960]  That is our sponsor.
[00:52:39.039 --> 00:52:43.039]  It's funded the Alex Jones Backup Network that I don't own, so they can't get that either.
[00:52:44.159 --> 00:52:48.159]  We've got another bigger studio with backers being built.
[00:52:50.320 --> 00:52:52.000]  That takes a lot of money.
[00:52:52.639 --> 00:52:53.679]  We have incredible products.
[00:52:53.840 --> 00:52:56.400]  I would only sell you something that works really great because I want you to get it again and again.
[00:52:56.480 --> 00:52:57.920]  It'd be like a restaurant that sells bad food.
[00:52:58.000 --> 00:52:59.840]  I'm going to sell you the best food, the best prices, best service.
[00:52:59.920 --> 00:53:01.440]  Well, these are the best supplements.
[00:53:02.400 --> 00:53:04.000]  And we've got some great sales going.
[00:53:04.159 --> 00:53:05.440]  The methylene blue.
[00:53:05.760 --> 00:53:09.679]  We have these other great new products in that are the strongest energy healthy system out there.
[00:53:09.760 --> 00:53:10.559]  It's like it's scary.
[00:53:10.800 --> 00:53:17.920]  The methyl drive and the power plant that go together incredibly, but individually, they're amazing and super good for you.
[00:53:18.480 --> 00:53:20.079]  But warning, this is just like the methylene blue.
[00:53:20.159 --> 00:53:21.760]  It's next level and it goes great with methylene blue.
[00:53:21.840 --> 00:53:23.519]  Get it now at thealicestore.com.
[00:53:23.599 --> 00:53:28.079]  They're 50% off together as the combo pack or what, 30% off individually.
[00:53:28.559 --> 00:53:35.119]  The power drive, cellular energy bundle, power plant, and ultimate methylene, methyl drive.
[00:53:35.440 --> 00:53:37.280]  Incredible, absolutely amazing.
[00:53:37.360 --> 00:53:39.679]  Supercharges methylene blue to a level that is beyond insane.
[00:53:39.760 --> 00:53:40.960]  I can't even take it.
[00:53:41.519 --> 00:53:44.960]  ThealischonStore.com, funding the Second American Revolution worldwide.
[00:53:45.199 --> 00:53:46.719]  Back us now, Paul Reveers.
[00:53:46.800 --> 00:53:47.519]  We'll be right back.
[00:53:47.840 --> 00:53:49.039]  I need support.
[00:53:49.599 --> 00:53:54.719]  We are maxed out and I can do so much more in offense, guaranteed beat them even faster in court.
[00:53:55.039 --> 00:53:56.480]  And you've got this other stuff going on.
[00:53:56.639 --> 00:53:58.000]  I'll leave it at that with the Justice Department.
[00:53:58.159 --> 00:54:02.639]  The good guys coming in with a task force on weaponization that I need funds.
[00:54:02.960 --> 00:54:10.719]  So I need you to go to thealexshowstore.com, subscribe as your monthly donation for $30 a month as a VIP.
[00:54:10.880 --> 00:54:12.559]  And know you're doing that bare minimum of support.
[00:54:12.719 --> 00:54:13.440]  Cancel any time.
[00:54:13.679 --> 00:54:14.800]  Not a very hard commitment.
[00:54:14.960 --> 00:54:16.000]  You just do it month to month.
[00:54:16.079 --> 00:54:16.800]  You charge 30 bucks.
[00:54:16.880 --> 00:54:17.440]  You're a VIP.
[00:54:17.519 --> 00:54:21.599]  And when you want a t-shirt or you want a supplement, you get it because it'll just build up in your account.
[00:54:21.840 --> 00:54:24.159]  $40 to spend in the store.
[00:54:24.480 --> 00:54:29.679]  You spend 30, you get 40 automatic discounts on everything, special sales, special offers.
[00:54:29.920 --> 00:54:39.519]  I'm asking everyone to commit who's never supported the broadcast by buying anything to become a VIP today at thealexjonstore.com.
[00:54:39.840 --> 00:54:41.360]  And then you know you're doing the monthly support.
[00:54:41.519 --> 00:54:43.360]  Ever have an issue, don't want to do it, cancel.
[00:54:43.599 --> 00:54:44.639]  One click, it's your profile.
[00:54:44.880 --> 00:54:51.760]  But by being a VIP, you get massive discounts, special offers, and so much more at thealisonstore.com.
[00:54:51.840 --> 00:54:54.159]  And it's a way to show your support.
[00:54:54.400 --> 00:54:55.920]  We need your backing.
[00:54:56.239 --> 00:54:58.400]  I am 100% dauntless.
[00:54:58.719 --> 00:55:03.840]  If anything, I get overheated because I've got so much energy and I'm so angry at these people and it bleeds off into my life.
[00:55:04.159 --> 00:55:05.440]  I need your backing.
[00:55:05.599 --> 00:55:06.559]  I'm backing you.
[00:55:06.719 --> 00:55:10.159]  Quite frankly, if you don't back me and my crew, what we're doing, you're nuts.
[00:55:10.320 --> 00:55:11.119]  And I'm not mad at you.
[00:55:11.199 --> 00:55:11.679]  I'm the same.
[00:55:11.760 --> 00:55:12.400]  You're crazy.
[00:55:12.639 --> 00:55:14.880]  Evil hates this transmission.
[00:55:15.119 --> 00:55:16.400]  We've got their number.
[00:55:16.719 --> 00:55:23.199]  And if you don't back, the organization's fighting with everything they've got for you, because we're all in this together.
[00:55:23.760 --> 00:55:25.199]  Well, you've rolled over.
[00:55:25.360 --> 00:55:26.960]  You've run up the white flag, quite frankly.
[00:55:27.039 --> 00:55:27.760]  And that's what this is.
[00:55:28.000 --> 00:55:29.360]  People ask, man, thanks for fighting.
[00:55:29.440 --> 00:55:30.239]  Thanks for never giving up.
[00:55:30.480 --> 00:55:31.920]  Wow, why does it break your spirit?
[00:55:32.000 --> 00:55:33.280]  It intensifies my spirit.
[00:55:33.360 --> 00:55:36.079]  To know we're up against pure evil and we're turning the tide and we're winning?
[00:55:36.320 --> 00:55:41.280]  And then to know that if we don't fight hard, they're going to win and commit humanity to a nightmare of evil?
[00:55:41.519 --> 00:55:42.480]  You think stuff's bad now?
[00:55:42.559 --> 00:55:43.360]  You ain't seen nothing yet.
[00:55:43.599 --> 00:55:46.719]  Thank me for fighting for my own future and yours collectively?
[00:55:46.960 --> 00:55:49.280]  There's not even a question of fighting these people.
[00:55:49.599 --> 00:55:50.159]  Look at them.
[00:55:50.239 --> 00:55:51.360]  They've got to be opposed.
[00:55:51.679 --> 00:55:56.000]  People tend to think being persecuted is, oh, you want to stay away from that?
[00:55:56.320 --> 00:55:58.000]  Oh, so you want to stay away from the fight?
[00:55:58.320 --> 00:56:03.280]  No, it's like John Paul Jones said when he got commissioned as the head of the U.S. Navy route was starting.
[00:56:03.440 --> 00:56:05.360]  And he was riding to the Continental Congress.
[00:56:05.440 --> 00:56:07.199]  He said, I only want the fastest ships.
[00:56:07.519 --> 00:56:10.239]  I only want to be sent into the main war zones of direct action.
[00:56:10.480 --> 00:56:12.159]  They said, here is our fastest ship.
[00:56:12.239 --> 00:56:12.480]  Go out.
[00:56:12.639 --> 00:56:18.000]  He immediately goes out and engages and takes over all these British ships to three times the size, just ramming straight into them.
[00:56:18.239 --> 00:56:19.360]  Well, that's what I want to do.
[00:56:19.599 --> 00:56:21.199]  I only want the fastest ships.
[00:56:21.360 --> 00:56:22.800]  I want to go directly into action.
[00:56:22.960 --> 00:56:24.320]  I want to go 24 hours a day.
[00:56:24.480 --> 00:56:26.159]  I want reporters all over the country.
[00:56:26.480 --> 00:56:30.159]  I want to be 50 times stronger against the enemy.
[00:56:30.480 --> 00:56:32.239]  I want 50 times the audience.
[00:56:32.559 --> 00:56:33.519]  I want victory.
[00:56:33.840 --> 00:56:36.400]  You think what we've done to the enemy's been effective so far?
[00:56:36.559 --> 00:56:37.519]  It's nothing.
[00:56:38.159 --> 00:56:40.800]  I have not yet begun to fight.
[00:56:41.440 --> 00:56:43.519]  So, support yourself.
[00:56:43.760 --> 00:56:44.320]  Support us.
[00:56:44.480 --> 00:56:44.880]  Do it.
[00:56:45.119 --> 00:56:48.320]  Or be conscious that you didn't fight when the time was right.
[00:56:48.639 --> 00:56:49.360]  You hesitated.
[00:56:49.519 --> 00:56:51.360]  You took this as another entertainment venue.
[00:56:51.519 --> 00:56:52.480]  Just some other show.
[00:56:52.800 --> 00:56:53.679]  Just more talk.
[00:56:54.000 --> 00:56:54.880]  This ain't talk.
[00:56:55.199 --> 00:56:57.360]  This is the targeting coordinates to take down the enemy.
[00:56:57.519 --> 00:56:59.039]  This is the Death Star plans.
[00:56:59.679 --> 00:57:01.599]  This is Sting the Goblin Slayer.
[00:57:01.920 --> 00:57:03.599]  They hate this blade.
[00:57:03.840 --> 00:57:11.679]  This operation is a sword that is plunged politically, culturally, spiritually into the hearts of our enemies over and over and over again.
[00:57:12.000 --> 00:57:12.720]  They hate it.
[00:57:12.960 --> 00:57:14.720]  It's a standard of their defeat.
[00:57:14.960 --> 00:57:16.800]  It's a symbol of their weakness.
[00:57:17.119 --> 00:57:18.400]  That's what we're doing here.
[00:57:18.639 --> 00:57:20.239]  This is serious business.
[00:57:20.559 --> 00:57:23.920]  So I'm coming to you, asking you to continue to commission us in this fight.
[00:57:24.079 --> 00:57:28.720]  We've already delivered you more victories against the enemy than any other media operation in the world.
[00:57:29.039 --> 00:57:35.760]  And I'm asking you again for all of our collected futures to come to our aid now more and take your fight to the 110% level.
[00:57:36.239 --> 00:57:36.880]  Tell the truth.
[00:57:37.039 --> 00:57:37.599]  Be accurate.
[00:57:37.679 --> 00:57:38.400]  Stand against evil.
[00:57:38.559 --> 00:57:39.280]  Have courage.
[00:57:39.599 --> 00:57:41.039]  Until it's not even having courage.
[00:57:41.119 --> 00:57:47.838]  what you are.
[00:57:47.840 --> 00:57:48.480]  All right.
[00:57:49.039 --> 00:57:55.920]  MTG, who is such a wonderful, smart, courageous person, is very upset about what Trump's doing.
[00:57:56.000 --> 00:57:57.519]  She's put out a statement.
[00:57:59.119 --> 00:58:00.400]  And that's coming up next segment.
[00:58:00.720 --> 00:58:02.880]  He doubled down even more during the press conference.
[00:58:03.039 --> 00:58:06.159]  We've got more clubs disavowing his constituents.
[00:58:06.800 --> 00:58:09.360]  I mean, this is just, this is crashing out.
[00:58:09.599 --> 00:58:12.159]  I mean, I but it's crashing up.
[00:58:12.800 --> 00:58:16.000]  See, that's what happens to people that don't give up, that are under too much pressure.
[00:58:16.639 --> 00:58:26.400]  They turn into barbarian, merserking Vikings.
[00:58:28.320 --> 00:58:32.559]  And it comes with a thoroughbred.
[00:58:35.920 --> 00:58:38.079]  And the whole family's got a criminal longevity.
[00:58:39.500 --> 00:58:41.898]  I mean, he's a piece of work, man.
[00:58:41.898 --> 00:58:47.769]  And so he is fire-breathing now.
[00:58:47.778 --> 00:58:51.480]  Absolutely insane.
[00:58:51.480 --> 00:58:57.458]  I mean, again, the issue is not Epstein-List.
[00:58:57.458 --> 00:58:59.420]  It's Trump's behavior over it.
[00:58:59.539 --> 00:59:07.880]  And it's, you know, the Democrats are taking what I say and then, you know, misrepresenting it.
[00:59:08.619 --> 00:59:09.869]  And that's their problem.
[00:59:09.880 --> 00:59:19.338]  I can't sit here and comport what I say because they're going to take 30-second clubs out of context and they're going to lie.
[00:59:19.360 --> 00:59:24.670]  I can't live by that.
[00:59:24.760 --> 00:59:29.920]  If people want mindless soundbites, then this is not the broadcast for you.
[00:59:29.979 --> 00:59:34.798]  And I'm not trying to win a popularity contest with the viewers and listeners.
[00:59:37.849 --> 00:59:48.500]  Though we're getting 90% support, which I never operate off of how I get support, which makes it even more frightening because I don't want Trump to fail.
[00:59:49.450 --> 00:59:53.378]  And it's very paradoxical.
[00:59:54.429 --> 01:00:05.059]  But the vast majority of even the influencers and people that have been nothing but, you know, absolute devotees to a really sycophantic level to Trump.
[01:00:05.110 --> 01:00:09.159]  It's not saying Trump's bad overall, but I mean, their behavior has been very sycophantic.
[01:00:10.619 --> 01:00:14.068]  Even the thoroughbred sycophants are like, what?
[01:00:14.260 --> 01:00:14.510]  What?
[01:00:14.650 --> 01:00:14.900]  Why?
[01:00:14.900 --> 01:00:15.539]  Well, then why?
[01:00:15.539 --> 01:00:15.900]  Okay.
[01:00:15.900 --> 01:00:17.679]  If you're going to move on from it.
[01:00:17.739 --> 01:00:24.980]  Trump, why do you keep hitting the beehive and doing?
[01:00:25.519 --> 01:00:29.369]  I mean, when I said he couldn't do things worse to Streisand effect this to the next level.
[01:00:29.378 --> 01:00:31.679]  Streisand to the 10th power.
[01:00:31.679 --> 01:00:33.139]  Streisand squared.
[01:00:33.139 --> 01:00:35.099]  Streisand to 11.
[01:00:36.239 --> 01:00:39.128]  He's done it now attacking his constituents and saying, I don't want you here.
[01:00:39.139 --> 01:00:40.260]  You're excommunicated.
[01:00:40.260 --> 01:00:43.798]  If you.
[01:00:43.798 --> 01:00:50.210]  Don't.
[01:00:50.240 --> 01:00:52.710]  Just shut up.
[01:00:52.878 --> 01:00:55.809]  And, you know, what will it be next week?
[01:00:55.818 --> 01:00:57.949]  What will the next thing?
[01:00:57.960 --> 01:01:01.949]  That we've got to just do whatever you say be.
[01:01:01.960 --> 01:01:05.479]  That's that's not how America operates.
[01:01:05.479 --> 01:01:10.340]  So I don't respond very well to being slapped around.
[01:01:10.340 --> 01:01:17.119]  I'm not really, you know, in the street walker category where, you know, the pimp slaps me around and put cigarettes out of my arm.
[01:01:17.139 --> 01:01:18.860]  So that that.
[01:01:18.940 --> 01:01:20.539]  But I'm going to be measured about it.
[01:01:20.539 --> 01:01:24.740]  I'm not going to let being slapped around or the attempt to.
[01:01:25.378 --> 01:01:29.659]  Make me overreact to this.
[01:01:29.659 --> 01:01:32.740]  I'm just going to coldly say this is a disaster.
[01:01:32.740 --> 01:01:35.119]  This is an unholy fiasco.
[01:01:35.119 --> 01:01:39.099]  And then stuff out of the DOJ saying, eh, we don't care.
[01:01:39.099 --> 01:01:43.349]  Federal court ruled and it's its class action suit and the FDA agrees with it and.
[01:01:43.360 --> 01:02:13.519]  hhs yeah we're not going to take fluoride out because the u.s chemical council wants to keep dumping deadly poison in the water and then i see you know some trump supporters going how do you know this is true jones just said it i only show you the damn ruling it's it's in the news you think i'm happy about that and then it's more more more more more still overall trump's doing good but it was 98 then it was 95
[01:02:13.518 --> 01:02:17.817]  Now it's 90%, and it's moving the wrong direction quickly.
[01:02:17.817 --> 01:02:22.187]  And I am simply saying, please pray for President Trump.
[01:02:22.218 --> 01:02:36.217]  Please pray that God touch his heart and whatever demonic force is influencing him to be so destructive, that in the name of Jesus, that spirit of Satan be bound, and that that spirit get behind Trump.
[01:02:36.217 --> 01:02:37.918]  Get out of his way, Satan.
[01:02:37.918 --> 01:02:55.218]  Between the time when the oceans drank Atlantis and the rise of the sons of Arius, there was an age undreamed of.
[01:02:55.218 --> 01:03:04.498]  And on to this, Conan, destined to bear the jeweled crown of Aquilonia upon a troubled brow.
[01:03:04.777 --> 01:03:10.118]  It is I, his chronicler, who along can tell thee of his saga.
[01:03:10.118 --> 01:03:15.277]  Let me tell you of the days of high adventure.
[01:03:15.277 --> 01:04:36.277]  The End The End
[01:04:36.277 --> 01:05:03.277]  The End The End The End
[01:05:03.277 --> 01:05:29.777]  The End
[01:05:29.840 --> 01:05:39.280]  Yes, my friends, Trump was put under incredible pressure, forged in the fires of the globalist attacks on him, his family, and our nation.
[01:05:40.239 --> 01:05:48.000]  And now he is a dangerous weapon forged in spiritual-cultural war.
[01:05:50.159 --> 01:06:09.039]  But you have to understand now that his angry outbursts at his constituency and the bizarre, reckless flip-flopping of the last 10 days is beyond dangerous.
[01:06:10.239 --> 01:06:12.480]  And it's total blood in the water for the sharks.
[01:06:12.800 --> 01:06:23.599]  And those of us predicting and showing and predicting with precision the unfolding train wreck and fiasco are not the bad people.
[01:06:24.880 --> 01:06:32.239]  But again, I don't even say that in a defense of myself from our listeners because 90 plus percent agree with us, which is even more horrifying.
[01:06:32.559 --> 01:06:34.719]  You're like, well, wait, people agreeing with you is good, right?
[01:06:35.599 --> 01:06:39.829]  yeah, I don't want to be right that this is really freaking people out.
[01:06:39.838 --> 01:06:48.559]  you you I mean, yesterday, yeah, Bondi's going to release the stuff now.
[01:06:48.960 --> 01:06:51.679]  We're going to have a special counsel come up through surrogates.
[01:06:51.840 --> 01:06:53.760]  And then hours later, nah, you're crazy.
[01:06:53.920 --> 01:06:54.480]  We talk about it.
[01:06:54.559 --> 01:06:55.679]  It's all a hoax.
[01:06:58.239 --> 01:07:00.400]  And we're like, boy, that's not good.
[01:07:01.039 --> 01:07:02.639]  That's really bad.
[01:07:04.159 --> 01:07:10.000]  And then I played a clip earlier from the press conference where he says, these are dumb people, my former constituents.
[01:07:11.519 --> 01:07:13.599]  And so there's two more clips.
[01:07:15.440 --> 01:07:20.079]  Trump on whether he is disavowing past supporters who are pushing transparency over the Epstein Falls.
[01:07:20.239 --> 01:07:25.280]  I lost a lot of faith in certain people because they got duped by the Democrats.
[01:07:26.239 --> 01:07:30.800]  Just in, President Trump says Pam Bondi can release any credible documents from the Epstein Falls.
