[00:00:19.830 --> 00:00:21.751]  Welcome to the Infowars Nightly News.
[00:27:43.072 --> 00:27:47.595]  More of the terrorists were found to be Latin Americans contracted by the U.S.
[00:27:48.016 --> 00:27:52.659]  One of the attack's masterminds, Posada Capriles, currently lives freely in Miami.
[00:27:59.604 --> 00:28:04.928]  Either you are with us, or you are with the terrorists.
[00:28:05.148 --> 00:28:11.833]  I will tell you, Director Deutsch, as a former Los Angeles police narcotics detective, that the agency has dealt drugs throughout this country for a long time.
[00:28:16.782 --> 00:28:21.973]  Let us never tolerate outrageous conspiracy theories concerning the attacks of September the 11th.
[00:28:32.958 --> 00:28:34.040]  My sister-in-law.
[00:28:34.060 --> 00:28:34.801]  I love Bill Clinton.
[00:28:34.861 --> 00:28:35.101]  J.P.
[00:28:35.161 --> 00:28:35.562]  Morgan.
[00:29:09.699 --> 00:29:13.502]  City of Austin tap water versus filtered City of Austin tap water.
[00:29:13.902 --> 00:29:15.103]  I didn't, like, taste dirt in it.
[00:29:15.183 --> 00:29:16.424]  God knows what's in this.
[00:29:16.444 --> 00:29:17.424]  This has an aftertaste.
[00:29:17.484 --> 00:29:19.045]  Tastes like Austin water?
[00:29:19.325 --> 00:29:20.186]  Yeah, it does.
[00:29:20.226 --> 00:29:24.368]  These people just sampled City of Austin tap water straight from the faucet.
[00:29:24.629 --> 00:29:30.732]  Next, we had them try a sample of tap water filtered through the ProPure G2.0 filtration system.
[00:29:30.832 --> 00:29:31.633]  High quality H2O.
[00:29:32.233 --> 00:29:33.254]  That one is better.
[00:29:33.314 --> 00:29:34.294]  Tastes like nothing.
[00:29:34.575 --> 00:29:35.956]  Yep, I know what good water tastes like.
[00:29:36.016 --> 00:29:36.576]  It's good water.
[00:29:36.656 --> 00:29:45.182]  Most tap water contains added substances, like fluoride, chlorine, Monsanto's deadly pesticide, glyphosate, and many others.
[00:29:45.602 --> 00:29:53.087]  Studies prove that these substances are linked to an assortment of major health issues, including tooth decay, lowered IQ, and even cancer.
[00:29:53.387 --> 00:29:55.809]  It tastes like you're drinking out of the lake when you're drinking tap water.
[00:29:56.449 --> 00:29:58.793]  Yeah, there's that processed flavor to it.
[00:29:59.133 --> 00:30:08.727]  The ProPure® G2.0 filtration system removes these deadly substances and many more, leaving only fresh tasting, deliciously clean water.
[00:30:08.767 --> 00:30:10.490]  Okay, this is very tasty.
[00:30:10.550 --> 00:30:11.251]  It's good water.
[00:30:11.923 --> 00:30:12.343]  Refreshing.
[00:30:12.363 --> 00:30:13.143]  It's good!
[00:30:13.684 --> 00:30:16.025]  Go to InfoWarsStore.com today.
[00:30:16.425 --> 00:30:20.266]  Use promo code WATER and save 10% off your ProPure purchase.
[00:30:20.766 --> 00:30:28.009]  Again, that's InfoWarsStore.com or call 1-888-253-3139.
[00:30:29.349 --> 00:30:33.311]  You are watching the InfoWars Nightly News, which airs 7 p.m.
[00:30:33.351 --> 00:30:35.812]  Central at InfoWarsNews.com.
[00:30:35.932 --> 00:30:39.413]  And your support is helping us defend liberty worldwide.
