[00:00:00.110 --> 00:00:00.413]  Yeah.
[00:50:29.640 --> 00:50:36.845]  You remember after the Paris Massacre we had this bizarre situation in Germany where there was an apparent attempted attack on a soccer stadium.
[00:50:36.865 --> 00:50:38.886]  This was just days after the Paris Massacre.
[00:50:39.547 --> 00:50:42.129]  And suddenly that story completely disappeared.
[00:50:42.149 --> 00:50:46.792]  The German authorities said that there were no explosives despite the fact that police
[00:50:47.392 --> 00:50:50.154]  And emergency personnel directly said they were.
[00:50:50.174 --> 00:50:57.378]  They covered up the attack, it appears, so as not to reinforce this narrative that these Muslim migrants do indeed pose a terror threat.
[00:50:57.759 --> 00:51:00.220]  We'll be back with this and more stories after the break.
[00:51:00.740 --> 00:51:03.982]  It's the Alex Jones Show Live, InfoWars.com.
[00:51:04.022 --> 00:51:04.583]  Don't go away.
[00:51:09.312 --> 00:51:13.893]  A revolution in body protection has arrived, only at FortressSurvivalLLC.com.
[00:51:14.213 --> 00:51:18.114]  Introducing the revolutionary patented Level 3 Bulletproof Vest.
[00:51:18.134 --> 00:51:20.215]  100% Kevlar, 100% American made.
[00:51:20.415 --> 00:51:23.435]  Concealable, fully adjustable, and the lowest price on the market.
[00:51:23.635 --> 00:51:26.136]  Adult size normally $289.99, now just $250.
[00:51:26.636 --> 00:51:29.077]  Kid size normally $239.99, now just $200.
[00:51:29.257 --> 00:51:34.498]  Get affordable protection with a Level 3A Bulletproof Vest from FortressSurvivalLLC.com.
[00:51:34.658 --> 00:51:36.559]  For thou art my rock and my fortress.
[00:51:36.819 --> 00:51:37.139]  Psalm 313.
[00:51:39.076 --> 00:51:48.400]  We use mobile devices right against our bodies every day, but growing scientific evidence has emerged showing serious health risks associated with exposure to EMF radiation emitted from these devices.
[00:51:48.520 --> 00:51:52.822]  The solution is DefenderShield, the most effective mobile radiation shielding ever developed.
[00:51:52.942 --> 00:51:58.684]  DefenderShield blocks virtually 100% of EMF radiation from cell phones, tablets, and laptops, and starts at just $64.99.
[00:51:59.024 --> 00:52:02.106]  Buy now at DefenderShield.com.
[00:52:02.146 --> 00:52:04.046]  For 10% off, use promo code GCN.
[00:52:04.206 --> 00:52:07.728]  DefenderShield.com, the worldwide leader in mobile radiation shielding.
[00:52:08.797 --> 00:52:12.078]  Soon Christmas would have come and gone, and with it, 2015.
[00:52:12.478 --> 00:52:16.960]  Now is the time to give the gift of amazing health this Christmas and New Year's season.
[00:52:17.380 --> 00:52:24.983]  Many of you have experienced or you've heard about the amazing benefits from the exclusive formulations available at InfoWarsLife.com.
[00:52:25.303 --> 00:52:31.246]  Now is your chance to share them with those you love and take advantage of free shipping and unprecedented specials.
[00:52:31.646 --> 00:52:37.448]  You will find the InfoWarsLife Essentials Pack with X2 Supermail and Silver Bullet Colloidal Silver
[00:52:37.668 --> 00:52:40.592]  For 33% off on top of free shipping.
[00:52:40.712 --> 00:52:48.641]  You'll also find other specials like the Deep Cleanze Pack with Deep Cleanze Oxy Powder and Living Defense for 28% off and again free shipping.
[00:52:48.821 --> 00:52:50.884]  Visit InfoWarsLife.com today.
[00:52:51.204 --> 00:52:52.706]  Read the 5-star reviews.
[00:52:53.026 --> 00:52:54.468]  See the informational videos.
[00:52:54.548 --> 00:52:56.330]  As survivalist housing has been in your plans, get ready.
[00:53:11.451 --> 00:53:15.273]  We're bringing our Timberline Range Camps to you February 6th through 14th.
[00:53:15.493 --> 00:53:18.194]  The Great American Outdoor Show in Harrisburg, Pennsylvania.
[00:53:18.394 --> 00:53:25.037]  Get an up-close look at some of our most popular Timberline models, or visit survivalistcamps.com to pre-order a camp.
[00:53:25.257 --> 00:53:27.498]  We'll bring it to the show and save you the cost of shipping.
[00:53:27.839 --> 00:53:30.020]  It's the perfect time to get that camp you've wanted.
[00:53:30.260 --> 00:53:37.163]  Go to survivalistcamps.com, then plan on joining us at the Great American Outdoor Show in February in Harrisburg, Pennsylvania.
[00:53:38.263 --> 00:53:42.244]  With a new year coming, it's time for a new way to look at weapon storage.
[00:53:42.524 --> 00:53:45.645]  Safes can't be accessed quickly and racks are unsafe for children.
[00:53:45.765 --> 00:53:48.286]  Covert Cabinets are the next level in home defense.
[00:53:48.326 --> 00:53:53.747]  They fit seamlessly into any home's decor and they provide quick access to firearms while keeping them uniquely hidden.
[00:53:53.787 --> 00:53:56.368]  Covert Cabinets, the ideal hidden storage solution.
[00:53:56.408 --> 00:53:57.808]  Custom made in the USA.
[00:53:57.888 --> 00:54:03.350]  Covert Cabinets are an elegant and practical alternative to the bulky and obvious storage systems of the past.
[00:54:03.430 --> 00:54:05.550]  Find out more at CovertCabinets.com.
[00:54:05.610 --> 00:54:06.851]  That's CovertCabinets.com.
[00:54:09.677 --> 00:54:30.425]  I can see for miles and miles and miles and miles and miles If you think that I don't know about the little trick you play
[00:54:34.833 --> 00:54:42.755]  Down 282 points at the moment, of course, a few days after the interest rate was hiked by the Federal Reserve.
[00:54:42.795 --> 00:54:46.416]  We're going to have Peter Schiff in the third hour to discuss that.
[00:54:46.436 --> 00:54:48.596]  He's going to discuss gold today.
[00:54:48.676 --> 00:54:54.298]  He said on CNBC it would eventually go up to $5,000 an ounce, so we'll ask him about that.
[00:54:54.918 --> 00:54:57.939]  Also oil plummeting, of course, what that means for the future.
[00:54:58.659 --> 00:55:03.827]  Of the US economy, and if it signifies that there is another great recession around the corner.
[00:55:04.808 --> 00:55:15.323]  But if you go to infowarsstore.com, and this is only going to be in effect for the next hour, I'm told, so this is really your last chance to take this opportunity.
[00:55:15.743 --> 00:55:23.585]  Free shipping on all InfoWarsStore.com orders and only three days left for guaranteed Christmas delivery.
[00:55:23.885 --> 00:55:27.266]  So you really need to get your orders in as quickly as possible.
[00:55:27.306 --> 00:55:29.627]  Of course, it supports this network.
[00:55:29.707 --> 00:55:31.807]  It supports the expansion of this network.
[00:55:32.288 --> 00:55:39.510]  It allows us to send reporters out to all these different hotspots and to actually tackle and take on the mainstream media.
[00:55:40.310 --> 00:55:43.391]  And it's just been a huge help over the past several years.
[00:55:43.431 --> 00:55:43.891]  So we've got
[00:55:45.511 --> 00:55:47.172]  20% off X2 Nascent Iodine.
[00:55:47.952 --> 00:55:51.813]  Give the gift of total health and we'll mail it directly to your friends and family.
[00:55:52.453 --> 00:55:59.614]  As you heard Alex mention in the break, the Essentials Pack, Survival Shield X2, Super Male or Female Vitality and Silver Bullet.
[00:56:00.274 --> 00:56:03.715]  That's 33% off on that special deal.
[00:56:04.295 --> 00:56:06.496]  We've got the Cleanse Pack, which is deep cleanse.
[00:56:07.316 --> 00:56:20.164]  Liver Cleanze Oxy Powder, that's 28% off retail, and Winter Sun Vitamin D, 15% off, as well as other special deals at InfoWarsStore.com.
[00:56:21.125 --> 00:56:36.235]  Again, three days left to get your order in, and that offer on free shipping, so I'm told, is going to end very shortly, so be sure to get your orders in at InfoWarsStore.com, and it helps build this network.
[00:56:37.262 --> 00:56:42.667]  Sputnik News is reporting, ISIS terrorists seized in German refugee camp.
[00:56:43.367 --> 00:56:45.870]  But I thought they were all orphans and widows.
[00:56:45.910 --> 00:56:48.532]  I mean, that's what President Barack Obama said, right?
[00:56:48.792 --> 00:56:49.973]  You've got nothing to worry about.
[00:56:50.013 --> 00:56:51.214]  They're just orphans and widows.
[00:56:51.695 --> 00:56:55.438]  Well, we had one arrested in Netherlands last week, another ISIS terrorist.
[00:56:55.879 --> 00:57:03.786]  We had hundreds of, quote, refugees found with ISIS flags and beheading videos on their cell phones in Italy.
[00:57:04.466 --> 00:57:06.207]  Again, just orphans and widows.
[00:57:06.748 --> 00:57:10.590]  And now we've got an ISIS terrorist seized in a German refugee camp.
[00:57:11.291 --> 00:57:15.693]  A Syrian suspected of working with ISIS was apprehended in a refugee camp in Germany.
[00:57:16.134 --> 00:57:25.380]  Leith Daham al-Dari, reportedly known as the Paymaster, was seized by authorities at a refugee camp in the town of Onna, according to Bild.
[00:57:26.463 --> 00:57:37.530]  Al Dheeri was allegedly working as a terrorist group's accountant and was identified by authorities thanks to a photo of him posted online by Syrian anti-ISIS activists.
[00:57:38.190 --> 00:57:43.854]  So of course you remember during the first wave of the refugee crisis back in September,
[00:57:45.011 --> 00:57:51.917]  We had these Free Syrian Army fighters and al-Nusra fighters coming into German train stations.
[00:57:52.417 --> 00:58:02.186]  There were comparison pictures posted on Twitter of them with Kalashnikovs, and then arriving in Germany, people said, oh, they were fighting for the Free Syrian Army.
[00:58:02.226 --> 00:58:03.547]  They're the moderate rebels.
[00:58:03.587 --> 00:58:04.508]  They're the good guys.
[00:58:04.548 --> 00:58:05.649]  Don't be Islamophobic.
[00:58:06.539 --> 00:58:17.525]  Of course we know that the Free Syrian Army, many of them defected to ISIS, many of them gave their weapons to ISIS, and many of them did the same with al-Nusra, which is an al-Qaeda offshoot.
[00:58:18.185 --> 00:58:23.968]  So yet more reports of these individuals being found in refugee camps just the other day.
[00:58:24.409 --> 00:58:33.794]  We had another two suspects in the Paris Massacre found in a refugee camp in Austria, again highlighting that this is a major threat.
[00:58:34.674 --> 00:58:37.355]  We're going to come back after the break, though, with more news.
[00:58:37.375 --> 00:58:41.917]  The Obama administration has lost thousands of terrorists.
[00:58:41.937 --> 00:58:43.118]  That's a huge story right now.
[00:58:43.138 --> 00:58:45.039]  We'll be back on the Alex Jones Show.
[00:58:45.399 --> 00:58:46.599]  Infowars.com.
[00:58:46.619 --> 00:58:47.480]  Don't go away.
[00:58:49.400 --> 00:58:51.241]  You are listening to GCN.
[00:58:52.902 --> 00:58:55.143]  Visit GCNlive.com today.
[00:58:58.889 --> 00:59:02.171]  Soon Christmas would have come and gone, and with it, 2015.
[00:59:02.571 --> 00:59:07.393]  Now is the time to give the gift of amazing health this Christmas and New Year's season.
[00:59:07.473 --> 00:59:15.076]  Many of you have experienced or you've heard about the amazing benefits from the exclusive formulations available at InfoWarsLife.com.
[00:59:15.356 --> 00:59:21.319]  Now is your chance to share them with those you love and take advantage of free shipping and unprecedented specials.
[00:59:21.719 --> 00:59:30.689]  You will find the InfoWars Life Essentials Pack with X2 Super Male and Silver Bullet Colloidal Silver for 33% off on top of free shipping.
[00:59:30.809 --> 00:59:38.717]  You'll also find other specials like the Deep Cleanse Pack with Deep Cleanse, Oxy Powder, and Living Defense for 28% off and again free shipping.
[00:59:38.897 --> 00:59:40.519]  You're listening to the Alex Jones Show.
[01:00:10.393 --> 01:00:16.298]  They took my saddle in Houston, broke my leg in Santa Fe.
[01:00:18.359 --> 01:00:24.404]  Lost my wife and a girlfriend somewhere along the way.
[01:00:24.444 --> 01:00:27.467]  In defense of human liberty, Alex Jones.
[01:00:27.487 --> 01:00:30.369]  I'll be looking for aid when they pull that
[01:00:32.021 --> 01:00:35.363]  Paul Joseph Watson back live on the Alex Jones Show.
[01:00:35.483 --> 01:00:38.425]  Alex is going to be popping back in in the next segment.
[01:00:38.485 --> 01:00:42.368]  In the third hour we're going to talk to Peter Schiff about the economy.
[01:00:42.408 --> 01:00:45.390]  The Dow Jones is currently down about 270 points.
[01:00:45.450 --> 01:00:50.993]  We've got gold surging back up again and the oil price continues to plummet.
[01:00:51.013 --> 01:00:55.096]  So we're going to see what Peter thinks that means for the future of the economy.
[01:00:55.136 --> 01:00:57.177]  We're also going to talk about the shrinking middle class.
[01:00:58.218 --> 01:01:00.481]  But here's the headline out of progressivestoday.com.
[01:01:01.202 --> 01:01:06.789]  Lord of the Rings star says terrorists have legitimate complaints about the West.
[01:01:07.250 --> 01:01:12.116]  Liberal actor Ian McKellen recently made some eyebrow-raising remarks about ISIS.
[01:01:12.156 --> 01:01:12.696]  Here's the clip.
[01:01:14.554 --> 01:01:18.397]  I suppose terrorists just want to disrupt our lives and make it hell.
[01:01:18.437 --> 01:01:22.179]  And I think our answer is to carry on.
[01:01:22.840 --> 01:01:27.423]  They're very chicken terrorists.
[01:01:27.503 --> 01:01:31.205]  And so extreme in their views.
[01:01:32.626 --> 01:01:39.631]  I'm sure the legitimate complaint that your country and my country have meddled in their affairs is a fair one.
[01:01:40.252 --> 01:01:41.452]  But it doesn't justify this.
[01:01:43.723 --> 01:01:53.130]  So, Ian McKellen says that they have legitimate complaints and that the West meddling in their countries to some extent justifies ISIS attacks.
[01:01:53.150 --> 01:02:04.059]  Well, of course, this is completely erroneous because the very creation, the very existence of ISIS relies on the fact that the West meddled in those countries.
[01:02:04.359 --> 01:02:06.160]  So that was a boon to ISIS.
[01:02:06.621 --> 01:02:07.842]  It wasn't a grievance.
[01:02:08.502 --> 01:02:21.073]  The Pentagon knew that their meddling in Syria, in trying to topple a secular leadership in Bashar al-Assad, would lead to the creation, in their own words, of a Salafist principality.
[01:02:21.393 --> 01:02:22.914]  In other words, ISIS.
[01:02:23.695 --> 01:02:28.257]  So it's not that the grievance is legitimate that we intervened in Syria.
[01:02:28.737 --> 01:02:33.278]  ISIS owes its very existence to the fact that we intervened.
[01:02:33.658 --> 01:02:35.059]  So they should be pleased with that.
[01:02:35.459 --> 01:02:46.883]  But again, it's another one of these, we saw it after Charlie Hebdo, you know, maybe the cartoonists deserve to be slaughtered in cold blood because they dared offend the precious jihadists.
[01:02:46.943 --> 01:02:50.804]  We saw it again after the Paris massacre where the cuckold had left
[01:02:51.344 --> 01:02:56.749]  ...ran about denying again that Islamic extremism was a problem, you know, hug a Muslim and all that.
[01:02:57.130 --> 01:03:00.973]  And it was just a giant exercise once again in virtue signaling.
[01:03:01.834 --> 01:03:07.519]  They refused to face up to the problem because it transgresses their regressivism.
[01:03:07.940 --> 01:03:12.404]  And we saw that again in the UK with this petition to ban Donald Trump.
[01:03:13.578 --> 01:03:21.184]  People trying to virtue signal while they're actually endorsing the criminalization of free speech.
[01:03:21.204 --> 01:03:22.825]  Well now it emerges out of the express.
[01:03:23.803 --> 01:03:24.964]  Headline, it's a fiddle!
[01:03:25.484 --> 01:03:31.167]  Petition to ban Trump from UK signed multiple times by the same people.
[01:03:32.068 --> 01:03:37.931]  Government petitions being abused online by activists organising mass signings to trigger government debates.
[01:03:37.991 --> 01:03:45.375]  Remember, if these petitions get over 100,000 signatures in the UK, Parliament actually debates the issue.
[01:03:45.716 --> 01:03:49.478]  So whereas most of these petitions are useless, this one actually has teeth.
[01:03:50.558 --> 01:03:59.161]  Well, in a matter of minutes, reporters from the Express were able to sign government petitions multiple times using the same name and postcode.
[01:03:59.682 --> 01:04:01.723]  So they're saying this is probably what happened here.
[01:04:02.603 --> 01:04:10.266]  The Trump ban petition was signed 562,000 times, becoming the most signed government online petition since the site's launch in 2012.
[01:04:11.847 --> 01:04:18.709]  But now they're saying there's evidence that people, individual people, signed this same petition 50 times each.
[01:04:20.430 --> 01:04:34.294]  So if you've got thousands of people who are organised, then imagine how many hundreds of thousands of fake signatures you could get added onto these petitions, obviously triggering a parliamentary debate.
[01:04:34.314 --> 01:04:41.316]  And then they had the Don't Ban Trump petition, which was soaring in signatures, then suddenly 20-30,000 get removed.
[01:04:43.857 --> 01:04:46.859]  They were not removed from the Bantram petition.
[01:04:47.459 --> 01:04:50.541]  So again, some very shady goings on with that.
[01:04:51.321 --> 01:04:54.843]  We'll be back after the break with Alex and with more news.
[01:04:54.863 --> 01:05:02.628]  We're going to talk about how the EU is exploiting the refugee crisis to basically further a plan for an occupying army.
[01:05:02.668 --> 01:05:03.688]  This is a huge story.
[01:05:03.929 --> 01:05:07.330]  We'll be back on the Alex Jones Show, InfoWars.com.
[01:05:07.350 --> 01:05:07.931]  Stay tuned.
[01:05:08.880 --> 01:05:16.022]  Joe Biggs here with Infowars.com, FBI nabs pizza patsy, article up by Kurt Nimmo at Infowars.com.
[01:05:16.182 --> 01:05:23.784]  The FBI says Mufid used three Twitter accounts, 23 Facebook accounts, and one WhatsApp account to support the Islamic State.
[01:05:23.864 --> 01:05:29.586]  He pleaded guilty to terrorism charges on Thursday, and prosecutors recommended 22 years in prison.
[01:05:29.626 --> 01:05:32.547]  The pizza parlor owner, who is a naturalized U.S.
[01:05:32.567 --> 01:05:33.507]  citizen from Yemen,
[01:05:33.687 --> 01:05:39.490]  ...communicated with two people who expressed a desire to travel to Syria and fight with the Islamic State.
[01:05:39.630 --> 01:05:42.812]  Both would-be fighters work for the FBI.
[01:05:43.032 --> 01:05:52.296]  Mufid was arrested in a Rochester, New York Walmart parking lot by members of the Joint Terrorism Task Force after meeting an informant to pick up guns he purchased.
[01:05:52.637 --> 01:06:01.381]  Thanks to today's convictions, one of the first ISIL recruiters ever captured in this country stands convicted of terrorism-related charges.
[01:06:02.002 --> 01:06:05.536]  You can find more articles like this at InfoWars.com.
[01:06:05.777 --> 01:06:07.202]  Once again, I'm Joe Biggs.
[01:06:08.757 --> 01:06:09.317]  I want more candy!
[01:06:09.337 --> 01:06:10.418]  I will not repeat again!
[01:06:10.478 --> 01:06:12.059]  Lying, lying, lying!
[01:06:38.757 --> 01:06:39.517]  I think so.
[01:07:08.593 --> 01:07:15.457]  In the 15-year history of PrisonPlanet.TV, we have never offered six months free at Christmas.
[01:07:15.477 --> 01:07:18.198]  We've always offered five months free.
[01:07:18.378 --> 01:07:23.941]  But since I announced six free months a few days ago, we have seen record numbers of sign-ups.
[01:07:24.261 --> 01:07:27.403]  PrisonPlanet.TV began 15 years ago.
[01:07:27.663 --> 01:07:30.685]  It's grown into InfoWars, Nightly News, and so much more.
[01:07:30.985 --> 01:07:39.709]  All of my documentary films, scores of e-books, and other exclusive documentaries are available for streaming or download in HD at PrisonPlanet.tv.
[01:07:39.949 --> 01:07:50.673]  You don't just get six months free when you sign up from Christmas through New Year's, you also get to share that membership with up to 20 people simultaneously using your username.
[01:07:50.953 --> 01:07:58.357]  You can also sign up for a trial month and only pay $5.95, and then 20 of you and your friends and family can watch PrisonPlanet.TV.
[01:07:58.517 --> 01:08:00.598]  Get 20 memberships at half price.
[01:08:00.778 --> 01:08:02.599]  Be the Paul Revere in your community.
[01:08:02.699 --> 01:08:06.241]  That's six months free when you sign up for a year at PrisonPlanet.TV.
[01:08:12.113 --> 01:08:19.919]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[01:08:20.560 --> 01:08:30.728]  We're back on the Alex Jones Show.
[01:08:30.768 --> 01:08:41.036]  Now, Stefan Molyneux, who's been a guest on the Alex Jones Show before, put out a great video yesterday called The Truth About The Crusades, and this really resonated with me because
[01:08:41.747 --> 01:08:46.570]  I made a video myself about a week ago called, Islam is NOT a religion of peace.
[01:08:46.650 --> 01:08:48.591]  Yes, sorry for committing that thought crime.
[01:08:49.212 --> 01:08:59.338]  Basically pointing out that the regressive left, they respond to arguments about, you know, beheading gay people is bad, stoning rape victims to death is bad.
[01:09:00.243 --> 01:09:02.926]  Executing people who lead the religion of Islam is bad.
[01:09:03.327 --> 01:09:14.961]  They respond to those arguments, those very specific arguments, which are very specific policies being carried out by Islamic nations, by basically saying, oh, but what about the Crusades?
[01:09:15.862 --> 01:09:24.284]  What about intolerant passages in the Bible which nobody even pays attention to anymore, nobody has acted on for hundreds of hundreds of years?
[01:09:24.684 --> 01:09:26.224]  So what about the Crusades?
[01:09:26.264 --> 01:09:36.547]  Well, Stefan Molyneux put out this video basically pointing out and documenting the historical fact that the Crusades were a defensive war
[01:09:37.327 --> 01:09:37.848]  We're good to go.
[01:10:00.140 --> 01:10:01.441]  We can't have a history.
[01:10:01.721 --> 01:10:13.428]  As a European civilization, we can't have a history and, you know, blame our defaults, our defects, on the mere fact of the situation at the time, the historical context.
[01:10:14.229 --> 01:10:15.990]  It has to all be about white guilt.
[01:10:16.710 --> 01:10:21.953]  So it has to be about imperialism, you know, smallpox blankets, genocide.
[01:10:22.373 --> 01:10:32.458]  That's the historical narrative that's been forced down our throats as a European civilization because we're the only ones who are obsessed with being self-critical.
[01:10:33.078 --> 01:10:56.724]  When in fact, as this video documents, the slave trade, which of course is historically blamed on white people and no one else, despite the fact that every single other race, religion was involved in the slave trade throughout history, the Muslim slave trade was far longer and far more brutal than the white Christian slave trade.
[01:10:57.105 --> 01:11:01.706]  So this is an excerpt out of Stefan Molyneux's video, The Truth About the Crusades.
[01:11:01.746 --> 01:11:02.126]  Here it is.
[01:11:04.471 --> 01:11:13.819]  Now, of course, every time you hear about Europeans in sort of the mid-last millennia... SLAVERY!
[01:11:14.820 --> 01:11:18.343]  Domination, imperialism, slavery, you European bastards!
[01:11:19.710 --> 01:11:21.510]  Well, did you ever hear about Islamic slavery?
[01:11:21.590 --> 01:11:25.771]  You should have, because it was really quite a lot, very big and exceedingly brutal.
[01:11:25.791 --> 01:11:28.432]  And we've got a whole presentation on this channel called The Truth About Slavery.
[01:11:28.772 --> 01:11:29.992]  We go into this in more detail.
[01:11:30.012 --> 01:11:35.533]  But Islam dominated the slave trade between the 7th and 15th centuries.
[01:11:36.454 --> 01:11:40.454]  The Christians entered the market of human flesh much later, 1519 to 1815 is the period of Christian slave trading.
[01:11:44.761 --> 01:11:55.672]  The death toll from 14 centuries of the Muslim slave trade in Africa is estimated at over 112 million souls.
[01:11:56.313 --> 01:12:02.219]  Now the Muslim slave trade typically dealt in the sale of castrated male slaves called eunuchs.
[01:12:03.759 --> 01:12:12.841]  Unix, later to be renamed as an operating system, were created by completely amputating the scrotum and penis of eight to twelve-year-old African boys.
[01:12:13.221 --> 01:12:18.122]  As you can imagine, the survival rate of this savage mutilation was very, very low.
[01:12:19.603 --> 01:12:30.385]  And Africans, of course, in Africa, constantly complaining about Western imperialism, European imperialism, even though life expectancy more than doubled when Europeans took over South Africa,
[01:12:31.621 --> 01:12:39.925]  Do you see a lot of people from Africa going to the Islamic countries complaining about the much longer and much more brutal Islamic slave trade?
[01:12:40.005 --> 01:12:40.325]  No!
[01:12:40.685 --> 01:12:43.087]  Because Muslims are not self-critical.
[01:12:44.167 --> 01:12:55.173]  Europeans have gone from self-criticism to pathological civilization and soul-destroying self-hatred, but not a lot of people going out to Saudi Arabia saying, hey man, you owe us reparations for slavery.
[01:12:55.813 --> 01:12:57.694]  Because they'd be like, hey, you'd be a good slave.
[01:12:59.016 --> 01:13:02.337]  That's Stefan Molyneux with his latest video, The Truth About The Crusades.
[01:13:02.357 --> 01:13:14.621]  He's talking about the fact that the Muslim slave trade in that period of history was far lengthier and far more brutal than the white Christian slave trade in terms of targeting Africans.
[01:13:14.701 --> 01:13:18.302]  And by the way, Paul, of course I'm going to be joining you, Alex Jones, here co-hosting today.
[01:13:18.402 --> 01:13:27.225]  I've got a working vacation today here at the office, getting a lot of administrative things done and also preparing for more TV stations to be picking this up next year.
[01:13:27.285 --> 01:13:29.206]  A lot of AM and FM stations joining us as well.
[01:13:29.586 --> 01:13:36.128]  So I've been doing affiliate relations and cutting hundreds of bumpers for different stations around the country that have been rightfully demanding them because I've been so busy.
[01:13:36.148 --> 01:13:38.029]  I want to apologize for my
[01:13:38.829 --> 01:13:42.491]  Lack of action on so many of my duties here, but we are overwhelmed in a war.
[01:13:42.551 --> 01:13:43.352]  Folks understand that.
[01:13:44.152 --> 01:13:46.233]  But Paul Watson hosting most of the show today.
[01:13:46.594 --> 01:13:49.915]  The big frustration for me is, Islam's been very, very diverse.
[01:13:50.776 --> 01:13:54.598]  It's had some golden times in its history where it did promote civilization.
[01:13:55.198 --> 01:13:55.939]  But you're right.
[01:13:55.999 --> 01:14:04.384]  In the West, in the last really hundred years, the Fabian Socialists have killed the amazing history of the West and superimposed over it the lie that the West
[01:14:04.964 --> 01:14:07.886]  Invented nothing, did nothing, and basically created slavery.
[01:14:08.306 --> 01:14:11.288]  Slavery has been an ancient human institution.
[01:14:11.328 --> 01:14:11.788]  It's wrong.
[01:14:11.828 --> 01:14:12.288]  It's bad.
[01:14:12.308 --> 01:14:17.411]  There's varying forms of it, but it was well known in all history books, including Islamic history books.
[01:14:18.171 --> 01:14:24.675]  And it said, raisin heads, or black people, are not humans, and so you can do whatever you want with them.
[01:14:24.695 --> 01:14:27.637]  That's a horrible racist statement, but anybody can just Google that and pull it up.
[01:14:28.650 --> 01:14:36.134]  And that's why most of the slavery was black people, but also the Muslims ran white slavery, which was sex slavery of any woman they could get, basically.
[01:14:36.174 --> 01:14:37.815]  Those were higher dollar.
[01:14:37.875 --> 01:14:43.898]  We see ISIS following the old family tradition, you know, that 18 great-grandpa's back were engaged in.
[01:14:44.918 --> 01:14:55.963]  And it's a frustration that for 400 years the Islamists were attacking Europe, took over part of Poland, took over Spain, went right into Germany, and finally they said, look, we've got to stop this.
[01:14:56.163 --> 01:14:59.725]  England and France, basically the Vikings said, wait a minute,
[01:15:00.185 --> 01:15:01.166]  They're gonna try to beat us.
[01:15:01.186 --> 01:15:01.826]  We just took over.
[01:15:02.086 --> 01:15:06.450]  The Vikings created mass armies that they already conquered Europe and said, you want to fight?
[01:15:06.490 --> 01:15:07.110]  You got one.
[01:15:07.530 --> 01:15:08.751]  And then they got their butts kicked.
[01:15:09.051 --> 01:15:12.414]  And so the whining, puning, is all the crisis.
[01:15:12.434 --> 01:15:15.536]  You know, they have all these Hollywood movies made about it.
[01:15:15.596 --> 01:15:19.119]  It's all pure, 100% unadulterated garbage.
[01:15:19.459 --> 01:15:21.921]  But after all, the general public doesn't know the three branches of government.
[01:15:22.657 --> 01:15:25.718]  So you can tell them that the Crusades were an offensive evil.
[01:15:26.418 --> 01:15:39.621]  No, the truth is, is that the Crusades were a bold operation to take back Serbia, to take back Greece, to take back the Holy Land, to take back Israel, to take back Poland, to take back Romania, to take back Hungary, to take back Transylvania.
[01:15:39.861 --> 01:15:41.081]  The list goes on and on.
[01:15:41.181 --> 01:15:42.802]  Russia had its huge battles.
[01:15:43.442 --> 01:15:43.823]  Okay?
[01:15:44.303 --> 01:15:47.526]  Not just with the Islamic invasion, but the Huns and the Mongols.
[01:15:47.586 --> 01:15:49.228]  I mean, this has been going on forever.
[01:15:49.408 --> 01:15:51.550]  The Huns and the Mongols wouldn't even keep the women.
[01:15:51.710 --> 01:15:52.932]  They'd just kill everybody!
[01:15:52.952 --> 01:15:54.733]  But they're brown-skinned, so it's liberal.
[01:15:54.954 --> 01:15:55.955]  It's liberal!
[01:15:56.195 --> 01:15:57.176]  It's liberal!
[01:15:57.416 --> 01:15:58.477]  This is the mindlessness.
[01:15:58.537 --> 01:16:06.765]  And then, starting in the 50s and 60s, every great boxer, basketball player, baseball player, almost everyone, Kareem Abdul-Jabbar,
[01:16:07.882 --> 01:16:17.387]  Muhammad Ali, Cassius Clay, Muhammad Ali, because they were taught and told that Islam was anti-slavery and pro-black.
[01:16:17.967 --> 01:16:19.147]  And it's just not true.
[01:16:19.187 --> 01:16:21.068]  Now, I'm not bashing black Muslims.
[01:16:21.088 --> 01:16:22.089]  A lot of great people.
[01:16:22.289 --> 01:16:23.730]  There are lots of loving Muslims.
[01:16:24.030 --> 01:16:25.971]  Lots of good Muslim sub-sects and things.
[01:16:26.311 --> 01:16:32.774]  But the one out of Saudi Arabia that's running the show, that just took down Libya, that's trying to take down Syria, that's killing.
[01:16:33.314 --> 01:16:36.315]  You know, I mean, 98% of the Muslims getting killed are by other Muslims.
[01:16:36.355 --> 01:16:37.875]  This is a scourge on Muslims.
[01:16:38.315 --> 01:16:40.816]  And I want to see a reformed reformation for Islam.
[01:16:41.256 --> 01:16:42.317]  I don't hate these people.
[01:16:42.737 --> 01:16:45.037]  And a lot of their culture is good.
[01:16:45.057 --> 01:16:46.658]  And I'm not just saying that to be politically correct.
[01:16:46.718 --> 01:16:47.198]  It's true.
[01:16:47.698 --> 01:16:53.220]  But the variety being promoted by the CIA through Saudi Arabia is a culture-killing evil.
[01:16:53.920 --> 01:16:55.760]  And so, I have no white guilt.
[01:16:55.900 --> 01:16:56.681]  I've done nothing.
[01:16:56.961 --> 01:17:01.682]  Most white people in this country came from European countries that never had slavery, or where you were serfs.
