[00:00.000 --> 00:01.720]  This is InfoWars, right?
[44:01.400 --> 44:02.400]  I think that that's...
[44:02.400 --> 44:03.400]  Well, that's where I want to go,
[44:03.400 --> 44:04.400]  because you've got millions,
[44:04.400 --> 44:07.400]  hundreds of millions of Chinese locked down right now
[44:07.400 --> 44:08.400]  by...
[44:08.400 --> 44:09.400]  Chinese are great people,
[44:09.400 --> 44:10.400]  but their government in that country
[44:10.400 --> 44:13.400]  is the most racist, homogenistic,
[44:13.400 --> 44:17.400]  or homogeneous, actually, group there is.
[44:17.400 --> 44:18.400]  And all I'm saying is,
[44:18.400 --> 44:20.400]  I really care about those Chinese people under lockdown
[44:20.400 --> 44:22.400]  because they want to use that as a model against us.
[44:22.400 --> 44:25.400]  I'm just kind of not...
[44:25.400 --> 44:28.400]  I'm not on the whole Jew thing.
[44:28.400 --> 44:29.400]  It's what I'm saying.
[44:29.400 --> 44:30.400]  I don't care if people talk about it.
[44:30.400 --> 44:31.400]  I believe in free speech.
[44:31.400 --> 44:33.400]  I'm just really worried about the forced injections,
[44:33.400 --> 44:36.400]  world government, 5G, the open borders,
[44:36.400 --> 44:38.400]  the collapsing currencies, war with Russia.
[44:38.400 --> 44:40.400]  What do you think?
[44:40.400 --> 44:42.400]  I don't have all of that information.
[44:42.400 --> 44:44.400]  I have the information that two days ago,
[44:44.400 --> 44:46.400]  I thought I was going to be put in prison
[44:46.400 --> 44:48.400]  because my accounts are frozen.
[44:48.400 --> 44:49.400]  No, I get it.
[44:49.400 --> 44:50.400]  You're in Hollywood,
[44:50.400 --> 44:52.400]  and the managers you see are...
[44:52.400 --> 44:53.400]  So I get it from your perspective.
[44:53.400 --> 44:54.400]  I get what you're saying.
[44:54.400 --> 44:56.400]  Yeah, and I love Jesus,
[44:56.400 --> 45:00.400]  and I have to fight this war
[45:00.400 --> 45:03.400]  to make a better place for my children
[45:03.400 --> 45:05.400]  and for everyone else's children.
[45:05.400 --> 45:07.400]  I got to put myself, my accounts,
[45:07.400 --> 45:10.400]  my name at risk to stand in the front of this war
[45:10.400 --> 45:11.400]  that we have.
[45:11.400 --> 45:13.400]  This is InfaWars, right?
[45:13.400 --> 45:16.400]  So we're going to give this information on InfaWars.
[45:16.400 --> 45:18.400]  By the way, I asked the crew very lovingly.
[45:18.400 --> 45:19.400]  I love the crew,
[45:19.400 --> 45:22.400]  but you guys gave me the tweet I sent you this morning
[45:22.400 --> 45:26.400]  of the abortion mill,
[45:26.400 --> 45:28.400]  New World Order depopulation,
[45:28.400 --> 45:30.400]  Kill the Black People Organization, Planned Parenthood,
[45:30.400 --> 45:32.400]  where they said it's white people's job
[45:32.400 --> 45:34.400]  to give money so we can kill black people.
[45:34.400 --> 45:35.400]  It actually says that,
[45:35.400 --> 45:37.400]  and Yay didn't want me to have it on the desk
[45:37.400 --> 45:39.400]  because he wanted to be able to have it all look clean and stuff,
[45:39.400 --> 45:41.400]  and I get that, so I'm happy for Yay,
[45:41.400 --> 45:43.400]  but will you guys give me that damn tweet?
[45:43.400 --> 45:45.400]  Because I love you to death,
[45:45.400 --> 45:46.400]  but I'm going to ask you for an hour.
[45:46.400 --> 45:47.400]  I need that damn tweet.
[45:47.400 --> 45:50.400]  I want to show people this because it is such,
[45:50.400 --> 45:53.400]  it is such mind control
[45:53.400 --> 45:55.400]  to say white people,
[45:55.400 --> 45:57.400]  you've got white guilt to actually say,
[45:57.400 --> 45:59.400]  you're bad because you're white,
[45:59.400 --> 46:00.400]  help us kill black people.
[46:00.400 --> 46:03.400]  What type of freakish, crazy world is that?
[46:03.400 --> 46:04.400]  Yay?
[46:04.400 --> 46:05.400]  Zionist.
[46:05.400 --> 46:09.400]  Is that too wide of an idea?
[46:09.400 --> 46:12.400]  Do I have to just go specifically to who does that?
[46:12.400 --> 46:14.400]  But it's the devil.
[46:14.400 --> 46:15.400]  It's the devil.
[46:15.400 --> 46:16.400]  We all, like grandma used to say,
[46:16.400 --> 46:18.400]  we all need Jesus Christ.
[46:18.400 --> 46:21.400]  And where I'm at, this position where God is,
[46:21.400 --> 46:23.400]  He's using me as a vessel.
[46:23.400 --> 46:25.400]  Everyone always knew that I was special,
[46:25.400 --> 46:28.400]  but now I get to be a vessel, and I feel so,
[46:28.400 --> 46:30.400]  you know, can we, I'd like to go into a prayer.
[46:30.400 --> 46:32.400]  It's a prayer that my cousin wrote.
[46:32.400 --> 46:35.400]  Now this prayer is, it's pretty long,
[46:35.400 --> 46:38.400]  so please don't cut me off in the middle of this prayer.
[46:38.400 --> 46:39.400]  I'm not, go ahead.
[46:39.400 --> 46:42.400]  So what happened is, I was on a,
[46:42.400 --> 46:45.400]  we were doing a family prayer zoom on Sunday,
[46:45.400 --> 46:48.400]  and his name is Wayne, and he tells me,
[46:48.400 --> 46:51.400]  he says, Kanye, he's like, bro, my name's Jay.
[46:51.400 --> 46:54.400]  You say a prayer, and then I said my prayer,
[46:54.400 --> 46:56.400]  and I felt that it was very profound.
[46:56.400 --> 46:59.400]  I felt like it was Jay level bars where I said,
[46:59.400 --> 47:04.400]  let's remove this whole conversation of morality,
[47:04.400 --> 47:07.400]  and let's go, let's stick to the Bible and say,
[47:07.400 --> 47:10.400]  either Jesus said so, or Jesus said no.
[47:10.400 --> 47:12.400]  Hold on, I'm gonna wait till you drop this.
[47:12.400 --> 47:13.400]  Boom.
[47:13.400 --> 47:14.400]  I listened.
[47:14.400 --> 47:16.400]  All right, so, and I felt like that was profound.
[47:16.400 --> 47:19.400]  That's like a bar that made me top five
[47:19.400 --> 47:22.400]  streaming artists without an album this year.
[47:22.400 --> 47:24.400]  Either Jesus said so, or Jesus said no,
[47:24.400 --> 47:26.400]  because we want to bring in our creative direction
[47:26.400 --> 47:29.400]  and our opinion and our moral compass.
[47:29.400 --> 47:31.400]  Forget the words moral compass.
[47:31.400 --> 47:32.400]  Is it in the Bible?
[47:32.400 --> 47:34.400]  What did the red letters say?
[47:34.400 --> 47:35.400]  What did Jesus say about it?
[47:35.400 --> 47:38.400]  And then we make our decisions off of that.
[47:38.400 --> 47:41.400]  So I said this, and then I also was, I had an idea.
[47:41.400 --> 47:43.400]  Let's stop hoping.
[47:43.400 --> 47:44.400]  Let's pray.
[47:44.400 --> 47:45.400]  Let's talk directly to God.
[47:45.400 --> 47:46.400]  Let's stop hoping for stuff.
[47:46.400 --> 47:47.400]  I agree with that.
[47:47.400 --> 47:50.400]  He has hope in here, and then I took it out,
[47:50.400 --> 47:52.400]  and then I put it back in, and then he,
[47:52.400 --> 47:55.400]  and so I said this prayer, and my family members,
[47:55.400 --> 47:56.400]  they didn't say anything.
[47:56.400 --> 47:59.400]  And then he said his prayer, and all the whole family
[47:59.400 --> 48:02.400]  was like, oh, that's the best prayer I ever heard.
[48:02.400 --> 48:03.400]  And he's like, I know, I know.
[48:03.400 --> 48:05.400]  My prayers could be intimidating.
[48:05.400 --> 48:06.400]  I know, I know.
[48:06.400 --> 48:08.400]  They're like, did you write that down?
[48:08.400 --> 48:09.400]  That was the best prayer ever.
[48:09.400 --> 48:12.400]  And I was thinking like, bro, why you set me up?
[48:12.400 --> 48:14.400]  Why you set me up to say my prayer right before your prayer?
[48:14.400 --> 48:15.400]  But this is his prayer.
[48:15.400 --> 48:17.400]  I was like, send me that prayer, bro.
[48:17.400 --> 48:19.400]  That prayer was pretty good.
[48:19.400 --> 48:22.400]  It says, now, Nick is Catholic,
[48:22.400 --> 48:26.400]  so he doesn't like referring to Jesus as Yahweh God.
[48:26.400 --> 48:32.400]  But I am black, am I African, am I semi?
[48:32.400 --> 48:34.400]  Well, what is it?
[48:34.400 --> 48:36.400]  They call me anti-Semite.
[48:36.400 --> 48:37.400]  They said I'm a nigga in rap.
[48:37.400 --> 48:38.400]  They said I'm black.
[48:38.400 --> 48:39.400]  They told me, say it loud.
[48:39.400 --> 48:41.400]  I'm black and I'm proud.
[48:41.400 --> 48:43.400]  Okay, James Brown, you tell me who I am.
[48:43.400 --> 48:45.400]  But I know that I'm a child of God,
[48:45.400 --> 48:47.400]  and I know Jesus died for us.
[48:47.400 --> 48:50.400]  This is the daily prayer written by my cousin Wayne.
[48:50.400 --> 48:53.400]  Yahweh God, thank you for life, health and strength,
[48:53.400 --> 48:55.400]  faith, hope, and love.
[48:55.400 --> 48:58.400]  And another day to bless, protect your most holy name.
[48:58.400 --> 49:01.400]  I surrender all Yahweh God and acknowledge
[49:01.400 --> 49:04.400]  that all things are spiritual before they are physical.
[49:04.400 --> 49:07.400]  For this reason, we also declare and decree
[49:07.400 --> 49:10.400]  that you are the maker, master, ruler, creator,
[49:10.400 --> 49:12.400]  and guide of our spiritual lives.
[49:12.400 --> 49:15.400]  We also acknowledge our brother Jesus, Yahshua,
[49:15.400 --> 49:19.400]  and the blood he shed that gave us blood paved pathways
[49:19.400 --> 49:21.400]  back to the holy of the holies.
[49:21.400 --> 49:23.400]  As we humbly come before you,
[49:23.400 --> 49:26.400]  you're almighty throne of mercy and grace.
[49:26.400 --> 49:29.400]  We welcome your glory to the rest,
[49:29.400 --> 49:32.400]  to rest heavenly upon our shoulders.
[49:32.400 --> 49:35.400]  Bless our crown with supernatural wisdom
[49:35.400 --> 49:37.400]  and understanding Yahweh God
[49:37.400 --> 49:41.400]  so that we may walk in the true knowledge of who you are
[49:41.400 --> 49:43.400]  and who you created us to be.
[49:43.400 --> 49:45.400]  Quiet our spiritual minds, Yahweh God.
[49:45.400 --> 49:49.400]  God, slow us down and put us in proper alignment
[49:49.400 --> 49:52.400]  and divine timing with the will and purpose
[49:52.400 --> 49:54.400]  you have for our lives.
[49:54.400 --> 49:56.400]  Open our spiritual eyes, Yahweh God,
[49:56.400 --> 50:00.400]  so we may better see all of the divine things of the spirit.
[50:00.400 --> 50:03.400]  Open our spiritual ears, Yahweh God,
[50:03.400 --> 50:07.400]  so we may better hear all of the sacred things of the spirit.
[50:07.400 --> 50:10.400]  Guard our spiritual mouth, Yahweh God.
[50:10.400 --> 50:12.400]  Place a sensor over our divine tongues
[50:12.400 --> 50:16.400]  so we may only speak words that glorify and edify you.
[50:16.400 --> 50:18.400]  Soften our spiritual heart, Yahweh God,
[50:18.400 --> 50:21.400]  so we may walk into deeper communion,
[50:21.400 --> 50:24.400]  communication, commitment, intimacy, understanding,
[50:24.400 --> 50:28.400]  and a relationship with all of the divine things of the spirit.
[50:28.400 --> 50:33.400]  Yahweh God, we recognize that we do not battle
[50:33.400 --> 50:36.400]  against flesh and blood, but against spirits and powers,
[50:36.400 --> 50:39.400]  principalities and rulers of spiritual wickedness
[50:39.400 --> 50:40.400]  in heavenly places.
[50:40.400 --> 50:44.400]  It is for this reason that we put on the whole armor of God,
[50:44.400 --> 50:47.400]  Yahweh God, we put on the helmet of salvation
[50:47.400 --> 50:50.400]  and the breastplate of righteousness.
[50:50.400 --> 50:53.400]  We firmly attach the belt of truth around our ways
[50:53.400 --> 50:57.400]  and drench our feet with the preparation of the gospel of peace.
[50:57.400 --> 51:01.400]  We take our sword of life spirit, which is the word of life
[51:01.400 --> 51:05.400]  and the shield of faith with which we will quench
[51:05.400 --> 51:07.400]  all of the fiery darts of the enemy.
[51:07.400 --> 51:09.400]  Thank you for blessing us from the top of our head
[51:09.400 --> 51:12.400]  to the bottom of our feet and everywhere in between
[51:12.400 --> 51:16.400]  with the first, what we need, everything that we deserve,
[51:16.400 --> 51:19.400]  and then the best that you have for our lives,
[51:19.400 --> 51:21.400]  Yahweh God, in Jesus' name, amen.
[51:21.400 --> 51:23.400]  And perfect time to go to break.
[51:23.400 --> 51:26.400]  Hour number two, Uncensored with Yay.
[51:26.400 --> 51:30.400]  Nick Pointes, I'm your guest host here in St. Asylum World,
[51:30.400 --> 51:32.400]  because the whole world's crazy.
[51:32.400 --> 51:33.400]  All of us are nuts.
[51:33.400 --> 51:36.400]  This is Twilight Zone 2.0.
[51:36.400 --> 51:37.400]  We will be right back.
[51:37.400 --> 51:38.400]  Don't take me when you say that.
[51:38.400 --> 51:39.400]  No, I'm talking about all of us.
[51:39.400 --> 51:40.400]  The whole world's crazy.
[51:40.400 --> 51:41.400]  It is crazy.
[51:41.400 --> 51:43.400]  Everybody's crazy.
[51:43.400 --> 51:44.400]  I believe that.
[51:44.400 --> 51:47.400]  I'm saying the guest host here because these guys are hosting.
[51:47.400 --> 52:03.400]  We'll be right back with hour number two.
[52:03.400 --> 52:08.400]  December 2022 is here and we are proud and very excited to announce
[52:08.400 --> 52:12.400]  that free shipping is back at infowarstore.com.
[52:12.400 --> 52:16.400]  That's right, free shipping on all orders of $50 or more.
[52:16.400 --> 52:20.400]  But we've signed a new deal with a big national shipping company,
[52:20.400 --> 52:25.400]  and they're able to cut our regular shipping cost by up to 50%.
[52:25.400 --> 52:28.400]  So that means even on orders that are below $50,
[52:28.400 --> 52:31.400]  you're going to be paying way lower than you were previously.
[52:31.400 --> 52:33.400]  This is a game changer.
[52:33.400 --> 52:34.400]  We're so excited about it.
[52:34.400 --> 52:36.400]  Our listeners had really asked for free shipping again.
[52:36.400 --> 52:38.400]  We couldn't afford it before,
[52:38.400 --> 52:40.400]  but by moving to a bigger national distributor,
[52:40.400 --> 52:41.400]  we're able to do it.
[52:41.400 --> 52:44.400]  So now your orders will be shipped even faster.
[52:44.400 --> 52:47.400]  The same great customer service and more.
[52:47.400 --> 52:51.400]  So get huge discounts and free shipping on so many great items
[52:51.400 --> 52:53.400]  at infowarstore.com right now.
[52:53.400 --> 52:55.400]  I want to thank you all for your support,
[52:55.400 --> 52:57.400]  but now there's no excuse to boost your immune system,
[52:57.400 --> 53:00.400]  lead a healthier life, and keep invoices on the air.
[53:00.400 --> 53:03.400]  infowarstore.com.
[53:03.400 --> 53:07.400]  The young generation like Prime Minister Trudeau,
[53:07.400 --> 53:11.400]  half of this cabinet are actually young global leaders
[53:11.400 --> 53:15.400]  of the world in correct form, so that we penetrate the cabinets.
[53:15.400 --> 53:17.400]  Everything with the staff system leads to the pay slot.
[53:17.400 --> 53:19.400]  That's not appropriate.
[53:19.400 --> 53:28.400]  And that's all the way that the conversation was coming from.
[53:28.400 --> 53:31.400]  Canadians are watching very closely.
[53:31.400 --> 53:35.400]  Obviously everyone in China should be allowed to express themselves,
[53:35.400 --> 53:40.400]  should be allowed to share their perspectives.
[53:40.400 --> 53:42.400]  And indeed protest.
[53:42.400 --> 53:45.400]  We're going to continue to ensure that China knows
[53:45.400 --> 53:47.400]  we'll stand up for human rights, we'll stand with people
[53:47.400 --> 53:49.400]  who are expressing themselves.
[53:49.400 --> 53:52.400]  We also need to make sure that China and places around the world
[53:52.400 --> 53:54.400]  are respecting journalists and their ability to do their job.
[53:54.400 --> 54:00.400]  There's a level of admiration I actually have for China.
[54:00.400 --> 54:06.400]  Because their basic dictatorship is allowing them
[54:06.400 --> 54:08.400]  to actually turn their economy around on a dime
[54:08.400 --> 54:10.400]  and say we need to go green as fastest,
[54:10.400 --> 54:12.400]  we need to start investing in solar.
[54:12.400 --> 54:16.400]  I mean, there is a flexibility that I know Stephen Harper must dream about
[54:16.400 --> 54:19.400]  of having a dictatorship that he could do everything he wanted.
[54:19.400 --> 54:21.400]  That I find quite interesting.
[54:21.400 --> 54:27.400]  Regardless of the fact that we are attacking your fundamental rights
[54:27.400 --> 54:30.400]  or limiting your fundamental rights,
[54:30.400 --> 54:33.400]  and the Charter says that was wrong,
[54:33.400 --> 54:35.400]  we're still going to go ahead and do with it.
[54:35.400 --> 54:41.400]  The small fringe minority of people who are on their way to Ottawa
[54:41.400 --> 54:47.400]  or who are holding unacceptable views that they're expressing
[54:47.400 --> 54:52.400]  do not represent the views of Canadians who have been there for each other
[54:52.400 --> 54:58.400]  who know that following the science and stepping up to protect each other
[54:58.400 --> 55:02.400]  is the best way to continue to ensure our freedoms,
[55:02.400 --> 55:04.400]  our rights, our values as a country.
[55:04.400 --> 55:10.400]  We are not intimidated by those who hurl insults and abuse
[55:10.400 --> 55:15.400]  at small business workers and steal food from the homeless.
[55:15.400 --> 55:20.400]  We won't give in to those who fly racist flags.
[55:20.400 --> 55:25.400]  We won't cave to those who engage in vandalism
[55:25.400 --> 55:28.400]  or dishonor the memory of our veterans.
[55:28.400 --> 55:32.400]  So to those responsible for this behavior, it needs to stop.
[55:32.400 --> 55:36.400]  The Emergencies Act will be used to strengthen and support
[55:36.400 --> 55:41.400]  law enforcement agencies at all levels across the country.
[55:41.400 --> 55:46.400]  As of today, a bank or other financial service provider
[55:46.400 --> 55:52.400]  will be able to immediately freeze or suspend an account
[55:52.400 --> 55:54.400]  without a court order.
[55:54.400 --> 55:57.400]  Justin Trudeau, I mean, I thought he was kind of a cool guy.
[55:57.400 --> 56:02.400]  And I started to read what he said, this is a couple of weeks ago,
[56:02.400 --> 56:04.400]  or maybe this is September,
[56:04.400 --> 56:07.400]  but he was talking about people who are not vaccinated.
[56:07.400 --> 56:09.400]  He said, they don't believe in science.
[56:09.400 --> 56:11.400]  They're often misogynistic, often racist.
[56:11.400 --> 56:12.400]  No, they're not.
[56:12.400 --> 56:14.400]  That was not part of him at all.
[56:14.400 --> 56:15.400]  Right.
[56:15.400 --> 56:17.400]  He said, but they take up space.
[56:17.400 --> 56:21.400]  And with that, we have to make a choice in terms of a leader as a country.
[56:21.400 --> 56:23.400]  Do we tolerate these people?
[56:23.400 --> 56:24.400]  It's like, tolerate them.
[56:24.400 --> 56:27.400]  Now you do sound like him.
[56:27.400 --> 56:30.400]  Well, the Bill of Rights is a stumbling block on the way
[56:30.400 --> 56:33.400]  to shutting down speech that the left doesn't like,
[56:33.400 --> 56:35.400]  at least in government.
[56:35.400 --> 56:38.400]  But there's a new avenue for those who would like to censor
[56:38.400 --> 56:41.400]  what you say and think, and that's corporations.
[56:41.400 --> 56:43.400]  The left have wised up to this.
[56:43.400 --> 56:46.400]  If you want to stop someone from telling the truth,
[56:46.400 --> 56:48.400]  use companies to do it.
[56:48.400 --> 56:50.400]  The social media giants, and they are.
[56:50.400 --> 56:53.400]  For many on the left, the view seems to have become
[56:53.400 --> 56:56.400]  that if you can't beat them, prevents them from speaking.
[56:56.400 --> 56:59.400]  So far, the most prominent casualty of the crusade against free expression
[56:59.400 --> 57:01.400]  has been the radio show host, Alex Jones.
[57:01.400 --> 57:04.400]  There is a concerted effort by the Democratic Party
[57:04.400 --> 57:06.400]  and multinational corporations in Big Tech
[57:06.400 --> 57:09.400]  to silence conservative and nationalist and populist voices.
[57:09.400 --> 57:13.400]  There's also guys on CNN that spend their whole day calling Facebook
[57:13.400 --> 57:15.400]  and saying, can you ban this person?
[57:15.400 --> 57:18.400]  He may be America's best known conspiracy theorist,
[57:18.400 --> 57:22.400]  but this week, Alex Jones' content will be a little harder to find.
[57:22.400 --> 57:26.400]  Shame on the mainstream corporate media for not defending the First Amendment,
[57:26.400 --> 57:29.400]  but instead attack dogging, calling for federal regulators
[57:29.400 --> 57:32.400]  to shut down independent, free press, working with Big Tech.
[57:32.400 --> 57:35.400]  People know what's true. They can smell it.
[57:35.400 --> 57:40.400]  Infowars, the most banned network in the world.
[57:40.400 --> 57:43.400]  In a free country, everyone can be heard.
[57:43.400 --> 57:55.400]  Interitalitarian societies only the powerful can be heard.
[57:55.400 --> 57:59.400]  The evil abuse of children that the world is waking up to today
[57:59.400 --> 58:02.400]  has been going on for many, many years.
[58:02.400 --> 58:07.400]  The Industrial Revolution was fueled by hundreds of thousands of children
[58:07.400 --> 58:11.400]  sold off of orphan trains at local fairs across the country,
[58:11.400 --> 58:17.400]  many of which were born within orphan asylums and referred to as foundlings.
[58:17.400 --> 58:23.400]  History shows us that not everyone sees an innocent child as someone to protect,
[58:23.400 --> 58:27.400]  and the Balenciaga scandal is exposing a hidden cult
[58:27.400 --> 58:31.400]  that celebrates the death and torture of children.
[58:31.400 --> 58:36.400]  The same photographer who placed the Supreme Court ruling on child porn
[58:36.400 --> 58:40.400]  in the Balenciaga ad that sparked this whole recent scandal
[58:40.400 --> 58:44.400]  also did a photo shoot for France's double magazine
[58:44.400 --> 58:50.400]  that featured a traumatized looking child having her passport photo taken for a trip
[58:50.400 --> 58:56.400]  to the same Disney cruise line that provides snorkeling trips off the coast of Epstein's Island,
[58:56.400 --> 58:59.400]  otherwise known as Little Saint James.
[58:59.400 --> 59:05.400]  Both photo shoots appear to have been styled by Russian stylist Lada Volkova,
[59:05.400 --> 59:11.400]  a highly celebrated stylist in the fashion industry who works for Vogue, Adidas, Chanel,
[59:11.400 --> 59:16.400]  and has been a top stylist for Balenciaga since 2014.
[59:16.400 --> 59:20.400]  She has deleted her Instagram account since the scandal hit,
[59:20.400 --> 59:25.400]  but archived images show a dark appreciation for child abuse,
[59:25.400 --> 59:31.400]  images of violent pedophilia, child torture, child disembowelment,
[59:31.400 --> 59:36.400]  Satanism, and cannibalism. Many of these images are appreciated
[59:36.400 --> 59:42.400]  by her rich and famous designer friends, Gosha Robchinsky and Mark Jacobs,
[59:42.400 --> 59:46.400]  both accused of peddling pedophilia in their own work.
[59:46.400 --> 59:53.400]  A recent video shows what appears to be fake babies sold in blood-spattered Balenciaga swag.
[59:53.400 --> 01:00:01.400]  It's in your bag. In a bag, like, stop for a minute. For a minute. Like, what do you do when she's in your bag?
[01:00:01.400 --> 01:00:06.400]  Yeah, can we do what's in the bag, please? Do you like how it is for you and you can take things out?
[01:00:06.400 --> 01:00:17.400]  Yeah. Look, there's like, like, when she starts to cry, like, then when she's gonna pee, I don't know.
[01:00:17.400 --> 01:00:23.400]  Then when she's boring, it's just boring.
[01:00:23.400 --> 01:00:27.400]  Yeah. Everything goes.
[01:00:27.400 --> 01:00:32.400]  Right as the Balenciaga scandal goes viral, Hollywood actress Nicole Kidman,
[01:00:32.400 --> 01:00:40.400]  who was recently glamorizing eating bugs, proudly releases her own Balenciaga ad on Instagram.
[01:00:40.400 --> 01:00:47.400]  From what we are learning about these people, it seems strange for us to put our faith in any single one of them.
[01:00:47.400 --> 01:00:54.400]  And by all appearances, this wasn't an accident. It seems to be another demoralizing sigh-up.
[01:00:54.400 --> 01:00:58.400]  The Balenciaga stuff just gets worse and worse. Check this out.
[01:00:58.400 --> 01:01:03.400]  The people that recruited all of the models for Balenciaga's runway show was a woman called Rachel Chandler,
[01:01:03.400 --> 01:01:12.400]  who has been on Jeffrey Epstein's Island. She's even posted a picture on Instagram of CCTV footage back in 2013, bragging about being on an island.
[01:01:12.400 --> 01:01:17.400]  This stuff's got me wondering if all high-end fashion brands are just fronts for human trafficking.
[01:01:17.400 --> 01:01:24.400]  So most of us know by now that Balenciaga got themselves canceled by having BDSM bears photographed with children.
[01:01:24.400 --> 01:01:32.400]  The same style bears were featured in one of their last runway shows, which was held in a mud pit, as if the brand weren't disgusting enough.
[01:01:32.400 --> 01:01:34.400]  But who opened for the show?
[01:01:38.400 --> 01:01:44.400]  Yeah, Kanye West was pretty close with Balenciaga before they got canceled for that last photo shoot.
[01:01:44.400 --> 01:01:48.400]  Kanye's been all over the place for years. Everybody knows that.
[01:01:48.400 --> 01:01:52.400]  I'm sure he's been through a lot, I feel for him, but let's keep our eyes open, yeah?
[01:01:52.400 --> 01:02:02.400]  It's a very small club, and yet the majority of us still seem to obsess over them, like royalty, which begs the question, do we have any power?
[01:02:02.400 --> 01:02:08.400]  And if we someday find that we do, what are we going to do about this evil?
[01:02:08.400 --> 01:02:23.400]  Reporting for Infowars, this is Greg Rees.
[01:02:23.400 --> 01:02:44.400]  It's almost like we got Yay here. The whole building is just crazy. Alex Jones here back live with Yay, Nick Fuentes riding shotgun,
[01:02:44.400 --> 01:02:48.400]  and we're going to get Laura Lumer on the line. He didn't want to wear earpiece. That's fine.
[01:02:48.400 --> 01:02:53.400]  We're going to call her on his phone like 10 minutes or so, so we'll get to you, Laura. But he wants to get her on, so that's great.
[01:02:53.400 --> 01:03:01.400]  We'll get her on. Yay. Let me bring up, since you guys want to get on this topic, the meeting with Trump, they're now using it against Trump.
[01:03:01.400 --> 01:03:14.400]  They're misrepresenting who Nick is, and I think that's fair to say, and they're lying about you, and they're trying to make it the new reason that DeSantis should be the 2024 frontrunner.
[01:03:14.400 --> 01:03:21.400]  And I like DeSantis in many ways, but I don't like who he's aligning with all these big donors and him playing along with this. It's very troubling.
[01:03:21.400 --> 01:03:24.400]  So tell us about the meeting and what really happened there.
[01:03:24.400 --> 01:03:26.400]  Nick, you have the minutes on it.
[01:03:26.400 --> 01:03:31.400]  That's right. So it's where to begin.
[01:03:31.400 --> 01:03:39.400]  Well, I want to set the record straight, first of all, because there was a big piece in NBC the other day written by Mark Caputo with a lot of lies about the dinner.
[01:03:39.400 --> 01:03:49.400]  And I don't know if people were misquoted or if bad quotes were given, but people are being led to believe that this was somehow a setup or an ambush to make the president look bad.
[01:03:49.400 --> 01:03:52.400]  That's not true. Yay loves Trump. I love Trump.
[01:03:52.400 --> 01:04:00.400]  We came to the dinner to have a discussion with him and have a discussion with him about the 2024 race. Yay had a proposition for him.
[01:04:00.400 --> 01:04:09.400]  And so a lot of it was really put together in the last minute. I didn't even really know until I was at Mar-a-Lago whether or not we would be at the dinner.
[01:04:09.400 --> 01:04:22.400]  It was something that Yay and I discussed on the flight there and on the car ride over. So I just want to get that cleared up straight away because I think Yay and I both believe that Trump is a great option.
[01:04:22.400 --> 01:04:25.400]  It really just comes down to Trump and Yay for the most.
[01:04:25.400 --> 01:04:29.400]  But them trying to premeditatedly claim it was some secret meeting and he knew he was meeting with you. That's not true.
[01:04:29.400 --> 01:04:38.400]  No. Yeah. And it was surprising because we had this conversation the day before we flew out. We were in LA on that Monday.
[01:04:38.400 --> 01:04:46.400]  And I was told it may not even be possible for you to get into Mar-a-Lago. They said because there's so many people that will intercept you.
[01:04:46.400 --> 01:04:53.400]  There's a guest list and you have to be on it and there's a security list and all these things. So I was told that I may not even be able to get through.
[01:04:53.400 --> 01:05:02.400]  Well we pulled up to the club. They checked out Yay. They checked out Karen's ID and information. We drove up. We walked in. We sat down in the lobby.
[01:05:02.400 --> 01:05:15.400]  The president came out of the dining room and that was that. He invited Yay to dinner. And I don't know if it was Yay or Trump but one of them said well we want to bring Jamar, Karen and Nick into the dining room.
[01:05:15.400 --> 01:05:25.400]  And so we came in. We sat down. Well we took some pictures. Yay sort of lit up the whole room. Everybody wanted to get a picture with him. We sat down at the table.
[01:05:25.400 --> 01:05:35.400]  And I want to say initially it was a very pleasant dinner. Trump gave kind of the standard black voter pitch. He talked about the HBCUs, the opportunity zones, things like that.
[01:05:35.400 --> 01:05:49.400]  And then it turned out that Yay had accidentally sent a text message to a lawyer that both Trump and Yay share and forwarded him some intel that Karen gave to us about how we were going to handle the Trump meeting
[01:05:49.400 --> 01:05:56.400]  and how to read his body language and the kinds of things that maybe we should avoid or things we might want to say.
[01:05:56.400 --> 01:06:07.400]  And so before the dinner, Yay accidentally forwarded that to a lawyer who then in the middle of the dinner apparently called Trump to say, hey, Karen Giorno's involved. This is a setup.
[01:06:07.400 --> 01:06:14.400]  You guys are being set up right now. It was really just based on a misunderstanding. And after that call he...
[01:06:14.400 --> 01:06:15.400]  Who's this lawyer?
[01:06:15.400 --> 01:06:17.400]  Do you mind if I say the name?
[01:06:17.400 --> 01:06:18.400]  Yes.
[01:06:18.400 --> 01:06:19.400]  Yes, you mind?
[01:06:19.400 --> 01:06:20.400]  No, I don't.
[01:06:20.400 --> 01:06:22.400]  Okay, it's Nick Gravante. So he was texting me.
[01:06:22.400 --> 01:06:25.400]  I don't mind. I don't mind any names. I think that's the general.
[01:06:25.400 --> 01:06:27.400]  Let him finish the entire story.
[01:06:27.400 --> 01:06:35.400]  So because we pulled up in the car and Yay said, here, I'll forward you these notes. So he forwarded it to me and I said, hey, I didn't get the text.
