[00:00:00.362 --> 00:00:06.709]  November 22nd, 2019.
[00:38:28.697 --> 00:38:33.802]  And the background is orange, you're going, but the background's orange.
[00:38:33.802 --> 00:38:36.464]  Well, if you tell me that background's orange, I'm going to call you an anti-Semite.
[00:38:56.374 --> 00:38:57.055]  That's really it.
[00:38:57.055 --> 00:38:58.456]  Fiona Hill commits massive perjury.
[00:38:58.456 --> 00:38:59.056]  Because it goes on.
[00:38:59.056 --> 00:39:01.318]  I haven't gotten to even a third of it yet.
[00:39:01.318 --> 00:39:03.660]  Lie after lie after lie after lie.
[00:39:03.660 --> 00:39:10.246]  And Roger Stone is convicted for saying, I've not been in contact with Julian Assange.
[00:39:10.246 --> 00:39:14.150]  And they're like, but you say you've been talking to Wikileaks.
[00:39:14.150 --> 00:39:17.092]  Well, yeah, I've tried to talk to him.
[00:39:17.092 --> 00:39:18.413]  Wikileaks is a big organization.
[00:39:18.413 --> 00:39:22.117]  See, he's going to prison probably.
[00:39:22.117 --> 00:39:23.338]  He has people calling for his death.
[00:39:24.551 --> 00:39:26.212]  I walked down the street with him years ago here in Austin.
[00:39:26.212 --> 00:39:29.513]  People say, you're going to be in effing prison soon, and you're going to get in there too, Jones.
[00:39:29.513 --> 00:39:35.896]  And when I go out to events, Democrats go, why aren't you in effing prison yet?
[00:39:35.896 --> 00:39:41.639]  Even though the Russian thing is totally disproven, they get to call me a Russian, and so now I deserve to be in prison, because I'm an evil Russian agent.
[00:39:41.639 --> 00:39:42.880]  Or they can call me a Nazi.
[00:39:42.880 --> 00:39:44.741]  And you know what we did to the Nazis, right?
[00:39:44.741 --> 00:39:46.622]  We dropped bombs on them.
[00:39:46.622 --> 00:39:49.743]  And that's the little middle game, so these people can act like crooks.
[00:39:49.743 --> 00:39:51.404]  And they get into the whole anti-Semite thing.
[00:39:53.439 --> 00:39:57.321]  If you criticize that weasel, Vitamin, well, you're anti-Semitic.
[00:39:57.321 --> 00:39:59.242]  I didn't even know Vitamin was a Jewish name.
[00:39:59.242 --> 00:40:07.146]  But they're the ones bringing out the anti-Semitism, making it all about Jews, and then hiding behind it.
[00:40:07.146 --> 00:40:09.387]  And then she works for the Ford Foundation.
[00:40:09.387 --> 00:40:13.870]  I mean, direct money from that goes to her, and that's the most famous American Nazi organization there is.
[00:40:13.870 --> 00:40:14.530]  It's incredible.
[00:40:14.530 --> 00:40:17.712]  We're going to go to break and come back with all of this, because it's about perjury.
[00:40:17.712 --> 00:40:18.632]  It's about lies.
[00:40:18.632 --> 00:40:19.853]  It's about hiding in plain view.
[00:40:21.206 --> 00:40:25.727]  And it's about what a joke this permanent bureaucracy is that thinks it owns you and your family.
[00:40:25.727 --> 00:40:30.428]  Now we've got some big, exciting sales because we're going to the heart of Black Friday right now.
[00:40:30.428 --> 00:40:38.010]  We have some really massive sales, unprecedented sales going in to Black Friday week.
[00:40:38.010 --> 00:40:43.752]  And this can only last through next week because a lot of the items have sold out.
[00:40:43.752 --> 00:40:45.232]  Others have come back in.
[00:40:45.232 --> 00:40:46.533]  Others are coming back in.
[00:40:46.533 --> 00:40:48.013]  Some won't be back in until next year.
[00:40:49.485 --> 00:40:52.588]  Black Friday sales are here, 50% off.
[00:40:52.588 --> 00:40:55.030]  Free shipping and triple Patriot points.
[00:40:55.030 --> 00:40:56.591]  Never before done.
[00:40:56.591 --> 00:40:58.933]  Triple Patriot points.
[00:40:58.933 --> 00:41:00.814]  Double Patriot points is 10% off.
[00:41:00.814 --> 00:41:02.415]  Regularly it's 5% off.
[00:41:02.415 --> 00:41:09.241]  This is 15% off all the other discounts and it goes right into your little account.
[00:41:09.241 --> 00:41:13.104]  Get the incredible sales now with free shipping and triple Patriot points.
[00:41:13.104 --> 00:41:14.685]  Triple Patriot points are equivalent to 50% off.
[00:41:16.616 --> 00:41:18.959]  Black Friday specials are here with unprecedented savings.
[00:41:18.959 --> 00:41:20.381]  Now listen to this.
[00:41:20.381 --> 00:41:23.405]  DNA Force Plus with 50% off.
[00:41:23.405 --> 00:41:25.808]  And by the way, it's selling so good, it's going to sell out by Christmas.
[00:41:25.808 --> 00:41:27.410]  But I'm doing something more.
[00:41:27.410 --> 00:41:28.272]  DNA Force Plus.
[00:41:30.253 --> 00:41:35.976]  50% off and get free bottle of Brain Force, our best-selling product total.
[00:41:35.976 --> 00:41:38.457]  We sell the most, I guess, toothpaste total, but that's not a supplement.
[00:41:38.457 --> 00:41:39.477]  Toothpaste is the biggest seller.
[00:41:39.477 --> 00:41:43.099]  Total number of units sold doesn't make a lot of money, but it's just an item to get you in.
[00:41:43.099 --> 00:41:43.639]  It's high quality.
[00:41:43.639 --> 00:41:45.320]  It'll introduce you to the products.
[00:41:45.320 --> 00:41:47.321]  Brain Force Plus is an amazing nootropic.
[00:41:47.321 --> 00:41:50.983]  You want good, clean, focused energy for the mind, stamina for the mind.
[00:41:50.983 --> 00:41:52.664]  It's amazing.
[00:41:52.664 --> 00:41:57.726]  Buy Survival Shield X2 and X3 for 50% off and get a free bottle of Brain Force.
[00:41:59.522 --> 00:42:02.604]  So DNA Force Plus, 50% off, get a free bottle of Brain Force.
[00:42:02.604 --> 00:42:07.168]  Survival Shield X2 and X3, you get 50% off and get a free bottle of Brain Force.
[00:42:07.168 --> 00:42:11.171]  Vitamin Mineral Fusion, back in stock, 50% off.
[00:42:11.171 --> 00:42:14.094]  Silver Bullet, we normally do this once a year.
[00:42:14.094 --> 00:42:18.117]  Colloidal Silver, $9.95, that's 67% off.
[00:42:18.117 --> 00:42:19.158]  We only make it like a dollar.
[00:42:20.231 --> 00:42:25.094]  So, Silver Bullet Colloidal Silver, 67% off, $9.95.
[00:42:25.094 --> 00:42:26.194]  Stock up on that.
[00:42:26.194 --> 00:42:29.956]  Vazzo Beats, back in stock, being sold out for a month, 50% off.
[00:42:29.956 --> 00:42:31.877]  Ultra 12, back in stock, 50% off.
[00:42:31.877 --> 00:42:36.299]  Krill Oil, back in stock, as a result, for months, 50% off.
[00:42:36.299 --> 00:42:37.260]  This is back in stock.
[00:42:37.260 --> 00:42:41.382]  Super Silver Skin Creams, back in stock, 25% off.
[00:42:41.382 --> 00:42:44.524]  Pollen Block, amazing, 50% off, back in stock.
[00:42:44.524 --> 00:42:47.325]  Super Silver Whitening Toothpaste, introductory, 25% off.
[00:42:47.325 --> 00:42:48.966]  Super Fimo Vitality, at cost,
[00:42:50.083 --> 00:42:53.509]  Winner's son backers top 50% off and it just goes on from there.
[00:42:53.509 --> 00:42:54.490]  Thank you all for your support.
[00:42:54.490 --> 00:42:56.313]  You're supporting yourself though and getting great products.
[00:42:56.313 --> 00:42:58.336]  So take action and do your Black Friday shopping with us.
[00:43:00.455 --> 00:43:06.319]  Beto O'Rourke came out dozens of times and said, we're going to confiscate all your semi-automatic rifles.
[00:43:06.319 --> 00:43:12.943]  And he got all the other Democrats on the stage, nine others, to agree and said that he was a hero!
[00:43:12.943 --> 00:43:14.084]  Think about that.
[00:43:14.084 --> 00:43:17.726]  Now, those Democrats have taken all the guns in the cities they control.
[00:43:17.726 --> 00:43:26.852]  Their blue cities are literal crap holes covered with needles and with massive drug dealing and incredible levels of violent crime.
[00:43:26.852 --> 00:43:28.553]  They know what they're doing.
[00:43:29.273 --> 00:43:37.254]  And now the Supreme Court's come out and ruled that gun manufacturers can be sued into oblivion for what criminals do using their firearms.
[00:43:37.254 --> 00:43:52.697]  My goodness, ladies and gentlemen, this country's under such incredible attack, but more and more towns and cities are saying they're sanctuaries for the Second Amendment, and they're going to follow the original Bill of Rights and Constitution, and they're not going to help in the confiscation of guns.
[00:43:52.697 --> 00:43:55.578]  So you see, a lot of these cities ignore illegal aliens.
[00:43:55.578 --> 00:43:57.678]  Well, we could ignore all your unconstitutional laws.
[00:44:01.298 --> 00:44:04.759]  A question was once posed to Thomas Jefferson.
[00:44:04.759 --> 00:44:12.601]  What is the level of tyranny that a tyrant will take humanity to?
[00:44:12.601 --> 00:44:13.541]  How far will they go?
[00:44:13.541 --> 00:44:14.601]  What's their limit?
[00:44:14.601 --> 00:44:21.423]  And he said it is the limit to which other men and women will submit.
[00:44:21.423 --> 00:44:24.804]  The answer is there is no limit to evil.
[00:44:24.804 --> 00:44:26.364]  It is a bottomless pit.
[00:44:27.734 --> 00:44:33.138]  We've been taught in modern culture and society that evil doesn't exist.
[00:44:33.138 --> 00:44:36.341]  Or that there's no free will, there's no devil or the god.
[00:44:36.341 --> 00:44:45.848]  But those very same people have all these rules for us about speech and how we can dress and where we can live and what our houses can be like.
[00:44:46.468 --> 00:44:50.709]  They just don't want us to have any values so they can run over us.
[00:44:50.709 --> 00:44:52.650]  Oxford's banned clapping.
[00:44:52.650 --> 00:44:53.670]  Universities in the U.S.
[00:44:53.670 --> 00:44:56.031]  have banned 21-gun salutes for veterans.
[00:44:56.031 --> 00:45:00.993]  These people are dangerous cult leaders and it's time to reject them.
[00:45:00.993 --> 00:45:05.574]  The globalists know that I will never willingly give up.
[00:45:05.574 --> 00:45:07.435]  I've said it many times, I will never give in.
[00:45:08.806 --> 00:45:12.148]  I will never give up, but I could give out.
[00:45:12.148 --> 00:45:26.095]  And it's very, very frustrating to see them committing all their crimes against humanity, to see evil running rampant like this, and to know that most Americans have already been silenced in cyberspace.
[00:45:26.095 --> 00:45:29.317]  That most Americans have already been shadow banned by big tech.
[00:45:30.253 --> 00:45:42.285]  And to know that most Americans feel powerless and don't realize how much power they have by spreading the word about NewsWars.com, InfoWars.com, and Ban.Video.
[00:45:42.285 --> 00:45:45.067]  And that people are hungry for the truth now more than ever.
[00:45:45.067 --> 00:45:52.475]  And that if you tell people, hey, the banned truth they don't want you to have is at InfoWars.com forward slash show and Ban.Video.
[00:45:53.015 --> 00:45:54.455]  So, take heart, folks.
[00:45:54.455 --> 00:46:01.297]  They've had to censor everybody and shut everybody down because the truth is powerful and they can't beat us fair and square.
[00:46:01.297 --> 00:46:11.120]  There's a famous quote by a Marine Corps general in the Korean War when three million chi-coms had flooded across the border and surrounded the Marines.
[00:46:12.290 --> 00:46:15.652]  More than 50 to 1, some estimates have it.
[00:46:15.652 --> 00:46:20.774]  But the point is, they were outnumbered, and the General was told, General, we're completely surrounded.
[00:46:20.774 --> 00:46:21.954]  He said, good.
[00:46:21.954 --> 00:46:25.116]  We can attack in all directions.
[00:46:25.116 --> 00:46:29.258]  Well, that's the point that InfoWars has reached.
[00:46:29.258 --> 00:46:30.338]  And it really is epic.
[00:46:30.338 --> 00:46:31.419]  It really is biblical.
[00:46:31.419 --> 00:46:34.260]  And we wouldn't have gone this far without all your support.
[00:46:35.438 --> 00:46:41.782]  But it's going to become more critical than ever as the censorship becomes complete.
[00:46:41.782 --> 00:46:54.408]  And it's not just Americans, but folks all over the world are completely silenced when it comes to speaking the name of a CIA fake whistleblower, or exposing a pedophile, or speaking out against dangerous vaccines.
[00:46:54.408 --> 00:46:58.671]  Because by InfoWars having its own platform, that checkmates the globalists.
[00:47:03.863 --> 00:47:11.327]  You're listening to the Alex Jones Show.
[00:47:11.327 --> 00:47:12.667]  We've got it.
[00:47:12.667 --> 00:47:18.490]  This transmission is coming to you.
[00:47:18.490 --> 00:47:22.872]  Waging war on corruption.
[00:47:22.872 --> 00:47:28.495]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:47:32.915 --> 00:47:36.277]  We are back live, broadcasting worldwide.
[00:47:36.277 --> 00:47:37.378]  I am your host, Alex Jones.
[00:47:37.378 --> 00:47:41.501]  If you're a TV viewer, I'd like to direct you to your screen.
[00:47:41.501 --> 00:47:44.504]  Radio listeners, everybody else, please go to InfoWars.com.
[00:47:44.504 --> 00:47:48.527]  A very important article, written by Paul Joseph Watson.
[00:47:48.527 --> 00:47:50.228]  There it is from NewsWars.
[00:47:50.228 --> 00:47:51.069]  Great place to share it.
[00:47:51.069 --> 00:47:51.809]  It's from NewsWars.
[00:47:51.809 --> 00:47:53.010]  That won't get censored as much.
[00:47:53.010 --> 00:47:54.532]  You can get it out there.
[00:47:54.532 --> 00:47:57.294]  Fiona Hill calls globalist description anti-Semitic.
[00:47:58.646 --> 00:48:14.957]  Despite writing for media outlet called The Globalist and being on the CFR, the preeminent globalist organization worldwide, and heading up the most powerful George Soros Directorate as major foundation on global governance and open society.
[00:48:14.957 --> 00:48:17.819]  You cannot make that up.
[00:48:17.819 --> 00:48:26.684]  That's like saying a Labrador Retriever that's a black Labrador Retriever is not a black Labrador Retriever.
[00:48:26.684 --> 00:48:27.445]  It's like saying
[00:48:30.441 --> 00:48:32.263]  That water isn't wet.
[00:48:32.263 --> 00:48:37.489]  I mean, it's just the most bonafide, in-your-face lies.
[00:48:37.489 --> 00:48:41.553]  And then we're all criminals, and we're all anti-Semitic, and all this craziness.
[00:48:41.553 --> 00:48:45.077]  No one's thinking about Jews when you talk about George Soros.
[00:48:45.077 --> 00:48:47.400]  Only thing he knows about Jews is killing them.
[00:48:47.400 --> 00:48:48.301]  Help round up Jews.
[00:48:48.301 --> 00:48:49.182]  I mean, it's ridiculous.
[00:48:51.457 --> 00:48:54.058]  Or that that little vitamin creature is Jewish.
[00:48:54.058 --> 00:48:54.899]  I didn't even think of that.
[00:48:54.899 --> 00:48:59.721]  I didn't even think like an archetypal, you know, anti-Semitic trope about Jews or something.
[00:48:59.721 --> 00:49:03.502]  Just looks like a child molester to me.
[00:49:03.502 --> 00:49:05.203]  I mean, I'm not saying he's a child molester.
[00:49:05.203 --> 00:49:06.524]  I'm saying he looks.
[00:49:06.524 --> 00:49:13.107]  If I was a Hollywood director and I was going to cast somebody, I'd cast him as a sniveling rat, mole-lying piece of crap.
[00:49:14.355 --> 00:49:25.542]  Like, you didn't pop into my head, but don't worry, they're gonna tell you every time you don't want corruption or globalism or New World Order or somebody trying to teach your kids, you know, how to be raped.
[00:49:25.542 --> 00:49:30.005]  That's in the news, CBS News, teaching kids how to be abused by pedophiles now, literally.
[00:49:30.005 --> 00:49:32.586]  Teaching them to let adults touch their genitals, that's mainstream news.
[00:49:32.586 --> 00:49:42.412]  I'm gonna show you video on CBS as they, CBS goes and tells elementary school students, kindergartners, how to play with their genitals.
[00:49:42.412 --> 00:49:43.793]  They're coming for everything.
[00:49:47.139 --> 00:49:49.179]  So, they want total power.
[00:49:49.179 --> 00:49:51.240]  They get their hands on your kids' genitals.
[00:49:51.240 --> 00:49:53.460]  You're going to vote with anything else.
[00:49:53.460 --> 00:49:54.601]  You want to put your hands on my kids?
[00:49:54.601 --> 00:49:55.821]  I'm going to fight you.
[00:49:55.821 --> 00:49:58.081]  You want to touch their genitals?
[00:49:58.081 --> 00:49:58.941]  I'm going to kill you.
[00:49:58.941 --> 00:50:02.082]  Let's see if they can teach you to just sit there and take it.
[00:50:02.082 --> 00:50:03.382]  It's sheep training.
[00:50:03.382 --> 00:50:07.723]  Now we're going to come in and we're going to touch your daughter's genitals, okay?
[00:50:07.723 --> 00:50:08.664]  We're not a doctor.
[00:50:08.664 --> 00:50:10.564]  We just want to touch them and teach them about sex.
[00:50:10.564 --> 00:50:11.544]  Okay, you're liberal.
[00:50:11.544 --> 00:50:12.904]  That's right, I'm liberal.
[00:50:12.904 --> 00:50:14.365]  Don't let me call you anti-Semitic.
[00:50:14.365 --> 00:50:15.585]  Oh yes, oh, don't call me that.
[00:50:16.502 --> 00:50:18.043]  What does that have to do with any of it?
[00:50:18.043 --> 00:50:19.684]  It doesn't.
[00:50:19.684 --> 00:50:20.784]  You know, we fought Hitler.
[00:50:20.784 --> 00:50:24.506]  Well, you're him if you don't bout us.
[00:50:24.506 --> 00:50:28.969]  Okay.
[00:50:28.969 --> 00:50:31.290]  So let's go to Greg Reese's report.
[00:50:31.290 --> 00:50:33.171]  Here it is.
[00:50:33.171 --> 00:50:41.235]  Dr. Hill, you stated in your deposition you've been accused of being a mole for George Soros in the White House, correct?
[00:50:41.235 --> 00:50:41.776]  That's correct.
[00:50:42.486 --> 00:50:59.822]  During their failing attempts to impeach the president for something, Democrat representative Raja Krishnamurti and Fiona Hill took an opportunity to claim that InfoWars and anyone else who criticizes George Soros is anti-Semitic.
[00:50:59.822 --> 00:51:05.948]  But first, they shared a strange moment of celebration for the conviction of Roger Stone.
[00:51:05.948 --> 00:51:07.410]  You said in your deposition,
[00:51:08.695 --> 00:51:20.103]  Specifically, a conspiracy was launched against you by convicted felon Roger Stone on the show Info Wars, led by Alex Jones, right?
[00:51:20.103 --> 00:51:24.586]  I don't think it was a convicted felon at the time that he launched this, so I didn't use those exact words.
[00:51:25.131 --> 00:51:31.278]  After their little joke, Fiona Hill brings up the time she was exposed on InfoWars in 2017.
[00:51:31.278 --> 00:51:36.645]  But it was indeed Roger Stone and Alex Jones on InfoWars in 2017.
[00:51:36.645 --> 00:51:40.429]  George Soros has penetrated the Trump White House.
[00:51:41.110 --> 00:51:47.433]  Soros has planted a mole infiltrating the national security apparatus.
[00:51:47.433 --> 00:51:59.399]  A woman named Fiona Hill, who has a Harvard background, has been on the Soros payroll and the payroll of the Open Society Institute.
[00:51:59.399 --> 00:52:08.684]  Fiona Hill served as an advisory board member for the Open Society's Institute, an organization created by investor George Soros.
[00:52:10.182 --> 00:52:18.853]  But rather than address her Soros affiliations, Hill called it a conspiracy theory and proudly defended the Soros name.
[00:52:18.853 --> 00:52:27.144]  Interestingly, you stated in your deposition that a similar conspiracy theory had actually been launched against Marie Yovanovitch.
[00:52:27.805 --> 00:52:28.946]  That's correct.
[00:52:28.946 --> 00:52:35.771]  And you said, specifically, when I saw this happening to Ambassador Yovanovitch, again, I was furious.
[00:52:35.771 --> 00:52:47.320]  Because this is, again, just this whipping up of what is frankly an anti-Semitic conspiracy theory about George Soros to basically target non-partisan career officials.
[00:52:47.320 --> 00:52:48.341]  Isn't that what you said?
[00:52:48.341 --> 00:52:49.162]  I did say that, yes.
[00:52:49.602 --> 00:53:01.506]  Democrat witness Alexander Vindman was asked if his attitude towards the Ukrainian government might have been influenced in some way by the fact that he was born in the Ukraine.
[00:53:01.506 --> 00:53:07.388]  Without any reasonable explanation, this was considered to be anti-Semitic and racist.
[00:53:08.004 --> 00:53:14.689]  And I'm sure you've been watching with concern what's happened to other non-partisan career officials.
[00:53:14.689 --> 00:53:27.817]  We had Lieutenant Colonel Alex Vindman, an American immigrant, questioned for his criticism of the president in a very unfair way.
[00:53:27.817 --> 00:53:30.359]  You know, basically questioning his loyalty to the country.
[00:53:30.359 --> 00:53:32.981]  I believe that he's also of Ukrainian Jewish descent.
[00:53:33.701 --> 00:53:53.904]  Would you say that these different theories, these conspiracy theories that have been targeting you, spun in part by folks like Mr. Stone, as well as fueled by Rudy Giuliani and others, basically have a tinge of anti-Semitism to them at least?
[00:53:54.898 --> 00:53:57.400]  Well, so do when they involve George Soros, they do.
[00:53:57.400 --> 00:54:00.282]  Well, so do when they involve George Soros, they do.
[00:54:00.282 --> 00:54:13.651]  She then went on to bring up The Protocols of the Elders of Zion, a book the Nazis used as propaganda against the Jews, and suggested that any criticism of George Soros is the same.
[00:54:14.351 --> 00:54:27.799]  I'd just like to point out that in the early 1900s, the Tsarist secret police produced something called the Protocols of the Elders of Zion, which actually you can still obtain on the Internet, and you can buy it actually sometimes in bookshops in Russia and elsewhere.
[00:54:27.799 --> 00:54:34.262]  This is the longest-running anti-Semitic trope that we have in history.
[00:54:34.262 --> 00:54:40.265]  And the trope against Mr. Soros, George Soros, was also created for political purposes.
[00:54:40.265 --> 00:54:42.987]  And this is the new Protocols of the Elders of Zion.
[00:54:43.684 --> 00:54:52.226]  My understanding is that you went out with this protector of yours, who swore that you were his adopted godson.
[00:54:52.226 --> 00:54:53.366]  Yes.
[00:54:53.366 --> 00:54:56.887]  Went out, in fact, and helped in the confiscation of property from the Jews.
[00:54:56.887 --> 00:54:57.747]  That's right.
[00:54:57.747 --> 00:55:01.688]  Was it difficult?
[00:55:01.688 --> 00:55:02.568]  Not at all.
[00:55:02.568 --> 00:55:03.428]  No problem at all.
[00:55:03.428 --> 00:55:04.708]  No feeling of guilt?
[00:55:04.708 --> 00:55:05.388]  No.
[00:55:05.388 --> 00:55:08.169]  It was actually probably the happiest year of my life.
[00:55:09.049 --> 00:55:11.270]  That year of German occupation.
[00:55:11.270 --> 00:55:13.431]  For me, it was a very positive experience.
[00:55:13.431 --> 00:55:21.034]  It's a very happy-making, exhilarating experience.
[00:55:21.034 --> 00:55:26.076]  He gets to say on NPR and 60 Minutes that it was really fun rounding up Jews.
[00:55:26.076 --> 00:55:29.137]  Best time of his life.
[00:55:29.137 --> 00:55:30.498]  When again, I almost don't exist.
[00:55:30.498 --> 00:55:33.159]  Both my grandfathers almost died in World War II.
[00:55:36.004 --> 00:55:39.305]  My grandfather's crew, when he didn't go up, there's two stories.
[00:55:39.305 --> 00:55:42.546]  Once he had burned retinas and couldn't go up.
[00:55:42.546 --> 00:55:44.547]  The other time they strafed their base in North Africa.
[00:55:44.547 --> 00:55:46.248]  It was early in the war and he was injured.
[00:55:46.248 --> 00:55:48.508]  And then the other captain went out and the plane blew up over Italy.
[00:55:48.508 --> 00:55:50.049]  We didn't know that until he died.
[00:55:50.049 --> 00:55:50.689]  We dug through stuff.
[00:55:50.689 --> 00:55:52.050]  He's like, well, I did some flying.
[00:55:52.050 --> 00:55:57.812]  Then I was a cook in the army after that, because you only flew your 21 missions or 22 missions.
[00:55:57.812 --> 00:55:59.912]  And he did the 22 and was done and went into Italy.
[00:55:59.912 --> 00:56:03.254]  Because at that time, early in the war, 55% of the planes
[00:56:05.720 --> 00:56:12.782]  Never came back in many of the missions, and on average, you had as good a chance of dying doing 22 missions as you did of surviving the 22 missions.
[00:56:12.782 --> 00:56:15.362]  I mean, it was just swarms of German planes at that point.
[00:56:15.362 --> 00:56:22.584]  I mean, you're talking hundreds of Messerschmitts flying at those Liberator planes, those B-17s, just hundreds, hundreds coming at you.
[00:56:22.584 --> 00:56:30.886]  It doesn't matter, though, because George Soros helped round up Jews, so I gotta go, oh, I love you, ADL, oh, I love you, I love you, Hollywood, oh, I love you, I love you.
[00:56:30.886 --> 00:56:32.346]  Thank you, George Soros.
[00:56:32.346 --> 00:56:34.987]  And your son is all over the internet at Aleister Crowley Rituals?
[00:56:36.903 --> 00:56:47.087]  Where they have the sacrifice people on tables behind them with daggers, and he's just smiling, going, F you, America!
[00:56:47.087 --> 00:56:51.749]  Oh, please don't call me anti-Semitic, you devil worshippers!
[00:56:51.749 --> 00:56:53.609]  Oh, I'm so scared of you!
[00:56:53.609 --> 00:56:57.891]  Finance your lawsuits, finance your attacks, do whatever you want, I don't care!
[00:56:57.891 --> 00:57:02.373]  You're going to hell, and everybody knows it!
[00:57:02.373 --> 00:57:03.413]  Unbelievable.
[00:57:05.017 --> 00:57:06.437]  And it's just, I haven't even played all of it.
[00:57:06.437 --> 00:57:20.740]  I mean, they just attack me, they attack Stone, they attack Impel Warners, they... They just say that we just made it all up, that she's a globalist, that she ever worked for Soros, when she was on the board of directors of his key core group!
[00:57:20.740 --> 00:57:26.001]  I mean, it's like saying, Emperor Palpatine doesn't work for the Empire in Star Wars.
[00:57:26.001 --> 00:57:27.781]  He is the Empire.
[00:57:27.781 --> 00:57:30.561]  I am the cynic.
[00:57:30.561 --> 00:57:33.642]  No, no, no, you will die!
[00:57:36.408 --> 00:57:43.716]  You will now experience the full power of this fully operational battle station.
[00:57:43.716 --> 00:57:46.239]  Fire at will, Commander!
[00:57:46.239 --> 00:57:50.284]  Hour number two straight ahead.
[00:57:50.284 --> 00:57:51.385]  I spend a lot of time...
[00:57:52.327 --> 00:57:58.632]  Reminding the InfoWars family of listeners and viewers that without you, we won't be on the air.
[00:57:58.632 --> 00:58:00.913]  And I spent a lot of time thanking you.
[00:58:00.913 --> 00:58:08.279]  But I really think you should thank yourself for keeping us on the air and really changing the world for the better and raising the alarm as modern Paul Revere's.
[00:58:08.279 --> 00:58:11.041]  But something I should spend more time on is just
[00:58:11.661 --> 00:58:15.764]  Reminding you that these products are really amazing.
[00:58:15.764 --> 00:58:18.947]  You've got that pledge from me, but you've seen the third-party tests out there.
[00:58:18.947 --> 00:58:24.592]  The air filtration, the water filtration, the supplements are all the very best you're going to find out there.
[00:58:24.592 --> 00:58:29.156]  And you can't fund an operation anywhere else that's fighting the globalists.
[00:58:30.129 --> 00:58:35.570]  I've made a lot of predictions that have come true, but I'm here to tell you most of those really weren't
[00:58:58.038 --> 00:59:01.042]  Predictions that came out of a crystal ball.
[00:59:01.042 --> 00:59:02.965]  I could see where the globalists were going.
[00:59:02.965 --> 00:59:07.592]  I could see what their in-game agenda was, what their goal was.
[00:59:07.592 --> 00:59:13.941]  And I knew that when they were setting us up to be deplatformed, that they were really setting the precedent to take everybody
[00:59:14.662 --> 00:59:25.612]  Off-air to silence everyone, to ban words and names and information on fake whistleblowers so that their false narratives couldn't be opposed.
[00:59:25.612 --> 00:59:30.177]  What the globalists really feared was independent media and platforms
[00:59:30.797 --> 00:59:31.558]  In the future.
[00:59:31.558 --> 00:59:43.065]  It was the model of InfoWars as much as the information that had to be silenced because they need total information dominance for their outrageous lies and the evil they're pushing to succeed.
[00:59:43.065 --> 00:59:53.332]  That's why keeping InfoWars on the air is now more imperative and more vital than ever.
[00:59:53.332 --> 00:59:55.973]  You're listening to the Alex Jones Show.
[01:00:01.360 --> 01:00:04.021]  Waging war on corruption.
[01:00:04.021 --> 01:00:12.785]  It's Alex Jones coming to you live from the front lines of the InfoWar.
[01:00:12.785 --> 01:00:22.870]  Alright, I'm gonna open the phones up and we have several guests in the third hour and I've got a ton of news we haven't even hit yet.
[01:00:22.870 --> 01:00:23.770]  So much of it.
[01:00:23.770 --> 01:00:24.650]  It's all coming up.
[01:00:24.650 --> 01:00:27.292]  CBS News is promoting pedophilia now.
[01:00:28.325 --> 01:00:30.046]  They themselves.
[01:00:30.046 --> 01:00:32.467]  We've just got so much to go over.
[01:00:32.467 --> 01:00:40.390]  And of course, you've seen them in the fake kangaroo impeachment hearings with Fiona Hill all scripted, saying she doesn't work with Soros, isn't a globalist.
[01:00:40.390 --> 01:00:43.251]  This is next level perjury, ladies and gentlemen.
[01:00:43.251 --> 01:00:50.715]  But I want us to remember that according to their perjury scale, this is an infinity and Rogers at a point zero.
[01:00:50.715 --> 01:00:52.996]  OK, so let's go to that report.
[01:00:52.996 --> 01:00:53.656]  Free Roger Stone.
[01:00:54.261 --> 01:00:58.382]  Did someone tell you to contact, in the Trump campaign, to contact WikiLeaks?
[01:00:58.382 --> 01:00:59.883]  No, I've addressed that before.
[01:00:59.883 --> 01:01:01.323]  That is incorrect.
[01:01:01.323 --> 01:01:08.206]  The question is, did you in any way work with the Russians to help President Trump?
[01:01:09.747 --> 01:01:12.871]  Categorically not, no.
[01:01:12.871 --> 01:01:13.952]  Absolutely not.
[01:01:13.952 --> 01:01:19.780]  And as you can see there on the verdict sheet, the jury was asked to consider seven felony counts against Mr. Stone.
[01:01:19.780 --> 01:01:25.788]  Their decision on those counts was guilty, guilty, guilty, guilty, guilty, guilty, guilty.
[01:01:26.329 --> 01:01:34.070]  And in some ways, this verdict, it's sort of tempting to see it as yet another Trump campaign figure going to prison.
[01:01:34.070 --> 01:01:40.012]  Or at least awaiting, at least another one of them awaiting sentencing after being convicted or pleading guilty of felony charges.
[01:01:40.012 --> 01:01:41.692]  I mean, there's a lot of them now, right?
[01:01:41.692 --> 01:01:52.174]  The judge, we've confirmed, has allowed Antifa operatives, that's who works for Soros, to have wireless mics in the courtroom transmitting out
[01:01:54.485 --> 01:01:59.652]  They allow protesters against Stone, but no one who's pro-Stone, on the grounds.
[01:01:59.652 --> 01:02:03.897]  They gave power to right-wing watch that owns a big inflatable rat.
[01:02:03.897 --> 01:02:06.380]  The courthouse plugged it in and has it right there at the entrance.
[01:02:06.380 --> 01:02:08.282]  There has never been a railroading like this.
