[00:00.000 --> 00:07.000]  Defending the Republic from enemies, foreign and domestic, it's Alex Jones.
[34:21.000 --> 34:30.000]  And then I, just two weeks ago, we've got the clip. I'm not going to play it. I'm going to play it tomorrow during the weekday show. Tim Kennedy, you know, headlines. Top Special Forces soldier.
[34:31.000 --> 34:36.000]  ISIS sleeper cells now in the US preparing to activate. That was the headline. I mean, he was in here this week talking about it.
[34:37.000 --> 34:45.000]  So, but everybody's talking about it. And then the attack happens and Obama comes out and says, this is a hate crime. And it's, oh, it's the thing.
[34:45.000 --> 34:54.000]  Well, yeah, Islam throws gays off cliffs. We were talking about that two weeks ago when he was here. They murder people and it's not compatible.
[34:55.000 --> 35:05.000]  So what is the government thinking? But then I have the information we just showed it from the Associated Press FBI agent says that this is just the beginning that there are other sleeper cells.
[35:05.000 --> 35:16.000]  Well, that's my sources. And of course, the Pentagon has been saying this as well. The CIA came out a few weeks ago and said that there are sleeper cells, but they're saying that there are major targets in different areas of the United States.
[35:17.000 --> 35:22.000]  Orlando was one. LA was one where they just caught some guy trying to do this. San Fran, New York, Boston and Miami.
[35:23.000 --> 35:30.000]  And so, Tim Kennedy obviously has been involved in a lot of high-level anti-terrorism operations. 15 years of Special Forces currently does some of that.
[35:30.000 --> 35:36.000]  But that's also super secret. It's also one of the hosts of the hit show, Hunting Hitler and the top UFC fighter as well.
[35:37.000 --> 35:41.000]  And one of the top snipers in the world and a fellow Austinite and good buddies of mine, a good friend, Shane Steiner.
[35:42.000 --> 35:44.000]  So here he is in the Info War. Glad to have you here with us, Tim. Thank you.
[35:45.000 --> 35:45.000]  Thanks for having me.
[35:46.000 --> 35:53.000]  I'm all wound up with this E-mom saying, you know, in Orlando, the gays deserve to die. People saying, you know, attacking Trump, saying this isn't Islamic.
[35:53.000 --> 36:01.000]  Tim, what do you make of all this and where this is all going? You heard me go over some of my sources. Is that accurate from what you've heard if you can speak about it?
[36:02.000 --> 36:07.000]  That's 100% accurate. You know, this is one of those, you know, we were talking about this like two weeks ago.
[36:08.000 --> 36:15.000]  This is one of those moments where I did not want to be right about this. You know, I didn't want to be right about killing of more Americans.
[36:15.000 --> 36:24.000]  Now, you know, a tragic part is that the LGBT group has kind of had been brushing elbows with Muslims saying, hey, we're both being persecuted.
[36:25.000 --> 36:35.000]  You know, like we can be pals about this. I promise there is no friendship from the Islam community towards the gays, lesbians, bisexuals, travesties.
[36:36.000 --> 36:38.000]  They don't care. They want them gone. They're going to throw them off roofs.
[36:38.000 --> 36:46.000]  It's in their book, Quran chapter seven verse 80 to 84. It says kill Muslims or to kill gays. That's what they want. That's what they do.
[36:47.000 --> 36:48.000]  You're having a Freudian slip there.
[36:49.000 --> 36:57.000]  The imams preach it. It's in their book and that community needs to wake up. LGBT wake up.
[36:58.000 --> 37:04.000]  We talked about that two weeks ago, the videos on info wars. I think the headline was Muslims throw gays off buildings.
[37:04.000 --> 37:10.000]  You've been over there. You've seen they're doing it all over. Why is there this leftist love of Islam?
[37:13.000 --> 37:18.000]  That awkward silence is because I have no idea. Besides, it's another opportunity to destroy our country.
[37:19.000 --> 37:30.000]  That's why, you know, if, if you're going to find a group that wants to destroy everything about America, that we, that we, you, Alex and I, and all the other patriots love, Islam hates.
[37:30.000 --> 37:37.000]  They don't, they don't like tolerance. They don't like for you to have freedom of religion, sexual preference. They don't want any of that.
[37:38.000 --> 37:44.000]  And the authoritarian left can't take over America because despite its problems as better than anything else, the engine of free market, they can't compete against it.
[37:45.000 --> 37:50.000]  They just want to blow it all up politically, bring in other allies because then they think they'll rule it.
[37:51.000 --> 37:52.000]  There one chance.
[37:52.000 --> 37:59.000]  What horrible despicable people. Don't they understand that radical Islam or mainline Islam wants to kill them?
[38:00.000 --> 38:05.000]  We can't, we cannot, we can't, we can't say radical Islam anymore. It's a disservice.
[38:06.000 --> 38:06.000]  It is Islam.
[38:07.000 --> 38:10.000]  It is. You know, like, I get it. You're going to call me a bigot. You're going to say I'm racist.
[38:11.000 --> 38:16.000]  At this point now, how many, how, how many attacks later? How many, how many has there been? 20, 30, 40, 50?
[38:17.000 --> 38:18.000]  And they can't cover them all up.
[38:18.000 --> 38:26.000]  They can't. You know, 50-some people died last night. San Bernardino, countless, Paris, countless, Cologne, Germany, countless, Berlin, Stonings.
[38:27.000 --> 38:29.000]  You know, we're not even talking Syria, Iraq.
[38:30.000 --> 38:32.000]  Not to mention all the radical Muslims running around or Muslims raping all the women.
[38:33.000 --> 38:37.000]  This man in Orlando, he comes from a moderate Muslim family.
[38:38.000 --> 38:39.000]  There's nothing radical about him.
[38:40.000 --> 38:42.000]  There wasn't. The FBI looked at him in 13 and 14.
[38:43.000 --> 38:45.000]  Yeah, let's put this guy on screen and play some of the gunshots in the background for TV viewers.
[38:45.000 --> 38:52.000]  We don't know what happened in 15. You know, maybe he was radicalized or whatever that could mean.
[38:53.000 --> 38:57.000]  No, it is the moderate Muslim community not keeping track of their own.
[38:58.000 --> 39:00.000]  I have worked with some of the most remarkable Muslims ever.
[39:01.000 --> 39:06.000]  Translators in Iraq, Afghanistan, Pakistan that have been truly courageous humans.
[39:07.000 --> 39:09.000]  And they fought because they knew what terrorism was and they knew the difference.
[39:10.000 --> 39:13.000]  Listen to every single Muslim that's listening to this.
[39:13.000 --> 39:19.000]  Your religion is going to die in the next 10 years if you guys don't start controlling these people.
[39:20.000 --> 39:24.000]  I believe in freedom of religion, as does Alex, as does every barrel-chested American.
[39:25.000 --> 39:30.000]  But your religion is going to die because you're letting it die because you're letting the extremists win.
[39:31.000 --> 39:32.000]  And that is what is happening.
[39:33.000 --> 39:34.000]  Well, I totally agree. Even though it's fair con, I went and interviewed him.
[39:35.000 --> 39:36.000]  He said, no, Islam needs a reformation. It's failed.
[39:37.000 --> 39:41.000]  And he admitted that he gets that he used to shoot his mouth off some about violence and things.
[39:41.000 --> 39:44.000]  Now he gets, this is going to create a conflagration.
[39:45.000 --> 39:46.000]  And I'm telling you, Islam isn't going to be left standing at the end of it.
[39:47.000 --> 39:48.000]  No.
[39:49.000 --> 39:51.000]  Violence spawns violence.
[39:52.000 --> 39:55.000]  And let's face it, nobody does it better than the West once we get going.
[39:56.000 --> 39:57.000]  It blows my mind.
[39:58.000 --> 40:03.000]  You're picking a fight with people that dropped, the only group of people that dropped nuclear bombs on somebody else.
[40:04.000 --> 40:05.000]  That was us.
[40:06.000 --> 40:07.000]  You come and attack us at Pearl Harbor.
[40:08.000 --> 40:09.000]  We're going to level your cities.
[40:09.000 --> 40:10.000]  We're going to climb cliffs.
[40:11.000 --> 40:12.000]  We're going to come on your beaches.
[40:13.000 --> 40:14.000]  We're going to halo from the sky.
[40:15.000 --> 40:16.000]  This is the greatest fighting force on the planet.
[40:17.000 --> 40:18.000]  And you're about to piss us off.
[40:20.000 --> 40:24.000]  And it's the American culture that came out of a thousand years of war on the continent, Europe and then here.
[40:25.000 --> 40:26.000]  They just don't get it.
[40:27.000 --> 40:28.000]  You're not going to beat us that way.
[40:30.000 --> 40:31.000]  You're going to piss us off.
[40:32.000 --> 40:37.000]  Now there is an element to the American spirit that we're going to take care of our week.
[40:37.000 --> 40:39.000]  That we're going to take care of those that can't take care of themselves.
[40:40.000 --> 40:41.000]  You know, it's in me.
[40:42.000 --> 40:43.000]  That's what justice is, right?
[40:44.000 --> 40:47.000]  But they play that off on us and then just say, well, now accept us and let us put hoods on women's heads.
[40:48.000 --> 40:53.000]  And you're going to have to, oh, you shot that video with us Friday for the news that was powerful about, you know, Ramadan means you have to give up your freedom.
[40:54.000 --> 40:56.000]  And you use just a few examples of, you know, waitresses serving alcohol.
[40:57.000 --> 41:00.000]  So, you know, a Muslim on Ramadan spikes her head day one into a table.
[41:01.000 --> 41:02.000]  And they said, oh, give us more examples.
[41:02.000 --> 41:08.000]  What do you mean? There's tens of thousands of examples where they want us to conform to them and it's wrong.
[41:09.000 --> 41:12.000]  You know, under Ramadan, okay, they're not supposed to have alcohol, right?
[41:13.000 --> 41:14.000]  They're not supposed to be eating meat.
[41:15.000 --> 41:16.000]  They're supposed to fast during the day.
[41:17.000 --> 41:18.000]  They're not supposed to partake in any sexual activity.
[41:19.000 --> 41:20.000]  They're not supposed to fight.
[41:21.000 --> 41:25.000]  Last night, we had what is a Muslim that went and killed 50-something people.
[41:26.000 --> 41:27.000]  Why do they tend to attack so much during Ramadan?
[41:28.000 --> 41:30.000]  Even though they're not supposed to fight?
[41:30.000 --> 41:31.000]  They're not supposed to fight?
[41:32.000 --> 41:35.000]  Because it's not considered fighting because they're killing what they're been told to kill.
[41:36.000 --> 41:36.000]  Infidels.
[41:37.000 --> 41:37.000]  Infidels.
[41:38.000 --> 41:39.000]  It's not against, it's not a sin.
[41:40.000 --> 41:40.000]  It's encouraged.
[41:41.000 --> 41:43.000]  It's actually like a pat on the back.
[41:44.000 --> 41:44.000]  Good job.
[41:45.000 --> 41:46.000]  Even though this is a time for reflection and peace, you just killed some men.
[41:47.000 --> 41:50.000]  I want to play a clip before we go to break and then come back and go through all the details of this and talk about more targets.
[41:51.000 --> 41:52.000]  But let's play this E-mom.
[41:53.000 --> 41:54.000]  This is Ian Orlando.
[41:55.000 --> 41:56.000]  This is up on infowars.com.
[41:56.000 --> 41:59.000]  Emondbroderport.com as well, Tim Kennedy is here with us.
[42:00.000 --> 42:00.000]  E-mon, speaking on Orlando, said gays must be killed out of compassion.
[42:02.000 --> 42:02.000]  Here's that clip.
[42:03.000 --> 42:04.000]  Death is the sentence.
[42:05.000 --> 42:06.000]  I mean, look.
[42:07.000 --> 42:08.000]  It's nothing to be embarrassed about this.
[42:10.000 --> 42:11.000]  Death is the sentence.
[42:12.000 --> 42:13.000]  Well, we have to have that compassion for people.
[42:17.000 --> 42:18.000]  Homosexuality is the same.
[42:20.000 --> 42:22.000]  Out of compassion, let's get rid of him now.
[42:23.000 --> 42:24.000]  Out of compassion, we killed him.
[42:24.000 --> 42:28.480]  kill him. He's so slimy too, so creepy. I don't want that guy anywhere near my daughters.
[42:28.480 --> 42:33.600]  I don't want that guy on the face of the planet. That's because you're a homophobe. You don't
[42:33.600 --> 42:37.680]  want him to kill the gays, so you're the bad one. See, that's why I don't get the left hates us
[42:38.240 --> 42:43.600]  because we don't want to kill them. I want to save them. This is your chance.
[42:44.320 --> 42:48.480]  If you're part of the LGBT community, rally together and realize this is going to be the
[42:48.480 --> 42:53.520]  fight for your life, not against conservatives, not against the GOP, against radical Islam.
[42:53.520 --> 42:57.760]  Absolutely right. Just come on, people. Come up for oxygen. We'll be right back.
[43:24.320 --> 43:28.800]  Patrick Henry warned us the liberties of a people never were nor ever will be secure
[43:28.800 --> 43:33.440]  when the transactions of their rulers may be concealed from them. Today, everything the
[43:33.440 --> 43:38.880]  government does at every level is concealed from us. We have trade deals to manage our economy
[43:38.880 --> 43:43.040]  that not even our elected representatives are allowed to see. Later in life, Patrick Henry
[43:43.040 --> 43:47.440]  looked back and said, when the American spirit was in its youth, the language of America was
[43:47.440 --> 43:53.760]  different. Liberty, sir, was the primary object. Today, our primary concern is safety and comfort,
[43:53.760 --> 44:17.520]  when we should be demanding liberty. Right now, we're dealing with massive parasites,
[44:17.520 --> 44:22.240]  which is anything that's harmful to your body that lives off a host mechanism. Right now,
[44:22.240 --> 44:28.240]  with all the refugees spreading disease around, we have biological warfare going on everywhere.
[44:28.240 --> 44:31.360]  These are all parasites. Tell us about all the stuff that said that there's so many things
[44:31.360 --> 44:35.600]  that are in it. You have the neem in there. You have the organic clove bud, the organic
[44:35.600 --> 44:40.480]  wormwood. I recommend doing a parasite cleanse at least twice a year. All right, well, I'm glad
[44:40.480 --> 44:43.920]  we've got some back in because I'm going back on it today. It just came back in yesterday,
[44:43.920 --> 44:48.160]  Living Defense, infowarslife.com. And folks, you can't lose full of stuff that's great for your
[44:48.160 --> 44:53.840]  body, period. And you support the broadcast, infowarslife.com. Thank you, Dr. Group from the
[44:53.840 --> 45:20.960]  Global Healing Center. Thank you so much for all your work, sir, on this great product.
[45:20.960 --> 45:26.800]  Visit infowarsteam.com today. Become a member. It discounts on the amazing products and free
[45:26.800 --> 45:31.200]  shipping when you sign up for auto-ship and you're able to promote the products to friends and family
[45:31.200 --> 45:35.680]  and neighbors in your community and make money while helping people at the same time. Another
[45:35.680 --> 45:41.280]  win-win. That's why I'm a member of the Ungevity team at infowarsteam.com and you can be too.
[45:41.280 --> 45:46.560]  It's simple. Just go to infowarsteam.com today. Complete a short sign up and you're part of the
[45:46.560 --> 45:52.320]  team. That's infowarsteam.com or infowarshealth.com. So many people call into my radio show and tell
[45:52.320 --> 45:57.520]  me how Ungevity and the products at infowarsteam.com have changed their lives. Check it out for yourself
[45:57.520 --> 46:06.960]  today. Buckley, tell us about Alexa Pure Breeze discounted over 25% off as an introductory promotion.
[46:06.960 --> 46:12.880]  It's the Alexa Pure Breeze. It's an energy-efficient HEPA ion cluster air purification system. It has
[46:12.880 --> 46:17.920]  a four-stage purification process. It has a HEPA filter, pre-filters, and a carbon-activated
[46:17.920 --> 46:23.200]  filters. And the most amazing thing about it is it has this patented ion cluster technology
[46:23.200 --> 46:28.720]  that kills airborne microbes with a final byproduct of clean water. So this is non-toxic.
[46:28.720 --> 46:32.640]  It's a beautiful unit. It really looks good. I mean, it will look beautiful in your house in a
[46:32.640 --> 46:38.720]  corner. The Alexa Pure Breeze, which operates as a fan. It's super quiet. The cheapest equivalent
[46:38.720 --> 46:44.960]  unit costs $259.95. And there are other units that are up to $899 to $1,000 to do exactly what this
[46:44.960 --> 46:50.960]  unit does. But they're not as quiet because this one has a silent mode, which runs at 16 decibels.
[46:50.960 --> 46:55.600]  Go and just look up online the toxicity of being inside all the time. Great job, Alexa Pure,
[46:55.600 --> 46:58.400]  infowarsstore.com. Buckley, thank you so much, my friend.
[46:58.400 --> 47:05.520]  You're listening to the Alex Jones show.
[47:05.520 --> 47:22.800]  We are on the march. The empire is on the run. Alex Jones and the GCN radio network.
[47:28.320 --> 47:31.920]  All right, I'm gonna try to slow down here and go over everything with Tim Kennedy. He's riding
[47:31.920 --> 47:36.560]  a shotgun with us a lot in the next hour, maybe longer. We're gonna have a rob do from Europe
[47:36.560 --> 47:40.000]  over there covering Bilderberg, the very group that opened the borders. He stabilized them at
[47:40.000 --> 47:44.960]  least brought in the Islamists. This is part of an admitted destabilization program. Tim Kennedy's
[47:44.960 --> 47:50.240]  been here three times last month. Warning of exactly this effect. Tomorrow we'll have more of the crew
[47:50.240 --> 47:54.720]  and actually go get those clips with all these predictions down coming true. So during that
[47:54.720 --> 47:59.520]  three minute break, we covered a lot of key stuff that should be on air. Let's start with the nature
[47:59.520 --> 48:07.760]  of the targets they hit. The frequency getting faster, the attacks being more intense. The FBI
[48:07.760 --> 48:12.400]  we know was ordered to San Bernardino to stand down to not go after these folks two years before.
[48:12.400 --> 48:16.080]  Same thing with this guy. So Tim Kennedy, I know you can't get into classified stuff,
[48:16.080 --> 48:19.840]  but you do anti-terrorism stuff, not just overseas, but obviously domestically. We'll just
[48:20.720 --> 48:26.160]  leave it at that. With your best expertise or probably is out there, let's walk through why
[48:26.160 --> 48:32.160]  they hit this target. What's coming next? First, we're looking at who they're going after.
[48:32.960 --> 48:36.480]  They're going after somebody that was fundamentally against their religion.
[48:37.040 --> 48:42.560]  That was the lesbian, gay, transvestite community. They're like, ah, we don't like them. We're looking
[48:42.560 --> 48:49.200]  for any way to kill somebody that doesn't align with us. Artheology. And groveling to them didn't
[48:49.200 --> 48:57.280]  mean anything. Even though the LGBT community has been supporting the Muslim call for the racism
[48:57.280 --> 49:01.280]  and the prejudice like, hey, we have a similar cause. It's not the case. They specifically
[49:01.280 --> 49:05.280]  targeted you and they're going to continue to do that just like they were in LA. So first was who
[49:05.280 --> 49:13.200]  they're going after. It was the LGBT. Second was the location. It's a soft target. They're cowards.
[49:13.200 --> 49:18.320]  They are complete, gutless, impotent worms. And they're never going to go after you.
[49:18.320 --> 49:23.200]  They're not going to go after me. We're here in Texas, right? We have our houses that have
[49:23.200 --> 49:27.600]  elements of security that we're not going to talk about. They're going to a place that
[49:27.600 --> 49:33.840]  no guns are allowed. They know that at a bar in the United States, business that primarily
[49:33.840 --> 49:38.320]  sells alcohol, you're not allowed to have a firearm. So it is a gun-free zone. That's what
[49:38.320 --> 49:43.440]  Pulse is. And he was a registered Democrat with a New York firearms license as a security guard.
[49:43.440 --> 49:48.720]  So he went through all the hoops. He followed the law perfectly. They want to pass more laws.
[49:48.720 --> 49:52.880]  They don't follow the law. He broke the law by going to a nightclub with a gun where there
[49:52.880 --> 50:00.240]  were no other guns to stop him. What stopped the guy with the gun? Dudes with guns. Outside
[50:00.240 --> 50:06.160]  Dallas and Garland. Keep going. And same here. The way that we stopped this shooter was we shot
[50:06.160 --> 50:10.800]  him. He was going to keep shooting people. It wouldn't have been 50. It wouldn't have been 100.
[50:10.800 --> 50:15.280]  It would have been 200 or 300 had he not had a bullet go through his body.
[50:15.280 --> 50:20.080]  This guy is such a demon. So continuing, getting into the, you heard me list those cities they
[50:20.080 --> 50:26.640]  say are the next targets. What's being deployed? So fortunately, they're not the smartest people.
[50:27.440 --> 50:32.240]  When they're recruited, ISIS is recruiting the weak, the unintelligent, the impoverished,
[50:33.200 --> 50:36.560]  the people that they can actually plant seeds in fertile soil that they can
[50:36.560 --> 50:42.640]  try to convert into radical Islam. And so the level of sophistication,
[50:43.440 --> 50:48.080]  so this guy had a bomb vest, couldn't even use it. He wished he could have,
[50:48.080 --> 50:51.200]  instead of it being 50, it would have been a few hundred when he finally ran out of bullets. But
[50:52.880 --> 50:56.480]  LA, they're trying to do the same thing. Just like they're going to try to do in San Francisco,
[50:56.480 --> 50:59.120]  just like they're going to try to do in New York, just like they're going to try to do in Boston,
[50:59.120 --> 51:02.320]  just like they're going to try to do in Miami. But it's a very decentralized,
[51:02.320 --> 51:09.040]  kind of indirect form of control. So what you do is you identify somebody that is
[51:10.400 --> 51:14.880]  radical enough, extreme enough to go kill somebody else. And once they identify that
[51:14.880 --> 51:19.200]  person, then they empower them. They try to connect them with an Imam that can give them the tools
[51:19.200 --> 51:22.080]  or the little bit of maybe like the push off the cliff.
[51:22.080 --> 51:23.040]  The spiritual backing.
[51:23.040 --> 51:25.440]  Yeah, what we'll call it spiritual backing, but really it's-
[51:25.440 --> 51:26.160]  The brainwashing.
[51:26.160 --> 51:35.440]  Yeah, the ideological infusion into their soul that will go and just kill helpless people,
[51:35.440 --> 51:38.720]  women, children, people dancing in a nightclub unarmed.
[51:40.400 --> 51:44.800]  So once that decentralized activation goes, then it's kind of like a
[51:46.480 --> 51:50.960]  bees or ants with their pheromones, right? It's not like I'm telling a cell in LA,
[51:50.960 --> 51:55.040]  go do this, go kill these guys. I'm saying, all right, here's an opportunity.
[51:55.040 --> 51:57.600]  As we had this conversation earlier, you talked about, I came in here and repeated it
[51:57.600 --> 52:00.960]  with folks here this is the second time, but that's a good allegory. It's like the bees
[52:00.960 --> 52:01.600]  with the pheromones.
[52:01.600 --> 52:06.240]  Yeah, it's perfect. You definitely hit the nail on the head. They're not coordinated enough
[52:06.240 --> 52:10.000]  to, they're connected, but not coordinated. They're not, can you do this at this time?
[52:10.000 --> 52:14.800]  Let's sync our watches. Here we go, three, two, one. It's not to that degree a sophistication
[52:14.800 --> 52:20.560]  like army special operations. They wish that they were, but you watch ISIS recruiting videos
[52:20.560 --> 52:21.440]  or they're special ops.
[52:21.440 --> 52:22.560]  Looks like clowns.
[52:22.560 --> 52:28.800]  Yeah. Clowns and black robes. Yeah. That have mental problems. That's really it is.
[52:28.800 --> 52:30.880]  That is the level of sophistication. I don't want to make jokes.
[52:30.880 --> 52:34.880]  So what do you expect to happen? I mean, from the Intel, we're getting the, they,
[52:34.880 --> 52:37.760]  they plan to hit at least four or five more cities.
[52:39.440 --> 52:42.560]  I was here right after Paris and I said, it's going to, it's, it's getting going.
[52:42.560 --> 52:47.920]  San Bernardino, same thing. I'm like, don't, don't stop. Don't slow down. It is two weeks ago.
[52:47.920 --> 52:52.000]  You said, we can pull the video up. You said they're activating the cells. Get ready.
[52:52.000 --> 52:55.360]  Why did you say that? Cause I mean, I guess you can't tell us, but the point is,
[52:55.360 --> 53:01.440]  is that just a hunch or no, it's not. I can't, I can't say, you know, where I'm getting or
[53:01.440 --> 53:05.920]  who's telling me or how I know, but I'm telling you, it's about to get worse.
[53:06.720 --> 53:10.240]  This is not the beginning. This, we are, we, you're the quiet professionals.
[53:12.240 --> 53:15.520]  It's not like they're knocking on the door. They're through the door. We already let them in.
[53:15.520 --> 53:17.040]  I say we, I didn't let them in.
[53:17.040 --> 53:19.760]  But good people in the government of tracking, and that's my point earlier.
[53:19.760 --> 53:23.280]  We know the FBI, federal marshals in, in this case, and San Bernardino
[53:23.280 --> 53:28.240]  and major Asan are all ordered to stand down. Why is Obama ordering him to stand down?
[53:28.240 --> 53:30.720]  He'd be a hero if you let him take them out. What's going on there?
[53:31.920 --> 53:35.840]  They're, so they're being tracked. We know this guy was being tracked in 2013, 2014.
[53:35.840 --> 53:38.480]  We don't know what happened in 2015. He kind of dropped off the radar.
[53:38.480 --> 53:41.520]  Same thing with the San Bernardino guys. Like they were being tracked and they said,
[53:42.160 --> 53:45.280]  maybe we'll just leave them alone. Cause we don't want to, you know,
[53:45.280 --> 53:50.240]  seem like we're being prejudiced, but they, the dogs are being called off.
[53:50.240 --> 53:53.680]  There are guys in the FBI, in the CIA, in local law enforcement
[53:54.400 --> 53:58.960]  that will go and hook and book these guys. Cause there's enough evidence to say they want to do
[53:58.960 --> 54:02.880]  bad. Are we a nation though that just because we think they're going to do something bad,
[54:03.600 --> 54:04.400]  we're going to stop them?
[54:04.400 --> 54:08.160]  Well, here's the problem. If you pledge allegiance to a foreign power, like ISIS,
[54:08.160 --> 54:12.400]  a foreign citizens own state and, and, and then he, they admit a year and a half ago,
[54:12.400 --> 54:14.800]  he pledged allegiance arresting right then. If you have the proof.
[54:14.800 --> 54:16.240]  He's a traitor. That's it.
[54:16.240 --> 54:21.440]  He says he's aligned with a foreign power and is intending to go out and, I mean, it's a done deal.
[54:22.160 --> 54:25.840]  In my, in my mind, absolutely. Not only a done deal in the sense that,
[54:27.280 --> 54:31.440]  he should have cuffs and be sitting in a jail, but as a soldier, he's an enemy.
[54:32.000 --> 54:33.440]  I'll, I'll bury that guy.
[54:33.440 --> 54:36.240]  That's the problem. His parents were from Afghanistan. He was a citizen.
[54:36.240 --> 54:40.000]  So overall, we know the danger, but if we have the proof, I mean,
[54:40.000 --> 54:42.160]  what jury isn't going to evict this guy of conspiracy?
[54:42.160 --> 54:45.120]  And he says, I pledge allegiance to ISIS. You just pledged allegiance to a group
[54:45.120 --> 54:47.360]  who says its code is to go and kill everybody.
[54:47.920 --> 54:52.160]  Then his dad says, man, you know, we were walking down the street and he saw him.
[54:52.160 --> 54:56.880]  He, you know, he saw these two guys kiss and I, and he got really mad about it.
[54:56.880 --> 54:58.960]  You know, and maybe that's what set him off. That was a couple of months ago.
[54:58.960 --> 54:59.920]  His dad's making excuses.
[54:59.920 --> 55:04.640]  Yeah, he is. Absolutely. He, he is his dad. Who's, who's a Muslim? You know,
[55:06.560 --> 55:11.600]  let this happen. His dad knew that his son had been radicalized.
[55:11.600 --> 55:14.640]  He knew that his son had pledged himself to ISIS.
[55:14.640 --> 55:18.000]  He knew that his son wanted to hurt gays.
[55:18.720 --> 55:20.640]  Well, let me ask you this then. And then he let it happen.
[55:21.360 --> 55:23.520]  Obviously the frequency is getting more intense.
[55:23.520 --> 55:25.280]  The amount of people getting killed is more intense.
[55:25.840 --> 55:26.880]  What's the metric here?
[55:26.880 --> 55:30.480]  Just your dead reckoning or, or, or, I mean, America needs this warning.
[55:30.480 --> 55:32.480]  What's the intel and how bad this is going to get?
[55:32.480 --> 55:35.040]  Because I'm no rocket scientist. We bring 5 million into Europe,
[55:35.040 --> 55:37.600]  hundreds of thousands in here that's suppressing the real number.
[55:37.600 --> 55:39.760]  Because we've gone and documented every school in Austin's got like
[55:39.760 --> 55:41.360]  a high school where I went.
[55:41.360 --> 55:45.360]  Anderson's 232 people from Syria just this year.
[55:45.360 --> 55:46.640]  Every other high school's hundreds.
[55:46.640 --> 55:48.240]  That's just the high schools we call the other schools.
[55:48.240 --> 55:50.160]  Yeah, we've got hundreds. They're freaking out.
[55:50.160 --> 55:54.000]  A school of 2,000 has hundreds of people from one country there saying,
[55:54.000 --> 55:55.280]  take care of them in Arabic.
[55:55.280 --> 55:57.680]  They're telling girls, don't wear short skirts. Everybody's freaking out.
[55:57.680 --> 55:59.600]  The number must be giant, Tim.
[55:59.600 --> 56:02.480]  And, and, and so I'm saying you have 10% are radical.
[56:02.480 --> 56:05.520]  And in the polls, 25% say they support suicide bombing.
[56:05.520 --> 56:07.360]  So let's say 25% are radical.
[56:07.360 --> 56:09.200]  Let's say 1% act on that.
[56:09.200 --> 56:11.520]  We're still talking about tens of thousands of combatants here.
[56:11.520 --> 56:11.920]  Yeah.
[56:11.920 --> 56:13.280]  So, so what's the metric?
[56:13.280 --> 56:14.800]  I said that same question two weeks ago.
[56:14.800 --> 56:18.960]  And I said, you know, in my mind, there's very few options.
[56:19.520 --> 56:22.480]  There's get them out, kill them, or convert them.
[56:23.120 --> 56:24.160]  Convert, I'm not saying like they,
[56:24.160 --> 56:25.360]  Yeah, we just convert them to freedom.
[56:25.360 --> 56:26.160]  What is their problem?
[56:26.160 --> 56:26.640]  That's what I'm saying.
[56:26.640 --> 56:27.760]  I'm not saying they have to be Christian.
[56:27.760 --> 56:32.480]  I'm saying they cannot be the, the, wherever that line is,
[56:32.480 --> 56:34.640]  what radical extreme Islam is.
[56:34.640 --> 56:37.760]  It has to be recognized by the Islam and Muslim community.
[56:37.760 --> 56:40.560]  And it has to be bastardized.
[56:40.560 --> 56:43.920]  It has to be, it has to be recognized to be a threat to their.
[56:43.920 --> 56:44.560]  I'll say this.
[56:44.560 --> 56:46.880]  I finally saw the National Islamic Council,
[56:46.880 --> 56:48.640]  whatever on TV, halfway apologizing,
[56:48.640 --> 56:50.000]  say this isn't Islam when this is.
[56:50.000 --> 56:53.360]  So, I mean, they better start really getting their stack together.
[56:54.240 --> 56:57.040]  And that half-ass apology is that does not do it.
[56:57.040 --> 56:58.240]  When you're saying it's not Islam,
[56:58.240 --> 57:02.240]  you now have to say this has taken over what Islam was.
[57:02.240 --> 57:05.360]  Islam might have been a beautiful religion.
[57:05.360 --> 57:06.400]  It is no longer that.
[57:06.400 --> 57:08.160]  Here, and I'll take you on further.
[57:08.160 --> 57:09.040]  I'm really angry.
[57:09.040 --> 57:11.360]  And I mean, physically angry at the left,
[57:11.360 --> 57:14.080]  saying my guns are to blame, veterans are to blame,
[57:14.080 --> 57:14.960]  gun cultures to blame.
[57:14.960 --> 57:16.240]  It's all over the news.
[57:16.240 --> 57:18.960]  Take my guns and then act like I did something
[57:18.960 --> 57:21.840]  so I could be killed by these radical jihadists you're bringing in.
[57:21.840 --> 57:24.880]  I mean, they just killed 50 plus of your people
[57:24.880 --> 57:26.320]  who I have nothing against.
[57:26.320 --> 57:27.440]  And then you're blaming me.
[57:28.480 --> 57:29.600]  I mean, this is wrong.
[57:29.600 --> 57:30.800]  This is out of control.
[57:30.800 --> 57:33.120]  Get your basic instincts for survival back.
[57:33.120 --> 57:35.360]  Second hour coming up, tons of news.
[57:35.360 --> 57:36.160]  Tim Kennedy with us.
[57:36.160 --> 57:39.600]  I'm Alex Jones, infowars.com, infowarsstore.com
[57:39.600 --> 57:41.280]  as the Hillary for prison shirts.
[57:41.280 --> 57:42.720]  That criminals part of Benghazi
[57:42.720 --> 57:44.400]  and back in this whole Islamic invasion.
[57:44.400 --> 57:47.040]  We'll talk about what's happening at the top in 70 seconds.
