[00:00:14.774 --> 00:00:21.777]  InfoWars, the most banned network in the world.
[01:04:23.675 --> 01:04:27.640]  Join Bandot Video, and I will complete your training.
[01:04:27.640 --> 01:04:31.524]  Together, we can overthrow the Emperor and restore the Republic.
[01:04:35.342 --> 01:04:36.483]  Well, that's flipping the script.
[01:04:36.483 --> 01:04:42.430]  All right, we're gonna go to break for one minute, join some stations, and then I'm gonna come back with the big news.
[01:04:42.430 --> 01:04:46.295]  Yes, wait till you hear what the head of the CDC just said.
[01:04:46.295 --> 01:04:51.441]  We'll be back on the other side again in T-minus 60 seconds.
[01:04:51.441 --> 01:04:52.863]  Please tell everybody you know, tune in now.
[01:04:52.863 --> 01:04:53.744]  That's part of the fight.
[01:04:58.343 --> 01:04:59.905]  I am taping this.
[01:04:59.905 --> 01:05:08.973]  Alex Jones here on the morning of Friday, October 22nd, 2021, with a very important update for supporters of InfoWars.
[01:05:08.973 --> 01:05:16.359]  Several of our best-selling products are back in stock, limited supplies, and are 40 to 50% off.
[01:05:16.359 --> 01:05:23.186]  Like DNA Force Plus, that is 40% off right now, and that sale is going to have to end on Monday.
[01:05:23.186 --> 01:05:24.487]  It helps your telomeres, it helps your
[01:05:25.347 --> 01:05:30.451]  Very sells engines, the mitochondria, it's got the PQQ, the CoQ10, it really is incredible.
[01:05:30.451 --> 01:05:31.832]  It's 40% off.
[01:05:31.832 --> 01:05:35.195]  Some of the best-selling products are 50% off as well.
[01:05:35.195 --> 01:05:45.042]  And we got a very limited supply, very limited run-in, because I told the manufacturer, whatever ingredients you can get, whenever you have enough to make some, even if it's a smaller run, do it.
[01:05:45.042 --> 01:05:49.905]  We got a very small run-in of the products that's been sold out, and that is RainForce Ultra.
[01:05:49.905 --> 01:05:52.027]  It's 25% off it at FortWorthStore.com.
[01:05:52.247 --> 01:05:55.528]  That's going to end up selling out by Monday as well at current sales rates.
[01:05:55.528 --> 01:06:08.530]  So get great products and support the M4 at m4store.com.
[01:06:08.530 --> 01:06:14.772]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[01:06:31.621 --> 01:06:36.922]  We are back into our number two, but not because the globalists helped us.
[01:06:36.922 --> 01:06:38.303]  They've been trying to take us off air.
[01:06:38.303 --> 01:06:50.986]  But thanks to you and thanks to all of our great affiliates, InfoWars in many ways is stronger than we've ever been, especially because, unfortunately, what we talked about is here, just exactly as we said it would be.
[01:06:50.986 --> 01:06:53.286]  And that's what's so frustrating and so sad about this.
[01:06:53.286 --> 01:06:57.667]  The general public thinks about things in little short mental packets.
[01:06:57.667 --> 01:07:00.268]  The attention span has been shrunk down so much.
[01:07:01.588 --> 01:07:06.293]  And so, you can have Fauci say, you don't need masks, masks don't protect you.
[01:07:06.293 --> 01:07:15.762]  I authored a study in 2008 saying masks actually give you bacteria and pneumonia and don't protect you from flu or cold viruses.
[01:07:15.762 --> 01:07:17.163]  Then he says, oh yes, wear a mask.
[01:07:17.163 --> 01:07:21.026]  And then he said, oh, you need to wear three masks or two masks or 15 masks.
[01:07:21.026 --> 01:07:24.169]  I went to the grocery store yesterday afternoon.
[01:07:25.307 --> 01:07:31.312]  And I still saw about a third of the people wearing the stupid mask, including those, because I talked to a few of them.
[01:07:31.312 --> 01:07:32.873]  I said, have you taken the experimental shot?
[01:07:32.873 --> 01:07:37.137]  A couple of them said, yeah, but I'm still wearing a mask.
[01:07:37.137 --> 01:07:40.920]  This is a cult programming system.
[01:07:40.920 --> 01:07:54.571]  And so at the start of the show, I played you the Australian leadership, the New Zealand leadership, Hillary Clinton, all of them, the UK leadership, all saying we need vaccine passports to buy and sell.
[01:07:55.879 --> 01:08:00.242]  And that even if you are vaccinated, you've still got to wear the mask.
[01:08:00.242 --> 01:08:06.447]  But don't worry, the CDC director, we played the clip, said you need to be sent for education and counseling.
[01:08:06.447 --> 01:08:15.574]  And the Pentagon, especially the Navy, is putting sailors that are saying no, well, they're putting them on a list of sex offenders.
[01:08:15.574 --> 01:08:16.554]  That's not a joke.
[01:08:16.554 --> 01:08:18.696]  So they're now creating a list of people.
[01:08:18.696 --> 01:08:20.898]  They're now doing this for a shot.
[01:08:20.898 --> 01:08:22.259]  It's still experimental.
[01:08:23.581 --> 01:08:38.818]  And on the FDA's own website, I showed you this last week, on Tuesday and Wednesday, it's not an approved vaccine, the Pfizer shot, when they tell you it's approved, until 2026, under another name.
[01:08:38.818 --> 01:08:41.501]  But they said, oh, it's now approved!
[01:08:41.501 --> 01:08:41.641]  In 2026.
[01:08:41.641 --> 01:08:42.122]  It's fine print.
[01:08:44.383 --> 01:08:47.844]  So all this is lawyer jargon, it's just incredible.
[01:08:47.844 --> 01:08:49.005]  Welcome to the Hunger Games!
[01:08:49.005 --> 01:08:57.028]  More Chicago officers summoned as City Council moles vax mandate reversal.
[01:08:57.028 --> 01:09:04.950]  And God bless the police in Austin, in Chicago, and in Miami, and in New York, and in Portland, and in LA, and just everywhere.
[01:09:04.950 --> 01:09:08.712]  In the blue cities, they're saying, this thing doesn't even protect you.
[01:09:10.083 --> 01:09:12.404]  It actually erases your immune system.
[01:09:12.404 --> 01:09:14.005]  All these countries are banning it.
[01:09:14.005 --> 01:09:17.907]  No one will take the Pfizer and Moderna outside of Western countries.
[01:09:17.907 --> 01:09:20.008]  And they're saying no.
[01:09:20.008 --> 01:09:22.509]  And if enough of them say no, the globalists fail.
[01:09:22.509 --> 01:09:28.172]  They just want some to say no, so they can then fire a good portion of them and bring in globalist scabs.
[01:09:29.437 --> 01:09:35.038]  But if enough do it, well, then it will end up totally removing the Democrats.
[01:09:35.038 --> 01:09:42.920]  A great example of that is California is working with the insiders to cause a chain reaction collapse for small retailers.
[01:09:42.920 --> 01:09:49.161]  Only certain ships tied to Amazon and tied to Walmart and others are even being allowed in.
[01:09:49.161 --> 01:09:54.242]  And so, again, that's another way of saying your small business is not essential, but we're essential.
[01:09:54.242 --> 01:09:57.523]  Your church is not essential, but the shopping mall is essential.
[01:09:58.530 --> 01:09:59.631]  Or the Walmart is essential.
[01:09:59.631 --> 01:10:11.197]  And as soon as Governor DeSantis said, just go ahead and bring those ships around to the other passage, around Africa and up into the Atlantic.
[01:10:11.197 --> 01:10:15.319]  And we've got ports ready to take your goods in Florida.
[01:10:15.319 --> 01:10:18.421]  Suddenly, California goes, oh, no, no, no, no, don't leave.
[01:10:18.421 --> 01:10:20.982]  Don't leave after some ship's waiting four months.
[01:10:20.982 --> 01:10:21.402]  You can
[01:10:24.574 --> 01:10:27.776]  Land in a few weeks, maybe, just to stall them more.
[01:10:27.776 --> 01:10:29.317]  This is war.
[01:10:29.317 --> 01:10:31.378]  The border collapsing, all of it's war.
[01:10:31.378 --> 01:10:35.900]  The devaluation of the currency is war.
[01:10:35.900 --> 01:10:48.367]  And so it scares the globalists to see police and firefighters and nurses and doctors and BLM and the Trump supporters and the patriots, the M4 supporters, all rallying by the thousands in cities everywhere.
[01:10:48.367 --> 01:10:49.068]  That scares them.
[01:10:50.060 --> 01:11:00.122]  And that's why they try to have provocateurs start a fight so the police can start attacking the select police, the police that follow the orders, and the private security to start attacking some of the peaceful demonstrators.
[01:11:00.122 --> 01:11:12.584]  I think it's wrong that they've suspended a basketball player because he wouldn't take the shot when two basketball players can never play again because of heart inflammation and heart attacks.
[01:11:12.584 --> 01:11:14.745]  So here's the big news.
[01:11:14.745 --> 01:11:16.665]  Here is the CDC director
[01:11:19.721 --> 01:11:28.813]  Dr. Walensky telling the world what we knew was coming next because it's global UN policy.
[01:11:28.813 --> 01:11:38.165]  Telling the world that if you've taken all the shots, it doesn't matter, you still gotta wear a mask as they target our children for cold brainwashing.
[01:11:42.363 --> 01:11:46.105]  You know, our case numbers are coming down, and that is so encouraging.
[01:11:46.105 --> 01:11:56.431]  We still have 75,000 new cases a day of COVID, and we are still having death rates of about 1,200 to 1,500 deaths per day.
[01:11:56.431 --> 01:12:05.776]  As we roll out these vaccines for our children, and we are hopeful that we will be able to, it's also critically important that our kids are able to stay in school.
[01:12:05.776 --> 01:12:10.639]  We saw just a couple of weeks ago new science that demonstrated that schools that masked
[01:12:10.959 --> 01:12:15.700]  Had three and a half times less likelihood of having outbreaks than schools that didn't.
[01:12:15.700 --> 01:12:25.683]  And so, in my mind, the most important thing right now, as we work to get our cases down, as we work to get our children vaccinated, is that we continue the masking to keep our kids in school.
[01:12:25.683 --> 01:12:27.063]  I want to play something.
[01:12:27.063 --> 01:12:27.643]  That's enough.
[01:12:27.643 --> 01:12:29.464]  I can't listen to any more of it.
[01:12:29.464 --> 01:12:30.944]  You know, that's a fake study.
[01:12:30.944 --> 01:12:33.885]  Just like what Fauci said, 99% of deaths are in the unvaccinated.
[01:12:33.885 --> 01:12:34.725]  That was just made up.
[01:12:35.520 --> 01:12:49.619]  It's like when Fauci said, there's never been gain of function by the US government, or by me, or by the NIH, or by the CDC, and if anyone did ever do it, it was in North Carolina!
[01:12:51.581 --> 01:12:58.625]  There was a big controversy in 2005 where they were doing it in a function and Obama, 2015, they ordered it removed to Wuhan.
[01:12:58.625 --> 01:13:02.067]  So he knew that was established fact because only North Carolina.
[01:13:02.067 --> 01:13:06.729]  No one ever did it, but if it did, North Carolina.
[01:13:06.729 --> 01:13:08.350]  All a lie.
[01:13:08.350 --> 01:13:09.211]  And so there she is.
[01:13:09.211 --> 01:13:10.951]  Oh, there's a statistic.
[01:13:10.951 --> 01:13:14.433]  Oh, you're three and a half times more likely to not get sick if you have the damn mask.
[01:13:14.433 --> 01:13:15.534]  Just made up crap.
[01:13:18.462 --> 01:13:26.691]  We actually have the federal government's own VAERS reports, and we have the numbers put out by the Pentagon that did an AI scan, and oh, it gets worse.
[01:13:26.691 --> 01:13:37.702]  We have the British surveillance system finding, on average, you are twice as likely to get sick if you have had the COVID vaccine, per capita.
[01:13:38.658 --> 01:13:42.300]  And of course, you're more than twice as likely to die or develop cancer.
[01:13:42.300 --> 01:13:43.360]  And these are the numbers they're hiding.
[01:13:43.360 --> 01:13:44.841]  Hell, let me give you a few sources right now.
[01:13:44.841 --> 01:13:47.042]  This is the news just last few days.
[01:13:47.042 --> 01:13:53.025]  mRNA vaccine weakened immune system even after COVID recovery, according to UK data.
[01:13:53.025 --> 01:13:55.487]  And you're weaker to other viruses once you've had it.
[01:13:55.487 --> 01:13:58.688]  It paralyzes your white blood cells, the killer T's.
[01:13:58.688 --> 01:13:59.368]  There's another one.
[01:13:59.368 --> 01:14:03.370]  That's from the COVID-19 Vaccine Surveillance Report by the UK government.
[01:14:03.370 --> 01:14:04.111]  It's linked right there.
[01:14:06.158 --> 01:14:08.740]  Right there is the UK government link in that article.
[01:14:08.740 --> 01:14:09.561]  Here's another one.
[01:14:09.561 --> 01:14:14.765]  Sweden suspends Moderna shot indefinitely after VAX patients develop crippling heart condition.
[01:14:14.765 --> 01:14:16.807]  And I saw somebody sharing this on Twitter.
[01:14:16.807 --> 01:14:18.188]  And they go, oh, that's Alex Jones.
[01:14:18.188 --> 01:14:19.369]  That's not true.
[01:14:19.369 --> 01:14:19.729]  Oh, really?
[01:14:19.729 --> 01:14:22.951]  You can link right through to the Swedish government or the Daily Mail.
[01:14:22.951 --> 01:14:25.193]  Yes, it's real.
[01:14:25.193 --> 01:14:26.714]  All of it's real.
[01:14:26.714 --> 01:14:30.377]  Notice I give you a source.
[01:14:30.377 --> 01:14:32.839]  Notice she didn't give you a source.
[01:14:32.839 --> 01:14:33.200]  Oh, but
[01:14:34.286 --> 01:14:39.209]  Once you've been injected, you still need to wear your mask, but I thought it protected me.
[01:14:39.209 --> 01:14:43.991]  Oh, no, it doesn't stop you from getting it or spreading it or getting sick.
[01:14:43.991 --> 01:14:45.812]  In fact, it makes you a bigger spreader.
[01:14:45.812 --> 01:14:50.395]  Oh, but now it's mutated enough that they don't call it COVID-19.
[01:14:50.395 --> 01:14:53.536]  But more importantly, what just happened?
[01:14:53.536 --> 01:14:55.317]  What just happened a few weeks ago?
[01:14:55.317 --> 01:14:57.158]  Remember what they announced six months ago?
[01:14:57.158 --> 01:14:59.760]  That in six months, they can no longer use the PCR test.
[01:15:01.052 --> 01:15:04.455]  And now the PCR test, as of this month, has been withdrawn.
[01:15:04.455 --> 01:15:06.576]  It hit the deadline.
[01:15:06.576 --> 01:15:12.761]  So they're not using the PCR test anymore, so suddenly the thing that gave you 94% false positives gone.
[01:15:12.761 --> 01:15:22.990]  Oh, but there's plenty of people sick in the hospital from ADE, Antibody Dependency Enhancement, and autoimmune diseases and heart attacks and strokes, so that's...
[01:15:24.195 --> 01:15:24.975]  The reality.
[01:15:24.975 --> 01:15:28.656]  But don't worry, she says they're going to send you for education when you don't take your shots.
[01:15:28.656 --> 01:15:36.798]  And Hillary says she insists that it's imperative that Boris Johnson mandates vaccine passports in the UK so they can force this in worldwide.
[01:15:36.798 --> 01:15:39.078]  We are in a battle to stop this.
[01:15:39.078 --> 01:15:42.059]  And InfoWars is the tip of that spear.
[01:15:42.059 --> 01:15:47.480]  This is the whole future, all the marbles for the whole shoot and match, for the farm, for everything.
[01:15:47.480 --> 01:15:48.060]  This is it.
[01:15:49.016 --> 01:15:54.880]  And just fight, fight, fight and spread the word and do not comply and support those that are standing up and standing strong.
[01:15:54.880 --> 01:15:57.122]  We salute you all.
[01:15:57.122 --> 01:15:58.703]  What if you could cut?
[01:15:58.703 --> 01:16:13.775]  If you're listening to this message in the weekend of Friday, October 22nd, 2021, this is your last chance to get some of our best selling amazing products at Infowarsstore.com before they sell out like DNA Force Plus, that is the
[01:16:14.575 --> 01:16:19.958]  Ultimate formula out there for strengthening your telomeres and the very engines of your cells.
[01:16:19.958 --> 01:16:27.701]  I mean, it's got a big dose of the highest quality PQQ and CoQ10 and a bunch of other key ingredients that God gave us through nature that are simply amazing.
[01:16:27.701 --> 01:16:28.142]  It's 40% off.
[01:16:28.142 --> 01:16:35.605]  This product's been sold out for six, seven months because of supply chain breakdowns, because we would not cut the quality of the ingredients.
[01:16:35.605 --> 01:16:39.947]  We could cut the quality all day and buy crap from China and never be sold out, but we're not doing that.
[01:16:39.947 --> 01:16:41.228]  This is the highest rated.
[01:16:41.608 --> 01:16:49.374]  It's 40% off the sale-ins on Monday, 40% off DNA Force Plus and a limited supply of Brain Force Ultra as well.
[01:16:49.374 --> 01:16:50.515]  It'll be sold out on Monday.
[01:16:50.515 --> 01:16:51.836]  It's 25% off.
[01:16:51.836 --> 01:16:55.179]  So support the M4 while getting great products at the same time.
[01:16:55.179 --> 01:16:56.180]  Thank you all for your support.
[01:16:56.180 --> 01:16:56.480]  M4Store.com
[01:16:58.322 --> 01:17:12.843]  The COVID-19 face diaper is a symbol of subservience, a symbol of slavery, a symbol of the change that the medical tyranny combine controlled by the global private corporations has put in place.
[01:17:13.643 --> 01:17:18.867]  It is the symbol of the permanent emergency from which we will never emerge.
[01:17:18.867 --> 01:17:27.072]  It is the symbol that we are diseased and evil and bad and must cover our diseased criminal faces from the light of the sun.
[01:17:27.072 --> 01:17:35.277]  It is the symbol of our complete and total absolute surrender to evil.
[01:17:35.277 --> 01:17:36.058]  Ladies and gentlemen,
[01:17:37.028 --> 01:17:39.830]  We are crossing the Rubicon now.
[01:17:39.830 --> 01:17:42.612]  The entire future destiny of humanity is upon us.
[01:17:42.612 --> 01:17:49.436]  Klaus Schwab and the UN admit they're coming out with implantable microchips as part of the World ID and carbon taxes.
[01:17:49.436 --> 01:17:51.557]  Things only get worse from here if we submit.
[01:17:51.557 --> 01:17:55.079]  They only get better if we resist and say no.
[01:17:55.079 --> 01:17:58.081]  Noncompliance, noncompliance, noncompliance.
[01:17:58.081 --> 01:18:03.445]  It was almost 15 years ago that I released my seminal film, In Game Blueprint for Global Enslavement.
[01:18:04.245 --> 01:18:16.444]  In that documentary, I predicted the globalists would establish world government by releasing a virus, demanding that there be worldwide lockdowns, and then triggering a collapse of our industrial society.
[01:18:16.444 --> 01:18:17.146]  And now they've done it.
[01:18:18.123 --> 01:18:19.224]  How did I know they would do it?
[01:18:19.224 --> 01:18:24.826]  Because they wrote books and white papers, and many of their own reports and internal meetings were leaked.
[01:18:24.826 --> 01:18:35.931]  You see, then I was tracking the Bilderberg Group, whose head at the time was Klaus Schwab, and our sources inside were confirming to us that they were indeed planning to launch this Great Reset.
[01:18:35.931 --> 01:18:37.052]  Well, we're now living in it.
[01:18:37.052 --> 01:18:42.815]  The purposeful collapse of the third world and the first world, on its ass, is a tyrannical corporate world government.
[01:18:42.815 --> 01:18:45.376]  The total censorship, no due process,
[01:18:46.236 --> 01:18:55.084]  The structure of the family, and then incrementally more and more deadly injections of poison mass creating these vaccines to poison us and depopulate us.
[01:18:55.084 --> 01:18:56.605]  This is what Infowars is fighting.
[01:18:56.605 --> 01:18:58.467]  We're fighting for the future.
[01:18:58.467 --> 01:19:11.118]  If you're ruthless megacorporations who've taken over almost every government on earth and who are trying to destroy the middle class in any form of upward mobility, you've got to divide and conquer the public so they don't know they're being targeted.
[01:19:11.818 --> 01:19:20.388]  And that's why the Fortune 100 have wrapped themselves in the name of LBGT and African-American rights and all the rest of it all over the world.
[01:19:20.388 --> 01:19:31.961]  That's now their corporate face while they run slave camps in Africa and in Communist China and many other areas, while they undermine our basic liberties here and spy on us through the big tech and the central banks and other zone.
[01:19:32.841 --> 01:19:55.232]  So this is a criminal takeover, and when you look at the new superclass, it's the politicians, it's the corporate media, it's the police, it's the bureaucrats, it's members of Congress and their staff and their families, it's the White House, hell, it's postal workers who were all exempt from the poison shots, but not the general public and everybody else through corporate rule.
[01:19:55.232 --> 01:19:57.173]  So this is the true discrimination that's going on.
[01:20:00.960 --> 01:20:03.559]  You're listening to The Alex Jones Show!
[01:20:28.661 --> 01:20:32.443]  Ladies and gentlemen, we are back live broadcasting worldwide.
[01:20:32.443 --> 01:20:36.805]  What a time to be alive right now.
[01:20:36.805 --> 01:20:39.186]  And let's drill right into what's happening.
[01:20:39.186 --> 01:20:51.152]  Our country is being attacked by outside globalist corporate forces that don't want a United States of America to exist where you have property rights, where you have low taxes, where you have a right to travel, where you have a right to free speech, a right to religion.
[01:20:51.912 --> 01:20:56.295]  We have a right to defend yourself physically with firearms as well.
[01:20:56.295 --> 01:20:57.976]  They just don't like it.
[01:20:57.976 --> 01:21:04.160]  They want the American system out of the way since the days of the British Empire over 200 years ago.
[01:21:04.160 --> 01:21:08.703]  Thousands of headlines have been written about the American problem.
[01:21:08.703 --> 01:21:12.345]  And then by World War One, the British Empire had the German problem.
[01:21:13.848 --> 01:21:17.089]  Because Germany was more productive than the Empire.
[01:21:17.089 --> 01:21:23.672]  And so the very same financial interests that have run the UK are the very same interests that are running America down right now.
[01:21:23.672 --> 01:21:30.594]  That's the heart of the global corporate system that enslaves the Brits, enslaves the Scots, the Irish, us, everybody.
[01:21:30.594 --> 01:21:33.555]  It's not the British people that are doing it.
[01:21:33.555 --> 01:21:39.057]  It's that model and what came out of there and the black nobility that fled 800 years ago out of Italy.
[01:21:41.638 --> 01:21:42.679]  And went to Scotland.
[01:21:42.679 --> 01:21:48.761]  And it's been that system of control that's been in control ever since.
[01:21:48.761 --> 01:21:52.523]  So let's give you a real-world example of this right now.
[01:21:52.523 --> 01:21:55.805]  The Keystone Pipeline costs $16 billion.
[01:21:55.805 --> 01:21:57.105]  Some estimates are $20 billion.
[01:21:57.105 --> 01:21:58.246]  Some are $14 billion.
[01:21:58.246 --> 01:21:59.787]  But it cost $15 billion.
[01:21:59.787 --> 01:22:02.248]  Let's just round the middle.
[01:22:02.248 --> 01:22:04.989]  $15 billion to build.
[01:22:04.989 --> 01:22:10.532]  It was scheduled to bring down gas, oil, and gasoline.
[01:22:11.516 --> 01:22:17.879]  Both refined oil, gasoline, non-refined oil, natural gas and a lot of other things.
[01:22:17.879 --> 01:22:29.406]  It took a decade to build and spanned all over many areas of Canada and right down to the Midwest, down to Houston and to Shreveport, Louisiana.
[01:22:29.406 --> 01:22:39.031]  It was going to again bring billions of dollars in those old numbers, tens of billions of dollars a week in oil to be refined and gas to be sold.
[01:22:40.839 --> 01:22:47.305]  Cementing America's position as the number one oil and gas producer in the world.
[01:22:47.305 --> 01:22:49.767]  You know who funds the anti-keystone movement?
[01:22:49.767 --> 01:22:52.570]  You know who funds the UN movement for carbon taxes?
[01:22:53.837 --> 01:22:59.641]  British Petroleum, Dutch Royal Shell, owned by the Queen of the Netherlands, and the Saudi Arabians.
[01:22:59.641 --> 01:23:00.301]  You can look it up.
[01:23:00.301 --> 01:23:03.423]  They fund the carbon taxes, the environmental movement.
[01:23:03.423 --> 01:23:11.828]  Evidence is BP blew up that well in the Deepwater Horizon on purpose to be able to demonize all the oil companies and bring in international regulations.
[01:23:11.828 --> 01:23:22.015]  So those are oil companies owned by even older, powerful banking dynasties that don't want oil to be cheap and want to use expensive fuel to basically depopulate the planet.
[01:23:23.683 --> 01:23:25.264]  And so that's the world we live in.
[01:23:25.264 --> 01:23:46.337]  And that's why this last winter in Texas, now just about 10 months ago, 11 months ago, we saw the power out for several weeks because Texas was ordered under federal law to not up its use of coal power at the few coal power plants we had left.
[01:23:46.337 --> 01:23:48.098]  And the other plants could not provide the power.
[01:23:48.098 --> 01:23:50.919]  They already shut down so many because Texas made a 2.3 cut this year.
[01:23:54.346 --> 01:23:59.150]  Compared to what they had done previously, and it finally just was not enough.
[01:23:59.150 --> 01:24:01.552]  Texas could not stay open.
[01:24:01.552 --> 01:24:08.939]  But India, and Mexico, and China, and 160 other countries have to make zero carbon cuts ever.
[01:24:08.939 --> 01:24:11.140]  But every western country does.
[01:24:11.140 --> 01:24:15.704]  And here's the headline out of WFAA out of Dallas, United Nations to Texas.
[01:24:15.704 --> 01:24:20.428]  Curb Reliance on Oil and Gas to Remain Prosperous in the Era of Climate Change.
[01:24:21.431 --> 01:24:22.831]  Oh, keep your freedom.
[01:24:22.831 --> 01:24:25.652]  Take the vaccine and wear a mask, and then you don't have freedom.
[01:24:25.652 --> 01:24:27.913]  It's the same thing.
[01:24:27.913 --> 01:24:38.576]  And the UN has come out at a summit and said that Texas must cut its oil production by half, its gas production by half, its carbon production by half.
[01:24:38.576 --> 01:24:45.218]  The leader of the United Nations says Texas must end its reliance on oil and gas production to remain prosperous.
[01:24:45.218 --> 01:24:46.639]  Oh, they want us to be prosperous.
[01:24:46.639 --> 01:24:47.179]  Aren't they nice?
[01:24:47.719 --> 01:24:53.921]  At a UN Summit next month, world leaders will be asked to rapidly cut greenhouse gas emissions in half by 2030.
[01:24:53.921 --> 01:24:59.102]  A vast increase in the production of renewable energy will be required to reach these targets.
[01:24:59.102 --> 01:24:59.803]  It doesn't work.
[01:24:59.803 --> 01:25:01.023]  It doesn't happen.
[01:25:01.023 --> 01:25:01.603]  It's a fraud.
[01:25:01.603 --> 01:25:12.546]  It's why they use diesel generators in the UK to run the charging stations for the cars that take more carbon to build and more carbon to power.
[01:25:12.546 --> 01:25:14.307]  And it's all a fraud, but the globalists don't care.
[01:25:15.669 --> 01:25:15.849]  U.N.
[01:25:15.849 --> 01:25:21.750]  Secretary General says Texas is well positioned to lead the way in the production of renewables.
[01:25:21.750 --> 01:25:23.831]  Oh, yes!
[01:25:23.831 --> 01:25:32.993]  So Texas needs to cut what it's doing and diversify into these systems that the globalists own and control that don't work.
[01:25:32.993 --> 01:25:33.773]  Here's another one.
[01:25:33.773 --> 01:25:33.993]  U.S.
[01:25:33.993 --> 01:25:38.894]  calls on OPEC and its allies to pump more oil, as Biden calls on the U.S.
[01:25:38.894 --> 01:25:40.374]  not to pump more oil.
[01:25:40.374 --> 01:25:42.635]  Remember that in Reuters just a few weeks ago?
[01:25:44.244 --> 01:25:48.908]  White House calls on OPEC to boost oil production as gasoline prices rise.
[01:25:48.908 --> 01:25:53.432]  With a pen stroke, President Biden cancels Keystone XL Pipeline project.
[01:25:53.432 --> 01:25:54.472]  Remember that?
[01:25:54.472 --> 01:25:57.375]  Seven, eight months ago?
[01:25:57.375 --> 01:26:01.798]  Biden cancels Keystone XL Pipeline and rejoins Paris Climate Agreement.
[01:26:01.798 --> 01:26:06.402]  Did that January 20th, the first day after he stole his way into office.
[01:26:06.402 --> 01:26:07.163]  Gosh, I guess that was...
[01:26:09.028 --> 01:26:11.430]  Eleven months ago, man time's flying.
[01:26:11.430 --> 01:26:15.293]  First thing was cut off America's energy, another act of war.
[01:26:15.293 --> 01:26:16.374]  Well, we've got to cut carbon.
[01:26:16.374 --> 01:26:17.155]  Carbon's poisonous.
[01:26:17.155 --> 01:26:17.835]  Well, that's a lie.
[01:26:17.835 --> 01:26:19.356]  We're all carbon-based life forms.
[01:26:19.356 --> 01:26:23.120]  Carbon dioxide is what plants absorb to create oxygen.
[01:26:23.120 --> 01:26:27.483]  They don't care, you see, because China has no scrubbers on their power plants.
[01:26:27.483 --> 01:26:29.245]  Neither does Mexico.
[01:26:29.245 --> 01:26:31.767]  So now Texas, South Texas, gets its power from Mexico.
[01:26:32.833 --> 01:26:34.474]  The globalists own those plants too.
[01:26:34.474 --> 01:26:37.776]  It's America and Europe and Canada that aren't allowed to operate.
[01:26:37.776 --> 01:26:39.898]  That's the nature of this control system.
[01:26:39.898 --> 01:26:44.160]  That's the nature of this economic war.
[01:26:44.160 --> 01:26:48.123]  So you can't have clean coal plants that put on nothing but carbon dioxide and water.
[01:26:48.123 --> 01:26:51.045]  You can't have that renewable energy.
[01:26:51.045 --> 01:26:54.507]  And now they're even coming after clean burning natural gas.
[01:26:54.507 --> 01:26:55.167]  So what happens?
[01:26:55.167 --> 01:26:55.828]  You shut down.
[01:26:55.828 --> 01:26:56.388]  You collapse.
[01:26:56.388 --> 01:26:57.589]  You become non-essential.
[01:26:57.589 --> 01:26:59.770]  You become a, what was it?
[01:26:59.770 --> 01:27:01.391]  A service economy, they promised in the 90s.
[01:27:02.742 --> 01:27:06.165]  But now, oh, services are not essential.
[01:27:06.165 --> 01:27:10.809]  Doing nails and doing people's lashes or giving massages is not essential.
[01:27:10.809 --> 01:27:16.234]  Your little restaurant's not essential, but all the big box stores, they are essential.
[01:27:16.234 --> 01:27:17.215]  You see how that works?
[01:27:17.215 --> 01:27:19.537]  You see how they positioned it?
[01:27:19.537 --> 01:27:24.341]  And this new feudalist reign of terror they're bringing into the world?
[01:27:24.341 --> 01:27:25.062]  So there's the UN.
[01:27:26.877 --> 01:27:44.415]  Running the refugee centers, ordering the global lockdown that caused the collapse of the third world, then people start starving to death, hundreds of millions start surging Europe, surging into the Middle East, out of other areas, surging into North America, and the UN's there organizing them and bringing them in and handing them over to the Democratic Party that are their clients.
[01:27:44.415 --> 01:27:45.536]  Go ahead and show them the footage.
[01:27:46.451 --> 01:27:47.012]  I don't think so.
[01:28:08.214 --> 01:28:08.474]  U.S.
[01:28:08.474 --> 01:28:10.857]  taxpayers with the State Department, U.S.
[01:28:10.857 --> 01:28:21.889]  aid, gives you $3,000 debit cards with no name on them, and then you can have a kid you kidnap, you can do whatever you want, you just break right across the border and you come on in.
[01:28:21.889 --> 01:28:28.436]  But Americans can't go in restaurants unless they've had a deadly shot and show a vaccine passport that's now a carbon passport.
[01:28:28.436 --> 01:28:29.817]  Americans have got to be stopped.
[01:28:30.578 --> 01:28:31.879]  Attention radio listeners.
[01:28:58.928 --> 01:29:07.992]  Alex Jones here on the morning of Friday, October 22nd, 2021, with a very important update for supporters of InfoWars.
[01:29:07.992 --> 01:29:15.376]  Several of our best-selling products are back in stock, limited supplies, and are 40 to 50% off.
[01:29:15.376 --> 01:29:22.199]  Like DNA Force Plus, that is 40% off right now, and that sale is going to have to end on Monday.
[01:29:22.199 --> 01:29:23.500]  It helps your telomeres, it helps your
[01:29:24.360 --> 01:29:29.483]  Very sells engines, the mitochondria, it's got the PQQ, the CoQ10, it really is incredible.
[01:29:29.483 --> 01:29:30.864]  It's 40% off.
