[00:00:01.508 --> 00:00:04.649]  Two, three, four...
[00:50:22.545 --> 00:50:27.829]  You could put them next to a kid that's committing multiple crimes per school year, selling drugs,
[00:50:28.249 --> 00:50:48.253]  You know, and why put your kid in an environment like that when, if you read my book, which I call now is like a manual into what happened in Broward, and throughout the whole country, like I said, it's a law now in California, you can't arrest, you can't expel or suspend disruptive kids.
[00:50:48.253 --> 00:50:50.513]  It's called the Promise Program.
[00:50:50.513 --> 00:50:53.453]  Yeah, that's what they call it in Broward, Alex, Promise.
[00:50:53.453 --> 00:50:56.174]  But it goes by other names throughout the whole country.
[00:50:56.654 --> 00:50:57.995]  And you know what?
[00:50:57.995 --> 00:51:11.680]  What's going on now with this Democrat platform is... So I met with the President, Alex, after this in the Oval Office and we discussed school safety and he put together a commission of his cabinet members.
[00:51:12.507 --> 00:51:18.252]  To look into school safety and what, what policies are good, what policies have failed.
[00:51:18.252 --> 00:51:21.415]  And he came up with over 100 recommendations.
[00:51:21.415 --> 00:51:33.185]  And one of them that meant a lot to me was he rescinded these Obama-era leniency policies, which create this chaotic environment in schools, which give teachers no rights.
[00:51:33.185 --> 00:51:40.551]  The students that want to learn have no rights, but they give disruptive kids who also emotionally
[00:51:41.209 --> 00:51:41.709]  You know what?
[00:52:01.268 --> 00:52:04.629]  It doesn't matter what your affiliation is now with a party.
[00:52:04.629 --> 00:52:17.495]  You want your kids in an environment where the teacher can't suspend a kid, or it's okay for the kid to sell drugs, or it's okay for the kid to talk back to the teacher, tell him to go after themselves, or worse, you know?
[00:52:17.495 --> 00:52:22.737]  And that's what's going on, and the mainstream media doesn't want to push it.
[00:52:22.737 --> 00:52:24.037]  They don't want to tell you the truth.
[00:52:24.037 --> 00:52:28.739]  You know, they gave those kids, which accomplished zero in Florida, okay?
[00:52:29.190 --> 00:52:35.532]  All those kids that march for our lives, kids, the only thing they accomplished was getting media attention.
[00:52:35.532 --> 00:52:37.413]  That was the only thing they did.
[00:52:37.413 --> 00:52:40.714]  We got the bill passed in Florida, me and another father.
[00:52:40.714 --> 00:52:45.116]  We made it so teachers are able to be armed in schools.
[00:52:45.116 --> 00:52:54.959]  We made, there was more money for mental health, some red flag laws that some people approve of and do what, you know, some people don't.
[00:52:55.515 --> 00:52:59.719]  So, Florida's much safer because of what some of the parents got done.
[00:52:59.719 --> 00:53:06.764]  Nothing to do with what the media wants you to make out that these March for Our Lives kids, who were on a bus tour, making noise.
[00:53:06.764 --> 00:53:07.465]  That's all they did.
[00:53:09.929 --> 00:53:17.911]  Can you speak to how they took four drama students, whose parents are anti-gun liberals, and then made them the whole face?
[00:53:17.911 --> 00:53:23.033]  Because I know, not just you, but I saw some of the other parents say that CNN had town halls.
[00:53:23.033 --> 00:53:25.193]  I think it was you particularly, though.
[00:53:25.193 --> 00:53:34.996]  But then they would try to get you to write your questions before, and they were basically censoring out, or trying to censor out, parents who weren't going with this anti-Second Amendment agenda.
[00:53:36.155 --> 00:53:39.237]  Well, I don't know enough about it, Alex, to speak about it.
[00:53:39.237 --> 00:53:41.419]  I try to stay away.
[00:53:41.419 --> 00:53:42.079]  You know what I mean?
[00:53:42.079 --> 00:53:43.100]  CNN, I don't know.
[00:53:43.100 --> 00:53:44.601]  You've got to do CNN Live.
[00:53:44.601 --> 00:53:45.582]  You know, that's it.
[00:53:45.582 --> 00:53:49.565]  You can't go where they can tape you on CNN where they can edit you.
[00:53:49.565 --> 00:53:51.886]  But, you know, I'm here to talk to any parent.
[00:53:51.886 --> 00:53:52.787]  I don't really care.
[00:53:52.787 --> 00:53:56.349]  Even if you're a Democrat, I'll try and talk some sense into you.
[00:53:56.349 --> 00:53:58.571]  But other than that, I don't really know.
[00:53:58.571 --> 00:53:59.412]  I know those kids.
[00:54:00.407 --> 00:54:04.970]  One kid came out of it and he helped us, Cameron Caskey.
[00:54:04.970 --> 00:54:08.193]  But these other kids, they're not interested in fixing anything.
[00:54:08.193 --> 00:54:13.356]  All they're interested in is pushing an anti-gun agenda.
[00:54:13.356 --> 00:54:14.997]  And that's not the solution.
[00:54:14.997 --> 00:54:15.778]  The solution is...
[00:54:16.431 --> 00:54:23.514]  When people make threats, no matter what age, they need to be arrested when they threaten people's lives and charged with a felony.
[00:54:23.514 --> 00:54:25.055]  We need to take it serious.
[00:54:25.055 --> 00:54:27.396]  We need to take mental illness serious.
[00:54:27.396 --> 00:54:32.938]  When someone's a danger to themselves and others, they need to be committed.
[00:54:32.938 --> 00:54:33.478]  You know what I mean?
[00:54:33.478 --> 00:54:40.021]  If they're that much of a danger, commit them and have them evaluated so these things go on their background check.
[00:54:40.021 --> 00:54:41.682]  This way, background checks work.
[00:54:42.222 --> 00:54:50.949]  Democrats are pushing background checks, but if a background check only works if you enforce laws that are in place.
[00:54:50.949 --> 00:54:52.430]  And this isn't common sense.
[00:54:52.430 --> 00:54:55.272]  This is just common sense, what I'm saying.
[00:54:55.272 --> 00:54:57.073]  Some of these people don't get it, you know?
[00:54:57.073 --> 00:54:58.754]  What good is a background check?
[00:54:58.754 --> 00:55:03.518]  The killer that killed my daughter would have passed the background check.
[00:55:03.518 --> 00:55:04.779]  He passed the background check.
[00:55:04.779 --> 00:55:06.120]  He brought his gun legally.
[00:55:06.120 --> 00:55:10.863]  So nothing that the Democrats are pushing for right now would make a difference
[00:55:12.023 --> 00:55:15.445]  In these mass shootings where my daughter was killed.
[00:55:15.445 --> 00:55:18.987]  Or, you know, it's the same thing with the Dayton shooter.
[00:55:18.987 --> 00:55:21.789]  The Dayton, Ohio shooter threatened people's lives.
[00:55:21.789 --> 00:55:24.250]  He had a rapist, never arrested.
[00:55:24.250 --> 00:55:25.611]  My daughter's a murderer.
[00:55:25.611 --> 00:55:28.673]  They had to frisk him every morning before school.
[00:55:28.673 --> 00:55:30.254]  They never told the parents.
[00:55:30.254 --> 00:55:31.314]  I put that in.
[00:55:31.314 --> 00:55:32.135]  That's in the book.
[00:55:32.135 --> 00:55:34.116]  And no backpack.
[00:55:34.116 --> 00:55:36.697]  He wasn't allowed with a backpack.
[00:55:36.697 --> 00:55:40.259]  In Broward County, they allowed four misdemeanors per school year.
[00:55:42.003 --> 00:55:45.044]  Without ever meeting law enforcement.
[00:55:45.044 --> 00:55:48.644]  So all these things are in Broward.
[00:55:48.644 --> 00:55:52.125]  And they're still going on the same people are running Broward.
[00:55:52.125 --> 00:56:02.327]  And but this fall, there was 2000 less students enrolled in Broward County charter schools, you can't get in private schools, you can't get in.
[00:56:02.327 --> 00:56:09.749]  And the public school system just keeps deteriorating on the people like this Robert Runcie, who's the superintendent.
[00:56:09.749 --> 00:56:09.849]  And
[00:56:10.387 --> 00:56:13.249]  Like I said, parents, read my manual.
[00:56:13.249 --> 00:56:16.392]  Don't put your children in an unsafe environment like I did.
[00:56:16.392 --> 00:56:18.514]  I gotta live with it.
[00:56:18.514 --> 00:56:19.795]  You have no excuse now.
[00:56:19.795 --> 00:56:23.297]  Read my book, Why Meadow Died, and learn the facts.
[00:56:23.297 --> 00:56:26.280]  Well, I gotta tell you, you're a very articulate stand-up guy.
[00:56:26.280 --> 00:56:28.922]  And I imagine your sons are pretty amazing people.
[00:56:28.922 --> 00:56:31.224]  I imagine their mom's an amazing person.
[00:56:31.224 --> 00:56:36.028]  And I just cannot imagine losing a daughter and then knowing the police stood down.
[00:56:36.940 --> 00:56:44.612]  Again, the book by Andrew Pollack is a manual on how to stop this across the country, to implement what President Trump has done, removing Obama's directives.
[00:56:44.612 --> 00:56:46.915]  But it's still being carried out, as he said.
[00:56:46.915 --> 00:56:48.097]  Why Meadow died.
[00:56:48.097 --> 00:56:50.701]  Everybody should get the book.
[00:56:50.701 --> 00:56:52.704]  And I would tweet it out, but they took me off Twitter.
[00:56:53.889 --> 00:56:58.131]  And the big thing was last year, the final thing was the stand-down of the police.
[00:56:58.131 --> 00:57:00.212]  And they lied and said that I said nobody died.
[00:57:00.212 --> 00:57:02.973]  And then took me off the internet over it.
[00:57:02.973 --> 00:57:07.935]  With you, as you said earlier, they have literally had a blackout on you on mainstream media.
[00:57:07.935 --> 00:57:09.956]  It's just incredible.
[00:57:09.956 --> 00:57:14.979]  And they did, you know, what's important to find out, we did get some accountability.
[00:57:14.979 --> 00:57:17.300]  We removed the sheriff.
[00:57:17.300 --> 00:57:20.101]  Ron DeSantis, his first week in office, removed the sheriff.
[00:57:20.823 --> 00:57:26.585]  And, uh, one deputy's been charged with felonies, uh, that didn't go in the building.
[00:57:26.585 --> 00:57:29.645]  Uh, and I think three or four, uh, also were felonies.
[00:57:29.645 --> 00:57:30.406]  That's certainly good.
[00:57:30.406 --> 00:57:31.246]  Andrew, stay right there.
[00:57:31.246 --> 00:57:31.946]  Do a little bit more with us.
[00:57:31.946 --> 00:57:32.806]  We appreciate you being here.
[00:57:32.806 --> 00:57:36.767]  So I want to talk about, because we've all now seen the photos and the witnesses.
[00:57:36.767 --> 00:57:38.648]  I mean, they just stood there for like 15 minutes.
[00:57:38.648 --> 00:57:40.948]  What the hell kind of cowards are these?
[00:57:40.948 --> 00:57:45.430]  You want to be a school safety officer and then you sit on your fat ass while some psycho kills people?
[00:57:45.430 --> 00:57:46.070]  We'll be right back.
[00:57:47.691 --> 00:57:50.293]  This is Paul Judson with Summit.News and Action 7 News.
[00:57:50.293 --> 00:57:51.414]  We're here in Hong Kong.
[00:57:51.414 --> 00:57:53.875]  This is Savannah Hernandez for InfoWars.com.
[00:57:53.875 --> 00:57:57.898]  I'm reporting to you from Hong Kong where I'm joined by reporter Greg Rees for the next week.
[00:57:57.898 --> 00:58:00.700]  This is Greg Rees for InfoWars.com in Hong Kong.
[00:58:00.700 --> 00:58:05.583]  Our recent trip to Hong Kong was a new achievement for InfoWars.com.
[00:58:05.583 --> 00:58:13.628]  Despite being the most banned broadcast in the free world, we continue to win because of our great, strong, loyal audience.
[00:58:13.628 --> 00:58:16.370]  We have Dan Lyman covering InfoWars Europe.
[00:58:16.850 --> 00:58:19.392]  Paul Joseph Watson in the UK.
[00:58:19.392 --> 00:58:22.973]  Millie Weaver and Caitlin Bennett in the American heartland.
[00:58:22.973 --> 00:58:30.137]  And from Austin, Texas, a team of reporters and crew ready to be dispatched wherever the story is going down.
[00:58:30.137 --> 00:58:33.839]  We are not done winning, and with your support, we will keep winning.
[00:58:33.839 --> 00:58:35.280]  We have to keep winning!
[00:58:35.280 --> 00:58:36.581]  We have to win more!
[00:58:36.761 --> 00:58:39.103]  Go to Infowarsstore.com.
[00:58:39.103 --> 00:58:47.228]  You have gone to Infowarsstore.com and gotten books and films, supplements and t-shirts, and water filtration, air filtration, and things you need!
[00:58:48.663 --> 00:58:53.025]  Band.video is the answer to censorship.
[00:58:53.025 --> 00:59:08.550]  Band.video is the answer for libertarians, conservatives, nationalists, pro-gun, pro-life, pro-human individuals to have their own platform where videos banned by YouTube, Facebook, and Twitter are still available.
[00:59:08.550 --> 00:59:10.250]  We've launched it, ladies and gentlemen.
[00:59:10.250 --> 00:59:11.591]  It's now live.
[00:59:11.591 --> 00:59:13.552]  Band.video.
[00:59:13.552 --> 00:59:17.753]  Band.video isn't just going to be a home for Alex Jones or David
[00:59:17.873 --> 00:59:18.473]  It's called Banned.Video.
[00:59:18.473 --> 00:59:21.174]  America and the world is fighting back against tyranny at Banned.Video.
[00:59:51.668 --> 00:59:54.273]  You're listening to The Alex Jones Show.
[01:00:20.723 --> 01:00:24.884]  I don't want to inject myself into this story, but we were just talking during the break.
[01:00:24.884 --> 01:00:29.066]  Andrew Pollack lost his daughter, Meadow, last Valentine's Day.
[01:00:29.066 --> 01:00:30.786]  That makes it rough, even more rough.
[01:00:30.786 --> 01:00:37.348]  They're in Parkland when the police stood down the Coward County Sheriff's Department there and tried to cover it up.
[01:00:37.348 --> 01:00:40.929]  But I was telling Mr. Pollack that he will get the calls and the stories.
[01:00:40.929 --> 01:00:47.251]  You know, father of the Parkland shooting goes on Sandy Hook Denier's show.
[01:00:47.251 --> 01:00:49.712]  That's what they do, is attack the messenger.
[01:00:51.032 --> 01:01:00.236]  We're going to be taking action this week against one of the media outlets that said I lost a suit over a book saying no one died at Sandy Hook.
[01:01:00.236 --> 01:01:01.036]  I didn't write the book.
[01:01:01.036 --> 01:01:01.676]  I'm not in the book.
[01:01:01.676 --> 01:01:03.597]  It's a total fake story.
[01:01:03.597 --> 01:01:09.180]  And they use that to then do all sorts of stuff to my companies, to my sponsors, and everything.
[01:01:09.180 --> 01:01:12.521]  So we are filing suit on a major company Thursday, guaranteed.
[01:01:12.521 --> 01:01:14.782]  Robert Barnes is going to be here in studio.
[01:01:14.782 --> 01:01:16.443]  We're filing suit on somebody else Wednesday.
[01:01:16.443 --> 01:01:17.263]  I'm not litigious.
[01:01:17.703 --> 01:01:21.747]  But I gotta stand up for myself at this point when they're writing 100% fake stuff.
[01:01:21.747 --> 01:01:24.649]  Let me tell you, I've experienced what Trump's experienced on a smaller scale.
[01:01:24.649 --> 01:01:27.452]  A lot of this stuff is 100% fake.
[01:01:27.452 --> 01:01:29.654]  And you'd think, okay, they don't lie that bad.
[01:01:29.654 --> 01:01:31.355]  No, yes they do.
[01:01:31.355 --> 01:01:32.736]  Or they try to blackball you.
[01:01:32.736 --> 01:01:35.699]  So Andrew Pollack, we appreciate you being here.
[01:01:35.699 --> 01:01:36.360]  Please come back again.
[01:01:36.360 --> 01:01:38.361]  We got about four minutes in the short segment.
[01:01:38.361 --> 01:01:42.325]  What other key points would you like to add to folks?
[01:01:42.325 --> 01:01:44.567]  Well, parents, talk to their kids.
[01:01:45.710 --> 01:01:47.731]  And they're really the first line of defense.
[01:01:47.731 --> 01:01:50.151]  They know if there's disruptive kids.
[01:01:50.151 --> 01:01:52.392]  They knew this kid was going to be the shooter, you know.
[01:01:52.392 --> 01:01:59.814]  It took them about eight months in middle school from the teacher taking certain notes.
[01:01:59.814 --> 01:02:06.316]  If you can imagine, they have notes from him in middle school that said he wanted to kill.
[01:02:06.316 --> 01:02:10.497]  He was interested in the Civil War because there was so much killing going on.
[01:02:11.038 --> 01:02:14.402]  He would shoot kids up, pretend with his pencil all the time.
[01:02:14.402 --> 01:02:16.605]  They had to tie his vest down.
[01:02:16.605 --> 01:02:20.089]  Security had to walk him from class to class.
[01:02:20.089 --> 01:02:22.552]  Okay, he couldn't walk by himself.
[01:02:23.540 --> 01:02:29.763]  And he was so, he said he wanted to kill when he was in middle school, but they still allowed him to go to the high school.
[01:02:29.763 --> 01:02:31.724]  They were just hoping this happened.
[01:02:31.724 --> 01:02:41.889]  I mean, I gotta say it, the way they stood down, the way 40 plus times he said he was gonna kill people, the way the FBI was called, I mean, they had to know this was gonna happen.
[01:02:41.889 --> 01:02:48.412]  Well, they did, but they were following these liberal policies that they didn't, that's really what they were doing.
[01:02:48.412 --> 01:02:52.334]  Not everything was policy, not political correctness.
[01:02:52.816 --> 01:02:59.399]  No kid, you know, this kid was labeled special needs, so he had more rights than anyone else.
[01:02:59.399 --> 01:03:05.383]  God forbid you, you know, they talk, like I said, these background checks only work if they arrest them.
[01:03:05.383 --> 01:03:11.926]  He trespassed at the school after he said he was gonna shoot the school up, and no one did anything.
[01:03:11.926 --> 01:03:13.167]  Unbelievable.
[01:03:13.167 --> 01:03:14.968]  Yeah, so it's pretty sad.
[01:03:14.968 --> 01:03:15.708]  I gotta live with it.
[01:03:16.578 --> 01:03:17.679]  And that's what this book is.
[01:03:17.679 --> 01:03:22.624]  I don't want any other parent to have to deal with... Oh, you were telling me that the books sold out most of the time.
[01:03:22.624 --> 01:03:23.164]  I know why.
[01:03:23.164 --> 01:03:24.465]  I'm going to read this.
[01:03:25.879 --> 01:03:28.341]  I can't even find a copy anywhere, Alex.
[01:03:28.341 --> 01:03:29.182]  It's crazy.
[01:03:29.182 --> 01:03:36.409]  But people should order it, and then when it's being printed right now, you were telling me, and they'll get it, because I want to buy a bunch and promote this, because you are a father.
[01:03:36.409 --> 01:03:37.430]  You went through this.
[01:03:37.430 --> 01:03:39.912]  The anti-gunners want to use these desks to take all our guns.
[01:03:39.912 --> 01:03:41.874]  Instead of stopping it, they know they're hyping it.
[01:03:41.874 --> 01:03:43.335]  They know they're helping trigger it.
[01:03:43.335 --> 01:03:45.157]  And I think we need to go on a major offensive.
[01:03:45.157 --> 01:03:45.517]  Why?
[01:03:45.517 --> 01:03:47.639]  Meadow died at Amazon.com.
[01:03:47.639 --> 01:03:48.320]  Get it right now.
[01:03:49.040 --> 01:03:49.841]  Oh, they're great, man.
[01:03:49.841 --> 01:03:50.521]  Two different ones.
[01:04:06.283 --> 01:04:12.606]  So proud of both of them, what they did for their advocacy and school safety.
[01:04:12.606 --> 01:04:13.787]  And they're by my side.
[01:04:13.787 --> 01:04:14.667]  They're my generals.
[01:04:14.667 --> 01:04:16.948]  You know, anything I need, they're there for me.
[01:04:16.948 --> 01:04:19.370]  My son, Hunter, I'm so proud of him.
[01:04:19.370 --> 01:04:21.711]  He worked all summer in D.C.
[01:04:21.711 --> 01:04:23.952]  with Senator Scott up in D.C.
[01:04:23.952 --> 01:04:25.593]  helping him and interning.
[01:04:25.593 --> 01:04:30.555]  My other son, the one to my left in that picture is Huck.
[01:04:30.555 --> 01:04:31.736]  He's a listener of the show.
[01:04:33.096 --> 01:04:35.137]  He's doing finance in Boca Raton.
[01:04:35.137 --> 01:04:42.919]  He's interested in the stock market, and Bitcoin, and trading, and really smart kids, and they didn't deserve this.
[01:04:42.919 --> 01:04:49.501]  You know, it's one thing for a father to have to live with losing their daughter, but you know, you also feel for your sons.
[01:04:49.501 --> 01:04:50.322]  Absolutely.
[01:04:50.322 --> 01:04:52.342]  Andrew Pollack, we're going to talk to you again soon.
[01:04:52.342 --> 01:04:52.882]  God bless you.
[01:04:52.882 --> 01:04:53.743]  We really appreciate you.
[01:04:53.743 --> 01:04:54.523]  We'll be right back, folks.
[01:04:56.713 --> 01:05:05.523]  September is almost over, and right now we're offering store-wide free shipping, double Patriot points, and 50% off for a limited time.
[01:05:05.523 --> 01:05:08.766]  As a lot of you know, I don't play by the establishment's rules.
[01:05:08.766 --> 01:05:14.913]  In fact, I like to hijack things they've created and turn it towards the use of the people and the information war.
[01:05:15.233 --> 01:05:17.734]  And we're doing that right now with the Big Game Changer.
[01:05:17.734 --> 01:05:21.417]  We're going to bring you real Black Friday prices.
[01:05:21.417 --> 01:05:24.698]  Months early in late September and early October.
[01:05:24.698 --> 01:05:27.600]  It's going to run as long as supplies last.
[01:05:27.600 --> 01:05:34.064]  Across the board, at least 50% off, store-wide, free shipping, double Patriot points.
[01:05:34.864 --> 01:05:35.485]  And more.
[01:05:35.485 --> 01:05:39.288]  We've not done this, ladies and gentlemen, since last Christmas.
[01:05:39.288 --> 01:05:41.950]  But I want you to take advantage of this.
[01:05:41.950 --> 01:05:43.991]  We need funds to run our operations.
[01:05:43.991 --> 01:05:45.352]  So it is a win-win.
[01:05:45.352 --> 01:05:46.734]  We're going into 2020.
[01:05:46.734 --> 01:05:48.175]  InfoWars needs the funds.
[01:05:48.175 --> 01:05:49.576]  Plus, these are great products.
[01:05:49.576 --> 01:05:53.999]  Go take advantage of them right now at InfoWarsStore.com or InfoWarsLife.com or 888-253-3139.
[01:06:08.877 --> 01:06:15.679]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[01:06:15.679 --> 01:06:28.263]  I gotta tell you, if you just joined us, we'll post it later, the video and the audio, to Infowars.com and Newswars.com.
[01:06:28.263 --> 01:06:31.504]  Andrew Pollack is an impressive dad.
[01:06:31.504 --> 01:06:34.024]  Lost his daughter at Parkland.
[01:06:34.024 --> 01:06:35.545]  And it makes me really mad.
[01:06:37.449 --> 01:06:52.147]  ...that last February, thousands of publications, every newspaper basically, and every cable show and news program, 60 Minutes, Dateline, NBC, all of them said that I said no one died at Parkland.
[01:06:52.147 --> 01:06:54.731]  When we had not one, not two, but three students on...
[01:06:56.460 --> 01:07:22.202]  And showed video of the news getting interviews, but people shot cell phone footage of what the news was getting interviews of students, saying the police stood down for 15 minutes, they were all standing around, they did nothing, the school resource office were begging for help, wouldn't come in, while this psycho that the police have been called on 44 times walked around shooting people.
[01:07:22.202 --> 01:07:22.702]  Think about that.
[01:07:25.074 --> 01:07:33.640]  And then they turn around and say that I said nobody died, so all those parents hate me.
[01:07:33.640 --> 01:07:38.023]  That father had been told that stuff, but his sons set him straight.
[01:07:38.023 --> 01:07:41.505]  That's sick.
[01:07:41.505 --> 01:07:45.608]  And they tell him, oh, you know, the media, oh, don't go on his show.
[01:07:45.608 --> 01:07:53.693]  So people don't hear about how the school's been made, these areas to come kill people, and how they're protecting under Democrat policies, these actions.
[01:07:56.488 --> 01:08:03.697]  They know exactly what they're doing, but thank God for DrudgeReport.com.
[01:08:03.697 --> 01:08:13.630]  Because they took me off YouTube and everywhere last February with that lie that Drudge linked to the two videos of what I and Owen really said about the police stand down.
[01:08:13.630 --> 01:08:15.412]  That's 14 million views, the two videos together.
[01:08:17.512 --> 01:08:20.874]  And they had to put it back up and said, Bloomberg said, it was a mistake.
[01:08:20.874 --> 01:08:22.075]  We talked to YouTube.
[01:08:22.075 --> 01:08:25.937]  Employees inside did this and there was a mutiny.
[01:08:25.937 --> 01:08:32.321]  Well, they just cooked up some new lies and took me off the air on the internet a few months later.
[01:08:32.321 --> 01:08:33.761]  But I warned everybody then.
[01:08:33.761 --> 01:08:34.962]  I said, they're coming for you.
[01:08:34.962 --> 01:08:38.864]  And what happened last week?
[01:08:38.864 --> 01:08:41.106]  They came out and said, we're going after the NRA's banking.
[01:08:41.937 --> 01:08:44.318]  We're going after their credit card processors.
[01:08:44.318 --> 01:08:45.838]  We're going to find out who's NRA members.
[01:08:45.838 --> 01:08:47.659]  We're going to come after them.
[01:08:47.659 --> 01:08:49.839]  We've listed the NRA as a terror group.
[01:08:49.839 --> 01:08:51.240]  That was two weeks ago.
[01:08:51.240 --> 01:08:55.401]  And now everybody's calling me and I'm seeing articles everywhere.
[01:08:55.401 --> 01:08:59.682]  We first broke this last week.
[01:08:59.682 --> 01:09:03.983]  What happened to Caitlin Bennett and Millie Weaver on their Facebooks?
[01:09:03.983 --> 01:09:08.544]  Photos from a year and a half ago of them in a shooting range, shooting legal firearms at a legal range.
[01:09:08.544 --> 01:09:11.245]  And they said this is part of a criminal terrorist organization.
[01:09:13.097 --> 01:09:17.881]  Then if you do it again, you'll be banned.
[01:09:17.881 --> 01:09:20.143]  Think about that.
[01:09:20.143 --> 01:09:37.277]  So one of my friends that has a big Facebook yesterday, put up a video without my name on it, of me at the rain shooting with my son yesterday morning, and Facebook shadow banned it, where you could see it on his phone, but not on any other computer.
[01:09:37.277 --> 01:09:40.039]  So you think you're posting it, but no one's seeing it.
[01:09:43.362 --> 01:09:45.603]  That's AI control.
[01:09:45.603 --> 01:09:56.606]  And then meanwhile, Facebook, Google, Apple go after all their competition like Gab and others and try to shut down their servers, shut down their companies.
[01:09:56.606 --> 01:10:02.308]  They sick, sleeping giants, three million Democrats on them with threats, death threats to companies.
[01:10:02.308 --> 01:10:07.749]  I mean, this stuff is just, what the left does is incredible.
[01:10:07.749 --> 01:10:09.130]  It's an information takeover.
[01:10:09.130 --> 01:10:10.990]  It's far beyond censorship.
[01:10:10.990 --> 01:10:13.011]  It's organized criminal racketeering.
[01:10:15.316 --> 01:10:31.981]  And there's a big article out, then I'm going to hit all the other news, from Gateway Pundit, that Drudge links to, seems like every couple days I see it on there, and I'm probably missing most of the links, but I'm on Drudge hours a day.
[01:10:31.981 --> 01:10:38.943]  It's like Infowars.com and Newswars.com, but I gotta say it, Drudge Report is better than Infowars, the way it's all laid out nice and clean.
[01:10:38.943 --> 01:10:39.583]  It's simplicity.
[01:10:41.784 --> 01:10:42.945]  Is the complexity.
[01:10:42.945 --> 01:10:44.185]  And the Internet's going back to that.
[01:10:44.185 --> 01:10:45.266]  We're redesigning InfoWars.
[01:10:45.266 --> 01:10:47.607]  I'm not going to rip off Drudge, but it's going to be a lot cleaner.
[01:10:47.607 --> 01:10:52.050]  Just like Summit.News, Paul's new site.
[01:10:52.050 --> 01:10:53.971]  And there's Gateway Pundit, and I like Jim Hoff.
[01:10:53.971 --> 01:10:59.574]  We should have him on and talk about this, but he's saying, what happened to Matt Drudge and Ann Coulter?
[01:10:59.574 --> 01:11:03.136]  America needs them now more than ever.
[01:11:03.136 --> 01:11:05.657]  And they go on to say basically 90% of it's mainstream news.
[01:11:05.657 --> 01:11:06.518]  Well, that's not even true.
[01:11:09.281 --> 01:11:12.263]  You know, I would ask, what happened to Trump?
[01:11:12.263 --> 01:11:36.337]  And I'm not saying Trump isn't great on fighting the fentanyl and the open borders and the deindustrialization and the shut off of our coal and a lot of other stuff, but Trump's done very little other than support the states doing antitrust, but by then they'll steal the 2020 and reverse it all.
[01:11:36.337 --> 01:11:37.498]  I mean, we need action now.
[01:11:38.741 --> 01:11:40.683]  And we keep hearing from Trump, he's taking tough action.
[01:11:40.683 --> 01:11:43.305]  Well, let's see it last year.
[01:11:43.305 --> 01:11:44.226]  Two years ago, man.
[01:11:44.226 --> 01:11:54.136]  I mean, I don't know even what Jim Hoff's really getting at here.
[01:11:54.136 --> 01:11:55.937]  Because, I mean, that sounds like media matters.
[01:11:55.937 --> 01:11:58.460]  You know, telling Drudge what Drudge needs to do.
[01:12:04.701 --> 01:12:06.842]  I mean, I think we all need to do more.
[01:12:06.842 --> 01:12:09.184]  We all need to build our own video platforms, our own audio platforms.
[01:12:09.184 --> 01:12:13.787]  We've done it.
[01:12:13.787 --> 01:12:15.028]  And everybody needs to support those.
[01:12:15.028 --> 01:12:16.989]  Instead, I'll tell you what goes on with conservative media.
[01:12:16.989 --> 01:12:18.130]  I'm not talking about Jim Hoft.
[01:12:20.555 --> 01:12:22.696]  There's going to be a big announcement tomorrow.
[01:12:22.696 --> 01:12:24.597]  Even bigger ones on Wednesday and Thursdays.
[01:12:24.597 --> 01:12:26.357]  I was going to file a suit a couple weeks ago.
[01:12:26.357 --> 01:12:27.678]  We had it all set up.
[01:12:27.678 --> 01:12:35.181]  Barnes wanted to wait and see how the Attorney General's file their suits so that it lines up with theirs if it's being directed by the White House, which it is.
[01:12:35.181 --> 01:12:38.723]  So we'll be more successful.
[01:12:38.723 --> 01:12:41.204]  And so we're going to file one suit on Wednesday, another suit on Thursday.
[01:12:41.204 --> 01:12:48.987]  Barnes gets in tonight to defend the First Amendment at a critical time.
[01:12:55.558 --> 01:13:22.263]  You pull back from all of this and you see other major sites out there and you learn about the infighting and the inside baseball and how I was talking to an individual yesterday about the censorship on a major platform and how they were going to expose some of the inside workings of that tomorrow.
[01:13:26.087 --> 01:13:36.411]  They go, oh, hey, but listen, um, we're going to publish this here and they just don't want you to really link to their thing.
[01:13:36.411 --> 01:13:39.172]  Why don't you just do your own thing?
[01:13:39.172 --> 01:13:41.593]  And I'm like, okay, yeah, that's fine.
[01:13:41.593 --> 01:13:44.075]  But I said, how much of the conversation with these people was about me?
[01:13:44.075 --> 01:13:46.455]  Well, it was quite a bit.
[01:13:46.455 --> 01:13:49.497]  That's why we're going to lose this thing.
[01:13:49.497 --> 01:13:49.837]  Is that
[01:13:51.952 --> 01:13:56.195]  I'm not doing this to be the biggest talk show host or to be the most successful.
[01:13:56.195 --> 01:14:04.361]  I'm doing this because they're teaching kindergartners how to masturbate and the teachers are starting to grab their genitals.
[01:14:04.361 --> 01:14:06.123]  That's pedophilia.
[01:14:06.123 --> 01:14:11.907]  That's them planting the flag that we own your kids.
[01:14:11.907 --> 01:14:15.109]  And the 5G is killing people.
[01:14:15.109 --> 01:14:16.731]  It's in the studies that it gives you cancer.
[01:14:16.731 --> 01:14:18.092]  Thank God Switzerland's protesting.
[01:14:20.575 --> 01:14:25.058]  The government is involved in a global governance compact.
