[00:00.000 --> 00:18.000]  Waging war on corruption. It's Alex Jones coming to you live from the front lines of the Info War.
[37:06.000 --> 37:22.000]  The National Research Council, which is an arm of the National Academy of Sciences, released a report concerning potential hazardous risk associated with the new multimillion dollar infectious disease research lab currently under construction in Kansas.
[37:22.000 --> 37:26.000]  It's located only 120 miles west of Kansas City.
[37:26.000 --> 37:46.000]  It's called the National Bio and Agro Defense Facility and even though it's a level 4 bio lab, which is the highest secured rating issued by the CDC, the expert panel found that there is nearly a 70% chance that a disease will escape the laboratory during its planned 50 year operational lifespan.
[37:46.000 --> 37:56.000]  And it went on to say that you hit pause and back it up 10 seconds. Now there are over 200 of these already built. Most of them in level 2 facilities with level 4.
[37:56.000 --> 38:05.000]  Level 4 is weaponized smallpox, weaponized anthrax, okay, weaponized zoologicals, everything.
[38:05.000 --> 38:19.000]  Weaponized systems, funguses that attack crops, you name it. And they've spent over 50 billion on developing these weapons in just the last two decades and it's accelerated.
[38:19.000 --> 38:29.000]  So understand the government, we're showing the reports on screen, says 70% chance in 50 years that something will get out of this facility. And there's hundreds of them. That's one facility.
[38:29.000 --> 38:38.000]  So it's a certainty when you've got 200 plus that it's going to get out in the next few years unless we raise a big enough human cry.
[38:38.000 --> 38:44.000]  I'm trying to save lives here. How much of what I've warned you of has come true? There's a matter of time till this gets out.
[38:44.000 --> 38:50.000]  And when we're asking why is the system doing this when they have actuaries, they know it's going to get out. They're getting you ready for it.
[38:50.000 --> 38:58.000]  They want to reduce population and they're going to use the release to take more liberty. And they'll pose as the saviors and sell you the drugs that treat it. Watch. Let's go back.
[38:58.000 --> 39:07.000]  Nearly a 70% chance that a disease will escape the laboratory during its planned 50 year operational lifespan.
[39:07.000 --> 39:17.000]  And it went on to say that the U.S. Department of Homeland Security has not adequately gauged the potential risk of a dangerous airborne pathogen escaping the compound.
[39:17.000 --> 39:31.000]  There are bio, what they call bio weapons that are in unsecured, moderately secured environments like in Galveston, Texas. And the CDC even went to one of these facilities in Kansas.
[39:31.000 --> 39:41.000]  And they're not as nearly as safe as they would hope. And they even said the CDC even said the one in Kansas has a 70% chance of some dangerous virus getting released.
[39:41.000 --> 39:54.000]  What are the bylaws in keeping them safe? I don't think there's anything even designated to making sure that they're safe. It's that gray area of the world that nobody really thinks about, but is.
[39:54.000 --> 39:59.000]  Do you think it's a clear and present danger that we should try to prepare for something like that?
[39:59.000 --> 40:05.000]  I think everybody should always be prepared for anything. It's like hope for the best, prepare for the worst.
[40:05.000 --> 40:16.000]  Can you imagine the awakening that's going to happen if they release those bio weapons? After we've warned people so much, God Almighty, I hope the next phases of what we've broken down don't happen.
[40:16.000 --> 40:22.000]  God Almighty, I hope they don't. But I know one thing, I'm sure selfish. I've sure gotten my family ready.
[40:22.000 --> 40:31.000]  Do you think it's wise for people that collect food and they have stockpiles of food and stuff like that just in case of emergency and have a place to go just in case something like this were to happen?
[40:31.000 --> 40:40.000]  I don't have anything stockpiled. I'm all about having weapons. I'm all about getting as much ammunition as you can get because everybody's going to get crazy.
[40:40.000 --> 40:50.000]  They're going to want to get their hands on whatever sources are available, food, water, natural resources, anything to keep the normalcy of life continuing.
[40:50.000 --> 40:58.000]  That's why I'm out here on the streets. I want to learn some street smarts and if shit goes down then I want to be able to find a way around it.
[40:58.000 --> 41:06.000]  Let me tell you something. Once something like that goes down, the people in the high-rise apartments and stuff, they're not going to know what to do.
[41:06.000 --> 41:09.000]  It's the people with street smarts who are going to be able to survive.
[41:09.000 --> 41:16.000]  Just making sure that you have the resources that you need because when the world gets chaotic, everybody loses their minds.
[41:16.000 --> 41:38.000]  Let me put this in layman terms. A level four bio weapons lab should be three floors under the ground, barbed wire fences, minefields and machine guns and a system that if the super germs get out, they pull a lever, alarms go off and the whole place goes up in flames.
[41:38.000 --> 41:51.000]  But instead, the global elite are storing it in level two facilities like the University of Texas at Galveston behind a glass door with a swipe guard right there in Petri dishes.
[41:51.000 --> 41:59.000]  And they're doing this so that when they release it to massively reduce population, they can claim it was an accident.
[41:59.000 --> 42:13.000]  All right, there goes that report. But instead, you're supposed to be scared of Al Qaeda, who the government openly funds to invade dozens of different countries.
[42:13.000 --> 42:19.000]  And when we come back, I'm going to get to the next section of our reports this evening.
[42:19.000 --> 42:30.000]  I had of our guest joining us on the one year anniversary of Fukushima that the government said was no problem. There's no radiation. Nothing melted down. Never mind those mushroom clouds.
[42:30.000 --> 42:39.000]  And then all these universities reported hundreds and hundreds of percentage increases in radiation. So they just said, you know what? The EPA came out and said, look it up.
[42:39.000 --> 42:44.000]  We're just going to raise and say radiation safe now. It's just a magic wand.
[42:44.000 --> 42:53.000]  And you're a conspiracy theorist if you don't like it. And if you don't like level four bioweapons labs in your town, or nuclear reactors, we'll just say they don't exist.
[42:53.000 --> 43:20.000]  In fact, I've heard people call UT to ask about the nuclear reactors in Austin. They just say they don't exist. Okay, that's fine then.
[43:23.000 --> 43:29.000]  The power grid is dangerously overloaded. And now new socialist legislation is only compounding the problem.
[43:29.000 --> 43:36.000]  Number four, dangerous weather is always a threat to local grids. Every year, thousands of families lose their power from weather related onages.
[43:36.000 --> 43:45.000]  Number five, a solar power generator provides powerful backup insurance and peace of mind. Folks, I really believe in the solar power generators offered by Solutions from Science.
[43:45.000 --> 44:02.000]  My old sponsors. You can get more information at www.mysolarbackup.com. That's mysolarbackup.com. Remember, the government doesn't own the sun, so go to mysolarbackup.com or call 1-877-327-0365.
[44:02.000 --> 44:14.000]  Hi folks, this is Alex Jones. I want to tell you about the Silver Lungs Generator. Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[44:14.000 --> 44:19.000]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[44:19.000 --> 44:34.000]  The Silver Lungs Generator infuses the respiratory system with your self-produced nano-silver solutions and also delivers the silver nanoparticles instantly into the bloodstream with continued legislation threatening the sale of nano-silver products.
[44:34.000 --> 44:45.000]  You can now produce pure and endless colloidal silver with the Silver Lungs Generator. Very easy to follow step-by-step instructions are provided, making production fast and simple.
[44:45.000 --> 44:59.000]  Go to www.silverlungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator. That's www.silverlungs.com.
[44:59.000 --> 45:06.000]  I had tried everything. I had cut back the amount of food I was eating. I was lifting weights and jogging, but nothing was working.
[45:06.000 --> 45:18.000]  My body was literally starving for minerals and trace elements as well as key vitamins. And as soon as I had that, I immediately could eat half of what I was eating previously and be satisfied.
[45:18.000 --> 45:29.000]  Now there are hundreds of great products at InfowarsTeam.com, but I want to point out the three that have helped me lose 37 pounds in just two months.
[45:29.000 --> 45:40.000]  Products like Beyond Tangy Tangerine, Pollen Burst and Rebound. When I started taking the Tangy Tangerine and other products every day, I lost more than 37 pounds in just two months.
[45:40.000 --> 45:54.000]  Now that's results. I want to challenge my listeners to go to InfowarsTeam.com and to order just three of their products and you will see the changes in the way you look, feel and in your appetite almost immediately.
[45:54.000 --> 46:10.000]  Start your journey to health and wellness today. InfowarsTeam.com.
[46:25.000 --> 46:37.000]  And it can produce an endless supply of nutrient dense food for you and your family. And here's the best part. These seeds have not been genetically modified in any way and you actually get enough seeds to plant a full acre crisis garden.
[46:37.000 --> 46:47.000]  So visit them today at survivalseedbank.com. That's survivalseedbank.com or give them a call at 877-327-0365.
[46:47.000 --> 47:01.000]  That's 877-327-0365. Remember, in a real crisis, non-hybrid seeds are the ultimate barter item. This is Alex Jones for survivalseedbank.com.
[47:01.000 --> 47:10.000]  Coast to coast, direct from Austin. You're listening to the Alex Jones Broadcasting Network.
[47:10.000 --> 47:37.000]  What we've got here is failure to communicate. Some men you just can't reach. So you get what we had here last week, which is the way he wants. Well, he is. I don't like it anymore.
[47:37.000 --> 47:43.000]  Waging war on corruption. It's Alex Jones.
[47:43.000 --> 48:01.000]  Okay. I've already covered, if you just joined us, the fact that impeachment proceedings have been introduced in the House and Senate against President Obama for openly saying that the UN gives him his orders and Congress has no authority over war, which is a violation of Article 1, Section 8, Clause 11.
[48:01.000 --> 48:14.000]  And he is treason, high crime misdemeanor, and it says that in the legislation, too. No corporate dinosaur media. I don't want to call him mainstream anymore. Coverage of this.
[48:14.000 --> 48:30.000]  I mean, there's never coverage of real news. There's no coverage that Obama Friday night signed a bill saying anywhere feds are or the president are. If you even protest in a park across the street from the president, felony charges.
[48:30.000 --> 48:44.000]  He signed that all over the world. People are freaking out. The Communist Chinese last week passed a law that they said was modeled after the NDAA to secretly arrest political dissidents and disappear them and cited the United States.
[48:44.000 --> 48:58.000]  That was in Reuters. I mean, that's how bad it's getting. And I've got a stack of news where they're openly reintroducing the SOPA and active type stuff to restrict the Internet and they're talking about restricting talk radio.
[48:58.000 --> 49:10.000]  Right. Bart mysteriously dies and trying to kick limbo off the radio. And I'm not saying those guys are perfect. The point is, certainly, Obama doesn't like him. I mean, this is creepy. What's going on?
[49:10.000 --> 49:14.000]  All this is happening.
[49:14.000 --> 49:31.000]  I've studied Africa quite a bit because I'm addicted to geography. I'm addicted to factoids. I'm addicted to geopolitical systems. That's the political system of different regions and how they interact.
[49:31.000 --> 49:39.000]  I read globalist documents constantly. I'm obsessed with reality. I talk to yuppies and people they think I'm trying to show off to them.
[49:39.000 --> 49:55.000]  But to be clear, Africa is so complex, so is Asia, so is the Middle East, so is Latin America, that even though I've spent more time studying Africa than most professors who study, you know, one little area of Africa, and I know almost nothing compared to some people.
[49:55.000 --> 50:11.000]  But to compare to the general public, it's like I'm a different creature altogether. And the system plays on that. They know the public can barely find, I've seen national surveys where more than half of high school seniors can't find Africa.
[50:11.000 --> 50:23.000]  Or even more think that Africa is a country, not a continent. So remember, the system, the State Department, the war criminals are playing on that ignorance.
[50:23.000 --> 50:32.000]  Now it just so happens that Africa is blessed or cursed, you could say, with more natural resources than any other continent in the world, Barna.
[50:32.000 --> 50:43.000]  It's probably got five times any other continent in some of the studies I've seen. Oil, rare earth minerals, gold, diamonds, you name it, they got it.
[50:43.000 --> 50:55.000]  Cold, they got everything. That doesn't always mean success, though. Mexico, in big breakdowns, you can pull up, CIA Factbook, has triple the natural resources.
[50:55.000 --> 51:02.000]  Oil, timber, gold, soil, minerals, but Mexico is a hellhole because they have a corrupt leadership.
[51:02.000 --> 51:14.000]  Actually, America really has no resources compared to a lot of other countries. Pretty resource poor, almost like China's topography, it's been likened to, because geologically it's similar.
[51:14.000 --> 51:27.000]  But we've had incredible 5% of the world population out of 100 had more than half the wealth because we had freedom, not perfect freedom, but more than anybody else.
[51:27.000 --> 51:38.000]  What's going with this? The United States has now been captured by six big megabanks. We are now a vassal militarily of that. Europe, Time Magazine headline, Banker coup over Europe.
[51:38.000 --> 51:47.000]  And they go on to say it's a good thing. Economist magazine, world government run by bankers. You'll pay your taxes to them. I thought none of that existed, but here it is.
[51:47.000 --> 52:01.000]  And so they're moving on all fronts to get rid of liberties, protest, freedoms, privacy, all over the world, from Australia to England, to the US, from Canada to Germany, worldwide standardized tyranny, freedom is being butchered.
[52:01.000 --> 52:10.000]  That's because the elite are getting ready to start World War III. They're moving on every front. They've got proxy wars in more than 14 countries right now, not to bring freedom.
[52:10.000 --> 52:24.000]  They don't care if you're a conservative, communist, socialist, liberal, Muslim, Christian, they don't care what your country is. If you're not fully owned by the bankers, you're going to have terrorist groups or rebel groups your neighbors attack you, or a coup d'etat.
[52:24.000 --> 52:34.000]  And it's all public. The Senate even admits it's all there. They have quarterly reports on it. I knew five years ago the US government was funding Al Qaeda to attack Iran.
[52:34.000 --> 52:44.000]  That's just been admitted in the last three months, because it was all there. It was all in press releases, two different elite think tanks, not for general consumption.
[52:44.000 --> 52:51.000]  The corporate horror media knows don't touch it, even though it's right there.
[52:51.000 --> 52:59.000]  Did you know the US government ran the amnesty movement pressure in Mexico on the US? That was actually in the Dallas Morning News five years ago.
[52:59.000 --> 53:04.000]  The point is, it's all staged, okay?
[53:04.000 --> 53:13.000]  And so last Tuesday or Wednesday, I see this video with like 30 million views. Now it's over 100 million, just one version of it called Coney 2012.
[53:13.000 --> 53:22.000]  And I go, look, it's funded by Bella Melinda Gates, funded by all these elitists, state departments involved, and they say, get Joseph Coney of the Lord's Resistance Army.
[53:22.000 --> 53:30.000]  And I'm like, that guy hadn't been seen in five years. He controls 200 square miles. That's smaller than Austin, Texas.
[53:30.000 --> 53:38.000]  That's smaller like Albuquerque, New Mexico. I mean, that's tiny up in the northern area of Uganda. It's rumored he may be in the country north of there or maybe dead.
[53:38.000 --> 53:46.000]  So why is there this giant total media push of this video and kids buying bracelets that say get Coney and have the UN arresting?
[53:46.000 --> 53:53.000]  And I went and did research just to confirm my first summation of it from the knowledge because it's so fun to research.
[53:53.000 --> 54:00.000]  I probably spent 30 hours the last five days researching it. I mean, just every facet. Bottom line, this is what's happening.
[54:00.000 --> 54:06.000]  The West has brought al-Qaeda in. They're planning to start a civil war like Libya, Syria, everywhere else.
[54:06.000 --> 54:12.000]  The current dictator they've got in place in Uganda has been connected to other regional genocides of more than 7 million people.
[54:12.000 --> 54:21.000]  That's not debated in the last 15 years. Rwanda Genocide came out of there. Hootsies, tutus, Hutus, all of it.
[54:21.000 --> 54:28.000]  A lot of you are like, why are you giving us all these terms and names? They're able to lie to you because you don't know all this, okay?
[54:28.000 --> 54:35.000]  So I see on national TV, it flashes to Hitler, Saddam bin Laden, and then Joseph Coney.
[54:35.000 --> 54:42.000]  Who is like an imaginary Yosemite Sam character? I mean, literally a nobody.
[54:42.000 --> 54:52.000]  And it's all about war. So Angelina Jolie, who supported the Libya war, the Syria attacks, Iran, the police state, the Serb war, all of it.
[54:52.000 --> 54:58.000]  She comes out and says, it's humanitarian. We've got to go get him arrested with the UN. That means military force.
[54:58.000 --> 55:06.000]  And there it is, expanded al-Qaeda into Uganda. There's the London Telegraph. And again, they bring the al-Qaeda in.
[55:06.000 --> 55:14.000]  That's the reason for the West to come in and get the, well, billions of barrels of oil total, 700 million just in the area.
[55:14.000 --> 55:19.000]  Coney's people are still at, whether he's alive or not. His loyal supporters.
[55:19.000 --> 55:26.000]  Trillions in rare earth minerals. Lithium, you name it. It's all there. Everything they need for computer chips.
[55:26.000 --> 55:37.000]  So it's like the Remington paintings to get us into the Spanish war in 1898, Spanish-American war.
[55:37.000 --> 55:48.000]  They just say, oh my gosh, there's a villain. We've got to invade and have the liberals who, in my experiences, there's more wars and more war mongering when the liberals are in than the so-called conservatives.
[55:48.000 --> 55:58.000]  And there's this giant push in the public schools through social media to have all the young kids giving money and crying and saying, Gil Coney and George Clooney comes out and all of them.
[55:58.000 --> 56:09.000]  Well, I'm going to say this. Clooney may be a useful idiot, I don't know, but I've studied Angelina Jolie enough to know that she is a UN delegate, a UN envoy.
[56:09.000 --> 56:16.000]  She's part of the Council on Foreign Relations that openly calls for genocide, world government in Africa. And she knows what she's doing.
[56:16.000 --> 56:29.000]  I've tracked her for about six years, and I can tell you unequivocally that by her measurement, because she's in the news saying, arrest Joseph Coney, invade to get Joseph Coney, who's like a phantom menace, like Ben Lawton.
[56:29.000 --> 56:38.000]  Nobody knows he's even alive. I can say under her criteria, and under the UN's criteria, she and the UN and all of them should be up for war crimes.
[56:38.000 --> 56:47.000]  And I have all the articles at infowars.com in the blurb and the video report I did, arrest Angelina Jolie for war crimes, Coney 2012.
[56:47.000 --> 56:52.000]  Listen to this, these are links to even the New York Times admitting all of this.
[56:52.000 --> 56:59.000]  Related, armed troops burned down homes, killed children to evict Ugandans in name of global warming in Uganda.
[56:59.000 --> 57:05.000]  Revealed, British corporation mass murders Ugandans in UN sanctioned land grab. That's what's going on there.
[57:05.000 --> 57:14.000]  They just want to say, we're looking for Coney and have a genocide of a few million more people, which goes on all the time, while all the so-called liberals are cheering it on.
[57:14.000 --> 57:31.000]  It's the evil global corporations that are anti-free market, the same ones butchering our bill of rights and constitution, that have us now financing a new war by the Nobel Peace Prize winner, Barack Hussein the Kenyan Obama, to now launch more wars.
[57:31.000 --> 57:40.000]  They got proxy wars going on all over the planet. That's all part of the joke of giving them a peace prize. War is peased directly out of 1984.
[57:40.000 --> 57:46.000]  So under their system, Angelina Jolie should be arrested for war crimes. I'm calling for it.
[57:46.000 --> 58:08.000]  People, Iran and the Middle East nuclear mass is already ballooning our gas prices. Whether you're struggling with food costs, which are being blown up by gas costs now, or know that when the Middle East showdown explodes, whatever food supply you have is all you'll get because of huge panic demand.
[58:08.000 --> 58:17.000]  E-Foods Direct Family Packs are the answer. Now the most affordable best food is saving you up to 50% compared to other poor quality food companies.
[58:17.000 --> 58:25.000]  The new Alex Jones Quick Fixed Family Pack saves you so much money, the savings from eating this food will actually help you pay your other bills.
[58:25.000 --> 58:38.000]  No matter what effect the Middle East crisis or the crashing economy have, you'll have food as delicious tonight as 25 years from now. Order now for 50% savings and free shipping on these affordable family packs.
[58:38.000 --> 58:50.000]  Call 800-409-5633 or efoodsdirect.com slash Alex. Call 800-409-5633 or efoodsdirect.com slash Alex.
[58:50.000 --> 59:02.000]  When you're out on the road, the last place you want to be is on the road. But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[59:02.000 --> 59:24.000]  There's a place down in Tennessee where they make blue diamond gusset jeans. They so pride in every stitch, guarantee you love the way they fit. They put a diamond gusset in the crotch where you need it most.
[59:24.000 --> 59:51.000]  Blue diamond gussets got it, others don't.
[59:51.000 --> 01:00:01.000]  Coast to coast, direct from Austin. You're listening to the Alex Jones Broadcasting Network.
[01:00:01.000 --> 01:00:13.000]  From his Central Texas Command Center deep behind enemy lines, the information war continues. It's Alex Jones and the GCN Radio Network.
[01:00:13.000 --> 01:00:26.000]  We are now in to our number two, and I'm going to give the number out to take phone calls. Are we ready, crew? To open the gate and let the callers come in.
[01:00:26.000 --> 01:00:38.000]  I'd like to hear from first-time callers. I do this at least once a week. Please be a first-time caller. I'd love to hear from you. 877-789-Alex. 877-789-2539.
[01:00:38.000 --> 01:00:45.000]  And I'd love to hear from you on the topics I've raised. You can bring up stuff. You can bring up any topic you want. We don't screen your calls.
[01:00:45.000 --> 01:00:55.000]  Sometimes when I've raised huge topics like a media blackout on the impeachment of Obama begun in the House and Senate for high treason selling out our military and country to the UN.
[01:00:55.000 --> 01:01:02.000]  I can't believe I just said that. I mean, that's not rhetoric or hyperbole. That really is happening with no attention.
[01:01:02.000 --> 01:01:11.000]  We've got new wars they're gearing up for in Africa. U.S. troops are already there. African with all these so-called peaceniks running around who really just want mass murder.
[01:01:11.000 --> 01:01:20.000]  We've got protesting being banned. We've got all sorts of crazy rulings. One-year anniversary of Fukushima with the system saying everything's fine.
[01:01:20.000 --> 01:01:28.000]  Building more reactors everywhere. Reactors all 9 out of 10 leaking. I mean, it's twilight zone level. I mean, I just want a good future.
[01:01:28.000 --> 01:01:33.000]  I want my family to have a good future. I want you to do well. But the globalists think the planet's theirs.
[01:01:33.000 --> 01:01:40.000]  They've stolen it through fraud and derivatives and money laundering and drug dealing and fractional reserve, money changer garbage.
[01:01:40.000 --> 01:01:47.000]  And now they just want us out of the way. Well, you know what? I'm not going to just go quietly into the night.
[01:01:47.000 --> 01:01:54.000]  There's those that are blissfully ignorant. There's those that make the decision to serve evil. There are those that are actually running the evil.
[01:01:54.000 --> 01:02:03.000]  There are those that are scared of the evil and decide to grovel. And then there are those of us that are aware of what's happening and realize life's only lived once and meant to be lived the fullest.
[01:02:03.000 --> 01:02:09.000]  And that means resisting evil. I'm so fulfilled. I can't believe how fulfilled I am.
[01:02:09.000 --> 01:02:21.000]  Every moment is an explosion of thought and understanding and anger and rage and love and compassion and focus and confusion and exhilaration and pain and anguish and humiliation.
[01:02:21.000 --> 01:02:29.000]  And just the dynamic human spirit, every palette, every color, every flavor, every smell, show alive, show real, so true.
[01:02:29.000 --> 01:02:36.000]  And I look at timid souls who don't get in the arena and I just feel sorry for you. That's all I can say to you.
[01:02:36.000 --> 01:02:41.000]  And there are a lot of you out there that say, oh, Alex, you think you're smart. You're not smart. Are we going into tyranny?
[01:02:41.000 --> 01:02:46.000]  Is world government being announced? Is all this craziness happening? Okay, great. I'm sure you are smarter than me.
[01:02:46.000 --> 01:02:52.000]  Mr. Know It All out there. I know they're people smarter than I am. They're people out there a lot tougher than me.
[01:02:52.000 --> 01:02:57.000]  But let me tell you something. You come up and punch me in the nose. I'm going to come up swinging.
[01:02:57.000 --> 01:03:01.000]  That's the difference. I'll take action. What are you doing?
[01:03:01.000 --> 01:03:06.000]  I see these comments about Alex doesn't have all the answers. Yeah, stuff's bad. But what is he going to do?
[01:03:06.000 --> 01:03:12.000]  I don't know what I'm going to do. I'm asking you. I got respect in you. I believe in you.
[01:03:12.000 --> 01:03:18.000]  And I believe that when I cover scary topics like this, you're not going to get scared by it. You're going to get angry and take action.
[01:03:18.000 --> 01:03:24.000]  I keep thinking there are better men and women than me out there. You got me wrong. I'm not arrogant.
[01:03:24.000 --> 01:03:33.000]  I'm confident in a mission I've got to perform. I'm confident. There's a difference between being arrogant and being confident.
[01:03:33.000 --> 01:03:36.000]  And I'm confident because I'm doing the best I can.
[01:03:36.000 --> 01:03:43.000]  In the final equation, I know just how weak and human and mortal I am. But you know what? I got guts and guts is enough.
[01:03:43.000 --> 01:03:51.000]  What are you doing to fight evil? I'm challenging you right now. I'm not putting you down. I'm saying I know you can do a lot.
[01:03:51.000 --> 01:03:57.000]  I know you've got answers and angles and skills I don't have. So let's see you step up to the plate right now.
[01:03:57.000 --> 01:04:04.000]  That's what I'm looking for. I'm looking for people out there of wealth and people out there of skill and beauty
[01:04:04.000 --> 01:04:08.000]  and creativity with different gifts that I don't have to step up to the plate.
[01:04:08.000 --> 01:04:14.000]  I can't do this alone. People say I'm glad Alex Jones is out there fighting this. I'm here to get you moving against tyranny.
[01:04:14.000 --> 01:04:23.000]  I'm here to get you awake. I'm here to get you to realize that it's not just that we don't have a future if we don't beat this.
[01:04:23.000 --> 01:04:28.000]  That's true. But this is what life's all about is the animating contest of liberty.
[01:04:28.000 --> 01:04:34.000]  If you rebut the Founding Fathers has said, Thomas Jefferson, Benjamin Franklin, George Washington,
[01:04:34.000 --> 01:04:52.000]  Thomas Payne, Patrick Henry, Sam Adams, John Adams, Hancock, John Hancock.
[01:04:52.000 --> 01:04:59.000]  History is happening right now. Calling all liberty lovers. Defend humanity.
[01:04:59.000 --> 01:05:07.000]  A little over a year ago, I began to do a lot of research into why, even if I had a pretty good sized meal, that I was still starving.
[01:05:07.000 --> 01:05:13.000]  And my research led me to a well-known fact that most of the soils that we grow our crops on here in the United States
[01:05:13.000 --> 01:05:20.000]  and across the industrialized world are almost completely depleted of almost all of the key minerals and trace elements
[01:05:20.000 --> 01:05:24.000]  that our bodies need to rebuild themselves, fight off cancer, and be healthy.
[01:05:24.000 --> 01:05:30.000]  I then searched out the best vitamin and mineral company out there and discovered Young Jevity.
[01:05:30.000 --> 01:05:38.000]  The Young Jevity products are designed to give you the real nutrition you need, and once you've got that, you don't have to eat as much to be satisfied.
[01:05:38.000 --> 01:05:45.000]  I've lost 37 pounds in two months simply getting the vitamins and minerals I need.
[01:05:45.000 --> 01:05:53.000]  Check it out for yourself. It's incredible. Go to InfowarsTeam.com today and order your first canister of Beyond Tangy Tangerine
[01:05:53.000 --> 01:06:19.000]  complete multivitamin mineral complex dietary supplement. That's InfowarsTeam.com.
[01:06:23.000 --> 01:06:35.000]  I'm here live Monday through Friday 11 a.m. to 2 p.m. Central.
[01:06:35.000 --> 01:06:44.000]  Then back Sundays 4 to 6, weeknights, 7 p.m. Central, Infowars Nightly News, and InfowarsNews.com.
[01:06:44.000 --> 01:06:53.000]  Okay, if you just joined us, I covered the fact that impeachment against Barack Hussein, whoever he is, Barry Sataro, Obama,
[01:06:53.000 --> 01:07:00.000]  has been introduced for treason and high crimes and misdemeanors, openly announcing in public statements and letters
[01:07:00.000 --> 01:07:07.000]  and in the directives of the Secretary of Defense that the Congress no longer commissions officers or is over war,
[01:07:07.000 --> 01:07:14.000]  but that the United Nations directs the President of the United States, and we've played the videos, the audios.
[01:07:14.000 --> 01:07:22.000]  It's all public. The articles are at Infowars.com. It's H. Con Rez 107 at Library of Congress,
[01:07:22.000 --> 01:07:31.000]  but no corporate prostitute, dinosaur, sellout, trader media has covered it.
[01:07:31.000 --> 01:07:38.000]  And they've not covered a lot of other really important stories that are going on. And this is my real frustration.
[01:07:38.000 --> 01:07:40.000]  I'm going to go to your phone calls and to our guest.
[01:07:40.000 --> 01:07:46.000]  I am sick and tired of watching global mega corporations that have overthrown Europe through corporate takeovers.
[01:07:46.000 --> 01:07:54.000]  That's what the new ruler is. Corporate takeover of government of the biggest 100 economies over 50 year corporations.
[01:07:54.000 --> 01:07:59.000]  They have intelligence groups, hit men, everything. People have gone public on this.
[01:07:59.000 --> 01:08:05.000]  John Perkins, Confessions of an Economic Hitman, he was taking orders from the Pentagon to go overthrow countries economically.
[01:08:05.000 --> 01:08:09.000]  And if they wouldn't take the money, they'd send in the black ops to assassinate leaders.
[01:08:09.000 --> 01:08:18.000]  And this isn't done for America. We pay for it. And then the global consortiums create monopolies and overcharge everybody.
[01:08:18.000 --> 01:08:23.000]  We pay for the empire and then we get all the hatred for the empire, our names on it.
[01:08:23.000 --> 01:08:27.000]  And then now the empire is doing the same stuff they've done in the third world to us.
[01:08:27.000 --> 01:08:31.000]  Passing laws and regulations to shut down small farms and businesses.
[01:08:31.000 --> 01:08:36.000]  It's on. It's called a Gen 21. Now we can easily say no to this.
[01:08:36.000 --> 01:08:44.000]  This is so criminal, so brazen, so naked, so over the top that the government's announcing they'll secretly arrest citizens for no reason and disappear you.
[01:08:44.000 --> 01:08:48.000]  That they're announcing they'll pull you over and download your phone without a warrant.
[01:08:48.000 --> 01:08:53.000]  Crazy that they're announcing the UN commands our military off the charts.
[01:08:53.000 --> 01:08:58.000]  I mean, the senators last week were like, I'm almost breathless. That's not true.
[01:08:58.000 --> 01:09:05.000]  Article one, Section 8, Clause 11, and the Secretary of Defense, Sack Def said, no, we take orders from the UN now.
[01:09:05.000 --> 01:09:11.000]  And the generals all behind them gave hateful looks at the Senate because they're in control.
[01:09:11.000 --> 01:09:16.000]  It's like Caesar took over Rome. It's happened if they get away with it.
[01:09:16.000 --> 01:09:19.000]  And it looks like they will because they've got the traitor media.
[01:09:19.000 --> 01:09:24.000]  This will not be covered unless you force it out there and they know we can force it out there.
[01:09:24.000 --> 01:09:27.000]  So they're moving openly now to start censoring the Internet.
[01:09:27.000 --> 01:09:29.000]  All right, let's stop right there.
[01:09:29.000 --> 01:09:35.000]  We've got Rick, Martin, Sean, Brian, Joey, Roger, Stacy, Alexander, Karen and others holding.
[01:09:35.000 --> 01:09:38.000]  That's probably enough calls, but I just gave out the number.
[01:09:38.000 --> 01:09:43.000]  It is 877-789-2539 first time callers today.
[01:09:43.000 --> 01:09:45.000]  Please have your question and comment.
[01:09:45.000 --> 01:09:49.000]  I think we're going to have a lot of time ahead of Greg Pallas coming up.
[01:09:49.000 --> 01:09:55.000]  Again, I've never talked about Angelina Jolie with all her Illuminati Tomb Raider garbage and all her Kabbalah tattoos
[01:09:55.000 --> 01:10:00.000]  and all her stuff and running around the world, you know, taking people's kids and all this.
[01:10:00.000 --> 01:10:05.000]  But I've watched her now push and say it's liberal and trendy to attack Libya and wreck that country
[01:10:05.000 --> 01:10:10.000]  and racial genocide against the Black Libyans and put Al Qaeda in charge.
[01:10:10.000 --> 01:10:12.000]  No fan of Qaddafi, but he made deals with the West.
[01:10:12.000 --> 01:10:13.000]  Look what happened to him.
[01:10:13.000 --> 01:10:15.000]  They're attacking Assad of Syria, bringing in Al Qaeda.
[01:10:15.000 --> 01:10:19.000]  They overthrew the old dictator of the U.S. backed and put in Muslim Brotherhood.
[01:10:19.000 --> 01:10:22.000]  Women are wearing burqas, no free speech now in Egypt.
[01:10:22.000 --> 01:10:24.000]  They're using Al Qaeda against Iran.
