[00:00:00.269 --> 00:00:01.710]  Okay, last time.
[00:24:21.373 --> 00:24:22.333]  It was the American people.
[00:24:22.333 --> 00:24:24.394]  So I forgot to tell you, text Roger real quick.
[00:24:24.394 --> 00:24:26.936]  He's on his way to the airport, but he can call in next segment.
[00:24:28.288 --> 00:24:35.794]  So that's all coming up, and then the whole second hour I will go through all of this and try to break down just where we are historically, but here's the deal.
[00:24:35.794 --> 00:24:42.339]  I'm going to wait until Roger's gone after the next segment to get into this, because it's got to be done right.
[00:24:42.339 --> 00:24:47.143]  I did it in the first and second segment if you just tuned in, but I don't think I really did it justice here.
[00:24:47.143 --> 00:24:50.326]  I mean, this isn't me hyping this.
[00:24:50.326 --> 00:24:54.049]  There are thousands of articles this week
[00:24:55.475 --> 00:25:07.082]  into this Sunday saying ban info wars and then you read from the tech meetings with the so-called journalists and with the so-called journalism professors all discussing how to kill free speech.
[00:25:07.082 --> 00:25:13.586]  So you go to major universities today to learn how to strangle speech and how to create cult members.
[00:25:13.586 --> 00:25:19.650]  You've all seen Missouri State and Evergreen College and Washington and all the videos.
[00:25:19.650 --> 00:25:20.491]  Yale, Harvard,
[00:25:23.888 --> 00:25:27.974]  Where they say, no whites allowed on the campus today.
[00:25:27.974 --> 00:25:36.768]  And then an Asian reporter shows up with his camera that goes to the school as part of the newspaper and a white woman walks over and says, get me muscle, no whites allowed!
[00:25:36.768 --> 00:25:38.851]  She means white men.
[00:25:40.669 --> 00:25:44.290]  Or Evergreen saying, no whites allowed this weekend.
[00:25:44.290 --> 00:25:46.051]  Or, remember, you know, Yale.
[00:25:46.051 --> 00:25:56.835]  You've got the liberal professor who's a real liberal going, now, it may hurt you there's Halloween parties and that people dress up as different things, but cultural appropriation's not bad.
[00:25:56.835 --> 00:26:00.737]  It's like they told my younger daughter.
[00:26:01.786 --> 00:26:10.912]  When she was at a retreat, school camp retreat, they said, listen, don't call that a Chinese fortune flower.
[00:26:10.912 --> 00:26:16.015]  Little girls write the things and they sit there and you pick a color, you pick a number, and then they write a fortune in it.
[00:26:16.015 --> 00:26:17.777]  Everybody remembers that?
[00:26:17.777 --> 00:26:18.797]  It's so cute.
[00:26:18.797 --> 00:26:20.338]  They make them with construction paper.
[00:26:20.338 --> 00:26:21.919]  Don't call it Chinese.
[00:26:21.919 --> 00:26:23.801]  Don't call the Chinese New Year Chinese.
[00:26:23.801 --> 00:26:24.921]  Call it Asian.
[00:26:24.921 --> 00:26:27.023]  Just saying Chinese is hurtful.
[00:26:27.023 --> 00:26:30.225]  Whoever said that, it's their New Year, their calendar, 4,000 years old.
[00:26:32.046 --> 00:26:47.675]  It's like saying the Roman alphabet, or the Sumerian text, or the Egyptian hieroglyphs, or Newton's apple, or German, or English, or Russian, or Spanish, or Aztec, or Mayan.
[00:26:47.675 --> 00:26:51.938]  It's something they invented.
[00:26:51.938 --> 00:26:55.700]  Like calling beautiful horses from Persia, Persian horses.
[00:26:57.705 --> 00:26:59.765]  It's a war on language!
[00:26:59.765 --> 00:27:03.766]  They know what they're doing, where all you know is superstition and are scared of words!
[00:27:03.766 --> 00:27:16.869]  I'll never forget, like five years ago, I'm laying by Barton Springs, this big natural pool here in Austin, and I watch a Mexican and a white guy jump in the pool, and I go, man, they could tell they were super stoned.
[00:27:16.869 --> 00:27:20.230]  They're like, dude, I want Chinese food!
[00:27:20.230 --> 00:27:22.970]  The Hispanic guy did.
[00:27:22.970 --> 00:27:25.471]  And the white dude goes, man, that's racist!
[00:27:26.852 --> 00:27:30.375]  And he goes, oops, sorry!
[00:27:30.375 --> 00:27:40.444]  Saying, I want Chinese food, I want Mexican food, I want Italian food, I want southern cooking, I want soul food, I want, I want it, I want Japanese steakhouses.
[00:27:40.444 --> 00:27:43.406]  This is the, this is on purpose!
[00:27:43.406 --> 00:27:46.929]  Where every language, every word, everything is bad.
[00:27:46.929 --> 00:27:50.052]  This is mental illness.
[00:27:50.052 --> 00:27:52.454]  This is insanity.
[00:27:52.454 --> 00:27:54.336]  And this has got to stop.
[00:27:55.438 --> 00:28:00.962]  They want to totally bully you until you say and do and act however they want.
[00:28:00.962 --> 00:28:13.072]  And they've now announced hearings on... The way they've got the hearings, even though it's bipartisan, is we need to look at fake news and stuff on the big social networks.
[00:28:13.072 --> 00:28:24.060]  And then you've got these Republicans who don't even know what planet they're on, not know what's going on, and the Democrats are in there openly saying, ban info wars, and then you read all the news articles they go, and then everybody else we disagree with.
[00:28:25.023 --> 00:28:27.585]  It says anyone that's a conspiracy theorist or racist.
[00:28:27.585 --> 00:28:30.587]  They define Trump as all that.
[00:28:30.587 --> 00:28:31.388]  They're the liars.
[00:28:31.388 --> 00:28:32.409]  They're the fake news.
[00:28:32.409 --> 00:28:36.131]  And they're coming because they can't win a debate to shut us down.
[00:28:36.131 --> 00:28:39.394]  If we mobilize and expose this, it'll be their Waterloo.
[00:28:39.394 --> 00:28:40.995]  But we've got to mobilize against it.
[00:28:40.995 --> 00:28:41.695]  We'll be back.
[00:28:52.715 --> 00:29:04.321]  Choose to take control of your chemistry with Survival Shield X2 and BioTrue Selenium.
[00:29:04.321 --> 00:29:08.683]  This powerful combo is perfect for supporting your thyroid and health.
[00:29:08.683 --> 00:29:15.967]  BioTrue Selenium's formula is far from synthetic and is made from a source of 100% organic mustard seed.
[00:29:15.967 --> 00:29:18.148]  Our super high quality nascent iodine
[00:29:18.388 --> 00:29:24.592]  is an essential mineral sourced of 99.99% ultra-pure deep earth iodine crystals.
[00:29:24.592 --> 00:29:32.376]  This essential mineral is necessary in order to produce thyroid hormones which influence every cell, tissue, and organ in the body.
[00:29:32.376 --> 00:29:39.280]  With inadequate thyroid hormones you may experience slow metabolism, lethargy, weight gain, and overall brain fog.
[00:29:39.640 --> 00:29:45.883]  Survival Shield X2 and BioTrue Selenium work together to support the systems in your body.
[00:29:45.883 --> 00:29:49.704]  Take control of your chemistry today with this super combo.
[00:29:49.704 --> 00:29:58.748]  Discover the power of Survival Shield X2 and BioTrue Selenium at InfoWarsLife.com.
[00:29:58.748 --> 00:30:06.472]  Do you realize that when you spread the links from InfoWars.com, when you spread the videos, you are changing the world?
[00:30:06.472 --> 00:30:06.932]  It's you
[00:30:08.038 --> 00:30:10.519]  That's why you've been on the team supporting us, praying for us, and spreading the word.
[00:30:10.519 --> 00:30:11.919]  You are the InfoWarrant.
[00:30:11.919 --> 00:30:14.820]  And now because of their intensifying censorship, it's more important than ever
[00:30:29.185 --> 00:30:40.571]  Let everyone go to Infowars.com forward slash newsletter and sign up via email so there's no way the censors can get between us with critical videos, articles, breaking news, intel, you name it.
[00:30:40.571 --> 00:30:48.534]  And so now I ask you more than ever to share the Infowars.com articles, to share the videos, to tell people about the local stations you're listening to.
[00:30:48.534 --> 00:30:55.578]  The bare minimum you can do is sign up for the free newsletter at Infowars.com forward slash newsletter.
[00:30:55.578 --> 00:30:58.319]  We are the renaissance and we are winning.
[00:30:58.559 --> 00:31:02.680]  We all know that the outside toxins in the water is a serious health issue.
[00:31:02.680 --> 00:31:09.742]  InfoWars is proud to sell incredible filters, but it's almost impossible to keep up with every faucet, shower, and sink in your home.
[00:31:09.742 --> 00:31:14.564]  That's why we're bringing you something to provide clean water for your whole house with one system.
[00:31:14.564 --> 00:31:21.446]  The Pro-Pure Whole House Water Filtration System is an advanced four-stage compact filtration system
[00:31:21.886 --> 00:31:27.889]  That will provide water filtration for your entire home, removing 220 plus contaminants from your water.
[00:31:27.889 --> 00:31:37.033]  It's compact in size, easy to install and maintain, and keeps fluoride and other dangerous toxins out of your water supply and away from you and your family.
[00:31:37.473 --> 00:31:44.936]  With its broad-spectrum contaminant reduction, you'll only need this one filter for clean and refreshing water all over your home.
[00:31:44.936 --> 00:31:57.700]  Head to infowarrestore.com and whether it's your first water filtration purchase or you're looking to replace your current rundown systems, it's time to go big and go home with the Pro-Pure Whole House Filtration System today.
[00:32:01.108 --> 00:32:10.531]  One of the most incredible cups of coffee can be found in the high mountains of southern Mexico, where the Chiapas farmers have spent years perfecting their techniques.
[00:32:10.531 --> 00:32:21.953]  Based on hundreds of years of traditional techniques and perfect conditions, we've sourced only the best to provide you with our immune support and Wake Up America Patriot Blend Coffee.
[00:32:21.953 --> 00:32:27.635]  Ancient Mayan knowledge is paired with the natural fertility of the land to generate the world's finest coffee beans.
[00:32:27.915 --> 00:32:39.362]  Carefully harvested and free of toxic chemicals used in big agricultural productions, Patriot Blend coffees have a smooth, bold flavor with great depth to give you just what you need in the morning.
[00:32:39.362 --> 00:32:47.567]  You can even choose to start your morning healthier with the Immune Support Blend, infused with a powerful blend to support your immune response and stamina.
[00:32:47.567 --> 00:32:50.048]  It's time to take care of your morning routine.
[00:32:50.048 --> 00:32:55.751]  Get a bag of Patriot Blend coffee to support the show while enhancing your morning routine at InfoWarsStore.com.
[00:33:01.974 --> 00:33:04.575]  You're listening to The Alex Jones Show!
[00:33:20.991 --> 00:33:25.214]  Big Brother, mainstream media, government cover-ups.
[00:33:25.214 --> 00:33:27.515]  You want to stop tyranny?
[00:33:27.515 --> 00:33:29.156]  Well, so does he.
[00:33:29.156 --> 00:33:39.942]  Live from the InfoWars.com studios, it's Alex Jones.
[00:33:39.942 --> 00:33:50.428]  Alright, Roger Stone is driving to the airport right now, but we're getting him on the line.
[00:33:52.768 --> 00:34:05.738]  He has been told, and he's read over the indictment, and it doesn't say his name, but clearly they're talking about him, that he is tied into the case against 12 Russians.
[00:34:05.738 --> 00:34:07.540]  They're claiming are intelligence operatives.
[00:34:07.540 --> 00:34:19.870]  Now, Rod Rosenstein, who's about to get impeached by the House of Representatives and the Senate, he made it clear that we have no evidence any US citizens were involved with Russia trying to hack the election.
[00:34:19.870 --> 00:34:20.991]  But remember, they already
[00:34:22.478 --> 00:34:39.250]  Indicted 13 bots from Russian PR companies and then when the Russians showed up to court a few months ago, showing that 80% of their funding, which we already knew, was from the Democratic Party and that we're just a PR firm.
[00:34:40.131 --> 00:34:45.414]  And that during any election, there are PR firms in England, in Europe, in Russia, in Japan.
[00:34:45.414 --> 00:34:48.396]  People use those to get around campaign finance laws.
[00:34:48.396 --> 00:34:52.898]  There's a little bit of hanky-panky going on, but Hillary had 80% of the money.
[00:34:52.898 --> 00:35:00.222]  So, surprise, surprise, 80% of the spending, roughly, was Hillary's.
[00:35:00.222 --> 00:35:05.645]  So, that's why they've got a big problem with this whole Russiagate thing, because it's Mueller on the tarmac!
[00:35:09.312 --> 00:35:22.795]  For Obama and Hillary, for Hillary's State Department, when she was doing the Uranium One deal eight years ago, giving them super weapons-grade uranium sample of what they were going to be buying if they gave Hillary a couple hundred million dollars.
[00:35:22.795 --> 00:35:34.598]  I mean, look, if Trump was on tarmacs, giving people weapons-grade uranium as a sample to sell out 25% of our strategic stockpiles, I'd say send his butt to prison.
[00:35:34.598 --> 00:35:36.138]  And that's what's so crazy is,
[00:35:37.523 --> 00:35:43.986]  Mueller and Comey and the Clintons are literally on the Russian tatas.
[00:35:43.986 --> 00:35:45.967]  They're on the Russian mammary glands.
[00:35:45.967 --> 00:35:48.609]  I mean, they are on them, baby.
[00:35:48.609 --> 00:35:51.970]  They are making biscuits.
[00:35:51.970 --> 00:35:52.951]  They are getting the milk.
[00:35:54.076 --> 00:35:56.998]  And they were also getting it from the Chinese and everybody else.
[00:35:56.998 --> 00:35:59.640]  I mean, that's what... To be a Democrat is to hate America and sell it out.
[00:35:59.640 --> 00:36:00.481]  Everybody knows that.
[00:36:00.481 --> 00:36:03.023]  They're the ones always selling out our missile secrets and everything else.
[00:36:03.023 --> 00:36:04.124]  They're the ones that hate America.
[00:36:04.124 --> 00:36:06.045]  They're the ones that... They have the Ninth Circuit rule.
[00:36:06.045 --> 00:36:11.229]  You can't wear American flags in public in all those Western states.
[00:36:11.229 --> 00:36:13.030]  Seriously, look it up.
[00:36:13.030 --> 00:36:14.972]  They're hurtful and symbols of hate.
[00:36:14.972 --> 00:36:17.754]  The Democratic Party wants the American flag banned!
[00:36:19.110 --> 00:36:24.795]  Remember Trump after Charlottesville, he said, if they want to take down the Confederate flag, next they'll want to take down the American flag.
[00:36:24.795 --> 00:36:32.422]  And the next week they said, yeah, we want it taken down too!
[00:36:32.422 --> 00:36:41.250]  So, you cannot make this up.
[00:36:41.250 --> 00:36:42.551]  Let me give you a cell phone number.
[00:36:43.695 --> 00:36:45.856]  Because I'll just abort if he can't get on.
[00:36:45.856 --> 00:36:46.417]  It's no big deal.
[00:36:46.417 --> 00:36:51.019]  We know about the case, but I can't play footsie for an hour and a half on air with him to get him on.
[00:36:51.019 --> 00:36:54.201]  Because I've got to cover this attack on the First Amendment, man.
[00:36:54.201 --> 00:37:04.968]  That is the big, gigantic, mega-sized enchilada out in front of everybody, and they have an exact public plan to get rid of the First Amendment.
[00:37:04.968 --> 00:37:09.271]  They admit using InfoWars and WikiLeaks, by the way.
[00:37:09.271 --> 00:37:11.532]  Four months ago, the Wall Street Journal
[00:37:13.234 --> 00:37:23.711]  Four months ago, the Wall Street Journal came out, and remember everybody else picked it up and had the headline, hold on to your tinfoil hat, YouTube is coming for Alex Jones.
[00:37:23.711 --> 00:37:24.212]  And they said,
[00:37:25.489 --> 00:37:35.375]  Well, I'm the new CEO since they sold or selling News Corp to Disney, or splitting it up, and we don't want other people on the internet.
[00:37:35.375 --> 00:37:36.975]  We just want big companies.
[00:37:36.975 --> 00:37:50.903]  And so we're going to set the precedent with Alex Jones and WikiLeaks, and once we've banned them as fake news, then we're going to ban everybody else from having their own platforms, and you'll only get maybe a hundred different things on your internet.
[00:37:50.903 --> 00:37:53.745]  Now, this is a public statement.
[00:37:56.095 --> 00:37:58.356]  Then it started.
[00:37:58.356 --> 00:38:03.918]  CNN misrepresenting what I've said.
[00:38:03.918 --> 00:38:05.579]  What I've done.
[00:38:05.579 --> 00:38:07.280]  Saying I said nobody died at Parkland.
[00:38:07.280 --> 00:38:08.720]  No video of that.
[00:38:08.720 --> 00:38:10.201]  Saying I said there were crisis actors.
[00:38:10.201 --> 00:38:14.002]  No video of that.
[00:38:14.002 --> 00:38:15.783]  And then they ban our YouTube channel.
[00:38:15.783 --> 00:38:18.564]  And then we upload to our own site what I really said.
[00:38:18.564 --> 00:38:19.885]  And I said no such thing.
[00:38:22.259 --> 00:38:30.207]  And so they had to reinstate it, and Bloomberg said, oh, there was a mutiny at YouTube of the Southern Poverty Law Center people they hired to ban Alex Jones.
[00:38:30.207 --> 00:38:31.828]  Yeah, you can't make this up.
[00:38:31.828 --> 00:38:37.554]  The Southern Poverty Law Center.
[00:38:37.554 --> 00:38:37.874]  20,000 people.
[00:38:37.874 --> 00:38:39.316]  They got a half billion dollars offshore.
[00:38:40.834 --> 00:38:59.304]  To go and have interfaces on every major web tech site, and then to ban, not just me, but everybody else, and they admit in all these articles, it's coming up next segment, I'm gonna read you the quotes, that they, Facebook and Google said to them at these conferences with CNN, they said, shut up, idiots!
[00:38:59.304 --> 00:39:02.326]  We are already censoring InfoWars.
[00:39:02.326 --> 00:39:06.028]  We are already censoring 80% of the posts of conservatives across the board.
[00:39:07.312 --> 00:39:13.237]  They're gonna have racketeering suits and free speech suits and antitrust suits on us if we completely ban them!
[00:39:13.237 --> 00:39:16.380]  They don't know they're banned!
[00:39:16.380 --> 00:39:17.081]  I do!
[00:39:17.081 --> 00:39:22.185]  Project Veritas got the video eight months ago with the executives going, we've already banned them, they don't know it!
[00:39:22.185 --> 00:39:23.886]  The dumb hicks!
[00:39:23.886 --> 00:39:25.067]  And he goes, what's a hick?
[00:39:25.067 --> 00:39:31.193]  Anybody promoting troops, police, or national sovereignty, or the American flag!
[00:39:31.193 --> 00:39:32.514]  Well who's your number one enemy?
[00:39:32.514 --> 00:39:33.335]  Alex Jones!
[00:39:37.105 --> 00:39:41.808]  I've been sitting here telling you this, and now they're publicly doing it!
[00:39:41.808 --> 00:39:57.158]  And the crazy people at CNN are so out of control, and the Washington Post, the New York Times, and thousands of others, LA Times, New Yorker Magazine, they're like, just ban him completely and arrest his ass!
[00:39:57.158 --> 00:39:59.019]  Sue him into oblivion!
[00:39:59.019 --> 00:40:01.280]  For our Nazi collaborator, God George Soros.
[00:40:01.280 --> 00:40:04.382]  Alright, let's go to Roger Stone, we got him on the line.
[00:40:06.360 --> 00:40:08.406]  We can see the multi-faceted attack.
[00:40:08.406 --> 00:40:11.755]  Demonize us, misrepresent us, de-platform us, sue us.
[00:40:13.314 --> 00:40:20.197]  And then go to Congress and try to bamboozle a bunch of tech-ignorant Republicans that, oh, we're just ratcheting back all the fake news.
[00:40:20.197 --> 00:40:20.717]  No, they're not.
[00:40:20.717 --> 00:40:26.379]  They let Democrats threaten to let Keith Overman to murder anyone they want and to put out lies about all of us.
[00:40:26.379 --> 00:40:32.242]  This is the war for this country, and the president needs to learn how serious it is and bust up these trusts.
[00:40:32.242 --> 00:40:36.624]  And we're sending reports to Congress and the president tomorrow that are bombshell.
[00:40:37.611 --> 00:40:48.178]  Bombshell, Stone, and of course on top of it, you got Mueller, the literal bagman with uranium to the Russians, breathing down your neck with a whole new flotilla of fake indictments.
[00:40:48.178 --> 00:40:50.600]  Roger Stone, joining us.
[00:40:50.600 --> 00:40:52.141]  Well, Alex, you're absolutely right.
[00:40:52.141 --> 00:40:55.163]  It's a veritable war of censorship.
[00:40:55.163 --> 00:40:59.746]  They fear info wars, because we're the cutting edge.
[00:40:59.746 --> 00:41:00.867]  We are the tip of the spear.
[00:41:01.730 --> 00:41:11.680]  And there's no doubt in my mind that a crucial element of their plan for a silent coup against Donald Trump is to silence InfoWars.
[00:41:11.680 --> 00:41:16.504]  Because we go where no one else fears to, you know, dares go.
[00:41:16.504 --> 00:41:19.727]  And that's why it's a three-step process.
[00:41:19.727 --> 00:41:25.653]  Take away our First Amendment rights, ban InfoWars on the internet, take away our Second Amendment rights,
[00:41:26.641 --> 00:41:40.986]  Take away our First Amendment rights, take away our Second Amendment rights, and then stage a silent coup on Donald Trump, either through impeachment, based on some trumped-up charges, or the 25th Amendment.
[00:41:40.986 --> 00:41:44.867]  What you first predicted a year and a half ago, everything you've said has happened by the numbers.
[00:41:44.867 --> 00:41:47.868]  What's going to happen next, Roger?
[00:41:47.868 --> 00:41:49.469]  Well, it's very interesting.
[00:41:49.469 --> 00:41:55.731]  It appears to me that the indictment of the 15 Russians is largely for public relations
[00:41:57.352 --> 00:41:57.572]  I think?
[00:42:14.668 --> 00:42:21.792]  For the special counsel, and I think it's meant to crop up, is sagging public opinion.
[00:42:21.792 --> 00:42:24.293]  And I should have started the interview with this.
[00:42:24.293 --> 00:42:31.097]  Clearly he's about to meet with Putin on Monday, tomorrow, so they released this big, giant fart in church on Friday to obscure that.
[00:42:33.115 --> 00:42:37.439]  Yeah, they undercut the President of the United States while he's out of the country.
[00:42:37.439 --> 00:42:38.800]  It's really outrageous.
[00:42:38.800 --> 00:42:40.441]  I know you've got to go.
[00:42:40.441 --> 00:42:41.262]  I know you've got to go.
[00:42:41.262 --> 00:42:43.104]  Just come back and finish up on this on the other side.
[00:42:43.104 --> 00:42:44.645]  Oh, you're about to be at the airport.
[00:42:44.645 --> 00:42:46.827]  We've got Roger Stone with us.
[00:42:46.827 --> 00:42:52.272]  One of the top stories in the country is this new ridiculous fake indictment of these keyboard elves that don't exist.
[00:42:52.272 --> 00:42:53.092]  12 indicted.
[00:42:53.092 --> 00:42:53.633]  We'll be right back.
[00:42:58.271 --> 00:43:00.592]  Fueling your body is hard work.
[00:43:00.592 --> 00:43:06.376]  That's why we've introduced the InfoWars Life Daily Digestive Pack to help you fuel it right.
[00:43:06.376 --> 00:43:14.801]  Combine FloraLife Everyday Maintenance and Carnivore to help you fuel your gut and body and take advantage of the powerful nutrients you receive.
[00:43:14.801 --> 00:43:17.023]  There's no better way to power your body.
[00:43:17.543 --> 00:43:24.448]  Floralife is a powerful probiotic supplement with 20 of the most potent clinically studied probiotic strains.
[00:43:24.448 --> 00:43:34.915]  When paired with Carnivore, our incredible enzyme formula that helps you break down nutrients, these formulas fuel your gut and your body to help you fight toxins and stay fueled all day.
[00:43:35.595 --> 00:43:43.043]  These incredible formulas can help keep your body in tip-top shape in the fight against stress, age, and outside toxins.
[00:43:43.043 --> 00:43:49.209]  There's no better time to try Floralife and Carnivore to see how well they can support your body.
[00:43:49.209 --> 00:43:53.052]  Don't miss out on the chance to fuel your body and support recovery.
[00:43:53.052 --> 00:43:56.196]  Try the InfoWars Life Daily Digestive Pack today!
[00:43:57.867 --> 00:44:17.831]  I want to plow into all of this, but I'm going to spend a few minutes here first, just encouraging listeners to understand that when you buy t-shirts, or water filtration systems, or books, or videos, or other materiel from InfoWarsTore.com, you are funding the revolution.
[00:44:17.831 --> 00:44:19.952]  I mean, I cannot say it any clearer.
[00:44:19.952 --> 00:44:23.953]  And so it is essential that you purchase the products at InfoWarsTore.com.
[00:44:23.953 --> 00:44:24.973]  And I want to thank everybody that has.
[00:44:25.393 --> 00:44:31.197]  We've got the best fluoride-free toothpaste with colloidal silver and with high-quality atomic iodine in it.
[00:44:31.197 --> 00:44:33.599]  You cannot beat that for children and adults.
[00:44:33.599 --> 00:44:36.240]  We've got the best mouthwash designed by Dr. Jones.
[00:44:36.240 --> 00:44:39.022]  That's my dad, with colloidal silver and iodine as well.
[00:44:39.022 --> 00:44:41.524]  Infowarslife.com or 888-253-3139.
[00:44:41.524 --> 00:44:50.710]  And your purchase of the products stands with us, stands with America, stands with Trump, stands against the globalists and their satanic pedophile armies.
[00:44:50.710 --> 00:44:55.153]  And that's who they are, and they know we know who they are, and they're coming back against us, so we need your support.
[00:44:58.854 --> 00:45:02.455]  InfoWarsLife is bringing you a breakthrough in modern medicine.
[00:45:02.455 --> 00:45:04.235]  Introducing Pollen Block.
[00:45:04.235 --> 00:45:15.498]  We have found an extraordinary new, natural way to alleviate seasonal distress symptoms, including promoting clear nasal and sinus passageways, eye comfort, and respiratory function.
[00:45:16.278 --> 00:45:25.469]  In the 1960s, researchers in France noticed that people who ate certain quail eggs experienced less seasonal immune and inflammatory responses.
[00:45:25.469 --> 00:45:36.001]  They began studying this effect in published trials, and decades later, we now have the fruit of this research, a fast-acting, chewable tablet that helps alleviate seasonal distress symptoms.
[00:45:36.502 --> 00:45:39.125]  Pollen Block is natural and effective.
[00:45:39.125 --> 00:45:40.847]  It is not an antihistamine.
[00:45:40.847 --> 00:45:50.858]  In fact, current research has found that it actually acts by blocking the activity of tryptase, which is an enzyme that amplifies immune and inflammatory responses in the body.
[00:45:50.858 --> 00:45:53.500]  Go outside and enjoy the air you breathe.
[00:45:53.500 --> 00:45:58.206]  Head to Infowarslife.com and grab a pack of our Pollen Block chewable tablets.
[00:45:59.093 --> 00:46:01.035]  This 4th of July is special.
[00:46:01.035 --> 00:46:03.036]  Everybody can see it, they can feel it.
[00:46:03.036 --> 00:46:07.460]  The globalists are attempting to kill a worldwide awakening to their tyranny.
[00:46:07.460 --> 00:46:11.823]  And America, yet again, is at the heart of the resistance of the globalists.
[00:46:11.823 --> 00:46:16.947]  That's why this 4th of July I'm asking all of our great supporters to think about Infowars now more than ever.
[00:46:16.947 --> 00:46:20.691]  And what would the world be like if Infowars wasn't there resisting the globalists?
[00:46:21.531 --> 00:46:23.814]  What would have happened if you hadn't supported InfoWars?
[00:46:23.814 --> 00:46:25.756]  We would not be having the victories we have today.
[00:46:25.756 --> 00:46:28.919]  So yes, a lot of good things are happening, but the enemy is striking back.
[00:46:28.919 --> 00:46:36.066]  So please, think about InfoWars and funding our operation while you get great products at the same time on the 4th of July that's so historic.
[00:46:36.066 --> 00:46:37.928]  We have record sales going on right now.
[00:46:38.914 --> 00:46:41.296]  Free shipping on hundreds of different items.
[00:46:41.296 --> 00:46:45.019]  More than 20 items are 50% off, like Rainforest Plus.
[00:46:45.019 --> 00:46:46.480]  X2 is 40% off.
[00:46:46.480 --> 00:46:48.101]  Knockout Sleep Aid, $17.76.
[00:46:48.101 --> 00:46:51.964]  Silver Bullets, $9.95, a little silver.
[00:46:51.964 --> 00:46:54.025]  And free shipping, you can't beat that.
[00:46:54.025 --> 00:46:57.268]  This Fourth of July is special, and our sales are special to match it.
[00:46:57.268 --> 00:47:01.971]  Infowarestore.com.
[00:47:01.971 --> 00:47:04.633]  You're listening to the Alex Jones Show.
[00:47:10.013 --> 00:47:10.774]  Yeah, yeah.
[00:47:25.077 --> 00:47:34.181]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[00:47:34.181 --> 00:47:42.184]  You know, I pointed out that Peter Strzok acted like people that you see at the state hospital or who are schizophrenic on the side of the road.
[00:47:42.184 --> 00:47:50.588]  And if you look at his girlfriend, if you look at Howdy Doody over there, Rosenstein, if you look at any of them, they look like power-mad mental patients.
[00:47:51.468 --> 00:47:53.030]  I mean, everybody saw it.
[00:47:53.030 --> 00:48:00.498]  He acted like a complete loon bag who was on MDMA or something.
[00:48:00.498 --> 00:48:03.501]  I mean, he was making shark faces, psycho faces.
[00:48:03.501 --> 00:48:05.944]  These people are the worst.
[00:48:05.944 --> 00:48:11.930]  The scum of the earth that got in control of the FBI, worked for Hillary, covered up for her, called to the President, and now Mueller
[00:48:12.961 --> 00:48:15.382]  Acts like he's the head of the United States.
[00:48:15.382 --> 00:48:16.822]  He's been caught in total fraud.
[00:48:16.822 --> 00:48:19.082]  He indicted 13 bots.
[00:48:19.082 --> 00:48:20.603]  Turned out the Russians showed up.
[00:48:20.603 --> 00:48:24.204]  Now they want to drop the case, because none of it was real.
[00:48:24.204 --> 00:48:26.464]  The bot companies have been hired by Hillary.
[00:48:26.464 --> 00:48:32.766]  And now they're back with 12 more indictments, this time of Russian intelligence officers, knowing full well they won't be extradited here.
[00:48:32.766 --> 00:48:34.506]  So it's more made-up crap.
[00:48:34.506 --> 00:48:36.687]  And they're trying to target Infowars and Roger Stone.
[00:48:36.687 --> 00:48:38.307]  This is asinine.
[00:48:38.307 --> 00:48:42.228]  But Roger, as you were pointing out during the break when I was talking to you, the craziness
[00:48:43.510 --> 00:48:51.075]  Of a failing media operation like CNN that is something like 45th at the latest Nielsen ratings.
[00:48:51.075 --> 00:48:54.437]  That's many places behind reruns of Yogi the Bear.
[00:48:54.437 --> 00:48:56.098]  Yogi Bear.
[00:48:56.098 --> 00:49:01.040]  That they are out policing at events with Facebook saying shut down info wars.
[00:49:01.040 --> 00:49:05.643]  And then Facebook says, I have the articles right here, hey we're already dialing back all the conservatives 80%.
[00:49:05.643 --> 00:49:10.146]  Do you understand they're going to have major cases for racketeering and discrimination
[00:49:10.686 --> 00:49:14.473]  And anti-trust against us if we totally ban them off the platform.
[00:49:14.473 --> 00:49:17.559]  And CNN and the Washington Post, they go, we don't care!
[00:49:17.559 --> 00:49:20.565]  We want them banned now!
[00:49:20.565 --> 00:49:23.149]  What in the world do you think's going on, Roger Stone?
[00:49:24.326 --> 00:49:25.507]  It was unbelievable.
[00:49:25.507 --> 00:49:30.353]  I turned on CNN this morning and they were openly talking about banning InfoWars.
[00:49:30.353 --> 00:49:42.326]  Now, if CNN is a media organization, how would they justify, under the First Amendment, advocating the extinguishing of another media organization?
[00:49:42.326 --> 00:49:45.590]  The Washington Post doesn't talk about closing the New York Times down.
[00:49:46.646 --> 00:49:53.809]  They are petrified because of the millions of people that we are reaching, and galvanizing, and educating.
[00:49:53.809 --> 00:49:56.010]  And it's driving them crazy.
[00:49:56.010 --> 00:50:11.657]  A key element of their coup d'etat plan is to have no dissent, for there to be no platform, no forum for patriots to object, which is why closing import wars down is a crucial part of their plan.
[00:50:12.681 --> 00:50:22.047]  And it's why we need to move ahead into the courts and to bring an action against them for antitrust and for monopolistic practices.
[00:50:22.047 --> 00:50:24.188]  This is thuggery, is what it is.
[00:50:25.908 --> 00:50:27.989]  Roger, I've studied U.S.
