whisper_model_load: loading model from 'whisper.cpp/models/ggml-large.bin'
whisper_model_load: n_vocab       = 51865
[00:29:40.440 --> 00:29:42.120]   can take its toll on your body.
[00:29:42.120 --> 00:29:43.480]   - Our homegrown small business
[00:29:43.480 --> 00:29:45.360]   tries to help people just like us.
[00:29:45.360 --> 00:29:47.720]   That's why we design and test our handmade products
[00:29:47.720 --> 00:29:50.560]   with great care before we introduce them to the public.
[00:29:50.560 --> 00:29:53.560]   You can easily find Sunny Bay heating pads on Amazon.
[00:29:53.560 --> 00:29:57.480]   Just go to amazon.com and search for Sunny Bay heating pads.
[00:29:57.480 --> 00:30:02.880]   - Staying healthy on the go is just as important
[00:30:02.880 --> 00:30:04.360]   as staying healthy at home.
[00:30:04.360 --> 00:30:07.080]   But sometimes supplements don't work fast enough.
[00:30:07.080 --> 00:30:10.440]   That's why InfoWars Life has created a powerful new addition
[00:30:10.440 --> 00:30:11.840]   to the Super Blue line.
[00:30:11.840 --> 00:30:14.280]   Super Blue Silver Immune Gargle.
[00:30:14.280 --> 00:30:16.560]   Available in one ounce, three and a half ounce,
[00:30:16.560 --> 00:30:18.000]   and 16 ounce bottles,
[00:30:18.000 --> 00:30:20.320]   Immune Gargle is perfect for the bathroom,
[00:30:20.320 --> 00:30:22.440]   kitchen, or wherever you go.
[00:30:22.440 --> 00:30:26.040]   The incredible new purifying formula is dentist recommended
[00:30:26.040 --> 00:30:29.120]   for daily use whenever you feel like you need to stay clean.
[00:30:29.120 --> 00:30:32.680]   As a powerful hand purifier or oral cleansing formula,
[00:30:32.680 --> 00:30:35.040]   just a small spray will help you stay clean
[00:30:35.040 --> 00:30:37.240]   when you feel surrounded by toxins.
[00:30:37.240 --> 00:30:39.560]   With powerful yet simple ingredients,
[00:30:39.560 --> 00:30:42.200]   Immune Gargle features SilverSol NanoSilver
[00:30:42.200 --> 00:30:44.480]   for a powerful cleansing alternative.
[00:30:44.480 --> 00:30:46.520]   With Super Blue Silver Immune Gargle,
[00:30:46.520 --> 00:30:49.640]   staying toxin free is easy and affordable.
[00:30:49.640 --> 00:30:52.520]   Help stop the spread of toxins and stay healthy
[00:30:52.520 --> 00:30:54.880]   with Super Blue Silver Immune Gargle.
[00:30:54.880 --> 00:30:57.600]   Only available at InfoWarsLife.com.
[00:30:57.600 --> 00:31:00.200]   That's InfoWarsLife.com.
[00:31:00.200 --> 00:31:02.040]   - Guaranteeing your food independence
[00:31:02.040 --> 00:31:03.840]   is a crucial part of prepping.
[00:31:03.840 --> 00:31:06.520]   Between debt crisis, natural disasters,
[00:31:06.520 --> 00:31:08.640]   or even simple power outages,
[00:31:08.640 --> 00:31:11.880]   having a supply of storable meals is crucial.
[00:31:11.880 --> 00:31:14.960]   With InfoWars Life Select Storable Food,
[00:31:14.960 --> 00:31:16.560]   you can make sure you and your family
[00:31:16.560 --> 00:31:18.560]   are ready for any emergency.
[00:31:18.560 --> 00:31:20.960]   With drinks, snacks, and meals in amounts
[00:31:20.960 --> 00:31:23.720]   ranging from 72 hours to a full year,
[00:31:23.720 --> 00:31:26.120]   there's no better place to look for healthy,
[00:31:26.120 --> 00:31:28.440]   easy, and incredible meals.
[00:31:28.440 --> 00:31:30.760]   Including meals such as Traveler Stew,
[00:31:30.760 --> 00:31:33.640]   Homestyle Potato Soup, and a variety of other meals
[00:31:33.640 --> 00:31:35.600]   for breakfast, lunch, and dinner.
[00:31:35.600 --> 00:31:37.680]   InfoWars Life Select Storable Food
[00:31:37.680 --> 00:31:40.720]   will help you eat comfortably in a time of need.
[00:31:40.720 --> 00:31:42.640]   They even work great for camping.
[00:31:42.640 --> 00:31:45.040]   Simply pack a 72-hour kit to go,
[00:31:45.040 --> 00:31:47.440]   and you have easy to cook and transport food
[00:31:47.440 --> 00:31:49.440]   for you and your loved ones trip.
[00:31:49.440 --> 00:31:51.920]   Don't be caught surprised by an emergency.
[00:31:51.920 --> 00:31:53.400]   Make sure you're stocked up today
[00:31:53.400 --> 00:31:54.760]   with all the food you need.
[00:31:54.760 --> 00:31:57.560]   For an affordable price with InfoWars Life Select
[00:31:57.560 --> 00:31:58.800]   Storable Foods.
[00:31:58.800 --> 00:32:02.720]   - Living in Volcano may sound more dramatic
[00:32:02.720 --> 00:32:04.040]   than it really is.
[00:32:04.040 --> 00:32:07.320]   The real drama can be found here in Leilani Estates.
[00:32:07.320 --> 00:32:10.120]   But a lot of us on the big island rely on rainwater,
[00:32:10.120 --> 00:32:13.520]   and we need to be concerned about ash and acid rain.
[00:32:13.520 --> 00:32:17.040]   Volcanic ash may contain heavy metal particles,
[00:32:17.040 --> 00:32:19.480]   and acid rain could lower the pH of the water
[00:32:19.480 --> 00:32:20.840]   to unhealthy levels.
[00:32:20.840 --> 00:32:23.800]   To find out, we employed a series of tests
[00:32:23.800 --> 00:32:27.360]   for heavy metals, alkalinity, and pH.
[00:32:27.360 --> 00:32:29.200]   What we learned was that there was in fact
[00:32:29.200 --> 00:32:31.600]   unhealthy levels of heavy metals and acidity
[00:32:31.600 --> 00:32:33.040]   in the rainwater.
[00:32:33.040 --> 00:32:34.640]   Next, we tested the water
[00:32:34.640 --> 00:32:36.960]   from our Alexa Pure Gravity Filter.
[00:32:36.960 --> 00:32:38.920]   And not only were the heavy metal levels
[00:32:38.920 --> 00:32:40.520]   within safe measure,
[00:32:40.520 --> 00:32:44.120]   but the pH was also restored to optimal levels.
[00:32:44.120 --> 00:32:47.160]   As it turns out, the filter on the Alexa Pure
[00:32:47.160 --> 00:32:49.480]   raises the pH of the water.
[00:32:49.480 --> 00:32:51.680]   So what we've learned is that volcanic ash
[00:32:51.680 --> 00:32:55.080]   and acid rain can contaminate a rainwater supply.
[00:32:55.080 --> 00:32:56.480]   But more importantly,
[00:32:56.480 --> 00:32:59.280]   a good water filtration system will purify it.
[00:32:59.280 --> 00:33:06.360]   - You're listening to the Alex Jones Show.
[00:33:06.360 --> 00:33:08.680]   (whooshing)
[00:33:08.680 --> 00:33:13.880]   (upbeat music)
[00:33:13.880 --> 00:33:21.120]   - You found it, the tip of the spear.
[00:33:21.120 --> 00:33:26.120]   It is the Alex Jones Show with Owen Troyer.
[00:33:26.120 --> 00:33:28.760]   (upbeat music)
[00:33:28.760 --> 00:33:35.840]   - So Trump has had some obstacles
[00:33:35.840 --> 00:33:39.600]   in trying to have this summit with Kim Jong-un.
[00:33:39.600 --> 00:33:43.200]   Now, the first obstacle was John Bolton.
[00:33:43.200 --> 00:33:44.520]   Now, we're not sure.
[00:33:44.520 --> 00:33:46.960]   It's been speculated that John Bolton
[00:33:46.960 --> 00:33:51.600]   was playing bad cop to get the negotiations
[00:33:51.600 --> 00:33:55.000]   to a certain point, and then he backed off,
[00:33:55.000 --> 00:33:58.640]   and then Trump came in and got the summit back on.
[00:33:58.640 --> 00:34:01.560]   Why was John Bolton saying that we were gonna use
[00:34:01.560 --> 00:34:02.400]   the Libyan model?
[00:34:02.400 --> 00:34:04.360]   Was he trying to sabotage the deal?
[00:34:04.360 --> 00:34:05.600]   Was he playing bad cop?
[00:34:05.600 --> 00:34:08.480]   Was it just bad structure of sentence?
[00:34:08.480 --> 00:34:09.880]   I don't know.
[00:34:09.880 --> 00:34:11.680]   That happens.
[00:34:11.680 --> 00:34:14.680]   And so then you have Lindsey Graham
[00:34:14.680 --> 00:34:19.640]   just the day before the summit saying that,
[00:34:19.640 --> 00:34:21.640]   basically, if Kim doesn't denuclearize,
[00:34:21.640 --> 00:34:22.880]   I think he said we were going to go
[00:34:22.880 --> 00:34:24.120]   with the Libyan model again.
[00:34:24.120 --> 00:34:26.840]   I'm not sure exactly, but the point is,
[00:34:26.840 --> 00:34:30.160]   you had Bolton that didn't really seem to help it,
[00:34:30.160 --> 00:34:32.160]   and then you had Lindsey Graham
[00:34:32.160 --> 00:34:33.320]   that didn't really seem to help it.
[00:34:33.320 --> 00:34:35.400]   So this is how Rand Paul responded to that.
[00:34:35.400 --> 00:34:38.080]   Let's go to clip 14 first.
[00:34:38.080 --> 00:34:40.920]   This is Rand Paul responding on Fox News
[00:34:40.920 --> 00:34:44.200]   to what Bolton potentially did to the deal.
[00:34:44.200 --> 00:34:47.080]   - The neocons would never offer any carrot
[00:34:47.080 --> 00:34:48.880]   because they're all about the stick,
[00:34:48.880 --> 00:34:51.400]   and they want everybody to just kneel down and behave.
[00:34:51.400 --> 00:34:54.200]   - But one of those neocons, Senator, is at the table.
[00:34:54.200 --> 00:34:55.520]   John Bolton was at the table.
[00:34:55.520 --> 00:34:57.760]   I'm sure the president had that by design.
[00:34:57.760 --> 00:34:59.160]   Of course, Mike Pompeo was there as well,
[00:34:59.160 --> 00:35:00.320]   and others were there.
[00:35:00.320 --> 00:35:02.040]   But why do you think he did that?
[00:35:02.040 --> 00:35:04.360]   Because, of course, the North Koreans
[00:35:04.360 --> 00:35:06.360]   were apoplectic over his Libya comments,
[00:35:06.360 --> 00:35:09.160]   as you alluded to, and yet there he was.
[00:35:09.160 --> 00:35:10.640]   What did you make of it?
[00:35:10.640 --> 00:35:12.680]   - My hope is that he was at the children's table
[00:35:12.680 --> 00:35:15.440]   and that he wasn't influencing discussion among adults.
[00:35:15.440 --> 00:35:18.240]   - I think he was at the main table.
[00:35:18.240 --> 00:35:21.160]   - That's a pretty, kind of a bit of a jab there
[00:35:21.160 --> 00:35:23.360]   to John Bolton from Rand Paul, Roger.
[00:35:23.360 --> 00:35:25.160]   - What's really amazing here, though, Owen,
[00:35:25.160 --> 00:35:29.680]   is the way liberals would like these negotiations
[00:35:29.680 --> 00:35:32.640]   to fall apart because they're conducted by Donald Trump.
[00:35:32.640 --> 00:35:36.640]   This reminds me of, in President Nixon's second term,
[00:35:36.640 --> 00:35:39.040]   he reached a historic SALT agreement,
[00:35:39.040 --> 00:35:41.560]   Strategic Arms Limitation Agreement.
[00:35:41.560 --> 00:35:42.480]   Liberals, you would have thought,
[00:35:42.480 --> 00:35:43.560]   would have been happy about that,
[00:35:43.560 --> 00:35:45.320]   but they didn't like it 'cause Nixon did it.
[00:35:45.320 --> 00:35:46.200]   It's the same thing here.
[00:35:46.200 --> 00:35:47.840]   This is the art of the deal.
[00:35:47.840 --> 00:35:50.320]   Trump's been very cautious from the beginning.
[00:35:50.320 --> 00:35:53.400]   He always said, "Maybe we'll have a deal, maybe we won't.
[00:35:53.400 --> 00:35:54.800]   "Sure, it'd be great if we did,
[00:35:54.800 --> 00:35:56.840]   "but if we don't, that's okay, too."
[00:35:56.840 --> 00:35:58.320]   He also carefully said,
[00:35:58.320 --> 00:36:00.840]   "This isn't all gonna happen in one meeting.
[00:36:00.840 --> 00:36:02.320]   "This is a process.
[00:36:02.320 --> 00:36:05.280]   "This guy is a master negotiator,
[00:36:05.280 --> 00:36:09.240]   "and he will get his way on this, but he's also no sucker.
[00:36:09.240 --> 00:36:11.160]   "We're not gonna sign something
[00:36:11.160 --> 00:36:13.800]   "where they're gonna evade their responsibilities."
[00:36:13.800 --> 00:36:17.680]   So the old Reagan trust but verify,
[00:36:17.680 --> 00:36:19.680]   I think, will be the watchword in this deal
[00:36:19.680 --> 00:36:21.000]   in the final analysis.
[00:36:21.000 --> 00:36:22.040]   - Well, and then that's an amazing,
[00:36:22.040 --> 00:36:24.000]   I don't know what show this was on.
[00:36:24.000 --> 00:36:28.840]   I guess that hack comedian that hacked it up
[00:36:28.840 --> 00:36:31.400]   at the Correspondents' Dinner, they did a poll.
[00:36:31.400 --> 00:36:35.840]   Are you sort of hoping we don't get peace with North Korea
[00:36:35.840 --> 00:36:38.080]   so you wouldn't have to give Trump credit?
[00:36:38.080 --> 00:36:39.840]   71% say yes.
[00:36:39.840 --> 00:36:40.680]   Yeah, that's the thing.
[00:36:40.680 --> 00:36:43.640]   Their hatred for Trump is so deep-seated
[00:36:43.640 --> 00:36:44.480]   that they'd rather,
[00:36:44.480 --> 00:36:46.880]   it's the whole cut off your nose to spite your face.
[00:36:46.880 --> 00:36:48.640]   Michelle Wolf is this hack's name.
[00:36:48.640 --> 00:36:51.600]   We'll just call her the Wolf.
[00:36:51.600 --> 00:36:54.800]   So the Wolf has a poll, and people say,
[00:36:54.800 --> 00:36:56.320]   yeah, they don't want peace with North Korea
[00:36:56.320 --> 00:36:57.560]   'cause then they have to give Trump credit,
[00:36:57.560 --> 00:36:59.920]   again, to cut off your nose to spite your face.
[00:36:59.920 --> 00:37:01.000]   But Roger, let's not recall.
[00:37:01.000 --> 00:37:05.680]   I mean, you go back, what were the liberals saying?
[00:37:05.680 --> 00:37:07.480]   Oh, Trump's gonna start a war.
[00:37:07.480 --> 00:37:08.560]   He's so bad.
[00:37:08.560 --> 00:37:10.280]   Why is Trump trying to start a war?
[00:37:10.280 --> 00:37:11.880]   Why is Trump saying this to North Korea?
[00:37:11.880 --> 00:37:13.240]   Why is he doing this to North Korea?
[00:37:13.240 --> 00:37:15.240]   He's so bad, he's gonna start war.
[00:37:15.240 --> 00:37:18.080]   And they were mad that Trump wasn't gonna get peace done
[00:37:18.080 --> 00:37:18.960]   with North Korea.
[00:37:18.960 --> 00:37:20.560]   Oh, then he has the summit.
[00:37:20.560 --> 00:37:22.320]   He's the first president to meet with North Korea.
[00:37:22.320 --> 00:37:24.640]   Now he's moving towards peace, and what do they say?
[00:37:24.640 --> 00:37:27.240]   Oh, how dare he meet with North Korea?
[00:37:27.240 --> 00:37:29.360]   How dare he meet with the evil Kim Jong-un?
[00:37:29.360 --> 00:37:31.000]   How dare he get peace?
[00:37:31.000 --> 00:37:33.280]   It's Trump derangement syndrome.
[00:37:33.280 --> 00:37:37.560]   Of all people, you would think liberals would be happy
[00:37:37.560 --> 00:37:40.480]   about the denuclearization and the peace process.
[00:37:40.480 --> 00:37:42.760]   That used to be, what was it, '70s and '80s, Roger,
[00:37:42.760 --> 00:37:44.600]   when denuclearization was number one
[00:37:44.600 --> 00:37:45.440]   on the Democrat platform?
[00:37:45.440 --> 00:37:46.920]   Exactly, the nuclear freeze.
[00:37:46.920 --> 00:37:48.520]   Remember, that was their big thing.
[00:37:48.520 --> 00:37:51.000]   Now, Trump very skillfully does
[00:37:51.000 --> 00:37:53.880]   what three previous presidents could not do.
[00:37:53.880 --> 00:37:56.200]   The saber-rattling that they all denounced
[00:37:56.200 --> 00:37:58.680]   is what gets them to the table,
[00:37:58.680 --> 00:38:01.680]   and he's on the cusp of a historic peace deal,
[00:38:01.680 --> 00:38:04.440]   and they can't stand it because it's Donald Trump,
[00:38:04.440 --> 00:38:06.880]   just because it's Donald Trump.
[00:38:06.880 --> 00:38:10.360]   - Now let's go to Rand Paul responding to Lindsey Graham
[00:38:10.360 --> 00:38:13.640]   and his statements that could have perhaps been an obstacle
[00:38:13.640 --> 00:38:15.320]   to the Trump-Kim summit.
[00:38:15.320 --> 00:38:18.760]   - The president hasn't made any military threats
[00:38:18.760 --> 00:38:20.440]   going into the summit, as you know,
[00:38:20.440 --> 00:38:22.440]   but Senator Lindsey Graham, your colleague,
[00:38:22.440 --> 00:38:25.440]   he wants an authorization for the use of military force
[00:38:25.440 --> 00:38:27.120]   in case the talks fail.
[00:38:27.120 --> 00:38:30.040]   Do you think President Trump has taken the military option
[00:38:30.040 --> 00:38:32.720]   off the table, and would you vote for such an authorization
[00:38:32.720 --> 00:38:33.560]   for the use of military force? - That was the night
[00:38:33.560 --> 00:38:35.400]   before the summit that Graham said that.
[00:38:35.400 --> 00:38:36.560]   - Absolutely not.
[00:38:36.560 --> 00:38:39.040]   Lindsey Graham is a danger to the country
[00:38:39.040 --> 00:38:42.520]   by even proposing ideas like authorizing war with Korea.
[00:38:42.520 --> 00:38:43.880]   My goodness.
[00:38:43.880 --> 00:38:47.000]   So that should be something that is seen as naive
[00:38:47.000 --> 00:38:49.840]   and seen as something that really serious people
[00:38:49.840 --> 00:38:51.560]   shouldn't even really be discussing.
[00:38:51.560 --> 00:38:53.520]   - You're calling a fellow Republican senator
[00:38:53.520 --> 00:38:55.120]   a danger to the country?
[00:38:55.120 --> 00:38:56.520]   I want you to elaborate.
[00:38:57.440 --> 00:38:59.120]   - Well, if you've watched over time,
[00:38:59.120 --> 00:39:00.800]   I think what you've seen from Lindsey Graham
[00:39:00.800 --> 00:39:03.640]   is basically a naive worldview
[00:39:03.640 --> 00:39:06.240]   where he believes that war is always the answer,
[00:39:06.240 --> 00:39:09.120]   and that also means that expenditures for war
[00:39:09.120 --> 00:39:11.760]   are always the answer, and so I think that's bankrupting us
[00:39:11.760 --> 00:39:14.120]   as a country, but it's also gotten us involved
[00:39:14.120 --> 00:39:17.280]   in dozens and dozens of war where it's not really clear
[00:39:17.280 --> 00:39:19.600]   what the American interest is in those wars,
[00:39:19.600 --> 00:39:22.120]   and I think sometimes the reaction to our involvement
[00:39:22.120 --> 00:39:23.880]   in those wars has actually been worse
[00:39:23.880 --> 00:39:25.800]   than had we not been involved at all.
[00:39:25.800 --> 00:39:28.720]   - There's Rand Paul, a good man, a purist,
[00:39:28.720 --> 00:39:30.240]   and I think that's what keeps him out
[00:39:30.240 --> 00:39:34.720]   of any serious presidential election campaign,
[00:39:34.720 --> 00:39:36.960]   but I think he's right.
[00:39:36.960 --> 00:39:38.800]   I think he's right about what he said about Lindsey Graham.
[00:39:38.800 --> 00:39:42.480]   I think he was right in his response to John Bolton,
[00:39:42.480 --> 00:39:45.760]   and again, you just wonder, Roger, though,
[00:39:45.760 --> 00:39:48.920]   when looking at this and saying, where are the Democrats?
[00:39:48.920 --> 00:39:51.720]   Where are the Democrats pushing back against Lindsey Graham?
[00:39:51.720 --> 00:39:53.560]   You don't even get to hear the mouthpiece
[00:39:53.560 --> 00:39:55.520]   from a Democrat party saying, wow, Lindsey Graham,
[00:39:55.520 --> 00:39:56.440]   why would you say that?
[00:39:56.440 --> 00:39:58.120]   - Does anyone in their right mind really think
[00:39:58.120 --> 00:40:00.040]   Donald Trump is gonna let down his guard
[00:40:00.040 --> 00:40:01.640]   in the middle of these negotiations?
[00:40:01.640 --> 00:40:03.120]   There's zero chance.
[00:40:03.120 --> 00:40:06.400]   I have to admit, I have really come to admire Rand Paul
[00:40:06.400 --> 00:40:08.600]   as a man of principle.
[00:40:08.600 --> 00:40:12.200]   If I had to match my politics with any member of the US Senate
[00:40:12.200 --> 00:40:16.280]   I think my politics most closely mirror his.
[00:40:16.280 --> 00:40:20.600]   He's a conservative with a libertarian tinge,
[00:40:20.600 --> 00:40:23.960]   deeply suspicious of the deep state
[00:40:23.960 --> 00:40:25.760]   and the deep state's war machine.
[00:40:25.760 --> 00:40:29.160]   I think I agree with everything he just said.
[00:40:29.160 --> 00:40:32.840]   - And again, I wish, and you know how this goes, Roger.
[00:40:32.840 --> 00:40:35.640]   I mean, it's really hard for a purist like Rand Paul
[00:40:35.640 --> 00:40:39.080]   to get through in a presidential election
[00:40:39.080 --> 00:40:41.560]   when being a purist, unfortunately,
[00:40:41.560 --> 00:40:43.800]   separates so many people from your campaign
[00:40:43.800 --> 00:40:45.040]   that they don't end up voting for you.
[00:40:45.040 --> 00:40:48.080]   But perhaps, like you said, politically,
[00:40:48.080 --> 00:40:50.320]   this is probably the guy who matches up
[00:40:50.320 --> 00:40:51.800]   with our political leanings the most,
[00:40:51.800 --> 00:40:52.920]   but for this last election,
[00:40:52.920 --> 00:40:55.800]   we needed a wrecking ball and that was President Trump
[00:40:55.800 --> 00:40:58.520]   and he's, for the most part, delivered so far.
[00:40:58.520 --> 00:40:59.920]   Before we go to the next break
[00:40:59.920 --> 00:41:01.520]   and we're gonna be joined by Alex Jones,
[00:41:01.520 --> 00:41:03.120]   I believe, in the next segment,
[00:41:03.120 --> 00:41:07.480]   look at this story out of the DFW CBS Local.
[00:41:07.480 --> 00:41:11.400]   Brain-eating amoeba found in Louisiana water system.
[00:41:11.400 --> 00:41:13.760]   A potentially deadly brain-eating amoeba
[00:41:13.760 --> 00:41:16.920]   has been found again in Louisiana.
[00:41:16.920 --> 00:41:19.440]   Independent testing returned positive results
[00:41:19.440 --> 00:41:24.440]   for nalleria folari, sorry, I'm totally butchering that,
[00:41:24.440 --> 00:41:28.880]   which causes fatal brain swelling and tissue destruction.
[00:41:28.880 --> 00:41:33.080]   And so they found this in the Louisiana water system.
[00:41:33.080 --> 00:41:37.800]   The third time since 2015, this potentially deadly organism
[00:41:37.800 --> 00:41:40.800]   has been found in the state's water system.
[00:41:40.800 --> 00:41:45.800]   And this is why we sell water filters.
[00:41:45.920 --> 00:41:49.920]   And it's amazing that people don't understand this.
[00:41:49.920 --> 00:41:51.960]   And they say, look at InfoWars
[00:41:51.960 --> 00:41:54.280]   telling you there's chemicals in the water.
[00:41:54.280 --> 00:41:57.280]   Look at InfoWars reporting on the potential bacteria
[00:41:57.280 --> 00:41:58.720]   in the water.
[00:41:58.720 --> 00:42:00.840]   Okay, well, that's just a fact.
[00:42:00.840 --> 00:42:02.440]   We don't make that up.
[00:42:02.440 --> 00:42:03.640]   And then guess what?
[00:42:03.640 --> 00:42:05.700]   We want filtered water too.
[00:42:05.700 --> 00:42:09.080]   So when you see a story like this,
[00:42:09.080 --> 00:42:12.440]   brain-eating amoeba found in Louisiana water system,
[00:42:12.440 --> 00:42:15.360]   your first reaction, if you haven't done it already,
[00:42:15.360 --> 00:42:18.640]   is to go to InfoWarsStore.com and order a water filter.
[00:42:18.640 --> 00:42:22.400]   These are the best water filters for the price point
[00:42:22.400 --> 00:42:24.160]   that you can find.
[00:42:24.160 --> 00:42:27.960]   There is the AlexaPure water filtration system right there
[00:42:27.960 --> 00:42:29.560]   for your home.
[00:42:29.560 --> 00:42:32.400]   If you aren't filtering your water, ladies and gentlemen,
[00:42:32.400 --> 00:42:34.600]   you are crazy.
[00:42:34.600 --> 00:42:36.700]   You have no idea the chemicals, the bacteria,
[00:42:36.700 --> 00:42:38.000]   everything that's in that water,
[00:42:38.000 --> 00:42:40.440]   not just the stuff that they add intentionally
[00:42:40.440 --> 00:42:42.760]   like the fluorosilicic acid,
[00:42:42.760 --> 00:42:44.960]   but the runoff from the big pharmaceutical companies,
[00:42:44.960 --> 00:42:47.680]   the brain-eating amoebas, the lead.
[00:42:47.680 --> 00:42:49.240]   Filter your water, ladies and gentlemen.
[00:42:49.240 --> 00:42:51.760]   InfoWarsStore.com has the best water filters
[00:42:51.760 --> 00:42:55.040]   and there's free shipping right now at InfoWarsStore.com.
[00:42:55.040 --> 00:42:57.320]   Free shipping, get your water filter today.
[00:42:57.320 --> 00:42:58.720]   Alex Jones on the other side.
[00:42:58.720 --> 00:43:02.020]   - Our team is always looking for new ways
[00:43:02.020 --> 00:43:03.680]   to improve our products.
[00:43:03.680 --> 00:43:05.760]   That's why we've created the newest version
[00:43:05.760 --> 00:43:10.040]   of a fan favorite formula, the Real Red Pill Plus.
[00:43:10.040 --> 00:43:12.600]   The Real Red Pill Plus contains the powerful
[00:43:12.600 --> 00:43:14.360]   Pregnenolone formula.
[00:43:14.360 --> 00:43:16.640]   Now with an added energy boost.
[00:43:16.640 --> 00:43:20.520]   Now you can support your heart, brain, and aging process
[00:43:20.520 --> 00:43:22.920]   with an added natural energy boost.
[00:43:22.920 --> 00:43:26.380]   The proprietary energy blend includes powerful ingredients
[00:43:26.380 --> 00:43:31.080]   like green tea extract, yerba mate leaf extract, and more.
[00:43:31.080 --> 00:43:32.720]   Paired with the powerful ingredients
[00:43:32.720 --> 00:43:35.320]   in the original Real Red Pill formula,
[00:43:35.320 --> 00:43:37.400]   the Real Red Pill has just what you need
[00:43:37.400 --> 00:43:39.720]   to support your body while getting the pick-me-up
[00:43:39.720 --> 00:43:41.600]   to get you through the day.
[00:43:41.600 --> 00:43:45.000]   The Real Red Pill Plus is a powerful investment
[00:43:45.000 --> 00:43:47.760]   into the future of your mind and body.
[00:43:47.760 --> 00:43:49.280]   Don't miss out on the all new upgrade
[00:43:49.280 --> 00:43:50.800]   to your favorite product.
[00:43:50.800 --> 00:43:53.120]   Head to InfoWarsStore.com and get
[00:43:53.120 --> 00:43:55.920]   the Real Red Pill Plus today.
[00:43:55.920 --> 00:43:58.760]   Get Real Red Pill Plus now at 50% off.
[00:43:58.760 --> 00:44:01.980]   - As the years go by, it gets harder and harder
[00:44:01.980 --> 00:44:04.600]   to keep up with your body's nutritional needs.
[00:44:04.600 --> 00:44:08.040]   With changes in diet, unnatural ingredients, and stress,
[00:44:08.040 --> 00:44:10.720]   you may not be able to get all the necessary nutrients,
[00:44:10.720 --> 00:44:14.080]   amino acids, vitamins, and minerals needed daily.
[00:44:14.080 --> 00:44:16.000]   That's why InfoWars Life created
[00:44:16.000 --> 00:44:18.880]   the powerful Vitamin Mineral Fusion formula.
[00:44:18.880 --> 00:44:20.040]   The new platinum standard
[00:44:20.040 --> 00:44:22.480]   of advanced multivitamin formulation,
[00:44:22.480 --> 00:44:25.780]   Vitamin Mineral Fusion uses a unique delivery system
[00:44:25.780 --> 00:44:28.340]   to maximize the effects and give your body the tools
[00:44:28.340 --> 00:44:30.360]   it needs to support your body.
[00:44:30.360 --> 00:44:32.880]   Using a proprietary process, we've managed
[00:44:32.880 --> 00:44:34.340]   to make this powerhouse formula
[00:44:34.340 --> 00:44:36.840]   into a delicious concentrated drink mix
[00:44:36.840 --> 00:44:39.320]   that's loaded with high-quality ingredients,
[00:44:39.320 --> 00:44:42.280]   perfect for a hot summer day or relaxing at home.
[00:44:42.280 --> 00:44:43.960]   Vitamin Mineral Fusion is loaded
[00:44:43.960 --> 00:44:45.920]   with 34 different essential vitamins,
[00:44:45.920 --> 00:44:48.080]   minerals, amino acids, and more.
[00:44:48.080 --> 00:44:49.640]   Start supporting your body's needs
[00:44:49.640 --> 00:44:52.680]   in a great tasting, natural, and affordable drink mix
[00:44:52.680 --> 00:44:54.880]   with Vitamin Mineral Fusion today.
[00:44:54.880 --> 00:44:57.540]   Available at InfoWarsStore.com.
[00:44:57.540 --> 00:45:04.920]   - Patrick in the great nation of Australia.
[00:45:04.920 --> 00:45:06.120]   You're on the air worldwide.
[00:45:06.120 --> 00:45:06.960]   Thanks for calling.
[00:45:06.960 --> 00:45:11.680]   - I've been following you since I was 14, and I'm 32 now.
[00:45:11.680 --> 00:45:14.440]   I remember back when InfoWars and Prison Planet,
[00:45:14.440 --> 00:45:16.800]   it was just blue text on a white screen,
[00:45:16.800 --> 00:45:19.840]   and I had to load down the page on my dial-up internet,
[00:45:19.840 --> 00:45:21.160]   and I thought it was pretty cool,
[00:45:21.160 --> 00:45:23.680]   and read all the books, and seen all the DVDs,
[00:45:23.680 --> 00:45:24.960]   and followed all your guests,
[00:45:24.960 --> 00:45:26.320]   and I've been using your products
[00:45:26.320 --> 00:45:28.680]   since the first iteration of Survival Shield,
[00:45:28.680 --> 00:45:30.560]   and since then, I'm on the X2,
[00:45:30.560 --> 00:45:33.080]   the Super Male Vitality, the Caveman,
[00:45:33.080 --> 00:45:36.720]   the Real Red Pill, Micro ZX, Body, it's all amazing.
[00:45:36.720 --> 00:45:37.560]   - Thank you, brother.
[00:45:37.560 --> 00:45:40.480]   - Yeah, and I wanted to say that by following you so much,
[00:45:40.480 --> 00:45:42.960]   it's like you're just detoxing the mind,
[00:45:42.960 --> 00:45:45.840]   you're detoxing the body, you're detoxing the spirit,
[00:45:45.840 --> 00:45:49.080]   and it's just the more you know God, the more you fear God,
[00:45:49.080 --> 00:45:50.640]   but the more you chase God,
[00:45:50.640 --> 00:45:52.400]   and I wanted to say that it's an honor
[00:45:52.400 --> 00:45:54.720]   to stand side-by-side with you, the crew,
[00:45:54.720 --> 00:45:57.800]   and the listeners out there, 1776 worldwide.
[00:45:57.800 --> 00:46:02.440]   - The scientists at InfoWars Life
[00:46:02.440 --> 00:46:04.240]   have created a powerful formula
[00:46:04.240 --> 00:46:07.080]   for inflammatory support and joint support.
