[00:00.000 --> 00:20.000]  Music
[1:02:08.240 --> 1:02:13.360]  but we will bring flags. We'll bring Trump flags, free speech signs and we're going to show them.
[1:02:13.360 --> 1:02:18.640]  This is a public funded university. I pay for those students to go there. I'm paying so much
[1:02:18.640 --> 1:02:23.040]  in taxes. By the way, you're getting married. You're so cute. I'm lying. You're so, so pure and good.
[1:02:23.040 --> 1:02:27.840]  That's why that's why they hate you. You're a good Midwestern lady. Let's just say it. You're
[1:02:27.840 --> 1:02:32.480]  getting married. You're like, well, I can't do that next Sunday after that. Not because I'm
[1:02:32.480 --> 1:02:38.480]  on marriage counseling for marriage. I'm sure you guys are great. It's good. You can get marriage
[1:02:38.480 --> 1:02:42.880]  counseling later, okay? For your marriage. It's good to have pre-marriage counseling at your church.
[1:02:42.880 --> 1:02:47.840]  That's the right place to do it but you guys love each other. It's great. Or I'll cut CPAC early
[1:02:47.840 --> 1:02:52.160]  and come on Saturday but you need to tell me the next 24 hours because I'm ready to do this
[1:02:52.160 --> 1:02:56.640]  and the listeners are ready to do this. I mean, the Paul Revere's are waiting. The men and men are
[1:02:56.640 --> 1:03:02.640]  waiting. They're saddled up right now. They're ready to go and I just feel gut level. We've had
[1:03:02.640 --> 1:03:07.600]  our second amendment victory. Let's have our first amendment victory and it's at Ohio University.
[1:03:07.600 --> 1:03:12.960]  So you pick it. That Saturday or that Sunday, you just pick the time. You let me know by this
[1:03:12.960 --> 1:03:17.680]  afternoon because I want to announce this now, Caitlin. I will do that. It's going to probably
[1:03:17.680 --> 1:03:22.160]  be Saturday. I'll say it right now. Probably Saturday and I'll double check with my crew
[1:03:22.160 --> 1:03:27.600]  once I get off and I'll let you know literally within probably 10 minutes. So everybody's watching.
[1:03:27.600 --> 1:03:30.480]  Don't tune out. Keep watching because that will be announced.
[1:03:31.440 --> 1:03:35.600]  Beautiful. Okay. I'm ranting. We'll do one more segment with you and just you understand why
[1:03:35.600 --> 1:03:40.240]  this makes me mad. You look energized out there when they were attacking you and spitting on you
[1:03:40.240 --> 1:03:45.680]  and dumping coffee on you. And again, it's that spirit they hate. That's it. It's beautiful.
[1:03:46.640 --> 1:03:51.360]  Well, they want me to shut up. What's really good and when we get this full footage out
[1:03:51.360 --> 1:03:56.960]  over on our YouTube and Bandot video, when you watch the footage, they are chanting at me for
[1:03:56.960 --> 1:04:02.080]  an hour to leave. They said, leave, go home. We don't want you here. So then when I tried to leave,
[1:04:02.080 --> 1:04:07.120]  they were pushing the door shut on Joe Patrick's truck. They didn't want me to leave. They wanted
[1:04:07.120 --> 1:04:11.920]  to hurt me. They wanted to make it seem like they wanted me to leave campus, but they didn't.
[1:04:11.920 --> 1:04:17.120]  They wanted to keep me there so they could mob me. They were like a bunch of wild dogs chasing down
[1:04:17.120 --> 1:04:21.360]  a child in the street and eating them. You ever seen footage of pit bulls, a little kid gets out
[1:04:21.360 --> 1:04:25.200]  of the backyard, a little kid runs, the pit bulls all chew them up. That's what it was.
[1:04:26.160 --> 1:04:31.280]  Oh, it was absolutely that. And the best thing is that I just sat there and let them act. When
[1:04:31.280 --> 1:04:35.920]  this is happening to you, you just got to let them react. Don't respond back. Just film them,
[1:04:35.920 --> 1:04:39.920]  because that says more than me trying to make any point by arguing with them.
[1:04:41.920 --> 1:04:45.120]  All right. Caitlin Bennett, stay there. Let's recap it all. But I'm telling you,
[1:04:45.120 --> 1:04:50.160]  no more games. I told people 2020, Alex Jones is coming out of his reclusive hole.
[1:04:50.720 --> 1:04:54.400]  That's why I'm going to be everywhere. And I'm going there.
[1:04:57.120 --> 1:05:02.960]  Alex Jones here with two big announcements. Ultra 12 and vitamin mineral fusion are both
[1:05:02.960 --> 1:05:09.280]  back in stock after being sold out for months. Vitamin mineral fusion is high quality vitamins,
[1:05:09.280 --> 1:05:14.400]  minerals, amino acids, and other key co-factors that are so good for you and your family,
[1:05:14.400 --> 1:05:20.320]  especially your children's bodies and your immune systems. Ultra 12 is the highest quality
[1:05:20.320 --> 1:05:25.760]  vitamin B 12 taken sublingually under the tongue. It is back in stock. You can get them both
[1:05:25.760 --> 1:05:34.800]  individually for 40% off right now and get them together as a combo for 50% off. This makes your
[1:05:34.800 --> 1:05:40.000]  life so much better when you have a good multivitamin mineral that you actually absorb and as a
[1:05:40.000 --> 1:05:47.920]  tasty fruit punch. And of course, vitamin B 12 is the bedrock foundation of energy, stamina,
[1:05:47.920 --> 1:05:53.680]  libido, just everything. And they're both back in stock 40% off individually or 50% off when
[1:05:53.680 --> 1:06:11.360]  you get them together at m4store.com.
[1:06:23.680 --> 1:06:30.560]  We are back live broadcasting worldwide. It doesn't get any more real than info wars. It
[1:06:30.560 --> 1:06:35.360]  doesn't get any more grassroots. It doesn't get any more outlaw. When Satan runs the planet,
[1:06:35.360 --> 1:06:42.160]  I'm an outlaw. When Jesus does, I follow the law and it's on. Well, Caitlyn has talked about it
[1:06:42.160 --> 1:06:46.720]  with her fiance because they're going to a marriage retreat and stuff on Sunday,
[1:06:46.720 --> 1:06:50.480]  not this Sunday, the next Sunday. We're going to we're going to go to Ohio State University,
[1:06:50.480 --> 1:06:56.160]  not this Saturday, but next Saturday during CPAC, I'm going to cut it short.
[1:06:56.880 --> 1:07:00.320]  We got big CPAC stuff coming up. I'm going to be at CPAC. I told you folks I'm going to be in the
[1:07:00.320 --> 1:07:05.280]  field. I'm going to be everywhere. Our crews will be everywhere. Total commitment 2020 with 258
[1:07:05.280 --> 1:07:09.360]  days left. It's so critical. And everything we do is hitting the zeitgeist thanks to your support
[1:07:09.360 --> 1:07:14.800]  because you are the info war. And so I was just talking to her during the break. Next Saturday,
[1:07:15.840 --> 1:07:20.400]  we're going to say to make it easy for folks who've got to work Friday and we get that surrounding
[1:07:20.400 --> 1:07:25.840]  states to get there. We're going to say we're going to have a pro free speech rally from three
[1:07:26.480 --> 1:07:33.200]  to six PM at Ohio University. We're going to talk to university, give them a chance to
[1:07:33.200 --> 1:07:37.760]  have her in to apologize, have the police protector, let us just have our free speech
[1:07:37.760 --> 1:07:42.480]  rally for a couple hours. But if they won't, we're going to be there and we're going to have it
[1:07:42.480 --> 1:07:47.120]  outside and we're going to follow lawsuits and the president is going to take their funding
[1:07:47.120 --> 1:07:51.120]  as his executive order states he will. And again, Caitlin's been to the White House,
[1:07:51.120 --> 1:07:54.400]  she works for the White House. I'm going to leave it at that. The Trump is watching what's
[1:07:54.400 --> 1:07:58.880]  going on right now. And we don't want to see the university have its federal funding stripped.
[1:07:58.880 --> 1:08:03.280]  We just want them to stop being anti free speech command centers. Now if you're just joining us,
[1:08:03.280 --> 1:08:08.880]  there's coronavirus news and there's huge news with Trump. And what are we talking about?
[1:08:08.880 --> 1:08:13.360]  Why are we saying some folks are tuning in every segment. They're like, what's he talking about?
[1:08:13.360 --> 1:08:19.360]  Caitlin Bennett, reporter, Ohio University. Caitlin, recap what happened to you yesterday.
[1:08:19.360 --> 1:08:27.600]  It's big national news. CNN saying, great, drive that evil woman off. MSNBC celebrating it.
[1:08:28.160 --> 1:08:35.520]  USA Today says, good, that woman was thrown off by the students. Just a lynch mob, a riot. 400
[1:08:35.520 --> 1:08:39.600]  plus people because you tried to go interview people on president's day. How un-American,
[1:08:39.600 --> 1:08:46.320]  how dangerous. Recap what happened for folks that just joined us. I went to Ohio University in Athens,
[1:08:46.320 --> 1:08:52.080]  Ohio to ask people, ask students trivia day questions, trivia questions about president's day,
[1:08:52.080 --> 1:08:56.480]  basic questions like who were the first three presidents, just to have fun. It's a fun video
[1:08:56.480 --> 1:09:02.080]  for president's day. Within 30 minutes, I had 400 people surrounding me, 400 leftists who were
[1:09:02.080 --> 1:09:08.400]  throwing things at me. They poured hot steaming coffee on my legs. They threw iced coffee at me,
[1:09:08.400 --> 1:09:14.160]  missed me, hit their friends. They were vandalizing cars in the parking lot, trying to break the window
[1:09:14.160 --> 1:09:21.440]  of the person whose truck I was in. They were mobbing me. They started a riot. Shame on the
[1:09:21.440 --> 1:09:26.800]  police for trying to say that that wasn't a riot. They started a riot because they don't like my
[1:09:26.800 --> 1:09:33.040]  opinions because Twitter told them not to. Basically, to recap, leftists acted like the animals that
[1:09:33.040 --> 1:09:41.040]  they are. And we got it all on footage to show you guys. And now it's a big national news story
[1:09:41.040 --> 1:09:44.720]  with them trying to imply you deserve. I'm reading these articles. These are insane.
[1:09:45.840 --> 1:09:50.640]  Well, if you type in my name on Twitter, I'm trending on Twitter in the whole country. And if
[1:09:50.640 --> 1:09:56.000]  you type in my name, you come across all of these tweets saying that the protesters didn't do enough.
[1:09:56.000 --> 1:10:00.800]  Next time I show up, they need to do more. They need to go further. They didn't do enough to send
[1:10:00.800 --> 1:10:06.080]  their message home to me. Next time, to actually punch me, to hit me in the face and to pull my
[1:10:06.080 --> 1:10:10.880]  hair. That's what they want people to do to me next time. Throwing stuff on me and burning my
[1:10:10.880 --> 1:10:20.320]  legs wasn't enough. And of course, guys pull up, leftist dumps coffee on Alex Jones or coffee
[1:10:20.320 --> 1:10:28.640]  dump on Alex Jones. They do this to everybody. This is what they walk up to people, Fox News
[1:10:28.640 --> 1:10:32.480]  host and dump coffee on their heads. And then they sit there and deny they're doing it. They're
[1:10:32.480 --> 1:10:38.800]  the violent ones. They're the it's a it's an anti-trumper. Last week ran over six people
[1:10:38.800 --> 1:10:45.440]  in Florida, almost no coverage, ran them over with a vehicle admitted he did it to stop Trump.
[1:10:45.440 --> 1:10:52.720]  Can you imagine if a concern one supposedly racist guy ran into a woman in Charlottesville,
[1:10:52.720 --> 1:10:59.280]  she had a heart attack and died. It's a tragedy. That becomes Trump's fault. All conservatives fault.
[1:10:59.280 --> 1:11:06.000]  All veterans fault. All gun owners faults. But then he runs over six people on purpose and he's a
[1:11:06.000 --> 1:11:12.320]  good guy. Well, they also at at Ohio University, they were chanting Bernie. So they were Bernie
[1:11:12.320 --> 1:11:16.560]  supporters doing this. Are we going to blame Bernie for their actions? Are we going to blame
[1:11:16.560 --> 1:11:21.680]  Bernie for their behaviors? Of course not. And I would like to point out that almost a year ago,
[1:11:21.680 --> 1:11:27.280]  Bernie's campaign called me a white supremacist, and then his supporters go out there and attack me.
[1:11:27.280 --> 1:11:33.440]  Is Bernie responsible for lying about me and calling me a derogatory name that is totally
[1:11:33.440 --> 1:11:38.800]  untrue? They were sending their calling me a racist. Did they get that from Bernie's campaign? Is
[1:11:38.800 --> 1:11:43.680]  that why I was being attacked? These are questions that need answered. Is Bernie responsible for
[1:11:43.680 --> 1:11:50.720]  these actions today? I think that's a valid question. Well, even Chris Matthews says Bernie
[1:11:50.720 --> 1:11:55.680]  would probably kill his political opponents because he's a communist. That's what communists do. It's
[1:11:55.680 --> 1:12:02.960]  a default, like a duck quacks. You know, a fox gets in the henhouse, a wolf howls, a chicken,
[1:12:02.960 --> 1:12:08.960]  you know, goes back, back, back, back, a rooster crows. I mean, we all know a choo-choo train goes
[1:12:09.920 --> 1:12:15.120]  and I'm not trying to be cheesy here. How many Bernie operatives are on Project Veritas video
[1:12:15.120 --> 1:12:21.200]  saying their plan is to take control and start killing conservatives and putting them in FEMA
[1:12:21.200 --> 1:12:26.480]  camps? So that's my question for you, Caitlin Bennett. I asked Gavin McGinnis this like four
[1:12:26.480 --> 1:12:31.200]  years ago. I said, what's peak leftist arrangement syndrome? He said, there is no peak and he's
[1:12:31.200 --> 1:12:40.960]  right. It just goes up and up and up and up and up and up and up and up and up and there's no end.
[1:12:40.960 --> 1:12:48.240]  So what happens to them as they fail, as Trump wins, as America comes back, as I mean, what are
[1:12:48.240 --> 1:12:55.920]  they breeding on universities? I have no clue. All I have to say is if you have to use violence to
[1:12:55.920 --> 1:13:00.960]  get your points across and make, enforce people to believe what you believe, your opinions probably
[1:13:00.960 --> 1:13:05.760]  aren't popular. They aren't right. They aren't moral. They aren't ethical. And these people know
[1:13:05.760 --> 1:13:11.040]  it. Their ideas are deranged. It doesn't make sense to sit there and tell a six-year-old that
[1:13:11.040 --> 1:13:16.560]  a little six-year-old boy that he's a girl and give him pills to change his gender. We're
[1:13:16.560 --> 1:13:22.800]  messing up little kids' bodies by them. It's just, it's insane. And it disgusts me because
[1:13:22.800 --> 1:13:27.760]  everything they want to do, it's about children. It's about children. They force this on our
[1:13:27.760 --> 1:13:31.760]  children. It's completely insane. I don't know where it goes. Because authoritarians know once an
[1:13:31.760 --> 1:13:35.680]  adult is awake, they won't go along with it. They are picking on our most innocent.
[1:13:37.840 --> 1:13:42.400]  I agree with what you said about there is no peak. I don't know what's going to happen.
[1:13:42.960 --> 1:13:47.440]  Trump wins again in November. It's just going to get worse. It's not going to get better.
[1:13:47.440 --> 1:13:53.120]  I thought I had received the most amount of hatred on a campus. This was shocking. I did
[1:13:53.120 --> 1:13:58.640]  not expect this to happen at all. And it just goes to show with people saying that that wasn't
[1:13:58.640 --> 1:14:05.040]  enough. What is enough to them? Do they want all conservatives dead? Do they want us all in camps?
[1:14:05.040 --> 1:14:09.360]  And I think the answer is yes. They won't be satisfied until we're all dead.
[1:14:11.840 --> 1:14:17.680]  Well, that's it. They're protected by big tech. They're allowed to bully and attack online,
[1:14:17.680 --> 1:14:22.400]  and no opposition is allowed. So when they see someone in the third dimension,
[1:14:22.400 --> 1:14:28.640]  in a physical area, challenging them by just existing, they're like,
[1:14:30.320 --> 1:14:35.520]  because they believe they're God because they've joined with the technocracy
[1:14:35.520 --> 1:14:39.600]  and the anti-human agenda. They're not going to have children like CNN says they shouldn't.
[1:14:39.600 --> 1:14:42.720]  They're not going to be part of the future. They're going to end up committing suicide.
[1:14:42.720 --> 1:14:48.160]  You look at them, they're pale. They're psychotic. They're deranged. Survey finds people who
[1:14:48.160 --> 1:14:52.720]  identify as left-wing, more than likely to have been diagnosed with a mental illness.
[1:14:53.280 --> 1:14:58.800]  And they're authoritarians. They're little basement dwellers who dream of putting people
[1:14:58.800 --> 1:15:05.520]  in FEMA camps. They are the most immature, disconnected people the planet has ever seen,
[1:15:05.520 --> 1:15:09.600]  dreaming of power. And it's not going to go the way the establishment thinks.
[1:15:10.480 --> 1:15:16.160]  Caitlin, you need to come to the war room today, 3 to 6 p.m. How soon?
[1:15:16.160 --> 1:15:21.600]  Do you have hours of the raw footage? Just how soon? Because I know you want to explain what
[1:15:21.600 --> 1:15:25.280]  happened and all that, but you just got to get it out. How soon do all that's out at Bandai Video?
[1:15:26.480 --> 1:15:33.440]  Probably, I would say within the next 45 minutes. I know my my fiance is working on it right now
[1:15:33.440 --> 1:15:38.800]  in the other room. He's been editing since 9 a.m. this morning. And it's 1 p.m. here. So we are,
[1:15:38.800 --> 1:15:41.840]  we're working on it. We're trying to get everything right. We're trying to get all the
[1:15:41.840 --> 1:15:45.760]  information out there. So you got hours of it, multiple cameras. It's really hard to
[1:15:45.760 --> 1:15:51.120]  condense it down. Great job. Give us an update. Let's just say you're going to be on in the second
[1:15:51.120 --> 1:15:57.120]  hour of the war room today, okay? Okay, sounds good. Great job. Finally, there's a way for you
[1:15:57.120 --> 1:16:02.480]  to get into the blockchain, the hottest financial sector without all the speculation. No, enjoy a
[1:16:02.480 --> 1:16:07.920]  27% annualized payment each month without the ups and downs of Bitcoin. Seen on programs broadcast
[1:16:07.920 --> 1:16:12.640]  on Fox Business News, blockchain data centers offer an equipment leasing program in the explosive
[1:16:12.640 --> 1:16:17.680]  digital asset marketplace inspired by entrepreneurs who sold picks and shovels during the gold rush.
[1:16:17.680 --> 1:16:22.320]  The money is in the mining equipment used to manufacture dozens of critical digital assets,
[1:16:22.320 --> 1:16:26.960]  not a security IPO or note. Blockchain data centers have a proven turnkey equipment sale
[1:16:26.960 --> 1:16:33.200]  leaseback program with a 27% annualized lease payment deposited into your bank account each
[1:16:33.200 --> 1:16:41.680]  month. Don't miss this one. Take your claim today. Call 800-600-3388. That's 800-600-3388.
[1:16:41.680 --> 1:16:49.280]  These valuable lease contracts won't last long. Call now 800-600-3388. 800-600-3388. Equipment
[1:16:49.280 --> 1:16:52.320]  offer poses a financial risk to owners consult with financial professionals before purchasing
[1:16:52.320 --> 1:16:56.320]  not an offer to buy or sell a security which requires an offering document. I'm here with Scott
[1:16:56.320 --> 1:17:02.320]  Yousiam, founder of OMG Tax. Tell us how your company helps our listeners out there who have a problem
[1:17:02.320 --> 1:17:07.920]  with the IRS. My team of lawyers enrolled agents and licensed tax experts remove wage
[1:17:07.920 --> 1:17:12.320]  garnishments sometimes in the same day. We even have reduced the total debt some of our clients
[1:17:12.320 --> 1:17:16.720]  were required to pay through what is known as an offer in compromise. Can you give us an example
[1:17:16.720 --> 1:17:25.280]  of somebody you help? Oh, can I ever? We have taken a $500,000 liability with the IRS. Guess what?
[1:17:25.280 --> 1:17:29.680]  The client didn't pay a dime through the representation known as non-collectible status
[1:17:29.680 --> 1:17:35.200]  with the government. If you owe the IRS more than $10,000 and you want to see if it's possible to pay
[1:17:35.200 --> 1:17:47.920]  a lot less, call OMG Tax right now for a free tax-saving consultation. Call 800-486-8112-800-486-8112.
[1:17:47.920 --> 1:17:54.320]  800-486-8112. That's 800-486-8112.
[1:17:57.520 --> 1:18:02.080]  We know that the globalists are in trouble. Humanities waking up to their tyranny,
[1:18:02.080 --> 1:18:06.960]  how they run their scams, their Ponzi schemes, how they're building a post-human world.
[1:18:06.960 --> 1:18:11.520]  But we know they're going to strike back. And the UN has said that they're going to
[1:18:11.520 --> 1:18:17.440]  absolutely implode third-world countries and then use those giant populations as weaponized
[1:18:17.440 --> 1:18:22.880]  hordes to come in and overwhelm the West and collapse our social services in a giant
[1:18:22.880 --> 1:18:28.960]  clowered and pivot program. The UN also has said they'll use mass plagues to make us capitulate
[1:18:28.960 --> 1:18:35.600]  to world government inner coronavirus. This is a critical year and it's a critical time
[1:18:35.600 --> 1:18:41.520]  to stay informed and to be spreading the word because people are waking up like never before.
[1:18:41.520 --> 1:18:47.200]  But this fight against tyranny is neck and neck, so spread the word about band.video
[1:18:47.200 --> 1:18:54.160]  and infowars.com for its last show. That is so important. You are at the center of the resistance.
[1:18:54.160 --> 1:19:02.000]  You are our only hope. At the end of World War II, Adolf Hitler had discredited the eugenics
[1:19:02.000 --> 1:19:08.400]  and world population control organizations. They openly had meetings and led by Julian Huxley,
[1:19:08.400 --> 1:19:14.800]  Aldous Huxley's brother, decided to repackage themselves as transhumanists. Now in the year
[1:19:14.800 --> 1:19:22.320]  2020, to set the precedent that people can be turned into cyborgs, that robots can be given
[1:19:22.320 --> 1:19:28.320]  rights, you name it, they are intimidating and arresting people all over the world who simply
[1:19:28.320 --> 1:19:37.120]  misgender someone. So the ultimate crime will be even asking what someone is if you can't even tell
[1:19:37.120 --> 1:19:42.720]  what they are. This is the ultimate Kafka-esque mind control and there's several big articles
[1:19:42.720 --> 1:19:48.240]  up on infowars.com that break this down. UK teen fine under house arrest for asking
[1:19:48.240 --> 1:19:54.240]  trans police officers, gender, UK mother, spare jail for misgendering trans woman, order to pay
[1:19:54.240 --> 1:20:20.240]  1,000 pound fine. You're listening to the Alex Jones show.
[1:20:20.240 --> 1:20:31.920]  You know, the thing about telling the truth is, at a certain point you just got to start
[1:20:31.920 --> 1:20:39.760]  telling the truth about everything. And Kalin is so sweet and smart, I love her. But she's
[1:20:39.760 --> 1:20:45.840]  scared after what just happened in Ohio University. So I had her convinced during the breaks,
[1:20:45.840 --> 1:20:52.560]  she's getting married in like three weeks, I had her convinced to go back, not this Saturday,
[1:20:52.560 --> 1:20:58.720]  but next Saturday to Ohio University and confront that scum and exercise our first amendment. But
[1:20:58.720 --> 1:21:02.480]  then she's just like, I don't want to ask it in my face, they're death threatening me and I don't
[1:21:02.480 --> 1:21:08.640]  want to do it. So we're not doing it now. We're not going to Ohio University. That's fine because
[1:21:08.640 --> 1:21:15.200]  I'm already at the CPAC and doing battle there with the neocons and stuff in DC and I'm coming
[1:21:15.200 --> 1:21:23.360]  back here to my children and I get it. I'm not blaming her. In America, a five foot two or whatever
[1:21:23.360 --> 1:21:27.760]  woman is the vanguard of our resistance against the new world order.
[1:21:31.360 --> 1:21:34.880]  And she's done a great job. She marched in there on President's Day to ask questions,
[1:21:34.880 --> 1:21:40.080]  got attacked by a mob. Am I mad at her that now she's like, whoa, they're on Twitter saying they're
[1:21:40.080 --> 1:21:46.320]  going to throw acid in my face and kill me and I just want to get married. And I'm like, absolutely.
[1:21:46.320 --> 1:21:50.960]  You know what, sweetheart? You didn't weigh more than a woman's supposed to do. And that's not
[1:21:50.960 --> 1:21:55.920]  patronizing a woman like, oh, that's not a woman. Women have got to do what men do when men don't
[1:21:55.920 --> 1:22:04.880]  act like men. And that gets right down to why I'm pissed off. Man, I am so sick of a, yeah,
[1:22:04.880 --> 1:22:10.960]  I got to sit there. I've been pissed off since five AM this morning. I woke up at five AM this
[1:22:10.960 --> 1:22:15.440]  morning and I went out and I got a cup of coffee and I walked around the backyard and
[1:22:18.320 --> 1:22:22.320]  I'm sitting there and I go to info wars.com
[1:22:25.520 --> 1:22:32.560]  and I see the Caitlyn Bennett video of a mob of 400 people attacking her physically and chasing
[1:22:32.560 --> 1:22:38.480]  them into the parking lot. And as a father and as a man, I felt physically threatened for my family
[1:22:38.480 --> 1:22:41.760]  because letting that type of crap go on is what brings down whole civilizations.
[1:22:43.360 --> 1:22:48.480]  My instincts are honed. I may not follow them, but they're damn good. They're as good as they get.
[1:22:50.000 --> 1:22:53.200]  I mean, my radar and spidey senses best model out there.
[1:22:56.400 --> 1:23:01.840]  And I see that type of stuff and it makes me want to go confront those people and let them know
[1:23:01.840 --> 1:23:04.880]  that they're pathetic and they're scum and they make me want to throw up,
[1:23:07.280 --> 1:23:12.000]  but fresh off something like that, barely making it to her vehicle, all the rest of it.
[1:23:15.040 --> 1:23:20.160]  She's like, I just can't go back out there right now, which is exactly what they want.
[1:23:20.160 --> 1:23:28.640]  But see the men of America are watching sports right now and they're too cool
[1:23:28.640 --> 1:23:36.480]  and they're too powerful to go out to those universities that have been completely taken
[1:23:37.040 --> 1:23:42.640]  over by globalists and communists and fugs and gangs and scum.
[1:23:44.000 --> 1:23:47.200]  So maybe you pull your endowment from a university.
[1:23:48.720 --> 1:23:54.240]  I mean, Starbucks gives a portion of every purchase of coffee to brainwashing five-year-olds
[1:23:54.240 --> 1:23:59.280]  to cut their testicles off. It's called the mermaid group. I'm not kidding.
[1:24:00.160 --> 1:24:04.480]  And you know, I never hardly go to Starbucks, but if I'm really tired on the road and I go,
[1:24:04.480 --> 1:24:09.440]  Dan, that's some strong coffee. Let me just go ahead and pull in over there. Never again.
[1:24:11.360 --> 1:24:15.280]  It's one thing where I live is with the only county in Texas where they
[1:24:16.080 --> 1:24:20.160]  take taxpayer money from property tax and give it for abortion.
[1:24:20.160 --> 1:24:25.280]  And so I'm already trying to look at counties around us to try to move the facility.
[1:24:25.280 --> 1:24:26.880]  I don't have the money to move the facility.
[1:24:35.600 --> 1:24:39.440]  So yeah, I'm not like somebody that beats myself on the back,
[1:24:39.440 --> 1:24:43.280]  flagellates myself. Oh, I want to be good. But you know what? I don't want to live
[1:24:43.280 --> 1:24:48.400]  somewhere where my taxpayer money pays for chopping kids up. Just scares me. I could feel
[1:24:48.400 --> 1:24:56.000]  God's anger. And it's the same thing with all of this. We have to divorce ourselves from corporate
[1:24:56.000 --> 1:25:02.560]  systems. The whole globalist system, this whole system here to intimidate us and dominate us and
[1:25:02.560 --> 1:25:13.600]  tell us how to live and tell us how to breathe. I'm done with them. I said last week on air
[1:25:13.600 --> 1:25:21.920]  that most people in the government are good and that it's we the people that have allowed
[1:25:21.920 --> 1:25:26.800]  all this corruption and allow powerful corrupt individuals to get in control of the agencies
[1:25:26.800 --> 1:25:31.200]  and that that's where the real evil comes from. And I saw some comments on M4s. Oh,
[1:25:31.200 --> 1:25:38.240]  Jones just said 99% of the government's good. And he endorses what it's doing when that's
[1:25:38.240 --> 1:25:44.320]  not what I've done. But it's that type of lie that needs to be addressed. I want to take the government
[1:25:44.320 --> 1:25:52.320]  over. I want to restore the Republic. I don't want to be the underdog outlaw. The systems made me
[1:25:52.320 --> 1:25:59.120]  an outlaw because what I'm promoting will win. I'm promoting justice and freedom and free market
[1:25:59.120 --> 1:26:05.600]  and transparency and things that succeed at Americana. And I know from my own experience
[1:26:05.600 --> 1:26:14.800]  that most people in government actually who aren't in academia or leftist areas agree with that. So
[1:26:14.800 --> 1:26:20.160]  why should I make them an enemy when I can simply point out that I've over the years learned that
[1:26:20.160 --> 1:26:26.800]  they think just like we do? Because our fight is not with the government. Our fight is with the
[1:26:26.800 --> 1:26:36.560]  governance. Government is the government. Governance is who does the governing.
[1:26:36.560 --> 1:26:39.600]  I know for most listeners, you're like, yeah, you're stating the obvious. Well, a lot of people
[1:26:39.600 --> 1:26:44.560]  don't get that. They think what I'm up to is saying there's a lot of patriots in the Army and the
[1:26:44.560 --> 1:26:51.120]  Marines and the Navy and the Air Force. Oh, now you endorse whatever the Army and Air Force do
[1:26:51.120 --> 1:26:56.800]  when they're under command of the people that have hijacked our government. And then Trump is this
[1:26:56.800 --> 1:27:02.240]  breath of fresh air, this ray of sunshine, and they're all running around crazy scared because
[1:27:02.240 --> 1:27:12.960]  they're losing their control. So I'm not here to be the underdog. I'm not here to be locked up.
[1:27:12.960 --> 1:27:17.120]  I'm here to take the government over. And like George Washington, once I've done it,
[1:27:17.120 --> 1:27:23.280]  the minute I'm done, the minute I think there's good people in, I'm going to the ranch
[1:27:25.040 --> 1:27:31.520]  literally. I do not want to be engaged with these people. I do not want power. I do not want to be
[1:27:31.520 --> 1:27:35.920]  in the system because I'm already in God's system. I've already got all the power. I've already got
[1:27:35.920 --> 1:27:40.240]  all I've already got everything. I don't need power. I don't need private jets and big castles
[1:27:40.240 --> 1:27:46.240]  and things to prove I've got it all. I have it. I have the birthright. I have the fire. I have the
[1:27:46.240 --> 1:27:56.080]  Promethean power. And so do you. But I'm here to tell you, until we get these devil worshipers off
[1:27:56.080 --> 1:28:02.240]  our back and kick Satan off the planet, we're not going to get our birthright. So get behind Jesus,
[1:28:03.280 --> 1:28:10.800]  stop kissing globalist ass, take action and rid the planet of Satan and his minions. And everything
[1:28:10.800 --> 1:28:16.640]  is clear sailing after that. And it really comes down to that. It's that simple. And that's why
[1:28:16.640 --> 1:28:20.320]  the globalist hate us. That's why they hate you. It's why they hate Caitlin Bennett. It was just
[1:28:20.320 --> 1:28:25.760]  an average, good, clean woman because we got the birthright folks and they know it. You can be black,
[1:28:25.760 --> 1:28:29.360]  you can be white, you can be Hispanic, you can be old, you can be young. If you love God and
[1:28:29.360 --> 1:28:36.640]  justice and you resonate with truth, you are part of the future. But if you resonate with all this
[1:28:36.640 --> 1:28:41.520]  evil, this anti human systems in it, you get off on it, then you're of your father, the devil.
[1:28:41.520 --> 1:28:47.120]  So tie that bowling ball around your neck, that big ass chain and just jump into the fires of hell.
[1:28:48.160 --> 1:28:50.720]  Just choose which side you're on. That's all I'm saying.
[1:28:56.160 --> 1:29:01.680]  Fellow patriots, my name is Todd Savage, founder of black rifle real estate.com. Like you,
[1:29:01.680 --> 1:29:06.400]  I was a prisoner of the out left sanctuary state until one day I chose to lead my family to freedom.
[1:29:06.400 --> 1:29:11.360]  Today we live on a sustainable 20 acre homestead where we shoot, hunt, garden and homeschool our
[1:29:11.360 --> 1:29:15.120]  children without the tyranny of the nanny state looking over us. If you're ready to
[1:29:15.120 --> 1:29:20.000]  flee the city to the freedom of Idaho or Montana, our black rifle real estate team is here to help.
[1:29:20.000 --> 1:29:36.400]  Go to black rifle real estate.com. That's black rifle real estate.com hunters, anglers, campers and survivalists. Get back to nature. Expand your horizons with the highest quality, most versatile, unique slingshots and sling bows on the market at slingbow.com.
