whisper_model_load: loading model from 'whisper.cpp/models/ggml-large.bin'
whisper_model_load: n_vocab       = 51865
[00:29:11.960 --> 00:29:14.680]   The way you shop, travel, invest, educate your children,
[00:29:14.680 --> 00:29:16.320]   and even how you take care of your health
[00:29:16.320 --> 00:29:17.320]   and your own family.
[00:29:17.320 --> 00:29:19.560]   Now, this man has made some outrageous predictions
[00:29:19.560 --> 00:29:20.400]   over the years.
[00:29:20.400 --> 00:29:22.680]   The crazy part is he's usually right.
[00:29:22.680 --> 00:29:25.040]   You see, he predicted the collapse of GM,
[00:29:25.040 --> 00:29:27.600]   Fannie Mae, Freddie Mac, and America's biggest mall owner,
[00:29:27.600 --> 00:29:28.880]   General Growth Properties.
[00:29:28.880 --> 00:29:32.280]   In fact, Barron's called his work a dire prophecy.
[00:29:32.280 --> 00:29:33.840]   Recently, he created a video,
[00:29:33.840 --> 00:29:35.440]   which you can watch online for free,
[00:29:35.440 --> 00:29:38.080]   detailing his biggest and most important prediction yet.
[00:29:38.080 --> 00:29:39.640]   And it's a real eye-opener.
[00:29:39.640 --> 00:29:41.000]   I can't stress this enough.
[00:29:41.000 --> 00:29:43.720]   You should at least watch this free video online today.
[00:29:43.720 --> 00:29:45.360]   He explains everything you need to know,
[00:29:45.360 --> 00:29:47.920]   including simple steps you can take to protect yourself.
[00:29:47.920 --> 00:29:52.560]   You can find the video at www.endofamerica3.com.
[00:29:52.560 --> 00:29:55.120]   That's end of America, the number three, dot com.
[00:29:55.120 --> 00:29:59.000]   Watch the free video at www.endofamerica3.com.
[00:29:59.000 --> 00:30:00.920]   That's endofamerica3.com.
[00:30:00.920 --> 00:30:03.720]   Hi, folks, this is Alex Jones.
[00:30:03.720 --> 00:30:05.560]   I'm looking for people that have the wisdom
[00:30:05.560 --> 00:30:08.920]   to spot savings, opportunity, and recognize risk.
[00:30:08.920 --> 00:30:10.600]   Saving means to make money.
[00:30:10.600 --> 00:30:13.240]   The Calbin Pure Soap Company can save you thousands
[00:30:13.240 --> 00:30:16.320]   of dollars and give you good old-fashioned real soaps
[00:30:16.320 --> 00:30:18.560]   that are triple concentrated and twice as good
[00:30:18.560 --> 00:30:20.000]   as what you're using now.
[00:30:20.000 --> 00:30:22.840]   Soaps made from vegetable and coconut oils
[00:30:22.840 --> 00:30:25.600]   that contain no useless dyes, perfumes,
[00:30:25.600 --> 00:30:27.640]   deodorants, or antibacterials.
[00:30:27.640 --> 00:30:30.880]   Your risk is the hundreds of hazardous toxic detergents
[00:30:30.880 --> 00:30:33.360]   that give you rashes, itching sores,
[00:30:33.360 --> 00:30:35.640]   and deteriorating clothing called lint.
[00:30:35.640 --> 00:30:36.800]   If you want something better,
[00:30:36.800 --> 00:30:38.800]   if you want something you've never had before,
[00:30:38.800 --> 00:30:40.880]   you have to do something you've never done before,
[00:30:40.880 --> 00:30:45.800]   getting a free catalog is easy by calling 800-340-7091
[00:30:45.800 --> 00:30:49.000]   or see Calbin on the web at 5starsoap.com.
[00:30:49.000 --> 00:30:54.000]   Take charge of your health now by calling 800-340-7091
[00:30:54.000 --> 00:30:57.280]   or see Calbin on the web at 5starsoap.com.
[00:30:57.280 --> 00:31:03.920]   Alex Jones here with vital information
[00:31:03.920 --> 00:31:06.480]   concerning our nation's fragile food supply.
[00:31:06.480 --> 00:31:09.200]   Folks, there are some truly dangerous trends forming,
[00:31:09.200 --> 00:31:11.000]   and I think it's important for my listeners
[00:31:11.000 --> 00:31:12.960]   to do three things right away.
[00:31:12.960 --> 00:31:15.240]   Number one, study the past.
[00:31:15.240 --> 00:31:17.600]   History really does repeat itself.
[00:31:17.600 --> 00:31:19.480]   Number two, learn to spot
[00:31:19.480 --> 00:31:22.480]   the dangerous food shortage trends.
[00:31:22.480 --> 00:31:25.560]   Number three, take decisive action.
[00:31:25.560 --> 00:31:29.440]   A perfect storm is brewing or a global food crisis.
[00:31:29.440 --> 00:31:32.040]   That's why I'm telling everyone to read the new book,
[00:31:32.040 --> 00:31:34.400]   "Rising Prices, Empty Shelves,
[00:31:34.400 --> 00:31:38.480]   Warning Signs That Trigger the Deadliest Famines in History."
[00:31:38.480 --> 00:31:41.880]   Don't get caught unprepared when the crisis hits.
[00:31:41.880 --> 00:31:46.400]   This book is only available at risingpricesemptyshelves.com.
[00:31:46.400 --> 00:31:48.960]   You'll also get a free copy of "Supermarket Survival,
[00:31:48.960 --> 00:31:51.240]   How to Cut Your Grocery Bills in Half."
[00:31:51.240 --> 00:31:55.920]   Again, that website is risingpricesemptyshelves.com.
[00:31:55.920 --> 00:31:58.920]   That's risingpricesemptyshelves.com.
[00:31:58.920 --> 00:32:03.720]   - You've heard Alex explain how the silver lungs generator
[00:32:03.720 --> 00:32:05.400]   infuses the respiratory system
[00:32:05.400 --> 00:32:08.200]   with your self-produced colloidal silver solutions,
[00:32:08.200 --> 00:32:10.120]   yet many are unaware of the entire function
[00:32:10.120 --> 00:32:12.400]   of the silver lung system and how it has been designed
[00:32:12.400 --> 00:32:16.520]   to deliver your silver solutions anywhere in or on the body.
[00:32:16.520 --> 00:32:18.120]   My name is Mario Cifaldi,
[00:32:18.120 --> 00:32:21.200]   and I'm the developer of the silver lungs generator.
[00:32:21.200 --> 00:32:22.640]   Not only does the silver lung system
[00:32:22.640 --> 00:32:25.880]   produce endless colloidal and ionic silver solutions,
[00:32:25.880 --> 00:32:28.200]   it also comes equipped with the proper applicators
[00:32:28.200 --> 00:32:31.240]   and devices needed to deliver your silver solutions
[00:32:31.240 --> 00:32:34.000]   directly to key target areas.
[00:32:34.000 --> 00:32:38.200]   This includes the eyes, ears, nose, lungs,
[00:32:38.200 --> 00:32:42.000]   topically to the skin, and orally for the digestive system.
[00:32:42.000 --> 00:32:44.120]   Be sure to watch our new seven-minute video tour
[00:32:44.120 --> 00:32:49.120]   of the silver lung system at www.silverlungs.com
[00:32:49.120 --> 00:32:52.320]   to learn more about how the silver lung system works.
[00:32:52.320 --> 00:32:54.520]   As well, we are always ready to answer
[00:32:54.520 --> 00:32:56.320]   any questions you may have.
[00:32:56.320 --> 00:32:59.760]   That's www.silverlungs.com.
[00:33:02.280 --> 00:33:05.760]   - Coast to coast, direct from Austin.
[00:33:05.760 --> 00:33:09.440]   You're listening to the Alex Jones Broadcasting Network.
[00:33:09.440 --> 00:33:13.680]   - From his Central Texas command center,
[00:33:13.680 --> 00:33:18.120]   deep behind enemy lines, the information war continues.
[00:33:18.120 --> 00:33:21.480]   It's Alex Jones and the GCN Radio Network.
[00:33:21.480 --> 00:33:29.560]   - Well, there's a lot of disinformation out there about him.
[00:33:30.440 --> 00:33:32.440]   I've met him in person several times
[00:33:32.440 --> 00:33:37.440]   and found him to be a very genteel, nice person.
[00:33:37.440 --> 00:33:40.240]   I didn't get any bad vibes from him,
[00:33:40.240 --> 00:33:42.840]   and I know that that's always the real signal.
[00:33:42.840 --> 00:33:45.240]   And I've been selling his book now for many years,
[00:33:45.240 --> 00:33:47.760]   "Bloodlines of the Illuminati," Fritz Springmeier.
[00:33:47.760 --> 00:33:49.720]   One of the only places you can actually get it
[00:33:49.720 --> 00:33:52.240]   is at InfoWars.com.
[00:33:52.240 --> 00:33:55.560]   And when I first read this a decade ago or so,
[00:33:55.560 --> 00:33:56.880]   I'm gonna be frank with you.
[00:33:56.880 --> 00:34:00.480]   I'd met Fritz when he was here in Austin on local TV,
[00:34:00.480 --> 00:34:01.920]   about the station,
[00:34:01.920 --> 00:34:05.320]   and met him at another conference event once.
[00:34:05.320 --> 00:34:09.400]   And I believed he believed a lot of it,
[00:34:09.400 --> 00:34:13.000]   but I, even though I snuck into Bohemian Grove and things,
[00:34:13.000 --> 00:34:15.800]   and I first met him right after I snuck in there,
[00:34:15.800 --> 00:34:17.240]   I still had trouble believing it.
[00:34:17.240 --> 00:34:20.960]   Since then, so much, he was the first guy I heard
[00:34:20.960 --> 00:34:22.800]   talking about the royal family of England,
[00:34:22.800 --> 00:34:26.320]   not really being German, but being from Transylvania.
[00:34:26.320 --> 00:34:29.480]   And then, really being Arabic and all this stuff,
[00:34:29.480 --> 00:34:32.120]   or Sephardic.
[00:34:32.120 --> 00:34:37.120]   And then, now that's on national news now.
[00:34:37.120 --> 00:34:40.800]   So just a lot of really wild, wild stuff.
[00:34:40.800 --> 00:34:42.880]   And then over the years, so much of it,
[00:34:42.880 --> 00:34:45.440]   no matter how wild, has turned out to be true.
[00:34:45.440 --> 00:34:47.920]   Now, imagine Fritz.
[00:34:47.920 --> 00:34:49.560]   He had, I don't know how many books out,
[00:34:49.560 --> 00:34:51.480]   everywhere he went, selling tons of them.
[00:34:51.480 --> 00:34:52.640]   I know we were selling a lot.
[00:34:52.640 --> 00:34:53.720]   I happen to know the publisher.
[00:34:53.720 --> 00:34:54.920]   I knew they were selling them.
[00:34:54.920 --> 00:34:59.920]   He would have no reason to bomb a porno store or whatever,
[00:34:59.920 --> 00:35:02.360]   and then rob a bank.
[00:35:02.360 --> 00:35:05.560]   And I remember him saying, "They're breaking in my house.
[00:35:05.560 --> 00:35:07.000]   "They're trying to set me up."
[00:35:07.000 --> 00:35:08.200]   I remember seeing it in the news.
[00:35:08.200 --> 00:35:09.880]   They'd been raiding him and stuff.
[00:35:09.880 --> 00:35:11.640]   And then, boom, they grabbed him, put him in jail.
[00:35:11.640 --> 00:35:16.640]   Now, remember, the government has a 99, 98% conviction rate
[00:35:16.640 --> 00:35:17.880]   with the feds.
[00:35:17.880 --> 00:35:20.960]   And he's on probation.
[00:35:20.960 --> 00:35:22.440]   He's been in jail for many years.
[00:35:22.440 --> 00:35:23.800]   He's lost a lot of weight.
[00:35:24.560 --> 00:35:26.280]   I just saw him on Skype a minute ago.
[00:35:26.280 --> 00:35:28.280]   He looks better than he did just a few weeks ago.
[00:35:28.280 --> 00:35:31.200]   In the one video I've seen of a little presentation he did,
[00:35:31.200 --> 00:35:32.960]   he'll be back again.
[00:35:32.960 --> 00:35:35.200]   But we gotta be careful how much he gets into today.
[00:35:35.200 --> 00:35:37.120]   But he's agreed, what he wants to talk about
[00:35:37.120 --> 00:35:42.000]   is who he really is versus the lies of places like Wikipedia
[00:35:42.000 --> 00:35:45.960]   and what happened to him, what he can say about prison,
[00:35:45.960 --> 00:35:48.240]   and where he sees the world,
[00:35:48.240 --> 00:35:51.040]   what, seven, eight years after being incarcerated.
[00:35:51.040 --> 00:35:52.480]   But they can do this to anybody.
[00:35:52.480 --> 00:35:54.840]   They can plant drugs on yours truly
[00:35:54.840 --> 00:35:56.720]   or put horrible things on my computer
[00:35:56.720 --> 00:35:59.480]   or, God forbid, kill my family and say I did it.
[00:35:59.480 --> 00:36:01.160]   I mean, this is the kind of stuff
[00:36:01.160 --> 00:36:02.640]   the globalists have been caught doing.
[00:36:02.640 --> 00:36:05.960]   Operation Northwoods talks about how to frame Americans
[00:36:05.960 --> 00:36:08.580]   for bombings that the Pentagon carries out.
[00:36:08.580 --> 00:36:11.760]   And frame-ups are legend.
[00:36:11.760 --> 00:36:13.480]   Now, with DNA, we know about a third of people
[00:36:13.480 --> 00:36:15.060]   on death row are innocent.
[00:36:15.060 --> 00:36:17.840]   And we learn, it was a case in Texas a few weeks ago
[00:36:17.840 --> 00:36:19.760]   where the prosecutor for 20 years
[00:36:19.760 --> 00:36:23.600]   knew the person was innocent and knew who did it,
[00:36:23.600 --> 00:36:24.520]   but didn't care.
[00:36:24.520 --> 00:36:26.320]   It was about their career.
[00:36:26.320 --> 00:36:28.000]   They'll even put people with no criminal record
[00:36:28.000 --> 00:36:29.320]   like Fritz in jail.
[00:36:29.320 --> 00:36:30.800]   You know, usually they like to set somebody
[00:36:30.800 --> 00:36:33.680]   who's already got a record, like people believe it.
[00:36:33.680 --> 00:36:35.680]   Very, very frightening.
[00:36:35.680 --> 00:36:39.120]   And so Fritz Springmeier joins us via video Skype.
[00:36:39.120 --> 00:36:43.200]   Fritz, for people that don't know who you are,
[00:36:43.200 --> 00:36:45.560]   you know, a lot of people that have been into the conspiracy,
[00:36:45.560 --> 00:36:48.120]   into reality, they of course know who you are.
[00:36:48.120 --> 00:36:49.440]   Over the years, I've said, you know,
[00:36:49.440 --> 00:36:50.560]   they said, where's Fritz Springmeier?
[00:36:50.560 --> 00:36:51.400]   Where's Fritz Springmeier?
[00:36:51.400 --> 00:36:52.600]   Where's Fritz Springmeier?
[00:36:52.600 --> 00:36:53.960]   They're, why don't you get his wife on?
[00:36:53.960 --> 00:36:55.840]   We've tried, as you know, many times to get her on.
[00:36:55.840 --> 00:36:57.080]   She obviously couldn't
[00:36:57.080 --> 00:36:59.140]   'cause she didn't want him to do stuff to you in jail.
[00:36:59.140 --> 00:37:02.360]   Now you've been out a while, but obviously, you know,
[00:37:02.360 --> 00:37:05.360]   even for Ricky Ross, who started speaking out
[00:37:05.360 --> 00:37:06.480]   against government drug dealing,
[00:37:06.480 --> 00:37:08.360]   now they're trying to throw him back in jail.
[00:37:08.360 --> 00:37:10.360]   So I want you to be very careful here today.
[00:37:10.360 --> 00:37:12.640]   We appreciate you giving us the first big interview
[00:37:12.640 --> 00:37:13.560]   that I know of.
[00:37:13.560 --> 00:37:14.560]   Correct me if I'm wrong.
[00:37:14.560 --> 00:37:15.760]   Good to have you here, Fritz.
[00:37:15.760 --> 00:37:20.320]   Tell us who you are, a brief snapshot of your life.
[00:37:20.320 --> 00:37:21.200]   You know, I know they said you weren't
[00:37:21.200 --> 00:37:22.240]   a West Point graduate.
[00:37:22.240 --> 00:37:23.560]   I actually went and looked it up in their rolls.
[00:37:23.560 --> 00:37:24.960]   There's your photo, there you are.
[00:37:24.960 --> 00:37:27.120]   But the point is, they've really attacked you.
[00:37:27.120 --> 00:37:29.940]   You hit some things that really scared them.
[00:37:29.940 --> 00:37:32.560]   Was it the Transylvanian bloodline?
[00:37:32.560 --> 00:37:34.540]   Is it the satanic rituals?
[00:37:34.540 --> 00:37:37.740]   I mean, why did they come, get into who you are,
[00:37:37.740 --> 00:37:40.880]   what happened in prison, why they came after you, you think,
[00:37:40.880 --> 00:37:43.400]   and now what you see in the world?
[00:37:45.440 --> 00:37:47.040]   Wow, that's a lot of questions.
[00:37:47.040 --> 00:37:48.360]   (laughing)
[00:37:48.360 --> 00:37:50.400]   Okay, let's see what we can do with them.
[00:37:50.400 --> 00:37:53.240]   First, who am I?
[00:37:53.240 --> 00:37:58.760]   From, for myself, the image I have is
[00:37:58.760 --> 00:38:02.920]   as someone who's trying to model Christ.
[00:38:02.920 --> 00:38:07.440]   He's my role model, and that's all that really matters
[00:38:07.440 --> 00:38:10.200]   about my life is that I be Christ-like.
[00:38:11.120 --> 00:38:14.200]   All the labels that the system tries to,
[00:38:14.200 --> 00:38:19.720]   the system is labeling people right now,
[00:38:19.720 --> 00:38:22.920]   and their computer programs carry these labels.
[00:38:22.920 --> 00:38:26.100]   Like, for instance, two-thirds of the blacks
[00:38:26.100 --> 00:38:30.080]   in major cities are labeled as affiliates of gangs
[00:38:30.080 --> 00:38:32.000]   or gang members, you know?
[00:38:32.000 --> 00:38:34.720]   And so there's all kinds of labels
[00:38:34.720 --> 00:38:37.040]   that have been slapped on me, but the only label
[00:38:37.040 --> 00:38:39.880]   that I would want to be identified with
[00:38:39.880 --> 00:38:43.240]   is somebody who's trying to follow Christ.
[00:38:43.240 --> 00:38:45.240]   My life's been unusual.
[00:38:45.240 --> 00:38:49.760]   My father had the goal of helping save the world.
[00:38:49.760 --> 00:38:54.760]   He was an agricultural expert, and he went around the world,
[00:38:54.760 --> 00:38:59.040]   living in many, many third-world countries,
[00:38:59.040 --> 00:39:01.960]   and trying to help them become self-sufficient.
[00:39:01.960 --> 00:39:03.640]   He made a career out of that.
[00:39:03.640 --> 00:39:06.520]   And he passed on the concept of trying
[00:39:06.520 --> 00:39:08.000]   to save the world to me.
[00:39:08.000 --> 00:39:12.160]   He said that if you're gonna live life,
[00:39:12.160 --> 00:39:16.040]   when you leave it, leave the world a better place
[00:39:16.040 --> 00:39:17.360]   than what you found it.
[00:39:17.360 --> 00:39:19.240]   You know, sort of like that Boy Scout thing
[00:39:19.240 --> 00:39:21.960]   is when you go camping, leave the site better
[00:39:21.960 --> 00:39:23.440]   than what you found it.
[00:39:23.440 --> 00:39:28.440]   And I think I have honestly tried to do that
[00:39:28.440 --> 00:39:33.600]   and accomplish that to some degree.
[00:39:33.600 --> 00:39:37.800]   Why were they kicked off at me?
[00:39:37.800 --> 00:39:41.560]   I think it was a combination of a whole bunch of things
[00:39:41.560 --> 00:39:43.520]   that I did, but one of the things
[00:39:43.520 --> 00:39:46.000]   that they were really sensitive about
[00:39:46.000 --> 00:39:50.520]   was the mind control, the trauma-based mind control.
[00:39:50.520 --> 00:39:54.000]   You'll notice that I put out three books on it
[00:39:54.000 --> 00:39:56.640]   with about 40 pages of the actual codes
[00:39:56.640 --> 00:39:59.760]   that they use on the slaves.
[00:39:59.760 --> 00:40:02.000]   And once you have read those books
[00:40:02.000 --> 00:40:04.200]   and you're familiar with the codes,
[00:40:04.200 --> 00:40:06.800]   you can sit there and watch television
[00:40:06.800 --> 00:40:10.440]   and see them manipulate these total mind-controlled slaves
[00:40:10.440 --> 00:40:12.520]   left and right all around us.
[00:40:12.520 --> 00:40:15.800]   And people are constantly telling me
[00:40:15.800 --> 00:40:19.360]   that after they got in touch with my information,
[00:40:19.360 --> 00:40:22.840]   now they realize what's going on around them.
[00:40:22.840 --> 00:40:25.640]   Another thing as far as-
[00:40:25.640 --> 00:40:26.480]   - Yeah, that's the book,
[00:40:26.480 --> 00:40:29.840]   "How to Create a Totally Undetectable Mind-Control Slave,"
[00:40:29.840 --> 00:40:32.120]   which now they admit everything on TV
[00:40:32.120 --> 00:40:35.880]   is layers of programming depending on how programmed you are
[00:40:35.880 --> 00:40:39.280]   and just someone watching TV since they were a small child,
[00:40:39.280 --> 00:40:41.400]   they are under a form of mind control.
[00:40:41.400 --> 00:40:44.280]   And actually, scientifically, even BBC admits
[00:40:44.280 --> 00:40:48.560]   in a lower brainwave function than we were just 50 years ago,
[00:40:48.560 --> 00:40:51.000]   the public in general is in a trance.
[00:40:51.000 --> 00:40:56.360]   - Yes, people sit in front of their televisions in a trance.
[00:40:56.360 --> 00:41:02.040]   In a sense, they're almost worshiping that altar there,
[00:41:02.040 --> 00:41:03.680]   their television altar.
[00:41:04.520 --> 00:41:07.120]   - So true what you just said.
[00:41:07.120 --> 00:41:10.360]   And of course, your listeners have heard a lot of this.
[00:41:10.360 --> 00:41:14.360]   So, I'm not telling them probably anything
[00:41:14.360 --> 00:41:16.480]   that they're not already familiar with.
[00:41:16.480 --> 00:41:20.560]   Let's see. - Yeah, but you were
[00:41:20.560 --> 00:41:21.400]   a trailblazer.
[00:41:21.400 --> 00:41:22.480]   How did you discover all that?
[00:41:22.480 --> 00:41:25.200]   So that made them really angry at you.
[00:41:25.200 --> 00:41:29.360]   - Yes, I kind of bumped into the whole thing.
[00:41:29.360 --> 00:41:34.360]   I view myself as a historian, not as a conspiracy theorist.
[00:41:34.600 --> 00:41:39.600]   And I was doing a massive amount of research into the elite
[00:41:39.600 --> 00:41:45.440]   because we are now a government of the power elite,
[00:41:45.440 --> 00:41:48.200]   by the power elite and for the power elite.
[00:41:48.200 --> 00:41:52.680]   And I was researching them to expose them.
[00:41:52.680 --> 00:41:57.680]   And I had the privilege of meeting four people
[00:41:57.680 --> 00:42:00.920]   that had been teamed up in the Illuminati
[00:42:00.920 --> 00:42:04.880]   to be a four-person team that were trying to get out.
[00:42:04.880 --> 00:42:07.360]   And they pointed me in the right direction
[00:42:07.360 --> 00:42:08.680]   on a lot of things.
[00:42:08.680 --> 00:42:11.480]   I had to do most of the research myself,
[00:42:11.480 --> 00:42:14.440]   but because they pointed me in the right direction,
[00:42:14.440 --> 00:42:16.600]   it really helped me.
[00:42:16.600 --> 00:42:21.080]   And then that's how I got into the mind control.
[00:42:21.080 --> 00:42:23.200]   - By the way, just a segue,
[00:42:23.200 --> 00:42:27.760]   I ran into a famous person a few weeks ago
[00:42:27.760 --> 00:42:29.520]   and had dinner with them.
[00:42:29.520 --> 00:42:33.560]   And they point blank told me about Illuminati rituals
[00:42:33.560 --> 00:42:35.360]   and Hellfire Club and stuff,
[00:42:35.360 --> 00:42:38.320]   but then said, "I'm not gonna talk about that on your show,
[00:42:38.320 --> 00:42:39.560]   "maybe sometime."
[00:42:39.560 --> 00:42:42.840]   So the point is we know these things existed and do exist,
[00:42:42.840 --> 00:42:44.400]   but I mean, you're sitting there having dinner
[00:42:44.400 --> 00:42:46.480]   with a well-known famous person
[00:42:46.480 --> 00:42:49.000]   and they're just point blank telling you all about it.
[00:42:49.000 --> 00:42:50.280]   It's just incredible.
[00:42:50.280 --> 00:42:52.120]   And to find out that most of the people
[00:42:52.120 --> 00:42:55.440]   that are part of Oxford in any of the elite clubs
[00:42:55.440 --> 00:42:58.920]   are actually taken to the caves, engage in rituals.
[00:42:58.920 --> 00:43:01.360]   I mean, it's just so widespread.
[00:43:01.360 --> 00:43:02.920]   - Hi, this is Alex Jones.
[00:43:02.920 --> 00:43:05.880]   This holiday season, more than half of our nation
[00:43:05.880 --> 00:43:09.200]   is in need of help due to the shattered economy.
[00:43:09.200 --> 00:43:12.120]   So now is the time to express the holiday spirit
[00:43:12.120 --> 00:43:13.240]   more than ever.
[00:43:13.240 --> 00:43:16.800]   Consider helping those you love with the most important gift,
[00:43:16.800 --> 00:43:19.240]   a supply of delicious, easy to fix,
[00:43:19.240 --> 00:43:22.840]   and very storable foods from efoodsdirect.com.
[00:43:22.840 --> 00:43:26.480]   Their holiday gift and family pack start at $99
[00:43:26.480 --> 00:43:28.240]   for a 16 day supply.
[00:43:28.240 --> 00:43:31.600]   All their five week supply of quick and easy to fix meals
[00:43:31.600 --> 00:43:33.320]   includes a personal backpack
[00:43:33.320 --> 00:43:35.480]   in case of a grab and go emergency.
[00:43:35.480 --> 00:43:38.720]   Order their combo gift pack and you'll save hundreds,
[00:43:38.720 --> 00:43:41.400]   plus get free shipping on your entire order.
[00:43:41.400 --> 00:43:46.000]   Call efoods today at 800-409-5633,
[00:43:46.000 --> 00:43:50.120]   or visit them online at efoodsdirect.com/alex
[00:43:50.120 --> 00:43:51.280]   to find the special.
[00:43:51.280 --> 00:43:54.560]   That's 800-409-5633,
[00:43:54.560 --> 00:43:57.640]   or efoodsdirect.com/alex.
[00:43:57.640 --> 00:44:00.320]   You can bet your life on efoods direct.
[00:44:00.320 --> 00:44:03.560]   - When you're out on the road,
[00:44:03.560 --> 00:44:07.360]   the last place you wanna be is on the road.
[00:44:07.360 --> 00:44:10.080]   But if the unfortunate happens,
[00:44:10.080 --> 00:44:13.480]   you'll be glad you were wearing diamond gussets.
[00:44:13.480 --> 00:44:17.560]   ♪ There's a place down in Tennessee ♪
[00:44:17.560 --> 00:44:22.240]   ♪ Where they make blue diamond gusset cheese ♪
[00:44:22.240 --> 00:44:26.320]   ♪ They sew pride in every stitch ♪
[00:44:26.320 --> 00:44:30.680]   ♪ Guarantee you love the way they fit ♪
[00:44:30.680 --> 00:44:33.400]   ♪ They put a diamond gusset in the crotch ♪
[00:44:33.400 --> 00:44:35.320]   ♪ Where you need it most ♪
[00:44:35.320 --> 00:44:39.160]   ♪ Blue diamond gussets got it ♪
[00:44:39.160 --> 00:44:40.360]   ♪ Other stone ♪
[00:44:40.360 --> 00:44:42.480]   - We turn jeans inside out.
[00:44:42.480 --> 00:44:44.240]   Diamond gusset jeans,
[00:44:44.240 --> 00:44:47.120]   made in the USA with unparalleled quality.
[00:44:47.120 --> 00:44:49.880]   Our Defender motorcycle jeans combine gusset comfort
[00:44:49.880 --> 00:44:51.400]   with Kevlar protection,
[00:44:51.400 --> 00:44:53.720]   so you can ride all day with confidence.
[00:44:53.720 --> 00:44:56.480]   Order yours at gusset.com.
[00:44:56.480 --> 00:44:59.680]   Diamond gusset jeans got it, others don't.
[00:44:59.680 --> 00:45:02.520]   - You may be arrested,
[00:45:02.520 --> 00:45:05.120]   and you're subject to other police action.
[00:45:05.120 --> 00:45:06.400]   - Tyranny is here.
[00:45:06.400 --> 00:45:10.320]   The grim future foretold in 1984 has become reality.
[00:45:10.320 --> 00:45:12.720]   - It really says that the state is God.
[00:45:12.720 --> 00:45:15.320]   - The United States is now recognized globally
[00:45:15.320 --> 00:45:18.440]   as one of the most oppressive police states on earth.
[00:45:18.440 --> 00:45:20.840]   This film conclusively proves the existence
[00:45:20.840 --> 00:45:22.920]   of a secret network of FEMA camps,
[00:45:22.920 --> 00:45:25.080]   now being expanded nationwide.
[00:45:25.080 --> 00:45:27.520]   This documentary exposes how the continuity
[00:45:27.520 --> 00:45:29.200]   of government program has established
[00:45:29.200 --> 00:45:31.080]   an all-powerful shadow state.
[00:45:31.080 --> 00:45:33.520]   Police State 4 chronicles the sickening depth
[00:45:33.520 --> 00:45:35.240]   to which our republic has fallen.
[00:45:35.240 --> 00:45:37.720]   Prepare to enter the secretive world
[00:45:37.720 --> 00:45:39.520]   of emergency dictatorship.
[00:45:39.520 --> 00:45:42.600]   Body scanners, sound cannons, citizen spies,
[00:45:42.600 --> 00:45:45.440]   stage terror, and cameras on every street corner.
[00:45:45.440 --> 00:45:46.680]   It's only the beginning
[00:45:46.680 --> 00:45:49.040]   of the New World Order's hellish plan.
[00:45:49.040 --> 00:45:52.040]   The police state isn't coming, it's here.
[00:45:52.040 --> 00:45:55.680]   Secure your copy today at infowars.com,
[00:45:55.680 --> 00:45:57.760]   or see it online in the highest quality
[00:45:57.760 --> 00:45:59.360]   at prisonplanet.tv.
[00:45:59.360 --> 00:46:03.560]   - Hi folks, this is Alex Jones.
[00:46:03.560 --> 00:46:05.440]   I'm looking for people that have the wisdom
[00:46:05.440 --> 00:46:08.760]   to spot savings, opportunity, and recognize risk.
[00:46:08.760 --> 00:46:10.480]   Saving means to make money.
[00:46:10.480 --> 00:46:13.120]   The Calbin Pure Soap Company can save you thousands
[00:46:13.120 --> 00:46:16.200]   of dollars and give you good old-fashioned real soaps
[00:46:16.200 --> 00:46:18.440]   that are triple concentrated and twice as good
[00:46:18.440 --> 00:46:19.840]   as what you're using now.
[00:46:19.840 --> 00:46:22.680]   Soaps made from vegetable and coconut oils
[00:46:22.680 --> 00:46:25.440]   that contain no useless dyes, perfumes,
[00:46:25.440 --> 00:46:27.480]   deodorants, or antibacterials.
[00:46:27.480 --> 00:46:30.720]   Your risk is the hundreds of hazardous toxic detergents
[00:46:30.720 --> 00:46:33.200]   that give you rashes, itching sores,
[00:46:33.200 --> 00:46:35.480]   and deteriorating clothing called lint.
[00:46:35.480 --> 00:46:36.640]   If you want something better,
[00:46:36.640 --> 00:46:38.600]   if you want something you've never had before,
[00:46:38.600 --> 00:46:40.720]   you have to do something you've never done before,
[00:46:40.720 --> 00:46:42.440]   getting a free catalog is easy
[00:46:42.440 --> 00:46:45.640]   by calling 800-340-7091,
[00:46:45.640 --> 00:46:48.880]   or see Calbin on the web at fivestarsoap.com.
[00:46:48.880 --> 00:46:50.640]   Take charge of your health now
[00:46:50.640 --> 00:46:53.880]   by calling 800-340-7091,
[00:46:53.880 --> 00:46:57.160]   or see Calbin on the web at fivestarsoap.com.
[00:46:57.160 --> 00:47:05.800]   - Coast to coast, direct from Austin,
[00:47:05.800 --> 00:47:09.440]   you're listening to the Alex Jones Broadcasting Network.
[00:47:09.440 --> 00:47:10.280]   Network.
[00:47:10.280 --> 00:47:14.600]   (siren blaring)
[00:47:16.600 --> 00:47:19.200]   (upbeat music)
[00:47:19.200 --> 00:47:41.320]   - We're going back to Fred Springmeyer here
[00:47:41.320 --> 00:47:43.360]   in just a minute, and I haven't asked him yet,
[00:47:43.360 --> 00:47:47.040]   but we're probably getting set up for Thursday as well
