[00:00:00.723 --> 00:00:02.325]  What's his name?
[00:22:37.000 --> 00:22:44.886]  Last night, or yesterday afternoon, I was watching the scene, and also today, and it's like, you'll watch 10 minutes, and you're like, it's incredible, no one's ever done this, he's getting rid of anti-corruption people, yeah.
[00:22:44.886 --> 00:22:54.133]  And it's just, he lied and said he was gonna keep them on, and then he didn't, and then Sessions fired him, and then Chuck Schumer came out and got a press conference, I've never seen anything like this!
[00:22:54.133 --> 00:23:00.118]  And I'm sitting there watching, going, you're gonna tell him that it's normal to fire at least 80% of them.
[00:23:00.118 --> 00:23:02.520]  It's political appointments.
[00:23:02.520 --> 00:23:04.901]  Jeff Sessions, when George H.W.
[00:23:04.901 --> 00:23:05.502]  Bush was fired.
[00:23:07.125 --> 00:23:09.077]  He's one of the lead attorneys in the Justice Department.
[00:23:09.077 --> 00:23:10.264]  That's why he's back there now.
[00:23:10.264 --> 00:23:10.968]  That's the big joke.
[00:23:14.631 --> 00:23:26.902]  So, you're watching this on CNN, MSNBC, you name it, and they're not telling you, while they act like it's unheard of criminal activity, that it's completely legal, completely lawful, and completely normal.
[00:23:26.902 --> 00:23:28.844]  In fact, this is what I've been bitching about at Trump.
[00:23:28.844 --> 00:23:30.165]  It's just one problem.
[00:23:30.165 --> 00:23:31.527]  He's not been not decisive enough.
[00:23:31.527 --> 00:23:33.008]  Just fire all these people.
[00:23:33.008 --> 00:23:34.669]  Fire all of them.
[00:23:34.669 --> 00:23:35.510]  That's what Democrats do.
[00:23:35.510 --> 00:23:36.871]  They always fire 90 plus percent.
[00:23:37.864 --> 00:23:41.365]  Republicans are always, like, nice and only fire, like, 60-70 percent.
[00:23:41.365 --> 00:23:43.305]  Trump's only fired 46 percent.
[00:23:43.305 --> 00:23:49.347]  Fire every stinking one of them!
[00:23:49.347 --> 00:23:49.747]  Yeah, 46.
[00:23:49.747 --> 00:23:50.607]  I said 46 percent.
[00:23:50.607 --> 00:23:51.368]  Teleprompter-free.
[00:23:51.368 --> 00:23:53.868]  Yeah, if it's 46 of the 100 U.S.
[00:23:53.868 --> 00:23:56.509]  attorneys over the two per state or whatever.
[00:23:56.509 --> 00:24:06.952]  So, I got all this other important news, but talking about fake news, I mean, they are all over controlled corporate media, hyperventilating all week long about this.
[00:24:08.447 --> 00:24:18.816]  And hyperventilating when the Deputy Attorney General, who was the incoming new head, wouldn't do what Trump said on a legal order that a five-year-old could understand on immigration from six dangerous countries.
[00:24:18.816 --> 00:24:21.018]  And then when he fired her, they said, it's criminal!
[00:24:21.018 --> 00:24:22.639]  It's never been done before!
[00:24:22.639 --> 00:24:27.543]  If an Attorney General or Deputy Attorney General thumbs their nose at the President, that's in the executive branch.
[00:24:27.543 --> 00:24:28.184]  They're gone.
[00:24:31.067 --> 00:24:40.374]  But again, they think you're morons, they think you're ignorant, they think you're stupid, and they just do it over and over and over and over and over again!
[00:24:40.374 --> 00:24:51.643]  You should be insulted that SNL had this skit where aliens attack and Trump thinks black people are the aliens and thinks they're the enemy because I told them so!
[00:24:51.643 --> 00:24:54.125]  That is so defamatory!
[00:24:54.125 --> 00:24:56.927]  It'd be one thing if I was David Duke or he was, we're not!
[00:24:58.356 --> 00:25:01.677]  We're all super inclusive, everybody knows that.
[00:25:01.677 --> 00:25:03.957]  And it's like, wow!
[00:25:03.957 --> 00:25:05.958]  But see, that's the implicit threat.
[00:25:05.958 --> 00:25:07.978]  You roll over to us, or we're gonna call you racist.
[00:25:07.978 --> 00:25:09.739]  Like, Alex Jones is deeply racist.
[00:25:09.739 --> 00:25:12.200]  He doesn't like our black president's Obamacare.
[00:25:12.200 --> 00:25:14.700]  Remember all those clips I played, CNN and MSNBC?
[00:25:14.700 --> 00:25:17.401]  And I guess it's supposedly, I'm supposed to go, don't call me racist.
[00:25:17.401 --> 00:25:20.362]  Okay, have death panels, triple prices, $5,000 fines.
[00:25:20.362 --> 00:25:23.723]  Okay, I'll support your screw job, don't call me racist.
[00:25:23.723 --> 00:25:25.263]  Paul Ryan's new thing is horrible!
[00:25:25.763 --> 00:25:28.244]  I don't like the fact that Trump's halfway supported it.
[00:25:28.244 --> 00:25:33.267]  It's a little better than Obamacare, but has bigger penalties if you don't get it, than Obamacare did!
[00:25:33.267 --> 00:25:34.948]  It's got more choice!
[00:25:34.948 --> 00:25:38.449]  But still, more choice, but if you don't do it?
[00:25:38.449 --> 00:25:39.330]  Giant fines?
[00:25:39.330 --> 00:25:41.191]  It's horrible!
[00:25:41.191 --> 00:25:44.232]  Is that because I'm racist that I don't like Paul Ryan?
[00:25:44.232 --> 00:25:46.273]  No!
[00:25:46.273 --> 00:25:48.815]  He does think he's a pretty boy, and you know, he's a punk.
[00:25:48.815 --> 00:25:52.496]  But the point is, there is something annoying about a smart-ass, Eddie Haskell-type white guy.
[00:25:52.496 --> 00:25:54.217]  Maybe I am racist against white guys like that.
[00:25:54.217 --> 00:25:54.718]  The point is,
[00:25:56.281 --> 00:25:58.262]  I'm racist against elites that think they're smarter than everybody.
[00:25:58.262 --> 00:26:00.763]  I'm sick of his crap.
[00:26:00.763 --> 00:26:03.324]  I'm against this bill because it's bad!
[00:26:03.324 --> 00:26:04.184]  It's bad!
[00:26:04.184 --> 00:26:04.964]  It's bad!
[00:26:04.964 --> 00:26:07.145]  That's why I say what I say!
[00:26:07.145 --> 00:26:13.027]  All these globalist fake media people, they do what they do because they're getting paid by bosses that have an agenda.
[00:26:13.027 --> 00:26:16.428]  I get paid by the listeners of this show that support our broadcast and buy the products.
[00:26:16.428 --> 00:26:18.589]  You notice the network has radio ads.
[00:26:18.589 --> 00:26:19.409]  We run radio ads.
[00:26:19.409 --> 00:26:21.350]  That's like a small part of what we do.
[00:26:21.350 --> 00:26:21.830]  30% of our funding.
[00:26:22.861 --> 00:26:24.561]  I'm paid by you!
[00:26:24.561 --> 00:26:25.062]  Oh, and guess what?
[00:26:25.062 --> 00:26:26.402]  I have the same interest as you.
[00:26:26.402 --> 00:26:27.382]  I want to be free.
[00:26:27.382 --> 00:26:28.622]  I want my kids to be free.
[00:26:28.622 --> 00:26:29.543]  I want us to live in peace.
[00:26:29.543 --> 00:26:33.164]  I don't want to bring in a bunch of radical Muslims to run our country.
[00:26:33.164 --> 00:26:34.784]  Oh my God.
[00:26:34.784 --> 00:26:43.466]  Turkey is now trying to manipulate elections in Europe and deploying politicians to all major EU states.
[00:26:43.466 --> 00:26:50.808]  Erdogan has basically set up a dictatorship and he's now calling the Netherlands Nazis because they won't let
[00:26:51.641 --> 00:26:54.424]  His political party's set up there.
[00:26:54.424 --> 00:27:00.470]  A foreign government wants to come set up in your country, and that's what they're doing with the Muslims.
[00:27:00.470 --> 00:27:02.532]  That's what happens.
[00:27:02.532 --> 00:27:07.177]  Hell, they're always fighting with each other in their countries.
[00:27:07.177 --> 00:27:10.700]  I mean, Communist China is basically banning Muslims right now.
[00:27:10.700 --> 00:27:11.821]  Japan hasn't completely banned.
[00:27:11.821 --> 00:27:12.182]  You know why?
[00:27:13.029 --> 00:27:15.610]  Because the Communist Chinese know a threat when they see one.
[00:27:15.610 --> 00:27:19.751]  They're corrupt and bad, but they see another cult that wants to overtake their cult.
[00:27:19.751 --> 00:27:34.035]  But see, we're open-free society, so we're just like, come in, tell us what to do, run our lives, and if you don't want 80% military-age men, 5 million people in three years like Europe, running around murdering and killing and raping, and then Alec Baldwin calls you racist if you don't want that,
[00:27:35.055 --> 00:27:37.916]  Or J-Lo does.
[00:27:37.916 --> 00:27:42.799]  I say, hey, you want to bring in a bunch of rapists, you know, from Islamic Somalia, the highest rape capital in the world?
[00:27:42.799 --> 00:27:43.799]  Why don't you go to Somalia?
[00:27:43.799 --> 00:27:46.020]  Because you'd be raped in five minutes and kidnapped.
[00:27:46.020 --> 00:27:46.981]  Oh, he wants to rape!
[00:27:46.981 --> 00:27:47.641]  He wants to rape!
[00:27:47.641 --> 00:27:48.881]  I don't want J-Lo raped!
[00:27:48.881 --> 00:27:55.885]  I said, if you want everybody raped over here, if it's so damn good, lady, go over there!
[00:27:55.885 --> 00:27:58.386]  It's incredible how unintellectual these people are, too.
[00:28:00.529 --> 00:28:02.870]  I just saw a slide behind me for a TV viewer.
[00:28:02.870 --> 00:28:12.073]  We haven't reloaded these in a couple years and it's a graphic of Obama and Hitler supporting warrantless wiretaps and checkpoints.
[00:28:12.073 --> 00:28:14.453]  And I've had major newspapers here interviewing me.
[00:28:14.453 --> 00:28:15.574]  This is kind of my office.
[00:28:15.574 --> 00:28:18.015]  This studio is where I office a lot.
[00:28:18.015 --> 00:28:18.815]  This is my office in the building.
[00:28:19.898 --> 00:28:22.039]  And they'll sit there in an interview and say, oh wait, that's Hitler.
[00:28:22.039 --> 00:28:22.599]  Are you for Hitler?
[00:28:22.599 --> 00:28:25.181]  And I'm like, uh, clearly says it's with Obama.
[00:28:25.181 --> 00:28:26.402]  I don't like either one.
[00:28:26.402 --> 00:28:28.082]  I'm paralleling their policies.
[00:28:28.082 --> 00:28:30.344]  Oh, oh, oh, just making sure you don't like Hitler.
[00:28:30.344 --> 00:28:31.364]  That's all they've got.
[00:28:31.364 --> 00:28:32.645]  You're a homophobe.
[00:28:32.645 --> 00:28:34.866]  You love Hitler.
[00:28:34.866 --> 00:28:37.487]  I mean, it's just cuckoo land.
[00:28:37.487 --> 00:28:44.771]  So when we come back, I'm going to get more later into the session stuff and go over the history and the firings and the numbers and what happened here.
[00:28:44.771 --> 00:28:45.692]  Trump's only problem
[00:28:46.877 --> 00:28:49.139]  Was that he didn't just fire them all immediately.
[00:28:49.139 --> 00:28:53.222]  I mean, they're a bunch of Democrat, cult member, globalist George Soros people.
[00:28:53.222 --> 00:28:56.084]  Fire every damn one of them!
[00:28:56.084 --> 00:28:57.726]  We'll be back, though, with the big SNL breakdown.
[00:28:58.717 --> 00:29:05.238]  We're selling a product, DNA Force, that is the very best nutraceutical that we can produce.
[00:29:05.238 --> 00:29:08.459]  Dr. Grip, you took years for you to develop DNA Force for us.
[00:29:08.459 --> 00:29:14.040]  It's been something that I've been working on for a long time, Alex, because I think it's very, very important.
[00:29:14.040 --> 00:29:20.162]  What the aging process is, is when the cell replicates, we lose a little bit of our telomeres.
[00:29:20.162 --> 00:29:23.443]  Telomeres are the little cups on the end of our chromosomes.
[00:29:23.443 --> 00:29:24.883]  And when it runs out, you start dying?
[00:29:25.103 --> 00:29:29.425]  We chose the PQQ because it has over 175 different clinical trials.
[00:29:29.425 --> 00:29:32.366]  It's one of the most effective substances in the world.
[00:29:32.366 --> 00:29:34.027]  It works like an antioxidant.
[00:29:34.027 --> 00:29:37.468]  It works to repair nerve growth factor.
[00:29:37.468 --> 00:29:40.069]  So this is a formula to deliver the maximum amount.
[00:29:40.069 --> 00:29:41.130]  It's in powder form.
[00:29:41.130 --> 00:29:44.011]  We have so many five-star reviews.
[00:29:44.011 --> 00:29:44.711]  I take this.
[00:29:44.711 --> 00:29:46.532]  This is the product that I take.
[00:29:46.532 --> 00:29:48.493]  Infowarslife.com and the profit we make.
[00:29:49.313 --> 00:29:50.114]  We fight the Globals.
[00:29:50.114 --> 00:29:51.275]  We fight the New World Order.
[00:29:51.275 --> 00:29:55.440]  Secure your DNA Force today at InfoWarsLive.com or call toll free 888-253-3139.
[00:29:59.688 --> 00:30:02.889]  A clean, toxic-free body is the foundation of true health.
[00:30:02.889 --> 00:30:05.229]  Deep Cleanze by Infowarslife.com.
[00:30:05.229 --> 00:30:12.231]  A scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[00:30:12.231 --> 00:30:17.552]  Using our proprietary multi-step extraction technology, Deep Cleanze is our most affordable all-in-one cleanser.
[00:30:17.552 --> 00:30:26.554]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites, and others, Deep Cleanze doesn't hold back.
[00:30:26.994 --> 00:30:35.861]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[00:30:35.861 --> 00:30:42.946]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary Spike G-Rex herbal processing technique.
[00:30:42.946 --> 00:30:48.370]  We use only the highest quality organic herbs, backed by serious research, and we still bring it to you at the best price.
[00:30:48.610 --> 00:30:53.839]  If you wish to find deep cleanse and experience the all-in-one cleansing, visit Infowarslife.com.
[00:30:53.839 --> 00:30:56.182]  That's Infowarslife.com or call 888-253-3139.
[00:31:00.089 --> 00:31:01.670]  This is Alex Jones.
[00:31:01.670 --> 00:31:06.592]  I want to tell you about a way to save a lot of money on one of the best new off-the-grid products of 2017.
[00:31:06.592 --> 00:31:10.114]  And seriously, I really think everyone should have one of these.
[00:31:10.114 --> 00:31:15.917]  I'm talking about the PPX solar generator system from our friends at Solutions from Science, one of our oldest sponsors.
[00:31:15.917 --> 00:31:24.621]  The PPX is so small you can put it in your pocket, but so powerful you can run some 110 appliances at your house, like a small refrigerator, so you can keep food from spoiling.
[00:31:25.001 --> 00:31:30.588]  Plus, you can take it with you to jumpstart cars, trucks, buses, 18-wheelers, heavy equipment, even airplanes.
[00:31:30.588 --> 00:31:37.617]  The system provides an endless supply of off-the-grid electricity, allowing you to create your own private power grid, literally anywhere in the world.
[00:31:37.617 --> 00:31:42.183]  Perfect for cabins, remote locations, anytime you need to get off the grid for a while.
[00:31:42.423 --> 00:31:45.726]  Go to privatepowergrid.com to watch this thing in action.
[00:31:45.726 --> 00:31:47.828]  That's privatepowergrid.com.
[00:31:47.828 --> 00:31:53.554]  Even better, use coupon code PRIVATE at checkout and get a second PPX energy unit for free.
[00:31:53.554 --> 00:31:55.976]  Check it out at privatepowergrid.com.
[00:31:55.976 --> 00:31:57.658]  That's privatepowergrid.com.
[00:31:59.218 --> 00:32:01.099]  It's not just our water we need to filter.
[00:32:01.099 --> 00:32:03.120]  It's not just our food that needs to be cleaned.
[00:32:03.120 --> 00:32:06.021]  It's the air we're breathing, especially for our children.
[00:32:06.021 --> 00:32:12.084]  The artificial particulates, the chemicals, is absolutely weighing down our immune systems.
[00:32:12.084 --> 00:32:21.288]  The same team based right here in America that brought you the Alexa Pure groundbreaking water filtration systems have now developed Alexa Pure Breathe.
[00:32:21.288 --> 00:32:24.570]  Whether it's your home or office, you owe it to yourself, your co-workers,
[00:32:24.810 --> 00:32:28.797]  Your family, your children, do the best job you can to purify your air.
[00:32:28.797 --> 00:32:36.852]  The elite are masters at poisoning our environment while themselves doing things that mitigate or avoid most of the toxic effects for themselves.
[00:32:36.852 --> 00:32:37.813]  The general public doesn't.
[00:32:39.026 --> 00:32:42.948]  The Alexa Pure Breeze will be a steal at $300, $400, $500.
[00:32:42.948 --> 00:32:46.531]  One of these systems can keep 800 square feet incredibly clean.
[00:32:46.531 --> 00:32:53.235]  This is a system I'm personally putting in throughout my house, replacing older, more expensive filters that didn't do as good a job.
[00:32:53.235 --> 00:33:02.880]  Find out why this system is so revolutionary today at InfoWarsTore.com.
[00:33:02.880 --> 00:33:05.482]  You're listening to The Alex Jones Show.
[00:33:18.795 --> 00:33:23.297]  Leading a frontal assault on the lies of the New World Order.
[00:33:23.297 --> 00:33:39.746]  It's Alex Jones on the GCN Radio Network.
[00:33:39.746 --> 00:33:42.428]  Smoke on the water, fire in the sky.
[00:33:45.097 --> 00:33:46.918]  Okay, Alex Jones here, back live.
[00:33:46.918 --> 00:33:47.978]  Thank you for joining us.
[00:33:47.978 --> 00:33:49.419]  We're opening the phones up in the second hour.
[00:33:49.419 --> 00:33:58.203]  We cover a lot of other key news, a lot of global news, China threatening to nuke the United States of America in their official People's Daily over North Korea.
[00:33:58.203 --> 00:34:04.686]  How dare you not want North Korea to shoot missiles every few weeks at Japan that land right off their coast and threaten to nuke Japan?
[00:34:04.686 --> 00:34:09.048]  How dare you move B-52 bombers with nukes into South Korea?
[00:34:10.247 --> 00:34:13.348]  We're threatening to nuke you, and you've moved nukes in.
[00:34:13.348 --> 00:34:16.749]  We may nuke you first.
[00:34:16.749 --> 00:34:18.489]  You will pay the price, is the quote.
[00:34:18.489 --> 00:34:20.609]  You have chosen, and now we'll pay.
[00:34:20.609 --> 00:34:22.610]  We're going to nuke you.
[00:34:22.610 --> 00:34:24.110]  You have chosen, now you will pay.
[00:34:24.110 --> 00:34:27.551]  It sounds like aliens or something, like, we have come to destroy your planet.
[00:34:27.551 --> 00:34:28.971]  We are communists, we are crazy.
[00:34:28.971 --> 00:34:35.053]  I love how Communist China sees Islam as a threat, and is like basically banning Islam in their country.
[00:34:36.596 --> 00:34:39.657]  They've also banned promoting same-sex marriage.
[00:34:39.657 --> 00:34:42.498]  I mean, they kill you if you're gay in China.
[00:34:42.498 --> 00:34:47.999]  But I just get to hear all day long about how we're homophobic here.
[00:34:47.999 --> 00:34:49.839]  And last time I mentioned that, there was a bunch of articles.
[00:34:49.839 --> 00:34:51.500]  It was like Raw Story Salon.
[00:34:51.500 --> 00:34:54.701]  Jones thinks we ought to ban gays like China.
[00:34:54.701 --> 00:34:55.521]  No, I didn't.
[00:34:55.521 --> 00:34:59.122]  I said you like communism, but it bans being gay.
[00:35:01.860 --> 00:35:04.662]  So, how do you then attack this open, free society all day?
[00:35:04.662 --> 00:35:06.624]  You love Islam, you love communism.
[00:35:06.624 --> 00:35:12.509]  By the way, Venezuela, two years ago, had power, maybe a third of the time, in major cities.
[00:35:12.509 --> 00:35:14.791]  They already eaten the animals at the zoo.
[00:35:14.791 --> 00:35:15.852]  I'm not kidding.
[00:35:15.852 --> 00:35:16.852]  Folks, you can't make this up.
[00:35:16.852 --> 00:35:20.235]  I know it sounds crazy.
[00:35:20.235 --> 00:35:30.724]  Last year, they reported almost all the dogs and cats have been eaten, and now the country's totally collapsing, and they're trying to get out of the country, through Central America, up to Mexico, but Mexico isn't letting them in.
[00:35:33.462 --> 00:35:38.166]  So they can get up here where everything's supposed to be free.
[00:35:38.166 --> 00:35:39.768]  You know, we had a programmer that worked here.
[00:35:39.768 --> 00:35:41.009]  He was from Venezuela.
[00:35:41.009 --> 00:35:41.669]  He was here legally.
[00:35:41.669 --> 00:35:42.430]  Really smart guy.
[00:35:42.430 --> 00:35:46.334]  He did a lot of work for us that was top-notch.
[00:35:46.334 --> 00:35:52.099]  As usual, though, top people get too busy doing other jobs, so I couldn't get him to focus on what we're doing here.
[00:35:52.099 --> 00:35:56.623]  But he was a smart guy, and he used to tell me stuff about Venezuela, and I didn't believe it.
[00:35:57.588 --> 00:36:03.271]  But then later it came out in the news, a few years later, he said, they make you pray to Hugo Chavez to get your food.
[00:36:03.271 --> 00:36:05.652]  Most of the people get government handouts every day.
[00:36:05.652 --> 00:36:07.473]  The kids go to the school lunch.
[00:36:07.473 --> 00:36:09.274]  That's probably the one meal they get every day.
[00:36:09.274 --> 00:36:10.775]  And you have to pray to Jesus.
[00:36:10.775 --> 00:36:12.635]  Then Jesus doesn't give you the food.
[00:36:12.635 --> 00:36:13.916]  Then you pray to Hugo Chavez.
[00:36:13.916 --> 00:36:16.077]  This is when he had just died.
[00:36:16.077 --> 00:36:17.638]  No, he wasn't dead yet.
[00:36:17.638 --> 00:36:21.620]  And then you get the milk and the cereal and the eggs.
[00:36:24.594 --> 00:36:30.897]  And then it came out that on national TV, the new leader, remember when he died, said, pray and you'll get food.
[00:36:30.897 --> 00:36:34.998]  And they teach the kids to pray in school to Hugo Chavez.
[00:36:34.998 --> 00:36:42.261]  See, that's why communists don't like Christianity, is because it's a religion that's about helping people and being good and being nice.
[00:36:42.261 --> 00:36:44.642]  Doesn't mean it hasn't been distorted or used bad before.
[00:36:44.642 --> 00:36:45.702]  Any religion can be.
[00:36:45.702 --> 00:36:47.363]  But they want the state to be God.
[00:36:47.363 --> 00:36:49.244]  That's a fact.
[00:36:49.244 --> 00:36:49.824]  I'm digressing.
[00:36:49.824 --> 00:36:52.245]  Let me get into the SNL skit here.
[00:36:54.295 --> 00:37:00.759]  There it is, yeah, that's R. Chavez, who art in heaven, on earth, in the sea, and in us delegates.
[00:37:00.759 --> 00:37:01.760]  That's the president said.
[00:37:01.760 --> 00:37:03.221]  Hallowed be thy name.
[00:37:03.221 --> 00:37:07.023]  Thy agency come, so we can take it to the people here and elsewhere.
[00:37:07.023 --> 00:37:07.703]  Yeah, no, that's TV.
[00:37:07.703 --> 00:37:10.485]  They have a daily call to prayer to Hugo Chavez.
[00:37:10.485 --> 00:37:12.907]  It's not a joke!
[00:37:12.907 --> 00:37:16.068]  And of course, you pray to the state, everything's collapsing.
[00:37:16.068 --> 00:37:17.870]  Trump says, I'm in control of the state.
[00:37:17.870 --> 00:37:20.411]  We're gonna devolve it, break it down, and give it back to you.
[00:37:20.411 --> 00:37:21.392]  You're the superstars.
[00:37:22.793 --> 00:37:26.155]  Not people on TV, not me, the president, not basketball stars.
[00:37:26.155 --> 00:37:28.396]  He said in the inaugural, you.
[00:37:28.396 --> 00:37:35.761]  And people have to get in that mode that they're the leader of their own destiny with God, asking God to be the light.
[00:37:35.761 --> 00:37:37.822]  And that's what creates powerful societies.
[00:37:37.822 --> 00:37:40.644]  You've got to be put in that leadership role.
[00:37:40.644 --> 00:37:49.910]  I can't tell you running a company that gets information out for 20 years that how I learned, because I don't remember when I did it, but somewhere along the way I learned, if you don't put a bunch of responsibilities on people,
[00:37:51.107 --> 00:37:53.289]  They don't thrive, they don't flourish, they fall apart.
[00:37:53.289 --> 00:38:00.415]  Even if they were good at another job before, if you don't empower them to take action, they just go nowhere.
[00:38:00.415 --> 00:38:01.256]  It's the same thing with kids.
[00:38:01.256 --> 00:38:04.939]  It's the same thing with yourselves.
[00:38:04.939 --> 00:38:07.962]  And this whole nanny state doesn't want competition.
[00:38:07.962 --> 00:38:09.804]  The big corporations, they're in control.
[00:38:09.804 --> 00:38:10.764]  They want it sewed up.
[00:38:10.764 --> 00:38:11.865]  They don't want a middle class.
[00:38:11.865 --> 00:38:17.891]  And I know I harp on that all day, but it's now proof 52 days into Trump.
[00:38:19.582 --> 00:38:21.583]  That everything he said he'd do, he did!
[00:38:21.583 --> 00:38:26.925]  And it's amazing!
[00:38:26.925 --> 00:38:29.107]  It's incredible!
[00:38:29.107 --> 00:38:31.688]  It freaks me out!
[00:38:31.688 --> 00:38:42.593]  That he's 95% doing what he said he'd do, and that's with most of the government not even having his people in, and them openly fighting him and trying to block him!
[00:38:42.593 --> 00:38:44.434]  You know, let's bring some balance to this, because...
[00:38:45.805 --> 00:38:52.706]  I'm going to go ahead and give you criticisms of Trump for the rest of the segment, then I'm coming back and covering the biggest lies I've ever seen by any media.
[00:38:52.706 --> 00:38:55.907]  People say, oh, it's entertainment Alex, you know, SNL.
[00:38:55.907 --> 00:38:57.647]  They have no credibility in MSN News.
[00:38:57.647 --> 00:38:59.128]  They have no viewers, no lists.
[00:38:59.128 --> 00:39:00.388]  They're 6% approval already.
[00:39:00.388 --> 00:39:01.248]  I kept seeing 7.
[00:39:01.248 --> 00:39:04.469]  It's 6 in the AP poll nationwide.
[00:39:04.469 --> 00:39:10.010]  And so now it's TV, it's movies, it's entertainment, it's comedy where the political news is happening.
[00:39:11.394 --> 00:39:26.824]  Stephen Colbert poses as a reporter, as an anchor, and then he puts out fake news, and then critiques us, and says fake things we didn't say, or out of context things, and he exposes the fake news that's the real trailblazing news.
[00:39:26.824 --> 00:39:31.307]  Let's just admit it, InfoWars is the operating system of the global resistance.
[00:39:31.307 --> 00:39:37.351]  I mean, out of the Panopticon, and the Cornucopia, and the Spectrum, the Pantheon, the Panacea,
[00:39:40.615 --> 00:39:42.156]  Infowars is the heart.
[00:39:42.156 --> 00:39:53.401]  And it's the skin, it's the guts, it's the bones, but it's the rediscovered Americana, updated with a 21st century analysis.
[00:39:53.401 --> 00:39:55.061]  But let me just do some criticisms of Trump.
[00:39:55.061 --> 00:39:58.543]  He's not been decisive enough, and I'm not in his shoes, believe me.
[00:39:58.543 --> 00:40:08.247]  I'm not Monday morning quarterbacking, I'm not backseat driving, even though I am, but just I guess to be fair, it's not really fair, he's under total attack from all sides, but let's just do some criticism.
[00:40:08.567 --> 00:40:09.908]  He didn't fire all the U.S.
[00:40:09.908 --> 00:40:30.685]  attorneys that he should have right away, a bunch of cult members that allowed all these crimes to be committed by Obama, and the arrogance of the Attorney General Lynch and Holder, and Holder's appointees are in there saying, Obama's coming, we're going to overthrow Trump, and they stole $3 billion, it's admitted, out of federal fines of banks and gave it to private groups, and George Soros?
[00:40:31.738 --> 00:40:33.218]  Oh yeah, Trump!
[00:40:33.218 --> 00:40:39.120]  In fact, I was a little bit getting paranoid when he wasn't firing all these people saying, why is he getting rid of his enemies?
[00:40:39.120 --> 00:40:40.320]  Is he secretly a mole?
[00:40:40.320 --> 00:40:48.843]  But I was like, no, his rhetoric's too good, his actions are too good, he's damaging them, he's hurting the globalists, he's bringing the jobs back, he killed TPP, he did all the stuff that I know
[00:40:50.891 --> 00:40:51.672]  He wouldn't do that.
[00:40:51.672 --> 00:40:53.113]  That's irrevocable damage to them.
[00:40:53.113 --> 00:40:55.135]  It's spread all over the world.
[00:40:55.135 --> 00:40:58.377]  Globalists are being kicked out or about to be kicked out all over the planet.
[00:40:58.377 --> 00:41:01.580]  They admit they're on fire in hundreds of articles a week.
[00:41:01.580 --> 00:41:03.822]  They are blowing up right now in a bad way.
[00:41:03.822 --> 00:41:04.762]  Not a good way.
[00:41:04.762 --> 00:41:05.703]  We're blowing up in a good way.
[00:41:05.703 --> 00:41:09.066]  They're basically collapsing.
[00:41:09.066 --> 00:41:10.067]  That's an inward explosion.
[00:41:12.594 --> 00:41:15.077]  And then I sat there and started looking at it and it's just no.
[00:41:15.077 --> 00:41:15.757]  Can you imagine?
[00:41:15.757 --> 00:41:18.300]  I can't even hardly run a company with 60 people.
[00:41:18.300 --> 00:41:20.942]  Even though they're great and working hard, stuff gets wrong, miscommunication.
[00:41:20.942 --> 00:41:23.765]  Can you imagine millions of federal employees?
[00:41:23.765 --> 00:41:24.446]  Millions.
[00:41:24.446 --> 00:41:25.667]  Tens of millions.
[00:41:25.667 --> 00:41:26.508]  How many federal employees?
[00:41:26.508 --> 00:41:28.170]  Let's look up the number.
[00:41:28.170 --> 00:41:28.950]  Add contractors in.
[00:41:28.950 --> 00:41:30.332]  I think it's about 20 million.
[00:41:31.735 --> 00:41:33.197]  Twenty million people.
[00:41:33.197 --> 00:41:33.777]  I'm going from memory.
[00:41:33.777 --> 00:41:34.698]  Let's just see if I'm right.
[00:41:34.698 --> 00:41:39.283]  Just like earlier I said, hey, Bill Clinton fired 93 U.S.
[00:41:39.283 --> 00:41:40.404]  attorneys when he first got in.
[00:41:40.404 --> 00:41:40.824]  Looked it up.
[00:41:40.824 --> 00:41:43.067]  My memory was right from back when it happened.
[00:41:43.067 --> 00:41:45.049]  Sometimes I'm wrong though, so we just have to double check things.
[00:41:45.049 --> 00:41:48.232]  But you can look at it between 15, 30 million or the different estimates.
[00:41:48.232 --> 00:41:49.894]  Let's just say 20 million federal employees.
[00:41:51.349 --> 00:41:51.609]  20 million.
[00:41:51.609 --> 00:41:52.770]  20 million.
[00:41:52.770 --> 00:41:54.291]  20 million.
[00:41:54.291 --> 00:42:00.575]  How is he supposed to run all that when most of them have been beavered in there by the Republicans and the Democrats to be globalist operatives over the years?
[00:42:00.575 --> 00:42:14.603]  But despite that, in 52 days, the best jobs numbers since 1984, the best small business numbers since 1984, the peak of the Reagan recovery, the best numbers we've seen in 30 years.
[00:42:14.603 --> 00:42:18.386]  Those are real numbers.
[00:42:18.386 --> 00:42:18.906]  Think about that.
[00:42:20.503 --> 00:42:21.685]  Put that in your pipe and smoke it.
[00:42:21.685 --> 00:42:26.252]  I said I was going to criticize Trump, but I haven't yet.
[00:42:26.252 --> 00:42:28.255]  Well, I mean, he just should have fired them all immediately.
