[00:00:00.071 --> 00:00:00.318]  Okay.
[00:57:14.434 --> 00:57:16.596]  Triple Patriot points, storewide free shipping.
[00:57:17.709 --> 00:57:20.131]  You get an additional 10% off if you sign up for AutoShip.
[00:57:20.131 --> 00:57:21.953]  Cancel any time for free.
[00:57:21.953 --> 00:57:23.794]  Get 10% off on the order you're making.
[00:57:23.794 --> 00:57:25.315]  Nobody's got that.
[00:57:25.315 --> 00:57:28.798]  DNA Force Plus, 50% off with a free bottle of Brain Force Plus.
[00:57:28.798 --> 00:57:32.061]  Get X2 and X3 with a free bottle of Brain Force Plus.
[00:57:32.061 --> 00:57:34.083]  A lot of these specials are going to have to end.
[00:57:34.083 --> 00:57:38.967]  A few of these specials will continue on later in the week, but a lot of these sales have to end.
[00:57:38.967 --> 00:57:40.208]  Krill Oil is back in stock.
[00:57:40.208 --> 00:57:44.952]  We have the new tooth whitening, fluoride-free toothpaste.
[00:57:44.952 --> 00:57:46.313]  Super Silver and so much more.
[00:57:48.467 --> 00:57:56.730]  The Anti-Defamation League is one of the most powerful, globalist, leftist, anti-American organizations on the face of the planet.
[00:57:56.730 --> 00:58:01.492]  And they have declared that Infowars is public enemy number one.
[00:58:01.492 --> 00:58:10.996]  They gave Tim Cook of Apple an award specifically for deplatforming me to make sure that tens of millions of people could not hear the show.
[00:58:11.756 --> 00:58:22.204]  And now they've had Sacha Baron Cohen come out and call for the arrest of big tech heads that do not turn full control over to the globalist ADL.
[00:58:22.204 --> 00:58:27.428]  And they've called for a complete purge of anyone promoting Americana.
[00:58:27.428 --> 00:58:28.668]  We are being demoralized.
[00:58:28.668 --> 00:58:29.889]  We are being conquered.
[00:58:29.889 --> 00:58:35.934]  And the enemy wants to shut Infowars down because they understand that we've got their number and know how to defeat their paradigm.
[00:58:36.394 --> 00:58:40.759]  You have helped keep us on the air, but now the attacks are more insane than ever.
[00:58:40.759 --> 00:58:45.724]  So please visit infowarestore.com during Black Friday for the biggest sales of the year and fund the InfoWar.
[00:58:45.724 --> 00:58:50.770]  Please take action.
[00:58:50.770 --> 00:58:54.233]  A question was once posed to Thomas Jefferson.
[00:58:54.233 --> 00:58:57.417]  What is the level of tyranny
[00:58:58.814 --> 00:59:01.177]  That a tyrant will take humanity to.
[00:59:01.177 --> 00:59:03.000]  How far will they go?
[00:59:03.000 --> 00:59:04.061]  What's their limit?
[00:59:04.061 --> 00:59:10.871]  And he said, it is the limit to which other men and women will submit.
[00:59:10.871 --> 00:59:14.276]  The answer is, there is no limit to evil.
[00:59:14.276 --> 00:59:15.838]  It is a bottomless pit.
[00:59:17.188 --> 00:59:22.592]  We've been taught in modern culture and society that evil doesn't exist.
[00:59:22.592 --> 00:59:25.374]  Or that there's no free will, there's no devil or the god.
[00:59:25.374 --> 00:59:35.302]  But those very same people have all these rules for us about speech and how we can dress and where we can live and what our houses can be like.
[00:59:35.922 --> 00:59:40.166]  They just don't want us to have any values so they can run over us.
[00:59:40.166 --> 00:59:42.108]  Oxford's banned clapping.
[00:59:42.108 --> 00:59:43.109]  Universities in the U.S.
[00:59:43.109 --> 00:59:45.491]  have banned 21-gun salutes for veterans.
[00:59:45.491 --> 00:59:51.898]  These people are dangerous cult leaders and it's time to reject them.
[00:59:51.898 --> 00:59:54.580]  You're listening to the Alex Jones Show.
[01:00:00.825 --> 01:00:02.005]  You found it.
[01:00:02.005 --> 01:00:04.026]  The tip of the spear.
[01:00:04.026 --> 01:00:10.269]  It is the Alex Jones Show.
[01:00:10.269 --> 01:00:14.110]  Well, they're already calling it a war on journalists.
[01:00:14.110 --> 01:00:21.413]  Oh, Trump's never arrested whistleblowers, never indicted members of the press like Obama did.
[01:00:21.413 --> 01:00:26.234]  But Bloomberg said we're not going to investigate any Democrat candidates, only Trump.
[01:00:26.234 --> 01:00:28.015]  Well, that's not a news organization.
[01:00:28.015 --> 01:00:29.556]  That's a devilish
[01:00:30.595 --> 01:00:33.038]  Disinformation fake news op.
[01:00:33.038 --> 01:00:38.205]  Show breaking Trump campaign will no longer credential Bloomberg news reporters.
[01:00:38.205 --> 01:00:42.470]  That's up on DrudgeReport.com, a Gateway Pundit article.
[01:00:42.470 --> 01:00:43.612]  And isn't that what you do?
[01:00:43.612 --> 01:00:47.517]  When you're dealing with such a fake?
[01:00:50.552 --> 01:00:54.075]  Fake organization and the fact that they would do that.
[01:00:54.075 --> 01:01:04.924]  You see, there's no shame in corporate establishment mouthpiece Decepticon media that calls themselves MSM.
[01:01:04.924 --> 01:01:16.314]  And now that entire MSM is like a deer in the headlights saying, yes, actually we are censoring everybody and it's our right to do it.
[01:01:17.912 --> 01:01:22.716]  We're not going to let Trump put out ads on Facebook saying we're looking for strong women.
[01:01:22.716 --> 01:01:29.703]  We're not going to let people put out images of Melania Trump promoting the campaign because she looks too good and is too effective.
[01:01:29.703 --> 01:01:37.850]  So they are now calling that hate speech and Trump is going to sit there and do absolutely nothing.
[01:01:37.850 --> 01:01:43.435]  And then I'm supposed to sit here like a happy cult member and go over the edge of the cliff while this is unfolding?
[01:01:45.137 --> 01:02:01.602]  Since when in America, on the main communication system, that's Facebook, biggest communication system in the world, private messages are being reviewed by AI and humans, and by the ADL and Southern Poverty Law Center, they're in your Facebook instant messengers, and that's not enough for Sacha Baron Cohen!
[01:02:01.602 --> 01:02:05.084]  He wants Zuckerberg arrested!
[01:02:05.084 --> 01:02:08.985]  He's not doing enough!
[01:02:08.985 --> 01:02:12.146]  What a pack of control freak pirates!
[01:02:17.281 --> 01:02:20.543]  Because we lay down to it.
[01:02:20.543 --> 01:02:21.904]  Because we roll over to it.
[01:02:21.904 --> 01:02:27.128]  It just gets worse and worse and worse and worse and worse.
[01:02:27.128 --> 01:02:38.656]  So, Trump is having the 2020 election stolen.
[01:02:41.923 --> 01:02:42.864]  And the campaign's well.
[01:02:42.864 --> 01:02:46.606]  Polls show the president's gotten more popular with impeachment.
[01:02:46.606 --> 01:02:51.868]  Yeah, that's why they're gonna steal it from you, buddy boy.
[01:02:51.868 --> 01:02:56.571]  Hey, we're polling better with internal polls than we did four years ago.
[01:02:56.571 --> 01:03:01.293]  Yeah, that's why they're gonna steal it from you, Trump.
[01:03:01.293 --> 01:03:07.117]  Yes, we know the propaganda's not working on the majority of people.
[01:03:07.117 --> 01:03:08.858]  But it doesn't matter because
[01:03:10.063 --> 01:03:17.749]  Over half the machines are owned by subsidiaries of, oh, you guessed it, George Soros.
[01:03:17.749 --> 01:03:20.131]  Anybody can look that up.
[01:03:20.131 --> 01:03:22.713]  And nothing is done.
[01:03:22.713 --> 01:03:31.300]  Because the political class wants to remove Trump from power.
[01:03:31.300 --> 01:03:34.503]  And Trump just thinks if he has a few more stops,
[01:03:36.158 --> 01:03:41.042]  And gives a few more speeches, he'll overpower and override that, and that's not the case.
[01:03:41.042 --> 01:03:51.370]  But start your engines, because when we come back, I'm gonna systematically go through all of the news.
[01:03:51.370 --> 01:04:03.560]  First, Frozen 2, a stunning window into the mind of the deranged lunatics
[01:04:04.451 --> 01:04:06.452]  That own and run the planet.
[01:04:06.452 --> 01:04:26.999]  And so if you want to know what they're thinking, if you want to know what they're doing, if you want to know what their agenda is, all you got to do is turn the television set on and it is a gateway into hell itself.
[01:04:26.999 --> 01:04:30.461]  A rift in the time-space continuum.
[01:04:30.461 --> 01:04:31.121]  A gateway
[01:04:32.509 --> 01:04:38.836]  To the nether regions of the universe's dark, stinking corners.
[01:04:38.836 --> 01:04:49.990]  With long, hairy tentacles reaching out, looking for however many children it can snare in its fetid claws.
[01:04:56.775 --> 01:05:03.001]  Black Friday is here, and the sales are so numerous, there is no way to go over all of them.
[01:05:03.001 --> 01:05:09.446]  But let me just give you an example of some of the sales we have running right now.
[01:05:09.446 --> 01:05:13.170]  DNA Force plus our flagship product, 50% off
[01:05:14.651 --> 01:05:19.473]  Free shipping, triple Patriot points, that's 15% off on your next order.
[01:05:19.473 --> 01:05:24.155]  If you sign up for auto-ship, an additional 10% off on that order, making it a loss leader.
[01:05:24.155 --> 01:05:32.218]  But on top of it, I'm offering a free bottle of Brain Force Plus, our number one best-selling product, so that those of you that haven't tried it,
[01:05:33.058 --> 01:05:40.780]  Can see how it gives you clean, focused mental stamina, is the term that I use, with none of the hangovers.
[01:05:40.780 --> 01:05:44.341]  Again, that's just one of the sales going right now.
[01:05:44.341 --> 01:05:53.563]  50% off, free shipping, triple Patriot points, free bottle of Brain Force Plus with DNA Force Plus at Infolwerestore.com.
[01:05:53.563 --> 01:05:58.004]  Please take action and fund this operation.
[01:05:58.004 --> 01:05:59.904]  Okay, Olaf, you're up.
[01:05:59.904 --> 01:06:00.665]  Unicorn.
[01:06:00.665 --> 01:06:00.985]  Teapot.
[01:06:03.666 --> 01:06:05.527]  I don't think Olaf should get to rearrange.
[01:06:05.527 --> 01:06:06.048]  Doesn't matter.
[01:06:06.048 --> 01:06:07.629]  This is gonna be a cinch.
[01:06:07.629 --> 01:06:09.491]  Oh, uh, distracted.
[01:06:09.491 --> 01:06:12.713]  Worried?
[01:06:12.713 --> 01:06:14.715]  Has Elsa seemed weird to you?
[01:06:14.715 --> 01:06:17.637]  She seems like Elsa.
[01:06:17.637 --> 01:06:18.978]  There's this voice.
[01:06:18.978 --> 01:06:19.358]  Voice?
[01:06:19.358 --> 01:06:22.681]  What does that mean?
[01:06:22.681 --> 01:06:25.563]  Head for the cliff!
[01:06:25.563 --> 01:06:28.825]  Who's shaking the building?
[01:06:28.825 --> 01:06:31.608]  The kingdom is not safe.
[01:06:33.303 --> 01:06:35.885]  Find who is calling to you.
[01:06:35.885 --> 01:06:38.446]  They may have answers.
[01:06:38.446 --> 01:06:43.950]  Go north, across the enchanted lands, and into the unknown.
[01:06:43.950 --> 01:06:47.272]  We do this together, okay?
[01:06:47.272 --> 01:06:49.714]  Be careful.
[01:06:49.714 --> 01:06:55.257]  The spirits will challenge you every step of the way.
[01:06:55.257 --> 01:06:55.497]  Oh!
[01:07:03.388 --> 01:07:05.729]  That's normal.
[01:07:05.729 --> 01:07:07.509]  Who are you?
[01:07:07.509 --> 01:07:07.669]  Hi!
[01:07:07.669 --> 01:07:09.009]  I'm Omar.
[01:07:09.009 --> 01:07:09.889]  Oh, sorry.
[01:07:09.889 --> 01:07:12.210]  Yeah, I just bought your clothes.
[01:07:12.210 --> 01:07:15.571]  If you are receiving this transmission, you are the resistance.
[01:07:28.254 --> 01:07:37.917]  Live from the InfoWars.com studios, it's Alex Jones.
[01:07:37.917 --> 01:07:45.760]  Frozen 2 is a demonic seduction.
[01:07:45.760 --> 01:07:46.220]  Frozen 2
[01:07:49.881 --> 01:07:59.909]  Is Hollywood and the satanic pedophile vampires trying to seduce and harm the children of the planet?
[01:07:59.909 --> 01:08:01.991]  It is a spider.
[01:08:01.991 --> 01:08:04.273]  At the center of the web.
[01:08:04.273 --> 01:08:07.155]  Drunk on the blood of the innocents.
[01:08:07.155 --> 01:08:09.677]  Hungry.
[01:08:09.677 --> 01:08:12.860]  For a giant feast.
[01:08:12.860 --> 01:08:14.361]  It's just been waiting for.
[01:08:18.248 --> 01:08:27.911]  So I took my oldest and my middle daughter, I've got three daughters, and four of their friends to see Frozen.
[01:08:27.911 --> 01:08:29.272]  And I'd read some reviews.
[01:08:29.272 --> 01:08:32.593]  I knew it was going to be New Age propaganda.
[01:08:32.593 --> 01:08:43.096]  It was going to attack the West and have its own pilgrim story of the evil white settlers coming and killing the godlike natives, the peaceful angelic creatures.
[01:08:43.096 --> 01:08:46.457]  But it was far worse than that.
[01:08:46.457 --> 01:08:47.658]  Serious occultism.
[01:08:50.131 --> 01:08:54.514]  Projected through a Rosicrucian lens.
[01:08:54.514 --> 01:09:04.881]  A lot of really deep occult iconography.
[01:09:04.881 --> 01:09:17.790]  Projected at one level through a godly ethos, show as to trick young children that have already had experiences
[01:09:18.820 --> 01:09:27.389]  With God's energy, with the Holy Spirit, to literally be drug into the dark by a huge anglerfish.
[01:09:27.389 --> 01:09:29.010]  And let's show folks an anglerfish.
[01:09:29.010 --> 01:09:36.798]  It has a false light hanging off its head and just inches away in the dark of the giant stinking teeth.
[01:09:36.798 --> 01:09:39.521]  So it is a real work of hell.
[01:09:41.857 --> 01:10:05.429]  Not just the bestiality, not just the pedophilia, not just the young girls in bed together, obviously in a lesbian-esque event for young girls, but the image of the waterfall
[01:10:10.720 --> 01:10:18.082]  God's light, the truth, the universe, the time-space continuum flowing, the living waters.
[01:10:18.082 --> 01:10:30.805]  And the West and evil white men have damned the water of God that is occultic earth worship.
[01:10:30.805 --> 01:10:37.506]  And that men have captured the goddess, the feminine energy, and have enslaved it.
[01:10:37.506 --> 01:10:40.007]  And only this lesbian queen
[01:10:43.683 --> 01:10:54.289]  Can summon the power of the earth to crush the dam and release the feminine energy into the world and save us all.
[01:10:54.289 --> 01:11:00.572]  And that's the message.
[01:11:00.572 --> 01:11:04.174]  Let's make sure that woman never has a man and never has children.
[01:11:04.174 --> 01:11:10.718]  Let's make sure she never carries out the rituals God gave us that activate her power.
[01:11:10.718 --> 01:11:13.179]  Let's tell her her power comes from serving
[01:11:20.234 --> 01:11:28.876]  And turning her will over to be the fifth element.
[01:11:28.876 --> 01:11:39.399]  The Mary Magdalene that has sex with Jesus and then populates the earth.
[01:11:39.399 --> 01:11:43.520]  So she's a god and the young girls learn they're going to be gods.
[01:11:46.397 --> 01:12:03.412]  And the evil white king who founded this new kingdom, he tried to steal the power and the essence of the unisex chief.
[01:12:12.307 --> 01:12:25.653]  It turns out that his civilization and everything has to be destroyed because it was stolen from the natives.
[01:12:25.653 --> 01:12:30.836]  Basically, James Cameron's Avatar 2.0.
[01:12:30.836 --> 01:12:37.219]  And it's the same message over and over again by the horribly corrupt, wicked, satanic,
[01:12:38.268 --> 01:13:03.724]  Hollywood that cheats everyone, that abuses everyone, that's completely soulless, that literally engages in human sacrifice, but it's telling you this message of earth worship and how everything's going to be wonderful once we just get rid of men in the family and once the women and children are just all alone in the woods.
[01:13:06.767 --> 01:13:15.955]  Then you're going to be really powerful all alone in the woods.
[01:13:15.955 --> 01:13:24.743]  The film is an ice cream truck pulling up with ice cream music and sticking its arm out with an ice cream cone.
[01:13:24.743 --> 01:13:29.548]  Inviting everyone to come over and pick their favorite flavor.
[01:13:29.548 --> 01:13:32.751]  And then, oh by the way, come around back if you want a toy.
[01:13:33.803 --> 01:13:36.884]  And then the back door opens and there's another little kid standing there.
[01:13:36.884 --> 01:13:44.986]  He's got black circles around his eyes and cigarette burns on him, but you're not really noticing that because he's got a little toy snowman and he's cute.
[01:13:44.986 --> 01:13:46.086]  It's all about love.
[01:13:46.086 --> 01:13:53.948]  It's all about love and not having any discernment and just lower your defenses and just get in the back.
[01:13:53.948 --> 01:13:58.890]  Here, we're going to close this door so we can have a little privacy.
[01:13:58.890 --> 01:14:02.751]  And next, there's a ball gag shoved in your mouth and your hog died.
[01:14:04.031 --> 01:14:09.335]  And in a couple hours, people are going to be drinking your blood while you're alive.
[01:14:09.335 --> 01:14:25.928]  So the whole thing is an angler fish, this light hung out in front, telling little girls, you have this incredible power and you're going to have it because you're going to keep men out of your life.
[01:14:25.928 --> 01:14:28.470]  And you're just going to let the spirit of the woods direct you.
[01:14:28.470 --> 01:14:30.131]  And it's going to be really wonderful.
[01:14:30.131 --> 01:14:32.653]  Just come towards the light, Carol Ann.
[01:14:37.799 --> 01:14:39.320]  And it's all very, very cute.
[01:14:39.320 --> 01:14:43.822]  And the spirits you're going to conjure are little cute geckos and things like this.
[01:14:43.822 --> 01:14:45.143]  And wild horses.
[01:14:45.143 --> 01:14:46.864]  And you're going to conquer it all.
[01:14:46.864 --> 01:14:49.586]  Just come towards the light.
[01:14:49.586 --> 01:14:51.507]  And just never mind.
[01:14:51.507 --> 01:14:52.967]  You think you see some eyes and some teeth.
[01:14:52.967 --> 01:14:54.648]  Just go down that tunnel.
[01:14:54.648 --> 01:14:56.870]  Everything's okay.
[01:14:56.870 --> 01:14:57.990]  And you're going to be fulfilled.
[01:14:57.990 --> 01:14:59.891]  You're going to be empowered.
[01:14:59.891 --> 01:15:06.215]  Brace yourself for the adventure of being taken to Jeffrey Epstein's spider hole.
[01:15:06.215 --> 01:15:06.575]  And that's it!
[01:15:09.827 --> 01:15:22.651]  And then you think about who are the people that produce this and make this, and it's every movie and it's every show attacking Christmas, attacking Thanksgiving, attacking families, because they want you alone to have their way with you.
[01:15:22.651 --> 01:15:28.452]  And they run ads like, oh, it's like a fun Christmas movie where, you know, you sit around, you play charades or whatever.
[01:15:28.452 --> 01:15:30.153]  No, that's not what it is.
[01:15:30.153 --> 01:15:31.113]  It's not the light.
[01:15:32.048 --> 01:15:34.450]  It's the false light of Lucifer.
[01:15:34.450 --> 01:15:38.633]  And when you try to join with that light, you're gonna find you're a slave forever.
[01:15:38.633 --> 01:15:40.655]  And that's all it is.
[01:15:40.655 --> 01:15:52.464]  Meanwhile, again, the Native Americans were all killing each other, incredibly savage and vicious, and would demand that the white settlers join them in attacking the neighboring tribe, or they would kill them.
[01:15:52.464 --> 01:15:53.545]  It's just all lies.
[01:15:56.061 --> 01:15:59.084]  We can all agree these are troubled times, right?
[01:15:59.084 --> 01:16:01.987]  So do you know who's on your wireless network?
[01:16:01.987 --> 01:16:09.213]  Whether it's a big company selling your data or a foreign hacker, if you're not protected, everybody sees your information.
[01:16:09.213 --> 01:16:12.997]  That's why you need Flash Routers, a custom Wi-Fi router.
[01:16:13.097 --> 01:16:13.397]  We're good.
[01:16:30.066 --> 01:16:34.948]  ...and unlocks powerful router management tools to let you take total control of your network.
[01:16:34.948 --> 01:16:37.828]  Call or click FlashRouters today at 1-866-509-5817 or flashrouters.com.
[01:16:37.828 --> 01:16:39.309]  That's 1-866-509-5817 or flashrouters.com.
[01:16:39.309 --> 01:16:44.250]  Protect your wireless home network today with FlashRouters.
[01:16:55.498 --> 01:17:01.243]  Finally, there's a way for you to get into the blockchain, the hottest financial sector without all the speculation.
[01:17:01.243 --> 01:17:06.347]  Now, enjoy a 27% annualized payment each month without the ups and downs of Bitcoin.
[01:17:06.347 --> 01:17:14.073]  Seen on programs broadcast on Fox Business News, blockchain data centers offer an equipment leasing program in the explosive digital asset marketplace.
[01:17:14.073 --> 01:17:21.939]  Inspired by entrepreneurs who sold picks and shovels during the gold rush, the money is in the mining equipment used to manufacture dozens of critical digital assets.
[01:17:22.099 --> 01:17:23.900]  Not a security IPO or note.
[01:17:23.900 --> 01:17:33.425]  Blockchain data centers have a proven turnkey equipment sale leaseback program with a 27% annualized lease payment deposited into your bank account each month.
[01:17:33.425 --> 01:17:34.265]  Don't miss this one.
[01:17:34.265 --> 01:17:35.566]  Stake your claim today.
[01:17:35.566 --> 01:17:35.826]  Call 800-600-3388.
[01:17:35.826 --> 01:17:36.166]  That's 800-600-3388.
[01:17:36.166 --> 01:17:38.247]  These valuable lease contracts won't last long.
[01:17:38.247 --> 01:17:38.487]  Call now.
[01:17:38.487 --> 01:17:38.547]  800-600-3388.
[01:17:38.547 --> 01:17:38.587]  800-600-3388.
[01:17:48.712 --> 01:17:50.433]  This equipment offer poses a financial risk to owners.
[01:17:50.433 --> 01:17:57.579]  Consult with financial professionals before purchasing, not an offer to buy or sell the security, which requires an offering document.
[01:17:57.579 --> 01:18:07.387]  There's a famous quote by a Marine Corps General in the Korean War, when three million CHICOMs had flooded across the border and surrounded the Marines.
[01:18:08.533 --> 01:18:11.914]  More than 50 to 1, some estimates have it.
[01:18:11.914 --> 01:18:17.135]  But the point is, they were outnumbered, and the General was told, General, we're completely surrounded.
[01:18:17.135 --> 01:18:21.376]  He said, good, we can attack in all directions.
[01:18:21.376 --> 01:18:25.498]  Well, that's the point that InfoWars has reached.
[01:18:25.498 --> 01:18:30.519]  And it really is epic, it really is biblical, and we wouldn't have gone this far without all your support.
[01:18:31.701 --> 01:18:38.045]  But it's going to become more critical than ever as the censorship becomes complete.
[01:18:38.045 --> 01:18:50.673]  And it's not just Americans, but folks all over the world are completely silenced when it comes to speaking the name of a CIA fake whistleblower, or exposing a pedophile, or speaking out against dangerous vaccines.
[01:18:50.673 --> 01:18:54.916]  Because by InfoWars having its own platform, that checkmates the globalists.
[01:18:58.191 --> 01:19:01.313]  I've made a lot of predictions that have come true.
[01:19:01.313 --> 01:19:07.398]  But I'm here to tell you, most of those really weren't predictions that came out of a crystal ball.
[01:19:07.398 --> 01:19:09.319]  I could see where the Globalists were going.
[01:19:09.319 --> 01:19:13.943]  I could see what their in-game agenda was, what their goal was.
[01:19:13.943 --> 01:19:20.268]  And I knew that when they were setting us up to be deplatformed, that they were really setting the precedent to take everybody
[01:19:21.008 --> 01:19:31.942]  Off air to to silence everyone to ban words and names and information on fake whistleblowers so that their false narratives couldn't be opposed.
[01:19:31.942 --> 01:19:36.527]  What the globalists really feared was independent media and platforms
[01:19:37.148 --> 01:19:37.908]  In the future.
[01:19:37.908 --> 01:19:43.351]  It was the model of Infowars as much as the information that had to be silenced.
[01:19:43.351 --> 01:19:49.314]  Because they need total information dominance for their outrageous lies and the evil they're pushing to succeed.
[01:19:49.314 --> 01:19:59.819]  And that's why keeping Infowars on the air is now more imperative and more vital than ever.
[01:19:59.819 --> 01:20:02.461]  You're listening to the Alex Jones Show.
[01:20:10.959 --> 01:20:17.541]  You are listening to an InfoWars.com Frontline Report.
[01:20:17.541 --> 01:20:29.065]  If you are receiving this transmission, you are the resistance.
[01:20:29.065 --> 01:20:37.708]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[01:20:40.077 --> 01:20:54.020]  This is a publicly admitted global plan in place to carry out the orderly extermination of the human species.
[01:20:54.020 --> 01:20:58.641]  We are tracking who's behind it and how to stop it.
[01:20:58.641 --> 01:21:00.041]  Would you like to know more?
[01:21:00.041 --> 01:21:02.722]  I know I do.
[01:21:02.722 --> 01:21:04.922]  This is the real adventure on this planet.
[01:21:07.605 --> 01:21:12.191]  The simulation is real, ladies and gentlemen.
[01:21:12.191 --> 01:21:18.358]  Alright, finishing up with Frozen 2 and what it ties into.
[01:21:18.358 --> 01:21:23.164]  The left is all for free speech, the left-hand path, while they're taking control.
[01:21:23.164 --> 01:21:27.028]  Once they get the upper hand, they remove everyone else's speech.
[01:21:28.786 --> 01:21:45.830]  And then they start demanding that the left not just be for tolerance, but accept pedophilia, bestiality, bloodletting, Satanism, mass suicide, death cult, black pyramids, human sacrifice.
[01:21:45.830 --> 01:21:48.271]  Always the same transmission.
[01:21:48.271 --> 01:21:53.272]  Always the same manifestation.
[01:21:53.272 --> 01:21:56.233]  Using our free will.
[01:21:56.233 --> 01:21:56.953]  By increment.
[01:21:59.155 --> 01:22:05.841]  They are able to create a priest class by giving them otherworldly knowledge.
[01:22:05.841 --> 01:22:13.607]  Then they fully enslave that priest class and torture them into pure evil.
[01:22:13.607 --> 01:22:16.850]  And then they begin the process to the next level.
[01:22:16.850 --> 01:22:21.954]  A giant, satanic, anti-human Ponzi scheme.
[01:22:21.954 --> 01:22:23.696]  A black hole into hell.
[01:22:25.708 --> 01:22:28.989]  Remember, humans are master builders, made in the image of God.
[01:22:28.989 --> 01:22:35.310]  We get hijacked, the enemy is able to build monstrosities.
[01:22:35.310 --> 01:22:37.911]  Now, let's continue.
[01:22:37.911 --> 01:22:51.474]  Church of Sweden unveils altarpiece of paradise featuring, quote, gay couples and transgender serpent.
[01:22:51.474 --> 01:22:53.415]  Now, remember what came out of the 3,000 priests and the
[01:22:57.276 --> 01:23:13.386]  Mass investigation by the state police in Pennsylvania that concluded two years ago that the priest said that once they'd been blackmailed to have sex with another man, then it was, we'll have sex with a teenager, have sex with a 12-year-old, have sex with an 8-year-old.
[01:23:13.386 --> 01:23:21.391]  Okay, rape a 5-year-old in a satanic ritual in the church on Saturday night.
[01:23:21.391 --> 01:23:22.872]  That's exactly how it works.
[01:23:22.872 --> 01:23:24.433]  You're like, oh, you're Satanist.
[01:23:24.433 --> 01:23:25.414]  Yeah, we're Satanist.
[01:23:26.957 --> 01:23:28.717]  And they would do it on the altar.
[01:23:28.717 --> 01:23:40.519]  So now, they're externalizing the method of the blasphemy in God's face to bring the annihilation on the earth.
[01:23:40.519 --> 01:23:54.322]  See, Satan knows if he can piss God off enough and get enough of us to join in this, or to not stand up to it, well then we can all be destroyed.
[01:23:55.838 --> 01:23:59.579]  The defense shield is removed.
[01:23:59.579 --> 01:24:01.440]  The hedge is dropped.
[01:24:01.440 --> 01:24:04.200]  Shield goes down.
[01:24:04.200 --> 01:24:05.661]  Demons come in.
[01:24:05.661 --> 01:24:08.342]  Hell breaks loose.
[01:24:08.342 --> 01:24:11.543]  Crazy Town is here.
[01:24:11.543 --> 01:24:21.345]  And they have abodes of evil, command bases, nests, where the spiders live, and they suck the children in.
[01:24:21.345 --> 01:24:22.846]  That story's up on InfoWars.com.
[01:24:24.315 --> 01:24:27.177]  And it's all classic blasphemy events.
[01:24:27.177 --> 01:24:33.401]  The Church of Sweden, ah, where the rapes are up multi-hundred percents.
[01:24:33.401 --> 01:24:37.544]  Where Christians have their children taken and are given to these families.
[01:24:37.544 --> 01:24:41.467]  All a satanic ceremony.
[01:24:41.467 --> 01:24:44.128]  And that leads us to Sink, running for Congress.
[01:24:44.128 --> 01:24:47.491]  The young turds.
[01:24:47.491 --> 01:24:51.733]  Coming out promoting bestiality.
[01:24:51.733 --> 01:24:52.194]  Here it is.
[01:24:54.582 --> 01:25:10.205]  I believe that I am going, if I were the benevolent dictator of the world, I would legalize bestiality where you are giving, where you are pleasuring the animal.
[01:25:10.205 --> 01:25:12.445]  You see what I'm saying?
[01:25:12.445 --> 01:25:15.306]  You are pleasuring the animal.
[01:25:15.306 --> 01:25:19.766]  You look at a cute dog, want to give it some food, have it sit in your lap.
[01:25:19.766 --> 01:25:21.567]  Not sink.
[01:25:21.567 --> 01:25:23.307]  He wants to perform.
[01:25:23.307 --> 01:25:23.947]  You know what on it.
[01:25:25.299 --> 01:25:28.020]  Now that's who wants control of your life.
[01:25:28.020 --> 01:25:30.921]  That's who says I'm the worst person in the world.
[01:25:30.921 --> 01:25:32.421]  Well of course I am!
[01:25:32.421 --> 01:25:37.483]  To you, demon!
[01:25:37.483 --> 01:25:40.024]  I could just envision human expansion to the cosmos.
[01:25:40.024 --> 01:25:41.304]  Oh my gosh.
[01:25:41.304 --> 01:25:42.645]  You think these people want that?
[01:25:42.645 --> 01:25:46.666]  They want this planet dead, mounted on the wall.
[01:25:46.666 --> 01:25:49.187]  Like all those other planets they've destroyed.
[01:25:49.187 --> 01:25:50.147]  Are you gonna let them do it?
[01:25:54.346 --> 01:25:59.031]  Let's continue, ladies and gentlemen.
[01:25:59.031 --> 01:26:02.075]  Remember Christ said, I have other flocks.
[01:26:02.075 --> 01:26:04.077]  Let's continue here, ladies and gentlemen.
[01:26:04.077 --> 01:26:06.460]  Let's go to the next piece of this.
[01:26:08.237 --> 01:26:08.457]  This is
[01:26:26.139 --> 01:26:52.899]  They're not telling parents when people come to the school and tell their children I work at a local gay bar now a pedo bar and you need to come learn to dress like a woman and shake your ass for men and The school said your children deserve to see this we're quote grooming them These are quotes and you don't know what's best for them We do and then they even go to City Council and say it to rub it in your face
[01:26:55.046 --> 01:26:55.627]  Here's the footage.
[01:26:55.627 --> 01:26:57.031]  It's up on Infowars.com.
[01:26:57.031 --> 01:26:59.878]  Needs to go viral.
[01:26:59.878 --> 01:27:01.362]  Man confronts drag queen.
[01:27:01.362 --> 01:27:01.723]  Here it is.
[01:27:03.191 --> 01:27:04.332]  Let's hit pause.
[01:27:04.332 --> 01:27:11.598]  I'm gonna come back with more of this on the side but understand these are inside classrooms.
[01:27:11.598 --> 01:27:12.579]  This is a classroom.
[01:27:29.997 --> 01:27:34.463]  And these weird women that know what they're in, they're always all freaked out and look crazy.
