[00:00:03.271 --> 00:00:05.958]  Waging war on corruption.
[01:08:00.893 --> 01:08:05.536]  This is going to be their last ditch effort to try to stop Trump from getting reelected, but it'll be too late.
[01:08:06.016 --> 01:08:08.318]  This may even happen within the next couple months or so.
[01:08:08.318 --> 01:08:10.099]  So I think total social media censorship.
[01:08:10.099 --> 01:08:11.640]  I mean, I've been banned on Facebook.
[01:08:11.640 --> 01:08:13.262]  Obviously you can't allow it to be anywhere.
[01:08:13.262 --> 01:08:14.723]  I still have a Twitter account.
[01:08:14.723 --> 01:08:15.824]  I don't think I'll have that by 2020.
[01:08:15.824 --> 01:08:18.586]  And I don't think any other Trump supporters will either.
[01:08:18.586 --> 01:08:20.127]  I'm fully expecting that to happen.
[01:08:20.127 --> 01:08:24.790]  Now, what I'm afraid of, and you also alluded to this earlier, is a major false flag.
[01:08:25.771 --> 01:08:26.071]  We're good.
[01:08:40.988 --> 01:08:45.893]  And that's going to be what they hope is a turning point to change the narrative.
[01:08:45.893 --> 01:08:48.916]  Because, I mean, nobody believes CNN and MSNBC anymore.
[01:08:48.916 --> 01:08:50.037]  Everybody sees the facts.
[01:08:50.037 --> 01:08:51.558]  The left has gotten totally violent.
[01:08:51.558 --> 01:08:53.540]  In fact, they've even committed to domestic terror.
[01:08:53.540 --> 01:08:56.463]  In fact, Alex, I'll even tell you, I won't give all the information here, but...
[01:08:58.790 --> 01:09:02.231]  I'm being publicly doxxed right now in Austin, Texas, in an extreme manner.
[01:09:02.231 --> 01:09:05.452]  I think people are trying to sabotage me or even have me killed.
[01:09:05.452 --> 01:09:09.293]  So, they're gonna go full bore before 2020.
[01:09:09.293 --> 01:09:14.375]  And you better have your head on a swivel, you better have your head up, or you're gonna get run over.
[01:09:14.375 --> 01:09:18.396]  We know the players, we know the game, watch it all come down.
[01:09:18.396 --> 01:09:25.558]  So that's what I'm expecting in the next, up to 2020 Alex, but I think a hot false flag, and they're gonna try to blame Trump and his supporters,
[01:09:26.258 --> 01:09:27.419]  It probably won't work.
[01:09:27.419 --> 01:09:33.181]  I mean, nothing these people do works anymore, but that doesn't mean they're going to not do it.
[01:09:33.181 --> 01:09:34.601]  I totally agree with you.
[01:09:34.601 --> 01:09:47.907]  And the founder of Antifa that gets tens of millions of dollars from George Soros, he was on The Young Turks two weeks ago saying, we're preparing a violent offensive revolution to take out Trump and his supporters.
[01:09:47.907 --> 01:09:49.687]  So they're not just anti-free speech.
[01:09:49.687 --> 01:09:51.848]  And I agree, they're going to go to false flags.
[01:09:51.848 --> 01:09:52.949]  We'll get into this later.
[01:09:52.949 --> 01:09:53.789]  You've been doxxed.
[01:09:53.789 --> 01:09:55.590]  They're harassing you at your humble abode.
[01:09:57.233 --> 01:10:03.257]  And that's what this comes down to, is that the left really believes this is their takeover time.
[01:10:03.257 --> 01:10:06.039]  They thought it was their takeover time with Hillary, but it's not happening.
[01:10:06.039 --> 01:10:09.561]  So as they get more apocalyptic, they're going to get violent.
[01:10:09.561 --> 01:10:12.643]  Paul Watson, you're over in the UK, you're covering all this.
[01:10:12.643 --> 01:10:16.806]  How do you see the establishment striking back?
[01:10:16.806 --> 01:10:21.289]  Striking back, Alex, by fanning the flames of extremism.
[01:10:21.289 --> 01:10:24.251]  As I said before, people are becoming more disenfranchised.
[01:10:24.904 --> 01:10:44.072]  Because their vote has been overridden and they're being told that their vote means nothing so they're going to lash out in frustration and that's exactly what the establishment wants because then they can exploit it to reclassify speech that they hate as hate speech and this is exactly what we're seeing with the deplatforming.
[01:10:44.072 --> 01:10:52.735]  It's no coincidence Alex that two weeks before the vote in Spain the populist Vox party was completely deplatformed on Facebook
[01:10:53.456 --> 01:10:55.498]  Lost millions of followers.
[01:10:55.498 --> 01:10:56.439]  Oh, and look what happened.
[01:10:56.439 --> 01:10:58.921]  The Vox party underperformed in Spain.
[01:10:58.921 --> 01:11:00.542]  Well, what a coincidence.
[01:11:00.542 --> 01:11:07.528]  You had Tommy Robinson running a campaign off a Telegram app, basically, because they de-platformed him on everything else.
[01:11:07.528 --> 01:11:09.089]  He needed about 8% to win.
[01:11:09.089 --> 01:11:13.773]  He got about 3%, which is impressive for an independent candidate, by the way.
[01:11:13.773 --> 01:11:17.957]  But again, he had to fight this election with both arms tied behind his back.
[01:11:18.797 --> 01:11:28.143]  Because they created the hysteria through the extremism which they found in the first place to create the justification to ban him on social media.
[01:11:28.143 --> 01:11:39.071]  And then they say that we're creating violence by our rhetoric saying we don't want to be globalist slaves and then they come attack us and then they take our speech saying we caused Antifa to attack us.
[01:11:40.458 --> 01:11:40.998]  Yeah.
[01:11:40.998 --> 01:11:42.819]  They take away people's speech.
[01:11:42.819 --> 01:11:44.219]  They radicalise people.
[01:11:44.219 --> 01:11:45.400]  That's the effect that it has.
[01:11:45.400 --> 01:11:52.042]  If you take away people's access to public platforms to express their legitimate grievances, that only radicalises them.
[01:11:52.042 --> 01:11:59.905]  So, a small minority will lash out with violence, and that's exactly what they want, because they can exploit it to silence their competition.
[01:12:00.425 --> 01:12:02.667]  That's what happened with Tommy and with Vox.
[01:12:02.667 --> 01:12:04.048]  And take Ireland.
[01:12:04.048 --> 01:12:12.615]  When the Irish finally figured out that British intelligence, this has been declassified, I had steak knife, code name steak knife on.
[01:12:12.615 --> 01:12:14.576]  He was killed two weeks later for coming on the show.
[01:12:14.576 --> 01:12:16.958]  Seriously, folks, I had steak knife on like 12 years ago.
[01:12:16.958 --> 01:12:18.199]  They murdered him.
[01:12:18.199 --> 01:12:19.640]  And he just said, I got tired of doing it.
[01:12:19.640 --> 01:12:20.641]  We would blow stuff up.
[01:12:20.641 --> 01:12:22.162]  We led the IRA.
[01:12:22.162 --> 01:12:24.043]  The Irish below us didn't know it.
[01:12:24.043 --> 01:12:27.046]  We'd break their legs or kill them if they didn't bomb stuff.
[01:12:28.291 --> 01:12:42.756]  And we were doing the bombings to discredit the Irish, so we had an excuse to stay there, and then real Irish would get desperate because they didn't have any speech, and they'd try to get guns that we'd actually have shipped to them, then we'd ambush them and kill them.
[01:12:42.756 --> 01:12:48.518]  I'm not bashing the British on average themselves, but that's what the British government did, was literally lead the IRA.
[01:12:49.398 --> 01:12:53.080]  And so they're going to lead everybody into radicalization.
[01:12:53.080 --> 01:12:54.060]  Our government's going to do it.
[01:12:54.060 --> 01:12:55.061]  The UK's going to do it.
[01:12:55.061 --> 01:12:56.041]  Germany's going to do it.
[01:12:56.041 --> 01:13:11.668]  They've got the German secret police leading the white supremacist groups that firebomb the Muslims and stuff, so that then no one has speech to say, I don't want to bring in 10 million more Muslims, because the German intelligence is firebombing the Muslims to make them look like victims.
[01:13:11.668 --> 01:13:11.888]  Paul?
[01:13:13.740 --> 01:13:14.240]  Precisely.
[01:13:14.240 --> 01:13:16.082]  I mean, read the UN Migration Pact.
[01:13:16.082 --> 01:13:24.607]  It's about recategorising criticism of mass immigration as hate speech and then intimidating the populace when they try and speak out about it.
[01:13:24.607 --> 01:13:26.228]  Look at what's happening in New Zealand.
[01:13:26.228 --> 01:13:38.276]  Not only are they confiscating the weapons, they're literally sending political police around to people's private homes to interrogate populace and conservatives because they express their opinions on social media.
[01:13:38.696 --> 01:13:40.277]  So that's exactly what's happening.
[01:13:40.277 --> 01:13:49.439]  It's about de-platforming, it's about intimidation, fanning the flames of extremism to cause violence which benefits them.
[01:13:49.439 --> 01:13:50.479]  Paul's about to leave us.
[01:13:50.479 --> 01:13:56.261]  Ellen, you and I will be taking over, have plenty of time to talk and take calls and play clips and shift into some other facets of this.
[01:13:56.261 --> 01:13:57.902]  But do you have any questions for Paul?
[01:13:57.902 --> 01:14:03.683]  He's over there in the middle of this, lives in Spain part of the year, lives in the UK, reports for summit.news.
[01:14:03.683 --> 01:14:05.504]  Folks, check out his excellent website.
[01:14:05.504 --> 01:14:05.944]  Ellen?
[01:14:06.644 --> 01:14:19.514]  Yeah, Paul, I was just wondering if you agree with some other people I've talked to in the UK that say the feeling right now is different than past times when there have been votes that look like the Brexit may actually happen.
[01:14:19.514 --> 01:14:25.619]  Do you have more confidence today in a Brexit than you did, say, a month ago?
[01:14:25.619 --> 01:14:31.984]  Oh yeah, the mood in the UK in regards to Brexit, and especially a no-deal Brexit, by the way, which the odds have gone down for,
[01:14:32.768 --> 01:14:46.651]  Is way more positive than it was on March 31st because now Farage has created this pressure group which will pressure the Tories into electing a leader who will actually be able to carry off Brexit and get us out of the EU.
[01:14:46.651 --> 01:14:59.013]  So it's all about who's going to be the next Conservative leader but in terms of the position that we're in compared to three months ago with the meteoric rise of this party in just six weeks there's way more optimism about actually achieving Brexit.
[01:14:59.073 --> 01:15:00.394]  Paul, that's my last question.
[01:15:00.394 --> 01:15:02.536]  Farage is a trailblazer, an incredible leader.
[01:15:02.536 --> 01:15:05.858]  I know there's some infighting between Brexit group and UKIP.
[01:15:05.858 --> 01:15:07.380]  I think that should all end.
[01:15:07.380 --> 01:15:11.323]  He has leadership and charisma and history written all over him.
[01:15:11.323 --> 01:15:21.891]  I want to end up, if not this round, next round, seeing him become the Prime Minister of England and truly lead you guys out of the dark age and linking up with Trump, helping lead us out of it.
[01:15:21.891 --> 01:15:23.692]  We need him as a leader.
[01:15:23.692 --> 01:15:25.434]  England hasn't had a real leader in a long time.
[01:15:27.176 --> 01:15:28.937]  No, and the signs are pretty good.
[01:15:28.937 --> 01:15:34.341]  I mean, even in the national polls, in some of them, Farage's Brexit Party is beating the Conservative Party.
[01:15:34.341 --> 01:15:35.362]  That's a ruling party.
[01:15:35.362 --> 01:15:36.662]  That's absolutely massive.
[01:15:36.662 --> 01:15:39.004]  It's one or two points behind Labour.
[01:15:39.004 --> 01:15:47.049]  And most of these Conservative Party members who've switched to the Brexit Party for this election say they're not going to go back to the Tories.
[01:15:47.049 --> 01:15:54.434]  So, at the very least, he could end up in a coalition government and have that power like Salvini did in Italy with the Conservative Party.
[01:15:57.456 --> 01:15:58.957]  Oh, these pains.
[01:15:58.957 --> 01:16:01.497]  My neck, my back, shoulders.
[01:16:01.497 --> 01:16:03.318]  I've got to get some relief.
[01:16:03.318 --> 01:16:08.999]  Stress from everyday life, past injuries, or surgeries can cause inflammation that leads to pain.
[01:16:08.999 --> 01:16:10.900]  But you don't want to take another pill.
[01:16:10.900 --> 01:16:12.861]  There's an easier, healthier way, right?
[01:16:12.861 --> 01:16:17.102]  Yes, with hot or cold therapy products at sunshine-pillows.com.
[01:16:17.102 --> 01:16:17.482]  Pillows?
[01:16:17.842 --> 01:16:19.224]  For my aches and pains?
[01:16:19.224 --> 01:16:20.706]  Oh, not just pillows!
[01:16:20.706 --> 01:16:29.938]  Sunshine-Pillows.com has the best selection of custom heated neck wraps and heated neck pillows, plus travel pillows, microwavable body heating wraps, and more!
[01:16:29.938 --> 01:16:31.921]  It's all available to you online!
[01:16:31.921 --> 01:16:33.964]  Finally, stress relief with no drugs!
[01:16:34.124 --> 01:16:34.644]  Right.
[01:16:34.644 --> 01:16:39.727]  And now you can buy any select combo up to $150 and get 30% off.
[01:16:39.727 --> 01:16:44.909]  Just use this promo code SAVE30 when you click sunshine-pillows.com.
[01:16:44.909 --> 01:16:48.891]  Save 30% when you spend up to $150 on any select combo.
[01:16:48.891 --> 01:16:50.892]  Use promo code SAVE30.
[01:16:50.892 --> 01:16:53.133]  Sunshine-pillows.com.
[01:16:53.133 --> 01:16:55.814]  Your complete line of therapeutic pillows and pads.
[01:16:56.775 --> 01:17:03.120]  The United States of Empire is a book that claims the United States is the empire of the world.
[01:17:03.120 --> 01:17:06.162]  George Washington had warned us against foreign wars.
[01:17:06.162 --> 01:17:12.086]  The United States of Empire shows that World Wars I and II left England broken.
[01:17:12.086 --> 01:17:15.868]  Its former colony, the U.S., had to save the empire.
[01:17:15.868 --> 01:17:17.149]  Was there ever a vote?
[01:17:17.149 --> 01:17:18.490]  Who do we fight for?
[01:17:18.490 --> 01:17:24.675]  The Deep State began with World War I. The United States of Empire by James Dunn.
[01:17:24.675 --> 01:17:26.116]  Available at Amazon Books.
[01:17:26.696 --> 01:17:29.337]  Hunters, anglers, campers, and survivalists.
[01:17:29.337 --> 01:17:30.438]  Get back to nature.
[01:17:30.438 --> 01:17:37.742]  Expand your horizons with the highest quality, most versatile, unique slingshots and sling bows on the market at slingbow.com.
[01:17:37.742 --> 01:17:41.163]  Slingbow products are compact and models start from just $17.98.
[01:17:41.163 --> 01:17:44.725]  They're perfect for your bug out bag or storing in your vehicle.
[01:17:44.725 --> 01:17:48.887]  Give yourself and your loved ones the excitement and tradition of slingbow.
[01:17:48.887 --> 01:17:53.470]  A new frontier in archery and truly modern twist on this primitive survival tool.
[01:17:53.470 --> 01:17:56.131]  Feel the thrill only at slingbow.com.
[01:17:59.955 --> 01:18:01.461]  Okay, it's true.
[01:18:01.461 --> 01:18:02.645]  I stayed up late last night.
[01:18:58.087 --> 01:19:07.397]  The globalists know that if they suppress the good halogen and pump the environment full of the bad halogens, fluoride, chlorine, bromine, you name it, that it lowers IQ.
[01:19:07.397 --> 01:19:10.259]  It literally dumbs the population down.
[01:19:10.259 --> 01:19:16.306]  And on our quest to bring our listeners and viewers the best iodine in the world, we've gone through two permutations.
[01:19:16.966 --> 01:19:23.230]  First, seaweed-based iodine that was pretty good but hard to source, and the Globals tried to block us getting a supply of it.
[01:19:23.230 --> 01:19:29.513]  So we discovered deep-earth crystals of pure nascent iodine and brought you X2 that's been incredible.
[01:19:29.513 --> 01:19:36.558]  Now, due to the Establishment trying to block that, we did more research and secured more of the deep-earth crystals of nascent iodine.
[01:19:36.558 --> 01:19:36.758]  But!
[01:19:37.598 --> 01:19:39.199]  You're listening to the Alex Jones Show!
[01:21:06.184 --> 01:21:08.565]  Alright folks, I'm back live here a little bit late.
[01:21:08.565 --> 01:21:23.871]  I was working on some breaking news during the break and as I was walking back into the studio live here, something really hit me that we have dropped the ball on that's beyond huge.
[01:21:23.871 --> 01:21:26.032]  It's everything.
[01:21:26.032 --> 01:21:29.973]  And next segment, I'm going to get into it.
[01:21:29.973 --> 01:21:31.114]  But it's one of those moments where
[01:21:32.617 --> 01:21:35.819]  God really touches you, and you feel it, and you know it.
[01:21:35.819 --> 01:21:37.119]  There's just a huge understanding.
[01:21:37.119 --> 01:21:39.681]  And so I'm going to talk about that next segment.
[01:21:39.681 --> 01:21:47.085]  But Owen, you've been sitting there patiently the last 45 minutes with Paul Watson on, chomping at the bit, making really great points.
[01:21:47.085 --> 01:21:52.568]  The historicness of what's happening, Trump saying treason charges, treason investigation, what we broke months ago.
[01:21:54.148 --> 01:21:57.229]  Again, this isn't a regular situation right now.
[01:21:57.229 --> 01:22:02.111]  This is a very special time, a very dangerous time, but our prayers are really being answered.
[01:22:02.111 --> 01:22:04.531]  People's actions are being answered.
[01:22:04.531 --> 01:22:09.233]  The Pope, who has acted like, you know, he's
[01:22:09.853 --> 01:22:27.557]  Auditioning to work for Satan or something, has come out against abortion, and said that Planned Parenthood has hit men who want to murder children, and destroy future generations, and he's even come out and said that if we don't have 2.1 kids for every two parents, there'll be nobody to take care of old people, and that civilization will collapse.
[01:22:27.557 --> 01:22:31.278]  He's suddenly making anti-globalist statements.
[01:22:31.278 --> 01:22:37.480]  George Soros is coming out saying China's the enemy, and is messing... I mean, they all understand they're losing.
[01:22:38.382 --> 01:22:39.583]  Again, it's not Catholics.
[01:22:39.583 --> 01:22:41.784]  The Pope's obviously a globalist operative.
[01:22:41.784 --> 01:22:44.425]  Soros is starting to backtrack in many ways.
[01:22:44.425 --> 01:22:49.088]  These are big signs that globalism is in deep, deep crap.
[01:22:49.088 --> 01:22:53.250]  So give us your overall ballpark in the next six minutes towards break about where you see this going.
[01:22:54.326 --> 01:23:01.210]  Well, you know how much they've invested to get to this point of the globalist agenda and the one world government.
[01:23:01.210 --> 01:23:04.231]  And so they can't just retract or lay down.
[01:23:04.231 --> 01:23:06.673]  They're going to have to do something to try to salvage this.
[01:23:06.673 --> 01:23:09.654]  Obviously, they see all the losses they're being dealt.
[01:23:09.654 --> 01:23:16.018]  But I think before 2020, the presidential election here in the United States, that's kind of their watermark.
[01:23:16.018 --> 01:23:17.699]  I mean, if Trump gets in again,
[01:23:18.740 --> 01:23:21.081]  And he brings down the deep state for treason.
[01:23:21.081 --> 01:23:22.542]  I mean, we know who he's talking about.
[01:23:22.542 --> 01:23:24.003]  It's Barack Obama.
[01:23:24.003 --> 01:23:25.804]  Barack Obama committed treason.
[01:23:25.804 --> 01:23:27.364]  And so that's bombshell stuff.
[01:23:27.364 --> 01:23:30.566]  You're talking about the last president of the United States.
[01:23:30.566 --> 01:23:33.868]  And so this is going to send shockwaves around the world.
[01:23:33.868 --> 01:23:36.169]  And I think that the Soroses are starting to feel it.
[01:23:36.169 --> 01:23:37.890]  I think that the Junkers are starting to feel it.
[01:23:38.840 --> 01:23:51.801]  And so, there's going to be a trickle-down effect though, Alex, and it's going to be just the average leftist minion out there that, you know, look, I don't even want to go into the process of, like, insulting them or their intelligence or anything at this point, it's just like...
[01:23:52.944 --> 01:24:16.991]  You need to understand you're being used like a pawn in chess for a massive international criminal cabal and you're basically just like a little cancer form on society to go out there and infect the culture and pretend like there's some sort of resistance to patriots and Christianity in the West and all this stuff.
[01:24:16.991 --> 01:24:19.432]  It's all a big game of chess, Alex, as you know.
[01:24:20.632 --> 01:24:22.393]  I'm afraid that they're about to get even hot.
[01:24:22.393 --> 01:24:27.014]  I mean, we don't have to talk about my situation or stuff that you've dealt with, but this is what it's coming down to.
[01:24:27.014 --> 01:24:30.455]  No, no, let's get to your situation at the start of the next hour, because I want to get into this.
[01:24:30.455 --> 01:24:33.316]  Well, this is the second... Well, don't worry.
[01:24:33.316 --> 01:24:34.317]  I already know about it.
[01:24:34.317 --> 01:24:37.658]  We're going to put some major heat on their ass, legally and lawfully, see how they like it.
[01:24:38.126 --> 01:24:40.007]  This is the second time this has happened to me.
[01:24:40.007 --> 01:24:48.670]  And so, the new place I moved in, I went through multiple measures to make sure that, you know, if somebody was able to find this address or whatever, it wouldn't be linked to my name.
[01:24:48.670 --> 01:24:53.312]  Well, somehow they got it and they decided to post a bunch of flyers around town yesterday with my address.
[01:24:53.312 --> 01:24:55.834]  And to be honest with you, a bunch of people are saying, like, you know, you should be afraid.
[01:24:55.834 --> 01:24:56.214]  Honestly...
[01:24:57.353 --> 01:25:01.677]  I wouldn't even be here right now if it wasn't for God, so I have no fear.
[01:25:01.677 --> 01:25:03.759]  And that's not even me bragging, honestly.
[01:25:03.759 --> 01:25:07.523]  The way I behaved in some part of my life, I shouldn't even be here right now.
[01:25:07.523 --> 01:25:09.905]  So God had his hand on me, so I really believe that.
[01:25:09.905 --> 01:25:13.729]  But my point is, Alex, somebody is giving them this information.
[01:25:13.729 --> 01:25:18.033]  There's no way some leftist can just find my address.
[01:25:18.033 --> 01:25:21.976]  No, they have people like Reality Winner in the police departments, in the FBI.
[01:25:22.797 --> 01:25:24.399]  And that's it exactly.
[01:25:24.399 --> 01:25:27.182]  So who knows if it's Google?
[01:25:27.182 --> 01:25:28.203]  It can't be social media.
[01:25:28.203 --> 01:25:29.564]  I don't think any of them have my address.
[01:25:29.564 --> 01:25:32.067]  Who knows if it's like a credit card company?
[01:25:32.067 --> 01:25:33.088]  I don't believe it's my bank.
[01:25:33.088 --> 01:25:36.211]  I have a great relationship with my bank.
[01:25:36.211 --> 01:25:37.452]  So I don't even know where they're getting.
[01:25:37.452 --> 01:25:39.094]  But the point is people need to understand.
[01:25:41.457 --> 01:25:48.831]  If you're, a lot of people have already been hit with the censorship, a lot of people have already been hit with the Chase Bank, JPMorgan Chase, banning people, and there's other stuff.
[01:25:48.831 --> 01:25:53.440]  But you gotta know, next they come to your house, which doesn't intimidate us, it lets us know we're right about these people.
[01:25:54.645 --> 01:25:57.826]  And so, I just wish they would understand how they're being used.
[01:25:57.826 --> 01:25:58.727]  Like, it's the same thing.
[01:25:58.727 --> 01:26:00.607]  Like, how am I your enemy?
[01:26:00.607 --> 01:26:03.409]  What freedoms is InfoWars taken from you?
[01:26:03.409 --> 01:26:06.170]  What freedoms have Alex Jones ever taken from you?
[01:26:06.170 --> 01:26:09.211]  What has Alex Jones ever done to the American public?
[01:26:09.211 --> 01:26:15.834]  And they sit here, and they want to say, oh well, you're fake news, you're dangerous, you're a hate monger, and then they provide no quotes.
[01:26:15.834 --> 01:26:21.696]  Oh, the latest article in Atlantic Monthly, and there's a bunch of them, says that I'm an apex predator.
[01:26:21.696 --> 01:26:23.337]  No, the globalists are apex predators.
[01:26:24.266 --> 01:26:25.967]  And so that's the point exactly, Alex.
[01:26:25.967 --> 01:26:27.587]  You've never been in the government.
[01:26:27.587 --> 01:26:34.130]  You've never been in control of some multi-billion dollar corporation that ships all its manufacturing to China or who knows where else.
[01:26:34.130 --> 01:26:35.191]  That's not you.
[01:26:35.191 --> 01:26:36.791]  You've done everything here.
[01:26:36.791 --> 01:26:39.092]  People come up in Austin and they say they hate Alex Jones.
[01:26:39.092 --> 01:26:40.353]  I say, why?
[01:26:40.353 --> 01:26:43.294]  Alex Jones has brought millions of dollars to your economy.
[01:26:43.294 --> 01:26:48.696]  Alex Jones has brought people here that work hard and pay taxes and try to build the infrastructure here.
[01:26:48.696 --> 01:26:50.277]  What has Alex Jones done that's so bad?
[01:26:50.757 --> 01:26:52.158]  What is so bad about Alex Jones?
[01:26:52.158 --> 01:26:53.579]  Well, we don't like his message.
[01:26:53.579 --> 01:26:54.580]  Well, why don't you like his message?
[01:26:54.580 --> 01:26:55.160]  What does he say?
[01:26:55.160 --> 01:26:56.982]  And then they can't give a quote.
[01:26:56.982 --> 01:27:05.468]  So while here's like a plea to the left out there, if Antifa, whoever it is, if you guys get this message, this is a plea.
[01:27:05.468 --> 01:27:07.490]  You are being used.
[01:27:07.490 --> 01:27:14.295]  And if you go down this path, Alex, I saw a group of Antifa walking around Austin yesterday with their faces covered.
[01:27:14.295 --> 01:27:15.496]  They're like strung out or something.
[01:27:16.516 --> 01:27:21.238]  I'm telling you, if you go down this path, it doesn't end well for you.
[01:27:21.238 --> 01:27:23.259]  They want you to be killed.
[01:27:23.259 --> 01:27:24.879]  Do you understand what I'm saying?
[01:27:24.879 --> 01:27:29.241]  You will be used as the Trojan horse to bring in... Well, I mean, let's just be honest.
[01:27:29.241 --> 01:27:31.722]  These people can't tie their shoelaces, and I'm not bragging, but...
[01:27:32.422 --> 01:27:38.247]  If I'm awake and focused, I can, with a handgun, at 50 yards shoot a pattern like that.
[01:27:38.247 --> 01:27:44.131]  We got guys working this office that I've seen at 50 yards can shoot through the same hole with a handgun.
[01:27:44.131 --> 01:27:49.595]  And I just feel sorry if people ever actually try something because it doesn't have us a win.
[01:27:49.595 --> 01:27:54.519]  If some methhead comes to my house and they pull a gun and I kill him with a riot shotgun with double-aught buck,
[01:27:55.319 --> 01:27:59.063]  I'm not going to feel good because that's just some zombie I had to put down.
[01:27:59.063 --> 01:28:04.648]  And that's what you're saying is, it's so sad that they're so brainwashed and they work for the literal Nazis.
[01:28:04.648 --> 01:28:13.758]  Juncker and Soros and the globalists, they work for the evil and they're just little weird meth heads that always wanted to be part of the power structure.
[01:28:14.980 --> 01:28:17.023]  And so now they think they scare people.
[01:28:17.023 --> 01:28:19.326]  But Owen, you probably don't know this.
[01:28:19.326 --> 01:28:26.455]  You probably don't know that some people saw when Antifa pointed guns at you a year and a half ago and threatened you and wouldn't let you in that public park.
[01:28:26.455 --> 01:28:31.601]  And I later just heard from a little bird that Antifa had a very bad day later.
[01:28:32.523 --> 01:28:37.107]  Well, and I'm actually amazed because I've had a lot of interactions with these people and they quit coming to my events.
[01:28:37.107 --> 01:28:39.489]  I mean, we had a big event yesterday at the Planned Parenthood.
[01:28:39.489 --> 01:28:44.353]  Over 200 people showed up and Antifa didn't show up except a couple people.
[01:28:44.353 --> 01:28:47.416]  Yeah, well, Chris Owen, I'm sad about it.
[01:28:47.416 --> 01:28:55.883]  I just heard from some very reputable people that a few people just got, they fell down and they broke bones.
[01:28:55.883 --> 01:28:56.444]  We'll be right back.
[01:28:57.799 --> 01:29:02.863]  Fellow Patriots, my name is Todd Savage, founder of BlackRifleRealEstate.com.
[01:29:02.863 --> 01:29:08.227]  Like you, I was a prisoner of the Alt-Left Sanctuary State until one day I chose to leave my family to freedom.
[01:29:08.227 --> 01:29:16.273]  Today we live on a sustainable 20-acre homestead where we shoot, hunt, garden, and homeschool our children without the tyranny of the nanny state looking over us.
[01:29:16.273 --> 01:29:21.717]  If you're ready to flee the city to the freedom of Idaho or Montana, our Black Rifle Real Estate team is here to help.
[01:29:21.717 --> 01:29:23.718]  Go to BlackRifleRealEstate.com.
[01:29:23.718 --> 01:29:25.579]  That's BlackRifleRealEstate.com.
[01:29:27.142 --> 01:29:29.863]  Bacon lovers, we ship free.
[01:29:29.863 --> 01:29:31.683]  Try our amazing bacon.
[01:29:31.683 --> 01:29:33.684]  No refrigeration required.
[01:29:33.684 --> 01:29:43.306]  Proprietary value-added packaging provides 10-year shelf life and protects the leanest, thickest, center-cut, fully cooked bacon in America today.
[01:29:43.306 --> 01:29:46.747]  Ready to eat right from the pouch or warm and serve.
[01:29:46.747 --> 01:29:48.608]  Savory and delicious.
[01:29:48.608 --> 01:29:51.569]  Wholesale price for your everyday use.
[01:29:51.569 --> 01:29:54.469]  Order today at ReadyToEatBacon.com.
[01:29:54.469 --> 01:29:55.770]  ReadyToEatBacon.com.
[01:30:04.211 --> 01:30:06.152]  Tom in Texas, police officer on the border.
[01:30:06.152 --> 01:30:08.614]  Talks about MS-13 and more.
[01:30:08.614 --> 01:30:09.574]  Thanks for calling, Tom.
[01:30:09.574 --> 01:30:10.035]  Yes, sir.
[01:30:10.035 --> 01:30:11.356]  Thank you for taking my call.
[01:30:11.356 --> 01:30:13.437]  Just want to thank you for your products.
[01:30:13.437 --> 01:30:19.361]  I have the InfoWard decals on the outside of my cell phone case, my truck, sport, the shirts, all the equipment.
[01:30:19.361 --> 01:30:21.323]  I find it's the best way to get your word out.
[01:30:21.323 --> 01:30:22.283]  God bless you, brother.
[01:30:22.283 --> 01:30:25.826]  And I have three or four InfoWard bumper stickers in my glove box right now.
[01:30:25.826 --> 01:30:28.848]  I hand out if I get to talking to somebody just to help spread that
[01:30:29.288 --> 01:30:30.369]  You're our only hope, brother.
[01:30:30.369 --> 01:30:32.690]  I'm telling you, you're more important than I am.
[01:30:32.690 --> 01:30:35.452]  It's people like you on the ground, as you know, that's boots on the ground.
[01:30:59.904 --> 01:31:01.845]  Mike in New Jersey, you're on the air.
[01:31:01.845 --> 01:31:02.666]  Thanks for calling, Mike.
[01:31:02.666 --> 01:31:04.027]  You are the man, Alex.
[01:31:04.027 --> 01:31:05.548]  I'm so glad to be talking to you.
[01:31:05.548 --> 01:31:06.329]  I'm so excited.
[01:31:06.329 --> 01:31:07.249]  I'm such a big fan.
[01:31:07.249 --> 01:31:09.731]  Ever since I've been listening, I've been buying your products.
[01:31:09.731 --> 01:31:12.233]  I gotta do a shout-out for the Bone Broth.
[01:31:12.233 --> 01:31:13.654]  The Bone Broth.
[01:31:13.654 --> 01:31:15.095]  The Bone Broth.
[01:31:15.095 --> 01:31:16.476]  The Bone Broth.
[01:31:16.476 --> 01:31:17.737]  The Bone Broth.
[01:31:17.737 --> 01:31:22.500]  Tastes like, tastes like a great milkshake, you know, if you just add it to milk.
[01:31:22.500 --> 01:31:23.801]  It tastes like Ovaltine.
[01:31:23.801 --> 01:31:25.342]  It tastes like Ovaltine.
[01:31:25.342 --> 01:31:26.903]  It tastes like Ovaltine.
[01:31:26.903 --> 01:31:27.624]  Like, good!
[01:31:27.984 --> 01:31:28.564]  Whoa!
[01:31:28.564 --> 01:31:30.286]  I feel great since I've been taking it.
