[00:00:15.230 --> 00:00:16.891]  This perfect storm.
[00:26:07.694 --> 00:26:12.238]  I want to make clear that I know that there are protests still happening in major cities across the United States.
[00:26:12.238 --> 00:26:16.943]  I'm just not seeing the reporting on it that I had for the first few weeks.
[00:26:16.943 --> 00:26:17.904]  They're not going to stop.
[00:26:17.904 --> 00:26:19.505]  They're not going to stop.
[00:26:19.505 --> 00:26:21.847]  This is a movement, I'm telling you.
[00:26:21.847 --> 00:26:27.513]  They're not going to stop before Election Day in November, and they're not going to stop after Election Day.
[00:26:27.513 --> 00:26:31.116]  Everyone should take note of that on both levels.
[00:26:31.116 --> 00:26:32.818]  They're not going to let up, and they should not.
[00:26:35.182 --> 00:26:39.524]  The rioters aren't going to let up, and they should not, says Kamala Harris.
[00:26:39.524 --> 00:26:40.224]  Right.
[00:26:40.224 --> 00:26:45.247]  This is the same Kamala Harris who tweeted that Michael Brown was murdered by cops in Ferguson, Missouri.
[00:26:45.247 --> 00:26:46.387]  He wasn't murdered.
[00:26:46.387 --> 00:26:47.468]  That's not speculation.
[00:26:47.468 --> 00:26:51.289]  Barack Obama's own Justice Department concluded he wasn't murdered.
[00:26:51.289 --> 00:26:52.330]  That's a lie.
[00:26:52.330 --> 00:26:57.432]  But Harris repeated it anyway, and her allies at Twitter allowed her to disseminate that lie nationwide.
[00:26:57.432 --> 00:26:59.433]  They didn't pull that tweet down.
[00:26:59.433 --> 00:27:03.055]  So Silicon Valley is doing all it can to help the Biden-Harris ticket.
[00:27:03.820 --> 00:27:04.981]  And this is just the beginning.
[00:27:04.981 --> 00:27:12.845]  This year, for example, LinkedIn founder Reid Hoffman and other billionaires threw major financial support behind an organization called Acronym.
[00:27:12.845 --> 00:27:19.769]  Reportedly, Acronym has set up bogus news sites and swing states to portray Democrats in a positive light.
[00:27:19.769 --> 00:27:24.951]  Oh, kind of like the propaganda they claimed Russia was propagating in the last election.
[00:27:24.951 --> 00:27:25.492]  Right.
[00:27:25.492 --> 00:27:28.893]  This is the party that loves to complain about the death of local journalism.
[00:27:28.893 --> 00:27:31.395]  But they are funding a propaganda network
[00:27:32.608 --> 00:27:35.369]  to change people's opinions before an election.
[00:27:35.369 --> 00:27:37.750]  And the goal, of course, isn't just to make Democrats look good.
[00:27:37.750 --> 00:27:41.932]  It's to make you terrified, because scared populations are easier to control.
[00:27:41.932 --> 00:27:46.815]  That's why Facebook blocked a video featuring the president pointing out an obvious scientific truth.
[00:27:46.815 --> 00:27:48.536]  And no scientist disagrees with this.
[00:27:48.536 --> 00:27:53.178]  Children are mostly not at risk from the effects of the coronavirus.
[00:27:53.178 --> 00:28:00.141]  According to the Scientific Journal of the Lancet, the virus is, quote, generally a mild disease in children, including infants.
[00:28:00.141 --> 00:28:01.622]  Fatal outcomes are, quote, rare.
[00:28:02.702 --> 00:28:11.526]  If you knew that, you might have real questions about the lockdowns Joe Biden and the teachers unions and so many other institutions in this country are pushing.
[00:28:11.526 --> 00:28:12.467]  So you can't know it.
[00:28:12.467 --> 00:28:17.149]  Facebook decided you should not be able to see those data from the Lancet.
[00:28:17.149 --> 00:28:26.433]  Twitter went a step further and had their 27-year-old liberal arts majors lock down the president's campaign account until the campaign deleted video of themselves.
[00:28:26.433 --> 00:28:27.954]  Alright folks, we're a live show.
[00:28:27.954 --> 00:28:29.054]  A lot of crazy stuff happens.
[00:28:29.054 --> 00:28:29.995]  That's part of the fun of it.
[00:28:30.935 --> 00:28:35.459]  They played the wrong clip, but that's actually more important, Tucker, on Silicon Valley.
[00:28:35.459 --> 00:28:46.887]  The part I wanted to get to was just how he lays out the history with their own clips of them saying the world's going to end if you don't give total power over to all of them, and then showing how they changed the law to not let you cut any of the firebreaks that are needed.
[00:28:46.887 --> 00:28:48.128]  This is simple, folks.
[00:28:48.128 --> 00:28:51.290]  This is like not grounding the electricity in your house.
[00:28:51.290 --> 00:28:53.351]  You're going to get struck by lightning and burn down.
[00:28:53.351 --> 00:28:54.853]  The Democrats know exactly what they're doing.
[00:28:54.853 --> 00:28:56.033]  It's shutting America down.
[00:28:56.033 --> 00:28:56.514]  We'll be right back.
[00:28:58.223 --> 00:29:11.917]  It sounds over the top when I go on air, and I explain that the controllers of the planet want to carry out the extermination of the entire human population, except for a few of what they call their new transcendent silicon gods.
[00:29:11.917 --> 00:29:14.280]  But that's really what they're now externalizing.
[00:29:14.280 --> 00:29:20.146]  They're now taking what was in their textbooks and white papers 30 years ago, and actually openly announcing it everywhere.
[00:29:20.606 --> 00:29:23.088]  They're going from beta to operational.
[00:29:23.088 --> 00:29:24.769]  And think about all these major corporations.
[00:29:24.769 --> 00:29:26.130]  They tell you humans are harmful.
[00:29:26.130 --> 00:29:27.491]  They tell you humans are a parasite.
[00:29:27.491 --> 00:29:29.593]  They tell you that we've all got to be gotten rid of.
[00:29:29.593 --> 00:29:34.657]  And then they won't let people see their old folks in nursing homes and then ship in COVID to kill them.
[00:29:34.657 --> 00:29:38.380]  That's all organizing as a beta test for larger operations.
[00:29:38.380 --> 00:29:45.806]  And everything is a microcosm and a laboratory test of larger scalability of what they are now beginning to roll out.
[00:29:46.226 --> 00:29:53.370]  Look at how they're banning medical doctors from promoting therapeutics that are absolutely essential to stop viral infections like COVID-19.
[00:29:53.370 --> 00:29:56.152]  This is all absolute information control.
[00:29:56.152 --> 00:29:56.892]  This is beyond 1984.
[00:29:59.275 --> 00:30:02.457]  It couldn't have been scripted any better.
[00:30:02.457 --> 00:30:13.445]  That's because it was completely scripted, and we even know the names of the United Nations, Rockefeller Foundation, Bill and Melinda Gates, and John Hopkins documents.
[00:30:13.445 --> 00:30:15.987]  We have the script, just like you'd have for a Hollywood movie.
[00:30:15.987 --> 00:30:22.952]  And it's designed to free civilization and have a post-Renaissance
[00:30:24.190 --> 00:30:32.313]  Stagnation or New Dark Age and a total consolidation of all wealth and power in the hands of the kleptocratic post-humanist.
[00:30:32.313 --> 00:30:34.454]  The magnitude of this is unfathomable.
[00:30:34.454 --> 00:30:38.536]  As you can see, all the checkboxes of tyranny are being marked carefully.
[00:30:38.536 --> 00:30:41.037]  Every I dotted, every T crossed.
[00:30:41.037 --> 00:30:45.759]  A total societal vertical integration, takeover, medical tyranny, total surveillance.
[00:30:45.759 --> 00:30:50.101]  The big tech heads, on average, have had their wealth cut by 35% in the last eight months.
[00:30:50.101 --> 00:30:52.102]  And of course, Jeff Bezos has basically doubled his.
[00:30:52.922 --> 00:30:56.423]  Everyone is being forced onto their system, the post-human robot takeover.
[00:30:56.423 --> 00:30:58.843]  You're being made obsolete.
[00:30:58.843 --> 00:31:01.944]  I don't want to say I'm a prideful person.
[00:31:01.944 --> 00:31:03.424]  I am a humble person overall.
[00:31:03.424 --> 00:31:06.364]  I come off as aggressive and things because I'm under threat.
[00:31:06.364 --> 00:31:07.005]  You're under threat.
[00:31:07.005 --> 00:31:09.005]  And I'm fighting as hard as I possibly can.
[00:31:09.005 --> 00:31:11.085]  And I appreciate your support and your prayers.
[00:31:11.085 --> 00:31:13.486]  But I know I come off as obnoxious sometimes.
[00:31:13.486 --> 00:31:14.866]  And I wish I did a better job.
[00:31:14.866 --> 00:31:19.807]  So that's why when you call in thanking me all the time, it just kind of makes you feel pathetic because
[00:31:20.627 --> 00:31:21.567]  I guess call it pride?
[00:31:21.567 --> 00:31:26.869]  I don't like begging you all the time to try our products or to donate or to spread the word or to pray for us.
[00:31:26.869 --> 00:31:28.370]  I just know that's what keeps us on air.
[00:31:28.370 --> 00:31:30.811]  And so I want to thank you.
[00:31:30.811 --> 00:31:34.392]  It's put the cart before the horse to call it and thank me.
[00:31:34.392 --> 00:31:36.652]  Listen, I'm committed to this just like you are.
[00:31:36.652 --> 00:31:38.793]  So understand you're my equal 110%.
[00:31:38.793 --> 00:31:41.114]  And I just want to thank you all.
[00:31:41.114 --> 00:31:44.415]  I want to thank our crew, our affiliates, everybody else, man.
[00:31:44.415 --> 00:31:45.595]  I just want to stay in this fight.
[00:31:45.595 --> 00:31:46.576]  And it's so serious now.
[00:31:47.316 --> 00:31:51.683]  Things are getting so clear now, that's why they want us off air, because all of our credibility is so high.
[00:31:51.683 --> 00:31:56.131]  So let's just stay together, fight hard, spread the word, pray to God to take us through this, we're gonna make it.
[00:31:58.814 --> 00:32:17.916]  Constantly, whether it's the New York Times, The Washington Post, or Howard Stern, you name it, they come out and they attack him full force saying, Jones claims civil war is coming, and financial collapse, and planetary lockdowns using viruses, and he tells people they should get off the grid and get prepared and have storable food if they can.
[00:32:18.476 --> 00:32:25.664]  And now everything I've warned people about is coming true because it was all in the Rockefeller Foundation documents like lockstep.
[00:32:25.664 --> 00:32:28.827]  This is the corporate planetary takeover.
[00:32:28.827 --> 00:32:34.694]  So yes, I stand by what I said 10 years ago, what I said a year ago, and what I said last week more than ever.
[00:32:35.354 --> 00:32:37.035]  You're listening to the Alex Jones Show!
[00:33:19.005 --> 00:33:19.766]  Welcome back, folks.
[00:33:19.766 --> 00:33:20.866]  I'm Alex Jones, your host.
[00:33:20.866 --> 00:33:23.288]  And listen, I can talk for 10 hours straight.
[00:33:23.288 --> 00:33:24.649]  Everybody knows that.
[00:33:24.649 --> 00:33:29.192]  But I've always said if somebody better comes along, I'd step aside for them.
[00:33:29.192 --> 00:33:34.316]  So I don't normally air two clips of Tucker Carlson in one hour.
[00:33:34.316 --> 00:33:37.018]  But since I mentioned it, I thought we'd get to this report.
[00:33:37.018 --> 00:33:40.441]  And then I'll come back next segment and get into the unbelievable pedophile news.
[00:33:41.381 --> 00:33:49.583]  That's just out in the open as the world awakens to the real currency that the Democratic Party and their controllers are involved in, and that's the innocence and essence of our children.
[00:33:49.583 --> 00:33:51.443]  So that is all coming up next segment.
[00:33:51.443 --> 00:33:54.903]  It'll be a very powerful special report, so you'll want to stay with us.
[00:33:54.903 --> 00:33:58.844]  And then Roger Stone is going to be joining us.
[00:33:58.844 --> 00:34:08.406]  You know, I was going to air these cops being shot in cold blood, and I was going to air people coming to the hospital, trying to kill them inside, saying they hope they die, but maybe we just shouldn't give people attention like that.
[00:34:09.295 --> 00:34:10.696]  Maybe I shouldn't play those clips.
[00:34:10.696 --> 00:34:16.338]  Those clips are on Infowars.com and Newswars.com if you want to go look at them.
[00:34:16.338 --> 00:34:19.759]  But I'm not going to subject people to this, I guess.
[00:34:19.759 --> 00:34:21.480]  Maybe that's not what God wants.
[00:34:21.480 --> 00:34:25.562]  Because... Maybe people should see all this.
[00:34:25.562 --> 00:34:30.344]  It's kind of like not wanting you to see the horrible pedophile stuff.
[00:34:30.344 --> 00:34:31.464]  I don't want to show that.
[00:34:31.464 --> 00:34:33.905]  But at the same time, we do need to expose it, don't we?
[00:34:33.905 --> 00:34:35.806]  Let me think about that.
[00:34:35.806 --> 00:34:37.066]  Let me think about that a little bit.
[00:34:40.523 --> 00:34:47.605]  This is intentional, the shutdown of our dams, our industry, our energy sectors, our families, our culture.
[00:34:47.605 --> 00:34:49.546]  All of this is the admitted plan to bring the United States down.
[00:34:49.546 --> 00:34:52.147]  That's how we're being conquered is from without by the globalists.
[00:34:52.147 --> 00:34:54.348]  They're making their move right now.
[00:34:54.348 --> 00:35:06.392]  And this country's burning in all the blue cities and blue states because they have paid rioters doing it, paid criminals doing it, and they also have not let anybody cut fire breaks.
[00:35:07.549 --> 00:35:08.270]  I'll explain it again.
[00:35:08.270 --> 00:35:11.392]  Just type in firebreak and click images on any search engine.
[00:35:11.392 --> 00:35:17.676]  You'll see what firebreaks do and how fires will burn right up to a road and stop right through a firebreak stop.
[00:35:17.676 --> 00:35:21.078]  Firebreaks aren't allowed in these western areas.
[00:35:21.078 --> 00:35:28.883]  You know we've got a ranch in East Texas and the state came through in the 50s and said we're cutting a firebreak through here.
[00:35:28.883 --> 00:35:29.524]  Imminent domain.
[00:35:29.524 --> 00:35:35.228]  We said please and it makes a nice area through the forested area and they come through with a big old
[00:35:37.369 --> 00:35:43.718]  Brush cutters, you know, every five, six years and they go back through there and they cut them with these big tractors.
[00:35:43.718 --> 00:35:46.481]  And it's good to have, you know, access on our land and good to have them do that.
[00:35:46.481 --> 00:35:50.267]  But that's why you don't have this type of stuff going on in Texas, ladies and gentlemen.
[00:35:50.267 --> 00:35:51.648]  TV viewers should see the examples of this.
[00:35:51.648 --> 00:35:54.092]  Here's part of what Tucker Carlson had to say about it Friday night.
[00:36:00.555 --> 00:36:02.976]  Good evening and welcome to Tucker Carlson Tonight.
[00:36:02.976 --> 00:36:09.558]  Massive wildfires, unprecedented in their scope, continue to sweep across huge portions of the West tonight.
[00:36:09.558 --> 00:36:13.899]  In Oregon, half a million residents have been forced to evacuate their homes.
[00:36:13.899 --> 00:36:16.921]  That's one of every ten people in the entire state.
[00:36:16.921 --> 00:36:19.461]  Dozens are dead, including small children.
[00:36:19.461 --> 00:36:22.142]  But the fires still are not close to contained.
[00:36:22.142 --> 00:36:24.003]  Watch this report from Fox's Jeff Paul.
[00:36:25.336 --> 00:36:34.182]  Months of tinder-dry conditions added to days of high winds and hot temperatures, creating a perfect firestorm across the West.
[00:36:34.182 --> 00:36:43.107]  California is one of the hardest hit, with a record-breaking 3 billion acres burned and nearly 4,000 homes and buildings lost so far.
[00:36:43.107 --> 00:36:46.650]  A 12-year-old boy and his grandmother are among the latest deaths.
[00:36:47.330 --> 00:36:51.974]  The flames are spreading so fast, it really doesn't give people much time to get out.
[00:36:51.974 --> 00:37:01.621]  The fire is also taking a toll in Washington State, where more than 100 homes are gone, and a one-year-old boy died as his family tried to flee the flames.
[00:37:01.621 --> 00:37:07.606]  And in Oregon, more than 35 fires are burning, with at least five small towns destroyed.
[00:37:07.606 --> 00:37:10.288]  Resources across the West are stretched thin.
[00:37:11.934 --> 00:37:14.756]  It is awful, and it continues as we speak right now.
[00:37:14.756 --> 00:37:17.198]  Walls of flame consuming everything in their path.
[00:37:17.198 --> 00:37:23.262]  Homes, thousands and thousands, untold numbers of animals, and of course as we said, human beings too.
[00:37:23.262 --> 00:37:25.784]  It is tragedy on a massive scale.
[00:37:25.784 --> 00:37:30.007]  When something this terrible happens, decent people pause.
[00:37:30.007 --> 00:37:32.329]  They put their own interests aside for a moment.
[00:37:32.329 --> 00:37:34.631]  They consider how they can help.
[00:37:34.631 --> 00:37:37.233]  We've seen that kind of selflessness before in this country.
[00:37:37.233 --> 00:37:39.174]  This is, remember, the anniversary of 9-11.
[00:37:40.535 --> 00:37:44.519]  But there are others for whom altruism is an unknown concept.
[00:37:44.519 --> 00:37:46.220]  Self-interest is all they know.
[00:37:46.220 --> 00:37:47.501]  These people do not pause.
[00:37:47.501 --> 00:37:48.162]  They never do.
[00:37:48.162 --> 00:37:52.746]  They relentlessly press forward for any advantage under any circumstances.
[00:37:52.746 --> 00:37:56.450]  They see human suffering as a means to increase their personal power.
[00:37:56.450 --> 00:38:01.794]  These are the people who turn funerals into political rallies and feel no shame for doing it.
[00:38:02.555 --> 00:38:06.557]  As Americans burned to death, people like this swung into action immediately.
[00:38:06.557 --> 00:38:09.658]  They went on television with a partisan talking point.
[00:38:09.658 --> 00:38:13.460]  Climate change, they said, caused these fires.
[00:38:13.460 --> 00:38:16.141]  They didn't explain how exactly that happened.
[00:38:16.141 --> 00:38:17.162]  How did climate change do that?
[00:38:17.162 --> 00:38:19.143]  They didn't tell us, but they just kept saying it.
[00:38:20.103 --> 00:38:24.944]  In the hands of democratic politicians, climate change is like systemic racism in the sky.
[00:38:24.944 --> 00:38:29.326]  You can't see it, but rest assured it's everywhere, and it's deadly.
[00:38:29.326 --> 00:38:32.226]  And like systemic racism, it is your fault.
[00:38:32.226 --> 00:38:34.207]  The American middle class did it.
[00:38:34.207 --> 00:38:35.787]  They caused climate change.
[00:38:35.787 --> 00:38:36.888]  They ate too many hamburgers.
[00:38:36.888 --> 00:38:38.728]  They drove too many SUVs.
[00:38:38.728 --> 00:38:40.209]  They had too many children.
[00:38:40.209 --> 00:38:44.630]  A lot of them wear t-shirts to work and didn't finish college, and that causes climate change too.
[00:38:45.615 --> 00:38:49.619]  And worst of all, some of them may vote for Donald Trump in November.
[00:38:49.619 --> 00:39:00.049]  And if there's anything that absolutely, definitively causes climate change, and literally over 100% of scientists agree with this established fact, it is voting for Donald Trump.
[00:39:00.049 --> 00:39:02.171]  You might as well start a tire fire in your yard.
[00:39:03.325 --> 00:39:06.429]  Joe Biden has checked the science and he agrees with this.
[00:39:06.429 --> 00:39:12.196]  Yesterday, the people on Biden's staff who understand the internet tweeted out an image of the wildfires along with this message, quote,
[00:39:21.744 --> 00:39:29.508]  So once again, by voting for Donald Trump, you are causing climate change, which causes devastating fires.
[00:39:29.508 --> 00:39:34.191]  You, by your vote, have made hundreds of thousands of Oregonians homeless tonight.
[00:39:34.191 --> 00:39:36.092]  You've murdered people.
[00:39:36.092 --> 00:39:45.297]  Joe Biden's closest friend in the world, a prominent kite surfer on Martha's Vineyard called Barack Obama, echoed that message with his trademark restraint.
[00:39:45.297 --> 00:39:49.059]  Obama declared that your life depends on voting for Joe Biden.
[00:39:50.365 --> 00:39:52.406]  Hold on a minute, you might ask.
[00:39:52.406 --> 00:39:59.649]  Doesn't this very same Barack Obama own a $12 million spread right on the ocean in Massachusetts?
[00:39:59.649 --> 00:40:06.032]  At a time when sea levels are rising so fast we're about to see killer whales in the Rockies.
[00:40:06.032 --> 00:40:07.733]  Well, that doesn't make sense.
[00:40:07.733 --> 00:40:12.115]  It doesn't seem like Barack Obama could be very concerned about climate change.
[00:40:12.115 --> 00:40:14.536]  And by the way, didn't Obama go to law school?
[00:40:14.536 --> 00:40:15.837]  When did he become a scientist?
[00:40:16.852 --> 00:40:18.892]  Those seem like reasonable questions.
[00:40:18.892 --> 00:40:24.494]  On the other hand, lawyers pretending to be scientists are now everywhere in the Democratic Party.
[00:40:24.494 --> 00:40:27.414]  Here, for example, is the governor of Washington State, Jay Inslee.
[00:40:27.414 --> 00:40:31.335]  Inslee's a proud graduate of Willamette University Law School.
[00:40:31.335 --> 00:40:34.776]  He's explaining that he's already figured out the cause of the fires.
[00:40:34.776 --> 00:40:36.296]  Watch.
[00:40:36.296 --> 00:40:41.597]  These are conditions that are exacerbated by the changing climate that we are suffering.
[00:40:41.597 --> 00:40:44.898]  And I do not believe that we should surrender
[00:40:46.007 --> 00:40:51.514]  These subdivisions, or these houses, do climate change exacerbated fires.
[00:40:51.514 --> 00:40:55.678]  We should fight the cause of these fires.
[00:40:55.678 --> 00:41:01.926]  So I mismanaged my state, now it's on fire, you're required to give me more power.
[00:41:01.926 --> 00:41:02.346]  Right.
[00:41:02.346 --> 00:41:03.287]  You see how that works.
[00:41:04.127 --> 00:41:07.792]  But as a factual matter, this is a crock.
[00:41:07.792 --> 00:41:17.685]  There is not a single scientist on Earth who knows whether or by how much these fires may have been, quote, exacerbated by warmer temperatures caused by climate change.
[00:41:18.672 --> 00:41:25.397]  All we have is conjecture from a handful of scientists and many politicians, none of whom has reached a definitive conclusion.
[00:41:25.397 --> 00:41:35.283]  Daniel Swain, for example, he's a climate scientist at UCLA, conceded recently that it's, quote, hard to determine whether climate change played a role in sparking the fires.
[00:41:35.283 --> 00:41:36.404]  Okay.
[00:41:36.404 --> 00:41:37.585]  That's what science is.
[00:41:37.585 --> 00:41:39.326]  It's gradual.
[00:41:39.326 --> 00:41:40.307]  It's incremental.
[00:41:40.307 --> 00:41:41.227]  Often it's tentative.
[00:41:41.227 --> 00:41:43.709]  We don't say things we don't know for certain.
[00:41:43.709 --> 00:41:44.910]  It's the opposite of politics.
[00:41:45.677 --> 00:41:46.318]  They have nothing.
[00:41:46.318 --> 00:41:52.483]  Alright, the full Tucker Carlson report is on InfoWars.com and NewsWars.com, but I wanted to play that.
[00:41:52.483 --> 00:41:55.786]  Let's go further and give you the rest of the story.
[00:41:55.786 --> 00:41:59.689]  California is famous for having fires.
[00:41:59.689 --> 00:42:02.572]  When people went out there for the gold rush, they would have lightning strikes and big fires.
[00:42:03.612 --> 00:42:18.722]  But the difference is, lightning would then burn its own firebreaks, and large areas would be allowed to burn down, so there was fires later, there would be natural firebreaks from where previous fires had happened, and you'd have a random patchwork of where forest wasn't, and where forest was, from previous wildfires.
[00:42:18.722 --> 00:42:22.524]  Wildfires are part of the carbon cycle on this planet.
[00:42:22.524 --> 00:42:31.811]  You've got these mask-wearing fraudsters that gave you the COVID shenanigans, up there now telling you there's not enough electricity, we have to not have electricity because of
[00:42:32.967 --> 00:42:34.908]  Climate change and all the rest of this.
[00:42:34.908 --> 00:42:39.469]  And now that's climate change's fault when really they're just ripping you off and running scams and mismanaging.
[00:42:39.469 --> 00:42:41.890]  And now they won't cut fire breaks, so that's your fault.
[00:42:41.890 --> 00:42:51.974]  And then Facebook censoring everybody, including local TV stations and police departments that have arrested dozens of arsonists who videotaped themselves in many cases setting the very damn fires.
[00:42:51.974 --> 00:42:57.396]  But oh no, it's climate change, so Big Tech won't let you know it's arsonists that wait for it to get dry with high winds.
[00:42:59.025 --> 00:43:07.410]  As of 54 days out, the globalist, child-molesting, devil-worshippers know they're in trouble, and they know Trump's going to win in the landslides.
[00:43:07.410 --> 00:43:11.051]  They're saying they're going to contest the election and plunge the country into civil war.
[00:43:11.051 --> 00:43:16.054]  And they are throwing hack attacks at InfoWars, dirty tricks, attempts to shut us down.
[00:43:16.054 --> 00:43:17.395]  It's incredible.
[00:43:17.395 --> 00:43:22.197]  That's why now more than ever, your financial support at InfoWars4.com is critical.
[00:43:22.197 --> 00:43:23.558]  It's what keeps us in the game.
[00:43:23.558 --> 00:43:24.759]  We've only got a few months
[00:43:25.479 --> 00:43:26.360]  A backup.
[00:43:26.360 --> 00:43:29.842]  If money wasn't coming in, we'd be shut down and that's not good.
[00:43:29.842 --> 00:43:35.826]  We need to have extra money in our coffers to be able to expand in this homestretch, not just contract.
[00:43:35.826 --> 00:43:40.290]  We're winning, but these scumbags aren't going to give us the victory without a fight.
[00:43:40.290 --> 00:43:42.931]  So I know you're going to step up at InfoWarsTore.com.
[00:43:42.931 --> 00:43:47.275]  We've got free shipping on a bunch of our best-selling items, a bunch of new items that came back in stock.
[00:43:47.275 --> 00:43:53.239]  We've got privacy pockets so your phones don't track you, great supplements, books, films, t-shirts, and so much more.
[00:43:53.239 --> 00:43:54.720]  Get prepared and fund the InfoWar.
[00:43:54.940 --> 00:43:55.460]  We're good to go.
[00:44:17.788 --> 00:44:23.636]  percent off for a limited time when you get it with Survival Shield X2 that's now back in stock.
[00:44:23.636 --> 00:44:26.199]  This has changed my life and so many other people's lives.
[00:44:26.199 --> 00:44:27.140]  Now here's the problem.
[00:44:27.140 --> 00:44:32.627]  Some of the patented ingredients that are in APEC Power Stack because of the shutdown and the lockdown
[00:44:32.807 --> 00:44:33.427]  We're good to go.
[00:44:58.792 --> 00:45:03.116]  The trick that social engineers use is very, very simple.
[00:45:03.116 --> 00:45:13.904]  They just teach us that the architecture of civilization, that the trajectory of a species is designed by these ever-knowing, loving, liberal technocrats.
[00:45:15.005 --> 00:45:17.687]  And then if we just sit back and enjoy the ride, everything will be great.
[00:45:17.687 --> 00:45:23.712]  But then they tell us that humans are obsolete, non-essential, that we're bad for the Earth, and we need to be phased out.
[00:45:23.712 --> 00:45:33.860]  So, they're very open about what they're doing, and they count on us just being very passive, living in the Matrix-like system that they're building.
[00:45:34.560 --> 00:45:41.765]  But what defines humans more than anything from the rest of the quote animal kingdom is that we control our environment.
[00:45:41.765 --> 00:45:43.867]  We build our own environments.
[00:45:43.867 --> 00:45:45.208]  We create our own systems.
[00:45:45.208 --> 00:45:51.712]  We really geoengineer and terraform the planet and its systems towards our aims.
[00:45:51.712 --> 00:45:56.355]  But instead, we're acting like animals, letting the globalists play the part of humans and us as cattle.
[00:45:56.355 --> 00:45:58.717]  And that's the trick.
[00:45:58.717 --> 00:46:00.298]  The answer to 1984.
[00:46:12.964 --> 00:46:17.348]  InfoWars has been banned.
[00:46:17.348 --> 00:46:17.949]  Arrested.
[00:46:17.949 --> 00:46:24.195]  Attacked and threatened.
[00:46:24.195 --> 00:46:25.696]  Because we are effective.
[00:46:27.176 --> 00:46:29.137]  The Great Awakening is here.
[00:46:29.137 --> 00:46:31.417]  Go to band.video.
[00:46:31.417 --> 00:46:33.578]  Download the videos and share.
[00:46:33.578 --> 00:46:42.861]  Support The Information War at infowarstore.com.
[00:46:42.861 --> 00:46:44.761]  And never give up the fight.
[00:46:44.761 --> 00:46:55.885]  InfoWars.com
[00:47:02.122 --> 00:47:12.692]  You're listening to the Alex Jones Show.
[00:47:12.692 --> 00:47:20.019]  Welcome back, I'm your host Alex Jones, broadcasting live on this Sunday edition, and I'll just be completely honest with the listeners.
[00:47:20.019 --> 00:47:23.382]  I almost could not do this show today, and I don't do that to be dramatic.
[00:47:23.382 --> 00:47:25.164]  I never choked 26 years on air.
[00:47:28.106 --> 00:47:29.908]  And I'm not choking now.
[00:47:29.908 --> 00:47:44.946]  It's just that I study this stuff so much that by the time I get up here, after probably doing, let's not exaggerate, six hours of research today, that I am so angry at these people.
[00:47:44.946 --> 00:47:46.147]  It's beyond angry.
[00:47:46.147 --> 00:47:48.090]  I can't believe this is all going on.
[00:47:49.016 --> 00:47:50.077]  I know this is a war.
[00:47:50.077 --> 00:47:51.057]  I know it's an assault.
[00:47:51.057 --> 00:47:55.759]  I know it's 21st century war where they can't militarily attack us front on.
[00:47:55.759 --> 00:48:04.043]  So this international crime syndicate, the globalists, are doing it through the culture, through the corruption, through the people they've manipulated, through their economic power.
[00:48:04.043 --> 00:48:10.846]  But it's so obvious, it's so admitted, it's so ridiculous, it's just mind-blowing.
[00:48:10.846 --> 00:48:18.010]  So let me just hit this and then I'll hit the... At least six cops in the last two days
[00:48:19.580 --> 00:48:23.122]  Got executed in the United States.
[00:48:23.122 --> 00:48:24.323]  And we'll never even know their names.
[00:48:24.323 --> 00:48:26.084]  It's a minor footnote.
[00:48:26.084 --> 00:48:27.866]  Two more got shot in Los Angeles.
[00:48:27.866 --> 00:48:29.727]  They're fighting for their lives.
[00:48:29.727 --> 00:48:33.269]  And I got up early this morning at like 4 a.m.
[00:48:33.269 --> 00:48:36.431]  because I can't sleep now because of this.
[00:48:36.431 --> 00:48:41.615]  And I went on Infowars.com and I saw the articles about the cops getting shot.
[00:48:41.615 --> 00:48:45.357]  And then I clicked on Paul Watson's Twitter.
[00:48:45.357 --> 00:48:48.620]  And it was these people coming to the hospital
[00:48:49.540 --> 00:48:53.124]  Saying we hope the cops die and just acting like complete maniacs.
[00:48:53.124 --> 00:48:55.346]  And I didn't hate them because they were black people.
[00:48:55.346 --> 00:48:57.428]  Because there's a bunch of white people that act just like them.
[00:48:57.428 --> 00:49:00.211]  I hate them because they're so stupid!
[00:49:00.211 --> 00:49:05.076]  You might get 14 black guys killed wrongfully a year by police.
[00:49:05.076 --> 00:49:09.061]  And a few hundred black guys shot by police a year.
[00:49:09.061 --> 00:49:11.944]  You're twice as likely to be shot of your white per capita.
[00:49:14.147 --> 00:49:16.248]  It's not just there's more white people.
[00:49:16.248 --> 00:49:22.050]  If you're a white man, you're twice as likely to be shot by the police because the police aren't scared to shoot you if you pull a gun on them.
[00:49:22.050 --> 00:49:22.811]  And cops aren't perfect.
[00:49:22.811 --> 00:49:29.414]  There's certainly some bad ones, but I'm watching these black dudes with BLM go to the hospital.
[00:49:29.414 --> 00:49:34.256]  And there's like hours of this footage daring cops to shoot him, screaming, hoping the police die.
[00:49:36.738 --> 00:49:41.065]  Because they think there's an epidemic of black people being killed by police.
[00:49:41.065 --> 00:49:47.035]  This is mind control, ladies and gentlemen.
[00:49:47.035 --> 00:49:49.659]  Because the media creates the perception
[00:49:51.613 --> 00:49:58.595]  That there is a record number of black people being killed by police, because there's 370 million people in this country.
[00:49:58.595 --> 00:50:00.116]  330 million citizens.
