[00:00:00.009 --> 00:00:01.311]  The Alex Jones Show.
[00:43:20.868 --> 00:43:29.190]  So yeah, there's some real refugees, but I'm telling you, a large portion are jihadis, and an even bigger portion
[00:43:30.709 --> 00:43:46.680]  Are young men that want sex and rock and roll but at the same time have no respect for women and in the radical Muslim culture, if a woman is out unattended and not covering her face, you can rape her and then she is imprisoned or executed because, well, it's the woman's fault.
[00:43:47.280 --> 00:43:48.041]  And that's well known!
[00:43:49.562 --> 00:44:00.269]  And they're storming churches and they are attacking Christians and they're just taking over and the left is celebrating in it the sickeningness of these people.
[00:44:02.208 --> 00:44:03.750]  Let me actually get into these for you.
[00:44:04.411 --> 00:44:10.438]  Oh, but meanwhile, caught on tape, PSA Gropes 10-year-old girl for two minutes due to Capri Sun in her baggage.
[00:44:11.980 --> 00:44:14.463]  Oh, you're not supposed to, I thought, under 12 Grope people.
[00:44:14.543 --> 00:44:16.425]  Not, no, they're putting them all in the body scanners.
[00:44:16.465 --> 00:44:19.629]  I saw them putting little kids in body scanners this weekend flying back from Phoenix.
[00:44:20.310 --> 00:44:21.431]  Or Monday or Tuesday, I guess.
[00:44:21.511 --> 00:44:22.012]  Time flies.
[00:44:25.276 --> 00:44:32.232]  Oh, but the border's wide open and you fly people in from Latin American flights and don't even look at their papers at customs.
[00:44:32.693 --> 00:44:34.196]  CBS News, New York Daily News.
[00:44:37.432 --> 00:44:38.613]  Come on, buddy, let them grope you.
[00:44:38.633 --> 00:44:39.653]  We got terrorists in this country.
[00:44:39.733 --> 00:44:40.854]  It has nothing to do with it.
[00:44:41.754 --> 00:44:51.520]  Just like they want to train us to let radical Muslim rapists rape our women, they want to train us to let them grope our children right in front of us, put their hands on us.
[00:44:51.560 --> 00:44:54.001]  That's what pedophiles do to get kids ready to be raped.
[00:44:54.421 --> 00:44:55.902]  They're testing us as a culture.
[00:44:56.062 --> 00:44:57.003]  They're breaking us.
[00:44:57.443 --> 00:44:59.684]  How do you domesticate a horse?
[00:45:01.385 --> 00:45:02.246]  You put it in a pen.
[00:45:04.067 --> 00:45:04.587]  You feed it.
[00:45:06.601 --> 00:45:11.783]  And then you get it to where you don't feed it unless it comes over and lets you touch it on the nose, and pretty soon you're riding that horse around.
[00:45:13.263 --> 00:45:23.267]  And of course, the other big rule of domesticating an animal is get them when they're little, and you can domesticate a colt in a couple of hours, because mama's gone, and it wants to snuggle up next to somebody that's another mammal.
[00:45:24.588 --> 00:45:25.848]  That's how they got our kids.
[00:45:26.248 --> 00:45:28.829]  But you break adults at those checkpoints.
[00:45:28.889 --> 00:45:32.030]  And let me tell you, that's social engineering 110%, and they admit it.
[00:45:35.404 --> 00:45:39.407]  Now, the poor TSA person that just wants a job, on average, is not a bad person.
[00:45:39.727 --> 00:45:46.132]  I can't tell you how many times they ask me for autographs going through and say, we want to unionize, we don't want to do the stuff they're telling us, we know it's dumb.
[00:45:47.534 --> 00:46:01.425]  But flying out of Phoenix, there was a blonde-haired woman, Tuesday, who was griping at everyone and yelling at people and bossing them around and getting in their faces.
[00:46:02.523 --> 00:46:11.491]  And when she got up to look at my stuff, and then she'd follow back online and gripe at people and stuff, I just was looking at her, not even steely-eyed, it's like she was pathetic, and she was like, oh, hi, sir, how are you?
[00:46:11.671 --> 00:46:14.354]  Oh, exactly, see, because I'm not domesticated.
[00:46:14.614 --> 00:46:18.278]  I'm not signaling that I'm, you treat me with respect, I'm going to treat you with respect.
[00:46:19.218 --> 00:46:20.720]  Cop pulls me over, I treat him with respect.
[00:46:21.080 --> 00:46:25.724]  They start acting all crazy and bug-eyed, I'll go, excuse me, why are you acting so aggressive?
[00:46:26.946 --> 00:46:28.207]  Doesn't really happen that often, but
[00:46:29.468 --> 00:46:34.551]  The point is, is that we need respect in this country, and this is about not respecting the American people.
[00:46:34.731 --> 00:46:36.152]  It has nothing to do with security.
[00:46:37.052 --> 00:46:37.433]  Report!
[00:46:37.813 --> 00:46:40.654]  Muslim migrants raping women and children at German refugee camp.
[00:46:41.695 --> 00:46:42.035]  Remember this?
[00:46:42.075 --> 00:46:43.196]  September 15th last year.
[00:46:43.216 --> 00:46:46.378]  Remember all the hundreds and really thousands of articles that we've covered, probably?
[00:46:46.438 --> 00:46:47.719]  I mean, it's just, it's just ongoing.
[00:46:48.019 --> 00:46:48.379]  Report!
[00:46:48.419 --> 00:46:50.960]  German media covering up rapes committed by Muslim migrants.
[00:46:51.361 --> 00:46:52.581]  September 22nd last year.
[00:46:53.722 --> 00:46:54.683]  We weren't prepared for this.
[00:46:54.723 --> 00:46:58.445]  Cologne police chief speaks out after NYE mass sexual
[00:46:59.904 --> 00:47:00.344]  Assaults.
[00:47:00.444 --> 00:47:04.027]  And now the police have apologized and said, sorry we said it was German-born.
[00:47:04.327 --> 00:47:08.851]  And the media's had to apologize and said sorry, because the Germans are on the edge of revolt, folks.
[00:47:09.632 --> 00:47:16.337]  They're very pliant, very tribal, follow orders, work hard, twice the most productive country probably in the world, per capita.
[00:47:17.177 --> 00:47:19.940]  They've been so productive, they were told, don't have kids, you're bad, you're evil.
[00:47:20.480 --> 00:47:22.501]  Yes, we'll die as a culture, we'll commit suicide.
[00:47:23.142 --> 00:47:29.127]  But they, while the Germans slit their throat and die as a race in Germany, as a group,
[00:47:30.236 --> 00:47:36.098]  The left wants to hop around and actually declare the blonde-haired, blue-eyed, green party and the rest of them.
[00:47:36.678 --> 00:47:46.621]  Every week there's a new article where their head people go, whites are inherently bad, thank God Germany's dying, and there shouldn't be homogeneity here, Germans are inherently bad, and I'm glad this will be the end of white people.
[00:47:50.682 --> 00:47:54.703]  So as Germany dies, the last blood pumping out of the Caradids,
[00:47:56.343 --> 00:48:02.805]  The left is perched on them, basically defecating on Germany, rubbing it in, smearing it everywhere.
[00:48:02.825 --> 00:48:07.166]  And the dying Germans with blood spurting out are like, why?
[00:48:07.206 --> 00:48:07.626]  Why?
[00:48:07.686 --> 00:48:09.687]  They're like, because we want to kill you, scum!
[00:48:09.867 --> 00:48:10.827]  We conquered you!
[00:48:15.789 --> 00:48:17.089]  So, that's what this is!
[00:48:22.563 --> 00:48:24.984]  When we reported this first, people didn't believe us.
[00:48:25.044 --> 00:48:27.826]  That the mayor would actually say, it's your fault.
[00:48:27.866 --> 00:48:28.446]  That's what she said.
[00:48:53.843 --> 00:48:59.005]  Oh yeah, when a hundred guys run up and tackle you or knock you off your bike, it's your fault.
[00:49:01.567 --> 00:49:02.267]  Caught on tape.
[00:49:02.287 --> 00:49:03.568]  Remember what they were saying?
[00:49:03.588 --> 00:49:05.388]  Remember what they were saying?
[00:49:09.851 --> 00:49:10.191]  Just
[00:49:11.420 --> 00:49:33.310]  A few months ago, I mean it was in major German newspapers, they said do not wear short skirts around the migrants and they cancelled Christmas parades and Christmas caroling and outdoor city Christmas events all over Germany and all over Italy because if the radical Muslims see it, they come from countries where if a Christian is caught with a Bible, they're put in prison or executed.
[00:49:34.611 --> 00:49:36.632]  In the mild countries, they just cane you.
[00:49:41.564 --> 00:49:47.907]  They even told German schoolgirls not to wear the little white shirts and ties and miniskirts.
[00:49:50.409 --> 00:49:52.130]  I have to say, those are very tasteful, in my view.
[00:49:52.850 --> 00:49:58.733]  But, the issue here is, it's all about how far can they go.
[00:49:59.874 --> 00:50:01.795]  And there is no limit.
[00:50:02.575 --> 00:50:05.317]  Obama gets away with coming after the guns with executive orders.
[00:50:06.656 --> 00:50:09.179]  It's all open, like Obamacare, where they can do whatever they want, folks.
[00:50:09.419 --> 00:50:10.860]  Put you on a list, take your guns, whatever.
[00:50:11.341 --> 00:50:16.746]  If we don't move to impeach, it should be top headlines that Paul Ryan's starting impeachment, or investigating impeachment.
[00:50:17.928 --> 00:50:20.090]  Instead, they got Obama going, I'm a great lawyer!
[00:50:20.110 --> 00:50:21.932]  This is totally constitutional!
[00:50:22.112 --> 00:50:23.894]  You get in line and do what I say!
[00:50:27.758 --> 00:50:29.700]  But where the impeachment is exploding,
[00:50:32.461 --> 00:50:35.243]  Is online at Infowars.com.
[00:50:35.764 --> 00:50:39.527]  And they can't stop you from getting these articles and these videos out to everybody to break it down.
[00:50:42.509 --> 00:50:46.512]  So you got the Muslim invaders raping the women in MASH.
[00:50:46.532 --> 00:50:49.795]  You got the TSA raping your privacy and raping your body.
[00:50:50.075 --> 00:50:53.238]  It's all part of getting us used to having to put their hands on us.
[00:50:56.280 --> 00:50:56.841]  It's amazing.
[00:50:57.282 --> 00:51:01.589]  Berlin, Cologne, Hamburg, Stuttgart, Düsseldorf, New Year's, migrant sex assaults.
[00:51:01.929 --> 00:51:03.592]  We're in every major German city.
[00:51:03.832 --> 00:51:04.994]  Infowars.com.
[00:51:05.315 --> 00:51:05.936]  Get that out.
[00:51:06.196 --> 00:51:10.323]  The list, the admissions, the rapes, the assaults, the beatings.
[00:51:11.519 --> 00:51:14.700]  Winter has just begun, and are you already tired of being cold?
[00:51:15.121 --> 00:51:16.921]  How would you like to never be cold again?
[00:51:17.482 --> 00:51:23.624]  This is Dale with Fortress Clothing, and I'm here to tell you, you will never be cold again with Fortress.
[00:51:24.365 --> 00:51:33.669]  If you're tired of freezing your butt off, elk hunting, sitting in a tree stand deer hunting, winter camping, fishing, ice fishing, no longer fear the cold.
[00:51:34.229 --> 00:51:37.591]  If you snowmobile, ski, snowboard, get Fortress.
[00:51:38.251 --> 00:51:44.377]  Sledding with the kids, shoveling the walks, shopping, or if you or your spouse get cold feet at home, get Fortress.
[00:51:44.878 --> 00:51:53.266]  If you're stuck outside working in the cold or find yourself in an emergency situation, get our winter bug out bag and you will never be cold again.
[00:51:53.766 --> 00:51:57.650]  Fortress is the answer, so quit complaining and go to FortressClothing.com.
[00:51:57.930 --> 00:52:00.672]  It's a mid-layer garment that goes with anything you want to wear.
[00:52:01.113 --> 00:52:04.756]  Enter coupon code RADIO and get 20% off any item.
[00:52:05.196 --> 00:52:07.098]  Go now while we still have inventory.
[00:52:07.478 --> 00:52:08.519]  FortressClothing.com
[00:52:10.871 --> 00:52:20.197]  We use mobile devices right against our bodies every day, but growing scientific evidence has emerged showing serious health risks associated with exposure to EMF radiation emitted from these devices.
[00:52:20.297 --> 00:52:24.620]  The solution is DefenderShield, the most effective mobile radiation shielding ever developed.
[00:52:24.720 --> 00:52:31.244]  DefenderShield blocks virtually 100% of EMF radiation from cell phones, tablets, and laptops, and starts at just $64.99.
[00:52:31.725 --> 00:52:33.486]  Buy now at DefenderShield.com.
[00:52:33.606 --> 00:52:35.827]  For 10% off, use promo code GCN.
[00:52:35.988 --> 00:52:39.530]  DefenderShield.com, the worldwide leader in mobile radiation shielding.
[00:52:41.505 --> 00:52:42.586]  We've all heard the news stories.
[00:52:43.046 --> 00:52:43.767]  Another shooting.
[00:52:44.187 --> 00:52:45.428]  And they're getting worse.
[00:52:45.888 --> 00:52:49.111]  That's why Infidel Body Armor introduces Infidel Fridays.
[00:52:49.451 --> 00:52:54.135]  Exclusive 24-hour insider deals to save you money and possibly save your life.
[00:52:54.455 --> 00:52:57.597]  Make it a favorite when you log on to InfidelBodyArmor.com.
[00:52:57.758 --> 00:53:03.502]  Then be sure to visit each and every Infidel Friday to get special insider pricing, but for 24 hours only.
[00:53:03.642 --> 00:53:05.343]  That's InfidelBodyArmor.com.
[00:53:05.584 --> 00:53:08.286]  Infidel Body Armor just won't quit.
[00:53:10.037 --> 00:53:13.522]  As if chlorine in our water weren't bad enough, now they're adding ammonia?
[00:53:14.283 --> 00:53:14.784]  It's true.
[00:53:14.904 --> 00:53:18.850]  Some municipalities are now adding ammonia plus chlorine to your water supply.
[00:53:19.071 --> 00:53:20.913]  It's a disinfectant called chloramine.
[00:53:21.454 --> 00:53:25.941]  But with a trusted Big Berkey water filter, you can keep chloramine out of your water.
[00:53:26.221 --> 00:53:38.845]  New NSF EPA certified lab tests show EPA Berkey water filters remove chloramines, pharmaceuticals, BPA, pesticides, bacteria and viruses, all forms of fluoride and much more.
[00:53:39.105 --> 00:53:42.626]  Big Berkey water filters are the original and most trusted on the market.
[00:53:42.886 --> 00:53:45.186]  The gold standard in water purification.
[00:53:45.547 --> 00:53:49.588]  And our filters last for years at less than two cents per gallon.
[00:53:49.868 --> 00:53:54.149]  Big Berkey, the one that's powerful enough to purify stagnant pond water.
[00:53:54.389 --> 00:53:55.989]  Get your Big Berkey today.
[00:53:56.129 --> 00:54:01.271]  Call 1-877-99-BERKEY or click bigberkeywaterfilters.com.
[00:54:01.451 --> 00:54:05.231]  That's 1-877-99-B-E-R-K-E-Y.
[00:54:05.491 --> 00:54:06.772]  Big Berkey Water Filters.
[00:54:07.052 --> 00:54:08.912]  For the love of clean water.
[00:54:16.054 --> 00:54:20.395]  I hurt myself today.
[00:54:20.435 --> 00:54:21.575]  See if I still feel it.
[00:54:24.260 --> 00:54:32.767]  I hurt myself today to see if I still feel.
[00:54:34.849 --> 00:54:37.812]  I focus on the pain.
[00:54:37.832 --> 00:54:40.194]  The only thing that's real.
[00:54:40.274 --> 00:54:43.457]  The only thing that's real.
[00:54:43.517 --> 00:54:45.038]  I think I first heard this song about 20 years ago.
[00:54:45.058 --> 00:54:45.498]  18 years ago.
[00:54:45.519 --> 00:54:46.700]  Fears before he died.
[00:54:50.899 --> 00:54:52.501]  This is a Trent Reznor song.
[00:54:53.722 --> 00:54:56.264]  I didn't really get what it meant then.
[00:54:57.826 --> 00:55:00.468]  But I remember everything.
[00:55:00.808 --> 00:55:04.011]  What have I become, my sweetest friend?
[00:55:14.826 --> 00:55:24.673]  Everyone I love goes away in the end.
[00:55:25.273 --> 00:55:26.113]  You can have it all!
[00:55:26.814 --> 00:55:27.815]  An empire of dirt!
[00:55:27.835 --> 00:55:30.436]  Because that's what everything goes back to.
[00:55:30.656 --> 00:55:39.362]  And the globalists, all they want to do is kill and destroy.
[00:55:39.682 --> 00:55:42.544]  Because they're so satanic.
[00:55:47.406 --> 00:55:48.486]  But now I get what it means.
[00:55:48.566 --> 00:55:52.968]  So many people can't feel anymore.
[00:55:55.269 --> 00:55:56.729]  They can't stand up for themselves.
[00:55:57.249 --> 00:55:57.850]  They're broken.
[00:56:00.350 --> 00:56:01.651]  They are unconscious.
[00:56:03.932 --> 00:56:08.593]  And we have all these clips of German police and other Germans talking about what happened and what unfolded.
[00:56:09.093 --> 00:56:09.894]  There's an article from RT.
[00:56:11.533 --> 00:56:14.076]  Cologne police chief speaks out after N.Y.E.
[00:56:15.078 --> 00:56:16.360]  mass sexual assaults.
[00:56:17.040 --> 00:56:18.803]  That was, again, New Year's Eve.
[00:56:19.304 --> 00:56:23.209]  The initial police report claimed night of mass rapes had gone peacefully.
[00:56:23.950 --> 00:56:25.292]  They now apologize for lying.
[00:56:27.110 --> 00:56:32.253]  Cologne police were not ready to deal with the mass sexual assaults committed during New Year celebrations.
[00:56:32.293 --> 00:56:34.095]  That's not true, they've just been ordered to cover it up.
[00:56:34.655 --> 00:56:39.718]  The city's police chief told RT, adding that they have never experienced such incidents before.
[00:56:40.439 --> 00:56:43.881]  Eventually, we had a situation where a large group of men were going after women.
[00:56:44.421 --> 00:56:48.924]  We did intervene to help, but I'll admit that we were totally bewildered by it all.
[00:56:50.525 --> 00:56:53.908]  We have never encountered incidents like this before, and we weren't prepared for it.
[00:56:54.710 --> 00:56:58.153]  Cologne Chief of Police Wolfgang Albers told RT.
[00:57:04.318 --> 00:57:06.100]  And they knew all this was going to happen.
[00:57:07.701 --> 00:57:08.602]  They knew full well.
[00:57:09.482 --> 00:57:22.994]  And the answer will be more police, more checkpoints, curfews, banning demonstrations, which they've tried to do, civil emergency focused on the French, the Germans, the Swedes,
[00:57:25.146 --> 00:57:25.626]  And others.
[00:57:30.990 --> 00:57:32.852]  And if you understand this story, you understand it all.
[00:57:33.973 --> 00:57:39.937]  Meanwhile, man in suicide vest shouting, Allah Akbar, shot dead by Paris police today.
[00:57:40.257 --> 00:57:40.878]  Sky News.
[00:57:42.199 --> 00:57:47.823]  Running towards the entrance of a police station, before two or three gunshots rang out.
[00:57:49.710 --> 00:57:54.034]  And now they're claiming, oh, it wasn't a real bomb vest, it just looked like one.
[00:57:54.615 --> 00:58:00.741]  Which, if you follow the past French events, they covered up RPG attacks on the one-year anniversary of Charlie Hebdo.
[00:58:02.583 --> 00:58:03.564]  Now we see a new attack.
[00:58:04.025 --> 00:58:05.867]  So this fits, probably was a real vest.
[00:58:06.147 --> 00:58:07.849]  Because the French have been ordered, you cover it up.
[00:58:10.331 --> 00:58:11.653]  And by the way, it's the one-year
[00:58:14.116 --> 00:58:15.016]  Anniversary of this.
[00:58:15.096 --> 00:58:18.877]  It's also the anniversary today of the Clinton impeachment proceedings.
[00:58:18.917 --> 00:58:23.719]  And we're going to get the guy that brought those proceedings, former Congressman Bob Barr, on very, very soon.
[00:58:25.399 --> 00:58:26.259]  But here's the New York Times.
[00:58:26.739 --> 00:58:30.901]  Cologne's mayor's arm's-length advice on sexual attacks stirs outcry.
[00:58:31.541 --> 00:58:34.381]  Yeah, that's what the feminists say that the anti-women people say.
[00:58:34.401 --> 00:58:36.122]  But, oh, she's a feminist, so it's okay.
[00:58:36.662 --> 00:58:39.403]  Obama can double black unemployment because he's black.
[00:58:40.236 --> 00:58:43.538]  And he can abort all the babies, because he's black, because it's okay, because he's black.
[00:58:43.818 --> 00:58:45.759]  Well, she's a woman, so it's okay, too.
[00:58:46.039 --> 00:58:51.442]  And Bill Clinton can rape whoever he wants, because he's got a wife that calls the shots, so, you know, it's okay.
[00:58:51.462 --> 00:58:54.564]  And Hillary likes girls, too, so, you know, it's kind of cool.
[00:58:54.964 --> 00:58:57.065]  It's just bondage with them, you know?
[00:58:57.085 --> 00:59:00.867]  You know, when Bill breaks your nose, it's cute, it's liberal.
[00:59:01.027 --> 00:59:01.668]  You just happen.
[00:59:02.688 --> 00:59:05.871]  2015 has passed into history, into lore.
[00:59:06.311 --> 00:59:09.053]  But now, 2016 has been born.
[00:59:09.634 --> 00:59:13.436]  And the decision lies in your hands to forge the destiny.
[00:59:13.456 --> 00:59:15.598]  Whoa, whoa, whoa!
[00:59:15.698 --> 00:59:20.282]  That's a little too epic, that Hollywood action-adventure-science-fiction voice I'm using.
[00:59:20.302 --> 00:59:28.628]  But quite frankly, that's how I feel like I should be talking about what happens when your body actually gets the real, natural nutrients it needs.
[00:59:28.888 --> 00:59:35.310]  And that's why we're offering the biggest discount ever on three of our best-selling products that turbocharge and cleanse the body.
[00:59:35.550 --> 00:59:43.973]  Get Survival Shield X2 Nascent Iodine, the all-in-one cleansing formula Deep Cleanse, and Secret 12 Methylcobalamin Vitamin B12 for the lowest price ever.
[00:59:44.093 --> 00:59:48.274]  Read the five-star reviews at InfoWarsLife.com and take action in the new year.
[00:59:48.434 --> 00:59:53.236]  Receive 15% off on checkout at InfoWarsLife.com when you use the promo code 2016.
[00:59:54.116 --> 00:59:55.296]  And see, I just did it again.
[00:59:55.316 --> 00:59:56.897]  I can't help but get excited.
[00:59:56.957 --> 01:00:00.318]  Get healthy, fight the globalists, win-win, yeah!
[01:00:02.898 --> 01:00:05.599]  You're listening to the Alex Jones Show.
[01:00:12.621 --> 01:00:19.702]  Hotel Motel, don't you wanna come?
[01:00:22.705 --> 01:00:27.189]  Live from the Infowars.com studios, it's Alex Jones.
[01:00:28.730 --> 01:00:33.694]  Yeah, a lot of folks want to knock us off the perch as the king of Infowar.
[01:00:34.935 --> 01:00:37.557]  Doesn't work because the good Lord's with us and you're with us.
[01:00:37.797 --> 01:00:40.759]  But I tell you, the key is we're doing it for the right reasons.
[01:00:40.779 --> 01:00:45.423]  We're fighting tyranny because we hate tyranny, not because we want to be big shots in the fight against it.
[01:00:45.904 --> 01:00:49.947]  And let me tell you, it's dangerous to be doing this, but it's a lot more dangerous to be going along with it.
[01:00:50.984 --> 01:00:57.105]  Leanne McAdoo did a really important report for the Nightly News last night about Hillary dodging issues of socialism.
[01:00:57.125 --> 01:01:04.847]  We're going to play this report, come back, get into the other big financial news, a lot more, but we can move to impeach Obama.
[01:01:04.867 --> 01:01:06.327]  We're going to be talking about that as well.
[01:01:06.387 --> 01:01:06.867]  Stay with us.
[01:01:08.348 --> 01:01:16.709]  In an otherwise softball interview with Chris Matthews, Hillary Clinton seemed a little bit rattled when she was asked to explain the difference between a Democrat and a Socialist.
[01:01:17.190 --> 01:01:18.790]  What's the difference between a Socialist and a Democrat?
[01:01:20.298 --> 01:01:22.140]  Is that a question you want to answer or would you rather not?
[01:01:22.220 --> 01:01:25.582]  Well, you know, you'd have to ask... Well, see, I'm asking you.
[01:01:25.803 --> 01:01:27.284]  You're a Democrat, he's a Socialist.
[01:01:27.664 --> 01:01:29.485]  Would you like somebody to call you a Socialist?
[01:01:29.686 --> 01:01:30.947]  I wouldn't like somebody to call me a Socialist.
[01:01:30.967 --> 01:01:32.007]  But I'm not one.
[01:01:32.248 --> 01:01:34.389]  Okay, well what's the difference between a Socialist and a Democrat?
[01:01:34.509 --> 01:01:35.730]  Well, I can tell you what I am.
[01:01:36.151 --> 01:01:37.492]  I am a progressive Democrat.
[01:01:37.632 --> 01:01:46.899]  I'm a progressive Democrat who likes to get things done and who believes that we are better off in this country when we're trying to solve problems together.
[01:01:47.139 --> 01:01:49.661]  So this is the party's leading candidate.
[01:01:50.101 --> 01:01:57.387]  But Matthews was equally flustered last year when he asked the same question to the party's leading officer, Debbie Wasserman Schultz.
[01:01:57.868 --> 01:01:59.769]  What is the difference between a Democrat and a Socialist?
[01:02:02.271 --> 01:02:03.552]  I used to think there was a big difference.
[01:02:03.572 --> 01:02:04.213]  What do you think it is?
[01:02:05.900 --> 01:02:12.267]  The difference between being a Democrat and being a Republican.
[01:02:12.447 --> 01:02:16.311]  You're the chairman of the Democratic Party.
[01:02:16.351 --> 01:02:17.872]  Tell me the difference between you and a socialist.
[01:02:18.753 --> 01:02:24.979]  The relevant debate that we'll be having over the course of this campaign is what's the difference between a Democrat and a Socialist.
[01:02:25.520 --> 01:02:31.542]  It's really difficult for them to explain the difference because there is no difference in the current contemporary Democratic Party.
[01:02:31.922 --> 01:02:39.505]  So since Bernie Sanders came on the scene introducing this term Democratic Socialism there into the mainstream, people are rightly confused.
[01:02:39.906 --> 01:02:40.906]  Here is the gist of it.
[01:02:41.226 --> 01:02:42.086]  This is socialism.
[01:02:42.106 --> 01:02:52.330]  So the three core demands of the National Day of Action are free public college, a cancellation of student debt, and a $15 an hour minimum wage for people who work on the campus.
[01:02:52.631 --> 01:02:53.631]  And how's that going to be paid?
[01:02:56.282 --> 01:02:57.423]  Um, great question.
[01:02:58.444 --> 01:03:00.625]  I mean, you know, so...
[01:03:26.102 --> 01:03:36.070]  Now, the Democrats, they also agree, you know, they want equality for all, rule by the majority, and they pretend to believe that nobody should be too rich, right?
[01:03:36.150 --> 01:03:38.953]  Unless you're Hillary Clinton or part of the ruling class.
[01:03:39.773 --> 01:03:44.357]  And they also believe in a big, and I do mean a very big government,
[01:03:44.717 --> 01:03:45.877]  Take care of everyone.
[01:04:03.562 --> 01:04:04.643]  of the Hunger Games.
[01:04:04.764 --> 01:04:10.090]  That movie does an excellent job kind of foreshadowing what that society would look like.
[01:04:10.450 --> 01:04:13.974]  But let's take a look at the website of the Democratic Socialists of America.
[01:04:14.254 --> 01:04:18.159]  This is what they have to say about the Democratic Party versus Socialists.
[01:04:18.499 --> 01:04:23.481]  So the question is, aren't you a party that's in competition with the Democratic Party for votes and support?
[01:04:23.981 --> 01:04:26.022]  No, we are not a separate party.
[01:04:26.402 --> 01:04:34.686]  Like our friends and allies in the feminist, labor, civil rights, religious and community organizing movements, many of us have been active in the Democratic Party.
[01:04:35.086 --> 01:04:38.827]  We work with those movements to strengthen the party's left wing.
[01:04:39.067 --> 01:04:44.890]  We hope that at some point in the future, in coalition with our allies, an alternative national party will be viable.
[01:04:45.250 --> 01:04:47.871]  For now, we'll continue to support progressives.
[01:04:48.251 --> 01:04:49.252]  I am a progressive Democrat.
[01:05:10.953 --> 01:05:17.440]  The Obama administration is pushing for the largest gun grab in American history.
[01:05:17.620 --> 01:05:21.544]  We're also taking steps to make the background check system more efficient.
[01:05:21.884 --> 01:05:25.608]  And we're going to bring an outdated background check system into the 21st century.
[01:05:25.828 --> 01:05:30.133]  Anyone critical of the government could have their Second Amendment rights taken away.
[01:05:30.453 --> 01:05:46.202]  Simply if psychologists diagnose them with what they are calling oppositional defiant disorder, which the American Psychiatric Association describes as a defiant, disobedient, and hostile behavior toward authority.
[01:05:46.442 --> 01:05:54.287]  Other measures will allow doctors to report patients to the FBI and RFID tracking with smart guns.
[01:05:54.567 --> 01:05:56.228]  We're going to boost gun safety technology.
[01:05:56.468 --> 01:05:59.250]  We need to develop new technologies that make guns safer.
[01:05:59.750 --> 01:06:05.094]  We can set it up so you can't unlock your phone unless you got the right fingerprint.
[01:06:05.234 --> 01:06:06.655]  Why can't we do the same thing for our guns?
[01:06:07.115 --> 01:06:10.297]  And you can learn more right now at InfoWars.com.
[01:06:10.838 --> 01:06:14.060]  When cells become toxic, they die early and aging sets in.
[01:06:14.340 --> 01:06:18.683]  No one has put together a formula that focuses directly on brain health, nerve growth,
[01:06:18.763 --> 01:06:18.983]  We're good.
[01:06:40.768 --> 01:06:41.729]  BrainForce is here.
[01:06:41.909 --> 01:06:44.010]  Ladies and gentlemen, I've been on this the last few months.
[01:06:44.131 --> 01:06:48.854]  You probably noticed I've been more focused, less brain fog, more energy, and it's because of BrainForce.
[01:06:49.114 --> 01:06:50.755]  There's always hidden additives in your food.
[01:06:50.816 --> 01:06:52.297]  Even organic food has hidden additives.
[01:06:52.397 --> 01:06:55.619]  Staring at the computer all day, working, doing good, you're still damaging your brain.
[01:06:55.879 --> 01:06:57.701]  Ultimately, we've all been dumbed down to some degree.
[01:06:57.881 --> 01:06:58.781]  It doesn't have stimulants.
[01:06:58.801 --> 01:06:59.762]  It doesn't have garbage in it.
[01:06:59.982 --> 01:07:01.884]  It has natural things that do it clean.
[01:07:01.984 --> 01:07:07.568]  You will find BrainForce and other game-changing products at InfoWarsLife.com or call 888-253-3139.
[01:07:10.610 --> 01:07:16.633]  Our bloated federal government and a coterie of megacorporations are hoping that we all have the memory of a goldfish.
[01:07:16.814 --> 01:07:19.755]  We forget to use those holiday gift cards.
[01:07:20.015 --> 01:07:28.900]  Every year, millions of Americans are unknowingly letting government institutions and megacorporations steal billions of dollars of their money.
[01:07:29.180 --> 01:07:32.042]  Instead, use your gift cards to help support the InfoWall.
[01:07:32.142 --> 01:07:32.462]  We're good.
[01:07:50.777 --> 01:07:51.417]  It's so simple.
[01:07:51.637 --> 01:07:53.538]  Don't throw those gift cards away.
[01:07:54.058 --> 01:08:02.281]  Use that money to get high quality products and save 15% in the process, all the while funding the tip of the spear in the fight for human liberty worldwide.
[01:08:02.461 --> 01:08:03.661]  That's a 360 win.
[01:08:03.861 --> 01:08:05.562]  Don't donate your money to the banksters.
[01:08:05.702 --> 01:08:10.023]  Visit InfowarsStore.com and help fund the tip of the spear in the fight for human liberty.
[01:08:12.764 --> 01:08:14.945]  He's the T-Rex of political talk.
[01:08:15.545 --> 01:08:18.326]  Alex Jones on the GCN Radio Network.
[01:08:26.525 --> 01:08:39.450]  Ladies and gentlemen, the Washington Post and other major publications are coming out basically pointing at the elephant in the room, or the rapist donkey in the room would be proper, Bill Clinton, who settled multiple
[01:08:41.309 --> 01:08:43.371]  Rape allegations with out-of-court settlements.
[01:08:43.411 --> 01:08:46.473]  We've interviewed several of the prominent, respected women.
[01:08:46.493 --> 01:08:48.715]  They didn't have histories of making stuff up.
[01:08:48.755 --> 01:09:00.825]  They were professionals that he'd invite them into a cloakroom at a party, wherever, and just start choking them, bite their lip, and threaten to basically, you know, hurt them if he didn't, if they didn't submit.
