[00:00:00.170 --> 00:00:02.066]  The Alex Jones Show.
[00:43:05.201 --> 00:43:07.341]  Absolutely overrun by demons, ladies and gentlemen.
[00:43:07.782 --> 00:43:12.924]  As ISIS threat grows in Europe, NATO to deliver five Global Hawks to Sicily by the end of 2016.
[00:43:12.964 --> 00:43:18.466]  That'll be to bomb opposition to Al-Qaeda in Libya.
[00:43:19.466 --> 00:43:24.968]  But they sell that to the public like, oh, they're going to battle ISIS in Italy with drones!
[00:43:25.268 --> 00:43:26.929]  It's the government bringing them in!
[00:43:29.423 --> 00:43:30.184]  It goes on and on.
[00:43:30.284 --> 00:43:32.107]  I haven't even hit one-tenth of the articles.
[00:43:32.447 --> 00:43:35.050]  Rome covers up nude statues in Muslim for Iran president.
[00:43:35.211 --> 00:43:36.192]  See, all about censorship.
[00:43:36.452 --> 00:43:38.675]  We censor ourselves for them.
[00:43:38.955 --> 00:43:41.318]  God forbid he sees a statue of David.
[00:43:42.099 --> 00:43:45.324]  Feminized males will allow Muslims to conquer Europe.
[00:43:45.344 --> 00:43:46.105]  Another key article.
[00:43:50.587 --> 00:43:52.308]  Totally key article I mentioned earlier.
[00:43:52.368 --> 00:43:53.529]  We need to get that out to everybody.
[00:43:54.650 --> 00:44:03.855]  Now Obama is having Bernie Sanders to the White House signaling that they may just not use Biden, they may use Sanders.
[00:44:05.176 --> 00:44:07.797]  They may be offering him a VP slot with Biden.
[00:44:09.358 --> 00:44:09.819]  Wait for it.
[00:44:11.059 --> 00:44:11.420]  Wait for it.
[00:44:11.440 --> 00:44:12.100]  That's in the cards.
[00:44:13.581 --> 00:44:15.422]  Or Elizabeth Warren and Biden.
[00:44:16.202 --> 00:44:16.723]  Joe Biden!
[00:44:18.117 --> 00:44:24.963]  Clintonista complains to Twitter, the co-founder, that Hillary, mocking hashtag, is pure misogyny.
[00:44:24.983 --> 00:44:26.765]  She's criticizing the Lord and Savior.
[00:44:26.785 --> 00:44:27.626]  She's hating women.
[00:44:27.646 --> 00:44:28.607]  She's not criticizing Obama.
[00:44:28.627 --> 00:44:29.808]  She's criticizing blacks.
[00:44:30.008 --> 00:44:31.750]  We'll have to sit here and explain to women if she gets elected.
[00:44:31.970 --> 00:44:34.952]  We're not against you.
[00:44:35.213 --> 00:44:35.993]  We're not against you.
[00:44:36.234 --> 00:44:36.814]  We're not against you.
[00:44:36.834 --> 00:44:38.235]  The CIA ran Hillary and Ms.
[00:44:38.256 --> 00:44:38.616]  Magazine.
[00:44:38.876 --> 00:44:40.638]  We just, we just want to stop her.
[00:44:40.918 --> 00:44:41.699]  She's a tyrant.
[00:44:41.839 --> 00:44:42.259]  Shut up!
[00:44:42.419 --> 00:44:43.180]  The women are winning!
[00:44:43.200 --> 00:44:43.921]  You'll never stop us!
[00:44:45.299 --> 00:44:47.039]  It's like Charlton Heston at the end of Omega Man.
[00:44:47.099 --> 00:44:47.820]  I have the cure!
[00:44:48.240 --> 00:44:49.040]  I want to free you!
[00:44:49.160 --> 00:44:49.700]  Shut up!
[00:44:49.740 --> 00:44:50.860]  They throw a spear into him.
[00:44:51.341 --> 00:44:51.901]  Shut up!
[00:44:51.961 --> 00:44:53.101]  We want to be like this!
[00:44:54.021 --> 00:44:55.082]  There's chemicals in the water!
[00:44:55.222 --> 00:44:55.862]  We want them!
[00:44:55.882 --> 00:45:00.463]  Alright, we're going to Biggs here in a minute.
[00:45:02.704 --> 00:45:04.324]  It's going on and on and on.
[00:45:04.384 --> 00:45:07.405]  I mean, it just gets crazier and crazier and crazier.
[00:45:13.598 --> 00:45:14.559]  Oh, look at this headline.
[00:45:14.619 --> 00:45:22.364]  High-profile militant John Ritzheim flees home to Arizona hours before the Feds spring it.
[00:45:22.504 --> 00:45:22.864]  The trap.
[00:45:22.964 --> 00:45:23.644]  Oh, isn't that convenient?
[00:45:23.664 --> 00:45:29.108]  We're going to be getting into that in just a moment with the Oregon standoff having a bloody turn.
[00:45:29.928 --> 00:45:33.991]  And the mainstream media, I have TV and I have the Daily Mail, saying there was a shootout.
[00:45:34.051 --> 00:45:34.591]  No, there wasn't.
[00:45:34.631 --> 00:45:35.492]  The Feds even admit that.
[00:45:35.852 --> 00:45:40.275]  So I guess when the Feds pull me over and shoot me, they'll just say it was a shootout.
[00:45:43.100 --> 00:45:43.800]  Very, very dangerous.
[00:45:43.820 --> 00:45:44.480]  That's all coming up.
[00:45:44.700 --> 00:45:47.041]  China warns Soros against declaring war on its currency.
[00:45:47.061 --> 00:45:51.222]  20,000 chunks of space debris are floating around Earth.
[00:45:52.442 --> 00:45:53.622]  More on the Zika virus.
[00:45:53.642 --> 00:45:55.163]  There's just hundreds of key articles.
[00:45:55.703 --> 00:46:05.425]  But first, ladies and gentlemen, I want to tell everybody that we are running the biggest special we ever have on DNA Force.
[00:46:06.867 --> 00:46:09.111]  This is our Rolls-Royce product.
[00:46:09.731 --> 00:46:11.334]  Comparable formulas are $300 to $600.
[00:46:13.457 --> 00:46:17.042]  Just the Bio-PQQ in it cost about $40 for us.
[00:46:17.082 --> 00:46:22.730]  That's why a comparable just a dose of Bio-PQQ is $40 with other leading brands that aren't even organic like ours.
[00:46:24.108 --> 00:46:32.134]  And it has a whole bunch of other key ingredients that are very expensive as well, but we just give you the very lowest price on it, and this has turned a lot of heads the two years it's been out.
[00:46:32.395 --> 00:46:38.820]  We can actually say about this 125 clinical studies, nerve, growth factor, energize, and more.
[00:46:40.341 --> 00:46:41.722]  I forget how many pounds it is.
[00:46:41.782 --> 00:46:43.183]  It's something like 300 pounds of blueberries.
[00:46:43.203 --> 00:46:44.424]  300 pounds of blueberries.
[00:46:49.858 --> 00:46:53.503]  To get the same amount of vitamin C that's in Bio PQQ.
[00:46:53.563 --> 00:46:58.689]  It's basically super vitamin C. Like Linus Pauling won the Nobel Prize for what it could do.
[00:46:58.970 --> 00:47:00.972]  But if you take that much vitamin C, you get sick.
[00:47:02.654 --> 00:47:03.576]  You get diarrhea.
[00:47:05.075 --> 00:47:06.556]  But not with BioPQQ.
[00:47:07.476 --> 00:47:15.281]  Now we're paying $14,000 a kilo from Mishabishi America that owns the patent for this, and they can't believe we're even buying it.
[00:47:15.821 --> 00:47:20.343]  They only basically sell it in Japan in places they make it here, because no one will even pay for it.
[00:47:21.304 --> 00:47:23.805]  Or they'd pay $600 a bottle for the real deal.
[00:47:24.605 --> 00:47:28.007]  I mean, to give you an idea, that's why it's, ladies and gentlemen, normally $150.
[00:47:30.913 --> 00:47:33.655]  Because this stuff's like $80 a product going into the bottle.
[00:47:34.335 --> 00:47:35.676]  This, ladies and gentlemen, is $97.
[00:47:35.716 --> 00:47:38.178]  It doesn't say on my sheet, I know it's 25% off.
[00:47:38.258 --> 00:47:38.518]  You got $97.50.
[00:47:43.223 --> 00:47:48.366]  Normally $134 discounted.
[00:47:48.386 --> 00:47:48.366]  $97.50.
[00:47:49.527 --> 00:47:52.669]  So you can see it's almost a loss leader, folks.
[00:47:53.430 --> 00:47:58.113]  When you've got, depending on which batch we do and how much it costs, between $70 and $80 of product.
[00:47:58.413 --> 00:48:08.380]  The Bio PQQ cost us something like, depending on how much we pay at the time, $35 to $40 for one ingredient and it's got all the other super ingredients in it.
[00:48:08.740 --> 00:48:11.222]  It is, we believe from our research, the ultimate
[00:48:14.025 --> 00:48:15.466]  Pill for you name it.
[00:48:15.486 --> 00:48:18.307]  I mean, my finger was cut off, hanging by skin.
[00:48:18.687 --> 00:48:20.388]  It was still numb a decade later.
[00:48:20.608 --> 00:48:28.191]  When this came out two and a half years ago, I began taking it and my whole side of my finger started tingling a month in and the feeling came back.
[00:48:29.152 --> 00:48:30.972]  And that's exactly what they say it does.
[00:48:31.072 --> 00:48:34.954]  It's one of the only documented things with nerve regeneration.
[00:48:35.054 --> 00:48:36.875]  It is incredible.
[00:48:38.107 --> 00:48:40.089]  And everybody's asking me, why don't you ever talk about this?
[00:48:40.129 --> 00:48:44.854]  Well, it costs a lot and I just want to plug, you know, the little silver that's, you know, $19.
[00:48:44.914 --> 00:48:46.937]  I just, you know, no, no, this is the super product.
[00:48:47.257 --> 00:48:49.820]  This is what people should check out for themselves.
[00:48:50.640 --> 00:48:53.804]  And the discount only goes for a few days because here's the deal.
[00:48:55.299 --> 00:49:01.025]  The discount only goes for a few days because we only have a limited supply and we'll get more in in five weeks.
[00:49:01.045 --> 00:49:03.448]  So I decided to do this as a loss leader and to sell it out.
[00:49:03.768 --> 00:49:05.030]  It'll probably be gone by next week.
[00:49:05.330 --> 00:49:09.855]  Infowarslife.com and the purchase funds this key operation.
[00:49:10.035 --> 00:49:13.899]  There's some other new specials today at infowarslife.com and infowarsstore.com.
[00:49:14.420 --> 00:49:16.882]  Free shipping on all orders above $50 as well.
[00:49:17.362 --> 00:49:20.905]  Infowarslife.com, Infowarsstore.com or 888-253-3139.
[00:49:21.105 --> 00:49:24.007]  All right, this is the last break of the week.
[00:49:24.047 --> 00:49:25.288]  I'm skipping, but I'm skipping this one.
[00:49:25.708 --> 00:49:31.172]  Let's bring Joe Biggs in, former Army Staff Sergeant Combat Vet of Afghanistan and Iraq.
[00:49:33.074 --> 00:49:40.619]  Combat vet, he can comment on the tactics, you know, the so-called military people that were there, most of which were never in the military, what he saw,
[00:49:41.873 --> 00:49:48.455]  The fact that they pulled the car over, and then reportedly they ran, it crashed, according to the daughter that was in the car and others.
[00:49:49.135 --> 00:49:54.836]  And then they'd already shot up the vehicle, the woman jumps out, the man jumps out, and they shoot Mr. Lavoie.
[00:49:55.476 --> 00:50:00.097]  I think the man had a lot of courage, I think he meant well, and he was ready to die.
[00:50:00.117 --> 00:50:02.998]  And we're going to go over his quotes to newspapers just last week.
[00:50:03.978 --> 00:50:06.420]  That said, I don't think it's time for a shooting war.
[00:50:06.881 --> 00:50:08.962]  People don't even understand the factions that are involved.
[00:50:09.303 --> 00:50:19.851]  The globalists want to start a shooting war, but Joe Biggs was there for a week last month in the middle of this circus, or I guess actually earlier this month, in the middle of this circus.
[00:50:20.552 --> 00:50:25.556]  And now they still reportedly, tell me if it changed last hour, have the wildlife refuge surrounded.
[00:50:25.596 --> 00:50:27.298]  The feds now are going Waco style.
[00:50:28.198 --> 00:50:30.580]  I'm not saying any of the people that got arrested are feds.
[00:50:45.370 --> 00:50:48.792]  And I'm also not saying that there's a sun in the sky at high noon.
[00:50:48.952 --> 00:50:50.733]  But they did this with Atari.
[00:50:50.773 --> 00:51:01.998]  I said, watch who they release in a few weeks and who the charges quietly get dropped on because that's what they do to protect informants and operatives if there were any in the group that are in there.
[00:51:02.619 --> 00:51:03.719]  And I'm just putting that out there.
[00:51:04.280 --> 00:51:06.161]  That needs to be watched very, very closely.
[00:51:06.201 --> 00:51:07.801]  We're watching it very closely.
[00:51:09.122 --> 00:51:12.424]  And you can look at the mug shots and see who looks concerned and who doesn't.
[00:51:13.264 --> 00:51:40.644]  uh... but uh... this is uh... this is a very very serious information obviously we're going to be unfolding the feds need to release the video right now we have one of the daughters of the people who was in the car reader quote saying that uh... again they pulled him over they should let the women go ralph will go with you they said no they drove off the feds reportedly shot at them they crashed the vehicle the guy uh... gets out uh... lavoie and say
[00:51:42.887 --> 00:51:43.287]  I think so.
[00:52:01.653 --> 00:52:04.574]  But, we need to choose our battles, like they said at Bunker Hill.
[00:52:05.374 --> 00:52:14.336]  And I'm sorry, I don't think in the smarts departments, and I'm not saying they're stupid, but these guys haven't been in this 20 plus years like I and others have been in it.
[00:52:15.236 --> 00:52:22.457]  They don't have the growth curve, they don't have the knowledge curve, and they're not the leaders, you know, for 1776 Part II.
[00:52:22.517 --> 00:52:24.338]  I mean, they're just not George Washington.
[00:52:24.778 --> 00:52:26.478]  I don't even consider myself George Washington.
[00:52:26.718 --> 00:52:30.959]  And I'm one of the most focused, out front, informed people in the fight against the New World Order.
[00:52:31.912 --> 00:52:36.474]  Uh, but we supported them out there with what happened in Nevada.
[00:52:36.495 --> 00:52:37.175]  They were on the right.
[00:52:37.215 --> 00:52:38.195]  It was a magic moment.
[00:52:38.716 --> 00:52:40.757]  But now it's turned south and it's very sad.
[00:52:41.017 --> 00:52:44.399]  Joe, your overall view of this crisis and then let's get into the numbers and the facts here.
[00:52:44.999 --> 00:52:47.620]  You know, when we got there, uh, I was reading news reports.
[00:52:47.680 --> 00:52:50.222]  Everyone's saying that, you know, the people in Burns didn't want
[00:52:51.202 --> 00:52:51.743]  The Bundy's there.
[00:52:51.763 --> 00:52:52.943]  They didn't want the militiamen there.
[00:52:53.304 --> 00:52:57.746]  You know, and after getting boots on the ground and actually being able to talk to some of the locals, that just wasn't the case.
[00:52:58.387 --> 00:53:15.717]  So right off the bat, you can kind of tell that they were ready to demonize this, use this as a, maybe to set an example for what the government wanted to do to people like this, to so-called right-wingers, who were going to go up and make a stand against the government because they did get beat back in Nevada when that happened with the standoff on the Bundy Ranch.
[00:53:15.737 --> 00:53:17.718]  And we can roll some of that B-roll in the background.
[00:53:17.798 --> 00:53:18.278]  It's historic.
[00:53:19.719 --> 00:53:23.443]  Feds surrender, armed feds surrender to citizens.
[00:53:23.744 --> 00:53:26.787]  They were threatening to shoot David Knight at the front of it with a camera.
[00:53:27.308 --> 00:53:27.988]  They were in the wrong.
[00:53:28.048 --> 00:53:29.670]  That would have been Lexington or Concord.
[00:53:30.231 --> 00:53:31.372]  Shot heard around the world.
[00:53:31.532 --> 00:53:40.042]  If they would have mowed down people with their guns, not up, but guns down, on horseback with American flags, that would have kicked off a revolution and we might win that one.
[00:53:40.382 --> 00:53:49.652]  But if a revolution kicks off in the wrong way and we shoot first, that gives the enemy home field advantage and the toying costs to be receiving the kickoff.
[00:53:49.672 --> 00:53:49.992]  Go ahead.
[00:53:50.333 --> 00:53:58.281]  Well, you can tell that they were upset over this is the fact that they did have to back down that this was a worldwide event that was seen by people all over.
[00:53:59.218 --> 00:54:09.585]  And the federal government had to step back, they had to move back, and the Bundy stood up and all these people came out, they supported, they showed up, and it was this huge embarrassment on the federal government.
[00:54:10.006 --> 00:54:11.647]  And then you see what happened here in Oregon.
[00:54:11.767 --> 00:54:13.508]  They took this as an opportunity, I think.
[00:54:13.869 --> 00:54:25.977]  That's why they brought in the amount of FBI they did, why they brought in more police officers from different counties surrounding that area, in hopes that they would be able to eventually go in, take these guys and make an example of them.
[00:54:26.337 --> 00:54:27.178]  And it's just kind of been a...
[00:54:28.519 --> 00:54:29.499]  I don't know, a countdown.
[00:54:29.959 --> 00:54:32.700]  You know, there were many nights we thought it was going to happen while I was there.
[00:54:32.720 --> 00:54:33.920]  I was only there three or four days.
[00:54:34.561 --> 00:54:38.862]  And, you know, night after night, you would see these guys bringing up the tractors, the trucks.
[00:54:39.282 --> 00:54:43.263]  They were worried that there was going to be this imminent FBI raid that was going to happen.
[00:54:43.903 --> 00:54:46.343]  And they stayed inside that compound.
[00:54:46.383 --> 00:54:49.364]  But since then, they've began to venture out more and more.
[00:54:49.964 --> 00:54:52.065]  And that's what... Guaranteed they got advised that...
[00:54:52.892 --> 00:54:56.273]  Because they'll watch this later with their lawyers and stuff and maybe start listening to me.
[00:54:56.833 --> 00:54:59.014]  Like Rand Paul finally started listening a few weeks ago.
[00:54:59.074 --> 00:55:00.674]  And I'm not bragging, we just know what we're talking about.
[00:55:00.694 --> 00:55:04.135]  The folks that I'm sure advise you it's safe that you come out.
[00:55:04.175 --> 00:55:05.455]  Of course, that's not when it was safe.
[00:55:06.635 --> 00:55:13.117]  And again, if people aren't provocateurs that are in sumo wrestler outfits and people, you know, doing all this, then they ought to be.
[00:55:13.397 --> 00:55:16.318]  Because that's exactly what I would do if I was on the other side of this.
[00:55:17.199 --> 00:55:24.061]  You know, I had a chance to actually, you know, talk with Lavoie Finnegan, and he is definitely one of those guys who's extremely passionate.
[00:55:24.421 --> 00:55:29.002]  He believed in what was going on, and he said before, when we were there, he actually walked out.
[00:55:29.382 --> 00:55:38.945]  There was word that there was a warrant out for his arrest, so he walked out to the end of the Wildlife Refuge, sat asleep and bagged down, had his little rifle, and said, hey, I'm staying here.
[00:55:38.985 --> 00:55:40.765]  If they want to come arrest me, come to me.
[00:55:41.165 --> 00:55:42.286]  He was making a stand.
[00:55:42.326 --> 00:55:43.426]  We can only admire it.
[00:55:43.906 --> 00:55:47.087]  And, you know, isn't it interesting that he's the one that got shot and killed?
[00:55:47.367 --> 00:55:47.967]  Yeah.
[00:55:48.027 --> 00:55:50.648]  Because, I mean, I guess he was ready for it.
[00:55:50.808 --> 00:55:56.690]  And I guess, you know, he wrote a book about, you know, martial law basically starting after some patriots get killed.
[00:55:56.710 --> 00:56:00.331]  In fact, I'm going to pull up some of the quotes from the book he wrote.
[00:56:00.631 --> 00:56:02.832]  I mean, I guess he kind of fell in love with the idea of that.
[00:56:03.232 --> 00:56:07.473]  So, is that the martyr everybody needs or wants when the guy wanted to be a martyr?
[00:56:07.493 --> 00:56:08.973]  Again, I'm not saying he's a bad guy.
[00:56:09.013 --> 00:56:11.074]  I'm just saying, you know, this really doesn't make sense.
[00:56:12.557 --> 00:56:23.848]  Yeah, I mean, it's interesting how this whole thing unfolded, because you have a Victoria Sharpe, one of the ladies who was in the vehicle last night, saying that he in fact got out, he had his hands up, that they shot at him first, and that's what happened.
[00:56:23.868 --> 00:56:25.829]  You know, you have that whole hands up, don't shoot thing.
[00:56:26.190 --> 00:56:29.213]  And now you have other eyewitnesses, two drivers, two guys.
[00:56:29.773 --> 00:56:33.014]  Separate vehicles talking about how, in fact, that wasn't the case.
[00:56:33.054 --> 00:56:42.136]  The guy who was a bodyguard, his name's McConnell, this is in an article by Raw Story titled, Eyewitnesses Knockdown Conspiracy Theories About Lavoie Finnegan Dying With His Hands Up.
[00:56:42.456 --> 00:56:48.218]  Now this guy took to Facebook late last night, early this morning, now everyone look at it, and came out and said that he saw
[00:56:49.398 --> 00:56:51.982]  From his point of view, that they were pulled over, they were stopped.
[00:56:52.423 --> 00:56:59.172]  LaVoy Finnegan's truck went around, they sped around that stop and went into some kind of like snow embankment.
[00:56:59.753 --> 00:57:03.238]  And at that point in time, based off his testimony,
[00:57:04.600 --> 00:57:13.063]  Well, that's what the daughter, I've got her name right here, who's saying it's horrible they killed him, you know, she's saying they're bad, she's with them, and, you know, a daughter of one of the men in the truck,
[00:57:28.351 --> 00:57:32.012]  She's saying, you know, they shot him in the head as he ran towards them saying, shoot me.
[00:57:32.772 --> 00:57:38.814]  So that's what the eyewitnesses who are on the side of the Bundys and everybody are saying.
[00:57:38.854 --> 00:57:39.975]  I'm not defending what happened.
[00:57:39.995 --> 00:57:43.756]  I don't think it's good they shot a guy running at him who was unarmed.
[00:57:43.776 --> 00:57:46.277]  But I mean, can we roll the footage from the original Bundy deal?
[00:57:46.317 --> 00:57:47.377]  Because I've been wanting that.
[00:57:47.397 --> 00:57:48.318]  I know we have it in there.
[00:57:48.758 --> 00:57:49.998]  You know, just some of that in the background.
[00:57:50.038 --> 00:57:52.079]  But here's some footage.
[00:57:52.179 --> 00:57:53.659]  Are the feds already releasing footage?
[00:57:53.959 --> 00:57:55.400]  Nico, tell us what this is that we're seeing.
[00:57:58.421 --> 00:57:59.382]  Again, for radio listeners.
[00:57:59.402 --> 00:58:04.384]  This is B-roll that Travis sent us this morning from Oregon, which features LaVoy Finnegan.
[00:58:05.965 --> 00:58:07.105]  Oh, this is earlier footage.
[00:58:07.125 --> 00:58:07.565]  Oh, absolutely.
[00:58:07.585 --> 00:58:07.966]  I saw it.
[00:58:07.986 --> 00:58:08.686]  That's where he's talking stuff.
[00:58:08.706 --> 00:58:09.566]  Yeah, he sent this to me this morning.
[00:58:09.586 --> 00:58:10.527]  Yes, at another checkpoint.
[00:58:10.587 --> 00:58:11.607]  Okay, yeah, there's a lot of this.
[00:58:11.927 --> 00:58:13.488]  So, again, if you're a radio listener, just tune in.
[00:58:13.508 --> 00:58:16.630]  We're also tvinfowars.com forward slash show.
[00:58:16.830 --> 00:58:17.630]  We don't know what happened.
[00:58:17.770 --> 00:58:19.651]  You know, I don't know if he did have his hands up.
[00:58:19.691 --> 00:58:20.571]  I'm not saying that he didn't.
[00:58:20.952 --> 00:58:23.893]  And I'm not saying that these guys are, you know, lying or not.
[00:58:24.073 --> 00:58:29.837]  Well, some people are putting the story out that he was on his knees, but that's folks on Facebook that aren't there.
[00:58:30.698 --> 00:58:38.483]  But the woman who was there, the daughter, I got her name, we'll come back and go over it, said, oh, it's terrible, they killed him, they murdered him, you know, they're from that perspective.
[00:58:39.283 --> 00:58:41.965]  But he got out and ran at them, yelling at them.
[00:58:43.506 --> 00:58:45.207]  It's a very, very tense situation, folks.
[00:58:45.228 --> 00:58:46.208]  This is very, very sad.
[00:58:46.248 --> 00:58:49.551]  We don't want to start a civil war over this and give Obama a big, giant present.
[00:58:49.811 --> 00:58:50.211]  Biggs, stay there.
[00:58:50.231 --> 00:58:53.494]  We're going to come right back to you and look at more of this.
[00:58:53.514 --> 00:58:54.975]  This has got me really wound up, though.
[00:58:55.295 --> 00:58:56.816]  Plus all this World War III news.
[00:58:56.896 --> 00:58:57.737]  I mean, just look at all this.
[00:58:58.792 --> 00:59:00.153]  Clean, pure drinking water.
[00:59:00.433 --> 00:59:01.713]  You can't survive without it.
[00:59:01.914 --> 00:59:02.814]  But where do you get it?
[00:59:03.134 --> 00:59:08.877]  Alexa Pure Pro is a brand new, groundbreaking, gravity-fed water filtration system that is like no other.
[00:59:09.117 --> 00:59:14.820]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[00:59:15.020 --> 00:59:31.888]  Pairing the unprecedented superfiltration power of an all-new Gravity Block Core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[00:59:32.268 --> 00:59:34.410]  Filter capacity up to 5,000 gallons.
[00:59:34.770 --> 00:59:35.951]  Stainless steel construction.
[00:59:36.231 --> 00:59:37.012]  Easy assembly.
[00:59:37.272 --> 00:59:37.893]  Low maintenance.
[00:59:38.193 --> 00:59:40.015]  Replacement filters are simple to install.
[00:59:40.275 --> 00:59:47.401]  And now, as part of an exclusive limited time introductory offer, you can save $20 off the retail price and get free shipping.
[00:59:47.561 --> 00:59:52.585]  This is a limited time offer, so order your unit today and receive free shipping and $20 off.
[00:59:52.745 --> 00:59:55.327]  Go to InfowarsStore.com or call 888-253-3139.
[01:00:01.303 --> 01:00:17.638]  You're listening to the Alex Jones Show.
[01:00:17.758 --> 01:00:21.661]  If you are receiving this transmission, you are the resistance.
[01:00:22.502 --> 01:00:27.587]  From the front lines of the Information War, it's Alex Jones.
[01:00:28.462 --> 01:00:31.103]  Careful what you wish, you just might get it.
[01:00:32.043 --> 01:00:37.484]  This LaVoy gentleman wrote a novel, we're going to go over it in a moment, saying that we needed a bloody revolution in America.
[01:00:37.984 --> 01:00:45.626]  He told the newspaper last week, got it up on Infowars.com, that he thought it was going to come down to violence, that he was going to stand his ground.
[01:00:46.246 --> 01:00:49.247]  The feds are out of control, they're run by foreign banks, they are robbing people.
[01:00:50.299 --> 01:00:52.381]  But the public doesn't fully understand that yet.
[01:00:52.421 --> 01:00:53.102]  They're starting to.
[01:00:53.122 --> 01:00:56.245]  In fact, the new national poll, the public sees the government as the number one enemy.
[01:00:56.806 --> 01:00:58.387]  Well, the people that run the government, they are the enemy.
[01:00:59.068 --> 01:01:06.896]  But they want to get us fighting with the low-level government, which will descend into civil war, like they do in the Middle East and Europe, Eastern Europe.
[01:01:06.916 --> 01:01:08.237]  We don't need to be stupid about this.
[01:01:08.738 --> 01:01:13.303]  It will not defeat the globalists if a bunch of FBI SWAT team guys get shot in the back.
[01:01:14.611 --> 01:01:14.891]  Okay.
[01:01:15.392 --> 01:01:21.157]  I mean, if it goes into civil war and they start coming after folks like Alexander Shultz and Eatson said, you know, then you got to meet them.
[01:01:22.078 --> 01:01:22.858]  Then it goes to that.
[01:01:23.972 --> 01:01:31.358]  But I'm the public and the Fed's best friend because I'm trying to stop this whole Civil War George Soros is trying to kick off.
[01:01:31.978 --> 01:01:33.699]  Joe Biggs, you were there.
[01:01:34.040 --> 01:01:35.501]  You knew Lavoie, the man that's been killed.
[01:01:36.281 --> 01:01:38.983]  What do you make of the folks now being locked up?
[01:01:39.003 --> 01:01:39.844]  What is it, seven of them?
[01:01:40.665 --> 01:01:44.287]  Very, very sad and just really...
[01:01:46.141 --> 01:01:54.487]  To see the left getting off on this and rubbing their hands together and saying, good, kill the white terrorists, that's what they've been calling them, calling for their deaths, is just sickening.
[01:01:54.687 --> 01:01:56.709]  Yeah, I mean, so let's look at it this way.
[01:01:57.229 --> 01:02:11.419]  What happened in Nevada, they were on their land, it was at the right time, the right place, they had a great backing, it was wanted, and it was a perfect timing for that scenario to unfold, when it did, where it did, how it did, with the people there.
[01:02:12.600 --> 01:02:13.521]  When Oregon happened,
[01:02:14.181 --> 01:02:17.122]  You know, there was a lot of people out there that said, hey, man, we support the bunnies.
[01:02:17.622 --> 01:02:20.583]  We're just kind of confused about why here, what's going on.
[01:02:20.964 --> 01:02:25.645]  You know, the fact that the Hammonds have come out and simply said, hey, we're going to turn ourselves in.
[01:02:25.805 --> 01:02:28.687]  Some of the people that were hanging around and doing stuff.
[01:02:29.487 --> 01:02:32.648]  Like I said, I've been a big supporter.
[01:02:32.668 --> 01:02:33.668]  I've even spoke to
[01:02:35.743 --> 01:02:36.184]  I don't know.
[01:02:54.542 --> 01:02:58.343]  You know, but then you have that left again coming out, which I don't get, saying white terror.
[01:02:58.763 --> 01:03:05.746]  You know, you have all these people on Twitter coming out last night saying, oh great, you know, these terrorists, these white terrorists are arrested, call them terrorists, that's what they should be.
[01:03:06.186 --> 01:03:10.047]  Well, sorry, you know, and they're all the Black Lives Matter people.
[01:03:10.387 --> 01:03:16.269]  Well, I mean, they want a race war, and they paint everything as racial, and they also sit there and...
[01:03:18.508 --> 01:03:25.538]  I mean, really, at the end of the day, what happened?
[01:03:25.618 --> 01:03:29.223]  Martha and Tom didn't get to go into the wildlife refuge and work a few days a week.
[01:03:29.784 --> 01:03:32.708]  I mean, there's probably hardly anybody out there really manning that place.
[01:03:33.028 --> 01:03:34.070]  It's in the middle of nowhere.
[01:03:34.470 --> 01:03:34.911]  Meanwhile,
[01:03:35.932 --> 01:03:40.055]  They quote-unquote break into this federal facility, and what do I see them doing when I'm down there?
[01:03:40.415 --> 01:03:45.699]  Sweeping, cleaning off the sidewalks, taking care of the property, the land, making sure it's fine.
[01:03:46.360 --> 01:03:52.645]  I didn't see anyone in Black Lives Matter and Ferguson break into a store and start doing shopkeep work and rearranging stuff.
[01:03:52.665 --> 01:03:57.128]  No, they were taking stuff and running out and throwing Molotov cocktails and lighting buildings on fire.
[01:03:57.148 --> 01:03:59.970]  Well, also, look at the Daily Mail headline, and I saw this on the local news there.
[01:03:59.990 --> 01:04:03.153]  It says, Oregon standoff, militiamen killed in shootout with FBI.
[01:04:04.113 --> 01:04:04.714]  This was written
[01:04:07.130 --> 01:04:11.014]  Today, after the Feds had already said that they didn't shoot at him.
[01:04:12.315 --> 01:04:13.697]  That Lavoie didn't shoot at him.
[01:04:15.117 --> 01:04:15.998]  Wow, Daily Mail.
[01:04:16.078 --> 01:04:18.800]  I usually like the Daily Mail, but man, that is a load of bull.
[01:04:18.840 --> 01:04:21.362]  Correct your story right now.
[01:04:21.722 --> 01:04:22.683]  Well, they've been just sitting there.
[01:04:22.703 --> 01:04:28.087]  As soon as the headlines came out last night that there was a possible situation unfolding in Oregon, I could just see those people.
[01:04:28.107 --> 01:04:43.840]  I was sitting there on my phone, and I was just waiting on those headlines to come out on Twitter, on CNN, on everything like that, saying, hey, you know, there's been this massive shootout, and that the Bundys, and there was this huge standoff, and they gunned down, and they shot at the feds, and this and that, and it's just not the case.
