[00:00:18.666 --> 00:00:20.368]  Welcome to the InfoWars Nightly News.
[00:25:41.843 --> 00:25:50.011]  But when Obama wanted to fund Obamacare, the Senate and the House did not appropriate any money for it, the House specifically.
[00:25:50.592 --> 00:26:00.622]  And they took it to court because Obama went after the funds of Fannie and Freddie, which by that time were profitable, in order to fund Obamacare.
[00:26:01.362 --> 00:26:03.184]  And the judge said, you can't do that.
[00:26:03.485 --> 00:26:04.405]  But they did it anyway.
[00:26:06.309 --> 00:26:06.590]  I don't know.
[00:26:21.853 --> 00:26:24.676]  To not be anything that is going to be able to survive.
[00:26:24.696 --> 00:26:32.523]  And of course, we've got the Congressional Budget Office coming out with their phony scoring numbers saying, oh, we're going to have these 20 some odd million people are going to lose their insurance.
[00:26:32.543 --> 00:26:38.348]  They don't have the insurance if they're subsidizing it with stolen money that violates the Constitution, violates the law.
[00:26:39.729 --> 00:26:40.870]  Well, that's exactly right.
[00:26:40.930 --> 00:26:47.997]  I mean, all that the Department of Justice Attorney General Sessions would have to say is we are not going to appeal.
[00:26:48.894 --> 00:27:04.980]  The House of Representatives Supreme Court decision in which the court determined that the Obama administration could not fund Obamacare by stealing money from another program, namely Fannie and Freddie, and that's what's been done since 2012.
[00:27:05.040 --> 00:27:11.563]  This is money that should have been being paid to the shareholders of Fannie and Freddie.
[00:27:11.583 --> 00:27:16.445]  And I think a legitimate argument could even be made that the bailout wasn't necessary.
[00:27:17.423 --> 00:27:20.505]  Fannie and Freddie could have survived without a bailout in 2008.
[00:27:20.685 --> 00:27:24.368]  That's going to have to be litigated in the courts.
[00:27:25.108 --> 00:27:45.682]  What I'm concerned about right now is that Mel Watt, who is the administrator of Fannie and Freddie through the Federal Home Loan Finance Agency, could decide on his own authority under the HERA legislation that he was just going to recapitalize Fannie and Freddie, which is his duty under that law, and stop the net worth sweep.
[00:27:46.348 --> 00:27:57.716]  What we're going to find is tomorrow, Corker and Warner, these two senators who want to line their pockets by rewarding Wall Street and big banks with the mortgage market.
[00:27:58.296 --> 00:28:03.720]  Again, both senators wanting to further defraud the shareholders of Fannie and Freddie.
[00:28:03.740 --> 00:28:12.425]  We're going to hear arguments for why Wall Street and Wells Fargo and Bank of America can run the mortgage market.
[00:28:12.445 --> 00:28:14.607]  I think it means the end of the 30-year mortgage.
[00:28:15.177 --> 00:28:26.465]  I mean, it's a theft, a complete theft of the shareholder's value and Fannie and Freddie and a federal guarantee on Wall Street, you know, which is going to further defraud everyone.
[00:28:26.645 --> 00:28:32.108]  And then what happens with Obamacare when they don't have the kitty to rob anymore?
[00:28:33.049 --> 00:28:44.797]  Well, you know, then then we'd have to go back to if, in fact, they're not going to appeal the decision, then the Trump administration has to live by the court decision and has to quit funding
[00:28:45.467 --> 00:28:48.769]  Obamacare with money that was not appropriated for that purpose.
[00:28:49.189 --> 00:28:51.691]  And Obamacare would implode within about a month.
[00:28:52.392 --> 00:28:55.774]  That's going to be interesting to see what happens one way or the other.
[00:28:55.814 --> 00:28:59.476]  As you point out, it's going to have a huge impact on the mortgage market if it goes one direction.
[00:29:00.577 --> 00:29:11.084]  And it's also going to have a big impact on Obamacare because they can't continue this net asset sweep if they dissolve it in favor and turn this over to Wall Street banks.
[00:29:12.246 --> 00:29:15.708]  Yeah, and I've got two objectives in my entire reporting.
[00:29:15.848 --> 00:29:33.417]  One is, I think it's disgraceful that the shareholders were robbed of their money, and I think that there needs to be some restitution of that, either through the courts or just, you know, applying money from the Federal Treasury to reimburse these people who had shares.
[00:29:33.437 --> 00:29:38.219]  And I think it can be done in a workout of Fannie and Freddie.
[00:29:38.259 --> 00:29:40.380]  But secondly, I want to preserve Fannie and Freddie.
[00:29:40.942 --> 00:29:49.928]  And I think that's the core, the 30-year fixed rate mortgage, which has been the fundamental building block for homeownership in America.
[00:29:49.948 --> 00:29:52.810]  And if we lose it, the big banks are going to push America to be a nation
[00:29:53.300 --> 00:29:59.323]  Of renters like Europe, and that's what the Obama administration, we have documents from the Geithner Treasury Department, wanted to do.
[00:29:59.403 --> 00:30:01.364]  That's what they want with Agenda 21.
[00:30:01.404 --> 00:30:02.305]  We're almost out of time.
[00:30:02.345 --> 00:30:04.066]  We've got about three minutes left, Dr. Corsi.
[00:30:04.086 --> 00:30:06.327]  I know you wanted to talk about what's going on with Sheriff Arpaio.
[00:30:06.687 --> 00:30:09.008]  He's facing a non-jury trial.
[00:30:09.028 --> 00:30:11.310]  That means one judge is just going to sit in judgment of this.
[00:30:11.730 --> 00:30:18.774]  And what he is being charged for is a criminal charge that he flouted a court order.
[00:30:19.588 --> 00:30:21.149]  To not enforce the law.
[00:30:21.569 --> 00:30:24.111]  To not enforce immigration law.
[00:30:24.191 --> 00:30:29.534]  I mean, this is Orwellian, and this is continuing on under the Sessions Department of Justice.
[00:30:30.355 --> 00:30:30.615]  Go ahead.
[00:30:30.635 --> 00:30:33.276]  Yeah, I think you characterized it correctly, David.
[00:30:33.316 --> 00:30:44.183]  I mean, the section of the law that Sheriff Arpaio is charged under, he did what the law commanded him to do, namely he enforced immigration laws.
[00:30:44.663 --> 00:30:46.444]  He did not violate that statute.
[00:30:46.484 --> 00:30:49.106]  The reason the Obama Justice Department
[00:30:49.727 --> 00:30:56.551]  The only reason they charged Arpaio under the wrong statute was because the statute of limitations had run out under the correct statute.
[00:30:57.011 --> 00:31:01.794]  They waited too long, and this was the only way they could bring a criminal contempt charge.
[00:31:01.974 --> 00:31:05.536]  And they wanted to interfere with the election by putting him under criminal charges.
[00:31:05.977 --> 00:31:06.297]  Yes.
[00:31:06.777 --> 00:31:10.860]  They brought the criminal charges out at a time when he was facing reelection.
[00:31:10.880 --> 00:31:16.543]  They made an announcement about it, and the judge, Judge Snow at this point, was in
[00:31:17.150 --> 00:31:25.436]  Communication with the Department of Justice, we have that through the Montgomery wiretaps, Montgomery information that he released as a whistleblower on the NSA.
[00:31:25.917 --> 00:31:32.181]  We know that the Justice Department, the Obama Justice Department and Tom Perez was in communications with the judge.
[00:31:32.301 --> 00:31:40.047]  They were influencing the judge in the original contempt of the original order when the order was imposed.
[00:31:40.647 --> 00:31:46.552]  And then when Arpaio supposedly violated the order, which he did not do,
[00:31:47.966 --> 00:32:00.697]  We see that the Justice Department continued to interfere with the judge, and finally got this to a judge who is now proceeding with the criminal trial under the wrong statute because the Justice Department waited too long.
[00:32:00.997 --> 00:32:01.818]  It's egregious.
[00:32:01.878 --> 00:32:05.120]  I mean, no jury trial, wrong statute.
[00:32:05.140 --> 00:32:12.366]  This is Tom Perez, who was in the Justice Department, head of the DNC, was a La Raza lawyer, open borders lawyer.
[00:32:14.169 --> 00:32:24.017]  We see a great law enforcement officer at the end of his career, decades in law enforcement, being raked over the coal by, you know, a socialist LaRosa lawyer in a revenge trial.
[00:32:24.608 --> 00:32:27.549]  Yes, this really is a travesty to see this.
[00:32:27.809 --> 00:32:34.650]  The idea that a judge or a president could order you, just like they ordered the Border Patrol in general, do not enforce the law.
[00:32:35.110 --> 00:32:41.971]  And then if you enforce the written law instead of their dictator dictates, then they come after you for trumped up charges.
[00:32:42.071 --> 00:32:43.132]  It's absolutely insane.
[00:32:43.392 --> 00:32:43.992]  We're out of time.
[00:32:44.032 --> 00:32:45.572]  Thank you so much, Dr. Corsi.
[00:32:46.072 --> 00:32:49.573]  And we'll be talking to you when we get that update as to what's going on with Fannie and Freddie.
[00:32:49.593 --> 00:32:50.133]  Thank you so much.
[00:33:02.532 --> 00:33:04.593]  Electrify your day with Secret 12.
[00:33:04.833 --> 00:33:06.153]  It's like lightning in a bottle.
[00:33:06.393 --> 00:33:09.934]  We all have days in which we just can't seem to perform at the level we'd like to.
[00:33:10.294 --> 00:33:18.036]  InfoWars Live Secret 12 is designed to naturally energize your body and mind with two great tasting and super high quality forms of vitamin B12.
[00:33:18.236 --> 00:33:23.037]  Proper vitamin and nutrient intake is essential to keep your body functioning at optimum levels.
[00:33:23.197 --> 00:33:28.679]  The reality is, it's hard to take in the proper amount of vitamins we need each day with our modern diets.
[00:33:29.019 --> 00:33:36.561]  Secret 12 by Infowars Life is an easy way to naturally upgrade your vitamin B12 intake and support your body's natural systems.
[00:33:36.781 --> 00:33:41.242]  It pairs two forms of vitamin B12 into one explosive formula.
[00:33:41.502 --> 00:33:50.344]  Vitamin B12 supports healthy energy levels through red blood cell formation and aiding in the body's natural processes, but it also assists with many other functions of the body.
[00:33:50.544 --> 00:33:53.765]  Electrify your mind and body and take your health to the next level.
[00:33:54.085 --> 00:33:57.793]  Experience the power of Secret 12 at InfoWarsLife.com.
[00:33:57.994 --> 00:33:59.297]  That's InfoWarsLife.com.
[00:34:02.091 --> 00:34:03.531]  Vitamin Mineral Fusion.
[00:34:03.692 --> 00:34:06.112]  Visit Infowarslife.com to secure your chemister.
[00:34:06.292 --> 00:34:13.575]  We have worked for years with our chemists and scientists to create the most powerful and affordable, great-tasting multivitamin formula available.
[00:34:13.775 --> 00:34:24.098]  Vitamin Mineral Fusion Drink Mix at Infowarslife.com is loaded with a full month's supply of essential vitamins, minerals, and amino acids that your body absolutely needs.
[00:34:24.418 --> 00:34:31.963]  In the history of InfoWars Life, we've brought out a lot of amazing products like Survival Shield X2, Super Mel Vitality, and so many others.
[00:34:32.263 --> 00:34:42.189]  With its unique delivery system and proprietary manufacturing process designed for maximized effects, this formula is the platinum standard of multivitamin mineral products.
[00:34:42.470 --> 00:34:44.391]  And this part is most important.
[00:34:44.511 --> 00:34:50.995]  The ingredients in vitamin mineral fusion are either plant-derived or of the highest quality lab standard.
[00:34:51.335 --> 00:34:52.476]  That means it's clean.
[00:34:52.776 --> 00:34:53.796]  That means it's pure.
[00:34:53.896 --> 00:34:56.718]  And rest secured, you're fighting the tip of the spear in the InfoWars.
[00:34:56.798 --> 00:34:59.539]  That's InfoWarsLife.com and Vitamin Mineral Fusion.
[00:34:59.579 --> 00:35:01.260]  Take action now before we sell out.
[00:35:02.140 --> 00:35:06.543]  We have the new product at InfoWarsLife.com, BioTrue Selenium.
[00:35:06.623 --> 00:35:17.548]  We've had so many requests over the years for selenium, and just recently, we were able to source a certified organic, bioavailable selenium from mustard seed extract.
[00:35:17.708 --> 00:35:22.632]  When you take selenium in the body, it actually benefits the detoxification systems in your body.
[00:35:22.752 --> 00:35:25.274]  It helps balance the thyroid gland.
[00:35:25.334 --> 00:35:26.835]  It helps detoxify.
[00:35:27.035 --> 00:35:29.877]  Selenium is another one of those absolute must-haves.
[00:35:29.937 --> 00:35:34.681]  The highest concentration of selenium is in the thyroid gland, but it's actually used all over the body.
[00:35:34.701 --> 00:35:38.844]  As a matter of fact, there's 25 genes in the body that are directly
[00:35:39.244 --> 00:35:46.269]  Dependent upon selenium, so it really is a all-around nutrient that everybody really needs.
[00:35:46.369 --> 00:35:47.810]  I'm taking it now, every day.
[00:35:48.010 --> 00:35:48.731]  This is so key.
[00:35:48.991 --> 00:35:53.294]  BioTrue Selenium is the product, the best selenium that we could bring you.
[00:35:53.314 --> 00:35:55.415]  We believe it's the best out there at a very, very low price.
[00:35:55.536 --> 00:35:58.998]  Exclusively available at InfowarsLive.com or by calling toll-free 888-253-3139.
[00:36:02.369 --> 00:36:08.552]  We're selling a product, DNA Force, that is the very best nutraceutical that we can produce.
[00:36:08.912 --> 00:36:11.794]  Dr. Grip, it took years for you to develop DNA Force for us.
[00:36:12.134 --> 00:36:17.317]  It's been something that I've been working on for a long time, Alex, because I think it's very, very important.
[00:36:17.757 --> 00:36:23.720]  What the aging process is, is when the cell replicates, we lose a little bit of our telomeres.
[00:36:23.860 --> 00:36:27.002]  Telomeres are the little cups on the end of our chromosomes.
[00:36:27.142 --> 00:36:28.603]  And when it runs out, you start dying?
[00:36:28.803 --> 00:36:32.927]  We chose the PQQ because it has over 175 different clinical trials.
[00:36:33.127 --> 00:36:36.010]  It's one of the most effective substances in the world.
[00:36:36.090 --> 00:36:37.652]  It works like an antioxidant.
[00:36:37.752 --> 00:36:40.935]  It works to repair nerve growth factor.
[00:36:41.215 --> 00:36:43.558]  So this is a formula to deliver the maximum amount.
[00:36:43.818 --> 00:36:44.779]  It's in powder form.
[00:36:44.879 --> 00:36:47.582]  We have so many five-star reviews.
[00:36:47.762 --> 00:36:48.363]  I take this.
[00:36:48.463 --> 00:36:50.164]  This is the product that I take.
[00:36:50.284 --> 00:36:52.246]  Infowarslife.com and the profit we make.
[00:36:53.067 --> 00:36:53.828]  We fight the Globals.
[00:36:53.868 --> 00:36:54.708]  We fight the New World Order.
[00:36:55.029 --> 00:36:59.212]  Secure your DNA Force today at Infowarslife.com or call toll free 888-253-3139.
[00:37:04.744 --> 00:37:19.712]  An FBI agent is being indicted right now on making alleged false accusations about firing two shots at Lavoie Finnecombe, the man who was gunned down following the Oregon standoff.
[00:37:20.072 --> 00:37:27.195]  Well, it was a tragedy and we actually have Finnecombe's widow on the line right now, Jeanette Finnecombe.
[00:37:27.235 --> 00:37:29.256]  She's a very strong and inspiring woman.
[00:37:29.536 --> 00:37:33.598]  So let's go ahead and talk to Jeanette about the current developments right now.
[00:37:33.639 --> 00:37:34.399]  How's it going, Jeanette?
[00:37:35.578 --> 00:37:36.619]  Thank you for having me.
[00:37:36.819 --> 00:37:37.540]  It's going pretty well.
[00:37:37.580 --> 00:37:38.001]  Thank you.
[00:37:39.222 --> 00:37:42.726]  So what has been going on with the FBI right now?
[00:37:43.146 --> 00:37:46.390]  Were you aware that FBI agents were going to be indicted?
[00:37:46.410 --> 00:37:55.920]  I heard about it yesterday and the grand jury had finally finished their investigation and have indicted one FBI agent.
[00:37:57.702 --> 00:38:00.064]  Wow, that's that's pretty amazing.
[00:38:00.524 --> 00:38:01.985]  It's nice to have some justice.
[00:38:02.366 --> 00:38:07.730]  Well, from your point of view, do you feel like this was definitely an assassination?
[00:38:07.750 --> 00:38:11.092]  I believe that my husband was murdered.
[00:38:11.913 --> 00:38:14.735]  There could have been other things that they could have taken him into custody.
[00:38:14.775 --> 00:38:21.140]  He would have been able to have his due process just like everyone else is going through the court system.
[00:38:21.880 --> 00:38:25.323]  But I feel that the FBI agent who took those two shots
[00:38:26.245 --> 00:38:31.206]  Uh, escalated things, which then put the Oregon State Police on guard.
[00:38:31.386 --> 00:38:36.507]  And I believe that's the reason why that officer shot my husband three times in the back with his hands up in the air.
[00:38:38.228 --> 00:38:38.768]  Exactly.
[00:38:38.808 --> 00:38:46.369]  And we all remember this video footage right here that we are seeing where Finnecombe was shot, your husband was shot.
[00:38:46.409 --> 00:38:49.470]  And you can see that there's a man kind of hiding off to the side.
[00:38:49.490 --> 00:38:53.631]  And so he's the one who fired the shots first then.
[00:38:53.711 --> 00:38:54.711]  Is that what you're saying?
[00:38:56.155 --> 00:39:00.376]  I'm not sure where the position was of that certain FBI agent.
[00:39:00.576 --> 00:39:02.756]  They have not informed me of that.
[00:39:02.837 --> 00:39:11.758]  He could have been in front because those bullets came whizzing through the top of the roof and through the window as my husband was exiting the truck when he had his hands in the air.
[00:39:12.759 --> 00:39:18.340]  The first initial exit of the truck is when those two shots were fired by that particular FBI agent.
[00:39:20.049 --> 00:39:37.611]  Well, I know this is probably very hard for you to talk about, but I heard from Lord Christopher Monckton that there was some mishandling here, and this whole thing was very unusual, the way they followed protocols, even so that they actually left him out there in the snow.
[00:39:37.691 --> 00:39:38.252]  Is that right?
[00:39:39.093 --> 00:39:39.793]  That's correct.
[00:39:39.853 --> 00:39:49.618]  From what I understand, he was not taken until the next morning after laying there face down in the snow all night long.
[00:39:49.658 --> 00:39:51.899]  That's why he had frostbite on his face.
[00:39:54.332 --> 00:39:56.593]  Wow, that's so disrespectful.
[00:39:56.713 --> 00:40:08.016]  I can't even imagine how unbelievably wrong that just feels to think that they left him out there in the wilderness, just not even covered or protected in the snow.
[00:40:08.036 --> 00:40:09.417]  That's so horrible.
[00:40:09.457 --> 00:40:20.340]  Well, Jeanette, does this give you some bit of justice and relief, having known now that this FBI agent is going to be indicted?
[00:40:22.375 --> 00:40:29.223]  Well, I feel that I feel encouraged that they are going to hold him responsible, but he did plead not guilty.
[00:40:29.663 --> 00:40:33.567]  Amazing, but he pled not guilty to lying and then taking evidence.
[00:40:34.028 --> 00:40:41.276]  But I also feel that the other four officers that were involved in helping him to take and hide the evidence should
[00:40:41.776 --> 00:40:42.276]  We're good to go!
[00:41:08.246 --> 00:41:10.629]  So, what else are they hiding?
[00:41:10.689 --> 00:41:14.273]  What other evidence have they tampered with?
[00:41:15.554 --> 00:41:21.120]  Now, do you know if that firearm that he had on him was a registered firearm to his name?
[00:41:22.121 --> 00:41:22.942]  No, it wasn't.
[00:41:23.002 --> 00:41:27.487]  It was a gift, a recent gift that Christmas from my son who bought it from another friend.
[00:41:28.922 --> 00:41:29.202]  Wow.
[00:41:29.262 --> 00:41:41.335]  Well, it definitely appears that there's some kind of a cover-up going on, and we don't know how far up that cover-up has gone to, how high up these FBI supervisors were that were helping in this cover-up.
[00:41:41.775 --> 00:41:44.097]  But, you know, Jeanette, what do you think?
[00:41:44.338 --> 00:41:51.005]  I mean, you've told us about how the FBI has still been coming after you and the BLM has still been coming after you.
[00:41:51.045 --> 00:41:52.146]  Can you tell us more about that?
[00:41:53.639 --> 00:41:56.520]  Yeah, well the BLM isn't coming after me, they're ignoring me.
[00:41:57.741 --> 00:42:10.326]  It suits their purpose to not respond to any of the correspondence or requests from my attorney because if they give me a formal denial then I'm able to move forward in my legal aspect.
[00:42:10.426 --> 00:42:14.008]  But as long as they obfuscate and continue to ignore,
[00:42:15.448 --> 00:42:17.669]  I'm not sure what our next recourse can be.
[00:42:17.729 --> 00:42:23.570]  We might have to set precedent here and find a new way to get around that stone wall.
[00:42:23.650 --> 00:42:27.091]  But we are in the midst of filing for our wrongful death suit.
[00:42:27.191 --> 00:42:28.951]  We will be pushing forward with that.
[00:42:29.371 --> 00:42:33.232]  And this is encouraging news because it does raise doubt.
[00:42:34.152 --> 00:42:38.793]  It does raise doubt into who is culpable, who is responsible for the murder of my husband.
[00:42:40.316 --> 00:42:43.579]  Exactly, and it just looks so suspicious.
[00:42:43.639 --> 00:42:46.581]  I know I keep saying this, but the whole thing just seems so suspicious.
[00:42:46.702 --> 00:42:50.064]  Even that video footage looked so suspicious in general.
[00:42:50.525 --> 00:42:55.589]  And isn't it true that they didn't actually have a warrant for him at the time that they set up those roadblocks?
[00:42:56.270 --> 00:42:56.670]  Correct.
[00:42:56.830 --> 00:42:58.992]  There were no warrants for any of the individuals.
[00:42:59.412 --> 00:43:06.799]  They didn't receive the warrants until the very next day, and they excluded the warrant for my husband because he had already been murdered by that point.
[00:43:09.809 --> 00:43:21.074]  The media portrayed this whole thing as if these men, I believe one of the phrases was the felons, they were fleeing, the felons fleeing from a roadblock.
[00:43:21.414 --> 00:43:22.555]  They were not felons.
[00:43:22.775 --> 00:43:25.176]  Nobody had felonies as far as I know.
[00:43:25.596 --> 00:43:26.917]  My husband certainly didn't.
[00:43:26.957 --> 00:43:28.998]  He didn't even have so much as a parking ticket.
[00:43:30.805 --> 00:43:37.547]  Exactly, and you know, we've seen people have peaceful protests and be armed, and there's nothing wrong with that.
[00:43:37.587 --> 00:43:39.148]  That's our right in this country.
[00:43:39.468 --> 00:43:46.110]  So to try and paint it as something other than a peaceful protest with people who were choosing to be armed is pretty ridiculous.
[00:43:46.250 --> 00:43:53.793]  And the fact that they escalated it to the point where they actually killed him, they murdered this man, it's so horrible.
[00:43:54.373 --> 00:43:59.455]  Well, Jeanette, is there anything that you kind of want to get across and just tell people out there?
[00:44:00.854 --> 00:44:10.779]  Well, yes, I want to say thank you to everybody who has supported our family and who has continued to help us in our quest for justice and for the truth.
[00:44:11.419 --> 00:44:19.884]  I also would like to say keep up the good work, get educated, get involved on your local levels, be responsible in what you do.
[00:44:21.345 --> 00:44:24.246]  Let's fight to restore our liberties and to
[00:44:26.998 --> 00:44:34.746]  Learn more about the Constitution and make sure that we teach our children about these things, too, because they're the next generation.
[00:44:34.766 --> 00:44:37.028]  They're the ones that are going to continue to fight this fight for us.
[00:44:38.449 --> 00:44:44.055]  Now, Jeanette, what actually had happened with this cattle lease and this cattle agreement?
[00:44:44.375 --> 00:44:45.857]  Can you tell us a little bit about this?
[00:44:47.369 --> 00:44:53.532]  The cattle lease, my husband purchased that from another rancher who purchased it from another rancher.
[00:44:53.572 --> 00:44:58.814]  We purchased these leases from individuals, not from the BLM, not from the government.
[00:44:58.854 --> 00:45:05.277]  We do, however, have to have a permit to run our cows on this ground, the grass and the water in which we've already paid for.
[00:45:05.937 --> 00:45:07.718]  And at the time of my husband's death,
[00:45:08.479 --> 00:45:13.904]  Um, they, uh, their stand is that it was terminated upon his death.
[00:45:14.324 --> 00:45:27.738]  However, in the regulations, their own regulations, mind you, it states that for two years, the family or the people who inherit the property are able to continue to run the ranch as they normally would.
[00:45:28.365 --> 00:45:33.489]  However, their stance has been to force me off and not allow me on there.
[00:45:33.850 --> 00:45:37.072]  Now, I went ahead and said, okay, I'll fill out my own application.
[00:45:37.132 --> 00:45:38.393]  I'm a separate individual.
[00:45:38.573 --> 00:45:39.514]  I'm a new person.
[00:45:40.595 --> 00:45:42.457]  The lease prior was not in my name.
[00:45:42.537 --> 00:45:44.038]  However, the loan is in my name.
[00:45:45.519 --> 00:45:50.764]  So I filled out the applications and I proceeded forward, but they're continuing to be very silent.
[00:45:50.784 --> 00:45:57.871]  They're not going to approve or deny my application, therefore keeping me off the property indefinitely.
[00:45:58.432 --> 00:46:05.398]  And in the meantime, I have a wonderful family that supports me that have allowed my cows to be on their ranch.
[00:46:05.599 --> 00:46:09.863]  And otherwise I would have nowhere to put my cows and no grass for them to eat.
[00:46:11.323 --> 00:46:14.986]  Well, you know, we all hope that this investigation continues further.
[00:46:15.006 --> 00:46:22.791]  I hope to see more FBI agents being indicted, more supervisors being indicted for this obvious and apparent cover-up.
[00:46:23.152 --> 00:46:27.755]  Why is it only now that we're only now seeing this FBI agent being indicted?
[00:46:27.775 --> 00:46:30.257]  And who else had their hands in this?
[00:46:30.617 --> 00:46:35.641]  Well, it's pretty sad to see, but Jeanette, thank you so much for joining us here.
[00:46:36.201 --> 00:46:37.702]  And you are an inspiration.
[00:46:37.782 --> 00:46:41.045]  I know you are a mother now and you have a lot of children.
[00:46:41.545 --> 00:46:43.086]  To take care of and look after.
[00:46:43.166 --> 00:46:44.547]  So how can people help you out?
[00:46:44.587 --> 00:46:46.248]  What's a quick link or website?
[00:46:47.148 --> 00:46:50.930]  Onecowboystandforfreedom.com is where my husband's book is located.
[00:46:50.950 --> 00:47:00.356]  There also is a legal fund button that if you're interested in helping me fight my battle with the BLM or the wrongful death suit, there is that avenue as well.
[00:47:02.957 --> 00:47:07.720]  Alex Jones here with a very important news update to anybody out there that wants to be prepared.
[00:47:08.424 --> 00:47:10.005]  But it goes beyond being prepared.
[00:47:10.405 --> 00:47:15.406]  Our bodies absolutely must have the good halogen iodine or we will die.
[00:47:15.746 --> 00:47:21.188]  And you look at all of the thyroid problems and all the people that don't have energy and that have all sorts of hormone problems.
[00:47:21.588 --> 00:47:28.190]  And from my research and a lot of just mainline research, it leads back to iodine over and over and over again.
[00:47:28.830 --> 00:47:29.971]  It's as important as vitamin C.
[00:47:30.831 --> 00:47:32.772]  If you don't get iodine, you die.
[00:47:33.092 --> 00:47:36.054]  But most people are just deficient, so they're low energy, they're sick.
[00:47:36.494 --> 00:47:40.116]  You've got to have iodine in your body so that your body can produce the hormones you need.
[00:47:40.296 --> 00:47:42.857]  It is the base to so many things.
[00:47:42.897 --> 00:47:55.264]  And since I got into iodine four years ago, we've helped change the entire paradigm by developing and bringing to the public deep earth crystals from 7,000 to 12,000 feet of the purest iodine available.
[00:47:55.484 --> 00:48:00.846]  Other iodine comes from the ocean or from other byproducts of chemical facilities and is tainted.
[00:48:01.026 --> 00:48:02.047]  It's bound.
[00:48:02.327 --> 00:48:03.327]  It's not absorbable.
[00:48:03.747 --> 00:48:04.167]  I tried it.
[00:48:04.748 --> 00:48:08.309]  And I had incredible effects even with dirty iodine because the body needs it.
[00:48:08.529 --> 00:48:13.411]  When you don't have iodine, it absorbs the chlorine, the fluoride, and all these other bad halogens.
[00:48:13.911 --> 00:48:18.816]  Do yourself and your family a favor and check out The Importance of Iodine for yourself.
[00:48:18.896 --> 00:48:20.037]  I think you're going to be blown away.
[00:48:20.197 --> 00:48:25.142]  And whatever you do, support the broadcast and get a bottle of Survival Shield Nascent Iodine X2.
[00:48:25.322 --> 00:48:30.287]  Also, consult your physician because if you've been deficient in it or have other issues, it can have some dramatic effects.
[00:48:30.467 --> 00:48:34.053]  As for me and most folks I talk to, it's been a game changer in the positive column.
[00:48:34.193 --> 00:48:37.338]  But still, consult your physician because iodine is no joke.
[00:48:37.378 --> 00:48:38.640]  It's a key building block of the body.
[00:48:38.760 --> 00:48:45.651]  And if you haven't had it for a long time and suddenly have it, some folks say they've experienced things like a detoxing effect and things like that.
[00:48:45.811 --> 00:48:48.413]  You've got to have vitamin C. You've got to have iodine to live.
[00:48:48.433 --> 00:48:49.473]  You've got to have water to live.
[00:48:49.814 --> 00:48:50.494]  Iodine is key.
[00:48:50.534 --> 00:48:51.155]  You must have it.
[00:48:51.515 --> 00:48:59.080]  But consult your physician first before you get powerful survival shield nascent iodine, X2, at Infowarslife.com or call toll free.
[00:48:59.100 --> 00:49:01.422]  We can answer your questions.
[00:49:01.442 --> 00:49:02.502]  888-253-3139.
[00:49:04.263 --> 00:49:12.089]  CNN's White House correspondent Jim Acosta got triggered this week and now he's acting like a little
[00:49:13.556 --> 00:49:30.484]  It's been a horrific and catastrophic month for the fake news network, as scandals, retractions, resignations, lawsuits, and apologies catapult the cable news network into a death spiral.
[00:49:30.884 --> 00:49:33.805]  And I gotta admit, it's been fun to watch.
[00:49:35.746 --> 00:49:44.090]  They were caught red-handed staging a protest in London, directed by CNN reporter Becky Anderson.
[00:49:44.770 --> 00:49:57.795]  Then three of their employees were forced to resign after the network had to retract another bogus story about President Donald Trump's collusion with the Russians.
[00:49:58.375 --> 00:49:59.316]  You are fake news.
[00:49:59.716 --> 00:50:18.523]  Yesterday, our friends over at Project Veritas released another undercover video that shows a CNN producer admitting the network is guilty of pushing the fake Trump-Russian conspiracy theory, and they're doing it for the ratings.
[00:50:19.483 --> 00:50:19.963]  Could be bullsh**.
[00:50:20.343 --> 00:50:22.224]  I mean, it's mostly bullsh** right now.
[00:50:22.664 --> 00:50:26.926]  Like, we don't have any big, giant proof.
[00:50:27.918 --> 00:50:31.659]  Then why is CNN constantly, like, Russia this, Russia that?
[00:50:31.679 --> 00:50:33.280]  Because it's ratings.
[00:50:34.000 --> 00:50:34.640]  Because it's ratings?
[00:50:35.300 --> 00:50:36.461]  Our ratings are incredible right now.
[00:50:36.801 --> 00:50:51.226]  Now, all this negative attention finally got under the skin of CNN's White House reporter, Jim Acosta, who totally lost it when he found out that he wasn't allowed to bring his cameras into the Oval Office.
[00:50:52.026 --> 00:50:52.346]  Jen.
[00:50:52.406 --> 00:50:52.626]  Jen.
[00:50:52.646 --> 00:50:53.007]  Jen.
[00:50:53.027 --> 00:50:53.087]  Jen.
[00:50:53.227 --> 00:50:53.567]  Jen.
[00:50:53.587 --> 00:50:53.647]  Jen.
[00:50:53.707 --> 00:50:53.827]  Jen.
[00:50:53.867 --> 00:50:54.027]  Jen.
[00:50:54.047 --> 00:50:54.147]  Jen.
[00:51:07.916 --> 00:51:18.260]  Owen Schroyer joins us now to help celebrate the ultimate destruction and demise of America's least trusted and dishonest news franchise, CNN.
[00:51:18.580 --> 00:51:23.542]  And I tell you what, Project Veritas, that's the gift that just keeps on giving.
[00:51:23.582 --> 00:51:25.463]  We've got to give a big salute to those guys.
[00:51:25.903 --> 00:51:27.944]  And they have another video you're going to tell us about it.
