[00:00:17.682 --> 00:00:18.102]  We did it!
[00:39:00.811 --> 00:39:02.272]  Congratulations to you, baby.
[00:39:02.532 --> 00:39:03.392]  You're an MVP.
[00:39:03.912 --> 00:39:09.095]  Folks have no idea, like you're the Merlin of this whole deal, behind the scenes helping put King Arthur on the throne.
[00:39:09.115 --> 00:39:21.621]  But I gotta tell you, the superhuman strength of Trump not letting up, feeding off of combat, my God, this is total presidential stuff compared to the scum we've had in the last 20 years.
[00:39:23.340 --> 00:39:25.561]  Alex, first of all, it's great to be back with you.
[00:39:25.581 --> 00:39:33.783]  I spoke to President-elect Trump last night at some length on a broad variety of topics, and I'm not really at liberty to discuss that.
[00:39:33.883 --> 00:39:39.805]  But let me just say that he is, first of all, very grateful to the Infowars.com audience.
[00:39:40.265 --> 00:39:43.846]  He knows that you are the centerpiece of the resistance.
[00:39:43.926 --> 00:39:44.506]  He knows
[00:39:45.066 --> 00:39:50.532]  That he has gotten better treatment here than from anyone in the mainstream media.
[00:39:50.872 --> 00:39:59.381]  And he is very grateful and very thankful for your support and the support of your audience.
[00:39:59.942 --> 00:40:03.926]  Secondarily, he is, I think, trying to get his head around
[00:40:04.586 --> 00:40:07.308]  Yeah, let's be clear.
[00:40:07.368 --> 00:40:08.688]  He's got a lot of stuff going on.
[00:40:08.949 --> 00:40:12.150]  In fact, I'm quite embarrassed that he's actually reached out to her to say thank you.
[00:40:12.431 --> 00:40:14.612]  I mean, this is crazy what he's doing.
[00:40:14.872 --> 00:40:17.033]  And now I'm told he's working 18 hours a day still.
[00:40:17.373 --> 00:40:18.654]  I'm kind of actually worried about him at 70.
[00:40:19.194 --> 00:40:19.955]  Is this Superman?
[00:40:21.049 --> 00:40:23.210]  No, look, I told him this.
[00:40:23.370 --> 00:40:26.831]  At the end of the day, he is the one who won this.
[00:40:27.031 --> 00:40:35.814]  His enormously energetic sprint, the final two weeks of this campaign, was almost superhuman.
[00:40:35.874 --> 00:40:45.658]  This reminded me of Harry Truman, who jumped on a train and went from one coast to the other, doing four stops a day until he could no longer speak, and pulling out an upset.
[00:40:46.838 --> 00:40:47.559]  I don't think so.
[00:41:04.137 --> 00:41:18.442]  Uh, you know, well-financed operation of the Clintons, but in the end it didn't matter because Trump, Trump's talent, Trump's ability as a communicator, Trump's enunciation of the anti-elitist message.
[00:41:18.462 --> 00:41:19.502]  His instinct.
[00:41:19.782 --> 00:41:20.982]  I've been watching him carefully.
[00:41:21.022 --> 00:41:22.843]  He's got an instinct that is second to none.
[00:41:24.056 --> 00:41:39.394]  Now, the other thing I can tell you is there are many, many people in the political establishment advising him not to allow the prosecution of Hillary Clinton, Bill Clinton, presumably Chelsea Clinton, for their crimes.
[00:41:40.175 --> 00:41:42.998]  I personally think that's an enormous mistake.
[00:41:43.695 --> 00:41:50.457]  Either we are a nation of laws, or we are a nation of men.
[00:41:50.577 --> 00:41:51.097]  Which is it?
[00:41:51.417 --> 00:41:53.477]  There has to be one standard.
[00:41:53.517 --> 00:41:58.538]  If David Petraeus can be prosecuted, then Hillary Clinton must be prosecuted.
[00:41:58.578 --> 00:42:00.219]  So let me jump in here, and I totally agree with you.
[00:42:00.259 --> 00:42:01.519]  My advice to Trump is this.
[00:42:02.119 --> 00:42:03.240]  A, it's what you said you'd do.
[00:42:05.180 --> 00:42:06.461]  It's the right thing to do, Justice.
[00:42:06.761 --> 00:42:11.105]  But see, and most importantly, you cannot leave this den of vipers there.
[00:42:11.285 --> 00:42:12.766]  They will try to bring you down.
[00:42:13.006 --> 00:42:13.787]  They will never stop.
[00:42:13.827 --> 00:42:16.469]  You must break these people, as you've already done.
[00:42:16.489 --> 00:42:22.854]  The MSM, the Clintons, the minute you go after them, with the law in due process, their minions are all mercs.
[00:42:23.074 --> 00:42:28.799]  They will roll, and we will destroy the entire nest of corruption, and you would have won.
[00:42:28.879 --> 00:42:32.061]  If you don't do it, they're going to be sniping at you the whole time.
[00:42:32.802 --> 00:42:36.044]  He cannot take his foot off their throat.
[00:42:36.264 --> 00:42:36.884]  Not now.
[00:42:37.445 --> 00:42:39.966]  He's beaten them against enormous odds.
[00:42:40.026 --> 00:42:42.307]  When King David... I'm interrupting again.
[00:42:42.327 --> 00:42:43.008]  You're absolutely on target.
[00:42:43.268 --> 00:42:49.331]  When King David, with that stone, hit Goliath while he was praying, he prayed, God, make me aim true.
[00:42:49.371 --> 00:42:50.152]  Nobody can beat Goliath.
[00:42:51.092 --> 00:42:52.353]  He only knocked Goliath out.
[00:42:52.773 --> 00:42:57.816]  If he would have hesitated not taking Goliath's sword and chopped his head off, Goliath would have gotten up and strangled him.
[00:42:58.276 --> 00:43:01.118]  King David must raise the sword, correct?
[00:43:01.878 --> 00:43:02.499]  Absolutely.
[00:43:02.579 --> 00:43:08.704]  I think this is why I say Lock Her Up needs to continue to be our watchword.
[00:43:08.824 --> 00:43:10.326]  By the way, you challenged me.
[00:43:10.426 --> 00:43:11.186]  I took away the 2016.
[00:43:11.266 --> 00:43:12.007]  It's over.
[00:43:12.107 --> 00:43:13.488]  I'm announcing we're designing it today.
[00:43:13.508 --> 00:43:14.149]  You're absolutely correct.
[00:43:14.189 --> 00:43:14.850]  We are launching.
[00:43:14.890 --> 00:43:15.730]  It'll be here in one week.
[00:43:15.830 --> 00:43:16.491]  I just did it.
[00:43:16.551 --> 00:43:17.011]  We talked this morning.
[00:43:17.332 --> 00:43:22.817]  We are launching, ladies and gentlemen, the Hillary for Prison 2017 limited edition shirt.
[00:43:22.837 --> 00:43:25.799]  It'll be available by this afternoon in pre-order at InfoWarsTore.com.
[00:43:25.839 --> 00:43:26.119]  Sorry, sir.
[00:43:27.240 --> 00:43:34.743]  We are, I think, at a key point where former Mayor Rudy Giuliani yesterday on Fox summed this up.
[00:43:34.823 --> 00:43:36.684]  This is not a decision for the president.
[00:43:37.164 --> 00:43:39.045]  This is a decision for the grand jury.
[00:43:39.525 --> 00:43:41.446]  This is a decision for a career
[00:43:42.526 --> 00:43:57.796]  Unbiased, non-political prosecutor to look at the totality of the Clinton Foundation and the pardons and a hundred other issues that the Clintons have enriched themselves by breaking the law and determine whether there is in fact a criminal indictment there.
[00:43:58.816 --> 00:44:04.480]  The other issue here, Alex, is of course the outstanding issue of the 680,000 emails on the Wiener Abidin server.
[00:44:10.475 --> 00:44:31.670]  So, when the FBI director says we've reviewed them and there's nothing there, my sources in the Congress, who have seen all of them, my sources in the NYPD, who have seen all of them, tell me that there is open and shut evidence of treason, corruption, sexual exploitation, and worse.
[00:44:31.830 --> 00:44:36.513]  And we have the earlier WikiLeaks where they're with Obama saying, we've got to cover this up, our illegal emails.
[00:44:36.573 --> 00:44:37.194]  We have them.
[00:44:37.634 --> 00:44:38.195]  We have them.
[00:44:38.235 --> 00:44:39.896]  We have them in gun sights, ready.
[00:44:41.087 --> 00:44:43.109]  So there can be no reprieve here.
[00:44:44.150 --> 00:44:57.341]  This is going to be very important, but I can already see the siren song of the political establishment calling on the president to give the Clintons a pass in order to heal the country and unite.
[00:44:57.542 --> 00:44:58.482]  This is nonsense.
[00:44:59.023 --> 00:45:00.504]  These are asps.
[00:45:01.045 --> 00:45:02.466]  They will bite you.
[00:45:02.486 --> 00:45:03.107]  Here's the good news.
[00:45:03.467 --> 00:45:06.429]  The president can't give a 360 pardon from what I've read in jurisprudence.
[00:45:08.431 --> 00:45:11.454]  Even if Obama gives them one, there's so many thousands of crimes.
[00:45:11.855 --> 00:45:13.396]  Prosecutors afterwards, it doesn't matter.
[00:45:13.436 --> 00:45:14.918]  New investigations, new crimes.
[00:45:16.439 --> 00:45:25.268]  Well, I would argue that under the Nixon precedent, Obama could in fact pardon the Clintons for any and all crimes they may have committed.
[00:45:25.869 --> 00:45:28.972]  But, if that happens, that's a legal process.
[00:45:28.992 --> 00:45:30.733]  But the foundation's an ongoing crime.
[00:45:30.773 --> 00:45:32.035]  The foundation's an ongoing crime.
[00:45:33.095 --> 00:45:38.217]  She still will have accepted a pardon, which is essentially the admission of a crime.
[00:45:38.537 --> 00:45:40.658]  The Clinton Foundation is going to dry up.
[00:45:40.718 --> 00:45:44.759]  Who in God's name would give them a penny to stick in their pockets now?
[00:45:45.099 --> 00:45:45.339]  Who?
[00:45:46.600 --> 00:45:46.880]  I agree.
[00:45:46.920 --> 00:45:48.460]  I mean, thank you, Roger, for coming on.
[00:45:48.520 --> 00:45:50.021]  Any other points that are key to add?
[00:45:50.521 --> 00:45:52.182]  Listen, nobody's perfect.
[00:45:52.202 --> 00:45:53.102]  This is so complex.
[00:45:53.162 --> 00:45:54.562]  I can't believe he's working 18 hours a day.
[00:45:54.582 --> 00:45:55.343]  I'm so impressed.
[00:45:56.283 --> 00:45:58.644]  People, the media is going to try to... Here's the new attack.
[00:45:59.414 --> 00:46:02.855]  They're going to now attack us on our strength, liberty, and the fact that we don't falter or waver.
[00:46:02.875 --> 00:46:04.916]  They're going to claim he isn't 100% delivering.
[00:46:05.216 --> 00:46:07.377]  We have to wait and see and give him time to even get in.
[00:46:07.397 --> 00:46:09.858]  We have to worry about assassination, which the media is pushing.
[00:46:10.218 --> 00:46:14.059]  So don't let them start claiming, oh, he's bringing in neocons, or oh, he's doing that.
[00:46:14.199 --> 00:46:15.960]  Donald's shown he does what he wants.
[00:46:16.440 --> 00:46:18.542]  The point is, it's delivering.
[00:46:18.802 --> 00:46:24.267]  Building the wall, cutting the taxes, standing back and letting prosecution take place.
[00:46:24.748 --> 00:46:26.529]  That's what we're waiting for once he's president.
[00:46:26.790 --> 00:46:33.836]  In the next 70 days, total defense of Trump, absolute promotion of what he pushes for, and keep fighting.
[00:46:34.357 --> 00:46:35.978]  Keep fighting and exposing MSM.
[00:46:36.238 --> 00:46:39.942]  Wasn't it genius to ignore the press corps and not tell them where he was going or what he was doing?
[00:46:41.155 --> 00:46:45.318]  Yeah, I think CNN is going to have a very hard time getting him on the phone.
[00:46:45.879 --> 00:46:50.402]  I think the New York Times is going to have a very hard time getting him on the phone.
[00:46:50.462 --> 00:46:52.444]  I think he's wise to ignore them.
[00:46:52.544 --> 00:47:04.633]  But, Alex, let me also say, any of the names you see floated out there for various positions, whether it's Chris Christie or Rudy Giuliani or Jamie Dimon for Treasury.
[00:47:04.733 --> 00:47:05.694]  It's all bull.
[00:47:05.774 --> 00:47:06.234]  It's all bull.
[00:47:06.254 --> 00:47:08.516]  There's the worst idea I've ever heard in my entire life.
[00:47:09.266 --> 00:47:10.907]  It's all self, not, that's not true.
[00:47:11.008 --> 00:47:13.089]  It is self-promotion in most cases.
[00:47:14.671 --> 00:47:16.452]  You should not read anything into that.
[00:47:16.532 --> 00:47:18.754]  No decisions are made, no lists are made.
[00:47:19.214 --> 00:47:20.776]  It's wildly premature.
[00:47:20.876 --> 00:47:31.785]  So when the Washington Post reports a piece by Robert Costa saying that Corey Lewandowski is under consideration for Chief of Staff, no he is not.
[00:47:32.505 --> 00:47:33.326]  That's a plant.
[00:47:33.807 --> 00:47:34.867]  That is not true.
[00:47:35.208 --> 00:47:36.469]  There is zero chance.
[00:47:36.789 --> 00:47:37.610]  That that will happen.
[00:47:37.630 --> 00:47:38.010]  That's right.
[00:47:38.030 --> 00:47:40.832]  Lewandowski is now a CNN turncoat operative.
[00:47:42.353 --> 00:47:50.498]  Well, this is the same guy who planted a fake story at the Washington Post that he was in charge of the vice presidential selection process, which he was not.
[00:47:50.978 --> 00:47:53.260]  So, you see a lot of self-promotion.
[00:47:53.640 --> 00:47:57.282]  You see the Washington rats all trying to board the ship.
[00:47:58.203 --> 00:48:01.005]  The watchword today is, I was with you the whole time.
[00:48:01.725 --> 00:48:04.347]  Anybody who says that was not with you the whole time.
[00:48:05.219 --> 00:48:08.581]  Well, my listeners were with the fact that Trump was a patriot and the elite were against him.
[00:48:08.621 --> 00:48:12.723]  And I was a little fly on the wall in the meeting where what really brought down Lewandowski came out.
[00:48:12.944 --> 00:48:15.605]  And I knew Lewandowski was going down, so I know the inside baseball.
[00:48:15.645 --> 00:48:17.706]  And it's not some pissing contest with Lewandowski.
[00:48:17.746 --> 00:48:19.027]  He's really a bad person.
[00:48:19.587 --> 00:48:21.849]  And I want to salute the individual that helped bring him down.
[00:48:21.869 --> 00:48:26.231]  And just, you know, thank God there's patriots around Trump protecting him.
[00:48:26.612 --> 00:48:31.615]  And listen, nobody's smart enough or has enough eyeballs or brain cells to keep track of something this complex.
[00:48:31.955 --> 00:48:33.396]  The fact is the enemy hates Trump.
[00:48:34.156 --> 00:48:39.239]  That's why you know he's good, and we're going to give him massive benefit of the doubt until he gets into office.
[00:48:39.279 --> 00:48:44.983]  But remember, folks, the number one threat from my gut, and you see him in the news, is them trying to kill Trump.
[00:48:45.344 --> 00:48:47.585]  Don't you agree, Roger, that's the maximum threat right now?
[00:48:48.506 --> 00:48:50.947]  Look, I pray for his security.
[00:48:51.267 --> 00:48:53.969]  I've written a book on the Kennedy assassination.
[00:48:54.530 --> 00:49:01.574]  I wrote a book on the Bushes, which has what I think is the true story of the attempted Reagan assassination.
[00:49:05.057 --> 00:49:10.560]  Inappropriate actions of the Secret Service in both of those instances give me pause.
[00:49:10.620 --> 00:49:19.064]  Now, I think the men and women of the Secret Service are brave, loyal Americans, but I worry about the political manipulators above them.
[00:49:19.644 --> 00:49:25.728]  So, yes, I pray every day for the President's security, the assassination threats,
[00:49:27.069 --> 00:49:30.051]  You know, are ubiquitous across the social media.
[00:49:30.732 --> 00:49:39.800]  I myself, and I know this is probably true of you, I've gotten more death threats in the last 48 hours than I've gotten in the last 48 years.
[00:49:40.901 --> 00:49:43.844]  And I'm about 48 years old, so... Well, let's talk about this then.
[00:49:43.864 --> 00:49:45.205]  I know you've got to go, and I've got to go.
[00:49:45.225 --> 00:49:45.806]  I'm skipping the break.
[00:49:46.447 --> 00:49:49.730]  RogerStone, StoneZone.com, StoneColdTruth.com.
[00:49:49.770 --> 00:49:50.570]  Let me ask this question.
[00:49:51.851 --> 00:49:58.416]  A little bird told me that Trump a year ago envisioned he was going to win, understood the people, knew the mainstream media was a joke.
[00:49:58.877 --> 00:50:01.558]  He advertises around the country, he learns it has no response anymore.
[00:50:01.599 --> 00:50:02.319]  There's nothing there.
[00:50:02.339 --> 00:50:04.741]  You know, you advertise in independent media, there's a huge response.
[00:50:04.761 --> 00:50:06.762]  You advertise in mainstream, no response.
[00:50:06.782 --> 00:50:07.463]  I mean, Trump's a smart guy.
[00:50:07.483 --> 00:50:10.045]  He's like, well, they have no power for six, seven years.
[00:50:10.065 --> 00:50:12.326]  I advertise, nothing happens, you know?
[00:50:12.707 --> 00:50:14.988]  I mean, that's one thing for Trump to just, as a businessman, to get.
[00:50:15.288 --> 00:50:15.689]  They're done.
[00:50:16.991 --> 00:50:17.791]  This is our country.
[00:50:17.951 --> 00:50:18.852]  This is far and run.
[00:50:19.272 --> 00:50:21.833]  This whole Soros thing, the globalists, the big banks, they admit it.
[00:50:21.893 --> 00:50:22.734]  It's come out in the WikiLeaks.
[00:50:23.434 --> 00:50:34.599]  And a little bird told me if they think they're going to try to start a war or finance too many riots in the streets or try to burn Washington or something, that we're just going to encamp the US Army and the Marines
[00:50:35.479 --> 00:50:46.130]  Around the White House, and somebody's gonna sit in a bunker and sign the executive orders, and if Congress wants to roll over to the globals, that's fine, but we finally got a president that's gonna try to defeat the enemies that have captured this nation.
[00:50:46.150 --> 00:50:47.952]  I mean, we have the beachhead now, is what I'm saying.
[00:50:48.212 --> 00:50:51.455]  He has captured the White House, now he's gotta capture D.C.
[00:50:51.735 --> 00:50:52.656]  and bring the country back.
[00:50:52.716 --> 00:50:53.938]  That's how epic this is.
[00:50:55.223 --> 00:50:56.203]  I generally agree.
[00:50:56.223 --> 00:50:59.864]  I think that their moves will be more subtle than that, Alex.
[00:50:59.944 --> 00:51:14.286]  I think there's going to be a major effort to continue to crack down on the lending ability of community banks in a purposeful effort to slow the economy so that can be blamed on Trump.
[00:51:14.846 --> 00:51:17.787]  They want to crash the economy and blame it on Trump.
[00:51:17.847 --> 00:51:18.327]  Oh, I agree.
[00:51:18.347 --> 00:51:19.307]  So what does Trump do?
[00:51:19.587 --> 00:51:23.928]  He gets up in 70 days and points out with his bully pulpit what they're doing to crash it before he gets in?
[00:51:24.628 --> 00:51:35.592]  Yes, he tells his Treasury Secretary to get with the community banks and make sure, since they are credit worthy, since they are loaded with cash, that they are lending to people who want to build businesses.
[00:51:35.612 --> 00:51:43.935]  And let's be clear, under Obama, in the last eight years, almost nothing to locals, trillions to foreign banks, trillions to China, nothing for us.
[00:51:44.375 --> 00:51:49.837]  Trump needs to say, you give the damn loans to local people, including black communities, right now!
[00:51:51.539 --> 00:52:07.720]  Well, and I happen to know that the President-elect is looking at some innovative financing options where you could rebuild our infrastructure without using tax dollars.
[00:52:09.087 --> 00:52:19.014]  I mean, this can be done where you can, you can essentially get a guaranteed line of credit to rebuild America without squandering.
[00:52:19.194 --> 00:52:19.494]  Sure.
[00:52:19.554 --> 00:52:21.615]  All that matters is tax cuts and confidence.
[00:52:21.635 --> 00:52:23.316]  This country can't be held down.
[00:52:23.517 --> 00:52:25.398]  The Federal Reserve used to admit we're overheating.
[00:52:25.538 --> 00:52:26.419]  We've got to suppress it.
[00:52:26.839 --> 00:52:27.619]  That's the big secret.
[00:52:27.840 --> 00:52:28.460]  Trump knows that.
[00:52:28.620 --> 00:52:31.562]  Just turn a few switches, block the globalists, we're going to win.
[00:52:31.602 --> 00:52:32.062]  Right, Rogers?
[00:52:32.463 --> 00:52:33.703]  I think that's exactly right.
[00:52:33.743 --> 00:52:35.905]  Look, I think he's going to move towards a sound dollar.
[00:52:36.245 --> 00:52:38.847]  I think he's going to move to growth oriented
[00:52:39.568 --> 00:52:40.248]  Tax policy.
[00:52:40.289 --> 00:52:41.530]  Is that why the stock market went up?
[00:52:42.451 --> 00:52:43.152]  I noticed that.
[00:52:43.452 --> 00:52:44.053]  I noticed that.
[00:52:45.054 --> 00:52:48.138]  Very, very, because look, we have a businessman in charge.
[00:52:48.619 --> 00:52:49.961]  He understands the economy.
[00:52:50.021 --> 00:52:51.342]  He knows how to create jobs.
[00:52:51.583 --> 00:52:53.325]  I've never been more confident.
[00:52:54.106 --> 00:52:57.730]  Why did you make a Wall Street Channing lock her up, my friend?
[00:52:58.396 --> 00:53:00.317]  Yes, well, we'll get there.
[00:53:00.678 --> 00:53:05.241]  I think it's vitally important that he keep his pledge to the American people on those questions.
[00:53:05.761 --> 00:53:11.125]  All right, Alex, I'm going back over to Trump Tower, but great to be with you again, and I will keep you posted.
[00:53:11.586 --> 00:53:13.247]  There goes Roger Stone, ladies and gentlemen.
[00:53:13.387 --> 00:53:16.629]  Very exciting times to be alive, I tell you.
[00:53:16.669 --> 00:53:19.191]  StoneColdTruth.com, AlexJonesTheForce.com.
[00:53:19.592 --> 00:53:21.253]  I've done 53 minutes of this broadcast.
[00:53:22.830 --> 00:53:25.051]  And have not once even sat here and said, support us.
[00:53:25.111 --> 00:53:29.813]  And that's why I've got to go off air here, because I've got ads for advertisers to cut that are a month behind.
[00:53:30.374 --> 00:53:34.796]  I've got bills to pay, contracts to sign, satellite deals.
[00:53:34.836 --> 00:53:36.937]  I mean, I've got a lot of crap going on, a lot of good stuff.
[00:53:36.957 --> 00:53:39.698]  But I mean, it's just, by the time I sit on air until three or four, I'm like a zombie.
[00:53:39.918 --> 00:53:41.259]  I can't make these business decisions.
[00:53:42.599 --> 00:53:47.522]  It's weird, I can still do radio and TV forever, but when it gets to business, I've got to really figure out how to fund this thing.
[00:53:48.768 --> 00:53:52.882]  So I want to just encourage everybody, if you want to see the main attack ship in this fight...
[00:53:54.448 --> 00:53:58.751]  Turn into three or four ships and really run the tables on these people.
[00:53:59.431 --> 00:54:02.874]  We've got amazing products everybody needs at InfoWarsTore.com.
[00:54:03.154 --> 00:54:05.916]  We've got free shipping throughout at least a day or tomorrow.
[00:54:05.936 --> 00:54:07.216]  We're selling out of so much stuff.
[00:54:07.777 --> 00:54:12.320]  I didn't order enough stuff thinking the sale wouldn't be that big, so it's going to have to end one way or the other.
[00:54:12.360 --> 00:54:13.360]  But take advantage of it.
[00:54:13.380 --> 00:54:14.421]  Free shipping store-wide.
[00:54:14.441 --> 00:54:16.282]  30% off Supermelt Vitality.
[00:54:16.442 --> 00:54:18.564]  30% off X2, the good halogen.
[00:54:19.284 --> 00:54:20.205]  30% off DNA Force.
[00:54:20.245 --> 00:54:21.046]  Wow, that's a big deal.
[00:54:22.479 --> 00:54:27.580]  30% off Living Defense, 30% off Lung Cleanse, 30-40% off all the high-quality, swearable foods.
[00:54:27.600 --> 00:54:28.081]  That's a big deal.
[00:54:28.101 --> 00:54:29.041]  We just extended that out.
[00:54:29.661 --> 00:54:33.822]  Our great supplier, My Patriot Supply, has decided to do that because they're so excited as well.
[00:54:34.702 --> 00:54:37.283]  InfoWarsStore.com is the main site.
[00:54:37.603 --> 00:54:44.865]  Sub-sites to go to the nutraceuticals or supplements to get your probiotics, your vitamin, mineral fusion, fruit punch, your bio PCA for the hair and nails.
[00:54:45.565 --> 00:54:46.766]  Knockout sold out.
[00:54:47.206 --> 00:54:47.906]  They told me it was sold out.
[00:54:47.926 --> 00:54:48.486]  It's still up there.
[00:54:49.006 --> 00:54:53.568]  The BioTrue Selenium, Liver Cleanse, Oxy Powder, Prostate Guard, AnthroPlex.
[00:54:53.628 --> 00:54:55.569]  It's just the dry version of the Super Metal Vitality.
[00:54:55.929 --> 00:54:56.529]  It's all there.
[00:54:57.170 --> 00:55:00.831]  Infowarslife.com or call toll free 888-253-3139.
[00:55:00.851 --> 00:55:00.891]  888-253-3139.
[00:55:00.911 --> 00:55:02.812]  And that runs right through the weekend.
[00:55:02.852 --> 00:55:04.192]  So again, to all the viewers out there,
[00:55:11.388 --> 00:55:19.349]  If you want to be part of the next level of the take back of America and the world for free market, true open societies.
[00:55:20.630 --> 00:55:23.550]  Notice Soros names his group the Open Society because he's the opposite.
[00:55:23.970 --> 00:55:25.210]  This is the real renaissance.
[00:55:25.290 --> 00:55:26.211]  This is the real freedom.
[00:55:26.451 --> 00:55:28.031]  We've broken the back of the enemy.
[00:55:28.671 --> 00:55:30.451]  We have taken action to the next level.
[00:55:31.312 --> 00:55:32.812]  History is unfolding now.
[00:55:33.732 --> 00:55:36.432]  And it is not corporate sponsorship that funded this.
[00:55:36.512 --> 00:55:39.233]  It was you, the listeners and viewers, that took action.
[00:55:40.117 --> 00:55:40.938]  So I want to encourage you.
[00:55:41.438 --> 00:55:46.964]  Go to Infowarsstore.com right now and take advantage of store-wide free shipping at least for the next 24 hours.
[00:55:48.165 --> 00:55:58.795]  And while supplies last, 30-40% off products across the board like non-GMO heirloom seeds, water filtration systems, super cutting-edge supplements.
[00:55:59.983 --> 00:56:02.005]  Storeable foods, and so much more.
[00:56:02.065 --> 00:56:06.609]  On apparel, it's 50 to 15% off, depending on which piece of apparel it is.
[00:56:07.110 --> 00:56:12.875]  Because I do the Made in America thing, and we make almost nothing on that, because it costs so much to do, because of how unfair things are.
[00:56:12.955 --> 00:56:16.999]  So, we can't go more than 15% on Made in America, because we're only making like 30% on it.
[00:56:17.559 --> 00:56:22.164]  Made in Mexico, made in Venezuela, made in wherever, places like Honduras.
[00:56:22.484 --> 00:56:25.266]  Yeah, we can give you 50% off on that, because it sure costs five bucks.
[00:56:26.307 --> 00:56:27.888]  Made in America, $12, $13.
[00:56:28.328 --> 00:56:29.748]  Some of the more designer stuff, $25.
[00:56:30.429 --> 00:56:31.329]  But it's all there.
[00:56:31.929 --> 00:56:37.891]  Infowarsstore.com or call toll free, 888-253-3139.
[00:56:38.171 --> 00:56:39.892]  I'll be doing special broadcast tomorrow.
[00:56:40.512 --> 00:56:42.793]  I'll be obviously back to Sunday, 4 to 6 p.m.
[00:56:43.173 --> 00:56:46.934]  We've got a bunch of compilations of the best of the last week coming up in the next hour.
[00:56:47.274 --> 00:56:49.115]  Clips of my famous interview with Donald Trump.
[00:56:50.128 --> 00:56:51.329]  Because he kept all his promises.
[00:56:51.789 --> 00:56:52.670]  I will not disappoint you.
[00:56:52.690 --> 00:56:53.250]  Boy, didn't he?
[00:56:53.630 --> 00:56:55.391]  He did absolutely deliver.
[00:56:56.172 --> 00:57:02.415]  And then Paul Watson, the absolute Arthurian warrior from all beyond will be joining us.
[00:57:02.876 --> 00:57:07.959]  And then we are also going to have a big excerpt, big analyses of the secret of why Trump
[00:57:08.639 --> 00:57:10.320]  One hasn't aired yet, shot it last night.
[00:57:11.080 --> 00:57:14.002]  The threat against his life, what's happening there, and so much more.
[00:57:14.042 --> 00:57:17.404]  That's going to air in the fourth hour with David Knight, hosting in about 20-30 minutes.
[00:57:17.464 --> 00:57:23.207]  It'll be breaking news and analysis, but a lot of it is going to be tapes I shot last night while I was on fire.
[00:57:23.887 --> 00:57:25.688]  It's all up on InfoWars.com.
[00:57:25.708 --> 00:57:27.809]  Will they kill Trump before the inauguration?
[00:57:27.869 --> 00:57:28.629]  I said that last night.
[00:57:28.649 --> 00:57:31.351]  There was just a flotilla of articles today saying, kill him!
[00:57:32.031 --> 00:57:32.632]  Kill him now!
[00:57:33.212 --> 00:57:36.756]  So this is the crazy town level to which we've reached.
[00:57:36.776 --> 00:57:38.999]  But we haven't gotten to the riots all over the country.
[00:57:39.019 --> 00:57:42.683]  The story linked on DrudgeReport.com is an InfoWars story.
[00:57:42.943 --> 00:57:46.928]  High school girl viciously attacked for supporting Donald Trump by black folks.
[00:57:47.608 --> 00:57:49.410]  This is just attacks all over the country.
[00:57:49.651 --> 00:57:53.094]  You go to CNN though, it's white people are attacking black people.
[00:57:53.800 --> 00:57:58.021]  And that means some operative of the government burned a one-foot cross in somebody's yard, totally made up.
[00:57:58.521 --> 00:57:59.921]  All the church burnings are out to be fake.
[00:58:00.841 --> 00:58:02.982]  The black stripper being raped by the lacrosse team, fake.
[00:58:03.022 --> 00:58:04.622]  It's all finance, it's all fake.
[00:58:05.082 --> 00:58:06.342]  I mean, if it was real, I'd report it.
[00:58:07.543 --> 00:58:10.543]  Let's say this, it's as rare as finding an Easter Bunny at Christmas, okay?
[00:58:11.483 --> 00:58:14.204]  Because most white people are in a catatonic state, totally guilty.
[00:58:14.644 --> 00:58:18.184]  Back when the Klan was running around doing bad stuff, it was like 2% of the population in the South.
[00:58:18.605 --> 00:58:20.865]  I mean, just face it, folks.
[00:58:21.937 --> 00:58:27.739]  When you're walking down an alley at night in a minority neighborhood, you see a white guy, are you afraid you're gonna get attacked?
[00:58:27.759 --> 00:58:29.299]  It's because statistically it's not happening.
[00:58:29.980 --> 00:58:31.600]  And it's happening everywhere, they admit it.
[00:58:31.640 --> 00:58:35.381]  It's like a hundred and something times more likely if you're white to be attacked by a black person.
[00:58:35.881 --> 00:58:38.622]  And it's a minority of blacks doing it, but still, crime's rare.
[00:58:39.203 --> 00:58:42.003]  But in that group, the media sells it like it's okay.
[00:58:42.784 --> 00:58:46.245]  Just like in the 50s, most racial attacks were the KKK against blacks.
[00:58:46.645 --> 00:58:48.125]  Because it was culturally acceptable.
[00:58:48.345 --> 00:58:49.586]  We have to make it unacceptable.
[00:58:50.680 --> 00:58:51.141]  Stay with us.
[00:58:51.182 --> 00:58:52.064]  InfoWars.com.
[00:58:52.365 --> 00:58:52.927]  Spread the word.
[00:58:52.967 --> 00:58:53.869]  They hate that site.
[00:58:54.150 --> 00:58:55.073]  That you've been spreading it.
[00:58:55.133 --> 00:58:56.076]  It's been destroying them.
[00:59:00.993 --> 00:59:05.054]  The NFL is considering some serious changes as ratings continue to plummet.
[00:59:05.234 --> 00:59:11.776]  Some of the changes include reducing ads and ad time, reducing the time of game, to perhaps even changing the way it's officiated.
