[00:00:00.000 --> 00:00:10.820]  [Outro]
[00:24:56.194 --> 00:25:01.896]  You know that I'm not... I am totally worried about myself, but we're in a boat together.
[00:25:03.337 --> 00:25:07.159]  And people better get out of their comfort zones, and people better realize that.
[00:25:08.149 --> 00:25:12.832]  Especially the fools that are serving the shycoms and the globalists to bring down this country.
[00:25:13.092 --> 00:25:14.253]  Who do you think you're going to be?
[00:25:15.854 --> 00:25:20.456]  Throwing away your birthright, throwing away all your freedoms, throwing away checks and balances.
[00:25:21.557 --> 00:25:27.080]  They raided the real president of the US over some records they claim he can't have.
[00:25:27.100 --> 00:25:29.502]  You know the law, the president can have any records he wants when he was in office.
[00:25:31.363 --> 00:25:32.864]  Again, this is such a dark time.
[00:25:36.442 --> 00:25:38.303]  It's so crazy how criminal these people are.
[00:25:38.323 --> 00:25:45.048]  I just thank God that we discovered their attempted coup on January 6th, their attempt to get us into more violence.
[00:25:45.309 --> 00:25:49.592]  We were able to shut most of it down because January 6th, as bad as it was, was a dud.
[00:25:50.814 --> 00:26:18.001]  It was a failure, and this criminal political class knows they're a bunch of child traffickers, knows they're a bunch of narcotics dealers, knows they're a bunch of money launderers, and they know their house of cards is coming down, so they're cornered, and this is their violent, aggressive, dangerous, out-of-control move, because they own the corporate media, and they own the Justice Department, and many of the courts, and almost all the prosecutors, because of George Soros, and they think they can get away with it, but they can't.
[00:26:18.922 --> 00:26:22.268]   If you simply speak out, Will Infowars be taken off the air?
[00:26:22.608 --> 00:26:23.989]  Will President Trump be assassinated?
[00:26:24.350 --> 00:26:25.451]  It really is up to you.
[00:26:26.932 --> 00:26:28.473]  Peacefully be an army of one.
[00:26:28.793 --> 00:26:30.154]  Stand out with a sign on the street corner.
[00:26:31.836 --> 00:26:33.557]  With a sign that you think is the most important message.
[00:26:34.578 --> 00:26:35.819]  Spread the word about Infowars.
[00:26:35.919 --> 00:26:37.660]  Join us tomorrow at 8 a.m.
[00:26:37.700 --> 00:26:39.522]  with Harrison Smith and myself at 11 a.m.
[00:26:39.562 --> 00:26:41.283]  and Owen Troyer at 3 p.m.
[00:26:41.784 --> 00:26:45.487]  And know, every day we're still on air is so incredibly precious.
[00:26:45.807 --> 00:26:49.450]  In my 28 years on air, this is the biggest development yet.
[00:26:50.438 --> 00:26:51.720]  The real president of the U.S.
[00:26:51.920 --> 00:27:06.356]   raided by a Justice Department SWAT team to frustrate the will of the voters of America because they know No amount of dead people voting, no amount of illegals voting, can stop any of this.
[00:27:07.016 --> 00:27:08.937]  It's beyond a raid on Trump.
[00:27:09.397 --> 00:27:12.178]  It is a deep state coup against America.
[00:27:12.818 --> 00:27:14.619]  A deep state coup against your freedom.
[00:27:15.159 --> 00:27:17.340]  A deep state coup against all that's decent.
[00:27:18.021 --> 00:27:22.222]  Please, take this video, once it's a banned out video, and share it to everyone you know.
[00:27:22.943 --> 00:27:26.624]  I'll see you, Lord willing, tomorrow, 11am central.
[00:27:27.183 --> 00:27:29.183]  God bless and good luck.
[00:27:29.183 --> 00:27:39.183]  [Music]
[00:27:39.183 --> 00:27:42.373]  People say Alex John's crazy. He's a conspiracy theory guy.
[00:27:42.373 --> 00:27:45.183]  He's a nutcase. He's got these rants and all that.
[00:27:46.001 --> 00:27:53.164]  What they miss is that this guy is ahead of the curve on so many different topics of signal, not noise.
[00:27:53.284 --> 00:28:04.557]   If you look at the signal and you compare that To PBS and NPR and BBC and we'll do what Alex Jones put out there versus what your collective body has put out there.
[00:28:04.577 --> 00:28:09.359]  And if you're a sentient human being and just watching it, you say, well, God, Alex Jones was ahead of this.
[00:28:09.399 --> 00:28:10.580]  Not only that, he kind of explained it.
[00:28:11.180 --> 00:28:13.462]  You are one of the great thinkers of this.
[00:28:14.102 --> 00:28:14.982]  That is very rare.
[00:28:15.022 --> 00:28:17.404]  You got to go back almost to the revolutionary generation.
[00:28:18.164 --> 00:28:18.625]  And see that.
[00:28:19.225 --> 00:28:22.769]  In this new book, I gotta tell you, when Tony Lyons first approached me, I read this thing.
[00:28:22.809 --> 00:28:24.030]  I go, this is it.
[00:28:24.571 --> 00:28:25.552]  This is no beatry.
[00:28:26.213 --> 00:28:27.434]  You're not gonna be flipping pages here.
[00:28:27.454 --> 00:28:28.635]  You're gonna be having a pen out.
[00:28:28.675 --> 00:28:29.736]  You're gonna be underlying stuff.
[00:28:30.057 --> 00:28:32.559]  The Great Reset by Alex Jones.
[00:28:33.060 --> 00:28:37.344]  Order your copy now at Amazon or Infowarsstore.com.
